-32.9 -14.9 -5.0,-21.2 -13.3 -3.7,-27.8 4.8 8.1,44.4 3.4 4.2,11.8 0.0 -0.5,-5.5 0.2 -46.1,21.9 43.9 8.9,11.8 11.7 0.3,4.8 -4.9 37.6,24.8 -53.1 -12.5
-32.588800459924755 -18.856443283483404 -4.527791599454705,-25.240366008047012 -7.907204042106736 -10.315169748870316,-34.35235520663631 5.695776495071624 2.4241183201229077,57.52638575720162 0.8513138266003469 4.971723271649268,10.077592364591858 0.2862186608629932 -2.3955388404463176,-7.414973956450735 2.7688916829775696 -48.47847837015198,21.41076910370251 42.84180898791988 8.496623423773896,10.236449017639687 12.720342149079078 1.4680608533087325,5.598605630807789 -12.607782202799728 40.32023546150962,22.771346148420495 -46.68785752034346 -9.948086482190124
-33.031007139052576 -18.062795532412796 -4.807154016088947,-26.76581457141651 -8.558387543800446 -10.137936663961316,-32.820770669906324 5.2273500336361 3.890896422563041,56.398776980605504 1.91288819206944 5.978337408038374,9.027092276137475 0.3132955944978574 -2.1416902450816946,-5.7759568091274325 0.42434629059433204 -49.0671467151204,21.781326456680596 43.875254676181356 8.876511220385183,9.203947942359571 12.601117710807678 1.1298821205011769,7.876728890702963 -9.774112185390617 42.66118475127601,22.95452567261364 -47.18406915374777 -10.15443884878574
-33.014940266068486 -18.26840161201193 -4.2850017978597394,-28.547474642608528 -9.707830291598123 -9.756368419585835,-31.41083720566518 4.653933514845349 6.008465363200121,55.93895989805851 3.1066255488594683 6.6041860633753044,7.714530991103529 0.25228509030581525 -2.1424834028083755,-4.648985877433429 0.5320679333303115 -48.418236627039335,22.033795997776142 44.55383668218183 9.13993556012595,7.966440171804795 12.305214589214408 0.12394598206667269,10.035310670218047 -6.309922530753534 44.81460264304655,23.02408300875131 -47.349672615455084 -10.213099436339059
-32.492287820849135 -19.309822329960415 -3.091861341634195,-30.110464280346772 -10.801128216894643 -9.298081125297506,-30.452352228027245 4.044783198981211 8.328345286941397,56.28700472363221 4.183628174867137 6.655269059006801,6.400183039311875 0.08344636290370724 -2.445869130154409,-4.40426587710452 2.4008896545029756 -46.77841058306571,22.170044922711504 44.883766376143946 9.281721413700954,6.778308422267193 11.869845555807085 -1.3493186756874485,11.998277649554122 -2.582751811547117 46.32542453225999,22.95240739491092 -47.11899121592421 -10.104141752648278
-31.742668675466067 -20.35339693075231 -1.688547608906807,-31.116312194051055 -11.261154845609447 -8.912222250414617,-30.10801910032679 3.4528560087063505 10.281077122851428,57.17992910848019 4.880057734452341 6.084782950196267,5.240529423711486 -0.21379941514184395 -2.9398875989896425,-4.8349872763961255 3.2439446163091614 -45.589066937812674,22.209225182219743 44.942445721238144 9.316183556899992,5.769788368772987 11.351473100044306 -2.8364060839811454,14.046013230552816 1.1959455529423686 46.866699866999134,22.74247167634619 -46.50666934924776 -9.854673291858248
-31.043041341692923 -20.577788869027522 -0.5402984041825862,-31.248090102438866 -10.545651682160319 -8.742966550408246,-30.51196319384387 2.932450376792775 11.313748674409576,58.331407843069265 4.9483688805010715 4.871757127612229,4.385199510967781 -0.6535919459710103 -3.5022111527496755,-5.7133073385846975 0.3971229545248011 -46.24700701989211,22.171712048290235 44.810021680205075 9.259252676806508,5.062788840401844 10.809268954726393 -3.8891896735563183,16.4283138283073 4.802708368332018 46.14865456599052,22.40102639968192 -45.537371032371134 -9.494854791700241
-30.445909001635652 -19.753482581656314 -0.02352516475589067,-30.53317530246119 -8.798126132726466 -8.827035977303503,-31.334254484498466 2.5723886429928395 11.25703332743616,59.2167361558257 4.463739795734596 3.416729744838593,3.906195628797787 -1.125201521838513 -3.8945522845252944,-6.709433405351831 -5.325685954039493 -48.65680002663484,22.092398700184958 44.582117598357506 9.147800032278965,4.683825694911035 10.344599244991395 -4.297035907559217,18.615824203291123 7.6996962835941485 44.532293191668835,21.991682136943485 -44.38699056963782 -9.089027086083542
-29.80075587219837 -18.18626226236941 -0.43429622722285366,-29.310368135955795 -6.782358171540788 -9.103961843919317,-31.825226663481605 2.492719885493902 10.288556122267805,59.09559589641396 3.7932508296458343 2.5014919780419156,3.805306752701334 -1.4049545435894057 -3.773738257652135,-7.40135951422084 -9.964756062385574 -51.37329704628453,22.019309707343844 44.368355148334615 9.037637547201674,4.5731322216997 10.096994758328712 -4.064122765319577,19.374449500793077 9.064714233747324 42.967247036859625,21.629479130083315 -43.368209467103966 -8.732446771830407
-28.96021234680173 -16.205831686471125 -2.0386568540273906,-27.92764891315684 -5.264633489905236 -9.507353756412357,-31.250033552308274 2.806814540997837 8.608662760148805,57.26063218958242 3.3051869131500613 2.8840012131775015,4.076460307388625 -1.2760731471340023 -2.815058740472631,-7.382166477919944 -9.605994309214656 -52.945798764222104,22.00158979592698 44.28259370255512 8.986449202615438,4.666562683709077 10.20001219515002 -3.2104994875031228,17.512444297698504 8.109231294986987 42.39158252595067,21.42974227334976 -42.794979672627356 -8.521012712054981
-28.032638673933025 -14.255146650456723 -4.439470131627501,-26.683112887014914 -4.526160105398526 -9.91166350957971,-29.605825264986947 3.4372717697311783 6.667537994134134,54.000225750328305 3.1401744646295717 4.4037653010282805,4.583242776158827 -0.7898338733602388 -1.2375200877656853,-6.694969349217988 -4.2216935917957965 -52.97674448427675,22.104201129809486 44.52995833788605 9.081000694286397,4.868918321670985 10.607549721214815 -1.955001386233258,13.494073725842764 5.118132596780825 42.942190543136235,21.46945612988058 -42.891829083575274 -8.53909425616245
-27.39082284690646 -12.894266902383242 -6.553860802948042,-25.823273561471993 -4.346569888789689 -10.130173010007182,-27.64664488289315 4.109430938366118 5.173703160712794,50.63235986588198 3.2034382633265603 5.950604230317898,5.054466541778508 -0.27468474077130467 0.17766175470677,-5.848223995931917 2.197283384695387 -52.15753150383631,22.408461293639856 45.409943966898815 9.438128560661601,5.05289117799638 11.087736417383985 -0.7220109615628532,9.495937741405072 1.4862283735625856 43.92753683136668,21.78596089947216 -43.790820053945666 -8.859139097761439
-27.406148099847666 -12.670504776844252 -7.2979148386952994,-25.582244563165858 -4.486848830315134 -9.97826881550943,-26.1420525560339 4.544905537591804 4.82527986763392,48.48350442217884 3.3911284103781645 6.402450208172302,5.218179325215383 -0.06311646271549323 0.6442206753586599,-5.357480297023013 5.558857776740294 -51.21906066815967,22.990691587754334 47.20711519345995 10.168283434921307,5.091576915540715 11.405450394127918 0.0631404193299711,7.7161091303531935 -1.3681288319650653 44.634420267929215,22.40982835924518 -45.60479449276371 -9.546752221123391
-28.018076047358036 -13.554972843624103 -6.559195000200377,-25.876059043600247 -4.850762846188365 -9.427750145414683,-25.24552200903604 4.635971837512836 5.611843487099662,47.64140107321848 3.656128420067749 5.650935441738781,4.9755683444662075 -0.20996175625585273 0.03908309633381618,-5.281868824921521 4.444130601755639 -50.551200414817444,23.74464841706066 49.593840863053614 11.135147291873713,4.9179169650532994 11.49447718859248 0.24607994852982806,8.526132969019757 -2.9050231967002813 44.875278410777774,23.214835681409877 -47.97187936586448 -10.467778217906348
-28.655427415741343 -14.837569427980124 -5.373795978897057,-26.244698368421382 -5.510879933686408 -8.635335650739444,-24.38215657406765 4.476672793069033 6.685288055707258,46.72930056510883 4.018395088439982 4.786142609452533,4.4325156106703485 -0.4417911736158318 -0.9767628017288015,-5.140916785178432 0.5945793831342001 -50.14063239070282,24.348250182163316 51.51871918375825 11.910658972343795,4.535605631640244 11.488293750667983 -0.00722345055667678,10.138135379030327 -3.62307386901216 45.08398703879863,23.88938905253351 -49.96896818995453 -11.251894237066235
-28.7301465819452 -15.778997896273367 -4.827471394179358,-26.217340051054283 -6.544317259716832 -7.7698936835180445,-22.952762914020667 4.172985996353005 7.165179646905957,44.32419530232413 4.500228436199955 4.946371203374992,3.7075789124817757 -0.47083772083243924 -1.7062604928584917,-4.4338120264292895 -4.0851896707650885 -49.9508653786219,24.47302228146759 51.908462793086414 12.058066932231663,3.954477071563485 11.529917031618243 -0.5121272614052339,10.670981037864008 -4.070303341727723 45.71996249871322,24.117322174700984 -50.65840045487569 -11.52224791998603
-28.192150057778782 -16.07264047874176 -5.295074399529849,-25.788632006247127 -7.806435173855231 -7.063042554496876,-21.115926628077915 3.842965791409175 6.8555434749641515,40.63732788616788 5.058661037357954 6.374542251901687,2.95579413343782 -0.20635250574728137 -1.8451830059832204,-3.1213390741913947 -8.517034300134725 -49.95010701187774,24.049458892383996 50.53908062296426 11.488566570011733,3.2719830402595207 11.677407119802242 -1.0765384337524573,9.584620396308846 -4.343884393628701 46.801305441621295,23.84404484206377 -49.86417223899459 -11.205209941413163
-27.719109983100147 -15.997196855950264 -6.189769277347159,-25.58289919389878 -8.852606793228608 -6.8312871933627175,-20.055338241803714 3.6210036587839163 6.486324443334141,38.09071486200392 5.562433250431051 8.102330560918274,2.381543837194661 0.17589206441382121 -1.620713643752656,-1.7887192188635712 -12.7408325866715 -50.11292141451496,23.358380862046268 48.33548898933983 10.584047450847935,2.704102251688132 11.873896524409266 -1.4982850163859593,8.1531921427518 -3.931091268723995 47.74911537223856,23.368820628232434 -48.44063014075072 -10.637343725468208
-28.03055013279307 -15.869611867412459 -6.863482553404205,-26.25813681821368 -9.222569880072395 -7.39125463741265,-21.006823223380238 3.6402917206247882 6.842120873773329,39.224273864407564 5.876029774423035 9.0884317357005,2.1900032841912807 0.4831928935492577 -1.295635235705198,-1.0582216915545166 -16.86576693599002 -50.41401724478875,22.703582222301467 46.297572101908656 9.757039735290018,2.472555429021737 12.054950203978926 -1.577708324108247,7.761937148585587 -2.2904010118597404 47.94939458710684,23.014135976317483 -47.31091293447838 -10.18271400597577
-29.257598012891393 -15.808686420260203 -7.0896859922410655,-27.810774785118102 -8.795579580628393 -8.705368235845187,-23.968405450488405 3.892481109036386 8.043265667596899,44.236352838148264 5.984630239127646 9.071458963050173,2.4237431737148354 0.6421135964155632 -1.0054381724729748,-1.1155304416949914 -20.39765643942846 -50.80970306669159,22.27521491243166 45.0301178469046 9.253833748918229,2.638780276052333 12.19155397687655 -1.308871438403737,8.73564156486207 0.2499975430492256 47.224926952631485,22.988794445358923 -47.13745093854232 -10.10846267646651
-30.619366912711513 -15.626098326433674 -7.295246478486876,-29.211816788207326 -7.977142986348247 -10.187035621306075,-27.01951633553228 4.149834421556725 9.180480324434622,49.69586670879645 6.060491417063044 8.998897681134439,2.873297135267175 0.7640811895993861 -0.6883095643834064,-1.4696222321150003 -21.90710705119647 -51.22776729810862,22.087285628243187 44.52551480919599 9.06304807311013,3.015775816532288 12.309595994197322 -0.9861061791137922,9.755386726104842 2.013862289031578 46.0755077685062,23.325391124087535 -48.17857636455454 -10.531501228015518
-31.262986476185045 -15.109292026281768 -7.9586287126838675,-29.353362654425347 -7.21616780154321 -11.205342085514436,-28.089731727762484 4.167397902788281 9.264096719818895,51.88559119635945 6.290455911086668 9.912664982132178,3.309009257562964 0.9751670699945253 -0.26681551493687594,-1.5747548531829119 -19.90163607429945 -51.593770817079644,22.13784296990196 44.72138842950558 9.150368126299384,3.3965684073414626 12.439279004495347 -0.9271895919040004,9.373519932388117 1.2247037077172276 45.05745663688596,24.03990323950546 -50.65155412969268 -11.553138042437135
-30.917259403377013 -14.242248490331741 -9.143952655520694,-27.96415083296236 -6.793568305633791 -11.390557696688209,-26.473945315171562 3.849096096360381 8.039865066951588,49.43237689787901 6.725880944682067 11.99533442750126,3.635291982540942 1.2883440663635102 0.21497496018998186,-1.1992028303238855 -14.449655110566916 -51.85357770644822,22.352481058818068 45.368015520037375 9.412438448005187,3.699920846393301 12.574104170618572 -1.2355120651513598,7.280697706005451 -2.481039192396427 44.57304828189853,25.017020133038127 -54.20663424616562 -13.033705298775832
-30.34603456625744 -13.358671580786169 -10.178041031184836,-26.2616591844231 -6.691326328780776 -10.837712408730898,-23.89653756964595 3.3637719770770445 6.562160634170083,45.13419030196125 7.177037065937872 13.900338384268927,3.9951229294588964 1.5153340835042215 0.49678698397412674,-0.6700113181119357 -8.397077060385 -51.9891801698089,22.527866382427828 45.88229922420467 9.623050203893799,4.068335058914224 12.642264772597578 -1.632978053521097,5.193117533334377 -6.952720757878603 44.75044543361882,25.907813614835007 -57.48510370028226 -14.404735021819176
-30.41611853499005 -12.826699080984454 -10.315282248552997,-25.611306630772646 -6.86001267296712 -9.69083382131925,-22.3255024063805 2.9071548396819313 6.015310860832062,42.20841555655915 7.430073222802169 14.13041623226061,4.555045312907535 1.4481714337151015 0.2977960040955788,-0.37056820819138175 -4.864013534212646 -51.986637073101235,22.448471286598544 45.649936895153104 9.544547754436024,4.666280869330472 12.565660786425441 -1.8033347947852738,5.026882159449384 -9.788727517400627 45.68777777174656,26.340808392175763 -59.03019938329114 -15.056028234275258
-31.442235312497065 -12.775706094524342 -9.337124160091195,-26.56283583418332 -7.1621326084574735 -8.254782672165177,-22.72077317406092 2.612611021706341 6.8533106866881095,42.313765200037594 7.37900520159705 12.212659923340302,5.3300031456779715 1.0351489016296207 -0.40619729758956874,-0.4986111235908252 -5.181303649191258 -51.88259197595181,22.060663391651097 44.523266876409146 9.119070143790987,5.496380445759961 12.331006951120516 -1.6027625940927368,7.384536118030612 -9.79915848718101 47.22073274278455,26.171232044650388 -58.26497741859697 -14.742350458988572
-32.60850250083266 -12.846107141891672 -8.104376322326159,-27.995571198620784 -7.279842559592866 -7.163788866065071,-23.97788235710985 2.485794154675191 8.034511740482902,43.91695803066439 7.138748605344851 9.771926568810123,6.0244813931447565 0.5445600099856185 -1.1138510437598101,-0.8716856753567447 -7.01554668973261 -51.81728051254619,21.642354627450597 43.31025864701587 8.656956812728263,6.229809163675156 12.057751749338959 -1.2405663456761562,10.178596381961226 -8.275571029927452 48.647544002232884,25.718575531527605 -56.41427017559725 -13.965875712438043
-32.962529379386794 -12.619744930811983 -7.608206235916434,-28.586743201861182 -6.874657092594136 -7.090651743616511,-24.74174257965503 2.5166403548002685 8.336731171294371,45.09669505970907 6.851339185833172 8.686710917886721,6.305480887409065 0.28345516417784944 -1.260726623739297,-1.2607852991622857 -7.590424101126146 -51.94306228526543,21.511418580598253 42.93404599389017 8.512922152680996,6.497802198796534 11.881486060946928 -0.9690496168253495,10.997148634396643 -6.811742146543443 49.20193953963049,25.358780550298878 -54.92214391992631 -13.319773839756628
-32.09123367348576 -12.041745506696396 -8.335228764791124,-27.695888249467462 -6.011187891930116 -8.215806353164435,-24.259797764087008 2.6727417789850367 7.264662453244946,44.72139014209248 6.679039447441302 9.934318678029308,5.9882035273941545 0.43990006340550947 -0.6328423903351371,-1.4369169865240263 -5.737301536340145 -52.25554882197606,21.80836367026011 43.80101934750448 8.84332547765193,6.1116224411202085 11.907010900894882 -0.9735628350498593,8.812173493982387 -6.5482070571921795 48.48200734437502,25.35713122012971 -54.84579800438335 -13.251773719095523
-30.85634646104396 -11.915961406528536 -9.579400947412717,-26.295372499339354 -5.706884656390278 -9.555840636948327,-23.203750900432652 2.8688740968508375 6.0411839912308745,43.526174565742004 6.83192374410823 12.361831503476907,5.238167807797323 0.9207052302526485 0.1553757014247752,-1.1711197721619078 -4.087776797749702 -52.379831700617636,22.254443832506162 45.096094978932825 9.335655823109846,5.308080972449371 12.166346427065887 -1.2811930866623444,5.866892287042493 -7.554131381964465 46.94710690359204,25.717340087409557 -56.327958608071164 -13.865811936609196
-30.303081157116964 -13.169359192491134 -10.462861289189016,-25.589819229833573 -7.115671948369645 -9.960032661408246,-22.450575409465667 3.0122312575360883 6.1362078152608825,42.51539271485807 7.526653463548706 14.509275108185022,4.271494400013865 1.5920163180952838 0.37034602081548756,-0.23482337556439375 -5.819700575985639 -51.887903267902225,22.510566590335284 45.82837871102303 9.609917810422155,4.385386288318517 12.68087673322582 -1.8960397608158384,4.875185284067243 -9.743365238625751 45.180917194543184,26.40521014546061 -59.378584549660935 -15.21582911771091
