-0.9 -11.7 -2.4,-0.7 -10.9 5.0,-13.0 3.5 7.1,25.5 3.4 3.8,2.6 -2.0 7.0,67.7 -41.0 -47.2,30.0 89.0 29.5,2.7 5.5 -9.4,50.8 46.8 49.5,25.7 -123.6 -46.1
-0.7699911639296829 -11.548573289430236 -2.091364755802149,-0.4921913919978271 -10.84056573876737 5.447567206820686,-13.196736746170982 3.301503472546379 7.072951544055608,25.94353653978744 3.3128835373435055 3.2874473174376617,2.863737398798261 -2.0862175380022894 6.821244399110066,67.60281310849413 -40.125740510578254 -46.15111878590873,30.003420180180942 88.00320955796701 29.0275531994629,2.9637374011285234 5.355483624059469 -9.510147081879081,50.834306469061204 46.55281229370092 49.70061944455176,25.71232263727306 -123.74270434844729 -46.12806844825909
-0.711356748105669 -11.414418466765696 -2.053082435812256,-0.517676035548593 -10.771731631101023 5.5065902464051035,-13.134662191067786 3.2890260108733775 6.9235599144372815,25.8898697406773 3.208168012813417 3.273965264429092,2.9847778508099694 -2.0754794930540954 6.920906586981521,68.49298489993191 -39.165055723050315 -45.40498079439979,30.002818640953148 87.322771398927 28.703145400274956,3.0847778527303875 5.297187863776977 -9.533737547118514,51.21143198549545 46.16573928967633 49.41106450283506,25.787229787129814 -123.4952339373768 -46.00973303652316
-0.6997739703805038 -11.304823858236514 -2.1900088565081064,-0.6889040898267863 -10.703316225998703 5.314123161667838,-12.91376622475503 3.3928278158581793 6.711467408311061,25.52378886790774 3.1049052167957285 3.579090395402541,3.0012693744257155 -2.0045794641211594 7.18420238703842,69.92059475954615 -38.24385595202391 -44.91872118169047,30.000155970528358 86.91442238600838 28.506968827891548,3.101269374531982 5.298788540603157 -9.502495498607505,51.76948838756969 45.72268344215135 48.83364232112659,25.894211499685703 -123.02685446660823 -45.811129522678485
-0.7109200486067332 -11.227077790072816 -2.4069998343674848,-0.9183257140068953 -10.64513807245816 5.007219995523483,-12.634038737297324 3.543169088377971 6.496316322842994,25.03008318671694 3.0221469396764378 4.022359264786255,2.951359988036087 -1.9103110501692244 7.49634762270483,71.43572207256969 -37.48805151210672 -44.64947510399808,29.997392757118348 86.73389938233956 28.419215707768057,3.0513599862597 5.333961475988644 -9.44814503923527,52.34658751355087 45.307547205351085 48.17066004570308,26.002757825056186 -122.50683163596119 -45.59839366461131
-0.7204722006369028 -11.188468588504739 -2.608911185868177,-1.1183910672634088 -10.607015719477138 4.722934790886626,-12.39546961875929 3.6703100293099364 6.337748955199121,24.59354196234307 2.978944971841539 4.423308427008482,2.873197710031672 -1.829467850164033 7.742558117404808,72.58844622423538 -37.02355271790651 -44.55437771753993,29.996489588934885 86.736939251049 28.420078265359855,2.9731977076399323 5.376382491384071 -9.402410271891016,52.78084120170596 45.00423303350064 47.62442482284126,26.082358813356716 -122.10443114525548 -45.4376612202079
-0.7041076443235581 -11.1962845797624 -2.7005987274879657,-1.2015503087708144 -10.598767716053388 4.598321590671855,-12.298048759205535 3.7045108395312623 6.295407602545487,24.398954460024296 2.994351103677029 4.6014744364974725,2.804930558803059 -1.7988434630713275 7.808049694562417,72.92884659977602 -36.976269884030955 -44.590564178533285,29.99940705418973 86.87927885526504 28.489748726122315,2.904930558399069 5.399727408240071 -9.397015299463956,52.910361290301886 44.89664338082514 47.397243798817804,26.102504514702733 -121.98891869431066 -45.395067947354526
-0.649995246810904 -11.250001912574007 -2.6124346562315077,-1.1053694269251404 -10.625660162253311 4.73243604929967,-12.412747254646852 3.6009960346612866 6.406180049496788,24.58150759274869 3.073646739810554 4.4254138241653305,2.782576365325412 -1.8439031759342674 7.620294359411455,72.1693660408289 -37.40146115330731 -44.71053200930922,30.006688653490695 87.09521820012543 28.5972934137323,2.8825763698825764 5.3839774696209854 -9.450931537999377,52.63175205378191 45.0411126152141 47.634248612189985,26.044560092087856 -122.26827942870773 -45.511845972920504
-0.6143994609934361 -11.306510301278006 -2.4138883241416487,-0.9043280443842198 -10.668142445046422 5.017193638044395,-12.652346379019718 3.451077815422438 6.5829126651213326,25.00599153467512 3.1470469375581636 4.030905161360625,2.830540694136979 -1.9283583778183186 7.337114760621283,70.90753745281393 -37.96923928786976 -44.84149765132583,30.01115293390275 87.20219879054557 28.651128150005814,2.930540701735781 5.343486591739678 -9.5136118267517,52.16047691884285 45.34369350897226 48.16889070638445,25.954625376315274 -122.71644050548208 -45.69347054317349
-0.6766745519642112 -11.308259276441305 -2.2215940668912073,-0.7193303804621248 -10.698249114544913 5.274272853567053,-12.875988492031826 3.3922129168259025 6.696391926377659,25.44551048869315 3.119313300201276 3.6443365157893,2.9692916291262192 -1.994980981446635 7.194440711050279,70.04100957283639 -38.21912217484909 -44.90210525162453,30.002999069669873 86.9780378181436 28.539103419339675,3.069291631169568 5.304263757125233 -9.5109366857901,51.82011789082667 45.659481437082384 48.72893718285062,25.90075039225716 -122.99405689032297 -45.799384539093154
-0.8935054166571497 -11.208950865866129 -2.134916821221707,-0.6532210368096558 -10.69047567528471 5.352463298851894,-12.9675576299065 3.531510865668523 6.642478520745464,25.70717894302393 2.9200295811884 3.4621699035629345,3.2072429771343147 -1.9967834225914463 7.380424395940705,70.30504175556626 -37.793048221751604 -44.83293841177673,29.9750426635701 86.26599464778252 28.182090048693166,3.3072429615831616 5.288247495501294 -9.385933125068656,51.8811167629936 45.85492156170541 49.06742388201937,25.938912185794866 -122.82213482837818 -45.71490956791071
