-29.1 -13.2 -9.8,-19.2 -9.8 -9.3,-22.3 5.7 7.2,34.9 3.5 12.9,8.1 1.2 1.1,0.3 -28.5 -52.3,20.0 39.0 7.1,7.8 13.0 2.0,1.2 -4.9 46.4,22.1 -44.7 -9.2
-31.95025399940927 -18.100280011712762 -2.861316514800241,-25.606414141617154 -10.763579771240947 -7.960261506759032,-29.958654901977827 4.953433397916112 11.274674090673187,49.9253561674886 3.3190560804336315 5.973746078653272,7.629083082516259 -0.21407554895942216 -1.2905588468637479,-3.2629911000948617 -19.115565427366207 -52.165105910569146,19.607642760910103 38.042634322855825 6.844990322393018,7.787183276238414 11.458647902928766 -0.655442277228983,9.215965139196383 3.8993659263866887 45.45148429111882,21.991211405678605 -44.240450490525056 -8.997743951144063
-32.22922723132872 -18.750357740666452 -3.0501004678323542,-25.929536512936682 -11.693811082443798 -7.57348509081987,-28.97336938471085 4.8454842501345725 11.598668821156892,48.31474207505882 3.8362079602955266 6.88755276053181,7.337623695334814 0.08819905336650619 -1.3103748090581837,-1.3048802641899955 -19.44687376783279 -49.955055219807775,19.028522670204016 36.66065180569221 6.4147721335534085,7.533668947767097 11.699131995447434 -0.9563734247732715,8.869394413886786 1.703065319706749 46.138447086345195,21.867819547579373 -43.90478336687143 -8.861646822403342
-31.76008011339293 -17.810080533505396 -3.3338027354213984,-25.416645694751836 -10.184529213828876 -7.259567157043608,-27.44910518382714 4.557337765636371 10.513937297712276,46.08480671334067 3.961361316944399 6.283771780944704,7.2602097961022185 -0.04836928423820945 -1.204232346826844,-1.1225201113551584 -18.027929008680193 -48.730015339859655,19.254469922621883 37.26183368340149 6.636048755868527,7.458233714475665 11.52300769998313 -1.0691914415696857,10.212811567665536 0.8948643945681551 46.94901017229601,22.232651032505434 -44.95936514852684 -9.286596190782154
-30.834355528779305 -15.899258264215419 -3.680190040282418,-24.361544187193658 -7.328866165305962 -7.048224215613535,-25.76985294591838 4.229935770480865 8.685526353017933,43.72380023285957 3.803284724063161 4.815340748986265,7.392659166084216 -0.46054723643447826 -1.0132206898615586,-2.1835319875133075 -16.053456626264445 -48.539056499017384,20.0309687558906 39.20572634775381 7.288948284809246,7.558080135248729 11.104625022206069 -0.9611421125384105,12.311502342734832 1.3555071897401327 47.73865358207804,22.84008402889782 -46.69502985372801 -9.987487717191787
-30.08619659715668 -14.367659664676838 -4.021521917527588,-23.435241953266466 -5.379972731168163 -6.92121912457558,-24.494264036466525 4.08231052480667 7.455822954741677,41.900023004510935 3.6847753519429567 3.882707504895756,7.633265684827529 -0.7785544051998244 -0.8329022126529517,-3.0720399652646524 -15.612442262211253 -48.95021406708879,20.71671660756172 40.899528677364636 7.839956338066107,7.747458940551902 10.810746794551093 -0.6891811518575721,13.39871096008499 2.348981386125271 48.376661555798506,23.204620260981248 -47.72045375101524 -10.40598899914746
-30.064759005669426 -14.408617459812417 -4.293375285922276,-23.230024932576566 -6.284700113988109 -6.86486313405412,-24.1311646283659 4.297118608553389 7.974996763970352,41.22725212658326 3.882570192801332 4.682912195803474,7.876771284135844 -0.6780935004116421 -0.7530258947620313,-2.551823339135699 -18.44283542931811 -49.54032500403926,20.74328049966927 40.932585133698396 7.817775843798331,7.938385268448152 10.960464462421008 -0.32308327645612617,11.990534748324013 3.1981883831839015 48.737308841133675,22.898237933189783 -46.813510839774665 -10.052967822092164
-30.54813260459163 -15.791722968387678 -4.462414875533116,-23.621261625826165 -9.214277055312152 -6.908058678455647,-24.738503443437864 4.730057245328437 9.653649390460668,41.82636908402579 4.254247570469118 6.57077881416632,7.9906953847841695 -0.24855969398344915 -0.8092090099112235,-1.0237451728267042 -23.12103804317128 -49.98601230214389,20.207513589613765 39.556549164675886 7.318399805826237,8.02670538400427 11.440350316449248 -0.04260134887841563,9.155526670250241 3.7775026614201064 48.73863009346136,22.014748195941554 -44.287160112754705 -9.066868439458597
-30.910347499022862 -17.540487781266634 -4.511596286170646,-24.108636041131792 -11.88542964506462 -7.102027146346978,-26.13795699525114 5.065487946683505 10.990800851420513,43.55996447870072 4.437735116660533 7.935759325280612,7.828292061654477 0.2038655928031925 -1.0087023263689205,0.25345446520899206 -26.566713962239344 -50.01618958420387,19.554897301631463 37.8941699319058 6.735096859247037,7.899792617305116 11.91032469214106 -0.08511981040982997,7.2997967736788265 4.250285791599413 48.32159136559559,20.9214170424134 -41.25878739836412 -7.915002466723053
-30.582528145270008 -18.752035168734043 -4.424271796114534,-24.226329963141023 -12.224719516108374 -7.483822490302489,-28.12835032789505 5.01977625541001 10.631063834596874,46.24558651262855 4.108552195590209 7.322102224536845,7.269097203481719 0.3972321729862589 -1.35243910653553,0.13674669013084825 -26.013816126203555 -49.39717993220906,19.196917080674613 36.98245616316671 6.430596880808885,7.4656901249911725 12.058180383964293 -0.6569518868170413,8.581279458945422 4.7470738784139765 47.436837218001436,19.964006283744997 -38.77440772914992 -7.032751559482973
-29.639068325050992 -19.373864696431138 -4.186480630595347,-23.90948010093322 -10.520030800276297 -7.938151524908061,-30.288188855252752 4.664722322406873 8.848325516393038,49.247154766848105 3.361426674194177 5.005969484143948,6.472731079998694 0.3268254521308844 -1.7769944954489236,-1.2095671969877841 -22.184360232307082 -48.28720271879313,19.151950690765744 36.86773182586266 6.415982915787291,6.852462390012689 11.888486454781287 -1.629481383820456,12.400853555283561 5.023276193385074 46.13552538764715,19.234677495480042 -37.04798209542892 -6.486146724122537
-28.541804299188733 -19.865659376387576 -3.785880368691353,-23.33471916502064 -8.48147717902669 -8.257962060402411,-32.06327901062418 4.286205316932653 6.897788553511374,51.65536734180965 2.5435765897620124 2.3066582368829613,5.767509377687702 0.1549104212133499 -2.180180607552391,-2.8337781511779183 -17.90122957504691 -47.08051728367836,19.201606305900256 36.999629354926945 6.4905403769994106,6.320693206833725 11.596606985808398 -2.6723634070427753,16.498817473584467 4.608362320750382 44.52935291090286,18.67284829336267 -35.79232357305013 -6.118758287591621
-27.733986091205146 -20.64783117217131 -3.2256509075948605,-22.6905698392452 -7.710056769381312 -8.265428468703336,-32.95895844357053 4.15231529147597 5.954587631861575,52.66543598434223 1.982707943237486 0.4854205906222405,5.459662570919574 0.03735870942602643 -2.4648273805964425,-3.838178232033256 -15.794038200877667 -46.15859512162062,19.139290674532717 36.857329139014354 6.464052890776258,6.112588404198565 11.371557972304167 -3.466015800307998,18.73903409128897 3.1040530325195825 42.7458193718132,18.22356642991095 -34.74152471192492 -5.784537847300531
-27.353350734235605 -21.549080976274002 -2.7070199824398364,-22.275070286689704 -8.162839404203389 -8.172271555001203,-33.2645091734911 4.266255893938287 5.998498450139416,52.85594196187382 1.7128814429141361 -0.12131356997005027,5.543611684999618 0.019031947867155688 -2.6046851248831793,-4.153307447464684 -15.65405722765317 -45.698067439397214,18.950738827642056 36.402327679310716 6.317632444344813,6.212264961117438 11.287742060416072 -3.863796612072139,18.855764324668108 1.07491181403085 41.1037065743132,17.930638072754505 -33.9895691262281 -5.509143523268891
