-29.1 -13.2 -9.8,-19.2 -9.8 -9.3,-22.3 5.7 7.2,34.9 3.5 12.9,8.1 1.2 1.1,0.3 -28.5 -52.3,20.0 39.0 7.1,7.8 13.0 2.0,1.2 -4.9 46.4,22.1 -44.7 -9.2
-30.78064869363196 -13.998677569370615 -5.616471276448458,-25.470779157048113 -7.830245389291534 -10.006556447012997,-24.315534468075224 4.5831329867413855 17.47718856673959,44.137103954420304 8.435776758138879 11.33274479733968,5.344975479443082 0.27796659482996366 1.7194689621174226,-1.8395790238083851 -26.20133470388746 -54.144310246711846,19.97675368728654 38.890326765904774 7.063395440633418,5.251904852474681 11.060206020051371 -1.2861927342271393,10.873480427464946 7.407241474012439 51.61296043060163,22.1191535688118 -44.76074477004616 -9.218238528668671
-31.25907391241219 -14.193442306175774 -6.559224143381195,-26.633070519198814 -6.9448930016810815 -10.622787127562852,-25.90055361145142 4.390000619972288 15.685008842055508,48.83199312520328 8.665263307352078 11.787540568906527,5.2453209568142025 0.7028231612199269 1.6977793929938498,-2.910094360492018 -23.644770209404342 -54.29622820426926,20.456404896733662 40.09767974180945 7.470377394367046,5.202363058511693 11.454861815313208 -1.6312878420715409,11.629944045835614 5.610436721925292 50.83761898715217,22.531170240145073 -45.9730868331261 -9.658521746283526
-31.657360313164528 -13.908463403726762 -7.637992849609631,-27.788891474550386 -5.5564036557351155 -11.256260292768074,-27.60063911941636 4.1678312997694515 13.538169570458873,53.917018036646674 8.777858745777053 11.668832434747909,5.256861350335245 1.0172727312830978 1.5712587043868356,-4.012499776054676 -20.214775067034452 -54.38072692905367,21.053156393554467 41.679836745583806 8.027745920890355,5.256078606633902 11.826764164703063 -1.7043620130683277,12.325591192750203 3.048083643009204 49.38953365198347,23.303073705976225 -48.26196044769811 -10.533253999598195
-31.797335194107863 -13.312130821148934 -8.354400346344526,-28.437618592194553 -4.13151210428972 -11.87800043437882,-28.677892139267463 4.1079715489595845 11.833657058354458,57.25724147552502 8.542468836297626 10.852163601002824,5.049944060299177 1.0916939969302046 1.499270434159804,-4.507679863033226 -16.792002232154672 -54.526508596676926,21.806674396662505 43.80936870774297 8.816848193886596,5.045656847641561 12.006484166028915 -1.4465151416276978,13.36652581958728 1.6527027948033666 48.32027967379746,24.217641230699098 -51.0693487704928 -11.649910487194791
-31.533589642600912 -12.670050342007299 -8.36700458824204,-28.289189240740345 -3.0942118154370504 -12.421013043123347,-28.670561718433817 4.318026123795988 11.087326827674582,57.54662707654686 7.859609566420649 9.39464509654411,4.44635313493589 0.8712801187400597 1.550544617215256,-4.115837400692155 -14.004748968421698 -54.7810019721543,22.69214251693703 46.43760179634092 9.827564281943259,4.381890398694033 11.903314300554108 -0.9024544077034805,14.826202553015374 2.488803309304253 48.270720062564735,25.04934166744692 -53.756812479192575 -12.766165392158479
-30.810397319881595 -12.513931445027005 -7.763933351100922,-27.62989764356155 -2.7515028164195168 -12.714236224440139,-27.87278183418261 4.676377905874634 11.04551008676819,55.748044589530025 6.990046577399131 7.8503838748292285,3.6823920881172474 0.506009915169341 1.5457250310771484,-3.540717691105975 -11.790552753742618 -54.96917044510892,23.50823955885964 48.91026068229794 10.799406221572086,3.5633143847361763 11.642026897049595 -0.4004856922591291,15.867532751587229 4.244932903693072 48.757497105921495,25.54990169800265 -55.46577608566495 -13.503375231979772
-29.587288114023817 -13.420466920940124 -6.706171970556617,-26.843727488945476 -3.3904547533471345 -12.569012235860015,-26.706855307834683 5.022554189616973 11.324088833165147,53.209023462098166 6.255599936988799 6.857683079649912,3.0646164507248645 0.1805669448732713 1.2634347864088038,-3.652705298043109 -9.96986610208084 -54.8783112517867,24.02374973368513 50.47049208227684 11.429475269630537,2.971118960501847 11.3839146031898 -0.31694347806267315,15.49922977223007 5.20701067826014 49.10671398245241,25.467254301895093 -55.300547084858664 -13.459872686689351
-27.960020071540878 -15.590896379178531 -5.409588023416414,-26.212838886678217 -5.043144873932813 -11.932966074889507,-25.59939870581573 5.226491633357766 11.623179062424155,51.12835200660339 5.8980027061685885 6.851927103232018,2.807555944207405 0.028782873504532257 0.6046349961459334,-4.9674778705362055 -8.472018728269708 -54.44616205546004,24.09904598028243 50.65564118382015 11.528396587983663,2.8598618394129223 11.245665656079971 -0.8687580857826283,13.258874753037512 4.31192661662653 48.87160746488468,24.720426003187022 -52.93837445772603 -12.480813743090215
-26.4575468391221 -18.032545717981264 -4.264570607411016,-25.69560039928989 -6.930793211570598 -11.18709190451263,-24.99074598911295 5.2548264530145 11.910754735368627,50.23183258225129 5.9043171101341025 7.623233519409655,2.8331049332291043 0.02278405878472809 -0.14068730933077325,-6.8727709597738675 -7.5725618986680265 -54.088850096292425,23.885746706024857 49.938582837526894 11.267793070004213,3.0814188147630786 11.202129523011779 -1.7659662359513875,10.365809772724479 2.5666105952821807 48.32768257622413,23.772508308979354 -49.87841929016418 -11.196234487221481
-25.69473110414966 -19.51596489909793 -3.696118120623252,-25.186165014092623 -8.113811813229475 -10.79832913299087,-25.32394805847497 5.093373331577413 12.207912282591236,51.151456723324536 6.211097341503593 8.833748007195352,3.0051217627108615 0.10262678594126233 -0.6053935960561019,-8.532625461444425 -7.615707837767061 -54.317375536425246,23.59323087300727 48.97772865502487 10.89088175828206,3.407805116150473 11.200025707705636 -2.6180764733628883,8.37290293277978 1.3885256564795045 47.893685803531916,23.19449089745901 -47.981161980753356 -10.391827563606183
-26.018159537756333 -19.2094905400318 -3.965039980034132,-24.589605978409125 -7.955814223712638 -11.079405078274185,-26.814645912737227 4.765759178637791 12.517496987167526,54.12266172421255 6.716090052012309 10.15988442525353,3.23194908313081 0.21006006407549624 -0.5379142835358005,-9.349142547064531 -8.740652203036685 -55.426654349412686,23.398146518506955 48.332636020960116 10.609605781061516,3.679097385400739 11.193577555173908 -3.1091172877658573,8.313966778197045 1.802465515881968 47.86599658860072,23.355187959310342 -48.453785075987376 -10.579927949781064
-26.780708449929538 -17.754884750709746 -4.723979826243504,-23.85144583380242 -6.943490415320627 -11.771836280327975,-28.836140713885715 4.4356696458121325 12.774750793476901,57.91202432871533 7.173296447920623 11.330906820472663,3.5867020652935935 0.2931028524529048 -0.1147540861616782,-9.606212845050257 -10.327197062822599 -56.91121378945703,23.35590438257366 48.19670036868625 10.520067823027173,3.9874757936454652 11.164803086018841 -3.199143488551074,9.300201122089476 3.3787532890953833 48.087739540957365,23.874543624041234 -50.08361692291251 -11.260337524795856
-27.105226624504432 -16.134983292138628 -5.484800973408632,-22.926570464970982 -5.8235039929116414 -12.48491342407085,-30.566745872519164 4.299211668829262 12.89926659023029,60.94610433814552 7.303443040455924 12.08831318489188,4.180637995363208 0.3012255001822662 0.3884901569344858,-9.791846670286434 -11.57935741962894 -58.080304349773044,23.49385077456473 48.678556691170776 10.691555420604796,4.483478312687321 11.102154328895866 -2.912105416385654,9.997752704003078 5.351026184972172 48.2971182671288,24.199150978121843 -51.097829612876446 -11.698473488925488
-26.35077238604155 -15.148771170976467 -5.871501017906179,-21.788399207875194 -5.211373724444495 -12.887798189702396,-31.342849901195848 4.494681543140851 12.810755955156973,61.96916099825187 6.912302461827118 12.236099109062424,5.0374463358889185 0.20604178301672674 0.7511235727308252,-10.247690575035364 -11.952334994559562 -58.43637017188883,23.815277070856396 49.7992743847807 11.151290611105125,5.2269796321089395 11.00468718624708 -2.31043790961211,9.441524069623561 7.1069811430459575 48.25887502764376,23.928568517406582 -50.21399171098625 -11.36066694768103
-24.89682049337107 -14.801004970192972 -5.992493486436059,-20.49041521890058 -5.156077558100831 -12.908292731186133,-31.183719876113013 4.910635747452324 12.429443198132912,61.097903343498004 6.173043425087003 11.84824748560774,5.802526806951042 0.07482425657739467 0.9896257406862219,-10.683105098458707 -11.986448794592194 -58.316444775602314,24.21955823164685 51.20164272403248 11.744774039549034,5.886192432930258 10.917265901048168 -1.622827405775955,8.25942913776664 8.699847411848058 47.85239808167935,23.32315961942877 -48.26816631730843 -10.581189607730838
-23.39833166844209 -14.882020204174387 -6.086971638984974,-19.107716808736384 -5.553642119307258 -12.544025420119373,-30.292982368747886 5.368207489307536 11.675691053411134,58.81956624385809 5.358022053230318 11.071630774041164,6.0191507126791635 0.0006708652361653022 1.1845071890707919,-10.636749960488084 -12.5149713411292 -58.28287915988941,24.57801448081952 52.42632516480916 12.268446289699071,6.023590815311134 10.897121779747096 -1.1228439609027177,7.509453568203671 10.362530696475499 46.988027133621415,22.82168783556179 -46.668355093192226 -9.928634619822096
-22.420224932796465 -15.16858661245845 -6.359483036746121,-17.741309957930422 -6.25098242890917 -11.842628064476713,-28.878968273902245 5.710842670344113 10.493839068145103,55.61903823469124 4.69182526265022 10.059958346018309,5.382467476904798 0.05827580078455824 1.4079423505862687,-9.758334783012112 -13.979196723045861 -58.71412128178095,24.776275516705905 53.068245249925575 12.543414685702002,5.346866056508657 10.987637476925098 -1.012355358657838,8.013393340552946 12.25359385395109 45.699642304735754,22.761394025676655 -46.49756002946106 -9.841950977682304
-22.073385255415936 -15.369088863395133 -6.839872822431541,-16.622831772373736 -6.847392797956792 -11.103856566200397,-27.173714313195504 5.894498582974512 8.94912375242527,51.96934786277224 4.158168093929944 9.001407218822129,4.3534413160857515 0.22953498398567346 1.6900679736487345,-8.25752349146112 -14.843944510712863 -59.061317083696636,24.77212512935834 52.99592724081795 12.515166174651569,4.295938403840268 11.162366372001477 -1.1316853954734547,9.402084227795758 14.156730703065593 44.64404237269004,22.96760267227755 -47.200009969813536 -10.106371562322398
-22.3259163239768 -15.17040639234296 -7.503047010251244,-16.024999271126262 -6.864297602364475 -10.706752953420152,-25.416712041884164 5.91051427224782 7.144800401886343,48.339794033108255 3.6650179760701187 8.094993540806268,3.633864236395886 0.46716181952114166 2.0478011056593926,-6.520070312161107 -12.952487140252865 -58.48400140739803,24.54603759560927 52.16393533568629 12.168301690428471,3.5409940724835414 11.372902448786245 -1.207462180301016,10.931837617950094 15.737749011335172 44.673916981505755,23.104654569818045 -47.70458446113639 -10.301553431403917
-23.07951986189277 -14.371495323898495 -8.295017277825371,-16.131631501759912 -5.975223829881793 -10.923967625030604,-23.814013328398552 5.76777226450113 5.226874045313266,45.131640303897015 3.148066588204668 7.5255812290356365,3.7680981372574105 0.7210346611280458 2.4751600809969525,-4.921311937787822 -6.892306499419621 -56.38502714066645,24.115144257829975 50.651640280579926 11.539401887654062,3.6031211016285947 11.57258473360228 -1.0217222682257376,11.912467133575841 16.634654195792525 46.40964287768703,22.91077315527872 -47.170768177428954 -10.097123756137877
-23.844589772051425 -13.432346485518734 -8.991505044130077,-16.602170501756632 -4.750913134380543 -11.400520368085484,-22.374438626636532 5.578544136766251 3.593390586371531,42.344910005821795 2.7066764081176715 7.394546048132779,4.371519828979992 0.9243745545064902 2.831143230857447,-3.7747671349956726 0.35869527915868316 -53.602878057840464,23.71271794166615 49.27429221584823 10.971521119477684,4.123583936407859 11.725091158236252 -0.6835262259584033,11.970129665652548 16.32173704866019 49.101076399884825,22.560261894750326 -46.119181988906874 -9.693763895106974
-23.988563233799734 -13.054446913810061 -9.306019484609319,-16.90448733728049 -4.089887148187723 -11.552138297332839,-21.034753718133665 5.49287265070763 2.7344741744994994,39.83304113375283 2.5000038657888126 7.772762985323173,4.720119435506976 1.0043171209028237 2.9254219467363733,-3.3713706900111333 4.218661170437725 -51.500517836266916,23.650994572015108 49.115980547533624 10.919677961317552,4.422220534409819 11.797876773082159 -0.42140650083368814,10.846551983386515 14.21347839892743 51.49738083443971,22.386737635996578 -45.56771147836424 -9.48616555544021
-23.027058470535813 -13.804834591140958 -9.000656197048439,-16.617256591133938 -4.71582104346988 -10.909812876935385,-19.76983848440398 5.631446882313434 3.035474683275119,37.528061905541485 2.6496863940213866 8.664577168417425,4.220224528457391 0.9025556901103208 2.6089627485072313,-3.9259266800476897 1.0505906794085744 -51.21213917713801,24.168394150485863 50.99948438486336 11.728160462721156,3.9416686105034278 11.764227055692182 -0.42868502875775455,8.432037166032238 9.970172901185421 52.51599304523981,22.66155657408747 -46.347484867463976 -9.796193095137934
-21.5029491461144 -15.317345914053636 -8.17448972452851,-16.0881562310085 -6.138652588381569 -9.804804863591427,-18.81915686771165 5.911366805721611 4.155493125690306,35.90754524686472 3.017022292860966 9.614087321502247,3.1839016218219527 0.6616226312649311 2.019104892915712,-5.126449263110386 -6.225285087379078 -52.282890840027676,24.99153340843223 53.93589514519039 12.97357201405323,2.9779410587220703 11.637750468471364 -0.6537154791287785,5.644238303632982 4.954391474930297 52.244352883486144,23.22344284406669 -47.991707008844095 -10.439575501266692
-20.393688256374457 -16.831027331231972 -7.069153197967565,-15.990190296512303 -7.354849220849294 -8.906928095210512,-18.53410481851091 6.163604239991152 5.446391699289589,35.67985619737365 3.353173666478688 9.970685412388024,2.306389135065076 0.3667101628736534 1.414337321379013,-6.438094676798539 -11.914705101660441 -53.58567821889169,25.630511242855118 56.169871676234415 13.907747819282797,2.1880702437074913 11.449114070090896 -0.9412179542459345,3.8354278260956858 1.248851220364969 51.26486873169237,23.72809604371416 -49.4844976410964 -11.017921725377546
-20.523176255916777 -17.66082040055452 -5.933590478513684,-16.87512891037697 -7.4943380718606685 -8.808415159250805,-19.20674098723081 6.241224322069852 6.330210185801467,37.40206678871171 3.4384899514602747 9.217388246229026,2.1984013567917953 0.09875066671733652 1.0258934123164394,-7.373341151555967 -11.121554366791813 -54.126911241005985,25.656132785627484 56.16901423250396 13.87884344104934,2.1476675393846096 11.232676843750392 -1.1435843422255618,4.117047423379666 0.589657663045326 50.115193547148486,23.86878492170493 -49.91974000709556 -11.17660731979322
-21.448564208445596 -17.753026333094677 -5.07229073949237,-18.29512821681912 -6.792000275976955 -9.4580098822894,-20.641248892553662 6.180242479376901 6.811097292043253,40.38890201344213 3.2949085091820227 7.934210351321962,2.769158844252427 -0.09735884379534739 0.8588738859045763,-7.837651069364861 -5.549153114611409 -54.0229547844684,25.14131135161983 54.24405843795535 13.031143105426203,2.7568405846420756 11.052451763522493 -1.1788871689563578,5.620987177819498 1.8611178421717995 48.95301412421544,23.650948143476132 -49.30378420916134 -10.92470003409341
-22.1084410898856 -17.362243425384563 -4.816866296749514,-19.314226257163448 -6.022273300103286 -10.490236282112651,-22.403579406485385 6.106009973591335 7.177449354715224,43.348440605789435 3.0623356791107206 7.236837484063569,3.5853381360070733 -0.19431766345557572 0.8079573928854613,-7.928383566993161 -0.12336935352042633 -53.93217205526688,24.404142995239187 51.605755081643395 11.897685919076302,3.585844086407597 10.986932042931521 -0.9972712492257848,6.512509057239106 2.554986774955502 47.75047727222183,23.232459005057255 -48.088543939116136 -10.448860918048995
-21.573874823241727 -16.744283192615928 -5.439173331733585,-19.113573520979983 -5.892120505410701 -11.541729932859335,-24.06911792668236 6.126505019147128 7.670098848228101,45.09829792975823 2.871693978794976 8.097191949993572,4.2492694857400615 -0.1694719305318849 0.7707890917049153,-7.741598287335223 0.7464012558429878 -54.44332234126661,23.73902621753402 49.373468060596736 10.970719270694378,4.241903773369691 11.102906338573652 -0.5714012089519024,5.178035780273807 0.45619158471156107 46.498315838003926,22.766639536570025 -46.71396026100266 -9.929690776843978
-20.24172958719627 -16.1464780596183 -6.629596042646691,-18.042479946501075 -6.418505928902939 -12.290247931463524,-25.320420334841128 6.175303537219601 8.049795227496714,45.55854098564556 2.759006412540347 10.057373659337324,4.73165537427125 -0.044090828842777714 0.6810443908035793,-7.348145097307928 -2.127318827263911 -55.43434404107003,23.19436781139474 47.7209111322557 10.321239818637416,4.712563182020295 11.352667082640805 -0.0902985192225557,2.212943446488255 -3.7148355139990765 45.379750637239994,22.352648559898164 -45.474564624139056 -9.477336317799331
-19.25393773302417 -15.811395389972688 -7.75174423372503,-17.10673524551749 -7.230629248357345 -12.436656761171143,-25.900269954361736 6.087971217489037 7.807491908642725,45.26879021003758 2.7069645571354335 11.855953960033895,5.210215326653635 0.1358726776554679 0.49264690222558144,-6.804706527302234 -4.997404655186442 -56.38370993498735,22.680332670411357 46.29036359088595 9.783510627761908,5.199096045215274 11.62416236156261 0.13542758712875452,-0.546008900662656 -7.5879733709248205 44.68617646677387,22.05920637184215 -44.583171490443476 -9.162350603494875
-19.657623044088652 -15.956971061736978 -8.214413275429157,-17.221009691950623 -7.977327158179355 -11.72918137119285,-25.590044571078376 5.726332952224397 6.515075624393751,44.730691651647284 2.69618158281621 12.330773126081816,5.843077597202498 0.32591909348108733 0.17317572422682365,-6.165666546777248 -4.451797919443725 -56.78648812269201,22.111275929135587 44.74058776604629 9.20010983335733,5.879330230461521 11.812942614700075 -0.16498372100967446,-1.3900157774234259 -8.958562611898753 44.67484389119394,21.94352201651312 -44.21861792428263 -9.042859188170702
-21.301430055894333 -16.515416007136615 -7.993929311296477,-18.15583401677827 -8.58585061154628 -10.463601071788396,-24.611995808316916 5.270148577921281 4.7201647638828845,43.92433721778298 2.6900043882931564 11.57756066947199,6.533856744870637 0.5016368528753073 -0.1536629020403218,-5.460520045150656 -1.3530038884496713 -56.38231408428261,21.468137527983657 42.990670278723606 8.54088548148719,6.630902306074109 11.91125469586532 -0.7833355586175881,-0.2582298688928659 -7.758724809218073 45.19209099276546,21.93292161350383 -44.17531890886195 -9.037636892353511
-23.26079088597254 -17.234602483666443 -7.432767370720438,-18.943584407143703 -9.163072664068912 -9.28895605131377,-23.472810023268888 5.1042972499312125 3.5998820106983977,42.49333227291127 2.6406403422603075 10.503587546061418,7.021964944506031 0.6515743447393496 -0.26343554645801637,-4.702704440845689 0.6786892165464384 -55.068608706583724,20.774815346639247 41.1276489056649 7.857795238069221,7.137777034437918 11.973730242387328 -1.2024260625250769,1.8469973212145114 -5.299149887737513 45.81915102644861,21.870935847233937 -43.99967518147646 -8.975554837400091
-24.652778838332146 -17.86583804290048 -6.867021339213704,-18.681460586003894 -9.810452511566549 -8.812681095953716,-22.65936408349072 5.576808642446615 4.23527332963323,40.12803093921864 2.5043816863954618 9.978101979941307,7.064434393955417 0.7643717850097517 0.04342538284529701,-3.9022770969402285 -1.7686856964324411 -52.79018436464352,20.064536162617685 39.26182743601967 7.209372441417471,7.106892094714433 12.052890358601623 -0.9424701228976053,3.928456384531447 -2.8809855650720935 46.15279747057768,21.61539596046467 -43.27852208918172 -8.700841711011917
-25.362652563811057 -18.252108668457392 -6.45691715429408,-17.55320650008366 -10.511004543041514 -8.973133626483557,-22.312676176211777 6.468419327350425 6.206059918678323,37.25638515137673 2.2976834475302135 10.144143657175645,6.705080668342684 0.8269200651237185 0.592529707876671,-3.025447791418719 -8.524768025181148 -50.12245181029122,19.491864799907514 37.79184407173336 6.727508594288679,6.614298891936093 12.15687535742385 -0.12335956401138419,5.311016334013796 -1.3472646507580095 46.07097890085736,21.24527291317613 -42.22656663163514 -8.29519114049878
-25.84352933924096 -18.304170952532296 -6.2326754992565725,-16.54576224211225 -11.160186276575862 -9.21407512407466,-22.31809854058096 7.140510986533339 7.982152403720339,34.8515945268756 2.0814742377505495 10.60792377016949,6.199715595064248 0.8248169393729704 0.9330498696758207,-2.006013253087908 -16.77106583997771 -48.10697326423093,19.301061696498998 37.32947982482017 6.59832308420431,6.008905393778334 12.261018345357515 0.6917200961545605,5.557633267394353 -1.2023718620151085 45.65949438781824,21.003008755354113 -41.522651626000325 -8.015835787967575
-26.540965098336397 -17.950062179250903 -6.218349722553734,-16.615797626798546 -11.65774220065996 -8.997002176988946,-22.558999304805145 6.983890333239654 8.097900486401029,33.85649811603675 1.9193686291088936 10.972929627981008,5.797577341342608 0.7473886436722855 0.6370949055456091,-0.7935836907921084 -23.71884853123786 -47.72962057598947,19.71732961612224 38.437002680532515 6.9915855679982855,5.628957401829143 12.342022665983572 0.957028042290406,4.297782761085719 -2.8709266916211407 45.014431688969836,21.118558137078946 -41.81125228879504 -8.107254389088713
-27.53904791563511 -17.389553069965306 -6.383972204400338,-17.869730726085223 -12.013198179192232 -8.291314028633161,-22.9881792055294 6.069153392568867 6.654073151479009,34.46683733465699 1.90343870683932 11.013412369056217,5.5480067817395105 0.64905165052252 -0.21381486583970238,0.37523373047982633 -28.16979981004924 -48.822647656617356,20.599440768596512 40.73274660261841 7.7719265915650935,5.517296639665735 12.41363827121187 0.6088704146144972,2.2161884777116443 -5.533751056747646 44.32566573441478,21.539270964588695 -42.953285757884515 -8.521806412805754
-28.616121091373607 -17.052257958193042 -6.6538821096336935,-19.694800795343532 -12.328937797703905 -7.496015428745826,-23.617168010645052 5.041890686223786 5.076382938220199,36.2464268812614 2.1498271221308154 10.64806238736431,5.331263222216917 0.6392785022492504 -1.1072775597264932,1.0210777049382878 -30.270842957698306 -50.24252966595704,21.496224932738546 43.036626312192745 8.545877159619705,5.466899591491631 12.520950698162954 -0.00871098253168169,0.8901474574716501 -7.319610379429123 43.86240060396802,21.973458121898815 -44.14690267107725 -8.964764520737612
-29.538366447369388 -17.343096489154142 -6.957134560171037,-21.46024742572884 -12.694658894345617 -7.013305606491861,-24.452008304062726 4.541394494682588 4.76452457546891,38.72791931325407 2.7594795176882605 9.818355737116708,5.0318981295145795 0.822324347868902 -1.5352940553696415,0.6840577660462495 -30.211549661592773 -50.8606535117505,21.961681304602664 44.18334061414684 8.925225807983011,5.274764156774734 12.706850562081623 -0.544209336145595,1.8355238108934884 -6.4301516107473375 43.88370421922627,22.13337756479906 -44.600287311467284 -9.144651335910234
-30.01712916284492 -17.974881888959438 -7.356185354778014,-22.636196986620483 -12.86173521184771 -7.021324741195409,-25.339728143177528 4.67791141105688 5.649788159708107,41.20002495939438 3.4875533318164296 8.86097939253541,4.742916010209188 1.1517843394933898 -1.3794457545423455,-0.5080093514030761 -28.18739091342529 -50.53774171834384,21.873439841055813 43.87307408667992 8.811908410450245,4.995624461957847 12.945266553311502 -0.7626938650421037,4.627425713269277 -3.364774850329492 44.37481199363615,21.980021234577155 -44.19154653630302 -9.009109639827262
-29.710721530203855 -17.991086598904126 -8.042502986325328,-22.79034413090087 -12.254344978929618 -7.481523994242433,-25.97357156455152 5.050044376834475 6.243359765965848,42.71553597420953 3.7547918986841022 8.494831473504215,4.758917711309089 1.435549330323222 -0.898080009298888,-1.8589313152820228 -24.39954296184164 -50.09130995602207,21.422115989999146 42.64302843535483 8.388464287844185,4.933473076514625 13.143433819611896 -0.5419752544824883,6.964043188346954 -0.8450527615822305 45.05613407555126,21.714933387116915 -43.44667384160638 -8.737036931650804
-28.295827878394306 -16.447686234726515 -9.201784245184623,-21.519459587093785 -10.313564325913934 -8.341192716140522,-26.048616513559505 5.245349434103275 5.051537041747365,42.35085862635179 2.9931195503631054 9.425977549363212,5.367947562151145 1.4819956824117886 -0.36118211672274503,-2.664929240082548 -19.074110360033693 -50.35025592640503,20.811705302405734 41.06456973770936 7.848940107233051,5.388584524290046 13.209121233472107 0.2255802226755251,6.545378891368566 -1.5956759705548889 45.64101619168411,21.547465077413996 -42.91510523436888 -8.516697724944564
-26.01925188003813 -13.507605695976814 -10.713061388466983,-19.116536773563155 -7.3209420209937095 -9.400579808476431,-25.485437302425563 5.125668717727774 2.0572397927552606,40.105647142836226 1.3244582546669805 11.570381504329447,6.447196102156227 1.278398564474573 0.06601263023558744,-2.656960912748099 -13.122596123756251 -51.37309737827854,20.262218682069847 39.70698586048933 7.388184795024486,6.275047663296614 13.140630740737238 1.3716210689874924,3.2526816788373942 -5.90495511785265 45.94739996015537,21.630533894031142 -43.06134433941862 -8.533782183349018
-23.758114306984712 -10.557599715917403 -12.1163220483542,-16.644304552919714 -4.4872432867081535 -10.297368018467031,-24.453914318348897 4.856091772567964 -1.1240764514494082,37.0002876052279 -0.36641692139211934 13.970480288675816,7.419618854971538 1.0098215172964815 0.33407928514659085,-2.0466237640933267 -8.214271577332486 -52.36662923684477,20.011373414520296 39.1372670255483 7.201934245916669,7.079989117495527 13.03635656585153 2.422669837290753,-0.621239989414188 -11.367568393117857 45.90886696042882,22.054665262809202 -44.25599455990252 -8.971134300147508
-22.40366070616539 -9.017445508823549 -12.94391067639024,-15.183270733556718 -3.043096108102226 -10.669336990473303,-23.138907935930476 4.614775708333222 -2.827034891275322,34.09565041393461 -1.1748758054585102 15.639454035557753,7.69847875567659 0.8677095463055103 0.4015898393414193,-1.0730821228225285 -6.019219243070928 -52.513173926281056,20.289994765965204 39.90302045289299 7.479277514791942,7.280780656746774 12.997685534965862 2.9004599762373453,-2.7024615940709693 -15.47191913938736 45.471073764691056,22.90018601529774 -46.84128497209188 -10.001200987658773
-22.1698983341597 -9.196968670070136 -13.090787777949412,-15.006314109248697 -3.185584680817042 -10.465882930504902,-21.80138579439623 4.483733463407789 -2.6519066602313974,32.00077607516545 -0.9148482938829355 16.17449325194725,7.202897376418535 0.9023742753606234 0.3004908434006169,-0.07414151072992735 -6.8012305505289365 -51.712941102541116,21.042975675440175 41.846423338195564 8.164222882816638,6.806689760086937 13.045912033520947 2.7295770954649834,-2.2166640680779754 -16.919266603204406 44.80270826249782,23.992196947783174 -50.2983521716268 -11.421093114559664
-22.41448297213804 -10.00248775767238 -12.91043310802397,-15.36508607404253 -3.8049020197008683 -10.030433667017375,-20.798551332511945 4.423405991633373 -1.7993441613144256,30.753377097225183 -0.30886615000043827 15.911255469491293,6.491642328815133 0.9856675730796075 0.15550920744120883,0.48766314208281497 -9.045875778320616 -50.77389150250159,21.853654554232296 43.91765363440513 8.890879906947141,6.158395125908584 13.101055488426065 2.344003640771765,-0.4121908379673902 -15.944497053126682 44.35447606214957,24.83307169393546 -53.01950209179754 -12.553318179744016
-22.45022942243206 -10.267637515548929 -12.780199295282456,-15.45654775920853 -3.7264496244850265 -9.727016097473113,-20.488134778576114 4.387518342754024 -1.5547460888337572,30.352875480362705 -0.12747662167992826 15.230297153550522,6.156608269002239 0.980077212329228 0.09555220559510968,0.1519869777204329 -11.142827284411604 -50.54847367902494,22.287195879336437 45.02224308278995 9.277883321961935,5.866087655803197 13.078033602317207 2.2039996704135403,1.3451970327287024 -12.891235717378889 44.58554792719101,24.912552789467068 -53.35305149698574 -12.7008379799646
-22.097300143268296 -9.698159105185368 -12.798928799013256,-15.021582722869294 -2.7328798999091286 -9.6845265820537,-20.94407902794061 4.384229175054888 -2.3028934061113095,30.716330538895235 -0.6249618400910734 14.38779566409843,6.392304914120447 0.8528429668730163 0.1604921058601863,-1.0293278182875254 -12.395295369658719 -51.198329349066995,22.16106574347907 44.69778654801737 9.165277825742944,6.100894828361357 12.961882031654248 2.448138500180704,2.309864737467385 -8.623466563339747 45.47129811791145,24.126063928443827 -50.94697897246036 -11.71444323560961
-21.91036216799234 -9.262372013306068 -12.662255368954193,-14.588529646652768 -1.9926901661194476 -9.691454950278235,-21.829478335999728 4.500502545937723 -3.1247119464462214,31.641562306278015 -1.308189247907346 13.459860470985143,6.817934197024725 0.7228576693140817 0.2613021489275606,-2.2629283382447367 -13.429050498155929 -51.88499551716134,21.657995928331122 43.39693832295257 8.713650901748931,6.514115708880066 12.839148595776388 2.7492765329132047,2.6339554876341458 -4.758514724294757 46.28669212964621,22.95634731007891 -47.33082802737975 -10.238035359740225
-22.495117639784862 -10.015250675617084 -12.038705859819963,-14.741908466631656 -2.769018542662986 -9.512922710702654,-22.775699288655655 4.8278494392461475 -3.007185913349005,32.91542026538087 -1.6287728806855242 12.510167582145506,7.011097839301484 0.7196171247014607 0.3001262785206544,-2.7044290164023086 -14.970138013659033 -51.702094785369844,20.98897724688791 41.64338485601139 8.108401176563817,6.719414990548176 12.803374773590445 2.747203062070987,2.5388097720104774 -2.9566051127047728 46.26063794056323,21.92876595846721 -44.17078497477819 -8.973013523144434
