-23.2 -19.0 5.6,-20.0 -10.1 -0.4,-27.9 1.8 13.3,48.4 2.6 0.5,5.0 -4.0 -4.3,-7.3 -16.2 -48.8,21.9 44.2 9.0,6.0 7.1 -6.1,9.4 0.4 44.2,22.0 -44.4 -9.1
-28.63364658656578 -19.431452492991774 -1.5030243855525909,-26.255139927278535 -8.848075766090854 -9.019314253299402,-32.770706781881465 3.635072549792623 10.132032992593567,57.078410364955154 2.4272539141612444 5.646585165870519,4.679304085958479 -0.42787814394331064 -1.5778443515612013,-6.813453478693014 5.753044181783076 -48.109528722123414,20.96441595089951 41.441363646206575 8.036243461602185,5.210149853565208 10.459275600927292 -4.135153466500782,13.93859987234118 -1.131756338285852 41.002238951852775,23.230746943694715 -47.99973886273699 -10.482427742628763
-27.442001556288986 -20.09043797822294 -1.898508400148415,-24.36927875849469 -10.342091961675202 -8.227601692523022,-31.10320614736261 3.7580881240558455 8.069777220148529,55.06010513041498 2.273729308341014 5.297371337002897,4.280638938216779 -0.28959291636692686 -1.7314587506112353,-6.834147694173888 1.1965355192446565 -49.625958422634774,21.971564501596312 44.238211796216085 9.029637121266001,4.839244921413116 10.662424738334371 -4.285659897869624,11.389854408661531 2.8735351559813442 43.10605196638117,23.58983467699396 -49.12884178940527 -10.946704547242781
-26.576487233252468 -20.08436581987387 -2.449086789425926,-22.193902979807582 -11.36804739123297 -7.8028226525230036,-29.10030291447835 4.124992732634008 6.577704121462222,52.32652989959969 2.3031935756881103 5.2498296436057235,4.189557184187625 -0.20950201061682697 -1.5456421278594805,-6.508599641440024 -5.681469826346465 -51.79383524160399,22.736161094211962 46.43262567269559 9.819012653617163,4.686956378189909 10.850206136905161 -3.8625241238445396,8.459471240510966 6.947789103207926 45.6532976866863,23.723508175951608 -49.57515217342833 -11.133894333871401
-26.249311380734405 -18.401244399153562 -3.459056221550126,-20.839643403045464 -10.194029872899085 -8.818812114864699,-27.894670986242943 4.571478900646308 6.464270228680349,50.94391860615622 2.7133848460689256 6.245217163111547,4.209967573010866 -0.21122772090499695 -0.6554122612386979,-6.210370006415052 -10.182996705982184 -54.03321457594757,23.063151786363548 47.381842648785344 10.169980788088003,4.522727397054123 10.891804939895145 -2.8311621340445505,6.817429359599323 8.165278466576382 47.18583012763466,23.648205198840664 -49.32205158951631 -11.02112388548702
-26.46762870901881 -15.166419217772063 -4.922612485424372,-20.685319337749377 -6.691719757600099 -11.277736357376488,-27.81632785967859 5.012554838883236 7.871352487165959,51.41799216058684 3.5014202405203685 8.209401243497812,4.285432327381392 -0.25699083404073386 0.8682468080626922,-6.119708086387432 -10.784826638098036 -55.80440959969179,22.9153109928861 46.94304976566476 10.026489244365536,4.312615290781812 10.798265235703994 -1.356140899144285,7.159246622120639 5.719582932655159 47.170527715133595,23.46417157216954 -48.670635632994184 -10.728548276729097
-26.961203142334277 -12.043797789850238 -6.41445443782251,-21.11977328063246 -2.902098397580387 -13.732034283532766,-28.109476955209278 5.47052508985826 10.039095179216881,52.14344738563242 4.3930216556443815 9.965209825660166,4.548433494591311 -0.22594967004870783 2.3645864745533154,-6.155356230741354 -10.258474794968913 -56.62219322922823,22.46891949407088 45.64975382362167 9.573735687880756,4.288652201305273 10.772534445688027 0.1285660035885532,8.862213545470006 1.6712288113779827 46.325619414632314,23.385026640110112 -48.35179570389325 -10.569807778747645
-27.442241642264126 -10.784650654887693 -7.48380377539558,-21.46743283945966 -0.9957705643648501 -14.650667107238425,-27.95163180461099 5.974108913017825 12.147939956925821,51.38976790072626 5.0969811868008525 10.27415032663356,5.141721387118398 0.006440996019502536 3.1395433930627634,-6.217719726337035 -11.642588389836499 -56.01804059861136,21.915034060339387 44.08194632829467 9.013572879792115,4.697543373932046 11.027672368195802 1.1739562559084427,11.209712541431793 -1.7333669235118887 45.453205442155586,23.628765758106365 -49.11453131854844 -10.86702799842365
-27.75093434715453 -11.829329886024873 -7.937880308903617,-21.40412061036053 -1.6817434467443952 -13.668289990584102,-27.143369633546946 6.479935991172059 13.636629194581436,48.90444784083981 5.462168832178612 8.916318028296594,6.019537069613566 0.4331779645777044 3.011963462437382,-6.220732145143893 -15.712565896671894 -54.29361711981981,21.421952202682427 42.72827091091123 8.51968139155398,5.533599617127645 11.566169569116017 1.5766995809061206,13.46493940064967 -3.3046067612282615 45.058188072421544,24.19308977109581 -50.963838590175094 -11.627405714250465
-27.925845319334154 -13.586263933545661 -7.983800925975551,-21.150321421429705 -3.4035479802723994 -12.226383715348234,-26.45101639320555 6.832897163344789 14.344271385876027,46.72589764002858 5.554575339351344 7.250619403035444,6.843932272596107 0.8433579780110549 2.5957019097494323,-6.099295901050627 -19.735770243576894 -52.9443831356147,21.12269457997333 41.93578199736167 8.222074900579418,6.399920362252461 12.064134304024625 1.5142573657434764,14.859800650999148 -3.490963358568241 45.18481277112308,24.73424303273095 -52.751508357153185 -12.369998020720642
-28.021225406069192 -14.300719308868324 -7.862874604956451,-20.97084333338485 -4.419525368818324 -11.911694776679818,-26.716497369808568 6.870212654724135 14.146701181097352,47.06968257416195 5.458383113969304 6.761946150153811,7.254039451568958 1.010360945941882 2.568559406248589,-5.7910420935232825 -20.702337853045336 -53.55367761744273,21.14575950861926 42.03534111194867 8.245552027580597,6.868404715467048 12.172526832182527 1.1968225226780562,14.632230056066696 -2.879343877479578 45.835936852988425,24.88176993209432 -53.23907649642787 -12.575607213438923
