-23.2 -19.0 5.6,-20.0 -10.1 -0.4,-27.9 1.8 13.3,48.4 2.6 0.5,5.0 -4.0 -4.3,-7.3 -16.2 -48.8,21.9 44.2 9.0,6.0 7.1 -6.1,9.4 0.4 44.2,22.0 -44.4 -9.1
-27.967455972441645 -13.263413754307786 -7.797738905205122,-20.90306212824363 -3.8592820147268223 -13.39742671023749,-28.109553979422962 6.60365609024949 13.125302856967703,50.36088306152817 5.214130528709199 8.051647651027022,7.088177545031876 0.8714767876775598 3.208896166721408,-5.316764883879976 -17.80890266647805 -56.37290155011745,21.485873023960618 42.996966857858595 8.583747509672449,6.731445720714026 11.80556775959426 0.8323628461262573,12.804105284147095 -1.8341393506059198 46.85601023604592,24.505523262005536 -51.99240701283472 -12.06092966548507
-27.474501377796972 -11.62537173094961 -7.977806913084798,-20.57965389125454 -2.4027792815819056 -15.731197797006761,-29.603823857334305 6.355606556640654 11.727221750884528,53.83853801797426 4.784694478241426 10.148872057757828,6.53910378727147 0.6556617224726329 4.084296290391595,-4.84524123564399 -14.178405312822461 -59.28336622675618,21.899722823537687 44.14858331417687 8.996899205469234,6.173789830475551 11.34593090878892 0.6248866902669703,10.792276882200444 -0.32378905488417153 47.807608050027085,23.902967668269245 -50.00860907711476 -11.240361566683148
-26.23178539307476 -10.724959778225989 -8.587792167774735,-19.594007362946712 -0.8880248280293631 -17.796020789870273,-30.053451616114597 6.478856289024471 10.436493829272266,54.42479023717262 4.126013726832756 11.924007076704836,5.835502320575254 0.6209642339416792 4.690650250444572,-4.5596559873777345 -13.325566522703026 -59.931530206396225,22.120508235036304 44.75482056992355 9.222201437701392,5.420112491044125 11.22292011641166 0.7767331034480137,10.151381353279021 1.7222134867223091 48.226204963517446,23.414600793818774 -48.428784848650906 -10.588443902770921
-24.250816866587368 -11.247167146676539 -9.624133972776525,-17.898466378708513 0.1082101781855842 -18.912756772815214,-28.874552685066917 7.089142578215573 9.617064675491827,50.74480497767901 3.351690853642728 12.735819210694476,5.116018907395555 0.881640637282425 4.756507537671136,-4.518146813817961 -16.851660458687633 -57.3615387381705,22.036412769843 44.50789887736162 9.146866810779025,4.618889041799066 11.620730797139176 1.3039637806972924,11.548094594053236 4.0981590777041825 47.936181779436836,23.226358006509752 -47.8706061430767 -10.36292092759027
-22.20270064135707 -12.538935865580596 -10.697706014044215,-16.180476644468726 0.5441391282909512 -19.29893366035315,-26.634098978008765 7.816739392511528 9.386947536274189,44.91135644255841 2.898207168078907 12.943222813795174,4.3349102810688445 1.2574761746082181 4.486878574853878,-4.522768093070466 -22.43942614760717 -53.4798508119368,21.853011069806602 43.975697682135355 8.965329420204961,3.76254510467734 12.221602377128507 1.841164202257407,13.830643586368701 6.032678189092266 47.35356834762299,23.207647567738476 -47.87981508259498 -10.377560237662635
-20.8380190075573 -13.784365647040483 -11.372995945712168,-15.215972514151794 0.4437893378589402 -19.281780008129743,-24.0399341053728 8.233289143123596 9.833375808169919,39.461731799206675 3.2402035367210003 13.026936503116902,3.424350811282394 1.5325649351640718 4.144881483367989,-4.344820231543624 -27.295407136923 -50.540153711661446,21.8142481387851 43.83197498480387 8.909183957509274,2.824799000277094 12.64693096580007 1.9771044380330154,15.62647965873874 6.687207195373359 46.96601295962654,23.189343163657277 -47.8716843672919 -10.392081018022258
-20.54752762079816 -14.44551957614055 -11.44507295680514,-15.355582574938365 -0.08256046949227493 -19.163116010504986,-21.787660274969305 8.13719610409502 10.856994288093228,36.227124036589274 4.467625428420013 13.283634399488903,2.454994917877019 1.593136323799949 3.928704770106966,-3.923998586650209 -29.63490649162174 -49.88831033183088,22.02634194654699 44.37540566061084 9.08221487028539,1.8912936909756657 12.69106420434981 1.550692247789582,16.08972937153348 5.801654289194667 47.03022822911836,23.064503164537804 -47.480250439670606 -10.254013233671555
-20.871426574627847 -14.641508522174567 -11.254053178878486,-15.944600759113545 -0.7207511238339779 -19.1847017636179,-20.543943556791767 7.862882579177557 11.917391008412073,35.36966589877824 5.761078149826663 13.574947592063733,1.8248351484996164 1.5668464559709612 3.88305679504036,-3.5980492670314774 -30.057725632280768 -50.72427492738729,22.269952308908955 45.01804584169387 9.286089688070525,1.312238787232521 12.55717129743947 0.9921090296396556,15.619470338842882 4.483315108075452 47.2570427066355,22.873177641299293 -46.856661873514 -10.018453327846448
-21.227318619829703 -14.586312681647561 -11.218524119254395,-16.183589247342994 -1.127360846735855 -19.57936416370415,-20.97048858932314 7.821925495649338 12.41082585807059,36.80975159311826 6.170472567990996 13.699795433227719,1.978695833191237 1.6161136873793773 4.030394818726283,-3.7618796718436003 -29.507939585730675 -51.93838511795174,22.278914459783113 45.04442078691011 9.279021325693872,1.4756487373913525 12.507321032718028 0.8165958532034236,14.794493509696139 4.036201822577059 47.27868892887308,22.676631863608144 -46.22668691500607 -9.770453916545417
-21.21542377300494 -14.46381210758941 -11.578685659507576,-15.607607270949481 -1.0869534536599368 -20.405666856308297,-23.199579177481954 8.239058123584774 11.994153447373657,40.03782233149692 5.195684466040811 13.546761483076718,3.053959887442792 1.8267846239423045 4.338881083908206,-4.580678593715286 -28.808483220092374 -52.67186993683394,21.92518757632506 44.10863624996749 8.946348785959573,2.489670983634313 12.69743184735547 1.300456459223277,14.108284419103372 5.2160803143197105 46.903272335861764,22.523618605791505 -45.76210113853393 -9.576222063522783
-20.93583055996369 -14.375495334470557 -12.0864467403515,-14.667315011132528 -0.7344209052885539 -21.245171978148612,-25.914343693742975 8.827576547952763 11.037540429115072,43.36743190551021 3.5682546111827658 13.249862358851662,4.346467227664676 2.075110101750778 4.6280589746968905,-5.590838326389119 -28.450700903167164 -52.75271011287574,21.458810144270295 42.87643097648377 8.521386537151418,3.69638792757805 12.992862481396237 2.0659641721740774,13.820826638598366 7.27803111677245 46.42030589285633,22.428640855532752 -45.48688885549315 -9.450379906741128
-20.573387756770614 -14.408840835060207 -12.410958116615287,-13.968557850828034 -0.2640473578045377 -21.598632427283484,-27.552413219991674 9.214101060637551 10.032072199960664,44.91289957679231 2.2284668357425725 12.98471241172357,5.009504813093432 2.2018213076859 4.692314825480542,-6.222199050033025 -28.869514549511475 -52.12541752747535,21.193881410727194 42.184951557710114 8.296407046758706,4.308118530222349 13.209720813213742 2.6245551240605147,14.152422266277194 9.22271464800622 46.200869673266986,22.400400705591377 -45.400001538668235 -9.398813427460166
-20.320968868747983 -14.54222322387086 -12.32015306782853,-13.943481687791115 0.15502650847739602 -21.160715813760802,-27.155299713839867 9.143357625990674 9.38690910441529,43.65876730526642 1.8505341930735855 12.878408162787492,4.575655410295302 2.100391609244794 4.4428962580509435,-6.08582212593128 -29.95671776726162 -50.970311517227515,21.318250792293338 42.53194198462766 8.44187835268856,3.8932744930764804 13.208552052980393 2.651254197678575,15.079350716524289 10.146534342390886 46.45169015917738,22.465335348106578 -45.57309583036818 -9.456298619551724
-20.39696545451044 -14.40707480994396 -11.896086091665047,-14.471880735696457 0.43361443121294985 -20.24272437739647,-25.684812238812874 8.735639625957617 9.25069580104272,41.35682171150957 2.262584080621785 12.903762974944298,3.783634767319576 1.832010658489313 4.162661258122257,-5.369039043494705 -29.876995794539887 -50.21756191402899,21.618302459858107 43.33587075327124 8.740939297611039,3.1526164402990107 12.99120888238849 2.341286562555843,15.801917081395827 9.45034943758559 46.856861408865086,22.70627829671227 -46.309025505043124 -9.749479608234118
-21.02482810492367 -13.56602485645419 -11.283109777270793,-15.32400523651642 0.49838744469018514 -19.27825247250611,-24.483595831107834 8.185724222214354 9.720407781941594,40.30764968473626 3.1249446261130562 13.002991830016018,3.6113586199392556 1.4911303401956586 4.208164660379941,-4.373469365857443 -26.45252374101235 -50.94604415849032,21.800801887858178 43.80116424845648 8.899913618202087,3.0114720849710426 12.587569325639283 1.9930447294648888,15.366538223567705 6.59540728119193 46.99682946355606,23.217246483214506 -47.95649169811398 -10.423218272591114
-22.31160500847122 -11.84145614641534 -10.63884189913088,-16.322141372790153 0.3009253343235723 -18.602130674687164,-24.530215877134307 7.663968218853113 10.728920305762834,42.06241747574818 4.105115038624984 13.100704158903369,4.6819922588529375 1.172892314125038 4.773905395760191,-3.380203321077791 -18.62567587275424 -53.72278938800764,21.677123304780224 43.41972930081745 8.734055914673151,4.058093505558602 12.067897222846778 1.8384411350586642,13.227172288820281 1.4981461085960788 46.62578929166871,24.00616735378417 -50.56607979160489 -11.49867730573768
-23.93318291428616 -10.017893989096988 -10.170035269212727,-17.48131955375312 -0.11492861502306223 -18.18336263400643,-25.454665030882474 7.250273959321055 11.601271581379006,45.39639260366681 4.897156640164352 13.056297382097908,6.304684172886122 0.9749932077135127 5.454117664524688,-2.594289255954898 -9.488110927229867 -57.21892692024655,21.44611800179901 42.74831745439276 8.462107201179922,5.6321845305224105 11.652047884420666 1.8631420573288253,10.347334636720781 -4.238941654008675 46.14151224836929,24.762087766392995 -53.08413664069571 -12.538830239935352
-25.4656418238375 -9.1025837878466 -10.094816648635714,-18.861187291753215 -0.6839736431466804 -17.90626911307169,-26.574763645837095 7.003605074312406 11.521795585995982,48.44226790683682 5.201279442905021 12.71407341740112,7.4844096771952975 0.9957210811894535 5.704084301997785,-2.2031730784747987 -3.091978424303579 -59.666716134033074,21.39633180650143 42.59017420632668 8.396208928529134,6.784430702452228 11.594504573935897 1.9958118580989481,8.039978174284798 -8.623069899659818 46.09074698635674,25.100238992792104 -54.201396130687115 -13.000587388924519
-26.552717549846363 -9.794267879639985 -10.545110535237745,-20.445709492557313 -1.3246090822214882 -17.690519800624973,-27.282983741700075 6.966054652508422 9.979301436677034,49.68809442333205 4.841604245088126 11.99190920727497,7.474451425074201 1.2918786510847762 5.1649273138126315,-2.3107590214254645 -2.2449835165157777 -59.7718894513259,21.723751801221795 43.48971281701587 8.747591559084977,6.799721111146771 12.053171351099003 2.1643321895309473,7.300009440417289 -10.264684741085583 46.823012580736595,24.774687863282153 -53.07892032387994 -12.535287574032537
-27.1304164943737 -11.458966824078667 -11.280450854259362,-21.89190501518715 -1.8843872731977929 -17.608490432125787,-27.29428976087413 7.1068356682976646 7.777919535066021,49.15705740275125 4.177541834080769 11.125523065384318,6.600770539140599 1.7410534914811855 4.280587012313471,-2.660054386604048 -4.378877954811734 -58.285565237905644,22.224514729899546 44.87320090682484 9.29155383675109,5.974695463261258 12.76873370547157 2.293203427147474,7.7483864879321 -10.38017305345412 47.83580366389972,24.139265659548297 -50.90957152162225 -11.634193541010026
-27.21365053580522 -13.102900877594514 -11.959835737805015,-22.768525768475666 -2.1917337074810326 -17.773783413774368,-26.41071073300563 7.375485356043484 6.0768829043681905,47.28678850360605 3.7130174065145605 10.436442229402132,5.478923498686589 2.172449737635501 3.71174382398441,-2.8966336677092785 -5.474045547811372 -56.511062997990045,22.58680811900095 45.86503578297289 9.685704251451472,4.879139882698081 13.369238937178586 2.3060130895039097,8.635136924723774 -10.88945810811623 48.39659037400182,23.709724504596103 -49.434745375883594 -11.015325703845244
-26.846517062194337 -13.899995578758423 -12.290437049120115,-22.75027395096998 -2.137936008216601 -18.2268628375556,-24.620235869230864 7.705357092952131 5.781227854716168,44.64728630367507 3.8270818649942937 10.194294999728122,4.653554897893012 2.434042621223254 3.9484854858702283,-2.7575204216116043 -2.551130820162412 -55.56109575020469,22.579540326180716 45.820118653151326 9.67701575026409,4.024861587829151 13.55196578798221 2.1525599740038577,9.288863771309224 -13.138906009764474 47.95703841282156,23.866486965558714 -49.941057526689775 -11.210464747398833
-26.220267745635237 -13.869815997262037 -12.22233834548482,-22.046086073571374 -1.931249598291878 -18.639408220955556,-22.84850438505733 7.948202827656414 6.514240518050453,42.475943212364925 4.269127894898288 10.407015739682992,4.311731389313772 2.468459660065492 4.620712459515892,-2.440854497315458 2.1238575708264458 -55.58724833570312,22.3786424517654 45.25563173442259 9.463068073443111,3.631302407827782 13.36328379048745 1.9148066493988194,9.434395784338163 -15.582811463227685 46.89759083368971,24.30759802525256 -51.421967985358975 -11.812307078320082
-25.572430252514714 -13.297857687735691 -11.782012262757874,-21.032900714878885 -1.8796075972880413 -18.56712642748042,-22.316020756175824 7.930113093169808 7.496131680478147,42.220028730630595 4.590537907852943 11.000243232695741,4.528071150803156 2.2480939250693015 5.087819854134286,-2.2897841956153746 4.635387528905703 -56.438857092680834,22.288043107262627 45.054262806304976 9.383144463285955,3.8259632598502926 12.959341975395189 1.716277572824693,8.921163868630128 -15.765991882432981 45.8907657436788,24.516513594873786 -52.14980208828009 -12.118232803212477
-25.110364554824372 -12.484740270573582 -11.018984310648241,-20.055458336295658 -2.2238445625518315 -17.679528667941312,-23.864177270566348 7.525127740580763 8.060674072660147,44.817591858172605 4.450754466911261 11.879499038279942,5.2913196091266945 1.7747832277437454 4.835976361147544,-2.5811149806685183 1.9414330336226822 -57.883479474919696,22.555277794809328 45.93197921852633 9.713322368129827,4.640324819022445 12.48848186554947 1.6393964555275646,7.685277581181652 -11.931257837467998 45.486618733178005,24.102288058911455 -50.81321817778469 -11.59429553239832
-24.863412696941204 -11.819707326587569 -10.118573220392902,-19.268244754529107 -2.808857069328668 -16.31755330227351,-26.097862819564032 6.890129863567799 8.212255936209388,48.203028613227886 4.146946641670152 12.831837625961832,6.084017312226323 1.2239559093931702 4.099598371609582,-3.2000737640258405 -3.844853588419021 -59.20702075592619,23.09502002807941 47.62070385418895 10.356608958302123,5.539772451533723 12.0527627897664 1.5240999822865176,6.173778115666522 -6.439892633363389 45.51233639554034,23.415172771839398 -48.55781064124962 -10.701960800461336
-24.795881325715428 -11.724379481830988 -9.315707143256706,-18.756239941482676 -3.3348934295852715 -15.067431578261905,-26.80490315137063 6.285333849270194 8.20026188432244,49.213408647528254 4.209264513370841 13.60103381139005,6.20377267246951 0.8344582449166218 3.386460062759923,-3.8888318269825985 -8.726975576631157 -59.51942392589292,23.700338648502076 49.49285803422889 11.079717413064726,5.782879580821161 11.737335774831203 1.121736905346559,5.020365630648132 -3.157783718729449 45.53101915475369,23.076201026976346 -47.426767802396256 -10.266348584348115
-24.87241967081178 -12.547804700899949 -8.789214191575564,-18.62193158121486 -3.566995702556758 -14.418861888323004,-24.285648115055167 5.929486742050285 8.248778080232837,45.44377844970732 5.039197424513631 13.935067278058225,5.097289336443024 0.7980578515999257 3.109519150256492,-4.433757637132236 -9.340259863083032 -58.10714622969619,24.175086679339977 50.953189412128374 11.659287863751334,4.784563674277101 11.608761500584773 0.23417293205633988,4.8007613706362795 -5.156839452065855 45.18058231175753,23.575249625871095 -49.03642628277486 -10.939683194961054
-25.06071306559496 -14.136310281625978 -8.329058722508881,-19.089716069555045 -3.720223697687429 -14.190780046234865,-20.396784017068924 5.753218852098019 8.404256788063327,39.74755020647006 6.145190201346554 13.611468472726187,3.2452838581041816 0.9799686986775373 3.022565865014965,-4.928639861077959 -6.713125962707192 -55.48037644121339,24.399014058646134 51.63390064057185 11.942073216639077,3.0441591228223404 11.605080313691552 -0.9861135100959076,5.687415761183416 -9.997212461906372 44.61955140474394,24.491487552294213 -52.03903713148709 -12.173589487316077
-25.329731263901703 -16.123548073326887 -7.560696691213967,-20.43556315442981 -4.200016759603227 -13.918356463457354,-18.499501555948385 5.5652730087110935 8.638002438035645,37.202682173979035 6.657886128241539 12.42026926142499,1.5659108626542302 1.1072565785642352 2.600530327891461,-5.597320956780566 -3.732486579975188 -52.66700166859886,24.283978834326522 51.26341897005714 11.80448751358873,1.5197617545621003 11.609962169247732 -2.2383176516989276,7.6821759326836885 -12.907312921252792 44.22669558436894,25.018809807035908 -53.83289811854921 -12.911779981316158
-25.65812514873277 -18.111876477271206 -6.188595877990092,-22.822839156766737 -5.324467057535134 -13.195844660555071,-21.404088513869524 5.202881413084511 8.945135567829142,42.024774089168524 5.862011253049362 10.241000246282978,0.8916285008044736 0.9392065661902004 1.4174503514651984,-6.598602489860486 -3.0056505966501406 -50.609241785201895,23.755805706787104 49.62170526885283 11.147544457260448,1.071632011212886 11.518987667407954 -3.226805116187567,10.676831396156766 -9.816103056450888 44.330059001241686,24.472684928212672 -52.204653940969884 -12.25541151544843
-26.103573891508393 -19.454288504386604 -4.567315796763978,-25.49377273368769 -6.692745018433384 -12.108313293815204,-27.377690632037737 4.7395069789151885 9.517476501919388,51.32160703372017 4.311713941525605 7.683763278742239,1.342242580167794 0.5022712942815979 -0.13508353989317484,-7.556300663559762 -4.802151279607174 -49.53456024789053,22.853447760946246 46.906786573460934 10.072297343128538,1.7476170484566511 11.326598770282814 -3.7024979132435996,13.669311158648295 -2.4420195073208006 44.83698560876155,23.172719049564556 -48.14918274478651 -10.606315125223809
-26.762346698449548 -19.382010399752904 -3.3688600454230793,-27.240794941817644 -7.5529668378026145 -10.980499289546053,-32.46900740953845 4.3639656358738375 10.642895368840158,58.730167330266724 3.181009855104243 5.715402972858398,2.6895660659085756 -0.046636922729683866 -1.2662644370174816,-7.83299479791174 -8.249970634282134 -49.321400238165346,21.671099418496677 43.52083438945625 8.777480120045965,3.1988572526957784 11.075512095484399 -3.4390518432127766,15.221066243874711 4.6694625212456655 45.449388677522485,21.92884531981243 -44.22796424267422 -9.001449640659416
-27.697908025426095 -17.286419490066386 -3.1907386780204003,-26.990751265493266 -7.264637135793655 -10.104626030010385,-33.121506208816925 4.247866526018157 12.525327810891204,58.53757540528139 3.5052081091580467 5.1963802677739315,4.671833334998659 -0.5528618485280041 -1.2789084161682218,-6.881593151683092 -12.493156778460152 -49.81663751209021,20.323885213569763 39.90297290795102 7.468535362047462,5.060497581335797 10.813105264328534 -2.2712609281539398,14.091461800602465 7.377479646724439 45.88593206644179,21.47446995527417 -42.7623062137714 -8.381239803311217
-28.652950935001275 -14.120506323877697 -3.8869552580439684,-25.003975246794656 -6.290889449242901 -9.44176398799204,-29.753977053188994 4.388320606527227 14.54815779434041,51.5658187257688 4.9333222852934 5.931704341418335,6.724390550871868 -0.8922017008184953 -0.41028225027500836,-5.048437067541983 -16.90658942175011 -50.58383725833984,19.12634325107979 36.83739417073434 6.409570096845376,6.838567373954231 10.628801407339251 -0.6255241952265966,10.988482877605964 5.651958138908473 46.04126841237919,21.76841223543007 -43.64073146553999 -8.707924950111758
-29.18990206131268 -11.714853541675634 -4.893679145676555,-22.29019122303348 -5.7150723568185 -8.766883025372099,-25.019253377782437 4.684374714115522 15.63363739195318,42.30933550157957 6.335298536321619 7.133243825713988,8.11236740003779 -0.9575694268941702 0.5772066637763515,-3.1819575209382562 -20.99487052298277 -51.02735039279479,18.505077652221587 35.30221071968988 5.897659477616731,7.966535848604316 10.635652301280398 0.7392904002772707,7.715195809158446 1.772997132424844 45.90895215299281,22.334190713067027 -45.3845914581132 -9.394025855462898
-28.92810560057799 -11.73329043166259 -5.675453913821501,-19.835446002198303 -6.518555608159388 -7.883453887307823,-21.446795364118106 5.035216409828534 14.821645644476384,35.06426769143272 6.665026720422442 8.054508285745673,8.179659542024728 -0.6606101268751216 0.9729897373888423,-2.0736811788770115 -24.2657042667423 -50.61681968688646,18.830819130958933 36.13983698157204 6.185546757756294,7.94376897713148 10.930426844680829 1.1303074638544792,5.9486668802445575 -2.0555563759189197 45.49035971105055,22.722232700862097 -46.596893300982806 -9.88373116149154
-28.171879001945797 -13.787674937097115 -6.080695020065779,-18.253646597396447 -8.417017644275035 -6.950330980537264,-19.84301030193104 5.354347856482245 12.579094702935835,31.346753253361555 5.952967670447968 8.509770102137903,7.20782431116603 -0.12851741911862663 0.7370198058372689,-1.788707101078876 -26.24608646037297 -49.601490499536915,19.81028105976188 38.59012487007969 7.0063544164019795,7.0450637710812725 11.417550535833444 0.6647999305451807,5.759629064097767 -4.814968064764445 44.86501110135203,22.852059748716993 -47.0066522106344 -10.060441424625159
-27.667457942262093 -16.16601252062881 -6.205477202437418,-17.918609831489295 -10.309561868349464 -6.355648493463514,-19.902658453997738 5.564506443841355 10.293563241117994,30.87937917721505 4.924144138393781 8.675084117153745,6.08336205779833 0.3724515178650078 0.26184417141051686,-1.9234713748228716 -26.47545911945145 -48.73357760095254,20.72177852626584 40.85901500016622 7.757965723493731,6.045495332128381 11.877356356749893 -0.017282922969593356,6.182471261854006 -6.251092435623777 44.162841559362626,22.881318720871953 -47.069340246775425 -10.090919726646456
-28.10068985417905 -17.231356192141448 -6.156724968484404,-19.129805966429327 -11.147493191206252 -6.46425984380174,-21.26904962463899 5.596037049982108 9.276217750622559,33.27281998085097 4.277038114264971 8.737064921054971,5.646768723932097 0.5921960317493505 -0.06940225272053706,-2.078044590235486 -24.606161045436167 -48.724642711685114,20.887579017504468 41.262685314286415 7.875976399937064,5.677943273417695 12.102979961082736 -0.3029294584962233,6.279213330553374 -6.163808194529376 43.519789557307426,22.95647276859975 -47.211550299999004 -10.132302558103015
-29.202917596827017 -16.714858747802623 -6.136063244472983,-21.195691784744575 -10.809255984088399 -7.259207023372713,-23.121677882335373 5.4842896017923355 9.54556743673868,36.98226201497631 4.173146363554153 8.946145816443254,5.948395661414052 0.5408787143889898 -0.10775765407067942,-2.013741027630294 -21.878086264198313 -49.59543553428059,20.349733752285076 39.91308565573901 7.405984606247777,5.963377397220875 12.097056336882007 -0.08134599476938384,5.744468710837843 -4.934557070071844 43.14452910836928,23.010518728381843 -47.28245794255692 -10.139575040723551
-29.9998943459843 -15.359000872379115 -6.415121480807165,-22.69214624111184 -9.858655439389173 -8.441289056734082,-24.297175032500846 5.342235947726946 10.164562285206278,39.608730683778326 4.377014976986032 9.599936228781242,6.454502865546693 0.42105417454872496 0.12263414101871462,-1.6110696652381955 -20.704682725991113 -50.856043123287286,19.682373092326017 38.249637900998906 6.844515025609365,6.396508929409134 12.017086748505424 0.3870111638472613,4.740477210709048 -3.3746843034273866 43.29950185423318,22.81865468576842 -46.70439982511534 -9.918287789298958
-29.563307969361734 -13.908310321287454 -7.246673993630025,-22.26740870588104 -8.859446060232672 -9.709010387692596,-23.700998424706167 5.279913156876175 10.21716825904464,38.88311661884089 4.649613748553484 10.969767505656636,6.644288490069191 0.43074934631654366 0.5889894465394291,-0.7679324638601053 -23.35436671893418 -52.018988937670926,19.443437736544485 37.670616418897524 6.673214986276851,6.485901918964203 12.01810723781749 0.8430970955082516,3.443305965841056 -2.2809507464029934 44.21958413474198,22.17351073189868 -44.94466884286758 -9.289282031097553
-28.04673053136407 -12.73220143974958 -8.528565745397312,-20.12016720602541 -8.09627319310248 -10.835721029275435,-21.569631256853967 5.325025733841705 9.539202263223325,35.13191517674156 4.851129983053009 12.852767705145647,6.458117532644801 0.6114823390115628 1.1791846338402896,0.36496696306769943 -29.107654250436635 -52.84629742351111,19.69451102964081 38.322848517173675 6.93304439038327,6.193648309643356 12.14959411417044 1.2030213609263078,2.078627636307945 -2.023037614620063 45.64048252507342,21.233643554626862 -42.42233594001589 -8.398847994865967
-26.518837420635457 -11.882801815601676 -9.858427468223065,-17.760544692952994 -7.617699877477433 -11.658078536488523,-19.265394577311046 5.435637824592707 8.602428468060374,30.877093761354235 4.925673344288331 14.64496372503104,6.226429375231826 0.8723894910975192 1.7139870015252208,1.4230946925372716 -34.71776913921576 -53.311031494227024,20.077336312881915 39.2946347506891 7.29221111186209,5.865453083838377 12.371736809057541 1.5310465761358456,0.9140733287695778 -2.6093841386679864 46.875684741491725,20.467126004539594 -40.361526112986994 -7.668554413310189
-26.034448346266842 -11.39832700321071 -10.836565061571715,-16.68061482798706 -7.460963573306225 -12.021702226078059,-18.137440588822287 5.568100282730466 7.8810793094141465,28.620110642316778 4.821513507317343 15.750080451917018,6.281404131417505 1.120190674248852 2.018348005215243,2.047223953957098 -36.975537441085024 -53.39459490618481,20.231905565629894 39.670412260040614 7.418250605861984,5.8480945900913355 12.641656406023108 1.8929813344589415,0.20583899240339518 -4.021290801015928 47.2553746044184,20.330275882388463 -39.95571792236858 -7.509423793934304
-26.72335792887423 -11.232096922605558 -11.32621743947538,-17.085965721605138 -7.579022554874141 -11.92321411619271,-18.480913597386312 5.689176210873814 7.4687201981286355,28.919097115208704 4.519783808130788 16.012507606423426,6.726644532587829 1.2996120132030489 2.053714979255257,2.1391281913191 -35.212093411521884 -53.115081660999245,20.04687870766034 39.173543378372905 7.218602640949631,6.249721550384082 12.910931612816697 2.2869953700532113,-0.06635141048390217 -5.898516294887435 46.75982831789524,20.813344941529277 -41.184599739049204 -7.915984693592753
-27.820762788536534 -11.255328353392802 -11.444907807320119,-17.938016633249646 -7.843328127714217 -11.505271955723408,-19.57161976485029 5.775698467876568 7.090770898306824,30.452779855083307 4.033400250808251 15.7028048415634,7.444694582497557 1.392135736312221 1.9135413427000005,1.8529959160714276 -31.215320495276295 -52.526069143868604,19.651404100698407 38.14529930083625 6.8327200648805375,6.947702365765078 13.125781068184335 2.6458444202873914,-0.19015184034754554 -7.5505119460997125 45.998030813756486,21.455849318183514 -42.85399525683436 -8.479971561035
-28.54283072747958 -11.337709593636232 -11.321327526283625,-18.177215477569966 -8.123476703268686 -10.917010075650001,-20.65513465809234 5.804730627898545 6.468418162716902,31.848723737468 3.381824006191923 15.108278313832074,8.3051517000559 1.3823145018533518 1.695705854992659,1.3552901752565036 -26.86164035981416 -51.688446503512544,19.18574311338551 36.954985842368544 6.409894323267965,7.806270989671957 13.233866037822144 2.899708407494005,-0.4530952658409759 -8.292534318746142 45.59149143567209,21.790549088064374 -43.751442667132025 -8.786741146855995
-28.593263235089182 -11.399721351869939 -11.105437260038483,-17.57451095710523 -8.330120787473009 -10.321517968537405,-21.295288633453673 5.74830710185119 5.623332978593102,32.448277110112414 2.73009084036611 14.497180084481831,9.069262103000597 1.298188996930798 1.4710393796201295,0.866572681766088 -23.695578513395493 -50.825752528534046,18.825558738089367 36.04846363686796 6.109070138986922,8.587133411262347 13.228972856385418 2.9815434853317373,-0.835792145049512 -7.975972859259025 45.795532766548845,21.674429832360545 -43.489706480517874 -8.70194717708677
-28.21477318999142 -11.4179998156267 -10.970712757651091,-16.81904347116393 -8.419304011250274 -9.897313785997376,-21.407770720263105 5.572902118158811 4.9093980939771305,32.38193875510944 2.4041820435627055 14.116696235904492,9.378480222352975 1.2158797510288601 1.2804689511454939,0.6672159837295512 -22.894720056738063 -50.34134949596747,18.785653577195685 35.95623140665104 6.099864782317071,8.938641933747547 13.155883180808189 2.8273751754708782,-0.9795230945162612 -7.044959089824049 46.46062570449974,21.322936957163265 -42.593911515064086 -8.4011363474314
-27.674292639727675 -11.374542083853397 -11.085912753682042,-16.63171704362113 -8.35138642935805 -9.819949516952216,-20.934964448608635 5.248125053515668 4.688905572988634,31.8270344469269 2.726542336149734 14.203711645750387,8.880053471768207 1.2120985710213472 1.1631302787078575,1.0288028993605998 -25.56717857479781 -50.636165815485334,19.274369941561798 37.192026142236266 6.545316966778766,8.5146800033146 13.061368843114337 2.377378460850229,-0.5201473597363342 -5.967719629859151 47.414420232457076,20.966488395599942 -41.628211198057286 -8.07315924164963
-27.104188276021528 -11.341239406328832 -11.40250224414057,-17.156580628864123 -8.158773075401493 -10.127121721354278,-20.129992564874733 4.8689276861990685 5.002534966143785,31.180176301616232 3.5851140060114677 14.657813175498276,7.660371335329341 1.2940962812623142 1.1492314663107581,1.7877025054347857 -30.972461742921762 -51.68123283986905,20.189310526359353 39.49539670654298 7.347341082920279,7.386484441135044 12.96844185105118 1.717860462111762,0.46195904957636863 -4.971550928334213 48.41609707466672,20.70448615126209 -40.856990285620675 -7.806782609533696
