-24.8 -11.8 -9.2,-18.7 -3.4 -14.9,-26.6 6.2 8.2,48.9 4.3 13.7,6.1 0.8 3.3,-4.0 -9.2 -59.4,23.8 49.8 11.2,5.7 11.7 1.0,4.9 -3.1 45.5,23.1 -47.5 -10.3
-25.4 -16.6 -7.3,-20.9 -4.4 -13.8,-18.7 5.5 8.7,37.6 6.6 12.0,1.3 1.1 2.4,-5.8 -3.3 -52.1,24.2 51.0 11.7,1.3 11.6 -2.5,8.3 -12.8 44.2,25.0 -53.8 -12.9
-27.0 -19.0 -3.2,-27.4 -7.6 -10.7,-33.2 4.3 11.1,59.6 3.1 5.4,3.2 -0.2 -1.4,-7.7 -9.4 -49.4,21.3 42.5 8.4,3.7 11.0 -3.2,15.2 6.0 45.6,21.7 -43.5 -8.7
-29.2 -11.4 -5.2,-21.4 -5.8 -8.5,-23.6 4.8 15.6,39.5 6.6 7.5,8.3 -0.9 0.8,-2.7 -22.2 -51.0,18.5 35.3 5.9,8.1 10.7 1.0,6.9 0.4 45.8,22.5 -45.9 -9.6
-27.7 -16.8 -6.2,-18.2 -10.8 -6.3,-20.3 5.6 9.7,31.5 4.6 8.7,5.8 0.5 0.1,-2.0 -26.0 -48.6,20.9 41.3 7.9,5.8 12.0 -0.2,6.3 -6.4 43.9,22.9 -47.1 -10.1
-30.0 -14.7 -6.7,-22.8 -9.4 -9.0,-24.3 5.3 10.3,39.8 4.5 10.1,6.6 0.4 0.3,-1.3 -21.3 -51.4,19.5 37.8 6.7,6.5 12.0 0.6,4.2 -2.8 43.6,22.6 -46.1 -9.7
-26.1 -11.6 -10.4,-17.0 -7.5 -11.9,-18.5 5.5 8.2,29.4 4.9 15.3,6.2 1.0 1.9,1.8 -36.4 -53.4,20.2 39.6 7.4,5.8 12.5 1.7,0.5 -3.2 47.2,20.3 -39.9 -7.5
-28.3 -11.3 -11.4,-18.2 -8.0 -11.2,-20.2 5.8 6.8,31.3 3.7 15.4,7.9 1.4 1.8,1.6 -28.8 -52.1,19.4 37.5 6.6,7.4 13.2 2.8,-0.3 -8.1 45.7,21.7 -43.5 -8.7
-27.9 -11.4 -11.0,-16.6 -8.4 -9.8,-21.2 5.4 4.7,32.1 2.5 14.1,9.2 1.2 1.2,0.8 -24.0 -50.4,19.0 36.5 6.3,8.8 13.1 2.6,-0.8 -6.4 47.0,21.1 -42.0 -8.2
-26.0 -11.8 -11.5,-18.0 -7.9 -11.1,-19.8 4.8 5.7,31.7 4.4 14.8,5.8 1.4 1.4,2.0 -37.6 -53.5,21.3 42.3 8.3,5.6 12.8 0.9,1.5 -3.3 49.3,20.3 -39.7 -7.4
-24.2 -15.3 -8.7,-16.3 -9.0 -12.1,-24.0 7.1 6.0,37.9 1.4 11.3,6.3 1.1 2.1,-2.7 -26.3 -52.2,19.6 38.1 6.8,5.9 12.5 1.4,0.1 -0.7 47.1,19.7 -38.3 -6.9
-26.1 -18.2 -6.2,-16.4 -11.4 -9.2,-22.4 7.2 8.3,34.2 2.0 10.8,6.0 0.8 0.9,-1.5 -20.1 -47.7,19.4 37.6 6.7,5.8 12.3 0.9,5.2 -1.7 45.4,21.0 -41.5 -8.0
-27.8 -15.6 -5.2,-16.0 -9.9 -7.2,-22.1 5.9 5.3,32.8 1.0 9.0,8.0 -0.2 0.0,-2.7 -21.5 -49.3,20.5 40.3 7.6,7.9 11.6 1.1,3.5 -1.8 45.1,21.5 -42.9 -8.5
-27.2 -14.5 -8.5
-18.3 -9.8 -8.6,-22.3 5.2 5.0,34.2 2.3 12.3,6.3 0.7 -0.2,1.5 -35.9 -51.4,21.4 42.8 8.5,6.2 12.6 1.1,0.9 -4.9 44.7,21.5 -42.9 -8.5
-27.8 -14.6 -7.0,-16.8 -8.4 -9.4,-19.0 6.2 9.3,30.6 4.5 10.8,7.5 0.7 1.8,-1.8 -23.5 -50.1,20.7 40.7 7.7,7.2 12.0 1.0,8.2 5.4 50.9,21.4 -42.7 -8.4
-26.0 -11.8 -11.5,-18.0 -7.9 -11.1,-19.8 4.8 5.7,31.7 4.4 14.8,5.8 1.4 1.4,2.0 -37.6 -53.5,21.3 42.3 8.3,5.6 12.8 0.9,1.5 -3.3 49.3,20.3 -39.7 -7.4
-29.1 -13.2 -9.8,-19.2 -9.8 -9.3,-22.3 5.7 7.2,34.9 3.5 12.9,8.1 1.2 1.1,0.3 -28.5 -52.3,20.0 39.0 7.1,7.8 13.0 2.0,1.2 -4.9 46.4,22.1 -44.7 -9.2
