-33.6 -22.4 6.7,-30.6 -10.2 -3.3,-38.3 0.4 14.2,66.1 1.6 -4.6,8.3 -3.2 -6.8,-8.0 -7.7 -47.8,19.8 38.5 7.0,9.7 8.1 -7.3,24.2 5.4 42.4,22.1 -44.7 -9.2
-33.9645991127918 -22.59851066760899 9.168457828193242,-32.07349993313018 -10.45713469973993 -2.1682534010445838,-38.621220060144324 0.10915427578671234 17.871145689187777,71.47357163977432 -1.5183682849611286 -6.414244436130179,7.416495444694366 -3.89340062898649 -6.719242660158889,-9.325369288847662 -2.2837539208805193 -48.8601280262955,20.20763769268057 39.63647974416647 7.397277999262222,8.837768133809245 7.205424157375056 -7.82337987782912,23.973137769936542 5.274026667033033 44.369702111267664,23.635321634622454 -49.2286012057289 -10.97191624969336
-34.586587353100555 -22.604346876852233 10.10248635097928,-33.61490438517752 -10.645346269237159 -1.6479967706619902,-38.75649263638985 -0.3220549372438906 19.537538314108662,74.07853744057428 -2.319470020985114 -6.8839818879179715,6.738261850435701 -4.0832518266641245 -6.892020951776622,-8.809603854984609 -2.5690291514306924 -49.04393295081466,20.45087917804975 40.26579437111098 7.603804317327965,8.196543257574195 6.92649217586572 -8.299617259303316,25.105357963268684 6.642772696766859 46.582597140073815,24.172736788076293 -50.813703200910155 -11.596608487658566
-35.26718178720341 -22.50620130232172 9.930716299204263,-35.034026187330625 -10.792998610623693 -1.592976341150937,-38.70745302149499 -0.7780753235415846 19.72095221765885,74.61531339009748 -1.5664439803871635 -6.439506184193996,6.222826986188012 -3.915547587431093 -7.1842640067943995,-7.198409283754342 -6.3523076779305825 -48.63201081755677,20.594159235587906 40.58806176072743 7.696862027196587,7.720945702304537 7.0835085219882465 -8.683624501198594,26.902691155423206 8.782798523746152 48.70021133694345,24.020696658646703 -50.36141334069348 -11.423903465160725
-35.80759948137754 -22.392766618609446 9.08177840371434,-36.1406781707781 -10.92845562603154 -1.85693834481014,-38.47573650821815 -1.1433545675561452 18.943161742734567,73.78431547604164 -0.022428935482492834 -5.511111153788864,5.827718620915299 -3.5362819056855903 -7.461900957153408,-5.237491160500371 -11.430071486660239 -47.90495767052116,20.701912644775422 40.803399792909765 7.75373420186744,7.355595799009953 7.496777662258888 -8.930313960290961,28.671167921826907 10.970664582515582 50.38407095240157,23.487652444618867 -48.77783898022866 -10.80362793346494
-36.009057501900095 -22.3527355003074 7.984303395355661,-36.74467316670857 -11.080081217592713 -2.2936290139383146,-38.06297838931773 -1.3023403537373484 17.725941232232017,72.28595968610443 1.5494363414136856 -4.529090625533197,5.510464523581567 -3.091448775825808 -7.590860934794846,-3.6725550705662053 -15.598802563899733 -47.14336955370714,20.838574185092682 41.11192634755193 7.851703914339881,7.045113878700136 7.986604063193897 -8.994597993356418,29.716818837906583 12.482931307619824 51.29570223697319,22.88205534427798 -46.96908747466544 -10.085608643836322
-35.67277291504821 -22.474800622007578 7.066922004974369,-36.65582400631061 -11.276239287439212 -2.756794580834177,-37.47081395755212 -1.1394803665349698 16.591065029047403,70.82066200798351 2.3860130779861604 -3.9237384282576073,5.228592463150818 -2.727042192249937 -7.4370730716599045,-3.249306599295352 -16.65498289592911 -46.62784251111401,21.06857863602005 41.71375930454781 8.068054237613264,6.734120272384765 8.373292191309528 -8.831388957170972,29.34567447908902 12.596159133603548 51.09663144118328,22.512356555909214 -45.84126617915356 -9.619672347539968
-34.654591039921335 -22.811535722517306 6.685073396399973,-35.76543438070214 -11.519704138347867 -3.1142978638122107,-36.737860591938514 -0.5972992948664088 15.95795697491027,69.94641753648617 1.9500826605138153 -4.0153349739848485,4.960151502357819 -2.5674945131880023 -6.940472742831782,-4.4924988428357535 -13.082008339381789 -46.56846347936864,21.41996523952478 42.70253800321161 8.439474668697349,6.397085932754259 8.507801560635174 -8.443453591152773,27.156727310393368 10.837564260719672 49.58871414736986,22.593820557685266 -46.03228894939415 -9.655451798078282
-33.108151569091305 -23.21861979668272 6.795208376391469,-34.40903817916126 -11.67375378109106 -3.310955266025368,-36.1043356978206 0.06508365824735812 15.688098788292391,69.44484397236924 0.9359824670480577 -4.524445786574392,4.795058199337416 -2.619699394787957 -6.444424715163274,-6.722409105271349 -7.107840521957471 -46.79095389978557,21.72237065775568 43.59145652528396 8.781367405369425,6.1712061670578136 8.408201197152698 -8.094426686700196,24.345989614520022 8.100759814804674 47.338781628802025,22.83372411998709 -46.71806946697464 -9.89639334818186
-31.28807014065574 -23.484968882385072 7.218489008206145,-33.07279861202166 -11.554365903677395 -3.3176765680804934,-35.878815101955354 0.4811986033465508 15.453785492202943,68.83430541446644 0.45564517566923524 -4.968285409234051,4.861161078466486 -2.8506955374435092 -6.429088362510033,-8.850901729257796 -2.230146287434567 -46.99070478176397,21.738157319778107 43.69689190715313 8.834100674777016,6.248852763450046 8.149223524405814 -8.13639802480399,22.650990238882727 5.742676008298976 45.17305267771131,22.767095832306197 -46.57878723214601 -9.860742778763411
-29.530327778501317 -23.465095371562104 7.7889102868641515,-32.18517264851363 -11.029153900786671 -3.1284380470798934,-36.305650777825846 0.357649239828782 14.978151710137528,67.83321858268452 1.2669465186748725 -5.066409127172552,5.258055692033967 -3.223007547628543 -7.23537157177065,-9.960910642832632 -1.3357047097960095 -46.909601694600155,21.291945847990295 42.51078783393291 8.403706699173327,6.773542603491014 7.803099086565591 -8.805870055005624,23.477905579161472 4.875221648324511 43.78441440367538,22.02799860492139 -44.572825434607886 -9.165805050324506
-28.689998409134382 -23.43276581710016 8.423118280263825,-31.805318227656425 -10.295729806268907 -2.8843881125898654,-37.21869734109102 -0.13174631590634744 14.30997837067657,67.43892906398808 1.8645386936781945 -5.831604503864638,5.90471352179531 -3.6705377754135142 -8.314192272067539,-10.229956499229287 -3.403510010664759 -46.58712478457736,20.606295581249622 40.64730250528027 7.715946484871736,7.576511988625012 7.425788760379929 -9.60072802477439,26.11404429710855 5.043166340459341 43.01293663027228,20.883834254305242 -41.43778154801595 -8.062449580633977
-29.826312144173965 -23.826636967185703 9.070265237083714,-31.847150152234544 -9.68149217759131 -2.7845571081563696,-38.29036321126801 -0.6294172655724538 13.626121178623848,69.15177764564456 -0.14703860481929176 -8.785279750578376,6.649067665059683 -4.115931605791626 -8.766440577364785,-10.266054471955298 -5.87564761620032 -46.17979639455143,20.06027281478087 39.161954488160234 7.161657899963629,8.366179105081399 7.066854658103126 -9.728363380811665,29.013376838650338 5.174933060780207 42.36328115906866,19.851093063213316 -38.611007557939395 -7.05072296165413
-33.740999532129614 -24.99216549900503 9.696361222486606,-32.20379496545573 -9.473726540040369 -2.9772454670883652,-39.19979767987029 -0.8240220455976047 13.120682501900873,74.09382917598164 -6.592709087885252 -14.992904170130025,7.340623147667769 -4.488668876857614 -7.844753804367323,-10.581641629615719 -6.536615027379472 -45.843192967471964,19.9739655737752 38.945574443932 7.071395245434924,8.877163496619277 6.770062545930515 -8.544201732270116,30.767868205112475 4.375608739234851 41.4371142435461,19.38959802039084 -37.37037042929622 -6.576988638473851
