time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
1.2,-0.089122254,0.1561173865,0.2843136056,-0.0379837402,0.0208071513,0.209523933,-0.4114197357,-1.1425259059,-1.0303602478,0,-0.5341288486,0.1813952154,-1.2922179035,1.5561087271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3493237248,0.1517823381,-0.0395427665,0,0,0,0,0,0,0
1.3,-0.1255929515,0.1467027002,0.3037513616,-0.0408023808,0.0159543375,0.2037698101,-0.4679861116,-1.0900277223,-0.9807551441,0,-0.5067356105,0.1970076469,-1.2836242281,1.5411927613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3565198632,0.1550407549,-0.0399368239,0,0,0,0,0,0,0
1.4,-0.1584345747,0.1475353179,0.3151309242,-0.0434114199,0.0095658219,0.1951545513,-0.4891666046,-1.0702205129,-0.9630806761,0,-0.4792321504,0.1581559453,-1.3041346981,1.5833837577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3617684778,0.1499634581,-0.0440741337,0,0,0,0,0,0,0
1.5,-0.1864928344,0.1575438647,0.3178500624,-0.0456100983,0.0027093377,0.1836483859,-0.4776887935,-1.0812286713,-0.974253236,0,-0.4547925005,0.0621631315,-1.3326858256,1.6851921451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3647394351,0.1370727682,-0.0514099262,0,0,0,0,0,0,0
1.6,-0.2090496376,0.1743736624,0.3125943361,-0.047327,-0.0033866265,0.1691883626,-0.4386598782,-1.1180052864,-1.0097847984,0,-0.4359257296,-0.0769253111,-1.3037540386,1.8317680041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3655340377,0.1180055458,-0.0610100188,0,0,0,0,0,0,0
1.7,-0.2256918091,0.1948589634,0.301151439,-0.0486262166,-0.0075389898,0.1522202987,-0.3796390461,-1.1725452891,-1.0633757222,0,-0.4241692076,-0.2282978971,-1.1998418985,1.9912086623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364648078,0.0952353146,-0.0716958803,0,0,0,0,0,0,0
1.8,-0.2363036537,0.2156564721,0.2860791919,-0.0496882511,-0.0088008418,0.134039072,-0.3108361796,-1.2338455678,-1.1262512245,0,-0.4199070982,-0.3597397875,-1.0785010093,2.1301975748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3628774436,0.0716816304,-0.0822118462,0,0,0,0,0,0,0
1.9,-0.2411315195,0.2338729826,0.2702802201,-0.0507696516,-0.0066082437,0.1166528227,-0.244342744,-1.2892690518,-1.1874990027,0,-0.4224053667,-0.4536093579,-0.9799783416,2.2300269672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3611812704,0.0502672435,-0.0913913228,0,0,0,0,0,0,0
2,-0.240830637,0.2474595232,0.2565480025,-0.0521489066,-0.0008622975,0.1022142291,-0.1920326654,-1.3284017584,-1.2359321824,0,-0.4300843239,-0.5062370837,-0.9196182344,2.2860018197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3605236352,0.0334900358,-0.0983003046,0,0,0,0,0,0,0
2.1,-0.2364031087,0.2553019104,0.2471509549,-0.0540683454,0.0080635441,0.0923385046,-0.1630519816,-1.3473824294,-1.2626498134,0,-0.4409345702,-0.5185519304,-0.9033816736,2.2982606165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3617175706,0.0230728769,-0.1023409004,0,0,0,0,0,0,0
2.2,-0.2290089161,0.2571252549,0.2435134561,-0.0566823242,0.0193889952,0.0876283661,-0.1621889418,-1.3476137924,-1.2629147979,0,-0.4529367722,-0.4886175167,-0.9359557868,2.2646264898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365294399,0.019741198,-0.1033040545,0,0,0,0,0,0,0
2.3,-0.2197179616,0.2533945893,0.2460366302,-0.0600207939,0.0320520805,0.0875690981,-0.189381442,-1.3294758946,-1.2368720119,0,-0.4643774758,-0.4072665745,-1.023481517,2.1762614733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3714172017,0.0231574629,-0.101368241,0,0,0,0,0,0,0
2.4,-0.2093136424,0.2452677418,0.2540798265,-0.0639746414,0.0448718618,0.0907732349,-0.2399773559,-1.2918111201,-1.1893067564,0,-0.4740245899,-0.2561750267,-1.1699693663,2.0151916263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37985035,0.0320171193,-0.0970484634,0,0,0,0,0,0,0
2.5,-0.198240758,0.2345186527,0.2660994635,-0.0683054632,0.0567216271,0.0954502327,-0.3056416479,-1.2375625451,-1.1285458041,0,-0.4811826857,-0.0157026577,-1.3243157804,1.7613465681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3899884962,0.0442859197,-0.0911063518,0,0,0,0,0,0,0
2.6,-0.1866925092,0.2233208832,0.2799188463,-0.072678275,0.0666848093,0.0999039113,-0.3761631663,-1.1752007759,-1.0644343953,0,-0.4856395772,0.29759597,-1.2171614228,1.429762506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400939571,0.057537516,-0.0844366546,0,0,0,0,0,0,0
2.7,-0.1747851565,0.2138838364,0.293084107,-0.0767117948,0.0741697405,0.102872432,-0.4417923223,-1.1148723424,-1.0059314041,0,-0.4875393732,0.5984750256,-0.9550815952,1.1039059048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4116484788,0.0693361297,-0.0779474503,0,0,0,0,0,0,0
2.8,-0.1627243289,0.2080375888,0.3032501437,-0.0800379729,0.0789669054,0.1036183261,-0.4950568152,-1.0648674826,-0.9594401348,0,-0.4872151511,0.8110349131,-0.7535120567,0.8596929675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4210424763,0.0776039016,-0.072450829,0,0,0,0,0,0,0
2.9,-0.1508928328,0.2068988551,0.3085378233,-0.0823608803,0.0812423283,0.1018329489,-0.5313418872,-1.0304364497,-0.9284936704,0,-0.4850486974,0.9332964127,-0.6355336605,0.7027567461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4281764772,0.0809168565,-0.0685778626,0,0,0,0,0,0,0
3,-0.1398527058,0.2107042957,0.3078099087,-0.0835051395,0.0814714294,0.09750982,-0.5485799434,-1.014034643,-0.9143321781,0,-0.4813988437,0.9956906078,-0.5746702132,0.609138378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4323570815,0.078686359,-0.0667269931,0,0,0,0,0,0,0
3.1,-0.1302933906,0.2188254436,0.3008269993,-0.0834457728,0.0803273635,0.090906662,-0.5466406443,-1.015983129,-0.9166863459,0,-0.476613283,1.0246760963,-0.5460682027,0.5586048297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4332278276,0.0712022757,-0.0670493313,0,0,0,0,0,0,0
3.2,-0.1229702515,0.2299507045,0.2882639579,-0.0823143658,0.0785449284,0.082602785,-0.5268897395,-1.0349574311,-0.9342660054,0,-0.471072627,1.0352032955,-0.5355867175,0.5400404331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4308043808,0.0595365876,-0.0694686821,0,0,0,0,0,0,0
3.3,-0.1186606503,0.2423902285,0.271588827,-0.0803803016,0.076784495,0.073536947,-0.4919763711,-1.0682292319,-0.9649064727,0,-0.465218827,1.0323656029,-0.5383909476,0.5494722178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4254561035,0.0453282948,-0.0737292481,0,0,0,0,0,0,0
