-24.8 1.2 -13.1,-15.0 3.7 -8.0,-17.0 6.3 0.3,33.3 1.0 14.3,17.7 1.6 8.5,1.9 43.3 -42.4,27.4 116.3 42.8,16.3 12.4 6.3,3.6 -36.9 39.4,28.4 -110.5 -40.1
-24.614220946198046 1.3923235510289116 -13.765545100019867,-14.529558607828125 3.702733331162914 -8.860108351607783,-17.668817245263938 6.492367776225427 0.5879731676896286,33.778103168791844 1.0939648856649553 14.297795329649947,17.128405983102635 1.7901570748606896 8.691246910334144,2.3759340626790206 44.16949340213328 -43.92678279874928,27.783614132089355 114.18847244713714 41.83986492526965,15.728406903290146 12.590159738737208 6.588537739176262,4.457361171802679 -31.17105050228845 39.39065165696243,28.783610128392244 -108.39124842453762 -39.14152742845952
-24.604668847052185 1.3773120539190944 -13.741482536795417,-14.528174854083709 3.6924742630037346 -8.81262797702856,-17.632473271890166 6.477190287774512 0.5673782184008866,33.75072981851928 1.094704769037139 14.306070164290047,17.153260235066195 1.7832770573815142 8.680276390922321,2.3567020630623805 44.08678792408885 -43.85100105912992,27.757468205331097 114.33846737161304 41.909357435877524,15.753257701494965 12.583269722875427 6.565823772096816,4.420191843776637 -31.468421203462427 39.42573898545708,28.75747922879284 -108.53082421585236 -39.204780031598034
-24.668765007140316 1.2888907201184558 -13.460209131226474,-14.710693389871038 3.682314772817407 -8.434608517933007,-17.339037663677637 6.388604573800673 0.4366498556194742,33.53973330485767 1.0586596991816561 14.31426468059652,17.39853987330623 1.7029082763299197 8.595856811728337,2.1537678773636073 43.673885268253166 -43.18751053588865,27.58446497306786 115.29611737155076 42.345953145461685,15.998533919499605 12.5028910404889 6.432996959425484,4.052383348741603 -33.9695718246161 39.46048574451696,28.584490877829772 -109.47815621424668 -39.635196400357586
-24.762971440429716 1.2100152947923877 -13.166371218803643,-14.932168616580102 3.688717819586601 -8.067141857799644,-17.052865013085377 6.309832749533085 0.31713694457021724,33.3362064024126 1.0140755964126655 14.309100064045987,17.647761349400902 1.618957707377755 8.514459269501193,1.94515967043693 43.32840383927703 -42.52885154925215,27.424294307682313 116.17319118099846 42.74380356949731,16.247757551207087 12.41894671188044 6.31480660221914,3.67848120028757 -36.43131119294488 39.4385865035848,28.424310833463668 -110.36173297268448 -40.036941371026664
-24.84214083490624 1.2192005722711492 -13.096086163831709,-15.049172748070758 3.725619443939009 -8.036279392861806,-17.026755898541573 6.319615093920837 0.32400040640908295,33.32264089063214 0.9890088930752965 14.279335680504577,17.69279335836184 1.5988942458771664 8.509109246237806,1.9023099138337323 43.424245234346635 -42.44295089873438,27.428719143123317 116.12658093192141 42.71789426471029,16.292801983256137 12.398919214324465 6.329292120690768,3.610530145949421 -36.7059974740072 39.312378216872084,28.428681616571435 -110.35260009796782 -40.03347686510981
-24.850239840159876 1.3054694246867977 -13.28862226577721,-14.982993748853044 3.7650324954233207 -8.34737953144329,-17.266474438794788 6.406521648043025 0.4460186511426165,33.4992982689361 1.0004654406862827 14.247545611598305,17.51151477936329 1.6539237673561797 8.579853563716474,2.047690038923718 43.87067236314523 -42.96287167033196,27.586362019584975 115.23575557113244 42.3079293950353,16.111536672828272 12.453987147359214 6.4594511591090065,3.8820175436511253 -34.70562470214398 39.17758052735981,28.586266762040754 -109.50180272269671 -39.64748432806107
-24.722625974782787 1.3870707976585228 -13.627571413244342,-14.706099485133564 3.7458152240251565 -8.752183356393141,-17.58241806682003 6.487812086278561 0.5720215533465244,33.722324767674856 1.0567118327794833 14.263046019684731,17.22890906572654 1.750757016021299 8.669024490173113,2.285966903745943 44.20949257605393 -43.6986845254175,27.756827282599005 114.3097960829631 41.88949822729556,15.828924489615725 12.550801667068729 6.581484720301656,4.30613600585039 -31.97103244367212 39.24330605952861,28.756760173906642 -108.55632612960275 -39.21736457482043
-24.401820664289023 1.3846194536266145 -13.99380590452391,-14.200145228212925 3.6108125076355533 -9.005398149709734,-17.787029232466654 6.483220862813384 0.5936754072657913,33.849862587963415 1.1639830766002357 14.371919402658508,16.97061366779819 1.8553309920800722 8.71976658504381,2.5206572965702105 43.999259950444575 -44.262390119043374,27.803004982588764 114.13729588446519 41.828365316797324,15.570584567513718 12.655246748854086 6.575271667695125,4.695023595667745 -30.0307370697721 39.704977350712234,28.80313159670111 -108.24675973475641 -39.07414113260361
-23.973320911523853 1.3017933486906994 -14.297795412900308,-13.597312742327919 3.3974008099512445 -9.052881524380666,-17.835361563014526 6.397934261200501 0.5101987496316633,33.85467223465159 1.293868252101057 14.543650503678617,16.797277248069904 1.9421110307895655 8.721376502017085,2.695219405529629 43.316040398648106 -44.52649462490934,27.71935914624898 114.7259417717615 42.12320132470656,15.397196952573394 12.741878581114895 6.448116500431881,4.956689145957947 -29.315592335579407 40.43363803295786,28.719708508573138 -108.61962127406728 -39.23967807030183
-23.651944568170954 1.2174007717789714 -14.476780321236475,-13.165934414098038 3.228460043206256 -9.013385817937953,-17.81145993630116 6.314429409449103 0.41809069860343984,33.81318601869817 1.3866193339054882 14.678441697219597,16.71076636535346 1.9932763130045954 8.70489528298956,2.789238258253465 42.70398725764536 -44.599130436433235,27.619361945679813 115.37709356564763 42.440641924957696,15.310704540630859 12.793097334889 6.322579705300418,5.085856224723104 -29.263620465875043 41.00693229093902,28.619630942444488 -109.10268833218326 -39.45620593950774
-23.648667584838044 1.2099712551593758 -14.471546936377743,-13.168483142732978 3.2251146569957845 -9.00720977465257,-17.80085544194106 6.314640848137101 0.413577471926137,33.80273003737888 1.383814286412839 14.678007141381144,16.710809984994263 1.992011194523035 8.70168782147337,2.7844922895446134 42.70228450413303 -44.59260524289967,27.61627012492492 115.3944078469918 42.44860179849461,15.310907144565697 12.792292464479022 6.32049096018357,5.080632885096884 -29.29923381076219 41.008801093383276,28.615847387720926 -109.12402537988592 -39.466046767964265
-23.966641190914387 1.2850454148845265 -14.285986183221443,-13.604269302118709 3.390263854820019 -9.04017105002829,-17.81179649178507 6.3991615934446155 0.5005297133056626,33.83116643198712 1.2870479459513482 14.542041791429636,16.79665614852718 1.9392783537416758 8.714267695781235,2.6845599225050867 43.31634559400369 -44.51375824295573,27.713252308654113 114.75981710811456 42.13871703579199,15.396949861890576 12.740128632757692 6.444297637242687,4.9454868664964575 -29.388616662033638 40.43554206770209,28.711974374178013 -108.6636931557998 -39.260058526017076
-24.394123355333765 1.3726924500809534 -13.989239920449336,-14.200490050904065 3.604560514272595 -8.99971247735601,-17.772620279692237 6.48447654734005 0.5873212924830966,33.834530778152384 1.1599733160178767 14.371553924943305,16.96705561648478 1.8544234683766987 8.7153158774249,2.5155610302435356 43.99965884701536 -44.260372947861974,27.799644682494517 114.15659928881664 41.83735555694266,15.567300806556993 12.655133275962333 6.573004369167254,4.6914619004198235 -30.058152013014897 39.709834584227494,28.79857787081506 -108.27252317625361 -39.086088336857294
-24.71356229254676 1.4011085314227938 -13.653415502106691,-14.676923167738433 3.745531527428682 -8.772485992274609,-17.61078690002372 6.485712438953543 0.5805434575089047,33.74762363684718 1.0676886390543048 14.269842994568897,17.219078208189828 1.7576550072276844 8.67708502393142,2.305085673772112 44.195361162680584 -43.731576343512046,27.762990490285137 114.27965468940637 41.87654338377425,15.818757863835794 12.556727633413342 6.583416417101911,4.331775584761762 -31.833706453628544 39.26434587273647,28.764384295080106 -108.51033980644358 -39.196027824210056
-24.837744999636136 1.3495789199407062 -13.349182449429327,-14.916401777923927 3.770532291727472 -8.393428903358178,-17.342964779596173 6.398080088015732 0.4700791786197684,33.571249624013625 1.0302702191028843 14.264540904071517,17.497160390488496 1.6696439164803463 8.601928968572931,2.0943771072415314 43.82642835480653 -43.02888634977321,27.600654719483853 115.16552368057705 42.27761690292761,16.096088861457382 12.466541917171629 6.46333553924722,3.9390229141150375 -34.40418787831558 39.22425584870663,28.605316897177033 -109.38639578775012 -39.593730514089124
-24.83355196827811 1.25778913750599 -13.145510400642257,-14.99453177685037 3.731295742216637 -8.07278943471361,-17.091289217152777 6.311470018430879 0.3442833642060144,33.38424688699728 1.0145670115897167 14.293821325376005,17.68351265994021 1.611607907873677 8.527788767919654,1.9408201215008924 43.3831275195982 -42.49309829620001,27.43983950896903 116.07239823812462 42.69459856229849,16.282548904473735 12.408817905266226 6.331789501700732,3.655998023898144 -36.46900675325702 39.35121644425824,28.444032768420705 -110.25902857890033 -39.98980599929998
-24.77607228826027 1.1691640509364345 -13.11012511024343,-14.996444350493286 3.6844802550642695 -8.026817401981486,-16.98262644556268 6.319150010779942 0.29585232700160313,33.269650339584686 0.9854410067657384 14.292064994634753,17.659715438247723 1.6043983922299734 8.494237985255905,1.9019121603200062 43.377722861136384 -42.47144053110253,27.412761300665387 116.22801686926731 42.76705737350927,16.260755489159916 12.407409264653378 6.312985966097729,3.626684583970151 -36.69672465685743 39.3905835371992,28.408236082942114 -110.4606984504233 -40.08318144833012
-24.710966128514496 1.1378514828029727 -13.261880510320292,-14.93872884833127 3.6643658536621 -8.295927253271902,-17.085851358092896 6.425225817441201 0.36010571362573657,33.297294001836235 0.9541118846349965 14.252221538674302,17.43375244346286 1.651895013738323 8.522825219906302,2.0001949226559117 43.8633919403417 -42.99614183388815,27.545701845125762 115.47838222474317 42.42283235884738,16.037651115175315 12.463181387327664 6.428840278510779,3.8728871523457356 -34.87741875864305 39.288058446045895,28.528738888674685 -109.82343264329891 -39.79679942333309
-24.64408292914055 1.232505009586405 -13.553517919485541,-14.74525288941292 3.674959669695943 -8.682667625367554,-17.39138957333851 6.513186966219415 0.4947454113792026,33.51915404564144 0.9945108811259921 14.246471156045171,17.18460270057018 1.735018423203457 8.610715338066925,2.2109228255199227 44.27227106586252 -43.67330722355612,27.72163701727171 114.505869661068 41.979727204314784,15.788362124904554 12.545901685670271 6.562889226844044,4.251129354231297 -32.31832526016574 39.26036493189336,28.70527992029907 -108.8550604536197 -39.35664506607833
-24.57736366225937 1.519347661096802 -13.932438870152524,-14.335450287092286 3.7170577729244294 -8.974568009778858,-17.88116653787975 6.460189924365772 0.6514247044279581,33.98190388755452 1.1828250743250572 14.351151726681678,17.100058825018934 1.8330460802521202 8.752454171060396,2.5050669573019833 44.0024658431307 -44.084220362358096,27.81463952408442 114.04461580785193 41.779653751071024,15.696747252133509 12.62345931544867 6.590398790445424,4.607348761522045 -30.42046444545398 39.53999917653586,28.82904803826132 -108.10819820504669 -39.00889919794936
-24.447794193633566 1.8569899968450163 -14.30722981287979,-13.757626216197519 3.72772406235322 -9.071074164900232,-18.361211021923705 6.27710923379142 0.7494529287291647,34.49010778591226 1.4635050070443847 14.554620842969854,17.168463806905372 1.9244457950945462 8.889295212648758,2.7979941280912657 43.0552399992682 -44.135734737377696,27.774928402527106 114.37234169069244 41.950162675681646,15.754317622456593 12.68349361077943 6.479737510697184,4.856247413582214 -29.750356355973555 40.151524295663265,28.836477855379734 -107.94445856922793 -38.92083208682507
-24.09167997417034 1.7822432473781065 -14.526313821350984,-13.259836461841614 3.5452375723208704 -9.045102062796314,-18.364911947299117 6.182082452130444 0.6580063005163466,34.47306080381449 1.5768095924212508 14.708866651595907,17.06901371702863 1.9864304213453723 8.87988883337513,2.9188845166107424 42.366752350016526 -44.23933706418804,27.670749501035118 115.05932414896733 42.28654484959146,15.654445568771438 12.744256682220264 6.343582900134854,5.019112274353017 -29.58104565721816 40.797207152503674,28.734134900649607 -108.42939855719128 -39.13740264265204
-23.338929419306513 0.8091266833939285 -14.433931354927724,-13.105275919213236 3.001212847685317 -8.983569978160101,-17.40771312525959 6.408474480209367 0.2435483475808411,33.333965002630684 1.2481133653090555 14.655183896022681,16.457959821447254 1.9960575190898433 8.576835060557697,2.6912835083500255 42.94278669198705 -44.84568916487713,27.580222111886066 115.61696065346936 42.55644724661561,15.068474881202382 12.82612783785349 6.305475350236048,5.126014945074256 -29.082006867504923 41.15252818118133,28.53479164040672 -109.60122771031499 -39.69203177699132
-22.222985147469423 -1.1086859697452052 -13.963583539040089,-13.373378098557652 2.092089421424792 -8.890687006072804,-15.500286791069962 6.95571704842868 -0.48360900952023267,31.032432166311718 0.4438056543718581 14.328135635409106,15.319603972017813 1.9261280784551715 7.927620695518682,2.098704056788761 44.8184023247126 -46.02473720892998,27.556343443965293 115.73432350241985 42.61181972446218,13.993041933983584 12.903975375297325 6.349516438354981,5.172503660220637 -28.114744961215454 40.97730565186714,28.26688095548995 -111.32908817451802 -40.52673425968202
-21.13946453391194 -3.235186898028781 -13.20760455789862,-13.816586088225923 1.1076012660472174 -8.623487090839983,-13.53452922688262 7.406974312169052 -1.2571857824347572,28.518165930744782 -0.4408553874344782 13.828249317505474,14.221990897185483 1.7418688235886497 7.048576860563851,1.409310118459132 46.30132278052662 -47.1689707178818,27.607407730884987 115.41664481618564 42.45462317596263,13.003618308484365 12.871683959416742 6.211686208191283,5.0926947584025495 -27.772184293151845 40.18143106474749,27.98670232965366 -113.1812785915915 -41.42087407920033
-20.51953079471805 -4.755846742653924 -12.274861045903705,-14.15454552152959 0.36725357562964017 -8.024883215718885,-12.489090013988783 7.304605703320709 -1.7855061428508832,26.838759312905907 -0.9680425190511482 13.27327790496118,13.790991282405438 1.4080934543451198 6.073758395862634,0.9195703869808682 45.53071480280918 -47.60332982435153,27.736859507475966 114.7027974328972 42.102797742170814,12.73280727147872 12.615443842296447 5.604232052357848,4.814919428801172 -29.268472794536432 38.69204297909341,27.753358395083467 -114.69589230971657 -42.13750604281439
-20.53023059868649 -5.16980743215783 -11.297777200016322,-14.241258755290083 0.12225428432688559 -7.092916718045002,-12.739137932374074 6.501932478038012 -1.9231309692792227,26.425575126816742 -0.9421501401030105 12.798320566714827,14.305682351498817 0.9439340525693894 5.18430374698374,0.7726535894998734 42.04920170153641 -46.99022020061512,27.91245950674575 113.7867540977241 41.65045274715947,13.438594907030245 12.117985557428927 4.511828150228471,4.348365276533126 -32.973691588626295 36.698762535569806,27.615698292094653 -115.53014577960808 -42.5072325989764
-20.79772800637156 -4.6185763423461905 -10.457020600706011,-14.20587643141041 0.4839457992664524 -6.143315311221251,-13.423977242399424 5.489092647431525 -1.8240983680687006,26.448002247800638 -0.6636168175829465 12.573999657954715,15.334945189579246 0.4797609713479961 4.657773577473721,0.7977864205161479 38.27353662103514 -45.68314106518187,28.02889182943238 113.18011567539126 41.34768390359575,14.611791137919637 11.559743870567782 3.4770497763314494,3.8678052499810085 -37.529362716268196 34.92874729466196,27.60157309979262 -115.58520690092583 -42.49898658368882
-20.88268549843893 -3.3226310603483675 -9.938874548257417,-14.210847965172714 1.545782486892898 -5.530105742511931,-13.533258140508176 4.8332679002631105 -1.678906175738613,25.922545293851837 -0.49305501076148867 12.774778442260011,16.361269594723012 0.15935324501273287 4.782724045396678,0.7859474544183992 36.96722485966799 -44.11995443201973,27.97213450634237 113.4321918478546 41.46310533724888,15.650037338262022 11.14507573575741 3.1095848184573733,3.567864760052799 -41.367350256088294 34.17336101742542,27.736063618181753 -114.79309572331233 -42.09907790798138
-20.548951949498573 -1.5909789398801597 -9.848097102911819,-14.309095602488773 3.187930015208744 -5.439517365038427,-12.523891269506727 4.841249710228806 -1.6194514938143665,24.323666087987817 -0.6333574737156202 13.432799141185138,17.02604722866311 0.0672396575472228 5.6208597449153395,0.5818865652336361 39.44794750722272 -42.66649330552655,27.6957947020937 114.76136072733934 42.10272914661391,16.16572030231898 10.998459928051654 3.6836617057471117,3.524972276799653 -43.47731106272993 34.77299287880491,27.98852077836784 -113.36050845576874 -41.416737570893375
-20.040666743267447 0.05810665180931522 -10.09673755989242,-14.294642068900144 4.786383789764958 -5.661141281224105,-10.95729409134775 5.204321068725872 -1.639111435854231,22.208342338665133 -0.9146002771160455 14.243786540039133,17.346280814051504 0.14789368533297648 6.697655205753408,0.15745783105135996 43.61575698389266 -41.51832904508893,27.313340832238634 116.60374680652434 42.98820994962218,16.278840474893972 11.055559768333682 4.680552257147632,3.536163207592738 -44.16740846742094 36.00202163172433,28.196561655728633 -112.14341880003039 -40.851756538566335
-19.671161266047346 1.0764957749172948 -10.56895985365489,-13.924354878973574 5.644795262221378 -5.9273656156356544,-9.554155347950378 5.525061203976939 -1.7112775239490852,20.289709609880923 -1.1131665729106945 14.855018518268267,17.393266485403426 0.3255505838509436 7.461427847728261,-0.4969960986631448 46.87846586036546 -40.84633982174333,26.961275309263193 118.28277224852148 43.78583057936308,16.182686912348863 11.22477067183969 5.467337857871657,3.3582717765165513 -43.93619852584132 36.981315483455155,28.178927645470758 -112.09080860408294 -40.84552834388481
-19.626196106082485 1.1687039464437252 -11.116653364408256,-13.120464044126004 5.3959993295390145 -6.033821950122977,-8.845392018579522 5.547938640971876 -1.825801446003103,19.133997533174767 -1.1153726769828978 15.01555210922696,17.26171516432607 0.5200091349162964 7.566404890529296,-1.3045861197579462 47.62844453354003 -40.75496870378441,26.736305490022346 119.32376034729756 44.26385237524177,16.04436014832474 11.41950655702313 5.652291038169562,2.8555165395942796 -43.2334814260148 37.15683399972766,27.858635173433974 -113.62109443745831 -41.5886207999568
