-18.1 -3.8 -9.7,-12.1 0.6 -4.0,-12.1 3.4 -1.1,25.3 1.5 13.1,14.7 -0.3 3.8,0.6 35.9 -43.4,25.6 124.1 46.3,14.2 10.4 1.1,4.3 -38.3 35.0,25.9 -122.8 -45.8
-19.40652306861596 -0.05677963465002295 -11.835394140841865,-11.891088693098268 3.5597938131229396 -6.094588201310971,-9.724231649658343 5.201133409188426 -2.229012050091919,19.869985044975756 -0.9642932542474474 15.112118096337591,16.500849612514518 0.6337971057074642 6.467362239455592,-2.3258194135272845 46.34642343315776 -41.81933087875788,26.90459310272417 118.45073553724478 43.828480661575085,15.417583813372403 11.713709524584923 5.322110008925542,0.9368746297471268 -41.334575588511136 37.23647061576147,27.441190034111045 -115.70983319648099 -42.59047143451009
-19.835617731130938 0.47760456662588896 -11.44597188857682,-11.761620651800582 4.032143029298016 -5.60874991841145,-9.325560755411914 5.329149223561384 -2.3649407532152322,19.570359379333343 -1.4180328416775374 14.015360206637752,17.31921534092983 0.6060201377921818 6.930359115479445,-1.9257951311743327 46.619742569447354 -41.93832358970625,26.551053858195452 120.14071254860959 44.61102254188681,16.20611101585493 11.587085661001971 5.448110946136994,1.7444632447450643 -41.75537039632343 36.45633327175784,27.162412696495988 -117.20690123569285 -43.29625802173998
-19.576992023954478 1.5487816617600754 -11.423072246963995,-11.536978350468145 4.725089550548785 -5.357071020447926,-9.123784660582263 5.446644037386338 -2.787421540586142,19.68295545717734 -1.950019686854488 13.67501857964146,18.371747820767492 0.6960526361853487 7.611282494979441,-0.7534873293605636 48.43848671268522 -42.12732873209245,26.55011046761064 120.21255673599796 44.64010844809261,17.166348018596842 11.620874914934642 5.768063647099763,2.072188661309628 -41.70229916591515 36.1451115301005,27.168688854480152 -117.22522458924915 -43.29239456141672
-18.879870007703424 2.780528635927199 -11.52624881857586,-11.250393089467277 5.445953360660842 -5.2539474711283445,-9.101098584658239 5.543044583144946 -3.1984903886309928,20.075170752756392 -2.3717945043166218 13.833037258887922,19.301703589558592 0.7969539048352644 8.299935839043268,0.5212860986066591 50.849584523381026 -42.192115840542755,26.77003721396868 119.24964955892015 44.18889195430141,17.98092375470981 11.698898278684736 6.179286680739212,1.9936911072621828 -41.263287145473434 36.34623848214326,27.339972107414532 -116.38747585349395 -42.880932589361784
-18.056720712135693 3.7303708852499162 -11.46398344660791,-10.946002340630889 5.969701739143684 -5.185278298901727,-9.234213448668614 5.609325502544211 -3.2751410349899057,20.596180371869654 -2.4907848287307695 14.15525428345232,19.720742822028157 0.7838464245646514 8.753557799686096,1.1253732712597 52.757655549232595 -41.916127718562585,27.04662619657042 117.98196295805505 43.598798284458745,18.30797923168094 11.684770754204312 6.561101235740161,1.6144979342381878 -40.55978760956288 37.067951976141266,27.528684391838866 -115.46073633210268 -42.43326289619778
-17.33351641306256 4.121824414025372 -11.091462679115276,-10.658149040040648 6.1772627716950534 -5.1027271112389165,-9.45568831799883 5.656425747540874 -2.870430557045444,21.063905859141926 -2.245284588200913 14.411737996178537,19.441866835119107 0.6013066895457162 8.846116161667894,0.6370901546935492 53.53310985453136 -41.25578453046023,27.27434921632677 116.868674304419 43.08466579889468,17.985687425587198 11.516384550770228 6.844011919569784,1.0340463732158107 -39.75523464566735 38.20364478240244,27.6366834659143 -114.95314727512158 -42.19505800356127
-16.73176899314272 4.0707726098162516 -10.610652570485195,-10.39802387194139 6.200033921226412 -5.113411345596301,-9.593716425198295 5.7424757603665855 -2.2535932645156085,21.222391820312268 -1.8829287326818542 14.61893556818543,18.754005662371927 0.3580860817646864 8.727502178369202,-0.5344501623960027 53.64738971349725 -40.576389058475286,27.486384722824518 115.7288587495749 42.562107757321584,17.277779560629444 11.307207796049058 7.079510329953817,0.3373778725904092 -39.11229627922447 39.375239717538776,27.682683120697412 -114.76076933127588 -42.114818510091276
-16.24347053853621 3.7497346719909657 -10.273503054626895,-10.173488279000651 6.205482912300831 -5.34679871734512,-9.461573122645769 5.932349257019745 -1.7538143117472444,20.80527991572051 -1.6958372853756871 14.828881234083447,18.0146818976123 0.18658927456015004 8.587366145843575,-1.860304350470034 53.73063587991038 -40.30199628886777,27.73589747877097 114.28943052537188 41.903654003070166,16.50932900241725 11.19599429852683 7.33649397881332,-0.3925355544661246 -38.90775787393352 40.165706869842126,27.702266958958997 -114.69130576039169 -42.09814488792975
-15.871117058551695 3.3017119703050812 -10.257366505600993,-10.00271085097119 6.285700851800116 -5.860689833359394,-8.97975959109635 6.240944748532918 -1.5864726589560365,19.72841029312358 -1.8401303207495616 15.091197420071511,17.474605013518996 0.17683017253227884 8.547984963463938,-2.9351378341343612 54.175200733249014 -40.6446906915303,28.041813592063857 112.4839112161478 41.077431728117816,15.916102539889803 11.269253260775038 7.635592744305625,-1.0658755058563953 -39.271062689977136 40.33580573621011,27.723829098270645 -114.59354138582006 -42.069476270924284
-15.645956391530078 2.788908292655871 -10.535403372541772,-9.932073382006884 6.326454448193853 -6.516714743893657,-8.362280556761922 6.546366280794287 -1.6554316364181916,18.406345309689378 -2.0996625016615083 15.448904837719988,17.092110618818072 0.3027886882127039 8.547217922507652,-3.6919636930358823 54.72255120885137 -41.23634113878713,28.32933952552609 110.81135770115128 40.31324165206985,15.489412829224785 11.47048750995073 7.86531608309088,-1.5740833239527636 -39.92834230012051 40.13294928650115,27.75608426152872 -114.42871140532287 -42.00481785761038
-15.604100023176809 2.259826404551083 -11.046142851808076,-10.012729484104048 6.178550862576231 -7.143252981374745,-7.872886800783134 6.703541197182017 -1.8117497156856894,17.338167759819328 -2.195206342109059 15.943889782562868,16.775970311727388 0.5187677691250852 8.491662824545198,-4.121171912695159 55.00382662158887 -41.61049703252617,28.507803446454712 109.86662902371998 39.88521221746566,15.179127031183516 11.718955894732304 7.891792735199985,-1.8054522167852165 -40.53737976116545 39.887028068497976,27.804410415132605 -114.17711604657441 -41.8889184794206
-15.750174805460604 1.7601022074615422 -11.704477813859814,-10.26297610189132 5.760364490145915 -7.601595549028861,-7.72003202819331 6.6168873103186 -1.9489358232215463,16.90645955037521 -1.9540906982024957 16.57684440129161,16.4642131493035 0.7726856282684882 8.310436592927749,-4.232158926617613 54.74885248848951 -41.469058419235694,28.52142934999552 109.99916978432974 39.95392635417591,14.945962932132286 11.945077265923585 7.640118529461184,-1.7289657353363699 -40.85652933019586 39.821039274662965,27.87436798112587 -113.81365928372047 -41.706884450997954
-15.988688753215904 1.3262551844807902 -12.350139338077538,-10.596628376064983 5.205128598638898 -7.857689524927066,-7.936329278287395 6.348198512580454 -2.0954882335325427,17.123338269557134 -1.5424858161354305 17.217466454150617,16.18790477212914 0.9921574888927956 8.004265314537543,-4.09476028556852 54.0012692460667 -41.04926810686496,28.425407416712584 110.77802456861873 40.318900549778405,14.785142515844736 12.114758466488553 7.222900332911177,-1.570196831372114 -40.963954340229385 39.818067029974486,27.972097577182655 -113.29608539857303 -41.44495885750071
-16.204294507517176 0.992996483807574 -12.807953003716737,-10.906780630179234 4.688687395605749 -7.898238206742349,-8.5195173371716 5.9904800764809965 -2.3066764182652286,17.927448516488592 -1.1937613685218753 17.709475038675603,15.996561978827712 1.100772486886737 7.588077147326701,-3.7907980342357743 52.866955145107475 -40.69453902741593,28.296934886694288 111.61746786701302 40.70804406142415,14.69873072220694 12.200944723014317 6.7899324746895005,-1.6056045913464154 -41.00124337770784 39.6937836114366,28.103854725560684 -112.57873642237938 -41.08961064432308
-16.32188732627051 0.7740971097376872 -12.961153835562811,-11.116475494783748 4.335374367746389 -7.733772144270222,-9.418141599408496 5.62857944753926 -2.6072684372240493,19.200062676288056 -1.072835156665482 17.942212749769908,15.922982219534632 1.0534611904433075 7.091568247666183,-3.3986195184911705 51.49508577650522 -40.66013861579227,28.198087583278703 112.07416256214141 40.91546982567495,14.684558073503117 12.192637593381093 6.4563654924648,-1.9971191597200793 -41.06701649927049 39.33987508817901,28.265506243592515 -111.67573575580164 -40.65360921979986
-16.41542351974234 0.6057645249162407 -12.909328927524804,-11.259685915318864 4.0787242202111536 -7.463079449956711,-10.39853220394368 5.317126993646184 -2.9090533019899403,20.609943032367273 -1.0910751688383449 17.974014337057586,15.938033480632296 0.9212447018602209 6.599136318667272,-2.983701592599807 50.19521266067227 -40.874838129641454,28.134930700489935 112.23218663178969 40.98051315527118,14.72477055672723 12.138312243997323 6.209027254532326,-2.4824486505962158 -41.10073576500905 38.9295871479705,28.4144385661028 -110.82264055650158 -40.24714247526079
-16.593364568378238 0.40625151394216485 -12.802147301993493,-11.396063371843583 3.80810489343824 -7.205378403421822,-11.18483946940926 5.103758328601248 -3.09766724161681,21.77665929161941 -1.1011568018608644 17.90233344114896,15.998248101115232 0.8020171635220661 6.2078415674920855,-2.608541804722691 49.31401169526814 -41.19183035738191,28.100563897319855 112.29770593200082 40.999274290395995,14.79788344816242 12.100210998761204 6.005041051938878,-2.7011007889122296 -41.00502078912285 38.701341877128485,28.499130555307687 -110.30626623738385 -40.002949070872226
-16.92765245493563 0.1156569066360384 -12.759522649721532,-11.578551662980272 3.4450062783979765 -7.058416690346426,-11.55790662090306 5.017611736048667 -3.109078180750955,22.388053180738154 -1.0040371786708682 17.82243768237683,16.053469857062485 0.7690647944336921 5.983209541541434,-2.3236890055517967 49.083918644944546 -41.47894437547606,28.088016719599242 112.43431361985536 41.04874732291577,14.872605849989707 12.122816699632503 5.8082317544293485,-2.4106270782457764 -40.712935418150835 38.80005722733833,28.487275077678106 -110.31008340471168 -40.005629927482275
-17.3324662898601 -0.23154636400388062 -12.772826735011602,-11.831117652919357 3.0496838981478867 -7.027189828815786,-11.543488131758098 5.0079177210451045 -3.0966850977946416,22.426899013777092 -0.9092486840429299 17.820151154745712,16.024648181421743 0.7893684994588408 5.854537230424871,-2.128074116934755 49.24385614691386 -41.667237480596626,28.090015826909465 112.6216903756595 41.12338849428604,14.875284556837245 12.173891886848835 5.611374802576889,-1.878523757335972 -40.289061450500505 38.966716764918466,28.429568783738137 -110.57111694215118 -40.13183272172115
-17.679393301142582 -0.5754068056047039 -12.798728336973298,-12.169905185344993 2.7198563962122897 -7.091652658067484,-11.2334581582455 5.002333761591223 -3.2725877145371194,21.955595251515888 -0.9826336120789848 17.978748445158484,15.824931784142784 0.8012095066750955 5.714343447522066,-2.006692559129528 49.39951109790199 -41.70483694845224,28.099206107402765 112.78986528249663 41.19537096774971,14.720829639360296 12.200486609648156 5.415061539971901,-1.509958913184477 -39.833487119424184 38.83325225199005,28.399117192219443 -110.70586297105176 -40.202063149510934
-17.887820148004256 -0.887319923283906 -12.799908599417845,-12.609269014102528 2.517539707449775 -7.229270199753547,-10.753775284017998 4.944771129376712 -3.7719261838568503,21.12026547431189 -1.3227966052603604 18.336296833874723,15.405175391007273 0.7594144986560718 5.474109809856069,-1.9461815986011806 49.19514858728946 -41.56819643929773,28.10565190605524 112.8960089246608 41.24804629523819,14.360589644456788 12.16512250546155 5.2140418146710825,-1.6053087428594444 -39.45714321831788 38.12253543454938,28.44724399799874 -110.44491136819289 -40.090006894741165
-18.118153306308017 -1.296742482585626 -12.769367218486597,-13.154543479456136 2.3247249975199025 -7.404955177287428,-10.402254929324485 4.861098411809662 -4.341787003554109,20.489189585509223 -1.6893091318115825 18.70291746940042,14.906357326179132 0.7022386605564367 5.140935941082719,-1.9414581912296938 48.46956491541133 -41.37659684978123,28.086405842402694 113.03414990731858 41.32113196297919,13.929645758262053 12.108334387596354 4.973610605105173,-1.936552174393426 -39.32562859171284 37.015988363461354,28.515441829866838 -110.09415021692031 -39.937500612853725
-18.606593386841407 -1.982837188864535 -12.709638245122298,-13.808226248513524 1.9667905699675337 -7.579672959879237,-10.530756785304897 4.802957528682926 -4.607224419057516,20.763404096392364 -1.7351260069715633 18.81704868134972,14.529244581280961 0.6941731579132837 4.751990710602588,-1.990043028577006 47.12273112356627 -41.294234332802134,28.014428704498485 113.34135493700141 41.472071000638046,13.620858052658079 12.095190077726832 4.649800139472481,-2.1095016584681683 -39.6217336897997 35.83923460862442,28.510664452724306 -110.14038313896977 -39.97070709977638
-19.501103022365044 -3.0791169223027905 -12.614981467346812,-14.553326122528134 1.305753026986127 -7.710166787212513,-11.370687116614226 4.801469130517035 -4.297578411183937,22.39693370357645 -1.214190188545803 18.473043494171193,14.41999758320192 0.777917079981036 4.328797145844024,-2.078489020725519 45.06943950066642 -41.44236135839831,27.87609034311153 113.89607207182218 41.73199717989095,13.576651055501605 12.170010635374506 4.2018616248659075,-1.8002281200458066 -40.45125545545684 34.879064287724695,28.35983922805842 -110.96528564420097 -40.36672436122042
-20.42908552227686 -4.449761156994308 -12.43083749408305,-15.25791961559596 0.4198304681024905 -7.728287778460259,-12.442944433002596 4.766671251958955 -3.7574917681915077,24.386729606937273 -0.47626623232442633 17.795174189012606,14.402597989047235 0.8675911369785334 3.8005399463228065,-2.128659402713723 42.311761103737496 -41.68886716608382,27.73685129471665 114.43094481314817 41.97684348184025,13.641874046046887 12.25470729715696 3.608050597333906,-1.0995196146278665 -41.4658735310458 34.192931258858124,28.107765021845793 -112.33013565654245 -41.0131022313083
-20.82776794246578 -5.860553630340001 -12.084811793927466,-15.74809495959832 -0.5337739829324444 -7.556793199303415,-13.008857014944324 4.564366742118754 -3.5563962263815316,25.19742946155197 -0.08879056006762898 17.028242649285364,14.183325690440634 0.8303424218828899 3.0626697941822787,-2.03878429133895 38.88365259512584 -41.8090796526103,27.691066343994343 114.55228367377694 42.02584328858326,13.552662957390694 12.226471244805058 2.8535654559551578,-0.2496730586896967 -42.15136460994623 33.754505825230474,27.842302768329283 -113.76956087336193 -41.691609734921656
-20.260704796780285 -7.090740985119436 -11.525920778824126,-15.88501130214175 -1.405469075533165 -7.138139568660398,-12.48357106417476 4.094009530986928 -4.14130026842003,23.628250633674913 -0.5009534554234195 16.386874472780875,13.538422557739882 0.5612761041080659 2.051426252966374,-1.7385954467538187 34.91184164625788 -41.62183542158803,27.81161300638785 113.95907146075248 41.74110788167372,13.105996098222016 11.987721347819553 1.9461391688727634,0.523799446968244 -42.09658881444004 33.53508400342281,27.642803884761026 -114.86296300059286 -42.20523103749886
-19.16790541003927 -8.013773293990702 -10.851582006521328,-15.77303794872534 -2.099164425053107 -6.551245924193501,-11.349701524592524 3.4884577499572367 -5.109431039591281,20.800003582613524 -1.3411529922143681 15.875565998033483,12.729650345294907 0.14951927536839915 0.9857577571099226,-1.3761386669126756 31.16494455838286 -41.24810926061759,28.022395500757867 112.99311296674465 41.28215346971086,12.521148661238312 11.615974045017047 1.0494310476869568,1.113128133994235 -41.605704468420114 33.490381749406026,27.529271983714043 -115.5020112300013 -42.504894641059856
-18.360162391593633 -8.542953291388958 -10.22199398317551,-15.619434005949357 -2.541403131823854 -5.932761628371307,-10.54145486700715 2.9793109319613675 -5.698516585551632,18.81564628014763 -1.8905519645109556 15.409918601796948,12.22416948293656 -0.23372020277340905 0.20421243107539083,-1.1918172734919976 28.683127941437405 -40.93669519776716,28.18429504977276 112.26815814829965 40.93431310239697,12.196048091073369 11.262820617467103 0.39306487934623474,1.4603540037503366 -41.28547604648252 33.56952389092171,27.4966036515082 -115.71047918429525 -42.604116743372195
-18.538080365085793 -8.629517963540335 -9.76785986691352,-15.60953024408558 -2.6825532939347125 -5.403935280222323,-10.85918231046835 2.7703949730398594 -5.253607047743721,19.477311224785144 -1.5341573927147523 14.907549298036677,12.418010410488034 -0.4398643166615024 -0.007580951707595311,-1.3956496391717081 28.34877195689348 -40.90582066255775,28.179627095283852 112.29818386805607 40.936756842792136,12.467007009457497 11.059076530993668 0.16569764074021998,1.5191705572081333 -41.66918083443686 33.70767572626633,27.538109927982656 -115.52112065487475 -42.51998158795001
-19.491535155952466 -8.533349993710468 -9.377161672537328,-15.746565258848516 -2.666901073074972 -4.9585522403294,-11.996856844048134 2.8358261207342608 -4.006746246664744,22.10161944899285 -0.5152082238023218 14.305131738834598,13.120289155470658 -0.5075490367205047 0.20032281289351078,-1.946804253670902 29.747688028221198 -41.12034450821956,28.067600048782744 112.77438179111523 41.14796892804743,13.161914749259353 10.963718852772752 0.21948480484257918,1.3369832356120557 -42.68109288413238 33.726187478098836,27.634885592992685 -115.0361742160807 -42.29688665318227
-20.565687706901727 -8.665045796007876 -8.819359078669248,-15.94486083535707 -2.7334241011967886 -4.528156728719361,-13.10819966532205 3.0375518852022574 -2.6231028702136916,24.79150033266333 0.5039762814035897 13.548645058433678,13.853527564401737 -0.5668281573634054 0.465121766729273,-2.681957953317214 31.832564507119884 -41.42140404001573,27.99380032628238 112.9861721404607 41.24054219409878,13.860394195939678 10.851814825833465 0.2422659394455247,1.006957639115343 -43.948105949018206 33.39083271649559,27.762060146019476 -114.39180832034518 -41.99256665030752
-21.159074874598605 -9.373242529494533 -7.895899720208448,-16.121517337280334 -3.090148294843677 -4.047552916462526,-13.426518099579436 3.2405114553556227 -1.712142740747157,25.81924049454941 0.9251617540704921 12.602088530816452,14.176530555238493 -0.736891508715268 0.45667735309725155,-3.432350529537845 33.59434433681638 -41.662332857222914,28.083547970758172 112.33066757506131 40.93697474020792,14.174316135419865 10.610265880215142 -0.04499780098409213,0.6272675110559002 -45.092527286942584 32.51644365229956,27.892303917170256 -113.73557398747855 -41.67091719943741
-21.217238117977384 -10.395615803944358 -6.726328779568121,-16.22642985880378 -3.638619704301384 -3.487257455545729,-12.992662452158612 3.3460331712124063 -1.3145146776448051,25.179763985731164 0.7993219272974323 11.603662526843813,14.018905925824324 -1.0255340988317179 0.17568954773809892,-3.9845223881001663 34.436658387859204 -41.82290588571454,28.259887022044992 111.27608613590219 40.456101595664244,14.044691985314671 10.246287225713873 -0.5892427888555702,0.34166483074018583 -45.71170229749249 31.397417532879402,27.974822775801158 -113.32321536332199 -41.4547245505129
-20.9931233841561 -11.126494351280941 -5.608955225390005,-16.227923407330575 -4.108149473540833 -2.8378566223655177,-12.301304322475756 3.2758952708808295 -1.15120492533728,23.83607899408383 0.5422711287070219 10.789464580955892,13.518644491322082 -1.377949509523465 -0.191217735645688,-4.099893868662599 33.99505901838881 -41.9539552803645,28.332186880021585 110.89258339865047 40.295688166775626,13.597502918532397 9.834707755327228 -1.150771151908782,0.3195155380192587 -45.38894836800207 30.59765654942411,27.945636083297853 -113.47127873760088 -41.49987018493441
-20.720625843802175 -11.03231751715111 -4.814728682269774,-16.096129212356562 -4.261793142425434 -2.0937445311655494,-11.815595838765626 2.96361436997074 -0.9628631633902246,22.698006495381943 0.5395610445930731 10.375199665198593,12.8165584439007 -1.7417145227366229 -0.47456917404072135,-3.5837440402832885 31.988465626642547 -42.087641802520494,28.13307098902608 112.11291324082458 40.88879496526297,12.96253109757999 9.445944883594574 -1.5143054478001492,0.6912661981743428 -43.79549880909015 30.620335601106586,27.752465673807762 -114.43799905548653 -41.93472680506058
-20.372431155072018 -10.462201749042027 -4.273434082686857,-15.819793037120608 -4.277153053677075 -1.2909866152986142,-11.573600854542029 2.4765217612117008 -0.7600555855348128,21.931902810128886 0.7777700221580995 10.326852118169269,12.059316704127928 -2.1002043420613035 -0.7282798626966842,-2.7544574672840336 29.074954390756705 -42.029884295455176,27.78018802115334 114.19471047134617 41.88022527649627,12.289830503543751 9.090390834674105 -1.7725856188142521,1.1316140256532146 -41.62642321715525 31.22783060213468,27.480779507087828 -115.7958807903272 -42.56359868410308
-19.752702709985936 -10.334732592402375 -3.6947501061424712,-15.399670021470014 -4.599281100248934 -0.4925330301233943,-11.339132723498833 1.9682807870879362 -0.7274880720606224,21.224469642524102 0.9860742543521646 10.449296192369431,11.397366727022394 -2.459889926986978 -1.1503877473555648,-2.2614545173825573 26.518509088802407 -41.4406390746509,27.57507389221224 115.3148879193972 42.40622933658702,11.74253371014186 8.739711903445876 -2.2170725005441647,1.0212243956562608 -40.23733072780864 31.704582637706565,27.304914011030206 -116.67502165945652 -42.98171368937239
-18.692235866348067 -11.49935554787542 -2.8112494774599934,-14.8434946272949 -5.637073106780218 0.24032917113369648,-10.89467888507436 1.5841286180039431 -1.031411432299263,20.288012298198463 0.913354576928641 10.55259538115928,10.97114962723338 -2.824349803478203 -1.9212202063723138,-2.7008229953646348 25.48862815300385 -40.01896558349917,27.796878738805134 113.79056494403711 41.66986651780235,11.47190492489914 8.369261874549464 -3.1151919522122338,-0.19543705693502972 -40.87688091170241 31.384854851189704,27.387080435886155 -116.26513787062594 -42.811373820490424
-17.436582923940982 -13.697768420970885 -1.7297142748894343,-14.254505462325751 -7.227265495216565 0.8760550199020611,-10.350198773618796 1.3303248258113989 -1.5371957734879809,19.308158848893047 0.6465262348544862 10.557746990067844,10.77925109772931 -3.1509913689768703 -2.937760299274713,-3.839580789492923 25.68144479768248 -38.04907558991899,28.36620789890406 110.16782671292903 39.93480332423795,11.458937280802296 8.015436262638033 -4.349108411258042,-2.1060554771450133 -43.131946086252675 30.417016318769356,27.697805701175234 -114.69972070366457 -42.105389250826335
-16.53789316225446 -15.852798823041878 -0.8335499334630517,-13.806539790278155 -8.78364252679909 1.405085516748106,-10.057725950318542 1.1103938436563283 -1.887793914139912,18.82042742442448 0.522386556824208 10.467752911686995,10.7153943459105 -3.363091359995622 -3.8875370570329255,-4.831880018599723 25.703949946592964 -36.24773766127205,28.938622919229555 106.6404563961583 38.24872916681183,11.55875598217622 7.759753901986565 -5.516193038960732,-3.582861685647364 -45.36097078095741 29.551240197288443,28.06591967228393 -112.80991965056248 -41.23481077241281
-16.517584854346744 -16.922802875716595 -0.4896583455768943,-13.663974905856454 -9.737144284057715 1.8178353772254114,-10.347619458623026 0.8324437910701068 -1.745510182639863,19.32398795694413 0.8588891367732815 10.290191383321954,10.674392407160784 -3.389462781973228 -4.468110085192808,-4.868456012313333 24.230800012776985 -35.30466230122512,29.181537090618612 105.32186947762315 37.620794604834835,11.628755676000804 7.678992897887407 -6.226059235952801,-3.554231113525809 -45.983154930948736 29.507149596976703,28.323870924578582 -111.41158368450893 -40.56470507754669
-17.24044726749283 -16.8138071475257 -0.6668543529054831,-13.798711499209894 -9.987497394639858 2.095338647371151,-11.076632410208306 0.5256641468383859 -1.198047882970027,20.546534343171558 1.546231918979244 10.078597307584085,10.612500947800537 -3.2686447509840026 -4.635766834610422,-4.022348308249639 21.55055119843395 -35.26539945195154,29.075195735806147 106.26486743665262 38.0744970747729,11.61672820007326 7.749518813030019 -6.415932119441401,-2.2112309130425274 -44.968482718342585 30.231028995667675,28.42429622533166 -110.77238249401303 -40.22731953019214
-18.015865136929605 -16.233417875964527 -0.9972339647703337,-14.019845423144773 -9.830947935415635 2.210694806949829,-11.70092202684869 0.3216601147343732 -0.6929307304715758,21.563213481957334 2.112799061955587 9.925377674616074,10.537946405136422 -3.131987359457483 -4.5656376896463975,-3.1128865887434785 19.31686427662262 -35.63064086010995,28.864450716002516 107.77929744072107 38.79962699341408,11.54692715221247 7.862764042753781 -6.3001446263185015,-0.8129661975196433 -43.5986571061834 31.01504041018566,28.42149258815602 -110.69631258775306 -40.157973078171054
-18.162859785488298 -15.891902087503391 -1.1156486481384376,-14.13661311724554 -9.570125666244804 2.140008016837815,-11.689091569472279 0.34850400148059885 -0.6693268198499771,21.47327427532592 2.097473468605522 9.920176614741559,10.46240261626783 -3.108486720158408 -4.435443491578637,-2.950246778489588 19.155904989872365 -35.89903531463263,28.793309659615133 108.18581486715425 38.991304873550604,11.447765187086356 7.911010662669888 -6.0977580295743055,-0.6009861317169789 -43.15106933038308 31.15887435954229,28.371843557826306 -110.97406130286417 -40.28523979635046
-17.58847407966422 -16.00995524130005 -0.9465446005114425,-14.072444477781296 -9.375306712056734 1.9299179296827622,-11.052965713039628 0.5877827891365941 -1.1396692711076988,20.343806089119497 1.513680471786191 10.066222610976027,10.4367763954728 -3.2127607077083367 -4.329642707682582,-3.6367300217254375 21.166001717293803 -35.89692969467866,28.906837196030793 107.22922684742376 38.5293375431216,11.385591275304582 7.862939078114206 -5.941126801027933,-1.707212937473071 -43.91415690351217 30.571950264339637,28.30754947404932 -111.42442357307002 -40.52595906467069
-16.76843048587783 -16.33480483256793 -0.6944370360373643,-13.861206662990893 -9.288767104974935 1.695279547847353,-10.329722224981023 0.8794165145251931 -1.7036929327246975,19.177903327916795 0.833778588217582 10.28317099111985,10.549917033808034 -3.3488112313645324 -4.242499134464802,-4.590046989286555 23.967901021580293 -35.767589912144054,29.057698838804605 106.03164727753541 37.955696582305926,11.463442854429854 7.761115034255662 -5.878750680419283,-3.1904411378782025 -45.21993352375206 29.753360477328858,28.237422935842655 -111.89337737828534 -40.785621560481005
-16.190431495436194 -16.598715039900586 -0.5721113949597737,-13.54169781727423 -9.344990511472668 1.5500817984894624,-10.064563033707387 1.061297166463907 -1.9553350784823194,18.99003385753914 0.5366484942064504 10.48947217429255,10.88777242826998 -3.417997983786127 -4.164453126774511,-5.212215323833425 26.148034939375247 -35.66360101167782,29.094411844847794 105.74233533190896 37.825212113623635,11.781009418346644 7.651290927289865 -5.952850629184866,-4.085986992443451 -46.370549333056886 29.217537212352315,28.16946442079312 -112.23118664333306 -40.97127481182156
-16.029036955819713 -16.656195100385546 -0.7039170653786069,-13.164190113312019 -9.507509798372746 1.5068285049755106,-10.428944134672712 1.0758689380445834 -1.7961756464850547,20.047649267986877 0.7611465146948847 10.665018599295754,11.412685806730511 -3.3739334697074552 -4.082228307201992,-5.246940348528997 27.01800394827805 -35.636386762597944,28.96879825216686 106.70024804995565 38.29781725737981,12.30340569808889 7.583778607554209 -6.126585941311491,-3.995899354842919 -46.925167231541906 29.235186512298426,28.115687277484085 -112.37620814991408 -41.04606077909745
-16.1125999683398 -16.49690691961701 -1.1164295982615449,-12.791641271649068 -9.661415480524145 1.4658227787570404,-11.181112508545636 0.981167683731909 -1.4679206097220483,21.792308926384464 1.2702021354515463 10.857632263972404,11.950344559370464 -3.228000275336461 -3.9784391237900323,-4.815693182427772 26.691146044929766 -35.62552824316413,28.7468926240559 108.34848216235666 39.09685175094684,12.84696218312697 7.613930803126161 -6.275706280784858,-3.1487998283940417 -46.72710033801985 29.80755369260227,28.09254143647813 -112.36419308429718 -41.0351387534418
-16.255750453111492 -16.116698816258552 -1.8274411858622759,-12.486966141015584 -9.688081526590521 1.3248199077185232,-12.058865520091917 0.8408947702800639 -1.225347589009009,23.62672477687194 1.8098366743201935 11.115931269546323,12.324385834212814 -2.995629640306129 -3.8351501061333226,-4.061320034528858 25.33456694191417 -35.56950406498029,28.499258587479915 110.09350042642284 39.92789876720717,13.225257186048465 7.794851660721314 -6.273224746831713,-1.8086137592540614 -45.647271338722106 30.915190449472743,28.115413177223203 -112.23972047774559 -40.96852560244229
-16.42666393209192 -15.481839905424419 -2.71839180566874,-12.287470114473212 -9.481436963569182 1.1009007908772803,-12.834203057800345 0.7071663113656372 -1.1573533213824645,25.096152364611495 2.219306921099214 11.388957360086966,12.542336553116105 -2.7310337899716726 -3.6220754001880744,-3.193520512484793 23.564967385116667 -35.57836736441178,28.245872530971813 111.6979551436614 40.67367473277901,13.433038448890086 8.087752127155001 -6.0575886269503165,-0.3446742987925176 -44.02916065101282 32.291508062136295,28.152331577992644 -112.18606965216986 -40.936592368819994
-16.78767063548982 -14.521197113129816 -3.498307349973933,-12.19807604638397 -8.951286386748595 0.9620306830283564,-13.322373276051012 0.6174491477175412 -1.1430821692860955,25.926090178474325 2.4557636699666547 11.499840378963778,12.84424781942745 -2.537462570292745 -3.293312389832302,-2.506528733276112 22.567550190653513 -35.97912312404309,27.942744500810406 113.3748916988465 41.44087679914757,13.694138085346301 8.33764641548464 -5.649985160686564,0.7403997755730046 -42.8137865397714 33.35741471640115,28.1114436789724 -112.5619030999655 -41.106026493318474
