-18.1 -3.8 -9.7,-12.1 0.6 -4.0,-12.1 3.4 -1.1,25.3 1.5 13.1,14.7 -0.3 3.8,0.6 35.9 -43.4,25.6 124.1 46.3,14.2 10.4 1.1,4.3 -38.3 35.0,25.9 -122.8 -45.8
-21.190267378294337 -3.8860448639219296 -7.0486648598763875,-16.894973951583644 1.5460254308376185 -3.4239191699751745,-13.569586563425597 4.321113684175019 -0.665663219142142,28.888272492435366 -0.004683129254262897 9.386388944045379,14.918096028891641 -1.357204630829227 3.188831413442771,1.0205265686352047 32.95736808176234 -44.26144896265089,26.109494514665883 121.80273336116836 45.29809802635941,14.293812067612366 9.937554156340147 2.81758826939679,3.8491286892050867 -40.491750448725305 34.660749799944504,26.9794436878801 -118.48125366045556 -43.87276094519616
-21.37694447294142 -3.8367139974920206 -7.3294237304924135,-16.98996495864368 1.2991211879027544 -3.5712614505260616,-14.304963586288743 4.473944127568536 -0.3080814879664403,29.663299216628108 0.19902682134802527 9.640064027374205,15.06186601963759 -1.2313038951558763 3.3432678264377946,0.5002512607031646 36.648867913548635 -44.65086901895376,26.533909822246333 120.07117644872741 44.52141515340298,14.374440257546107 10.072266174231384 2.9743216202474088,3.950708701188916 -39.969833496821934 34.60867758240881,27.149550206528247 -117.66275665447365 -43.518353343218514
-21.440949716400205 -3.5363935324405653 -7.715964220505388,-17.013456738504086 1.5233959995702733 -3.701202585958203,-13.684527272487571 4.571738343179942 -0.5367520201330388,28.49827955339887 0.03733558085872701 9.972513837558331,15.271907622551387 -1.0647283588433398 3.7065458165250713,0.06719528534184119 39.254629591650854 -44.73501050527574,26.765967565185615 119.10864499028305 44.091493816777415,14.525684591770519 10.203490093166108 3.083069570460612,4.270481970498478 -40.646175936533176 34.58066832704029,27.445632035595068 -116.07825451828027 -42.79425170975319
-21.3771961974272 -3.0504631551069057 -8.117535813268582,-16.904864586598883 2.11871340883122 -3.805357032873435,-12.119171584207997 4.592143208500255 -1.1361083272912351,25.957040823790162 -0.3438341901563302 10.375855019104346,15.500038332327792 -0.9011083925258858 4.173044180634532,-0.22557355507006635 40.442881682942385 -44.555015240877324,26.85660510818065 118.69557571327677 43.909084849232244,14.710169389200159 10.2988339093926 3.1384810648695285,4.674955426082687 -42.10859018306926 34.5968107471433,27.776574607024248 -114.26828613624939 -41.95297561280978
-21.175287854210268 -2.588898074966859 -8.375986113629786,-16.546444363931016 2.764991763631246 -3.8839388403319903,-10.575093902851153 4.529899541204538 -1.5768539995432533,23.395382784482575 -0.5976013889795028 10.79609408230214,15.67327812505007 -0.8056072003863486 4.54426663167924,-0.38157107916652805 40.26123664987665 -44.33538759274901,26.955251965126973 118.2111592265738 43.69430483856427,14.870010169622773 10.314259987323156 3.119441881645767,4.967096253405916 -43.40825011531338 34.67031614128824,27.98525961648461 -113.15908258365668 -41.429970430314256
-20.83505138022384 -2.3379192712319457 -8.357231660567992,-15.849206484041584 3.1726322089300996 -3.9377130199932977,-9.922393012734378 4.387504722107986 -1.4046273231304442,22.039706766903635 -0.43042887326604673 11.181567001026727,15.736847730024907 -0.8319509547756737 4.648957025381611,-0.41804197664708026 38.84568926839082 -44.26728333275221,27.195503025621626 117.09407486360955 43.193657020267096,14.961804394960451 10.21666969854471 3.0154839110774465,4.969153973825919 -43.71297060473501 34.81308465902795,27.941446278718132 -113.51553711185416 -41.585364357418676
-20.447455490623625 -2.2660478656770833 -8.144234064550586,-14.982414487636667 3.3329394080482273 -3.971959244733097,-10.151782027367528 4.2356656621086275 -0.8454482643358577,21.93032669308718 -0.032123560808876364 11.503386931787558,15.798925013806189 -0.9312002459989941 4.562243389301104,-0.47178186976476233 37.10119080820199 -44.23710749922324,27.565739813706603 115.32994737845652 42.396365103958615,15.071845766653164 10.07075907455447 2.911513369736028,4.677686207782067 -43.2517877936189 35.02566488874278,27.75685130932627 -114.65061352896494 -42.101354203980875
-20.151229831337098 -2.227724256079092 -7.933692534163647,-14.250663670200087 3.3844192081999864 -3.9943229943055867,-10.793151737358885 4.1808329453757755 -0.4818755376445547,22.48601400000561 0.1542220245819007 11.74460290241786,16.053081873135582 -1.0006160704279294 4.488365846134987,-0.7422343636465747 36.335646930299674 -43.971567348750376,27.97824804853093 113.19101599663641 41.418845015840226,15.35439238941725 9.99247124336629 2.942415249197012,4.180592822677556 -42.80984701202014 35.3026568879674,27.669983821479487 -115.11642460706618 -42.30488205362201
-20.067480236358037 -2.0783949007133447 -7.904269828372392,-13.928434439895225 3.4693387821264383 -4.012672542019702,-11.407814324974987 4.318056079874868 -0.8429323858283428,23.162716426892157 -0.2735524415747841 11.886681746180814,16.66614386916678 -0.9490677369569587 4.61611503179985,-1.4042513966162982 37.71005211364951 -43.23843154495721,28.349111743235703 110.95372753323014 40.38034870208409,15.939871727848432 10.084806663281821 3.2341317199348234,3.56581201975193 -43.095449936919294 35.64289135677035,27.89445308963409 -113.62005015418859 -41.59500428205986
-20.125931630641976 -1.6948234481161764 -8.032713951469878,-13.95816951757299 3.7561215145466917 -4.037018389412237,-11.933353306047989 4.618125441180326 -1.8565542096511085,23.868690645797734 -1.259829770866346 11.893195133241363,17.513287225368803 -0.8135667710274801 4.958370130170973,-2.366011432707002 40.789609517034954 -42.2558825835777,28.64180244699871 108.91240746394924 39.41833758313966,16.699613301442405 10.308709182241614 3.8130903427363574,2.913164051864466 -43.949971664634134 36.09062564902681,28.36794005998399 -110.58320494093593 -40.16879800415174
-20.141039811701226 -0.966612935733042 -8.174159222737766,-14.082324620745693 4.428944732133013 -4.078661306625414,-12.533981218708968 4.976989865866975 -3.08863992769478,24.784619958381672 -2.4732724078929063 11.716936439073775,18.29402715051883 -0.7083050269038367 5.422058484441233,-3.3750749367572617 44.17837380233204 -41.51338816677862,28.84833332246425 107.37214961972495 38.6812406844369,17.348891387800062 10.539561650455841 4.645780817897723,2.297579714346404 -44.69263557315003 36.717477688552236,28.861933461351423 -107.46033201270548 -38.703989918584924
-19.94580789197297 0.19046493950077342 -8.199991784942421,-14.058356431914913 5.6339343414326155 -4.1507348273115685,-13.347204055319466 5.294039924977023 -4.114220066191541,26.057025151636868 -3.581768979666596 11.33002999740777,18.725405986458103 -0.7351853224529402 5.916966993166706,-4.178477987786664 46.555744133075514 -41.460795724247745,28.959239273250954 106.63052666531033 38.314170654873585,17.62177277964566 10.662019719560046 5.683702123893656,1.7949213524214604 -44.68041955796066 37.580804933876536,29.157962703590528 -105.64050332972215 -37.847831938543045
-19.63046261408321 1.5285303871345364 -8.210605488094807,-13.870508745628712 7.028258735350212 -4.289563536786325,-14.129497780244458 5.525783708552311 -4.688573152801402,27.3480886688509 -4.2917357543643435 10.953488576277993,18.779259081611556 -0.825538391020206 6.408024231832968,-4.544760050409944 47.73258467088779 -41.99407981872064,28.9411554285589 106.88712084075418 38.417940237096296,17.51984267772983 10.694243636161568 6.69733828445103,1.4938124855038286 -43.84438591202961 38.55095144307251,29.195031523303175 -105.4961893626105 -37.773793818835976
-19.462903958154048 2.5703050963318583 -8.464577708065576,-13.659675040564517 7.931346479453766 -4.547490880012565,-14.37414776914725 5.668182347986118 -4.69148122966464,27.98544374604583 -4.336201371405215 10.980240773792008,18.603416106301555 -0.7928749411689437 6.898247034977981,-4.257313719698828 48.30130149551194 -42.6266359110035,28.744208518677638 108.27382901836496 39.06276269982826,17.229470478597936 10.74660987751431 7.332140047692722,1.4916912163762979 -42.51213683182612 39.369084665166696,29.020916608609088 -106.69765885283009 -38.32808762848331
-19.689731121253043 2.8684951935113023 -9.197625347056894,-13.55848091563541 7.708595543171879 -4.967790780469242,-13.61633171347177 5.718520314826728 -4.03167450529824,27.339898108247347 -3.488394044404083 11.773720801750807,18.347415026747452 -0.4651457960955339 7.3860543169950015,-3.132509487459223 48.84226685972757 -42.88781884654097,28.328481217396117 110.86823581858428 40.29260188435742,16.93607555297129 10.92294834899402 7.261502512128106,1.871259171685479 -41.02721486524946 39.79002878918874,28.689244651595253 -108.878703848666 -39.33997875117184
-20.170395218785966 2.5143602308811412 -10.240049916331975,-13.522082658579372 6.546736967844272 -5.44739218716569,-12.125883034195562 5.682472987037995 -3.0305110508168895,25.559035579457642 -2.1399210730416613 13.184278174006574,18.132833530862197 0.06805975373322332 7.786378225296246,-1.4961723865530756 49.50585296811606 -42.67442647047071,27.814370621513913 113.92229730310929 41.751735061103496,16.75295248605127 11.196437250734817 6.633201543918673,2.482770737414259 -39.85864444133283 39.821557721813754,28.31109377636846 -111.3223217887901 -40.476074172366125
