-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-24.9 -18.4 -5.1,-21.2 -7.2 -8.1,-20.9 2.5 6.1,42.1 6.4 9.3,0.4 0.7 -1.0,-11.3 14.8 -47.4,28.2 68.3 19.4,1.1 11.2 -6.0,5.0 -17.8 38.6,28.4 -69.3 -19.8
-20.9 -15.1 -6.4,-15.8 -5.8 -8.5,-17.7 3.8 7.1,36.3 6.6 12.8,0.5 0.2 1.3,-9.2 18.9 -46.5,29.6 79.6 24.8,0.8 10.6 -3.8,-2.3 -20.5 35.5,29.2 -75.1 -22.7
-19.6 -15.2 -7.1,-15.9 -7.5 -9.2,-15.5 4.1 6.9,30.6 6.8 17.3,2.5 0.3 1.5,-9.2 32.3 -43.0,29.4 77.6 23.8,2.7 10.7 -3.5,-8.5 -28.2 34.2,29.8 -82.0 -26.0
-23.2 -13.5 -6.7,-18.9 -4.7 -9.3,-18.8 2.9 11.0,37.9 9.5 16.7,2.1 0.2 1.4,-8.7 21.6 -43.5,29.7 81.3 25.7,2.4 10.5 -3.9,3.4 -19.6 39.6,29.6 -79.0 -24.6
-27.2 -19.0 -3.8,-22.0 -11.7 -5.2,-20.3 2.5 7.5,39.5 7.2 14.1,1.3 0.4 -1.5,-9.2 19.8 -41.4,29.4 77.3 23.7,1.9 11.2 -5.2,-2.1 -23.2 36.2,29.6 -79.3 -24.7
-26.7 -17.0 -1.3,-24.8 -9.2 -5.0,-20.4 1.4 5.8,39.5 5.6 10.7,2.1 -1.5 -4.1,-12.8 22.6 -42.6,29.5 78.2 24.1,2.9 10.2 -4.0,-9.2 -23.3 37.2,29.3 -75.9 -23.0
-29.2 -17.4 -2.4,-26.9 -8.1 -7.0,-26.4 1.3 8.7,51.2 6.7 11.0,3.4 -0.6 -3.0,-13.4 25.7 -44.0,29.1 74.4 22.3,4.2 10.5 -4.9,0.2 -18.7 38.8,29.4 -76.9 -23.5
-33.6 -16.0 -0.3,-27.7 -12.6 -3.6,-28.6 2.0 9.9,49.1 4.1 7.3,6.3 -1.6 -2.6,-13.7 30.6 -44.5,26.6 60.1 15.6,6.9 9.7 -3.4,-1.9 -20.9 32.5,28.4 -69.5 -19.9
-30.7 -17.8 1.6,-27.0 -10.7 -4.2,-28.3 2.4 8.0,49.4 2.7 4.6,6.1 -2.2 -3.8,-10.2 19.1 -40.8,27.1 62.1 16.5,6.8 9.4 -3.4,-0.7 -15.0 26.8,28.4 -69.3 -19.8
-30.3 -19.5 2.7,-27.2 -11.1 -2.9,-29.4 1.8 8.7,52.0 2.8 1.6,6.1 -2.3 -4.5,-11.1 12.3 -41.0,26.6 60.0 15.6,7.0 9.0 -5.1,6.6 -11.4 29.0,27.1 -62.4 -16.6
-27.9 -18.4 3.1,-26.2 -11.4 -1.6,-31.3 0.7 6.1,52.9 1.5 1.4,6.2 -3.4 -6.5,-11.2 9.7 -39.8,25.3 54.8 13.3,7.4 8.5 -4.7,-4.2 -14.6 28.5,26.8 -61.1 -16.0
-27.7 -15.8 2.8,-24.7 -8.5 -2.5,-27.5 1.4 9.6,46.5 2.9 3.2,9.0 -3.6 -4.1,-10.2 21.2 -38.2,26.1 57.9 14.6,9.8 7.8 -4.4,1.9 -23.0 21.0,28.9 -72.8 -21.5
-24.8 -7.5 -1.6,-18.7 -1.1 -3.6,-23.1 3.2 3.3,35.3 -0.2 6.8,11.7 -3.4 0.1,-9.0 21.8 -33.3,27.3 63.3 17.0,11.7 8.0 -0.0,-6.8 -30.9 12.6,29.6 -79.6 -24.8
-24.2 -7.8 -4.0,-18.8 -1.9 -4.2,-25.7 3.3 -1.4,39.5 -2.2 11.2,12.1 -2.0 1.7,-19.4 40.4 -28.6,28.8 72.2 21.2,12.0 8.9 -0.3,-16.0 -34.3 16.2,30.0 -86.3 -28.2
-24.9 -4.8 -4.6,-18.5 1.7 -5.2,-26.1 4.1 -4.4,39.5 -4.4 11.3,13.8 -2.1 3.0,-22.8 46.7 -29.9,28.9 73.1 21.7,13.3 9.0 1.8,-19.9 -36.5 13.5,30.0 -85.8 -27.9
-21.4 -5.9 -5.1,-16.3 1.1 -6.6,-21.6 5.5 -3.1,33.7 -4.4 12.8,11.0 -1.6 4.6,-16.0 39.4 -29.6,28.8 72.1 21.2,10.3 9.2 2.3,-18.3 -36.4 19.5,29.3 -76.3 -23.2
-20.8 -7.6 -4.9,-16.4 0.1 -6.5,-21.2 5.1 -2.3,33.7 -3.3 11.5,10.4 -1.6 3.3,-14.8 37.0 -30.5,28.8 72.1 21.2,9.9 9.3 1.3,-13.5 -34.0 18.7,29.5 -78.2 -24.2
