-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-25.38278341906635 -19.17396368877577 1.8285396619771987,-18.028264668633476 -12.897670448880387 0.5274646709058037,-17.08823324675106 0.1980527917957674 6.612469937447564,32.10223578080759 6.116971828950798 8.305016127127379,3.3086110565276554 -2.3160857193492563 -5.215834493147422,-11.717676115407574 17.443120305333025 -37.74004788943041,29.37490399531892 76.6507017022676 23.378617240815046,4.491306857345909 8.920256988107324 -6.6233455879722465,-4.8103088272500525 -21.886224412945467 35.74753869054602,29.31360497712135 -75.77367877173091 -22.967468251803147
-25.56749792184705 -19.20694222892627 1.3074898427829431,-19.5252543271992 -12.387826768063343 -0.5908638495832499,-18.772059525494207 0.6414322459329469 7.604550050402579,36.012750439927416 6.236601986370073 8.056073588001892,2.2125598828060236 -1.9751250222267116 -4.752034811815948,-13.51265246278472 17.081569624899405 -39.33091842910885,29.556161988623508 78.59621463807933 24.30699126407609,3.338140050608398 9.295089287213713 -6.191608304232146,-5.086799808607994 -20.065153021666564 36.66577271437304,29.50497952835372 -77.68556669677332 -23.903453569046043
-25.274438821655544 -18.92134590286403 0.9289971761659859,-20.95964668145261 -11.826937267289722 -1.7559665672789753,-19.36722743575774 0.866249379194461 8.470509284082606,37.95825557332037 6.669289214070743 8.615487110423482,1.838641566013298 -1.9043338779698604 -4.560026383563345,-14.526280324304977 19.608672374927007 -40.407470096453984,29.62218895872736 79.54014593428037 24.769416526692716,2.9228619558902498 9.434579303041758 -5.866353603390213,-7.39735932666823 -20.701827894743303 36.13716546819802,29.681151795203753 -80.16877551557234 -25.12465028566376
-24.593393764871777 -18.493524821379193 0.6702411246972085,-22.07232437796857 -11.410353199071443 -2.717229202257057,-18.6906121246377 0.8188686473064336 8.894139798089862,37.51667787093555 7.351511009346264 9.968596648978954,2.221333589920307 -2.0537882623106096 -4.725954975023458,-14.456825723396522 24.137470710028126 -40.578324827095344,29.628006501612955 79.71877098152154 24.87391762377654,3.2967623639974435 9.386711027613163 -5.712522182887351,-11.054914817696263 -23.574467259582214 34.389780483481545,29.812207116111534 -82.71187644864688 -26.378031917720474
-24.21252996753144 -18.32515038841416 0.5703846020942317,-22.916604945372196 -11.452801867037895 -3.259480192549549,-18.12352472421096 0.707703925083394 8.885751640694496,36.71049600495457 7.733175977554518 11.208286021369615,2.8036933723252306 -2.2026001613135566 -5.040736511144225,-14.062053775030986 28.271710786123574 -40.036751058284764,29.608863414225105 79.56572026288325 24.82145268442468,3.891775328068805 9.34513107998267 -5.6407149249679875,-14.105593870185125 -26.409835507312113 32.46175872633625,29.8867940006635 -84.39036632698325 -27.202130931785724
-24.82628917734132 -18.81133388860798 0.6659363848215204,-23.560550185277513 -12.260707977263985 -3.1797102172372975,-19.080144314934348 0.7488371251797504 8.474664673600449,37.62221495451017 7.259921834563541 11.412397635631116,3.014750975087009 -2.127641666210012 -5.283872237388118,-14.126990139084409 29.61162722965403 -39.00919107913474,29.59831589217802 79.51306217099835 24.812231642794146,4.124171883168987 9.505028303209526 -5.55482488751726,-14.596705281691635 -26.90368080554706 31.40389575242005,29.89522965194559 -84.29884604150875 -27.144978138868343
-26.451807403328704 -19.808889400869568 0.8183573757070909,-24.082634302383255 -13.70206977341198 -2.6090866869249814,-21.726500807357915 1.0179297009358608 7.815393006281517,40.65916469736105 5.954520436868323 10.488529819626725,2.7045333951464494 -1.7851029140858186 -5.30494797107604,-14.750122588212372 27.856760518798254 -37.91882068456685,29.60515093445093 79.65419535607695 24.886586088438936,3.820215123636973 9.897186636695535 -5.371877325327472,-12.468633022412664 -24.772055665505892 31.482127509103545,29.853613345023525 -82.74343931789215 -26.361450231189615
-28.305473508709202 -20.53822719638694 0.6821574993278794,-24.57364160238831 -15.126554236943846 -2.0738586550896945,-24.75299526633689 1.424630512577906 7.210462097959121,44.248193540313935 4.522062554662353 9.325262822054698,2.220792770264138 -1.34317344674249 -5.036407266701628,-15.218277008438356 25.188563026121958 -37.42140456439284,29.60887206820697 79.68212494716052 24.895830862926385,3.2908827306237014 10.358021731131695 -5.024423080220736,-9.899855994759916 -22.119524675636622 32.03448684873225,29.80852530229884 -81.46259711100394 -25.723869626849257
-29.569765615424583 -20.200780988892177 -0.08916308583777988,-25.12249023406755 -15.866690083829132 -2.111699683218734,-26.785520494685827 1.8694459576803566 6.9665698479938065,46.72649592888214 3.6951966198209876 8.850427723475933,1.9351231557691524 -0.980506184452179 -4.4195651572582095,-14.787577872042842 23.89584006562703 -38.17074720201774,29.587417320614946 79.27117818790776 24.68258172604028,2.871539059646655 10.71450678129005 -4.449379460550429,-9.158032902492447 -21.149775605441494 32.3527275559082,29.80751543758937 -82.24214235316705 -26.128161823438955
-29.95312688124926 -18.756158992515573 -1.3753993255073353,-25.708172374109605 -15.80074938739332 -2.7744118254966494,-27.33318670745821 2.27183646396489 7.203800884808917,47.485465132503194 3.701330544771882 9.24970938948011,2.0100848068584836 -0.7998667708226679 -3.5700569469512415,-13.40389778671021 24.733008811146153 -40.164107760652406,29.524080038643465 78.28523838899135 24.183986915806845,2.7438004038278705 10.869620417493714 -3.7316759575642195,-10.801829435406821 -22.411128998812874 32.040205376946965,29.864413820921527 -85.3603790627943 -27.709798090736786
-29.875513180285548 -17.18960945727874 -2.4249991261191495,-26.160975016033884 -15.545272569913191 -3.456521970658819,-27.09989916743428 2.5769030104382002 7.789793939740357,47.342588966181985 4.08439514764852 9.704835324706472,2.325462134701961 -0.8013623861121314 -2.839334165840118,-11.946183872628264 26.378803455446423 -42.510586852389466,29.409398115719373 76.84461570117587 23.465075909104968,2.8812964144929785 10.829159575885315 -3.1564693459337323,-13.078027072925977 -24.21256485232038 31.121803618148945,29.9474351372377 -89.05627631343071 -29.57552570279306
-29.80359385410955 -16.547602758094115 -2.4532776987643383,-26.3028908373209 -15.760579646041313 -3.5145566616277817,-26.86763586932918 2.7322572775716742 8.572684154990833,47.209205237515064 4.344656432563349 9.338893488507045,2.7411478910100713 -0.9765299116784515 -2.590868776587235,-11.34778128653379 27.375910512267282 -44.26460428889448,29.235097560180183 75.09145170599196 22.60165209827859,3.2418096550252686 10.607546296497196 -3.0191239600637454,-14.08894191566269 -24.724026752895764 29.65805092747422,30.021686855944445 -91.4399433154301 -30.767216975928218
-29.976530107280958 -17.181759596738367 -1.3764809566368974,-26.09158548531553 -16.589498367655267 -2.8243414045476696,-27.014134278342727 2.7269505194416706 9.305552555677405,47.553947657881345 4.2734046826661505 8.032430279024505,3.127871032637196 -1.2399083134537061 -2.9050228518916654,-11.831974632488802 26.944441512503698 -44.98237856220029,29.03333691936548 73.38565785593411 21.771310568089664,3.718107704238688 10.298808068773509 -3.3746943540360412,-13.115228661376506 -23.31057325359778 28.05292033396184,30.060118383253677 -91.57537780187332 -30.81555844279824
-30.280845531983985 -18.366683681627762 -0.1972974011902422,-25.695017710652465 -17.372743479331454 -2.066615098556059,-27.29055903892597 2.614265329212239 9.594146285434377,48.15925858952244 4.113017813614548 6.840052674527007,3.373156634410738 -1.386689788459975 -3.4233381350093604,-12.52145465790948 25.354516763641602 -44.997916118909025,28.898945176068047 72.42468890349093 21.309423526548088,4.1021849148647 10.120360828746717 -3.905754922431777,-11.263966833404366 -21.18969110498195 27.24272365732328,30.04783412742561 -90.00510471606788 -30.008898671379054
-30.572632169850348 -19.28793098354996 -0.0043859251148051165,-25.297853046054364 -17.38643322007135 -1.9864855020719356,-27.39404373813639 2.452977284972975 9.036234178186493,48.7464979506075 4.143438894518483 6.909427714011375,3.3673905519626577 -1.2037949501364726 -3.75137475509446,-12.450978832853632 22.97007132089583 -44.71025449725241,28.931249636933973 72.92780500314998 21.561450904678175,4.179360709256797 10.297975393370667 -4.264778383177494,-9.79148885933259 -19.731079057596435 28.199605848472554,29.971295051854952 -87.39959941389294 -28.701003026375666
-30.699248476350014 -19.45464892021298 -1.213213470959681,-24.960410223061672 -16.302530409993814 -2.891087350993523,-27.009824484996383 2.2989584906208833 7.651784423765472,48.85223087771906 4.533289498481276 8.674806216838427,3.128273175355136 -0.6575060197392149 -3.6535149622021845,-11.261458891676986 20.468968290158003 -44.349805945434234,29.149312745432095 74.96413333616796 22.559545843042418,3.9142198274720883 10.854289968006963 -4.278637790293711,-9.247498498070957 -19.662747522107082 31.00021411962021,29.844922206379895 -84.4981465641128 -27.267357291819362
-30.492512106449304 -18.951793062830458 -3.041349393266824,-24.52174161199157 -14.497375378257486 -4.308213282461533,-25.80196666561853 2.202914522539645 6.212039183702972,47.684193229115074 5.253102449131947 11.300965164234539,2.900052127843198 -0.033266547384009915 -3.1767537671458785,-9.672415323653233 19.087683598870207 -43.846925902959136,29.429371282927796 77.44593531861575 23.77835414938147,3.590336996963407 11.45048260475657 -4.084539293600379,-8.92430363853015 -20.570867773349384 34.12772062577589,29.732889642347537 -82.16247215393061 -26.12209720576417
-29.783677107386293 -17.924045571761962 -4.585370590100053,-23.79928882415398 -12.41949369568086 -5.686586592395255,-23.435484418777786 2.214600390322049 5.562757589289195,44.422353219427926 6.252752958106029 13.824113082076135,2.9489830327937487 0.3516259167300159 -2.397639926981973,-8.511801662271013 20.113077329105266 -43.101723816407535,29.633416733503484 79.17112256482346 24.637407898381106,3.5227565401760055 11.711822292708513 -3.851440747620267,-7.9885920020958485 -21.924886671129016 35.90711459786764,29.704208052936075 -81.26325967400395 -25.681580983592912
-28.557370345161615 -16.570837367686305 -5.309664849691296,-22.787442429651254 -10.454788709858907 -6.662135123345901,-20.03786551560293 2.3220329328529044 6.117449345422163,39.15195546176796 7.446952876313548 15.6190657330772,3.3426414964073414 0.33437881393095287 -1.4549392026477332,-8.200946375356308 23.768657332363716 -42.1154427966501,29.693979946905138 79.66182352987593 24.904183291030158,3.8178485283300914 11.463164958106303 -3.7131017513121733,-6.197235902338852 -23.338937592988444 35.56097534945047,29.784753123325004 -82.12999268199478 -26.10196186762876
-27.112309912163518 -15.203719011584955 -5.431857558066681,-21.84296565316389 -8.860920113154178 -7.254161725974797,-16.68369455656906 2.386795779344995 7.404423288056747,33.8121543852859 8.678403230430533 16.754070500626995,3.7417275731799906 0.06860938138513198 -0.6148311641814166,-8.32845302821073 28.100299146433887 -41.09643694659812,29.68804889408599 79.92328576074449 25.058709105929672,4.154640352165665 10.938099354610864 -3.7311996184816842,-4.515742949814899 -24.723456521875494 34.150051252458326,29.912064628381508 -83.98383481260201 -27.006520980089885
-25.785371579647933 -14.147809898198581 -5.261346328367028,-21.366172556425862 -7.879589759772352 -7.528737774086173,-14.561653157606203 2.2553387667872653 8.844051435370769,30.565589517882895 9.780961047196248 17.381985843185284,3.7578433835785043 -0.2535356930005486 -0.15874405863361796,-8.382106919224762 30.89060825831706 -40.27810301777386,29.71013954242252 81.13973373926753 25.667006042982365,4.160533842803184 10.419948867907134 -3.958391791598542,-4.055535530756559 -26.024809430224536 32.95843725991486,30.012969255064963 -85.91105896198204 -27.953675783215335
-24.829245352956306 -13.683593167623025 -4.979618649193749,-21.52809494926369 -7.681107223333095 -7.503410038440655,-14.337435486438093 1.8712489578316696 9.98280232764552,30.59147889430495 10.581011064943977 17.573008641091842,3.2044591979474735 -0.4995093993448002 -0.2695186171150926,-8.169727960692363 30.864461725945436 -39.80519110196572,29.81002885270998 83.76179267512666 26.943734059359343,3.658770079191513 10.104678059677191 -4.393106451473456,-5.347399911208244 -27.091305167280904 32.78728661770731,30.043142397429886 -87.2263396261296 -28.609089591183768
-24.29762354085344 -13.986041108307923 -4.465808994055183,-21.957788934567574 -8.267025527751455 -7.08102318870046,-15.44050181303851 1.4077256773553064 10.66521054010688,32.744436030042564 10.88727508142801 17.20194094204965,2.3722197400737035 -0.6776460099518461 -0.8969551229824375,-8.255631540119566 28.974071241889348 -39.612908966263646,29.931740049823127 86.5060111941098 28.273009163245753,2.9355135192357054 9.981753343568624 -4.90558504758585,-7.549618951068592 -27.539465873033578 33.29617850326898,30.0264518119663 -87.78424532906816 -28.891932677118067
-24.215364215428373 -15.214497134620949 -3.555622346813955,-22.206304107582422 -9.614215474532989 -6.148132903783395,-17.121932481661258 1.071036216273424 10.779016661182792,35.543823554706776 10.506173757093395 16.115648863613405,1.6205389407703596 -0.8166108828503934 -1.9570380565702707,-9.312728902250392 26.492949478984002 -39.606279816942326,30.004052247109595 87.83933183717755 28.919396614568033,2.3436154458845446 10.010797568252862 -5.347608205036043,-9.622562897099407 -26.952785172831376 33.98002165766011,29.99658991646965 -87.51739624291187 -28.758035626478478
