-16.5 -9.4 -5.5,-8.2 -6.1 1.1,-10.9 1.6 1.6,22.8 4.1 12.4,14.2 -1.7 0.9,-1.3 35.2 -43.0,25.5 124.6 46.5,14.5 8.5 -3.8,4.2 -37.4 35.7,25.1 -125.9 -47.1
-20.331844674660225 -5.077064224110873 -5.60029811804373,-12.391638285080191 -0.520554998129385 -0.6444127255787041,-12.683455783579515 3.3557021423335165 0.22124655861154413,25.721817371560103 0.5722643676007192 7.905787111349075,15.614803019341975 -1.7602503919661077 3.112586737192507,2.2463571217746456 22.329112155889355 -45.89496975588472,25.97401205537482 122.3613966282201 45.52948683246108,15.265853152511589 8.995303873981964 0.34987793159723884,6.785303198940917 -38.39221489001955 34.27858359976487,26.027438143179214 -122.22269746058416 -45.532739833182234
-19.641182491539077 -5.553229189390081 -5.952505171253847,-11.947481190212054 -1.4153232649170402 -1.0085519026497098,-11.725630738529013 3.2124124822447158 -0.4441534155673793,23.680749839063242 0.43370005019709745 9.576974294751723,14.56990062312007 -1.5690837384134242 3.031641034357535,1.8103429211511914 25.1378054931904 -44.23563577976897,25.957632887506236 122.40192777021822 45.579871693708334,14.30841348931369 9.083587637830725 -0.04917393688131466,6.341349827984939 -36.397577740809155 35.50718210786045,26.519465608032213 -120.1202627573302 -44.566760013910155
-18.687644817663337 -5.671618990179165 -6.553345383642767,-11.437128255538344 -2.068003321564768 -1.5307592373099745,-10.130824503694804 3.0608631988160147 -1.057566865010209,20.506603389974273 0.4409225283374057 11.7958569243665,13.609929625675738 -1.3221871766799471 3.0950822129702886,0.9868383049260745 30.447501864212477 -42.405117251864446,25.978079792951192 122.35400054784178 45.60388275303182,13.400983467551285 9.228057073758396 -0.30868624529075783,5.49088417382174 -34.97869641487656 36.968645949488284,27.073239181647672 -117.8174364548817 -43.51494559918353
-17.389952212614112 -5.483421430150901 -7.135081516551068,-10.81091624917127 -2.1437681259065795 -1.9626865991214706,-8.298251995378859 2.9748197864769432 -1.408859896874687,17.21385610023779 0.5683683473730299 13.545601779356897,13.237520547521347 -1.1286532193035015 3.3157041106596172,0.16560216342832937 35.52072998575183 -41.19211790125133,26.019179971297863 122.2520987539188 45.587817373559034,13.032550528745274 9.339106994309155 -0.4442406994331967,4.416973275549089 -35.33537092129824 37.895864808361715,27.395214744820414 -116.53596711765039 -42.93929851025652
-15.9307970687457 -5.028766002785063 -7.5154208398595514,-10.129321870514442 -1.571636782815597 -2.176307315813272,-6.686765578530311 2.9896471274069563 -1.40814174898984,14.70836479083982 0.7629216221153046 14.293444295879338,13.567698318267658 -1.052168309546804 3.655015770069038,-0.4055083046394349 38.78748902203634 -40.91254781501413,26.04471924801877 122.21009986354154 45.57065867215985,13.316463135579093 9.373695864975423 -0.4204095678303275,3.372167890907208 -37.37876522946142 38.07293655218935,27.375473558749313 -116.71220775083776 -43.035991689213496
-14.804953427210949 -4.334708474559206 -7.613087701013239,-9.583035148912304 -0.59256145355232 -2.185845191826882,-5.825724206276316 3.0953108418264703 -1.1076795329334608,13.767568413382577 0.9388925072639382 14.078911821007429,14.25723976347091 -1.1027374019471656 4.013894600500073,-0.6463996859180791 40.058024273142635 -41.32335509635685,25.994789461949775 122.43574481823705 45.653677687575986,13.921969216838196 9.34383219743642 -0.14145902829896662,2.6911661539331737 -39.4965487156276 37.93562690689529,27.12118865111356 -117.85397463471398 -43.568695451634404
-14.514971922337597 -3.431021159712676 -7.356978754483004,-9.366979487108178 0.5341038082438754 -2.015466252494874,-6.234519839203744 3.2792442375680113 -0.5689132845893383,15.13896131717242 1.0108932274394815 12.98012480873317,14.939491625831689 -1.2854894907522645 4.291441603107298,-0.4903382503610269 39.24339725146364 -42.150237163115435,25.81016547666391 123.13498945499208 45.93851820504343,14.495807355232296 9.265447852341934 0.4876866558888623,2.705814963411074 -40.01661116372132 37.95214098165767,26.75203605758973 -119.41650364023913 -44.27684635117374
-15.126378159687345 -2.495557638122966 -6.861067591373863,-9.53590562972667 1.5324311906633652 -1.7630296430536372,-7.833715183326985 3.532693239717449 0.10561084868460577,18.609049614036756 0.9866597718087255 11.311718074399408,15.377158813288547 -1.529796957012775 4.460335789855631,-0.027212331642308057 37.155157970457424 -43.16274010960146,25.519122099068376 124.206432521758 46.38929151094535,14.818499869890752 9.186225579699551 1.3854813530803234,3.4239872267458704 -38.46967247492797 38.36918010583575,26.386263079291997 -120.89940337987852 -44.931539142851506
-16.113500908270886 -1.9064922265483006 -6.4896953841753175,-9.954942156536642 2.1040723044515457 -1.6260847701548402,-9.733791284264349 3.852061389311195 0.7577393710565182,22.664337885994907 0.9999036947432719 9.708277312648255,15.507938815524442 -1.6625504767924852 4.5927907173414555,0.4412152156306548 35.82301540048064 -44.189727453873125,25.268301932632465 125.13288756708357 46.78405827009206,14.851548466813648 9.1967999609005 2.2314491610616383,4.415291710341412 -36.01361189698237 39.133800679337455,26.140184259945325 -121.86230883227805 -45.34669502700813
-16.913932127573712 -2.0482476556792 -6.6200355147753065,-10.476113730537778 1.9560320339147579 -1.8068448089191664,-10.996584541427396 4.233644289152824 1.2268368275752983,25.71191895530093 1.1908504456181903 8.820835792715151,15.284859546368576 -1.5060228338590125 4.7679666564626295,0.6018792483834969 37.33253969144392 -45.06408467996598,25.211080437811727 125.3734341210572 46.890111026951246,14.571771518221782 9.389303318986086 2.6928719134311017,5.222162894906133 -33.91177690741016 40.16998438477065,26.128129377668394 -121.87629735700474 -45.3423655457169
-17.278948844671483 -2.82699011172361 -7.332884196522254,-10.972806418445145 1.2120003968317563 -2.3627705273335136,-11.215371617919365 4.645295081154857 1.4401806258284457,26.930856475275725 1.5540321584764059 8.924617872207675,14.83548501431444 -1.0418804830264325 5.05791141510777,0.3659459947259128 41.93286097266137 -45.60738369616956,25.400678789205333 124.73393014387348 46.6210403951439,14.104200351046465 9.762801620588036 2.7200919534752046,5.623134948975163 -32.82557478726315 41.29341068369873,26.35357384317389 -120.94333826509919 -44.924025905945605
-17.44603994140456 -3.407588136941507 -8.24965303152837,-11.351516462732645 0.6415293678635179 -3.1269564623274224,-10.807161585565543 5.010781092848659 1.4613131103382662,26.6967688873937 1.858156328596024 9.712344095710288,14.557910174585167 -0.49885006923082337 5.5236484835011534,-0.007859691897131933 47.02662734152271 -45.623660368367105,25.73507901833504 123.55774016239155 46.117198995478724,13.803596372020287 10.17210797990322 2.7021954144971105,5.762696557214977 -32.48340551305887 42.1518905950662,26.648168797695202 -119.7332833923856 -44.38455799524862
-17.692603801209916 -2.8991377500994853 -8.954518415919626,-11.522021487591497 1.0624519743227985 -3.9133858596627085,-10.258190627475834 5.250479967525025 1.3652501159756179,25.489210268121074 1.8546056387733594 10.826823464224766,14.869916297962773 -0.12543858469954566 6.22359629050345,-0.23291592285743187 49.79032053305975 -44.91912687355572,26.09945991114046 122.2323847468294 45.537599865180376,14.041366899625261 10.460564440364365 3.062371125889304,5.815804785601596 -32.53514854070592 42.381899566645494,26.829957927703465 -118.96881382117445 -44.039551004176545
-18.123837174578405 -1.1296016171527932 -9.236818797922089,-11.433049524121227 2.6382976517556593 -4.553038455232539,-9.907991523620561 5.320972811113492 1.204688518931612,23.87820569025031 1.4836694851948125 11.928516181805762,15.866926988423183 -0.03778631412868304 7.067209197352643,-0.20247275627468173 49.08112892326359 -43.63131069626515,26.42851241754346 120.95826545272924 44.96518914825432,14.90876272251359 10.55583263307265 3.8966361035145645,5.866461405511593 -32.78696995473525 41.89907237391339,26.822465921692018 -118.95693536043514 -44.02334007172765
-18.538516153355616 0.7938851064545942 -9.250964025248553,-11.102638104935146 4.368308749035243 -4.9071380401786255,-9.835048696608567 5.243262237500365 0.9926101828163434,22.5947669826708 1.021783434958108 12.709291523216574,17.070753121118855 -0.1164963233707535 7.6988705149459244,-0.12984969125673243 46.74693979789426 -42.487291539645526,26.745030890661596 119.6028187484795 44.34755731801609,15.998515846875627 10.535614947442852 4.718828199909576,5.836819657610076 -33.323136870780715 41.11578812396947,26.73691347057451 -119.26498899215183 -44.14773153790702
-18.704777091873396 1.636685251215507 -9.188491802849653,-10.55654606973285 5.135614368199901 -4.840974814853961,-10.090101666737715 5.045088719505089 0.7376578532858303,22.382233599177315 0.7786161103460181 12.866250817359527,17.945471204076192 -0.21828886838341197 7.737275025279226,-0.26038022326665206 44.93679758539431 -42.271064576653195,27.080628447405843 118.00067488933874 43.61899702681162,16.853044497108804 10.492838365173085 4.984853000001474,5.632480803555308 -34.25575860451439 40.493841250711704,26.703469783983227 -119.38558483417658 -44.191950141770825
-18.530626627168544 0.8079550939345309 -9.166389521271332,-9.905711336744695 4.40008799112206 -4.359975376890107,-10.600512482317615 4.768536060714283 0.41225986519081115,23.353642711036752 0.8544163584789899 12.39106367245576,18.16124064991083 -0.2585268146491871 7.042722375810838,-0.6946982435754673 44.746248931020055 -43.19689781216809,27.428045151080624 116.21049578999765 42.81055010821935,17.17353886710719 10.484681016991184 4.457898431768901,5.178516773913756 -35.575054062650885 40.23056636738424,26.793265009137578 -119.03523193443702 -44.03352840489811
-18.21051086439502 -0.9647285579848135 -9.1489734532704,-9.435509520881245 2.802714270713593 -3.756550766389575,-11.04097924639005 4.4850616811577435 -0.0853187096688155,24.331239427980055 0.9205635922370513 11.87864421457918,17.810256749317766 -0.27266685713648414 5.970293291288742,-1.2371082383798693 45.11338902684755 -44.31231858364768,27.700413184146633 114.74973638485127 42.151390432709874,16.986337263823813 10.495111187618365 3.5304339918218677,4.439873359074673 -37.021623553621104 39.98171249162446,26.956523570406855 -118.38896054495487 -43.75132273549387
-17.973535251685732 -2.793410544303307 -9.081943159442579,-9.45192589432478 1.1282446543824713 -3.3576588239828924,-11.05595274559086 4.269575579131713 -0.8654089438495098,23.981983986868038 0.5968101311770508 11.996245938947848,17.03650007321048 -0.31078756825118586 4.93515743248132,-1.6559821680282825 44.71442254249033 -44.52423287289553,27.801328156303086 114.19082923232779 41.894425688113024,16.357815456875734 10.49914335844608 2.671282911883216,3.3868390456781152 -38.30589588535545 39.337513569816494,27.128708586227095 -117.67782944686923 -43.448778983728005
-17.933131948176218 -4.085107979311018 -8.932526428079557,-10.051338838446101 -0.07726526354767001 -3.3244278645914194,-10.482892586904915 4.1566872674057445 -1.9027330605977617,21.746381143353958 -0.24937926928167187 12.98465841766783,16.01459443123056 -0.39977689826906665 4.214265736893533,-1.8179575779591435 42.86244851907392 -43.36597544855207,27.69340022408086 114.77080287454199 42.14532787844393,15.417308594586581 10.474674212101336 2.153981439431821,2.1185072942578795 -39.248195327346025 38.111697717294305,27.257277892884165 -117.10082561253412 -43.21214883589461
-17.929305440094748 -4.944091278347856 -8.718839314347338,-10.834659502062205 -0.8319873971708829 -3.425999585422137,-9.615491212538219 4.08574426637321 -2.8514620788685736,18.893434518273473 -1.1649990130022587 14.076598926413181,14.991597896179277 -0.5117049748097805 3.7578487368122446,-1.8219514835812325 40.376052246102624 -41.85162885527073,27.478737697367873 115.9338602976032 42.661734377222366,14.442974743316164 10.406413357371694 1.7904478796044612,1.0384398187874482 -39.92861623583826 36.64628692824668,27.31804235282301 -116.78112490771149 -43.08704053971279
-17.76276520333011 -5.575186066839932 -8.46634556134334,-11.331537175877799 -1.2355738488083654 -3.375051149334677,-8.81319581838178 3.9823780090900267 -3.3197332147315857,16.955380551303403 -1.612816967028939 14.35981248088458,14.224907578623796 -0.6107537227109173 3.4689797352279514,-1.8003652459569575 38.2908970902576 -41.2083917292397,27.279537997175076 117.01001470087917 43.15115026188174,13.734313862086546 10.280073629152465 1.3261332925268936,0.5938796813159126 -40.46464364554439 35.35947988116668,27.290929438746844 -116.83085909532124 -43.11315924425828
