-0.9 -11.7 -2.4,-0.7 -10.9 5.0,-13.0 3.5 7.1,25.5 3.4 3.8,2.6 -2.0 7.0,67.7 -41.0 -47.2,30.0 89.0 29.5,2.7 5.5 -9.4,50.8 46.8 49.5,25.7 -123.6 -46.1
-0.9083724653471605 -11.797075110133244 -2.289753264643953,-0.5296042142002874 -11.04958715406338 5.270664221915371,-13.229435623933183 3.7174585642314883 6.9687599273453875,26.043205175180223 3.0339856148238797 3.300613719323799,2.8375091414998956 -2.0256910668955 7.123197506019557,68.57053362498067 -39.752170384026925 -46.401144054319055,29.984064244411464 86.90044029931195 28.49874104210908,2.9219485970248384 5.472647872934896 -9.278001946870559,50.64094982177443 46.51770249334857 49.764876760652925,25.687835821393396 -123.65131336635979 -46.11181665761981
-0.9046869993680382 -11.713991759544097 -2.2661803263979583,-0.5507216349651669 -11.034342464722954 5.313411940584621,-13.197934312039303 3.7651382182451933 6.8740177585571525,26.006120096868514 2.9309335775017447 3.2462787435562346,2.9135607705414737 -2.0233854593646066 7.217141274755191,69.35338267951211 -39.09726391598756 -45.90292155514058,29.98686701549488 86.06803907003533 28.095488135954938,3.000737005245447 5.4389213246145625 -9.256495823308326,50.88023051841661 46.0619430537912 49.42990890063885,25.724086630081178 -123.50584288126866 -46.03930266860142
-0.9000579674455053 -11.512396578528179 -2.297499956893483,-0.690934069539637 -10.908440836331534 5.207935708172379,-13.011758325088813 3.7048616853270473 6.803216889361742,25.624511148890406 2.9940664866226316 3.4828660478900577,2.9016293005868548 -2.001495432328878 7.296092503132815,70.06511277238175 -38.80906404759993 -45.61113493590771,29.999273281497658 86.0840292640868 28.092963560819445,3.000919692842577 5.401927885400922 -9.296964061371908,51.370780903180304 45.52775662134215 48.740395557781156,25.795622367479936 -123.21763168141847 -45.90786085159703
-0.9055997349624334 -11.253936197381107 -2.351930927761996,-0.8778233251686955 -10.726057173241925 5.033928076843274,-12.777169923852172 3.598451688762982 6.743800715485611,25.134144715071443 3.1266069407755794 3.8562466075180173,2.875189145098159 -1.9684332407098708 7.374312388078341,70.72228951237709 -38.661354230582056 -45.43158663006358,30.01214801066724 86.52964383338305 28.293889595984506,2.9870511279969842 5.364775085655901 -9.360889093119908,51.96553978931924 45.010178136015675 47.94163586990321,25.889312975006288 -122.84072290350103 -45.74289402525883
-0.9324266673016954 -11.000257246398503 -2.397692010634966,-1.038971209097341 -10.541366379806938 4.871081598761934,-12.600431369099839 3.5077309518389317 6.683212632655211,24.77078717923714 3.231777538549625 4.212291397632866,2.907714717537508 -1.9326111394291428 7.466062126517681,71.34147850828555 -38.427917916652 -45.270079071051335,30.016356171251047 86.9861157298408 28.50098852073201,3.0236857788894196 5.330570455741424 -9.409753350610929,52.5174459900872 44.604242537826075 47.27892897482842,25.992028394076854 -122.42915968420824 -45.569805008239
-0.9916531298461628 -10.813006355875988 -2.4030019771438598,-1.101959528570572 -10.408543360379378 4.799088826092984,-12.587804921602268 3.494522197840827 6.608896036596986,24.770204925213033 3.212800878533806 4.396871393427352,3.0726804313670213 -1.9024413834082503 7.585602915376745,71.9392453688946 -37.88253855752774 -45.03241469231411,30.002762731496503 87.03467790537668 28.516982614343846,3.1753781137006367 5.302421526019415 -9.40503926590357,52.87943831873792 44.404984766787585 46.99757401038013,26.090638566108225 -122.03698516023191 -45.413996619189746
-1.0863601695513803 -10.742348289213854 -2.3463293050126355,-1.0161817729745146 -10.370593077930613 4.875661357303636,-12.809456189984536 3.6014061945313562 6.514825802632603,25.286804928333 3.0046849490522134 4.2960204517215015,3.408264243831625 -1.8853444999684617 7.73688814433253,72.50746094536996 -36.89889921979924 -44.661949456934536,29.966291071226948 86.37605521396111 28.200678730887482,3.4752890942722856 5.283734014714923 -9.320803645283357,52.93950992892845 44.476913801564656 47.26734190707254,26.171326586502804 -121.71988911834663 -45.30032074268022
-1.1758368959709402 -10.775856839357786 -2.2620165782453867,-0.8499332065466836 -10.40962992098453 5.038686267899572,-13.13877751346 3.7660702563154125 6.430581786536462,26.031480545498173 2.7157090720834183 4.014711889287601,3.760232941729417 -1.8833348230397875 7.867680370608488,72.90337783744 -35.895264604722925 -44.30675445712543,29.92398814314428 85.36235735657581 27.7166169292627,3.7854446182920687 5.27953914816076 -9.199649838285115,52.77674530157924 44.71813279480361 47.846277537690796,26.216531354795276 -121.54253771020024 -45.25062596257691
-1.2045234736162405 -10.879882488855301 -2.2033521407887386,-0.7118262392124445 -10.48712153697067 5.185420602798162,-13.38243946379775 3.890634485535553 6.397816760453815,26.564738789997534 2.512905314139935 3.7321568895298487,3.9091106424318185 -1.8965935575947932 7.906688996156145,72.93860236526977 -35.474555842201575 -44.18431547378675,29.90040254836564 84.56656523489436 27.333005108283757,3.909842203951941 5.295419329047531 -9.107423917052598,52.53502405536709 44.97032010701237 48.35281793927756,26.20742219073091 -121.57264078809858 -45.285742505264984
-1.128853658408358 -11.02086804932652 -2.212733353279325,-0.6906912706453996 -10.567847684974048 5.231338126729,-13.382778471456131 3.892654365851142 6.449090354539819,26.529943093116675 2.533557682709383 3.59959948974655,3.6854661484336932 -1.9243602993872042 7.7979742334169035,72.47124517653465 -36.10110281760202 -44.45664218821752,29.915012449726678 84.46830327659157 27.275112811195232,3.697974604241276 5.333825105446279 -9.099820705727499,52.3388483274616 45.1006815231324 48.4729799854861,26.13173531006624 -121.85532943337125 -45.41768411207634
-0.9819309689289446 -11.165955415471826 -2.2629081346679008,-0.7488193806240039 -10.637846331299002 5.208457317997799,-13.210243509992662 3.788441867790178 6.558829532808714,26.10036811449697 2.7246708492769303 3.5892977539710653,3.239798890804097 -1.959870816015916 7.583727530822513,71.65663713835019 -37.35321504850023 -44.93110616936288,29.95487661208569 84.94986597108829 27.493463055288974,3.2901744053958213 5.377203608682887 -9.167587506089177,52.18863808830287 45.13973644381278 48.325077256662496,26.0191508285055 -122.29152702932382 -45.60216615268624
-0.8270126904154521 -11.282561427254834 -2.299231688192761,-0.7987344787608907 -10.691516170100954 5.194633005202617,-13.024998874327276 3.6331493072455805 6.678598023638378,25.65769948276723 2.9584137417681937 3.6031156158103146,2.8484351348854435 -1.9939996047831676 7.344734774677166,70.76700408178353 -38.46073545370458 -45.2756019026856,29.994303441778797 85.65862145679559 27.83052266535564,2.941159789244579 5.400134743944527 -9.275928141416125,52.036012522051394 45.182234554092055 48.19744308497328,25.9158451508735 -122.72544091990949 -45.77276217836427
-0.7214861303096864 -11.342182894836842 -2.27658982327123,-0.768032388690204 -10.7235348812308 5.252642307254534,-12.963007098807728 3.4812390165806235 6.762568969071407,25.526379276781498 3.118079703446649 3.560045651171012,2.7471760196353032 -2.0178862944991103 7.158743871982371,70.06320074550506 -38.76752670738151 -45.218505008257075,30.01097706585358 86.2705035035461 28.14025997385152,2.866882364066984 5.3820552999019835 -9.390221281088316,51.84779482770539 45.30899154022597 48.332351455688666,25.862643346069436 -123.01476925657451 -45.869625554545365
-0.6780920818167347 -11.346966721827263 -2.221969512598502,-0.6984472604276222 -10.730525987012816 5.331151148263282,-12.976776602074606 3.381290742777037 6.7849325457567495,25.597000319931638 3.171891439550185 3.5090429617362267,2.8650729370565546 -2.0247050478176174 7.0799827954685846,69.71854284711922 -38.48040952946782 -44.94512664256237,30.008174494746406 86.68029908116691 28.365003290883937,2.989962673552662 5.339035930311828 -9.477618589451255,51.705921700053615 45.494974486661576 48.62295039110093,25.859866373861912 -123.11959374630199 -45.882745490210866
