5.7 80.9 0.2,-8.4 40.2 -14.1,37.0 -11.6 12.6,-63.0 87.9 -59.7,-18.7 -2.7 9.0,83.4 124.3 68.9,28.7 109.0 39.4,-18.5 4.3 -12.8,8.4 -44.2 51.6,13.9 -25.4 -3.2
0.3872955053750884 85.1168927764693 2.3971490071806643,-9.288737421029543 45.01004503637291 -11.90574410009952,31.838184673850606 -19.709003571825953 7.141738828190118,-60.941007844018486 68.083372740014 -39.0860331003157,-24.521422773921696 -0.608414180548808 0.6625228164485872,74.28621445500804 140.29598384298606 93.47450890117165,29.06355726481197 105.55599643052709 37.68275606485374,-23.286141898555776 6.84608462218763 -21.061879527370273,19.20727320269898 -53.81153881842152 46.17073421400215,12.099260244411662 -21.9161176554748 -2.395377380699127
0.8884937565819395 85.97213019153652 2.9384215836386494,-9.047328909596411 45.766615770311454 -11.911202179880226,32.37447576296866 -20.311848465013178 6.419577106831167,-61.32547653426196 69.30661807596165 -41.135478680573364,-23.655577187707692 -0.48001329302127643 0.0939348762116242,76.25759001990225 134.89879358020877 88.41675813164744,28.92811825620352 106.97885120557544 38.39510362080398,-22.340771133733867 6.948314536497237 -21.429372279277338,18.657801725957896 -54.16156729638036 47.564647307418596,11.793995348956907 -21.223453994208075 -2.2322126321294897
2.399223127459026 85.8760921203063 3.1446220968754433,-8.307463635671294 46.47642642549763 -12.585087814396676,33.74387455697114 -18.854284709891857 7.198625146210005,-62.06080615261507 73.99351764554144 -46.92304536291206,-22.23066579946936 -0.8478940195669539 1.9803546198790514,79.67696413152343 133.09941581808434 85.79566199573006,28.881956480321243 107.56133726286741 38.714201904574864,-21.104692310614247 6.2755233942032165 -20.09711877749113,16.119830597468948 -52.24224038396758 49.337878793140106,12.167064816850893 -21.832623666778904 -2.360259610326111
4.017489698720338 84.29878663443621 2.516139295877501,-7.783893301875049 45.64134701573418 -13.373853067711824,35.33092916646669 -16.060429536619363 9.247894483914617,-62.47804702078985 79.92762574431885 -53.070011443867955,-20.6752819685872 -1.6036955799813661 4.920645262567417,82.34220846376337 130.41655850745576 80.57937797452686,28.83802078379418 107.9980102730267 38.95188674830996,-19.90511509960982 5.339306842270034 -17.30744814795168,12.69830197516538 -48.16673057193996 51.03357909922779,12.9883324247882 -23.3804552573308 -2.7095322267936592
4.879539951086221 80.78782695574752 0.608531997013089,-8.150910237895458 41.885878139860665 -13.745640542117883,36.54113620653612 -12.668926867727953 12.303314480039328,-61.94731919342707 84.95449472772025 -56.34370699881164,-19.40648841817888 -2.6280704485962776 7.547410440781487,82.18529617683633 122.68533533703246 68.1447569201304,28.715774504217705 108.93345338450476 39.39738437437378,-19.05614984652336 4.635083089419745 -13.35133427406429,9.485747501004715 -42.13741538760303 52.21131070467779,14.020994120174404 -25.484492545092504 -3.20470202056547
4.909876631095562 76.10070692214131 -2.1141748354267587,-9.303581234298298 35.99092640590796 -13.642764319247783,37.23746056968298 -9.374027421884158 15.745351280729793,-60.5638333714413 88.40868368205095 -56.495310081275235,-18.597495431866545 -3.6842199648592944 9.430975659862504,79.6092475976533 111.93396201012834 51.52311424435278,28.563580076171416 109.99199296999987 39.87496917180197,-18.640136797333376 4.266340055262211 -9.122591162198054,7.099907982785805 -35.56489480156136 52.72962948441353,15.02033252210325 -27.635754880868593 -3.7243593954547376
4.656388257544914 71.95174417984094 -4.469503500711669,-10.520729182891307 30.44277379744542 -13.382532967488622,37.64465204980752 -6.834873929559735 18.673355968737276,-58.99623203432581 90.80232001888915 -55.63574957307538,-18.228664662815866 -4.442460235842139 10.883255799973247,76.97128971546832 105.08841635318583 39.79923363790991,28.531738690196956 109.99109399731734 39.84121232161148,-18.556122783261735 4.026610919376571 -5.99178380935505,5.783039930056428 -30.81528124088306 52.68354770083343,15.735372061190025 -29.225200845961524 -4.11065188090576
4.6606608971690004 69.99349209842634 -5.318434365652316,-11.097553139013637 27.653950159361838 -13.279349647394335,37.98909247234236 -5.668474930208605 20.22651664127994,-57.90300201668296 92.6624750901935 -55.848140920070534,-18.26817150453596 -4.5919723576644325 12.2210047228814,76.56371957414729 108.76421996328177 41.65952584973559,28.762324207988232 107.81661658752819 38.78491622348271,-18.696779707049103 3.710985748801922 -5.2564948427690235,5.736318747792203 -30.13062066539519 52.18208591357745,15.931806853656013 -29.67983002629258 -4.21464137278353
5.013536791385797 70.18008362349464 -4.740838815688752,-10.970887774775754 27.711909026196935 -13.393591753596375,38.33778826342977 -5.696180387102294 20.46215959616242,-57.44378919409982 94.18359407181075 -57.432914298022304,-18.550474051389806 -4.235492304200547 13.463149770253633,78.39292750465454 120.99323227345641 54.89801018028795,29.18463616464258 104.10183935628235 37.01174215312521,-18.928315858226387 3.3082009269376345 -6.552444463110325,6.565225640090072 -32.851327050245374 51.4801787313545,15.700752021110095 -29.175886096771393 -4.078878282203361
5.398162159770517 70.9294370896328 -3.919070381204181,-10.657924660680422 28.60108153047741 -13.555871371929403,38.61359142574403 -6.0196702025266005 20.268063531991412,-57.327039751563504 95.2592630681045 -59.07806804892188,-18.78908362520254 -3.8498148139808364 14.359235364624828,80.3977101831801 132.0434239609567 67.45658059302882,29.535520551511677 101.06057409288717 35.566197035282144,-19.093003291986456 2.9821451707044835 -8.012204825296813,7.336438743112828 -35.69329962282126 50.96473944787168,15.42766470798837 -28.567301071698907 -3.919113631162529
5.493471270830372 70.67422464682225 -4.024980644918596,-10.675418906817203 28.318521650464948 -13.59444498228947,38.73431648013347 -5.757285811502002 20.519904559531206,-57.258566309162326 95.76408280173635 -59.45720041846507,-18.706599144509294 -3.9047241411845186 14.651893293612027,80.52233410127006 132.28721975659684 67.40719495000046,29.55493933879524 100.8795129375906 35.47977651193454,-19.039806427654188 2.898493439605506 -7.79453661831955,7.139375612648194 -35.41650418178357 51.01094122984952,15.49156454579667 -28.694989410956417 -3.94796407315794
5.234528966336919 69.5608817261218 -5.002628850072862,-11.018280606890501 27.022193953440528 -13.48235967129012,38.62160146037601 -5.068560166950488 21.06603933561782,-57.27721529093858 95.37352996116844 -58.31210436407091,-18.35430536056917 -4.369156376859713 14.152039211538364,78.66590698398977 121.48893332390264 54.67906922509893,29.22854016900518 103.69025242976622 36.81512943422331,-18.80237498964544 3.112314172483365 -6.022373568495347,6.09391945132764 -32.169822156954936 51.5907104640775,15.854844015658408 -29.484732496719086 -4.1488689137390535
4.821242180322971 69.50789559612171 -5.52652219890882,-11.14182583342197 27.1044705367644 -13.342377753735375,38.20103795858963 -5.189630769745138 20.692563850071007,-57.76619407835091 93.55718458939542 -56.4890990181856,-18.12335212752923 -4.694164589585561 12.741195111890791,76.74886589528637 109.12420440326588 41.46196684191562,28.796012623749196 107.49939554868342 38.63310542293401,-18.60532552834622 3.5643073359749478 -4.84962793835671,5.385467330100823 -29.60631448634771 52.259011518584835,16.049098116015212 -29.916053105997307 -4.268295325235424
4.463253960469969 72.43884102846884 -4.259468719322286,-10.496695403916569 30.963519482046472 -13.30117090255186,37.40699203010664 -7.354521766836242 18.190358029447047,-59.10334379759345 89.82042388936377 -54.875686988603206,-18.40729391464159 -4.325098248070362 10.327054820443447,76.73226287682036 104.88840723601855 40.18397807457995,28.50447363139731 110.24861642934083 39.96365285968974,-18.675161290327843 4.186464051926778 -6.451296909627439,6.208885092721118 -31.424952159282387 52.56158881992366,15.602616131982945 -28.960769309061085 -4.050551228132499
4.291347665264328 77.84313814671464 -1.3524930492834433,-9.175497540778037 37.90859774326568 -13.390214801009602,36.44658544481101 -11.153184471944307 14.058142161303433,-60.991741386582405 85.10660422538795 -54.048864159657136,-19.17819398981504 -3.284827506978119 7.544718878343205,78.90568529944366 111.22751085881023 52.87996797324768,28.464708044054778 110.93105097117834 40.32316622193099,-19.018555460279934 4.801835866036472 -10.69679413694554,8.498887640770233 -37.64929175166458 52.36225401020496,14.569768567824893 -26.73216848967118 -3.5185097312840914
4.343074501984602 82.33241898608458 1.2839307328858207,-8.029808739998188 43.5970859829956 -13.528439331188727,35.849406397213386 -14.231859178000347 10.813736943065713,-62.33672139452653 82.05913799769777 -54.21852872498175,-19.909806132073182 -2.2789984292766143 5.889267032456633,81.58262541471336 122.0168489290604 69.29737368276703,28.626321626278624 109.7829295267384 39.80314263361728,-19.382286341507392 5.104680118245719 -14.72974885690488,10.700371891704718 -43.95761792873355 51.90085484121694,13.626887341447123 -24.693044233309642 -3.0243786394870487
4.6476659144467245 82.42719208009375 1.6779407191463107,-7.936607010732507 43.57277890370563 -13.62939495985017,36.14979205081949 -14.177598185741909 11.033907442721437,-62.02381866712768 83.3518233901264 -55.559529481519306,-20.05814968345673 -2.038413065240664 6.865737222388573,82.99088639288094 130.71958533563514 78.64514196616877,28.928857403314623 107.12350477452357 38.53412443553539,-19.50322057467577 4.790668656980254 -15.594874888661622,11.204058554821712 -45.86178303988182 51.43636273292419,13.472102172897468 -24.35360598346554 -2.932101692573701
5.109122082026636 77.8497896033192 -0.4268738280227275,-8.986848605604473 37.52992949251241 -13.654399239583913,37.29032762924421 -10.840628454230359 14.836147236203844,-60.05905196538793 88.76688651353618 -57.65591127052807,-19.55023788884888 -2.685061419498291 10.285577501185633,82.57078659373447 134.32921492078793 77.42970609376103,29.279650848762593 103.75134439284528 36.89552991118076,-19.335625869088076 3.9330663431489783 -12.831910668357809,9.759561613069776 -42.47790869310218 51.11720738812303,14.201286904882327 -25.92242712820093 -3.2949882626695133
5.462033373446513 72.65389292819626 -2.9663029985519778,-10.20817865010594 30.77742982264687 -13.629387875658958,38.41309071498586 -7.13274461141127 19.011107200235916,-57.96420345635959 94.17490506124616 -59.292493702142934,-18.950233096884283 -3.5173473591586504 13.669188687883622,81.40290545398 134.61497843202005 72.02936170963142,29.54246784319481 101.11342174148896 35.603450670147375,-19.127864815533016 3.115936687143385 -9.355803289734883,7.954772840629302 -37.79788434377754 50.94228036145989,15.095598267717946 -27.847259437461556 -3.746129099568778
5.43328761283559 71.15146603720426 -3.736366424454865,-10.564585661899605 28.95706426042015 -13.584872979984763,38.61475688617948 -6.146944634419776 20.152654531486327,-57.35056293217406 95.22309848228308 -59.21668297200729,-18.859703797089942 -3.783643617476554 14.40607561592982,80.67406798974811 133.66716373362402 69.44871609885169,29.579782093852938 100.68395802824665 35.388608477981535,-19.145259484968694 2.9520363143568047 -8.285738016133594,7.4878494770374155 -36.11322311351974 50.90017026897777,15.386855058442071 -28.469263947465798 -3.89313400714842
5.009132410036188 74.70431356395419 -2.0303258722989495,-9.729279160891673 33.77153688291639 -13.550743846718072,37.6772249688101 -8.809281633363684 17.216581654107173,-58.744276437262535 90.81681161345803 -57.334962161450115,-19.410983651340654 -3.238089187944942 11.789501109317637,80.96000003242234 132.499094458037 72.22704171529293,29.362098796093584 102.81050055621085 36.425650556393215,-19.418157467343473 3.600229128484294 -10.620254759131326,8.843694131364442 -38.92707572253929 50.99816892127787,14.816461396198761 -27.233456174676924 -3.604457417580867
4.577823042745884 80.10149315131137 0.5378315827894248,-8.474761220465732 40.81797731891821 -13.555924402498935,36.44448982303027 -12.68704417445862 12.81966509484962,-60.989517207121025 84.91148364264768 -55.350383524613186,-20.009092338650316 -2.4187607674258174 8.063552877386803,81.88922367702824 130.45479967832043 75.98234202446558,29.027371951851475 106.09425207618996 38.027308584146205,-19.61269590704057 4.515845314588619 -14.070893135072385,10.626664735457247 -43.42063116887497 51.272558080526736,13.915678649396805 -25.29582607993763 -3.1528629368965535
4.558644579528865 83.75938433039883 2.1652138488205677,-7.662911113520784 45.19827295797503 -13.628997029273783,35.84534405778218 -15.074719866858379 9.876867631156838,-62.79238614895828 81.86762198642063 -55.10525643186963,-20.002314846198995 -1.9275088445144717 5.711758434212368,83.00882508333697 126.75307434921812 75.78148555377452,28.72744857626166 108.99164365066854 39.43487359837215,-19.367766013580255 5.097163402003654 -16.08234278522892,11.290515127405765 -46.42216903656457 51.759773414356545,13.280547179219198 -23.952586099690908 -2.8442330412230197
5.05155002515007 83.95347782479007 2.0134641414854326,-7.689348188540772 44.70890633364725 -13.775301040290888,36.21826102043713 -14.71666748189524 9.798245404780605,-63.45363315059932 83.40688368501924 -57.067417370485714,-19.263132493228746 -2.036943665959932 5.9233647288406415,83.86984269035541 122.26364093191732 70.66942496420326,28.56821279805856 110.44927432910423 40.13264193531683,-18.68946883713931 5.054228584665907 -15.529177747785088,10.292730146788921 -46.45685406119142 52.28586415582263,13.222463974538293 -23.874313673804657 -2.835155190124266
5.588263502674142 82.26742158246707 0.960548217729095,-8.120015148702254 41.94120196028401 -13.95881634762688,36.851282573793014 -12.937189249420463 11.315979356065128,-63.33214401406362 86.55527767973096 -59.258925288187704,-18.596796994835955 -2.433815692903677 7.584537743994772,84.03034773919505 120.79393092813689 66.76983301655662,28.573761031869918 110.2859625170989 40.03732071929448,-18.23732943619204 4.65185284400858 -13.830350480527926,8.876863146689482 -45.0693384064563 52.302511718406556,13.546323222073921 -24.61831289832148 -3.016556892528516
5.644127991542124 80.62124954928301 0.05867907884640517,-8.436798022347778 39.971875730754654 -14.139266819885572,36.927322553508944 -11.322702023027249 12.88965451098901,-62.89517901362133 87.8667032159849 -59.458978491661966,-18.900548340360906 -2.7454690062899894 9.34678754962168,83.05276575428425 126.42945010040376 70.90303575652166,28.759372803372322 108.41402582617711 39.11193098153874,-18.7344751688592 4.211404570954585 -12.662281584969254,8.46533551428407 -44.11028422349905 51.22670466559083,14.005031391082754 -25.62770251887703 -3.2521426121223307
5.018472588109089 80.251401100582 -0.03520128562501513,-8.338519096079876 40.566860196265665 -14.277469312107891,36.095064093564595 -10.893444821743085 13.487988892421837,-62.50643565819434 85.65729902912139 -56.81406590673082,-20.456541016074045 -2.7448382396184114 10.268126522836184,81.03558660679698 139.59958782189742 85.00906922997335,29.08331674377552 105.27579931996969 37.576466797727996,-20.34948222266122 3.961123439277067 -12.990414594334178,9.705873230537023 -44.655313307338474 49.05118608680314,14.384582814152855 -26.430382498003592 -3.429534358036066
4.174115510304087 80.99438661036716 0.5263761065752266,-7.968263048980872 42.80774298541529 -14.336478999352797,34.95703633079427 -11.510184654841568 13.122350770376928,-62.317525923956396 81.85208297035501 -53.27074227829472,-22.28729979320779 -2.5030119989860027 10.239040546931786,79.1751029562398 153.2463958148938 101.03365443051314,29.387109233760007 102.39903745311825 36.177175717457345,-22.115264947031022 3.93853141137448 -14.32418759633678,11.659708449297272 -46.19284720513971 46.947783126986096,14.538732250107838 -26.727875716587274 -3.4853347295804884
3.6542226208925968 82.51426868591662 1.491289415533054,-7.5235494640415235 45.44753443688612 -14.279718523365757,34.23153416017041 -12.89092998844942 11.932836808271817,-62.453403160339654 78.81519830389784 -51.11466026650842,-23.262952086921995 -2.1277329881468106 9.25298031528302,78.79890979693853 159.4083012976033 109.71232369413494,29.498299997061938 101.44112444987667 35.72313214095594,-22.927625503567103 4.157541745189121 -15.994591393806706,13.195091532553686 -48.01644012851703 46.23021545679325,14.330129060897695 -26.244226537855404 -3.362429672410501
3.7522281212797726 84.18557131149636 2.4743195062260632,-7.212430903358806 47.26850723474626 -14.09674123513847,34.34953554723297 -14.533175376763504 10.35670904786346,-62.84596531795555 78.13856736599725 -51.58138208164497,-22.767500482002585 -1.7678540041652002 7.592530507024053,80.36253000028479 153.8041975346762 105.57302649110942,29.336472850797993 103.14364507769854 36.57304548806964,-22.22591109863673 4.560313356491054 -17.28556351416888,13.536942648796485 -49.27298163583423 47.51857019432732,13.788659245938916 -25.056671853732745 -3.0837127663967863
4.171252341717851 84.69840919596206 2.775632832758158,-7.267857707857978 47.12210418065881 -13.838868064699637,35.06286080511517 -15.41316620483116 9.533666874674653,-62.97076741034453 79.58874232201767 -53.42427382334484,-21.39964192364996 -1.6694035814280734 6.223728598126853,82.26008874380281 140.85283646181102 92.1082001238347,29.038761127615174 106.08342405880053 38.02105573817535,-20.734296732470632 4.919392772821327 -17.36981729724099,12.753275441537351 -48.76267645282302 49.79333091273551,13.339521542823482 -24.07732246737337 -2.8611990508935325
4.529362274532427 82.64566535474297 1.650818731807095,-7.926033016575439 43.871455626013606 -13.566346089071954,36.02528136668195 -14.4330043263705 10.703571592536928,-62.238094854295355 82.66824769965069 -55.03903833992922,-19.933232638352585 -2.092138730527865 6.2104150922092405,82.5893984297813 126.2280676133186 74.10510447518983,28.773637286839246 108.52552780862105 39.207996283859494,-19.362111953234148 4.983032703044453 -15.405136493005195,11.034127752514335 -45.23743157490708 51.79874151793997,13.46459193045196 -24.33797577676108 -2.934008402787971
4.5939262785512405 77.72759464807561 -1.0548152104677406,-9.190240024611024 37.52840589140323 -13.34180635442415,36.930373763419034 -11.276224143228196 14.21975665845702,-60.49951556908002 86.64654891811178 -55.432515294777005,-18.932624718595925 -3.0864552278860184 7.98972653241916,80.44156498598792 114.49307827829618 56.255196181617535,28.650659482380075 109.37986822062147 39.59694788135567,-18.717147668784865 4.640073571510841 -11.31978466620673,8.72890147359531 -38.65680527781019 52.691668583373065,14.356051276063887 -26.2505328814926 -3.39582116925839
