-7.9 0.0 -0.7,-11.0 6.8 -0.6,-21.3 3.4 -4.4,30.0 -6.2 10.9,6.0 -5.1 3.7,-16.5 26.6 -31.3,27.8 65.7 18.2,5.4 6.2 2.6,-14.2 -39.9 21.2,29.7 -80.4 -25.2
-24.435244170691014 -7.029613861014081 0.09645623951791092,-18.74543256773348 -0.9196030876345662 -2.4283124662056697,-21.995876928410876 4.097850744454482 7.0249745208667616,34.61385149278007 0.5445710686855052 8.720773697923097,9.885751493130043 -3.668023003246579 2.445427042997089,-10.854480289023119 28.42805488650604 -36.02750382589272,26.54395932173279 59.62482515129741 15.417111530405816,9.647678086690366 7.194267596405229 0.22283327096494676,-3.8084108183972303 -31.694920002562007 19.492759066482662,29.535190455633998 -78.72875046664097 -24.42846825457684
-25.227978137909354 -8.455736263762613 0.1334476722363673,-19.312452846970643 -2.7124982396555946 -2.73334717995638,-22.02765746903375 3.691332931041856 8.44539650582757,35.83521314335904 1.7193446816014795 8.769823728917247,9.181238400173148 -3.37796069300217 1.9506522730325773,-8.532455574125272 25.71777612674536 -36.35917283272391,27.271140075017083 62.80302936113983 16.848282124052588,9.120568132545463 7.319509859036896 -1.0181825004619196,-1.4966682946928824 -28.764376616123702 19.868689085326523,29.623087423577186 -79.50272700134249 -24.78171235449349
-26.243325802153752 -10.828428542755182 0.2579281740912926,-20.57282301749674 -4.668620985116853 -3.6995872824622937,-24.010922158763048 3.1493701773204985 9.91591406359115,40.07960734209053 2.7127542015946484 7.569461903296617,8.983848046892236 -3.011022291361823 0.8025582595681373,-6.621162082915519 22.693310832752235 -37.31838090721174,27.70589345256249 64.98344079852085 17.838755630952132,9.191452103892802 7.612422910114142 -2.533625536363411,2.685476639446887 -24.371926145601428 19.97147082547367,29.446155830552225 -77.91536558619944 -23.98415193001525
-26.49031385447455 -12.939523820975111 0.4881792614288243,-21.693233101621274 -5.847630417638033 -4.3959574362578,-26.14570997021633 2.6970622634246335 10.437254509461196,44.28947343761446 3.0947044238559007 5.711891920095753,8.999669101955487 -2.795995672960802 -0.3281258834068781,-5.131191741662881 18.80991015739687 -37.776279683305226,27.888093647940096 66.0832153818799 18.344492707756096,9.445131408160785 7.806194077559298 -3.8039466567680496,6.863773896412636 -21.212530986371824 19.147684226475683,29.181796504314978 -75.48408433533187 -22.78389424288484
-25.08229671054249 -13.651498930241464 0.8314931898675746,-21.89340573666231 -5.393176926123679 -3.9667945527800623,-26.736750305774716 2.546040136778094 9.118392149504338,45.58624619349399 2.486532416651559 3.798074957705063,8.950978261499216 -2.9405185636444373 -0.8049061721055866,-4.077607132112328 13.660591376009268 -36.70717762536959,27.861073618916855 66.04954244804351 18.335266401897094,9.4894163604814 7.656285540800289 -4.3392433768162295,9.250509862269423 -21.768679273687297 16.842932241422485,29.000630150182822 -73.67522116968124 -21.903370272164477
-22.56499340711721 -12.850650386810164 1.1640283655298143,-21.168241234760313 -3.585752312637208 -2.6219690507872455,-25.67773095075257 2.718369175051566 6.532728974787728,43.76799487027729 1.1785044821524346 2.431007595581871,8.83235636586023 -3.364803908871717 -0.5033727835185494,-3.6079123929502197 8.72363534010791 -34.52753939444226,27.682001715155412 65.1153962265277 17.914463296336777,9.302597396692935 7.229149304119361 -4.063090993934029,9.380666384085902 -25.544595400632875 13.810253028382569,28.9598908512572 -73.06985973186637 -21.62325904677465
-20.473506651956626 -11.130462292356812 1.271364519599448,-20.048081877439632 -1.491103972778642 -1.3073521113598137,-23.959888076415627 3.105175275467898 4.265197712034251,40.48163253933941 -0.07706057258866181 2.2150923349368634,8.826474124288966 -3.7905304400002375 0.3471699048098318,-3.9610936164591792 6.779539508872745 -32.649976701696346,27.417602868924412 63.711152433929236 17.277761453685514,9.118868356319862 6.80604877528313 -3.1846681778250674,7.702856706657974 -29.98731422137117 11.70577535772303,29.03849263799483 -73.63760798662467 -21.919106279951414
-20.263142144052242 -9.103415954816196 0.960640818825227,-19.0600204372112 -0.1485532251391538 -0.9250295368050109,-22.556819491005438 3.591129609906063 3.819515791961764,37.36076587032308 -0.5604330038376182 3.6828927971022196,9.100270609591194 -3.951980567329566 1.497323192719048,-5.3431346323858415 10.381919988640654 -32.41580403512728,27.134906467124303 62.26659769975456 16.620630168714854,9.159677334473887 6.656733808436144 -1.9302892098819255,4.699063320623812 -32.626035631039755 12.091522888807608,29.21152555213456 -75.30151562370736 -22.744057408743476
-21.838440945250696 -7.458769399067413 0.4031617150581983,-18.514414594592015 0.058077899585439574 -1.4662675910331875,-21.826741287228486 4.000901018417487 5.119658153336281,35.258112510165134 -0.20320138187634199 6.246707312795835,9.5171180437152 -3.841484334490823 2.4941705937382843,-7.41720226656445 18.14383433975234 -33.74596862355643,26.902723527966312 61.14110661722266 16.10665779864989,9.3684156909755 6.804850767832974 -0.704791956565082,1.0880437114630428 -32.90884552066978 14.782485081999356,29.418764088556493 -77.44854426823481 -23.79672607706837
-23.87753507653604 -6.946498864432222 0.05822868259894132,-18.5502189235755 -0.736636585376222 -2.202018642648942,-21.641200155203396 4.1117060065964255 6.840273803729301,34.408830655181916 0.5479561667674671 8.432881923351825,9.70031538315021 -3.6554465640407505 2.723845308803301,-9.417181128052787 25.561982868132606 -35.43813231369624,26.79127405765037 60.63836901874487 15.87421993205853,9.468575978395013 7.079417163188008 -0.05419814518030719,-2.2241931418760585 -31.801364471844273 18.21202424094765,29.572053741882943 -79.0416948530251 -24.574431622276457
-25.06971637031925 -8.251353825535867 0.3658826791852648,-19.278954105950245 -2.358691691248483 -2.414214287492871,-21.85877659745836 3.717230443081597 7.670168745531572,34.99967076320054 1.2399998967907768 8.817197833401492,9.290184493843679 -3.5890025516788358 1.6184007753731215,-10.606857498859254 28.265242638044494 -36.30823567293282,26.864880703219754 61.0330222656449 16.04839261640865,9.193336548054392 7.308101515036679 -0.488624529089776,-4.370928096916634 -30.294940008242605 20.827183632847177,29.58639136692176 -79.08198965518926 -24.593039559265385
-24.967094699477308 -10.765626148772476 1.2420072121948946,-20.372467441284343 -4.145688525936953 -1.977050653688242,-22.344310595275047 2.954448198076944 7.230976572600357,36.607853927963134 1.5687708658184565 7.398215071062586,8.38267689797817 -3.7050664675440226 -0.4178318863203833,-11.054356238259983 26.081110226366555 -36.118182514127426,27.07316429674215 62.067689528351515 16.510561341629142,8.579079939478286 7.395209704533969 -1.7498719200091155,-5.343475401361651 -29.077261440650137 22.068450190190447,29.452407488746534 -77.52888279053987 -23.83301663582678
-23.902195469867582 -12.712584863881752 2.128387431294529,-21.104923379657066 -4.993477827643593 -1.300424815501134,-22.96830380391327 2.2708357925684806 5.988069776023133,38.25928432442949 1.3647722337012012 5.46139152908793,7.4858593544788 -3.946958992376424 -2.1011002059814823,-11.555323293449028 22.634717088995153 -35.48549669489447,27.261998328586607 63.00378922858875 16.921694444292516,7.936435691025865 7.3143658048858935 -2.88480237434752,-5.909237138479571 -28.56136041746545 22.274876743698766,29.229142990494157 -75.20872621330471 -22.695059592389423
-22.23110178220966 -12.34867894005512 2.46848025896899,-20.76378116833034 -3.838652907732606 -0.8041096188762332,-23.603627200487495 2.111229310812645 4.427452058735011,38.99214535276213 0.47263615440026957 4.30095410846555,7.103253638957401 -4.253640995327725 -2.1673079502747505,-12.895906733477961 21.56536861969355 -35.0442399481135,27.279235243419876 63.11293593275374 16.94768963181956,7.573907077290038 7.045761711447904 -2.94924010529348,-6.843978503679196 -29.13119418749052 21.81546229591214,28.9759257310371 -72.95453219516337 -21.583453422253427
-20.19840536591911 -9.771147487602844 2.1641942870078186,-19.311783308373798 -1.0028966443528973 -0.6774597747986862,-24.176085738098344 2.582427307391602 2.796319690385599,38.630396928769024 -1.0362156616365583 4.292005269388515,7.264285383891709 -4.562830133419891 -0.60746741017809,-14.989271592525151 23.513931660151925 -35.07913548740886,27.11248536138026 62.33984304317454 16.5690908966456,7.506463165982726 6.669092055814499 -1.8301977031520056,-8.444336401823254 -30.701880469803243 20.99982180185809,28.69884353805121 -70.99857301404256 -20.62006568440672
-17.93341453200154 -6.980628754917243 1.5914826453120596,-17.40992330435151 1.75990881909958 -0.8715748723450172,-24.666218737451253 3.441693466915692 1.0949391833807283,37.810501332974006 -2.855858375821056 4.85926174946235,7.508159109611958 -4.810958567385388 1.2896118187853933,-16.845907950671275 26.020851538427735 -35.5136862973325,26.89387032617877 61.3252162513253 16.091790272962324,7.445555125684082 6.36693849519142 -0.27414653370036857,-10.51152332470051 -32.703751272801156 20.076166397450677,28.34893340684014 -68.9519485715191 -19.634740915200666
