-45.1 -30.6 22.3,-25.7 -14.4 4.7,-36.4 -1.0 22.0,79.0 -15.3 -21.3,12.6 -6.3 -3.5,-9.1 -0.1 -46.5,18.7 35.9 6.1,13.4 4.8 -4.7,19.4 7.6 44.7,22.1 -44.7 -9.2
-44.45693291443383 -27.852451791844675 21.329131609223072,-24.215102443120674 -12.453806134422377 4.716513652646513,-38.273124283285476 -1.5419772350680574 17.057320020490636,79.61817263010502 -14.05795859888967 -22.23350384900792,12.34070624516843 -6.658589629371187 -4.469858844688725,-13.896327289199155 7.089533879929222 -47.99555471618509,19.092765861504585 36.78133087398883 6.364430449468091,13.262928665153057 4.714459096266955 -4.624802356957169,16.268669142234415 11.412688067408128 44.69551220787284,19.837144468727818 -38.79187878211313 -7.0971243140435885
-44.0008284939324 -26.808934777406286 20.524096779989954,-22.954314853099344 -12.054664779943453 4.835859678649186,-37.50816650443778 -1.4754225894783561 15.165934660544988,77.42973407708213 -11.030051777812789 -19.8828450468398,11.694853565406353 -6.6539746219304154 -4.549502742985627,-15.29789626110401 9.110530244926755 -48.88901198850944,19.585336791939962 37.948948523095375 6.757322497512097,12.602218345333801 4.8043655048800815 -4.357202896413697,14.028479517352947 11.51620563750215 44.62365291382153,18.927621180101255 -36.3766246141713 -6.245390001853093
-43.61959794383144 -26.968609553010317 19.92448249985814,-21.94452284148678 -12.65259666799367 4.992198924412963,-35.145093847265294 -1.0289257448545333 15.53474226667987,73.7086570632026 -7.291097759594105 -15.733858160995164,10.845653312756074 -6.41609212337173 -4.036772260862681,-14.388914094512826 7.456370856705186 -49.29062998570931,20.076696581589278 39.14285729563963 7.179398247797096,11.652198550270999 4.989424784931932 -4.0171781237076924,12.648181311645395 9.163744198423904 44.506793477311476,18.978722982757343 -36.44786928288042 -6.280963465199161
-43.20115246946661 -27.83063671498223 19.569875756385148,-21.21261201983375 -13.697622530003475 5.1196922363427895,-32.22387349557641 -0.4310763828202269 17.3726411854121,69.72891431073775 -3.9159147670583776 -11.272377758973521,9.976316839259914 -6.074879279389179 -3.229507964291859,-12.25358796822387 3.6204374769771093 -49.31066687652102,20.465829020735683 40.103061539941606 7.531379803988161,10.647198789693416 5.1893424955150556 -3.7247045441772633,12.096524711401566 5.608495238315251 44.367305257808084,19.59774272533311 -37.999244574946424 -6.8400111058524455
-42.63340327617362 -28.8941768596475 19.49986353712849,-20.78546799969101 -14.63976309740331 5.1525004608436085,-29.784472633179522 0.08953581500092594 19.888529763258497,66.76447854195887 -1.9793210230303622 -7.9842384082743845,9.27005549696019 -5.76027323567681 -2.425550419245135,-9.976125061035415 -0.903888132544889 -49.05938082968086,20.651717899662312 40.569565604321305 7.713989269750374,9.821548573329817 5.3238241957220005 -3.59975866316052,12.34225990291127 2.103650245318038 44.22755961477676,20.391973256465597 -40.024382277075226 -7.558699325583596
-41.80426156928816 -29.658390583331606 19.75403282964566,-20.689976392609328 -14.929039101623625 5.024784444320363,-28.866858443882997 0.30432116698528877 22.291306346735873,66.08932247913722 -2.5561347503348086 -7.355274676397261,8.910080637899213 -5.60221113792867 -1.9227401916944808,-8.640732551745717 -4.623224210148218 -48.647030013925125,20.533347008652317 40.28237383709872 7.627948748748808,9.409577410908962 5.312575444645318 -3.7623169859955694,13.354137072464303 -0.09759929242588194 44.109927907682895,20.96870742479182 -41.51691417597276 -8.073194526163261
-40.65721217086284 -29.732555915065486 20.330636311372142,-20.91578034843109 -14.176371982447177 4.697938552782633,-30.21220350058796 0.05322936228503002 23.883344428781488,68.55528494606565 -6.287786061116946 -10.37492863157025,9.028597486656407 -5.695231473586472 -1.943577435443029,-9.061909403796797 -6.322140720305815 -48.17796326959471,20.047093553419455 39.07781832376838 7.210117329824933,9.580559579355675 5.102806333019455 -4.283802618358186,15.03444390375639 -0.03468321645217106 44.033333120488614,21.018084335210727 -41.67883074342872 -8.096905559594171
-39.43868772787266 -29.3262327927234 21.002601404957154,-21.24950360894431 -12.86979938161448 4.281814928008476,-32.93286471112982 -0.45016201734815936 24.476577505177477,72.71303104553452 -11.45318138751118 -15.326663554856124,9.47976214512577 -5.940904426853013 -2.2998599720781723,-10.5838972529123 -6.300402712061692 -47.72431598233937,19.333177040041488 37.31734144821281 6.594347238225305,10.14913450470571 4.791662092184612 -4.970960070409747,16.923161795788207 1.657805304413796 43.997900146984,20.681861947398126 -40.84794578213717 -7.764312168562279
-38.4978442621832 -28.852524399878565 21.466452374764668,-21.408930211380735 -11.79477100005274 3.93660468931967,-35.588901100918086 -0.8655858584225679 24.05572038550112,76.33294521355131 -15.530143985920995 -19.576400990646906,10.023449977998705 -6.175368600236497 -2.664124911705258,-12.052403722566359 -5.37154671555443 -47.34730061804997,18.60093570500533 35.54043969341233 5.981287019014892,10.809692230955287 4.527127875047219 -5.54078678580109,18.43742154014159 3.8043860343315448 43.99737983531459,20.254932883537457 -39.74720741902719 -7.352670572099729
-38.16180480396526 -28.662593452025853 21.474064500480097,-21.17054294911326 -11.600574745991807 3.7909447949188273,-36.91213603306092 -0.9075964752170688 22.70808002463705,77.51460757469604 -16.393264076245835 -20.8612576805512,10.451853334120587 -6.257426524579341 -2.7524017137464525,-12.476993016520243 -4.2706523729997 -47.10874013740832,18.049551991427986 34.253821052754226 5.557109777406954,11.29550296423559 4.437521800106401 -5.740775211797584,19.06780599348307 5.327341027638857 44.00935607482139,20.006194772416183 -39.04320591982596 -7.114961173229998
