-20.9 1.6 -12.0,-12.3 5.7 -6.8,-11.2 7.2 -4.7,22.5 -4.6 15.4,19.9 1.5 8.7,-0.8 50.4 -40.6,26.9 118.6 43.9,18.3 12.8 8.3,2.2 -42.9 37.3,27.5 -115.8 -42.6
-23.9 2.9 -13.7,-12.5 4.6 -6.8,-13.0 6.3 -0.7,28.7 0.2 12.3,21.5 2.6 10.6,1.5 47.0 -41.1,26.9 118.8 44.0,20.1 12.8 6.2,4.8 -42.7 36.2,27.9 -113.6 -41.6
-25.0 1.0 -12.2,-12.8 2.4 -5.8,-18.3 5.8 1.8,35.9 2.0 12.3,20.5 1.6 8.8,3.8 43.8 -42.8,27.5 115.9 42.6,19.3 12.1 5.2,8.1 -34.3 39.6,28.0 -113.0 -41.3
-24.7 -0.9 -11.5,-13.4 2.1 -7.2,-16.9 6.7 1.2,32.3 0.7 13.7,20.3 1.7 8.2,-0.4 51.2 -42.3,28.0 113.2 41.4,19.1 12.5 5.9,2.3 -43.6 36.5,28.5 -110.3 -40.0
-22.0 0.0 -12.0,-11.8 4.6 -7.9,-13.4 8.1 -3.1,25.6 -3.7 15.0,20.5 2.0 8.7,-0.4 53.2 -43.1,27.9 113.8 41.7,18.8 13.3 8.7,2.8 -41.4 37.6,27.6 -115.5 -42.5
-21.9 -0.7 -12.1,-12.2 4.2 -8.5,-13.1 8.1 -2.3,24.7 -3.1 15.4,19.2 1.9 8.4,0.1 51.9 -44.0,27.9 113.5 41.5,17.6 13.2 8.4,2.5 -40.5 37.1,27.5 -115.8 -42.6
-20.2 -1.9 -12.1,-12.5 3.2 -8.7,-10.8 7.2 -1.4,20.7 -1.8 16.2,16.1 1.4 7.6,0.8 47.8 -44.8,27.6 115.4 42.4,14.8 12.4 6.4,2.0 -40.8 36.2,27.2 -117.4 -43.3
-17.1 -1.1 -11.7,-11.8 4.3 -8.4,-7.7 6.4 -2.8,15.7 -2.7 16.5,13.8 0.6 7.2,0.0 44.2 -43.8,27.0 118.2 43.7,12.5 11.7 5.7,-0.2 -41.0 36.9,27.8 -114.2 -41.9
-15.8 0.3 -12.1,-11.0 5.0 -8.3,-7.0 6.1 -4.5,14.6 -3.8 17.6,14.5 0.7 7.4,-1.0 48.5 -42.4,27.3 116.6 43.0,13.2 11.7 6.0,-1.7 -42.2 37.3,28.0 -112.9 -41.3
-17.7 -0.6 -12.8,-12.2 2.7 -7.1,-11.2 5.0 -3.3,21.9 -1.0 18.0,15.8 0.8 5.7,-2.0 49.4 -41.7,28.1 112.8 41.2,14.7 12.2 5.4,-1.5 -39.8 38.8,28.4 -110.7 -40.2
-20.1 -5.9 -10.8,-14.9 -1.2 -6.3,-12.3 4.6 -4.2,23.5 -1.3 16.3,14.0 0.2 2.7,-2.0 40.9 -42.8,27.8 114.3 41.9,13.5 11.8 3.1,-0.3 -39.3 35.2,27.9 -113.5 -41.5
-20.6 -7.0 -11.1,-15.7 -1.8 -5.9,-13.7 3.4 -3.1,26.0 0.7 16.0,14.4 0.3 1.6,-2.3 34.2 -41.0,27.6 115.1 42.3,14.2 11.7 1.4,0.8 -43.4 33.8,27.2 -117.0 -43.2
-18.4 -9.6 -8.7,-14.9 -4.7 -2.8,-11.6 2.1 -4.7,21.5 -0.6 13.0,12.8 -0.8 -0.9,-0.8 26.2 -41.9,27.7 114.5 42.0,13.0 10.6 -1.1,2.3 -39.6 34.3,27.4 -116.0 -42.7
-18.2 -6.0 -5.7,-14.2 -0.9 -1.8,-12.4 2.0 -2.1,25.3 0.7 12.5,14.1 -2.4 0.1,-2.5 30.3 -38.6,27.8 114.2 41.9,14.0 9.1 0.2,-1.4 -42.0 35.6,27.9 -113.7 -41.6
-20.3 -6.4 -5.8,-14.7 -1.5 -1.2,-13.1 2.2 -1.3,26.3 0.8 9.3,13.6 -2.1 0.3,-2.1 32.1 -43.6,28.5 110.3 40.0,13.6 9.2 -0.1,2.8 -37.8 34.6,28.2 -112.1 -40.9
-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
