-22.3 -1.6 -7.6,-14.7 1.9 -1.7,-12.1 4.8 -2.5,26.1 -2.1 7.7,18.3 -0.8 5.4,2.1 46.1 -46.8,26.5 120.3 44.7,17.5 10.1 3.4,6.9 -39.4 36.0,27.0 -118.2 -43.7
-20.946635734258678 -2.619568418364058 -8.816492564902005,-10.505971036176323 0.25318687674847606 -2.3054028981998047,-15.036079248210996 4.733196708429872 -3.9514802256959554,26.71516293414298 -2.94383185480517 8.828041163879268,21.19180795137392 -0.23289998556626473 4.4432647707222745,2.043964325492244 36.29358444760104 -45.918458217597426,27.752935397890695 114.5851273307473 42.00474098272347,20.394605763063854 11.097743298539761 3.849180848788421,4.295520024282456 -40.11742882805982 33.38332550705936,25.826638023122484 -123.05807965353438 -45.83880095224069
-20.44583288404746 -2.432806067674658 -8.987194920525694,-10.57143193758817 0.8261173148534897 -2.777708407629058,-15.277783783181771 4.558205045367276 -2.6476465462279815,28.439095410579213 -1.5652320890640783 9.385266235770343,20.439132088019804 -0.21689161304253154 4.5796988812996,1.3072856723463675 37.4887532132733 -45.49951944085946,27.5240264688571 115.57835214282944 42.45214941930709,19.644233901513157 11.025018242061536 3.6660489295948318,4.665790144589478 -40.18339534713187 35.54115711741627,26.377651517962143 -120.6435291361567 -44.7630562108928
-19.774631413623354 -1.9593826619497083 -8.99941535971876,-10.909366963455648 1.7728462731568355 -3.1031099697977016,-15.545507455605234 4.2670153514443365 -1.3904901527489737,30.71601575209221 -0.07062788525846617 10.03021646469478,19.21354833740875 -0.36958850728347503 4.694545061849244,-0.08185649253958263 40.057826901458725 -44.4101993631389,27.161876260121513 117.24094373660859 43.21163252503927,18.434875599683192 10.78807062892289 3.448970916928095,4.544140258504191 -39.84158748033534 37.227957980984655,27.01598564210702 -117.84113150185497 -43.521237507743
-19.171542378142863 -1.455330892051653 -8.931941170704171,-11.546218582681478 2.812648808937651 -3.43019081574338,-15.494337916365346 4.139365049427294 -0.54369082434696,32.322519032392115 0.9017343245280036 10.458403101767207,17.93806568952338 -0.5506639013864143 4.880915315027405,-1.3225711416399226 42.85579401071183 -43.614502274643414,26.912100451150675 118.4241168292926 43.75971872985706,17.154457979981608 10.554934007391529 3.412461069771429,4.221353501845204 -39.315829026197214 38.28466328947553,27.501346171090596 -115.7215429763945 -42.58518379636191
-18.86521471695145 -1.1605283234584254 -8.86260884617415,-12.487573237523232 3.673653237836884 -3.897129442735948,-14.803153499666962 4.435288786825331 -0.441059524823063,32.09812371484452 0.7589120152880431 10.3898489422606,17.02867566167688 -0.6247256343666441 5.226650633362328,-1.6504017768213723 44.77494814603116 -44.01649832090919,27.004061504302296 118.05256409191533 43.606098387424176,16.186111589384996 10.486118647846787 3.7561011353907627,3.979246635418152 -38.833163051041176 38.57118068236016,27.606297873087662 -115.29755494736956 -42.401087386115
-18.88085010448549 -1.0084414421571133 -8.822007209717254,-13.421174898528951 4.283309539702847 -4.4394510369103735,-13.58417483251227 5.062104947280442 -0.918639049098056,30.085759126036645 -0.3028218756269099 9.966594229827722,16.70276238636229 -0.5699579684307103 5.717730204977002,-1.0368470422485567 45.54224330862113 -45.38830661950302,27.36153897740944 116.45374742489602 42.89530024677882,15.755199955807907 10.587591100142683 4.4181669357571725,3.8475381678848914 -38.59969191701325 38.17193983074251,27.328505407226466 -116.56800677416373 -42.96688538686892
-19.082755673839074 -0.6902141346203483 -8.803359667140057,-13.783404517296 4.72669953945465 -4.832414134657696,-12.29232761328891 5.648189253179192 -1.4188164638498966,27.280061851785245 -1.4630500661715011 9.664428122494046,17.020643032788037 -0.4543661153310787 6.259576675209693,-0.03542945506092782 45.54471758429713 -46.60685243248089,27.66664478392805 115.06449685838471 42.27390960953016,15.962317900235997 10.743098325472934 5.130282721393348,3.656576846559092 -38.804957208233944 37.34893174732006,26.84365176936413 -118.729862467308 -43.92601609151239
-19.334537741819453 0.0896252951655711 -8.797779438756343,-13.039953413366414 5.090086424206888 -4.858486951516808,-11.376842232371203 5.832104248680687 -1.3986380327482075,24.67911560892323 -1.9199152082356825 9.941733972289773,18.026495197379347 -0.34625134355136394 6.757854145189054,0.8022245293278751 45.18143837058482 -46.578701037285434,27.611394815627747 115.2782142754456 42.36915318988079,16.891118779261312 10.837579365794362 5.62866615763436,3.24464474228839 -39.6217933576822 36.36907555609655,26.32937452193823 -120.97316893598483 -44.9189502178439
-19.57116359491328 1.2400407423412563 -8.775320883350625,-11.355538230105736 5.399380004695288 -4.524026706844043,-10.996051325639213 5.596455399337774 -0.8061489309401813,22.845403814275034 -1.5595629366021635 10.744434341295424,19.53550506266013 -0.2722377258030298 7.165401814135233,1.2682584148470495 44.73559966550347 -45.25555944447666,27.206712480792202 117.06370454316932 43.16924698621582,18.363725456503104 10.843503260769463 5.847345328049988,2.708530878872499 -40.908931281987016 35.500821043366756,25.907141101603987 -122.77745544119276 -45.71588152158199
-19.7921462367509 2.3204013123318394 -8.686990702062882,-9.527141274174918 5.625900699472208 -4.037897345687584,-11.045171651152675 5.235033643508902 -0.033500922937531034,21.94741112205945 -0.8904348852151057 11.554933017338614,21.155736975557023 -0.22125247471093107 7.477728572435936,1.4657542851271084 44.3855884317615 -43.53446126238765,26.751971785396947 119.10123011603903 44.08442431114402,19.965707490605997 10.812509589627064 5.89926706354211,2.3788428049976353 -42.24099649938913 35.01400247346336,25.647613286587905 -123.88408689558044 -46.20433773737268
-19.997369510710044 2.891872010736782 -8.487639547214128,-8.350080695320775 5.739418425303619 -3.612463654587133,-11.411188519062854 5.044599976361934 0.5199913104439369,22.128904909328984 -0.43035981461099243 11.857057496217282,22.497113322025807 -0.18029754809209816 7.692809285025175,1.5114007671143925 44.30173537048159 -42.322855373590755,26.546369371413938 120.07060333803807 44.5245614386351,21.28409452779072 10.798586559189518 5.902078222315787,2.5791574326169613 -43.190995810135675 35.1673003826599,25.61602293554129 -124.0577227580026 -46.28216571747029
-20.13893133446801 2.867441869773146 -8.242864873100526,-8.022096237462128 5.719881376353154 -3.3673056036757796,-12.011611257070134 5.120431287188522 0.6710742172279882,23.27644280326277 -0.37853041041785207 11.577704277256863,23.397410153954922 -0.12251306856683528 7.8313191136167495,1.5806407670897709 44.54974024694869 -41.95016519425814,26.630700275453872 119.77557435160956 44.3998904849516,22.14996458823069 10.843404242457245 5.9307324624684,3.2552337151325705 -43.54260313904438 35.94551038948926,25.7896107436974 -123.40186053285396 -45.9961276557293
-20.119518403988696 2.5238901952268633 -8.132777658790141,-8.123024388094379 5.557762207988984 -3.32606254735293,-12.795511394016678 5.349467477323111 0.45990405040198956,25.01062445718978 -0.6046658257870706 11.101908536531965,23.930006953334555 -0.00670585449858721 7.937405599724695,1.9096698225797348 45.08711318079412 -42.14812885859551,26.778569167372957 119.1820584961193 44.13801752315911,22.646744645005793 10.97589561395555 6.0160381598776365,3.962162294228567 -43.29732475062933 37.05022781457067,26.054633485381 -122.37036033753093 -45.54696599965585
-19.843762084172756 2.1503977595222925 -8.337076641961495,-8.213346275546543 5.245940923234456 -3.505969449205542,-13.710245347015956 5.610085036305977 -0.060028746269491694,26.93989965082392 -0.9633720470637571 10.827722612124411,24.17826956997808 0.20708444406954066 8.055259136920746,2.728159903542161 45.86111665919704 -42.62264139533541,26.75674717574431 119.28636554750797 44.1802253007552,22.868490602843192 11.222280448702216 6.184299051074455,4.248535877628642 -42.47309968190889 38.17171783756689,26.294800537854986 -121.42669655717025 -45.13958932422639
-19.350403929370497 1.8969608379999205 -8.85463727313809,-8.144193547869158 4.838303201898398 -3.861484296134455,-14.60249148502731 5.813980460258941 -0.7391828598093662,28.676587158642146 -1.3120898613195653 10.89536045867625,24.197476603416288 0.4986866567079993 8.19604869547654,3.969702273995375 46.65217392928759 -43.134678974720224,26.506447454734722 120.3473705003277 44.64412812081207,22.87704097832342 11.541304544204769 6.383481281097056,4.028910588518977 -41.29045256503268 39.055393317543476,26.446224762541604 -120.82634749787991 -44.88561409511039
-18.836737747801344 1.749024333678424 -9.470556021185967,-8.110320475518815 4.460858904605715 -4.272846768545567,-15.199901192442587 5.9122429429363885 -1.314460491620609,29.837579888096794 -1.5116115089818474 11.14020567456732,24.009700400504045 0.7768389067182551 8.331903549189654,5.217845718363125 47.04346194653005 -43.5103376446685,26.17511787073434 121.75211342629287 45.26468210374988,22.696145165005273 11.811942345356455 6.468936095662274,3.650504114380841 -40.20941558069144 39.51186565590534,26.50697322850506 -120.57888735317795 -44.78636184617909
-18.50637764813687 1.682890374110004 -9.960792645766116,-8.321806482150677 4.241501901599917 -4.616903195324801,-15.230150822115563 5.859608150331473 -1.5226605433079883,30.04988408773179 -1.4270881542882017 11.382223062821295,23.63734676926164 0.9478954408308764 8.43309711824741,6.042145337702787 46.619909833122776 -43.58253550231771,25.920428921713256 122.84424908221733 45.757670006611846,22.349435295826165 11.911245361948874 6.294501297201448,3.480673468052424 -39.69509410403234 39.36245920575539,26.47933055902671 -120.6770544510294 -44.835654079645735
-18.441978436359854 1.6902023827490593 -10.238168177433526,-8.79600320038614 4.2108285787313395 -4.80857331215099,-14.71517815391196 5.669320562450964 -1.375896581157919,29.3606333294911 -1.1013496592804906 11.534554740587243,23.198841818592214 0.9916399319023756 8.48690509758845,6.277493084525032 45.52705928771223 -43.31478371283062,25.828094561074952 123.26435869773188 45.963608501786965,21.949365675777265 11.830739281239712 5.877593355123158,3.6800736670196224 -39.83902238036775 38.72486795155519,26.392875027175695 -121.0011662567661 -44.979077859361226
-18.56256411382166 1.7833571152597578 -10.400646247448055,-9.289544791592485 4.267813649883309 -4.814281633997257,-14.074990673818435 5.433773960779535 -1.2587211580188598,28.385299216767425 -0.8175853097181741 11.636390830788091,22.942505586556393 0.9871895956711931 8.503603446176381,6.117722154688719 44.66883507607162 -42.8472565695895,25.886487677714385 123.05469841777618 45.891751270551666,21.72854708528544 11.716807675344622 5.4569139835672,4.129738293570243 -40.2273767106179 38.11770751148514,26.314107092052446 -121.27946002525928 -45.096969873349686
-18.776084062715448 1.9751626395303805 -10.557827533166929,-9.543405521752607 4.3028665832132935 -4.605145929234709,-13.753171611364664 5.250068419551843 -1.576709384699165,27.773029836602717 -0.872330371439458 11.735247059006978,23.1217163821924 1.019554423593095 8.494658411504954,5.7808088728388505 44.98937521286667 -42.33226463378889,26.076790409996647 122.28716449452637 45.56392514669689,21.924194210870347 11.724830588799938 5.283857351217029,4.690883832895172 -40.415288456437395 38.08169980935465,26.31156901330796 -121.23186946165352 -45.06616472655338
-19.022910324182227 2.2147177955091295 -10.72901742792676,-9.469355607558427 4.253055756845388 -4.214521507570452,-13.912479146655583 5.160586535522469 -2.410580828779347,27.773023777579372 -1.3391936943495808 11.841339772192839,23.740133536300014 1.1042516908629783 8.44499596091075,5.404594845805883 46.6156767219895 -41.89789036249196,26.363313204531668 121.10133544987788 45.03769910073486,22.53801245767699 11.890440265141056 5.428916165403117,5.226602162904135 -40.24750040833844 38.77642915109375,26.419060348165697 -120.72782138278076 -44.831271878927495
-19.293670060732165 2.35237211983708 -10.79356363483225,-9.243898989300849 4.127770859351959 -3.77223186778238,-14.280392633187802 5.122898815351885 -3.337528965836779,28.014557905667584 -1.946248183657698 11.90707128041159,24.414351963409462 1.1490849624713977 8.29840462748673,5.002712867807737 48.408168091633286 -41.63466265135802,26.68421538570893 119.74169732379106 44.42604241509575,23.20666784471968 12.063659856351956 5.682185868358824,5.6028920202210575 -40.01765307156248 39.77071653491959,26.616529465086458 -119.86845692858819 -44.4419518156973
-19.58288531867472 2.2315430437463006 -10.620050264904616,-9.06522422910987 3.9431385283818985 -3.4159816626297252,-14.54846107843535 5.087606396450578 -3.8938728968724785,28.075741672949054 -2.393280387470338 11.880515647327675,24.730076130003297 1.05345618781165 7.996048967711726,4.578025661096791 49.12655768908953 -41.62909825038541,26.97564763342193 118.46094172056672 43.84630475366746,23.537639146094357 12.079717747994387 5.811170567962621,5.6873635836214955 -40.055445488443645 40.584634297388654,26.878626611024973 -118.77727569980117 -43.957927609061365
-19.846582448800355 1.8361354225607849 -10.191772279561418,-9.033677647897967 3.7616597239926324 -3.245964638995454,-14.544273353178589 5.034648966411369 -3.8352955699051585,27.728826329025402 -2.5092986128320938 11.76774205955622,24.489291893550533 0.7944604993081072 7.5613406583793115,4.125713402977105 48.27072981895374 -41.89742500488835,27.195422289691248 117.43814392335123 43.38119746635267,23.337474841522482 11.8791866116298 5.720840869659458,5.470035510020303 -40.46072684188745 40.92434937165404,27.120140548891666 -117.79591363635232 -43.53116902704286
-19.972287427227553 1.4000415727286861 -9.69614450674443,-9.075502200167698 3.7283552417015873 -3.2956265327922534,-14.337491668637114 4.99617209332176 -3.3078224246950025,27.091524757333456 -2.353252171455629 11.678017934000465,23.87884259019194 0.48744256807612 7.164044325133499,3.62728572394745 46.65765965390326 -42.33079661250748,27.339897096269183 116.7213841647259 43.05179546672019,22.76695390941773 11.590091844721782 5.560779314363995,5.158743708430944 -40.92434470366103 40.827170898314385,27.149340753396693 -117.65416490635664 -43.47779232576059
-19.841266950847718 1.1820154639287466 -9.341014501453168,-9.099351731495751 3.9958833905831024 -3.5910640594789367,-14.022743816459624 5.009463659690452 -2.4977586488241883,26.317151488661427 -2.0078242937510655 11.730820510186673,23.124945474411966 0.26157097439466204 6.988192066291196,3.062997553741845 45.2371745381126 -42.80746022806108,27.409531044754786 116.34453901713252 42.87251461713123,22.023196624117347 11.359348280069236 5.505165083574965,4.9829906127287416 -41.09643211290983 40.36510148037522,26.764777760171096 -119.1170353788026 -44.1287310863348
-19.45323603470849 1.3067320011592263 -9.24434878445885,-9.06675143683976 4.5885681908153995 -4.089182450662895,-13.696427085643528 5.076478682336401 -1.5976346315277106,25.557616549589902 -1.5602701700055652 11.98238901072259,22.409761868066024 0.1829090885130442 7.096846546191045,2.43592369378455 44.52821208942538 -43.20366190087363,27.423671726635625 116.23804488355019 42.81266294102349,21.277655369994974 11.2698089119435 5.636801155324171,5.056081666770328 -40.84077597795717 39.69262041266918,25.951310913789026 -122.24044378950593 -45.504245360209
-19.050479256139756 1.624286420099029 -9.340047074490897,-9.047501413462829 5.267918683285164 -4.605190135390184,-13.458562507625283 5.1268142256993645 -0.8127293131685608,24.961953691407597 -1.1072078782484605 12.359457922966843,21.825231226966054 0.18828751981991707 7.3053378897281975,1.7958716165364634 44.16729357790552 -43.39154962897369,27.440348577754648 116.12050369754907 42.74917240353767,20.649217421761985 11.27313490029929 5.851361757965768,5.253363232796824 -40.45870361574616 39.13311048605489,25.075340191381883 -125.62817381494861 -46.98836884053424
-18.904499384175036 1.9514210450433893 -9.539473539883804,-9.124469650303363 5.7637484025223005 -4.937283430739689,-13.409446622427565 5.081410847604016 -0.349520604633855,24.678611267016596 -0.7463396862695788 12.772892881795041,21.452065237026066 0.1988060118783202 7.399032229608228,1.1983057199370424 43.68365733871469 -43.24313905879579,27.522228173542995 115.6849890748351 42.54782926014117,20.25009028318397 11.304990310084246 6.02186979685858,5.421279174801181 -40.304233478151474 39.02998772681533,24.549286765998904 -127.70883329445402 -47.88840341019897
-19.151668618632232 2.1797795489129093 -9.754641932553684,-9.327444992926958 5.941453244132036 -4.978170256231895,-13.602318115337916 4.918085036742635 -0.3132030346056717,24.790788883615974 -0.557954593506667 13.130264564001275,21.320434907759886 0.1615579631432727 7.266636443017317,0.6804463733823055 42.820190695199045 -42.733804415404904,27.704217624809292 114.73915454736628 42.120634331799494,20.124358318035114 11.319660020679267 6.094500790098696,5.471786057198795 -40.48432429826144 39.545377006207325,24.590801714893598 -127.64666875298698 -47.839069606736125
-19.60893851002008 2.3780568636506305 -9.899101485326884,-9.560748196745113 5.986917695316094 -4.843964364681563,-13.979180659449073 4.749096190419886 -0.5695582150888951,25.227451641438385 -0.5811802432668678 13.33135504861116,21.34104356815593 0.08508038302850479 7.04113350169001,0.23638884528494214 41.82480288340936 -42.08323817464724,27.955606423301862 113.36149681352441 41.48883009075375,20.15507691096715 11.315444656173934 6.188347865726654,5.471698885603081 -40.521936856288754 40.412868491692876,24.957139990103745 -126.3448240500568 -47.249037784285974
-20.04721798666314 2.640504345917405 -9.8867316139183,-9.71062011226165 6.1322025867021805 -4.683017764923897,-14.465952999099612 4.706039924545823 -0.9498291505755262,25.895233171079365 -0.8491205514292682 13.274971235357992,21.407376878744458 -0.013201888964655696 6.890729044374877,-0.14594749725995576 41.018188122908185 -41.54627529086708,28.23621671736308 111.66964984461299 40.68945876823755,20.202098385173045 11.297017567126268 6.447393318026459,5.510122375619183 -39.855982868652085 41.30429999154002,25.339218097495856 -124.95699919360034 -46.6384871487497
