-21.0 -11.1 -4.9,-13.0 -6.3 -1.3,-14.1 3.3 2.2,31.0 2.9 7.7,13.8 -1.4 0.4,-1.3 32.0 -45.8,26.2 121.7 45.3,13.9 9.5 -1.5,6.2 -34.0 35.6,25.9 -122.7 -45.7
-20.527418906299832 -1.023003895417449 -6.009037473771423,-12.378487397486968 1.791487737333639 -0.6683877073997851,-10.946360860566177 3.168668206703343 2.3651827377984564,24.75493778096871 2.732312417909819 10.048599774520422,15.66344868193841 -1.9625415238065813 4.678953844719336,1.4490764458419587 38.28142043525045 -43.7344607488979,25.44764251813658 124.66907244025873 46.569845054824334,15.174846527436914 8.661919128520353 1.6066948821583806,5.679006536507678 -36.64637358006073 36.97179183496484,26.447602833974457 -120.65407568418857 -44.797935602825994
-20.684712284662144 -0.8647454141643308 -5.509670188622191,-12.96022761531389 2.121155387119612 -0.6611378063557024,-10.66002407102017 3.073560746014904 2.2482637581042506,23.696347354455227 2.479141575020828 10.281580135603868,16.10904864056212 -2.1241890593242254 4.855618733541628,1.7426375991685503 37.53815157936883 -42.748991022774646,25.648952295002314 123.93392197650513 46.23991179717997,15.611868425392995 8.4007517375576 1.3790994077073613,6.032463816790021 -38.47719488235796 36.27615056136608,26.35076239097424 -121.11920719112912 -44.984175148232694
-20.433711902587333 -1.0229692052411925 -5.057349092249978,-13.373816910743034 2.310033507095659 -0.7611755670356954,-10.360667184799569 3.077307715904862 1.6622650437846007,22.528082706245506 1.7945140169834717 10.463056287371764,16.485724993645352 -2.2515221359878734 4.878213673161686,1.7489491978203682 36.96546271621049 -41.95489828136867,25.78115219152492 123.45922708544238 46.02507946547745,15.981349865369205 8.235952230625129 1.2303517050603494,5.931603393619433 -40.58207250324062 35.642848641370975,26.295481654678085 -121.40459597604756 -45.101076673845085
-19.583903719436567 -1.6980854689694986 -4.624806480072766,-13.230086430796687 2.1432183491972463 -0.8503576648941042,-10.293291273908164 3.161431173701614 0.92979959017133,21.83347226847803 0.9737956976052704 10.518085173318884,16.297025709662268 -2.3969093294600428 4.515313300984588,1.0887502652123164 36.55475341216354 -41.75415552851304,25.789636317702318 123.46588546569993 46.036826513433894,15.819042434241533 8.165241604585178 1.1730450696608044,4.994868741390027 -41.94699209222506 35.41225129791668,26.34920394308519 -121.20986620229864 -45.024179797673106
-18.442966131084837 -2.784187397021379 -4.266243345634636,-12.581375679930044 1.557453822917057 -0.8502590761778595,-10.504436105097392 3.2555680136221334 0.3312589951274874,21.785211510499096 0.3230747552664251 10.455977160685613,15.640151076099283 -2.5398236732048365 3.8257444698409406,-0.057132166308917445 36.286774696294515 -42.12356888694844,25.704937868620462 123.82316708437915 46.214549974015384,15.224777381742197 8.17716291694832 1.1267015774460045,3.6000379030418643 -42.22610902528711 35.65805104125742,26.493438326246167 -120.60695722861263 -44.7793872943286
-17.662696240644483 -3.9637844529842114 -4.092133923550199,-11.784989220392927 0.5942321077924371 -0.709889578067548,-10.903557373192642 3.25351625729904 0.11787108033280563,22.272357544368983 0.15584551122644252 10.34423936386197,15.022357522596376 -2.609386734252588 3.068821253611792,-1.1209989494335022 36.13492228548831 -42.746267043231505,25.616398543366035 124.15746050064772 46.37878430478879,14.688015245673837 8.253919705807863 0.9465558013923474,2.6493875106890044 -41.53510656528354 36.269740336809086,26.650336123784044 -119.92497936680348 -44.49646295933349
-17.854043373998138 -4.922059871428529 -4.204090086054477,-11.191331502651712 -0.6852381819863433 -0.38796208249834063,-11.394311135519839 3.0591861336355746 0.5144579412317831,23.169991339360898 0.7523960136078568 10.246919668549321,14.928510995372928 -2.53968708132121 2.4989658880241845,-1.5593549717846718 36.07944946645606 -43.31093599201483,25.607651969736203 124.11980082313978 46.361510935110076,14.675184841428548 8.377096112950822 0.5043483482931058,2.989066413441863 -40.01757062591392 37.13164844349235,26.745342230661695 -119.47973285793795 -44.300191116064596
-18.884481460661902 -5.451504111755813 -4.548121976472354,-10.948654576081925 -1.9448978006582334 0.014067024140712706,-11.832468578232385 2.745234003737047 1.3432733866401578,24.22331078817488 1.8730955065030128 10.156092010118051,15.367263315245722 -2.357857076671046 2.2321598823640154,-1.3259978661562508 36.20978722270276 -43.683981261152155,25.65511296551443 123.82075131394147 46.21001582789611,15.172841113915206 8.520587459730718 -0.05094255476323639,4.42761271891404 -38.10888036871495 38.10475474647473,26.773653392790607 -119.29977128752678 -44.2055204962433
-20.033513228125006 -5.429470640641715 -4.947183432524138,-11.045339980768672 -2.6313242151062113 0.2818538911728263,-12.035931543858036 2.517767674006257 2.1082035153676864,25.074796855649076 2.867139864103946 10.006910336676619,15.970656406989878 -2.164611976357769 2.2749000733471343,-0.7680050087823369 36.70170879187132 -43.87235636175351,25.650403263317198 123.73428917199661 46.141856707601875,15.788034833690425 8.652208429171203 -0.35108766357494575,5.952978893424981 -36.47517716674058 39.03157258160327,26.785629014922428 -119.1864816634496 -44.1405372868899
-20.5982095072345 -4.757457909532606 -5.22769626071967,-11.46187489656989 -2.227191772875369 0.2101087027163604,-11.84012663926543 2.574672084895981 2.3284227733540956,25.392604932098955 3.105952431636892 9.739276763194061,16.374813387845865 -2.0577769087131346 2.622286823630732,-0.23634330664903475 37.72185743000835 -43.88615219992044,25.490478841321462 124.31209005872522 46.364954979315215,16.134455105840566 8.741535159219634 -0.046972185366335774,6.577794742218396 -35.754774006539485 39.7540055225366,26.82954258004764 -118.94970034153503 -44.03664048775619
