-21.0 -11.1 -4.9,-13.0 -6.3 -1.3,-14.1 3.3 2.2,31.0 2.9 7.7,13.8 -1.4 0.4,-1.3 32.0 -45.8,26.2 121.7 45.3,13.9 9.5 -1.5,6.2 -34.0 35.6,25.9 -122.7 -45.7
-16.815220358058454 -8.53930047633537 -3.4126484410278177,-8.065448087888921 -5.878676923366754 2.129632394241087,-9.954694246203447 1.4820488037507427 3.5473134990709747,23.396090655973328 5.2111995599533145 10.24871584979804,12.436352216953432 -2.567577713971436 0.9750629096778765,-1.2900280152226105 32.990141655337645 -42.62410499179837,25.58699923072123 124.0077408698113 46.30874580991822,12.705893401220271 7.632347203239859 -3.7283470665300285,3.7995741298806007 -33.116662137435796 37.93728113031206,26.783086621982026 -119.24034609360804 -44.16728519652242
-17.390257420354263 -7.821405400259974 -3.818427873269113,-8.692583981779515 -5.312897164143096 1.863291945601199,-10.704740309427674 1.495894009433587 3.482461111564648,25.11296880623012 5.1904666964738375 9.95949266400921,12.173523959880914 -2.4943611313615364 0.9452041641075501,-1.6373784516100323 34.79336245201761 -43.55887233351049,25.737271205639143 123.3402706208715 46.0304493591088,12.37267096583596 7.825954439732584 -3.1709380457020298,3.2588436463856625 -31.447375287683403 37.423945117061365,26.581165325974798 -120.07992849898164 -44.534033440996566
-18.19069643003526 -9.072322664111686 -3.626133674932052,-9.493225439251004 -6.2330962041010265 1.5983212817577248,-11.51665391357013 1.4000601426567236 3.3001521052647877,26.541359625264995 5.090786333685144 9.624830250594703,12.00439154424099 -2.4864894276024203 0.06064987915564678,-1.8431100629601533 32.44375006290861 -43.445344283519894,26.158504382454545 121.56104609977388 45.24079521280524,12.278561322121115 8.019142380772317 -3.3944035822174747,3.2120777606331883 -30.996301036967033 36.74899160140386,26.506253157451653 -120.41884400595868 -44.6687388876341
-18.93614273076489 -11.356707575939517 -3.0907562198875094,-10.302973161650076 -7.93958240830143 1.4964836151003167,-12.107966271307456 1.216464196888593 3.1804031933366694,27.35152180679839 5.077014127741293 9.284789726035731,11.761220943469805 -2.5050931245897856 -1.183114751963121,-1.9435707185227569 27.91257448209233 -42.869068381812866,26.583085854489347 119.78379510426835 44.437154222268845,12.19926942640652 8.160053297749934 -4.175888836245302,3.4061578919968643 -31.72869552904815 36.017552830790144,26.50415076608997 -120.4635726545383 -44.676795042100196
-19.30814936602124 -13.422827457372666 -2.568341735765471,-10.938544824842202 -9.492743510746465 1.7343471548894478,-12.180419852331049 0.9808425636511277 3.3250854456439463,27.253716987384024 5.33348801956131 8.978521959699407,11.246268410992139 -2.497260266050588 -2.150162681237519,-2.0048167479026944 23.866358631286175 -42.60882798149557,26.689638888842552 119.34382584154798 44.21733660970616,11.858213188092392 8.198138152340508 -5.177146023783689,3.4953113469549555 -33.46508575907184 35.354212968441665,26.497580055108507 -120.51041035298836 -44.706408241056224
-19.111825386636912 -14.435675040110825 -2.301613193853118,-11.247256584152877 -10.260478935972829 2.3971321183897922,-11.611148099043978 0.7323240503429214 3.8527726864717398,26.179685344246554 5.947922859855318 8.716594372718772,10.35531785100087 -2.427682315560979 -2.430351190082056,-2.075225047495165 22.030488350685907 -43.134458796642136,26.30709848826877 120.95171752545454 44.90367221173111,11.093604643473503 8.113225923858062 -6.12846766053006,3.2852020706625726 -35.88964260785815 34.83943554022338,26.418297715263424 -120.82201327114859 -44.88056048739325
-18.545178928145106 -14.88539944196472 -2.172933882038036,-11.173725526124862 -10.588552838308253 3.279578776056051,-10.835014944811656 0.520825099228743 4.617159579256382,24.765452647627317 6.700779125249468 8.418681107225575,9.281564270295592 -2.3170283268963976 -2.331515246877104,-2.14695320655824 21.137602257385815 -43.93336560012737,25.74238000324787 123.33145677162906 45.942483346830514,10.108692773235854 7.9817454703349355 -6.978099412283892,3.0630514654979484 -38.252934465674656 34.41338366569102,26.2267904022063 -121.55406566611194 -45.24202224380492
-17.88413879303566 -15.52495675364007 -1.9931998754569331,-10.681866961832048 -11.016661006181122 4.1188190954561525,-10.397493066543294 0.39840130554160913 5.419409425736593,23.786717911752636 7.311582497064755 7.986430515072148,8.277185567792197 -2.197069012350531 -2.3038801680462795,-2.2010095944437342 19.326814920917833 -44.29811684921312,25.397192090147428 124.8130480079813 46.606361916298425,9.179121192694664 7.8992832685961245 -7.717512302890626,3.2115832907654642 -39.71954037915031 33.98839576650778,25.889243077819298 -122.84103482919188 -45.817655456193414
-17.35434209757402 -16.864331519231964 -1.629923224916705,-9.804793824592169 -11.908771633996352 4.712250099616385,-10.665531158165237 0.3980612361900304 6.100608479600548,23.780251774154745 7.578352899914383 7.3573002808952115,7.532322559675063 -2.095717587370421 -2.66296181139143,-2.246384320607495 15.41425666121944 -43.75520431504741,25.55597002197196 124.20544096665104 46.37257481391712,8.51157690004396 7.930152112679242 -8.334514300330364,3.972130880174224 -39.747486370758836 33.495241263009355,25.4009473745804 -124.70018120916001 -46.594914230713734
-16.995142553421232 -18.513527186105723 -1.1603249310451709,-8.831931166680278 -12.977947429483187 5.080494170509407,-11.344814435477327 0.48226212941847907 6.649719989112074,24.397819918096022 7.589857616077728 6.6013879932297685,7.007327008498719 -2.026598869065487 -3.225304167425829,-2.395713528366261 10.723764507317476 -42.69758567196177,26.06876146688659 122.09162734554461 45.476517310154485,8.057327471865472 8.022825210767536 -8.803345195234693,5.062309000097311 -38.88174355937249 32.932959093631204,24.86500776844812 -126.71462412111708 -47.415283685257826
-16.802772342666067 -19.874216451179485 -0.7101701506201284,-8.112036059993953 -13.78657723732855 5.295846671592842,-11.98795654739652 0.5971297568450373 7.089938282905199,25.08632400586939 7.502167136127351 5.8194951863034134,6.609358308487717 -2.000030146465747 -3.6919474855930954,-2.785625704979965 7.159668148033894 -41.71879113131443,26.685060541398546 119.46526023911966 44.329078865549825,7.708515109800695 8.098960821330053 -9.095103969412113,6.0785002237509955 -37.91889289039257 32.31639146199968,24.40948562688873 -128.3669863825083 -48.0864595292764
-16.763133192964784 -20.481561001378633 -0.3797618315838943,-7.8999079320905015 -14.001395761294935 5.428425155528628,-12.245536906361144 0.6962443029784497 7.434439924514423,25.407320306059383 7.439871567980542 5.0987255185319,6.275007867455135 -2.0232459271225296 -3.83380239011671,-3.4926863834371975 6.145304291108374 -41.28856593157601,27.19436052676446 117.17618620094089 43.28634184342513,7.391416221685982 8.096565185057427 -9.194714601794557,6.699892203736791 -37.505649610200464 31.67547908194568,24.134062113276954 -129.26400207880238 -48.462550035464055
-16.81749965288481 -20.44738999768202 -0.15940712632901155,-8.044452680081067 -13.739907937040277 5.538939113306718,-12.191343381106385 0.765388738879194 7.653125104679009,25.417668723866402 7.391566936843561 4.467008334075603,6.068012297709779 -2.09016321720911 -3.7236169266681047,-4.333991367260644 7.026137848088396 -41.341908830349865,27.558949608892053 115.45301287427212 42.46762398471045,7.179765717097368 8.024267218061533 -9.146824544909286,6.963387457120339 -37.64131471703309 31.105387670059876,24.015816964414963 -129.5485613591911 -48.59816402422922
-16.895098090466778 -20.039217857747747 -0.009717176229000826,-8.284995478537033 -13.241314967852624 5.685558103352524,-12.0134191436608 0.7990399524934233 7.704210516264808,25.307948296001193 7.309134393881134 3.936297447490438,6.0864341180630515 -2.191103643041816 -3.51562741370652,-5.056586364814262 8.586662254771559 -41.66945090910367,27.787766114877645 114.35662951429211 41.92832272501576,7.187108475352205 7.909762126552138 -9.012205039662163,7.00246223366043 -38.15040415892907 30.718892001451792,23.998730712755787 -129.50830259980202 -48.60204026198839
-16.936044208539176 -19.513481695613375 0.09659767666563797,-8.40294038190077 -12.73399886899876 5.900997142555466,-11.873964993419042 0.7940512770603408 7.567490072682411,25.238479397927332 7.163840851935051 3.536258703660768,6.384538207396118 -2.3103053629285237 -3.346466317023593,-5.439119625994033 9.762508502955912 -42.071410943496566,27.886273320604662 113.94110922996703 41.716722112877946,7.480549871923265 7.783936908136637 -8.85157646104899,6.935397557275928 -38.84034358632454 30.60827711761189,24.032870576448843 -129.39044792364064 -48.567309957167424
-16.935361357127018 -19.07075187597686 0.12581761195675736,-8.391872115700446 -12.391779066584066 6.089623403711438,-11.80486914382681 0.759257981102176 7.33155624828241,25.217000274789633 7.024703883679578 3.3858676091065516,6.795748292880279 -2.4013324800556854 -3.2639967373353813,-5.419592688675214 10.251424425418858 -42.396362590567094,27.842408765501336 114.22616966311129 41.84524379007812,7.893032772392763 7.693770853587045 -8.725401435272541,6.803848785697321 -39.43239894700658 30.762512408131588,24.098996944303416 -129.2384193838051 -48.508402916271606
-16.905339838317584 -18.89403020010329 0.025036998311678438,-8.312100418522313 -12.371316545958468 6.115442175900477,-11.797040067081067 0.7072633238074596 7.119215686699871,25.203266268361702 6.991480968588133 3.632185114268504,7.084039604534881 -2.4081029469116366 -3.288166239915836,-4.986119337842339 9.990822740084514 -42.50808579393479,27.638598624610804 115.2207246015285 42.31503165313045,8.183862342687226 7.691303839383073 -8.694061533595518,6.625374602104876 -39.62074132071928 31.138077318128143,24.187522367140495 -129.03154949000478 -48.41499950918722
-16.859302250017283 -19.11269581198678 -0.23379058625450813,-8.219432374957114 -12.772329404483775 5.8831303611613395,-11.839627621850067 0.6513192101221177 7.03206892310479,25.165197189056055 7.135158071665403 4.35375031772903,7.0628984170419 -2.29257380166059 -3.424865193452083,-4.175312921168134 9.002979039128844 -42.31272211242844,27.279978681220545 116.8450725546148 43.08549322992035,8.162722967257018 7.810778168626156 -8.798878462241898,6.421082854287701 -39.18982261585088 31.66803680799285,24.286346923073875 -128.76379288264997 -48.28446003112235
-16.816622137566043 -19.539918327409392 -0.53205950071481,-8.142976398675003 -13.358743789765095 5.537318431821129,-11.91149819607818 0.608494916438347 7.046576770766695,25.1189672564052 7.3569708427362634 5.224924377392439,6.837959003522831 -2.123110950585546 -3.597139711535363,-3.3097120786477827 7.810144075718302 -41.966214100498824,26.90562976634933 118.49691392073608 43.86991407856906,7.936576226303917 7.981461499937084 -8.968765803105153,6.233064965695774 -38.456597248338404 32.147435474789106,24.36853224506305 -128.51547827155298 -48.159491514125364
-16.79888364260175 -19.87334634331766 -0.697587616865303,-8.102087061696457 -13.771810772625333 5.310299243657839,-11.987761311109654 0.5972543217754104 7.093482672411343,25.098379502508987 7.496139945966844 5.772409878817006,6.6215862426610475 -2.0069547163342847 -3.697770365768146,-2.8163127108363266 7.117224831997294 -41.715764261920754,26.70356693658908 119.38302801321343 44.29166386862303,7.720988158358212 8.094271041363966 -9.091571009801497,6.1110783022093 -37.93255909835451 32.32089485248719,24.40171902789449 -128.3984894577177 -48.099367541133454
-16.822438113025832 -19.85314707392939 -0.5917056263907903,-8.113313801241205 -13.70618071616001 5.394470881328235,-12.04026384592978 0.6302913659445727 7.112400293039605,25.129286086851536 7.421662637299105 5.600734334986084,6.598815943680244 -2.0343965248451616 -3.6398119259581088,-3.0453398228791477 7.49720644055634 -41.76961664805676,26.825524925306443 118.86241869532523 44.04619792183229,7.703153716713926 8.058293775244497 -9.07200993668115,6.101755018779468 -38.04844854465296 32.00011795923942,24.36154414414838 -128.5004147609126 -48.150651597671164
-16.867389891253623 -19.51500655380651 -0.3082867517682739,-8.173886960316795 -13.227418215214222 5.705161052349286,-12.018305175477524 0.6803428904611211 7.104815244939871,25.182318506199824 7.209300603693917 4.854683115965183,6.764405730950544 -2.17800053271553 -3.4769781189751945,-3.814498622243285 8.607968458446749 -42.06538991057939,27.171585116176303 117.34982686314619 43.32890881387051,7.872757087970248 7.9087902181844845 -8.931990863311068,6.230014424858411 -38.67399578963439 31.461699781666308,24.279054014613152 -128.74033272588136 -48.27175126133789
-16.898509062211787 -19.019629743160813 -0.0395810881683425,-8.272863959474853 -12.558002739657244 6.040483133052216,-11.861645976856353 0.7032419284966489 7.098388002525199,25.204747214127224 7.022287006851037 3.9075971091560047,7.032616243176944 -2.360526499260798 -3.3224882953057424,-4.716212376939154 9.720255992951323 -42.42621491089643,27.53536720837558 115.70662185237212 42.54668704905467,8.13592573693203 7.734398467551852 -8.743000201296764,6.511590233481982 -39.44159627155583 31.1789073639361,24.20873601107882 -128.9660340145498 -48.38377984574777
-16.887450267655645 -18.517230154620307 0.04494542826356163,-8.398763052964725 -11.906863088379497 6.21717972850544,-11.525150150184567 0.6621248096814932 7.1188087882999564,25.15000955827679 7.004779953429998 3.1093488679245174,7.324315408389038 -2.5113615919656276 -3.274112978393936,-5.374871986659137 10.190881047075633 -42.69925929103773,27.732609532608752 114.7080869142971 42.06605612949845,8.40662730829361 7.614555810049483 -8.570849577927161,6.946043507569865 -40.018037822565084 31.5502281828248,24.198133146800473 -129.04234930826024 -48.41716941316275
-16.862541946611405 -18.068688226309888 -0.03522319679651984,-8.535937699273191 -11.367679235013503 6.20755995337839,-11.087308061661043 0.5802673241674777 7.174912708154757,25.022589841366383 7.142598199516681 2.611473307282266,7.6166826705794985 -2.615472858853696 -3.301715095128829,-5.68252419445551 10.090864786279461 -42.93134108853889,27.762801001722664 114.41340273731697 41.91768842337498,8.665299296581738 7.551998369012654 -8.433557423855738,7.401121412893238 -40.3579189846158 32.3576839426357,24.237389595085023 -128.97535608845217 -48.37954690130826
-16.87978672734447 -17.69126246650044 -0.16833745406238726,-8.666707659629648 -10.977854391207202 6.059897075675757,-10.686977696773234 0.510311757583315 7.267304403298507,24.85189893117313 7.344242351314794 2.468655764457368,7.914394758626618 -2.684967370428131 -3.3126994488459323,-5.661913858149653 9.839981423637106 -43.266768946699905,27.715157150528675 114.53207240228072 41.96825797362734,8.924836862679447 7.512008583497224 -8.32580443639669,7.68020551930943 -40.556378168733104 33.08227204246567,24.28862129687586 -128.84010358124354 -48.316234015064
-16.986735836745527 -17.382837299624388 -0.258285553154773,-8.770393617082235 -10.75184220575761 5.8191082104372365,-10.448945612222476 0.5045581071983954 7.394651703577989,24.670770479235948 7.520349249322176 2.713423815465634,8.224818199373006 -2.730515246008555 -3.2148948341926573,-5.342847663903806 9.83907923762937 -43.83237092640489,27.66715844247039 114.8109272260476 42.10094710809188,9.19881602810558 7.464921264281783 -8.228961063889962,7.608265270001162 -40.69478157431734 33.2679656836085,24.31822215504724 -128.70343392527363 -48.267534021777124
-17.147136381858722 -16.956215373248597 -0.36671609952770023,-8.797355951872333 -10.485160197645385 5.492563437768442,-10.357527453901946 0.6100571084521271 7.537374114601761,24.54360521541439 7.60735734136365 3.1697148818193717,8.579607107217566 -2.7470643175622294 -2.9243453071297267,-4.815054620624908 10.282501649389006 -44.578994011115704,27.57655103818274 115.38188369908138 42.36985515221079,9.505286034873306 7.432543865967877 -7.996808633411124,7.223920165090737 -40.711661594578636 33.089433231369405,24.335927166288037 -128.5480428572925 -48.22259090453109
-17.277639407899372 -16.120187469859697 -0.6439355518518091,-8.681679994589057 -9.850288623181116 5.066532234582908,-10.318097322674738 0.8709095277352166 7.665635987361035,24.552543869404087 7.556205007918649 3.5442433316610757,9.02406468358877 -2.7207268392997013 -2.36171171877616,-4.201938757279545 11.248540917559067 -45.35858771101761,27.333793068327473 116.59326766234857 42.92513300384982,9.864809975977794 7.4656103305471415 -7.411426207818262,6.6858563113277105 -40.465281182753294 33.07577978392306,24.37582806342086 -128.30933769728384 -48.14179826016076
-17.30396277579682 -14.623492391876681 -1.2188164561721322,-8.372377792448702 -8.563299451814675 4.532260288121692,-10.240382324782193 1.3187358958682867 7.747468610917226,24.763348308134628 7.326266492967068 3.577028215662899,9.60052623167912 -2.641406168935934 -1.4666620481236359,-3.618494848629084 12.804586330878715 -46.03185317487544,26.845132831142354 118.73514643476719 43.891472533449544,10.298504968470445 7.606382922225745 -6.290639633925668,6.158733354115848 -39.828880781601946 33.716745484329024,24.470897996445153 -127.9230764479907 -47.98657960521625
-17.26331511520019 -12.692712337014708 -1.9595995763767884,-7.994088669862819 -6.862925769906476 3.941569821492001,-10.09491958323115 1.8404554058042844 7.727432315335442,25.049082519495215 6.973108261633996 3.410411253152358,10.315060551221858 -2.544219591685898 -0.39922523158928536,-3.0776062558156445 14.906284373773802 -46.574015775303224,26.209078972629968 121.39235251487702 45.085185937956304,10.833603643998694 7.794900753868415 -4.877101486785435,5.861129949297662 -38.86019216199677 34.99862785101555,24.6379575147572 -127.33520770478971 -47.73404840195606
-17.264834583964944 -10.862715564470344 -2.5663761394784688,-7.784759872014105 -5.3251013844043795 3.3853646938437216,-9.891478489909437 2.2296315486460445 7.534944876489645,25.158489279090972 6.614356276557574 3.4462971754926954,11.15033869778297 -2.4934546685710224 0.5384014347804327,-2.5262780086140926 17.437189398855146 -47.03418748094687,25.648179072834754 123.6947281945224 46.12363078625575,11.501284127497737 7.905252518119612 -3.6875461016030875,6.046411211063249 -37.73597375810774 36.58292270910041,24.88340613510615 -126.49825463895046 -47.37144065825715
-17.408070988145596 -9.646440043671465 -2.757353174165751,-7.961546003204738 -4.499302257770135 2.9527282195249915,-9.648730220980788 2.292343118435559 7.105887963989479,24.869472787258925 6.360651236399496 4.06038234290481,12.079652946051297 -2.5492320705723057 1.0567028271833632,-1.921036606926114 20.264236461370817 -47.44970420980059,25.373141111338175 124.81964890837389 46.64481140392783,12.321821144323124 7.820805590106132 -3.2087759311568935,6.925294561632893 -36.62958495392487 38.129961522701734,25.210105596150914 -125.37739851788959 -46.89097825178866
-17.640605560249497 -9.17548721515424 -2.5454323464570576,-8.422072723961033 -4.483095018666821 2.697919779938796,-9.501541650639288 2.0329028767751924 6.470761319525123,24.399950600445997 6.209654748047915 5.19819752743238,12.949662079200575 -2.7061206499503654 1.0782097489623346,-1.3680140925037427 23.037156874189737 -47.67465372822428,25.398753955755577 124.72096267942497 46.62431555061408,13.16095712447982 7.571129447355712 -3.441562444733809,8.099513606339936 -35.63855244270707 39.35993521102881,25.57352464522852 -124.11460278463089 -46.352746693264656
-17.79768119448461 -9.299566605958185 -2.1613597430338976,-8.827763236995228 -5.039985493343109 2.6494561791328137,-9.670673935887507 1.6021622675121399 5.7300083365728565,24.293107322759905 6.075511917997696 6.487286128852248,13.513414763011207 -2.910231987730956 0.6822017742264812,-1.0839340430959248 25.245120414846784 -47.42766294793836,25.594978980980287 123.92650225837409 46.28727969944778,13.770201003059569 7.293869209986097 -4.027392874274883,8.720628415006729 -34.80434581151907 40.03728405063827,25.894098142288197 -122.98251195253454 -45.86699770598683
-17.721640115014935 -9.858983787428782 -1.8311928845585506,-8.851632648741992 -5.9258412541970324 2.8302317874041747,-10.36169449836981 1.151452542171411 4.985830282997336,25.06537763165964 5.874308749669385 7.557660382057252,13.538712455799557 -3.108411643120129 -0.04344953704303276,-1.2714571929135876 26.39779256020563 -46.45323617530342,25.832776202147034 122.96012686286348 45.857481617091956,13.913536966432778 7.122776365516007 -4.610190214146319,7.9892508157495845 -34.15766187978801 39.94884516830762,26.094431950562758 -122.24733869346738 -45.54150516356765
-17.423367281357653 -10.645635952371071 -1.6113616046947705,-8.463319975746696 -6.89987641073116 3.176229108714728,-11.482194360254429 0.780924337089363 4.342474578669684,26.637927290598327 5.589645957313458 8.211176001695215,13.086829654689755 -3.2798871856027745 -0.9257214127402398,-1.8448250938479531 26.424940262434 -44.99898283191536,26.05919351649117 122.0438701712807 45.43386302422712,13.617354910234184 7.080302498152949 -5.021913240309092,6.138164766618839 -33.56540502527699 39.25133324650277,26.148949179205438 -122.01086521306138 -45.42076893452381
-17.056308213457292 -11.410474443508626 -1.414817478777221,-7.883361259412531 -7.724135714801931 3.5499169215811417,-12.687723526252592 0.5474375637365027 3.905919365204329,28.428418486872204 5.262231047667344 8.39504117179405,12.46727274170485 -3.4312762559323153 -1.7195665909695301,-2.4743221780525766 25.61167003568191 -43.738059883923064,26.285637163903797 121.14446907964403 45.0097740440111,13.12999855619288 7.09475703546803 -5.253569330542382,4.2732089852927135 -32.755937064253104 38.41432101830763,26.075902151383037 -122.2357914873371 -45.495769062812315
-16.774855887671063 -11.912984460020258 -1.1535578836974774,-7.337448666112812 -8.171140159260304 3.815618930180106,-13.634853437716012 0.5029549694514175 3.7770060062284863,29.85362389471244 4.935090210989132 8.068829184794549,11.990091709478857 -3.5695059396783964 -2.1869151041845756,-2.8351241902514897 24.264830246484784 -43.328516069076,26.523232348520484 120.22876001120318 44.57876350990802,12.702267238967183 7.09340022786953 -5.30417454955699,3.4827990757296514 -31.48194781651442 37.89900950862771,25.896897899079253 -122.87227725669088 -45.75212460653096
-16.656611039844044 -12.125553806059784 -0.816852831967767,-6.99173283045301 -8.238523285282277 3.928047188341153,-14.1743605015304 0.6228606340902538 3.9440681255167465,30.654779429994832 4.662514298569268 7.360862696526606,11.807650364866843 -3.6895105677801343 -2.290082530765685,-2.8749623787564285 22.919877077389373 -43.81044829191445,26.73307622252565 119.44002709391837 44.21077399780346,12.486651728241807 7.04502486764883 -5.23772999730162,3.8817172715291663 -30.117955506995436 37.771577242486,25.676325826055752 -123.69365679267372 -46.09580722821848
-16.704908112209534 -12.226469830661276 -0.46870322306084067,-6.954781370175524 -8.141626497469954 3.9293289323345344,-14.344838056279546 0.8084788918145469 4.286632352989032,30.88691159745541 4.509688291340553 6.562663010035935,11.919813141174194 -3.774626197305946 -2.18517866176481,-2.805158257249059 22.333354871316597 -44.62632807221357,26.827883471721066 119.09219822076773 44.049628987004226,12.540567917617778 6.958590148407672 -5.181084239499677,4.643138408576459 -29.639852804246452 37.71617382162027,25.519950456303576 -124.30225526357661 -46.35576105710365
-16.91673919743048 -12.392977780878859 -0.1759801887137522,-7.325552444420171 -8.096797471376671 3.8647525498781015,-14.193506931316287 0.9603367024054 4.677197450236725,30.618318125935545 4.536515268828733 5.968166516963053,12.317259195821228 -3.8086499347952056 -2.032044854009119,-2.839646552480522 23.240302697201564 -45.205001547566006,26.72202214085208 119.49337148870774 44.23618992726039,12.912780060915612 6.8450529939716445 -5.257271594228449,4.922552940385634 -31.004946595692914 37.41127935014626,25.530602207543936 -124.31028214460652 -46.36495980217519
-17.197384201186555 -12.539634085661316 -0.00037224710878795697,-8.001673459158448 -8.101140458797156 3.7680972013519836,-13.79380498875501 1.0409130695770026 4.916739056612105,29.92937614321425 4.643932569349525 5.753053804417842,12.908872153553073 -3.801343110006507 -1.874068675461922,-2.9656265971197664 25.527878827111387 -45.27565447861421,26.430679112645933 120.59610274303252 44.74522840698963,13.519871513594014 6.7252141320959025 -5.412110206443927,4.453670891129662 -33.971938787632716 36.81175123901042,25.68270170112728 -123.79843539338759 -46.155668984060114
-17.350727136692804 -12.29056957155502 0.0021619188746637708,-8.658182957642977 -7.909366815333952 3.660417583617632,-13.248155327264442 1.0811804327713863 4.727157706513156,28.913817615462168 4.557126916916715 5.962263262274358,13.513103480554193 -3.7911727860590507 -1.625887783729622,-2.91962179523244 28.14583470715146 -44.899524506162905,26.080505366267506 121.95986458566337 45.36788905866108,14.132288017376524 6.630757481935954 -5.395490148466902,3.6094748978800215 -36.97436801448498 36.17800633029742,25.808701229739206 -123.36536820715335 -45.98048875683618
-17.18115467915496 -11.270125530376232 -0.2203082766983325,-8.9655589968898 -7.272982742263015 3.5623547983240917,-12.660774296502083 1.114597001549175 3.8383468793016857,27.669573867663388 4.001937750891011 6.628339061033493,13.946006861162315 -3.8174482146628494 -1.2003428939928744,-2.4351315209950046 30.01093485437271 -44.15746114818515,25.802675176252134 123.1266825346047 45.88745219430474,14.516704443497202 6.592924843170694 -4.95602983484846,2.790644050709505 -38.411152205194846 35.780999957897706,25.73840125522602 -123.61978887031856 -46.096311814410704
-16.703609035844835 -9.66071648185207 -0.5830671841031,-8.849092993814809 -6.2854678649143265 3.503517830443979,-12.146617126555261 1.135849794513549 2.4227428449904447,26.423044245446338 3.061159513682205 7.577723567863362,14.107203817007722 -3.895920340349989 -0.68845805543886,-1.6099577728838341 30.60841610685508 -43.21922981314344,25.682772714422736 123.74459503017964 46.147194607830016,14.578646208726667 6.606144076733156 -4.167071221064552,2.200628020509153 -37.92466594318793 35.698550063061994,25.47352984754495 -124.55706937586237 -46.49967742884161
-16.199274803321924 -8.350427075287891 -0.8286132860949009,-8.556281709911893 -5.472718951020349 3.5248553370045648,-11.834218102670116 1.0906005949069748 1.2123665531720165,25.56307280642494 2.2689476352146056 8.376248393152713,14.0019853833642 -4.012551196722134 -0.40656584328418566,-1.0025544266527415 30.142334834559414 -42.36702790735519,25.748734567877577 123.59569129473793 46.06625719668078,14.399211894001825 6.618292706385903 -3.512561344041413,1.7934846370461888 -36.729604745070866 35.764257014732955,25.233213388247414 -125.39703277693673 -46.857914252963404
-15.962333228900157 -8.257069195178435 -0.6929115547665465,-8.352107949488149 -5.379440232892405 3.6670937934104875,-11.848984174240178 0.9226645886027105 0.9638311050423591,25.47964459731601 2.180293118954148 8.580506155649475,13.643229126601584 -4.15121009764197 -0.6786215301414982,-1.190487133989869 28.866573288636797 -41.8864833930355,26.023332362761938 122.47837396907659 45.57179504616725,14.07017090149378 6.57499789329714 -3.494893770186951,1.5086467599032907 -36.12410348402066 35.79833765549514,25.246959298632355 -125.32242777922139 -46.822646637309134
-16.081760675409008 -9.51735105908648 -0.1406388900252077,-8.341543202923184 -6.101413702186464 3.923235064866458,-12.115378094207383 0.6411112658730325 1.8655551071195573,26.096368631810904 2.942113890342418 8.122981052649498,13.084401868835418 -4.2866343228012775 -1.4852745422621112,-2.2266646604247837 27.22158359734963 -41.8731509657504,26.45562432048898 120.57870837007744 44.74913635320264,13.653517015892863 6.458870694340498 -4.219722306419906,1.3545945090515772 -36.53046438588284 35.73576373646856,25.565093233838603 -124.15316142887337 -46.317637246264255
-16.349451367346706 -11.137150357740463 0.5324137182836693,-8.39790510197528 -7.084501249809369 4.2171884641028985,-12.266948821151182 0.34948100804569177 3.2833625386493406,26.661665369947702 4.110546505656856 7.480348391793233,12.43773288766819 -4.380340393304039 -2.310158675909355,-3.404432030975686 25.917921488977925 -42.14740974404404,26.887951242189615 118.64399234596243 43.91260194486869,13.168136840822374 6.306065018683757 -5.218327023837922,1.4397700877899977 -37.10301676083263 35.6776416195424,25.978533270210978 -122.63157672049327 -45.6606327003187
-16.535550702392065 -12.043080737339356 1.0068421869376287,-8.377363966107554 -7.728930246019428 4.468103927159517,-11.918682969382651 0.15752450665494747 4.523210968170756,26.37916498657885 5.198809002111924 7.1682256581999235,11.819514266790279 -4.393231622090347 -2.6033197798415046,-3.964201429911109 25.679174754972877 -42.508504235230994,27.15554799851551 117.45945963894545 43.39196783545675,12.629948723824716 6.156726158330562 -5.981284841135445,1.8781225674924418 -36.90622587382642 35.73691177500094,26.259665861335538 -121.56600297729914 -45.197571884347404
-16.51950546112316 -11.834083071289163 1.1306996071016948,-8.207612700485903 -7.815567075529388 4.642291103618889,-10.991606510957642 0.08888241727635193 5.219477651755211,25.038470605046864 5.961597778069203 7.436740258054623,11.307021382070623 -4.316882425310698 -2.2012356011321406,-3.620372439425555 26.63899051539067 -42.78491730734642,27.184332516751837 117.3745809999759 43.337514481012796,12.084377307603248 6.036510926745442 -6.308412902185043,2.6150325037333544 -35.686587790319635 35.94150242154514,26.309725919827766 -121.31307800827352 -45.08210191268011
-16.362235108802878 -11.22536065961498 1.03006760169182,-7.935092896695374 -7.757251681085472 4.784358742293447,-9.914861439852352 0.024227218969939332 5.551813846762536,23.402074083443168 6.5545348682204185 8.095227394338725,10.912750312647335 -4.19379033915485 -1.5819753486917174,-2.8743041780596728 27.951539559768538 -42.85367617136965,27.05078347013403 118.01533148568134 43.601506521316225,11.625836428373109 5.947020969674558 -6.5129587612258915,3.3160067642706332 -34.322971809493104 36.17819624872785,26.24387498171216 -121.47949785987586 -45.14860857908495
