-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
-19.0 -12.8 1.2,-12.3 -7.5 3.7,-13.7 0.5 4.8,30.3 4.4 3.5,12.3 -4.5 -3.7,-3.6 17.6 -43.6,26.9 118.6 43.9,13.2 6.6 -4.9,6.0 -35.3 36.3,26.1 -122.2 -45.5
-18.0 -10.9 1.5,-11.7 -5.4 4.0,-11.3 0.5 4.4,26.1 4.2 3.5,11.9 -4.8 -2.9,-1.6 13.7 -43.7,26.5 120.5 44.7,12.6 6.2 -4.5,4.7 -35.6 35.6,26.3 -121.1 -45.0
-19.0 -12.8 1.2,-12.3 -7.5 3.7,-13.7 0.5 4.8,30.3 4.4 3.5,12.3 -4.5 -3.7,-3.6 17.6 -43.6,26.9 118.6 43.9,13.2 6.6 -4.9,6.0 -35.3 36.3,26.1 -122.2 -45.5
-18.9 -11.9 0.2,-12.9 -6.1 2.3,-12.6 1.1 4.2,27.7 4.0 4.6,11.7 -4.0 -2.7,-2.8 17.5 -44.3,27.2 117.4 43.3,12.3 7.1 -4.1,4.1 -37.7 33.4,25.5 -124.5 -46.5
-19.6 -9.7 -3.0,-11.6 -4.3 0.5,-11.2 1.9 5.0,25.0 5.3 7.6,13.2 -2.6 0.2,0.7 13.9 -47.7,26.6 119.9 44.5,13.5 8.0 -3.3,6.8 -38.8 33.4,25.6 -124.1 -46.3
-18.9 -7.1 -5.4,-10.5 -3.5 0.2,-10.6 2.7 2.5,22.9 3.3 9.0,13.4 -1.7 2.4,-1.7 37.1 -46.1,26.8 119.0 44.1,13.3 8.7 -1.6,7.7 -32.9 37.5,26.0 -122.5 -45.6
-18.4 -4.9 -6.1,-8.5 -2.7 0.3,-13.5 3.3 0.5,28.4 1.0 6.6,14.4 -1.7 3.0,-0.9 40.7 -47.3,26.9 118.6 43.9,14.1 9.2 0.7,9.8 -11.8 47.2,27.3 -116.8 -43.1
-18.4 -4.3 -6.0,-8.2 -2.3 0.9,-16.0 3.2 -1.6,31.6 -0.5 6.7,15.0 -1.9 2.9,-0.8 42.3 -46.1,26.1 121.9 45.4,14.7 9.1 0.9,6.1 -19.0 42.6,28.4 -110.7 -40.2
-17.9 -3.5 -6.6,-7.6 -2.2 0.8,-14.5 2.7 -1.8,29.2 0.1 8.6,15.4 -1.7 3.1,-0.1 42.8 -44.4,25.7 123.8 46.2,15.1 9.1 0.6,4.7 -23.2 42.2,28.1 -112.5 -41.1
-18.5 -4.9 -4.7,-8.9 -3.0 1.6,-9.6 2.3 -0.6,20.9 0.9 9.7,13.7 -2.3 2.7,0.1 37.0 -43.1,25.5 124.3 46.4,13.5 8.1 -1.2,3.1 -30.9 38.8,28.7 -108.4 -39.1
-18.5 -8.1 -3.4,-9.6 -6.3 2.0,-7.9 1.5 1.8,18.4 3.9 11.2,12.8 -2.5 1.3,0.9 32.3 -40.7,25.5 124.4 46.5,13.0 7.7 -3.7,3.2 -33.7 38.5,28.7 -108.9 -39.4
-16.2 -9.6 -1.2,-6.9 -6.7 4.5,-12.2 0.5 5.5,27.5 6.0 7.7,12.6 -3.5 -0.3,-3.4 32.2 -44.0,26.3 121.3 45.1,13.0 6.6 -5.3,5.0 -32.7 40.6,27.2 -117.3 -43.3
-17.8 -9.5 -2.0,-8.9 -5.4 2.7,-9.9 1.4 5.4,24.5 6.0 7.0,13.6 -3.0 0.4,-1.1 25.9 -47.1,25.7 123.5 46.1,13.9 7.2 -4.3,8.6 -34.5 40.1,26.0 -122.6 -45.7
-18.4 -4.4 -1.8,-8.0 -1.9 4.1,-11.9 1.4 2.7,28.4 3.0 6.2,16.0 -3.7 2.0,-3.6 42.9 -42.5,26.8 118.9 44.0,16.0 6.8 -1.9,3.5 -37.4 39.9,27.4 -116.4 -42.9
-19.7 -5.9 -3.8,-9.8 -4.4 2.9,-10.6 1.4 0.5,22.4 2.4 10.4,17.4 -2.8 1.4,-2.0 42.3 -41.8,25.7 123.6 46.1,17.4 7.8 -2.1,5.4 -39.3 38.4,26.1 -122.2 -45.5
-18.1 -7.1 -4.6,-9.6 -3.9 1.8,-11.5 2.4 -0.8,25.9 0.8 7.7,17.2 -2.3 1.2,-2.9 42.5 -43.4,25.8 123.2 46.0,17.2 8.6 -0.9,5.2 -37.4 39.6,26.4 -121.0 -45.0
-17.4 -2.4 -6.1,-9.8 -0.7 1.0,-8.8 2.2 -3.4,20.0 -1.0 11.3,18.1 -2.0 3.3,-2.0 48.5 -40.4,26.4 120.9 44.9,17.8 8.7 0.4,2.4 -39.8 39.0,27.0 -118.0 -43.6
