-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
-18.460553452215688 -3.5511420172422756 -4.451323009307812,-9.191074281013291 -1.9010029404638016 0.5668478525616515,-11.390322019841332 2.1374796158052822 3.824639319176434,24.65482897509009 4.564178926731022 11.999490533652374,14.513875092549766 -2.666393186330364 2.569378851286831,-1.3756274455063804 40.58233535691609 -43.134797454681845,27.26176541056331 116.99206870396986 43.12932127618914,14.290142879981238 8.059335071567734 -0.17108922379861433,1.8820549704474026 -31.52619036352148 40.9963695221928,28.03074391829574 -112.75495333577526 -41.151167903711226
-17.949360515067852 -2.6774532557535795 -4.457339577547661,-8.44164273351198 -0.9472439731207158 0.23439202638478096,-11.842967783717915 2.3599375722504004 3.8871625679002797,25.711525362720966 4.278507023763648 11.546734552043608,14.326326071091149 -2.7215341783654035 3.0931100292859535,-1.0373241675086722 38.75620863696044 -43.582369853172864,27.37437803252934 116.24667490689237 42.79589506037282,13.970383551885929 7.991333051047929 0.36596969276307934,1.9287096091675144 -29.315263055206323 41.505502724539326,27.837140411482746 -113.8532885077979 -41.66586799010061
-17.284355636433578 -2.9056093796770286 -4.1756802930212285,-8.224655740383879 -0.48861367500378083 -0.17618979614447,-11.870987440715169 2.9553832608664368 3.6296998402241565,25.661535975506624 3.36432701140557 10.753623616101217,14.162516244022155 -2.7576769076696563 3.332830410194529,-1.9043772950199278 38.60275846047943 -43.88580309788809,27.649332074004445 114.69754122912023 42.09371736899193,13.701161478404424 8.060702314176892 1.0412430646655744,1.442633329537897 -29.664155262464217 41.22503778167976,27.802888604407364 -114.03293736089265 -41.75151056919731
-16.66582608631401 -3.6533712819638584 -3.8345718543413474,-8.42531797684956 -0.41276813209835694 -0.4293133794728865,-11.581852505029952 3.532920981763731 3.076221481152438,24.91271411278573 2.265195345169665 9.911347613938805,13.92537939006439 -2.7840251346809177 3.3188991264239402,-3.102427542134726 38.88707371429315 -43.97707243148553,27.956052239401544 113.04502574187292 41.34115581900812,13.414800074637842 8.16543793611364 1.5337285418412296,0.9954164573318433 -31.044273502297045 40.58163600497304,27.85713461578944 -113.72429900056558 -41.606985368914735
-16.302175644999924 -4.30169403969106 -3.6720963095270895,-8.912627302032504 -0.5906410540166066 -0.283219477731274,-11.100304461848735 3.6852702329725924 2.2554117652794963,23.913951843300183 1.443806979911786 9.318965666739313,13.518229640437305 -2.811122051587796 3.0880926026245037,-3.712768385544623 38.2942282058807 -43.79514243611046,28.156522625525206 112.02528222775487 40.87298491414814,13.04373887549555 8.197630719629185 1.5127649854186653,1.175963724312119 -31.849657515253128 40.01825062702561,27.92119994228905 -113.40197671494035 -41.4518537452805
-16.263777284523453 -4.581452699955884 -3.7565804314942373,-9.518744151064656 -0.9352063471032456 0.301083704321376,-10.584268619006252 3.295133212794755 1.2862052306681455,23.02210525135732 1.1041675679483107 9.095843296038385,12.953325669584402 -2.8435760331555437 2.6955501128415134,-3.4187831266802484 36.47825402790212 -43.41051061798886,28.190238526381346 111.95086535266917 40.83320435334326,12.597549260846328 8.11927956845211 0.9097293191740402,2.0518322745392132 -31.483098953278922 39.70628623325337,27.95686838168324 -113.27704459029414 -41.38595262113836
-16.434279254491774 -4.6968855401174165 -3.9267101830835234,-10.025996187275389 -1.4163088740105327 1.0882890831974068,-10.236560553047285 2.6374936681174477 0.40962477817151743,22.469526378555 1.100334160842179 9.118260889415174,12.390303682008213 -2.877966977391223 2.2212517474529703,-2.7183475474379257 34.40396648963596 -43.071609025993645,28.101550499556673 112.56129519347725 41.107738316584204,12.190144695647486 7.986953366094779 0.010477188915927221,2.985312907344283 -30.71200453525902 39.449802999434944,27.980660149220217 -113.20408081400683 -41.34715861615208
-16.68494407302372 -4.884839843368787 -4.006120827800147,-10.215720013833263 -2.0086570334104916 1.825397784668898,-10.25905757944427 2.0129531829233023 -0.1266441506656079,22.47421870378888 1.2632490730557528 9.24628884453924,11.997752805817928 -2.910231731375428 1.7465402923795925,-2.1614961438242646 33.116564860062525 -43.03483693251642,27.941647013979136 113.55801963472508 41.565271550648,11.941745260510785 7.863308801845928 -0.8769310142660243,3.2975467330893347 -30.393025427049412 39.030082411326134,28.01284253608607 -113.01413851425963 -41.26262113030353
-16.9391466385753 -5.322660204868964 -3.8934405623358037,-10.022025245603757 -2.7365592989602368 2.3661360638542472,-10.606154734221937 1.5884655338467604 -0.19513518325525364,22.923531779125174 1.5273933813918397 9.402692121963058,11.853760097178935 -2.9319171832333644 1.328723804474357,-1.958881641810938 32.901690618779625 -43.276807923590944,27.725415079135715 114.79869606948716 42.13926046952424,11.906577450717684 7.773499557222926 -1.6218668524354876,2.8444065574109474 -30.925615637139916 38.426195888965886,28.065386255021647 -112.6450750468891 -41.10564156409655
-17.20103603912516 -6.0954620533239865 -3.603536629821238,-9.615819665582586 -3.7012042605437587 2.729654126358616,-10.848649520261077 1.3238303961325946 0.14527849610754434,23.19230157004443 1.9877332442809392 9.607412254707626,11.896134400743726 -2.927765784709387 0.9878565105352561,-1.7951150238154985 32.86767067184229 -43.3404677713964,27.41147444237988 116.38310662905715 42.86355757138204,12.03657770428769 7.684549651697511 -2.3687214150437588,2.310599313621247 -32.00057358010289 37.923789250531975,28.137402322177714 -112.20029432059776 -40.92105691884401
-17.48135499126331 -7.278884353258028 -3.1616325595630865,-9.187527077990987 -5.008475808115421 2.949423873030562,-10.52929140325828 1.1611381028704038 0.8191345025916864,22.619084668840603 2.751328883802515 9.887800266845538,12.05065916033076 -2.882245816351856 0.7400882707397516,-1.3130368827460202 32.02819063259186 -42.73656554873719,26.95451216247667 118.42867881856992 43.77932543333101,12.274860987080299 7.5588771625890425 -3.283722223992692,2.4464892759455683 -33.24779411436701 37.83232484652348,28.226382638156032 -111.79895987589491 -40.76052239200014
-17.758954601608323 -8.809848687523454 -2.625071841885768,-8.850810177462074 -6.5917982183317045 3.0671603722586105,-9.635869923016589 1.0524024285698599 1.7006191937974686,21.24447246431495 3.7713876582793304 10.185807971391396,12.246853049943386 -2.8078030080006986 0.5386526305458623,-0.4684358905167365 29.993345120236594 -41.43513811632298,26.39081311073496 120.76668227247389 44.80848731459964,12.562534706859413 7.394367681399359 -4.369348266155684,3.495304141576286 -34.3022131318772 38.231492599722664,28.28370157575115 -111.69682127601142 -40.73544990489781
-17.95593710648351 -10.37843884347551 -2.108353171988039,-8.582740678880837 -8.077716051365883 3.1392468275918386,-8.948092037880247 0.967295211743546 2.574322416282718,20.35827774379654 4.727346607830796 10.291425309381676,12.420881322214134 -2.7666669869680636 0.22482799151409738,0.2260302498678899 27.434496508959864 -40.22349255506927,25.901859709938243 122.71918888003893 45.660788519443315,12.837133963371954 7.252018739223303 -5.336699561219882,4.797857842522713 -34.80773668812371 38.79211860604238,28.178670620176383 -112.39267327677071 -41.06358425374528
-17.988740957793155 -11.649715137796917 -1.7313617652431506,-8.346340603810166 -9.062169235316963 3.223436305479705,-9.322797572728572 0.8773732494477051 3.216451607874243,21.371466544367905 5.271954027183505 9.980452106130043,12.509787566655964 -2.8259311698360636 -0.37032805175912775,0.20289058352724457 25.13163468248734 -39.96946546051641,25.68330929675884 123.55886137611955 46.02543832692535,13.035936670706514 7.19889313114211 -5.868161441068619,5.604116113375081 -34.4121634827441 39.14388282251964,27.773095255651715 -114.40635921352066 -41.971876813773314
-17.801284681778625 -12.350960011591788 -1.539363073202714,-8.109135285005971 -9.293142667289247 3.3564828806906566,-10.952129113081051 0.7637520830017951 3.5292721503488638,24.56950216816537 5.2842799516674965 9.246483382531318,12.479150084736759 -3.013093329380429 -1.2208120625737247,-0.7227181340743881 23.750876795571155 -40.9918792109678,25.813770247476825 123.01334610027358 45.788959675054144,13.112624405155175 7.236991330286852 -5.841306015646973,5.485322416250416 -33.20167303777905 39.064271369353065,27.069582790780053 -117.66613923601284 -43.42813094906936
-17.393763075270833 -12.336880201387961 -1.4248092046070528,-7.8478723577600915 -8.829993175647452 3.5321369256213178,-12.66699996816531 0.6271225457006223 3.673202692343947,27.932937978432022 5.10687727907733 8.529135564272526,12.352983234227292 -3.274563569628963 -1.9013922460398687,-1.9521192351389787 23.725140760855282 -42.48523343844448,26.13214711201234 121.74204744110872 45.24195289717528,13.054471699182509 7.23507309179284 -5.533427164315879,4.670662841327837 -32.16020219135905 38.63346167429917,26.359087700597524 -120.88877402640463 -44.86944244924558
-16.773511734289585 -11.47869219227171 -1.2616282483156753,-7.540611648943597 -7.77065308031759 3.738862606164841,-13.134344853058133 0.4706256510188202 3.8398473475918884,29.1645772753359 5.13819439677092 8.321511780292276,12.162509661002845 -3.546881262168247 -1.939076819495643,-2.7917231803171365 25.456334004961143 -43.50780670391446,26.44819329728531 120.51761262784957 44.72411392990758,12.85302945499187 7.045944638891254 -5.270271112591657,3.469992197594982 -32.37910632935232 37.968771769036294,25.96720627854442 -122.6456165822772 -45.669203705130876
-16.017841226370972 -9.901486333292233 -0.976082049950784,-7.216605760311683 -6.338919307775015 3.9593433204950297,-11.77530800883274 0.3123155772491456 4.102226470257654,27.218472974688144 5.537413840204695 8.801703242369687,11.953820747383887 -3.7828030235358843 -1.1750993285849227,-2.835237978133731 28.659048454018254 -43.52229250348851,26.627379515950594 119.87618517636493 44.468475423626344,12.54548447096423 6.623410011778258 -5.240162816751297,2.223270454566982 -34.24849501353381 37.20930741460889,26.033606157984167 -122.32864759213302 -45.558517771271866
-15.369468443962345 -8.330458152810762 -0.6181386058816745,-7.0261163997629055 -5.0561066191523345 4.162597930410697,-9.793828627455577 0.20549813240152817 4.253052992592607,24.006372664915535 5.898143277390184 9.403178300830131,11.808154485945693 -3.97341967504881 -0.19345684743688507,-2.3554834755348333 31.423204690567854 -42.947337393517266,26.66688063967689 119.79486285793281 44.45594013428623,12.276897342456884 6.160011150305314 -5.3065918438322734,1.3416199396108726 -36.500878065239256 36.545676047082054,26.258458168028785 -121.26964146692171 -45.114041547897585
-15.094800399041205 -7.576956763608492 -0.25561301014293625,-7.136717521681908 -4.486105606219841 4.315688797272637,-8.650498552852262 0.20851226661272218 4.0448044752949395,21.865951445312792 5.732703074457676 9.452331826480107,11.811745043288749 -4.115365576759086 0.3149820748787305,-1.723306935876789 31.605831135797896 -42.33942674236425,26.582935286266274 120.16985242565279 44.630937809085395,12.20778826055934 5.88263027659491 -5.286257068846998,1.2460093352046742 -37.630355092090404 36.175765764511766,26.278702057334716 -121.07947385063797 -45.034096363520675
