-50.612701416015625 -34.99478530883789 25.846179962158203,-45.236419677734375 -13.365519523620605 6.316960334777832,-40.36810302734375 -6.52361536026001 25.059724807739258,78.60462951660156 -152.4530792236328 -164.4510955810547,9.930727005004883 -7.1894025802612305 -10.207586288452148,-16.235872268676758 7.791976451873779 -43.247154235839844,23.414138793945312 48.51634979248047 10.669731140136719,11.87186336517334 4.387466907501221 -9.106809616088867,41.03107833862305 -1.9395434856414795 39.850467681884766,24.50223159790039 -52.04433822631836 -12.102751731872559
-50.6140251159668 -36.38177490234375 27.16222381591797,-46.450050354003906 -14.350618362426758 6.614378929138184,-42.33498764038086 -6.469005107879639 26.242061614990234,74.64459991455078 -158.14593505859375 -169.00482177734375,9.972283363342285 -7.059707164764404 -9.648247718811035,-17.3970947265625 13.336421966552734 -44.88520431518555,22.668800354003906 46.26686096191406 9.789131164550781,11.876075744628906 4.196582794189453 -9.83615779876709,43.830970764160156 -1.5591380596160889 39.75383377075195,23.42852020263672 -48.56097412109375 -10.68746280670166
-50.53983688354492 -35.29655838012695 26.21428108215332,-45.65502166748047 -13.713424682617188 6.235324382781982,-41.286285400390625 -6.8011698722839355 26.262006759643555,76.17373657226562 -156.4247283935547 -167.26913452148438,10.129128456115723 -7.087067127227783 -9.676240921020508,-17.116823196411133 14.674127578735352 -45.10560607910156,22.411911010742188 45.51833724975586 9.502245903015137,12.051081657409668 4.09769344329834 -10.125405311584473,45.23531723022461 0.10054623335599899 44.175533294677734,23.314186096191406 -48.20751190185547 -10.547250747680664
-50.26200485229492 -34.75467300415039 26.132417678833008,-44.87648391723633 -13.276373863220215 6.302822113037109,-40.41040802001953 -7.154472827911377 26.186050415039062,77.1863021850586 -153.9359588623047 -165.5513153076172,10.282451629638672 -7.251593112945557 -10.038110733032227,-16.961143493652344 13.935689926147461 -45.04804992675781,22.42021942138672 45.54241943359375 9.511414527893066,12.267977714538574 3.941605806350708 -10.402442932128906,45.37335968017578 -0.05813329666852951 44.2032356262207,23.21381378173828 -47.8997802734375 -10.425704956054688
-50.554443359375 -32.78102111816406 24.81581687927246,-44.03715896606445 -12.22905158996582 6.157708168029785,-39.0296516418457 -7.30393123626709 25.39863395690918,79.1320571899414 -150.68739318847656 -162.669677734375,10.160531044006348 -7.328203201293945 -10.262017250061035,-15.366426467895508 10.301621437072754 -44.62137985229492,22.58853530883789 46.031558990478516 9.698593139648438,12.161552429199219 4.002272129058838 -10.08089828491211,43.560298919677734 3.636906623840332 47.01396942138672,23.36370086669922 -48.36018371582031 -10.607714653015137
-50.8714714050293 -30.6459903717041 22.89956283569336,-43.028076171875 -11.642634391784668 6.059020042419434,-37.40365982055664 -7.1900634765625 24.35395622253418,82.16748809814453 -144.84341430664062 -156.10284423828125,10.454782485961914 -7.379024982452393 -10.274438858032227,-14.15324878692627 9.740716934204102 -44.348697662353516,23.368497848510742 48.37502670288086 10.613622665405273,12.414649963378906 4.144051551818848 -9.348286628723145,40.18252944946289 1.0359852313995361 46.9525032043457,25.126970291137695 -54.23143005371094 -13.020752906799316
-51.196537017822266 -29.975269317626953 22.455768585205078,-43.09007263183594 -11.323685646057129 6.111811637878418,-36.970829010009766 -7.303395748138428 24.252573013305664,82.68914031982422 -143.44097900390625 -154.7404022216797,10.302825927734375 -7.357041835784912 -10.278074264526367,-13.591184616088867 8.823753356933594 -44.43896484375,23.121246337890625 47.61796951293945 10.314806938171387,12.267990112304688 4.152347087860107 -9.409344673156738,40.22124481201172 2.7676477432250977 48.21788024902344,24.807437896728516 -53.096214294433594 -12.541556358337402
-50.8714714050293 -30.6459903717041 22.89956283569336,-43.028076171875 -11.642634391784668 6.059020042419434,-37.40365982055664 -7.1900634765625 24.35395622253418,82.16748809814453 -144.84341430664062 -156.10284423828125,10.454782485961914 -7.379024982452393 -10.274438858032227,-14.15324878692627 9.740716934204102 -44.348697662353516,23.368497848510742 48.37502670288086 10.613622665405273,12.414649963378906 4.144051551818848 -9.348286628723145,40.18252944946289 1.0359852313995361 46.9525032043457,25.126970291137695 -54.23143005371094 -13.020752906799316
-51.196537017822266 -29.975269317626953 22.455768585205078,-43.09007263183594 -11.323685646057129 6.111811637878418,-36.970829010009766 -7.303395748138428 24.252573013305664,82.68914031982422 -143.44097900390625 -154.7404022216797,10.302825927734375 -7.357041835784912 -10.278074264526367,-13.591184616088867 8.823753356933594 -44.43896484375,23.121246337890625 47.61796951293945 10.314806938171387,12.267990112304688 4.152347087860107 -9.409344673156738,40.22124481201172 2.7676477432250977 48.21788024902344,24.807437896728516 -53.096214294433594 -12.541556358337402
-50.8714714050293 -30.6459903717041 22.89956283569336,-43.028076171875 -11.642634391784668 6.059020042419434,-37.40365982055664 -7.1900634765625 24.35395622253418,82.16748809814453 -144.84341430664062 -156.10284423828125,10.454782485961914 -7.379024982452393 -10.274438858032227,-14.15324878692627 9.740716934204102 -44.348697662353516,23.368497848510742 48.37502670288086 10.613622665405273,12.414649963378906 4.144051551818848 -9.348286628723145,40.18252944946289 1.0359852313995361 46.9525032043457,25.126970291137695 -54.23143005371094 -13.020752906799316
-51.196537017822266 -29.975269317626953 22.455768585205078,-43.09007263183594 -11.323685646057129 6.111811637878418,-36.970829010009766 -7.303395748138428 24.252573013305664,82.68914031982422 -143.44097900390625 -154.7404022216797,10.302825927734375 -7.357041835784912 -10.278074264526367,-13.591184616088867 8.823753356933594 -44.43896484375,23.121246337890625 47.61796951293945 10.314806938171387,12.267990112304688 4.152347087860107 -9.409344673156738,40.22124481201172 2.7676477432250977 48.21788024902344,24.807437896728516 -53.096214294433594 -12.541556358337402
