0 -267.17099717582903 0.0 632.1594419402031, 1 -383.2157388527133 -33.14438588446429 643.1878098326536, 2 -308.7896967540619 -115.16610369334781 323.82280220137244, 3 -262.9181086046042 52.98075312443321 -69.25153727094659, 6 -151.12699717774126 33.144298895291016 621.131283783252, 7 -72.49755630673619 -160.88556069187962 246.95250466091676, 8 -24.17793365973813 -80.84817554400922 -209.23740802796766, 12 -174.55832138355686 -60.06939712447557 824.5093248263902, 13 -54.7535102071503 -173.13152420253493 990.8768446349429, 14 -139.1679701392873 -248.62178008043895 935.002487257487, 15 -176.91083817252047 -269.2368603539453 1034.5640161177446, 17 38.38904822616968 -109.9186390031648 933.3906714868128, 18 -62.52282247728516 4.610949983963508 789.0323010042696, 19 76.86858642510998 4.245980442666568 596.106065523479, 25 -195.35773156286587 -171.3328581808413 1002.1993763940727, 26 -520.5872631257145 -104.2958598207218 961.8577304969629, 27 -548.2458752627288 -251.35990816955604 987.6870517302902, 
0 -266.5249991470604 0.0 634.0220731264624, 1 -382.9252993475825 -33.387578708416356 645.4093524770424, 2 -312.50230879616964 -108.93499690537196 321.78212578333523, 3 -270.2440836540255 66.05640559868405 -67.39556694447697, 6 -150.1254294566745 33.38751622921568 622.6350034630087, 7 -73.47937615439793 -156.79709453654 245.09594028674985, 8 -31.244055047107736 -74.13357442662453 -209.58980350999389, 12 -173.8894086468493 -65.50371506646552 824.5128280341063, 13 -54.6960201251471 -183.16682868036256 988.0872558772732, 14 -137.365085104742 -259.1431977205956 931.3004065668166, 15 -174.90564496192087 -280.9832878294669 1030.356476784434, 17 38.88973080827674 -118.68155788285412 931.3601713868901, 18 -61.30193578797795 1.2713188887726048 788.7028160030898, 19 73.64472699689082 3.6424135268693583 592.0177544188572, 25 -196.00789052102908 -181.02775307570226 999.9458806383556, 26 -522.2809026317984 -113.78225639073476 961.8385745386469, 27 -552.9288959590159 -258.9564319549039 985.8414538476769, 
0 -266.1508605452299 0.0 636.6451475644033, 1 -382.5256336025077 -32.26194915181016 648.5897378023107, 2 -315.91326401731413 -101.52891312765207 321.25811325300435, 3 -275.82661684099634 78.43583322354127 -64.95443037643543, 6 -149.7768310513842 32.26188021677112 624.700771047455, 7 -76.73617991456953 -153.4724595253548 244.41220578753132, 8 -39.28349854452739 -68.00171423353589 -209.56164098954594, 12 -174.1004926781867 -68.44403635273386 827.4450944706574, 13 -55.31985633455025 -187.2390765621812 990.8616141641124, 14 -137.9147371408035 -263.3957038329647 933.9813961788474, 15 -175.27002033600832 -286.0058471290411 1032.7237403028707, 17 38.28603640809882 -123.33522701404601 933.0826632409158, 18 -61.25596291747371 -1.9526144715084897 790.22616645884, 19 69.55334703425518 1.7315849858166104 591.9113111274422, 25 -196.74934927124093 -183.88242200455127 1004.4968015962514, 26 -526.1924050735331 -119.6778347314093 976.0454228953425, 27 -552.8856612512939 -264.6363278196077 1005.7803149465507, 
0 -266.4915111847929 0.0 639.2739588611162, 1 -382.8896863232352 -30.63978831551166 652.1027242177586, 2 -319.9238421264751 -96.22553634952179 322.34577310958406, 3 -282.0283787902804 87.72259887354394 -61.00307239036391, 6 -150.09409294248766 30.639728749835303 626.4454157069965, 7 -80.53355113939179 -153.58761136389484 244.47024200315548, 8 -47.46429889874017 -65.7632175872809 -209.20351014743125, 12 -175.46374554704198 -69.65588039059303 830.1309844759214, 13 -57.40413843675921 -189.34498825701607 994.2206442367558, 14 -141.35372732321923 -265.41253124861106 938.7644378419764, 15 -178.54312592378136 -287.994640190096 1037.2435151512732, 17 36.3605631133064 -126.79406181539008 933.7144862687251, 18 -62.551273544824056 -7.687384623907022 789.8067382929573, 19 63.612122706808805 -3.365162272629931 592.8043636382215, 25 -198.6414265863085 -184.52849702240684 1010.4555820921673, 26 -529.2902163979136 -121.82566271268963 992.5664156729163, 27 -563.6535659816282 -268.60067596654994 1028.088145480039, 
0 -267.7998947046387 0.0 639.8625192935043, 1 -384.62660643031654 -29.174455018688523 653.8169469082512, 2 -324.9808287803304 -92.84755217842023 323.6755727518446, 3 -290.06280231007975 96.96628853449138 -55.86289061137461, 6 -150.973915924109 29.174434150283737 625.9083253451106, 7 -83.6705534034189 -156.7383796404273 244.25240220202386, 8 -54.64643181762912 -66.65021688373918 -208.5660006644573, 12 -178.08802589220915 -70.9185463112452 829.2342544369621, 13 -61.99497204725685 -193.88534808005585 993.1857419795688, 14 -147.571216657646 -269.73823967961476 939.589755385419, 15 -185.6188098383719 -291.6590497589917 1037.4656976907168, 17 32.47204709045758 -132.17555357228954 930.1225747272326, 18 -63.99961329838101 -14.991281943397546 786.2020717140972, 19 55.334203788283276 -9.995434287066516 590.8052803611621, 25 -202.96403366249172 -187.85031952771044 1011.4227389809826, 26 -529.7784913796539 -124.9068298121934 1001.5717464143304, 27 -580.9899323449793 -272.8151612536843 1036.2326652801437, 
0 -269.5690100413903 0.0 631.4029484530095, 1 -388.08139756379836 -27.726182277660698 645.4860480416659, 2 -330.45630556905803 -95.77334544442509 323.09067962926406, 3 -297.06108354930376 102.57479190077751 -53.107907403956574, 6 -151.05737828920635 27.726193529333564 617.3200785604554, 7 -85.29407059989782 -166.23335131039948 242.37648443529775, 8 -60.253322951230984 -74.83279539280733 -207.69970222143183, 12 -180.1489388218418 -70.49789718000214 821.9856418448142, 13 -67.60067552283473 -194.88611208329917 989.1597880956574, 14 -148.9377886211537 -273.1846174027953 935.9401445462365, 15 -189.4225996210954 -293.3375753912909 1032.4461043733554, 17 28.282841202859856 -132.84564114318337 928.9993512826682, 18 -59.518138695484424 -9.10348510738185 785.6549971086654, 19 48.32536504329249 -2.665551863981797 581.5577255784779, 25 -209.23733898433233 -189.20034692253847 1005.4088064736061, 26 -533.9019843489373 -134.59979303486887 1003.2800312911625, 27 -554.7932763574183 -275.3450693422393 1030.4596291899315, 
0 -270.9857400266852 0.0 618.2632571741133, 1 -395.0333467038127 -28.487199682588827 631.8871428427746, 2 -333.2006265498557 -117.26109433697557 321.59751518479356, 3 -301.42476000909164 89.90858819360774 -51.15867109980388, 6 -146.93894712664334 28.487213017391618 604.6395946991149, 7 -79.75283375794285 -191.15590508633477 239.99702026718256, 8 -55.36351992533358 -101.25207765941491 -206.65495763126341, 12 -182.43954594773788 -75.32464193231104 803.9056067034562, 13 -70.45347742278983 -211.31291837412374 964.992779828882, 14 -139.1867081232835 -297.32887956868547 915.1194476493552, 15 -176.8166111216941 -316.6215414931851 1008.7367688841402, 17 30.116073426789455 -144.0708377545285 908.2549165697769, 18 -51.582457351567086 -3.0274608985738496 768.9156316228716, 19 39.09955615040832 7.8842042628829 560.5924069015562, 25 -217.62751596702515 -208.02103340303822 980.664107873527, 26 -535.3964245809996 -165.96587251837292 981.2369363552552, 27 -558.3963397984858 -302.9692969417317 1019.2797572803518, 
0 -271.0036615430274 0.0 621.8992519049891, 1 -401.85629776198766 -30.22165352904485 634.6327356275874, 2 -328.04151544771463 -126.53890471058345 327.5602523583519, 3 -304.4012973489346 95.42056991446869 -37.30288802765, 6 -140.15177236855376 30.22163093127842 609.165978523698, 7 -83.22164511878185 -203.67405403147865 239.91836208472552, 8 -54.83549930387275 -111.10534408963082 -205.48064619392488, 12 -184.07705094462875 -82.48684006595465 806.6285595342981, 13 -67.59122412360625 -234.36597444413275 960.0241130694194, 14 -129.65936697019123 -328.4762257056839 913.7785371022919, 15 -159.03662724968922 -346.0243464489276 1005.2840759683534, 17 37.445529276341404 -161.83688860379027 904.3381586048865, 18 -52.120091916609425 2.5594464633784497 756.4337226240134, 19 27.28715967457589 12.05011974777548 554.1932305552507, 25 -218.85658728201676 -232.62770682413284 975.9655081255032, 26 -475.1523934612143 -177.4215303404394 928.8236180224349, 27 -571.2689584234557 -329.5769278970876 1033.7518194327859, 
0 -269.79816315914184 0.0 617.754770369172, 1 -394.30767385790074 -24.299744570858845 633.3902658836571, 2 -339.2394630934966 -116.18711449018313 328.257542046072, 3 -313.49457821606165 98.29695552670191 -38.307951963457526, 6 -145.28942927795552 24.299790729993383 602.119511664838, 7 -93.08357421717545 -197.42099438043522 242.43006415768622, 8 -72.28126424243638 -107.13308283160694 -204.222760785692, 12 -181.6934421413586 -67.33588666159345 807.2486304346942, 13 -69.34698175495888 -196.60466003189177 977.1626985527547, 14 -141.09441921270528 -282.20582423211044 929.3198167793613, 15 -180.11859245600874 -297.758171213734 1023.7704762505165, 17 31.404646966772987 -134.19625762046292 914.7516334804803, 18 -52.91878015074667 -6.834838823872779 770.1266302889074, 19 23.82473547730706 -2.0495572590817943 566.3364504124713, 25 -216.0154697072422 -192.66280877854945 995.6256290836819, 26 -526.5731947383867 -158.71593075294936 996.0967867364872, 27 -532.8764478412257 -296.4394763281167 1023.5763890556724, 
0 -269.380387322192 0.0 619.5794908902509, 1 -391.47404561394353 -21.756754272674694 636.4482858702524, 2 -342.68169048142295 -110.3136856925074 331.68650527877503, 3 -322.09690335254476 99.1896175103929 -34.960489314230585, 6 -147.28747885328258 21.756828077056912 602.7109454372321, 7 -106.34865385203949 -191.9992342546069 245.61898089502603, 8 -90.60481930467947 -104.56619631271491 -202.92290609104361, 12 -181.49809861034112 -56.34693766492741 815.7826408911964, 13 -72.24148862690984 -175.37930267946416 995.6693685382913, 14 -154.83017868404374 -256.22313279350715 948.7252078377098, 15 -198.4883507742216 -269.3712383958414 1045.6874215694584, 17 26.890366411244827 -119.99311603107135 930.0337095932889, 18 -61.328463668513706 -13.04328539065677 779.1050294111037, 19 12.67937606601538 -13.820428367781556 582.1428620035437, 25 -216.0482121182914 -168.44387206179857 1013.5489655407191, 26 -531.8278433494334 -131.66695424794716 1011.9531488384723, 27 -530.4892178940089 -274.1462546974726 1027.84416738007, 
