0 -389.8914360096993 0.0 480.672504104619, 1 -511.61872567940696 -22.588290081266113 479.11415906563076, 2 -456.7839922175213 -0.8483336794046892 108.00933337893213, 3 -458.87294962481417 294.4796437895511 -204.83966959962373, 6 -268.1646696865395 22.588065383808676 482.2308222410052, 7 -233.57096088102975 -90.73618171362982 105.43784709009725, 8 -254.89665048580503 97.49017913282502 -244.27106775878184, 12 -373.5834596108553 -107.31353054493411 667.3853881018692, 13 -338.4097968141822 -291.64818421461746 829.857768049178, 14 -316.5874210970396 -394.7954458292962 803.9951903096164, 15 -322.86985674585486 -414.71175259856 905.4535999041871, 17 -234.59497793015106 -210.7584416523348 820.9477538696667, 18 -203.48164542668172 22.054243487809572 677.9923265067782, 19 -142.43698400390008 15.827976716651019 500.52620646700285, 25 -463.8198642126794 -291.6291279680054 783.3173260796959, 26 -551.8809189320751 -253.30191061205483 588.0948438374135, 27 -511.7194404466753 -380.0560752565561 389.9893961909426, 
0 -391.6522375082569 0.0 449.7927165807293, 1 -514.7144357400939 -19.170304908057023 448.0002121421123, 2 -462.6612477567369 22.095037313793924 74.32156389093092, 3 -465.8805968183894 314.1731876945948 -241.43704059484463, 6 -268.59053064872455 19.170112909689117 451.585188839101, 7 -241.182030444296 -86.78916624415184 68.82013961982585, 8 -262.95908138791003 89.40798929523798 -290.25304478557956, 12 -381.9856666592856 -89.63335001864291 645.3300953439275, 13 -354.52678868640015 -251.5672775622495 827.0541562133615, 14 -329.97542623726156 -352.81480425566895 819.3813489792508, 15 -337.04626048564086 -363.7650493583112 922.5029574529706, 17 -248.2300341029627 -176.84585720458944 813.8140069463727, 18 -214.070327135491 40.68705319824768 659.7205228035864, 19 -161.47924988106283 38.449513476752955 478.36344324327746, 25 -478.54054833922373 -252.45696380801792 774.3699014105807, 26 -557.6470031220792 -218.5108864965556 565.0910019784121, 27 -516.833145432055 -339.635318939801 371.0116558314666, 
0 -392.702181035041 0.0 413.4145689549074, 1 -514.6277218379078 -17.72481260571103 412.77493332259917, 2 -463.88147643981097 41.672540059324554 37.90253474628679, 3 -468.4944960512506 315.65634154846384 -289.9265665189181, 6 -270.77716471083005 17.724627876518525 414.0541746778405, 7 -245.6161037269445 -70.89644647164324 29.43211023702213, 8 -268.01090525273065 100.02013512336609 -333.84734342870877, 12 -388.51808101066916 -66.48098579916352 620.2055398304924, 13 -367.31729957326246 -200.47867424746158 819.7457666826202, 14 -341.009507876316 -297.72010322199645 823.3199126891221, 15 -348.0247236656234 -303.7632113875949 926.5506099044024, 17 -260.0518332578728 -132.7438433199347 798.8445690541943, 18 -218.68459777232593 61.48874627298942 627.8707475790167, 19 -175.65555621947794 50.00021580225899 443.17674261481466, 25 -489.51408446768846 -201.47226582944603 764.3014562535283, 26 -571.5111319676103 -163.81675646558125 546.8734339184183, 27 -531.3517006364808 -269.3326815284769 353.26653973200985, 
0 -393.10565856592984 0.0 396.3690065425908, 1 -513.1031213043922 -15.756434784097044 397.0568857928523, 2 -464.1663426921407 48.23495854710848 24.020440123379387, 3 -466.75771837260515 310.0687472089795 -310.9918164793422, 6 -273.1086696986796 15.756259264414108 395.6811039403667, 7 -249.7034924920865 -61.16641045733853 13.634186146516015, 8 -271.19598372771367 109.12035504597793 -349.89108169016015, 12 -390.1747105385009 -56.95089042597198 607.7019724355639, 13 -372.55419439092486 -177.94940500725133 815.580787665612, 14 -346.9979755015685 -272.35552435003177 825.1828894010605, 15 -353.5416711700984 -275.7993553802289 928.1848369212075, 17 -265.40060536969025 -115.74110981551988 791.3642913038839, 18 -219.64331436395605 64.18327959643044 614.132718047294, 19 -178.70762696571825 51.767016558322254 423.6741644016246, 25 -492.651207246363 -177.63615001963112 759.1704727422912, 26 -572.4802395686293 -139.94655286732527 540.330583482475, 27 -539.1647522178425 -235.69860642794475 346.493480921706, 
0 -392.927062076802 0.0 404.2108528503816, 1 -513.4186743441066 -15.45419300101698 404.68868335007056, 2 -464.7670884608315 45.66904305513964 32.89856663133361, 3 -465.68700972624754 309.9659727758992 -303.060559544387, 6 -272.4359792988094 15.454021386589734 403.7329985228145, 7 -247.35997792671728 -65.37066832584894 23.053420516484152, 8 -265.38959078142 100.90665297491003 -345.3038843358383, 12 -388.17750560657583 -61.46069686428776 614.280553747275, 13 -369.4223161567599 -187.86617833160395 818.69851675475, 14 -345.478864925598 -283.6292015595641 825.6881791186465, 15 -352.6669669464024 -287.9494850932856 928.5639818917755, 17 -262.11945098402714 -124.66514794104948 796.3961597246462, 18 -219.12790283664876 59.64214048668836 625.4333601123697, 19 -175.24054129408228 52.280318642676846 430.7058229063868, 25 -489.9081610777209 -188.05243606154318 762.5617510059149, 26 -566.312066510659 -155.38381480861096 545.0753548916709, 27 -534.6625310082266 -258.17249449096914 349.69789021371884, 
0 -392.2307835435357 0.0 441.4538278749594, 1 -513.8086589104896 -17.35795450744724 440.16656617069975, 2 -468.0408475596624 39.8354841708891 65.73683872822136, 3 -468.91862320845564 314.98284069432407 -263.34043323269566, 6 -270.65343066990323 17.357787014034074 442.74106481912827, 7 -240.28597646145892 -77.9145402311468 60.35939723377419, 8 -249.39108418727974 80.99414686986377 -318.09862665860373, 12 -385.88837263055717 -76.84823812565591 645.2758967304353, 13 -362.7577245837645 -222.3310641697542 837.0272327986436, 14 -339.4959623084995 -320.94042042339197 833.0494574420104, 15 -348.2521450790853 -330.6507697056527 936.2504846569595, 17 -257.3397875109108 -151.60665021964172 819.5589463154113, 18 -221.5030860454016 52.211234908541755 660.060523491497, 19 -167.78954280829583 52.034404496079176 468.96576038956664, 25 -483.97524786390755 -225.21042227744618 782.6595943722482, 26 -561.3819631775841 -198.47904846323883 567.7282605892666, 27 -520.225145396474 -316.6257747557156 371.6705821686545, 
0 -391.0812149420096 0.0 460.7364218495692, 1 -512.6514744032489 -19.82006157443144 458.74363141821095, 2 -467.9026692969766 20.5216225502419 82.19080966268763, 3 -470.26133946524646 300.6453719823139 -241.8373086474785, 6 -269.51147793060125 19.81988309957689 462.72918701727383, 7 -239.40542650150667 -81.45997038239996 81.14639923377547, 8 -259.5141048119225 95.16518905600077 -285.17294076134806, 12 -383.2009124295584 -92.43901030074511 657.3880616176544, 13 -355.6956259685145 -258.6965543039271 834.9293505431843, 14 -334.7889829619306 -359.0642743310881 819.0430094600896, 15 -344.0529555009777 -376.04376824944296 921.4116629314923, 17 -252.58692501157168 -182.13704866617138 822.0742292119613, 18 -222.9014784373812 39.20313780480592 672.2163671855789, 19 -155.10084508415648 38.524293635866286 493.9120690491701, 25 -477.9020857444441 -260.28401700079814 785.3184777501637, 26 -562.7362910155059 -226.82227422061152 577.2838710394469, 27 -519.4492398947823 -350.64956729310757 384.16951799175365, 
0 -389.5427482481018 0.0 481.10798007188765, 1 -511.6818379912737 -25.08776948348015 480.04260359468543, 2 -457.22340315594045 -22.919320848180504 115.59922467221656, 3 -468.441973849498 259.1395519757779 -207.22415088842052, 6 -267.4041446058476 25.087547625809297 482.17333166211546, 7 -232.33516756057418 -84.56384864599504 111.83350228285246, 8 -273.8851731572203 141.34343353420988 -206.83942748874819, 12 -374.83189795322346 -107.52241393907681 669.9537729131255, 13 -340.2458492384842 -292.5314473689113 834.1458362898609, 14 -325.53136178835666 -394.24851390578067 803.9106208839241, 15 -337.2716267527287 -414.8375795776544 904.80062762953, 17 -237.10143929132255 -209.92006603337524 826.5867533958012, 18 -213.7662210460745 26.18301874779179 688.7340764853202, 19 -131.95202326302524 21.374485753485448 523.5928314238549, 25 -465.65143962515657 -294.22633306889185 791.402560061382, 26 -554.9057933729862 -257.0975947394388 593.3767698985339, 27 -510.1007751871196 -391.97333633124236 407.55254222507, 
0 -387.67977543769103 0.0 478.8300184986169, 1 -508.9024750561643 -25.798741151699353 477.8631076276002, 2 -472.67461485944295 -17.73409143641365 119.34644284863282, 3 -480.3072027585655 293.6688250783769 -165.21142471752813, 6 -266.4575302889774 25.79856917634938 479.79692703665904, 7 -208.26909361531727 -131.338837719786 112.72718059264042, 8 -150.89532299982096 -1.8519681311639147 -273.75473728759283, 12 -359.64146716650197 -131.46308042813266 647.7115207782508, 13 -314.4133034790955 -334.2995007483623 787.9877793282558, 14 -306.5606280699627 -434.19562470589653 725.7642637536258, 15 -322.77497929942984 -466.10162225965155 825.5945711443733, 17 -216.95211550106578 -245.30370200413975 788.6782167235028, 18 -210.2503744033812 24.473869587765307 682.3541530476841, 19 -136.4162250996715 18.284788882689742 504.34662172483235, 25 -437.4185844441293 -335.44143131427654 744.3362456016491, 26 -525.7792309279689 -274.3873411194494 555.513274013412, 27 -469.7204843860689 -398.2607776459142 377.9715805502098, 
0 -385.5564097813818 0.0 467.9290155777126, 1 -499.9335716870725 -47.283228638573746 459.0646207744882, 2 -396.1919195108591 -104.58567286750527 93.68555549408012, 3 -464.9173506245605 193.46435043667142 -154.33791028366664, 6 -271.1797028513889 47.28288290229465 476.7933243679375, 7 -182.0643331976408 -48.211687849163354 129.5261084490969, 8 -346.3961118415281 306.84492617147794 -49.13139534397277, 12 -323.324636425535 -148.4691097600533 609.0611362629138, 13 -258.44752930620507 -367.2048899768395 709.2379874554927, 14 -256.1810649738854 -464.00693774869603 636.9984880614641, 15 -273.21002528419694 -495.5769496311823 731.0370486801014, 17 -156.88637398335513 -273.0894139095351 724.175792666447, 18 -143.53035710273645 -15.588403439715176 621.3564347124648, 19 -45.705763841862506 5.3700763366536926 424.5226175767057, 25 -390.8545992281096 -369.7766376083488 671.3560439636403, 26 -511.9036446914408 -311.3489157981328 516.01035719622, 27 -455.30143278823596 -418.2106596643142 320.5238101309823, 
0 -385.5564097813818 0.0 467.9290155777126, 1 -499.9335716870725 -47.283228638573746 459.0646207744882, 2 -396.1919195108591 -104.58567286750527 93.68555549408012, 3 -464.9173506245605 193.46435043667142 -154.33791028366664, 6 -271.1797028513889 47.28288290229465 476.7933243679375, 7 -182.0643331976408 -48.211687849163354 129.5261084490969, 8 -346.3961118415281 306.84492617147794 -49.13139534397277, 12 -323.324636425535 -148.4691097600533 609.0611362629138, 13 -258.44752930620507 -367.2048899768395 709.2379874554927, 14 -256.1810649738854 -464.00693774869603 636.9984880614641, 15 -273.21002528419694 -495.5769496311823 731.0370486801014, 17 -156.88637398335513 -273.0894139095351 724.175792666447, 18 -143.53035710273645 -15.588403439715176 621.3564347124648, 19 -45.705763841862506 5.3700763366536926 424.5226175767057, 25 -390.8545992281096 -369.7766376083488 671.3560439636403, 26 -511.9036446914408 -311.3489157981328 516.01035719622, 27 -455.30143278823596 -418.2106596643142 320.5238101309823, 
