0 -329.52601657659216 0.0 601.8528223474497, 1 -455.62874307289485 -24.849362253406866 600.9263836855997, 2 -426.4900571586637 -13.09420925937907 234.66326096657002, 3 -445.8805314583615 258.30665852635707 -119.42471115783098, 6 -203.42383841265593 24.84910290081322 602.7792602310158, 7 -218.0920604534097 -50.2529007185763 219.600802581418, 8 -275.0097440316771 108.57362620127319 -171.84735626723875, 12 -290.38232710723986 -130.81754266406622 784.2483312893316, 13 -232.41637462774773 -345.85332032003384 929.5199881447808, 14 -218.56850439507355 -457.82854036285346 895.1083053719755, 15 -226.8294758317552 -489.02207513967494 996.5189407192312, 17 -129.2099175016841 -256.6654884156594 921.6826636730262, 18 -147.21091815103398 14.673722796095554 789.9608996052284, 19 -57.42161973856554 91.28434265993596 589.5209743005952, 25 -364.8529270500744 -348.9392261384756 890.4801700586191, 26 -451.2759082050983 -304.742034355582 705.8868327177861, 27 -472.5527262572578 -433.8965887490276 497.911753040241, 
0 -329.08958737958704 0.0 600.9855756296474, 1 -455.44976316698626 -24.091990192552473 600.1658480743438, 2 -427.4141891121617 -13.033380727502816 233.17801208114207, 3 -448.33845521137215 259.72307171104853 -120.60244164193932, 6 -202.7299217975079 24.09174601218634 601.8053029874126, 7 -218.90128951020017 -49.782196142743686 217.97258805469318, 8 -275.29358719875034 112.15042860667245 -172.33926471139898, 12 -290.6422000404798 -131.53966839815087 782.9426698930231, 13 -233.25669074619174 -346.61390034739156 929.3546216601501, 14 -220.1699466507095 -458.99593038915907 895.8377744249174, 15 -228.4724259230622 -488.4007958597433 997.5280255241842, 17 -130.06200531387663 -257.4761784863492 921.5174510471136, 18 -146.7279626490436 13.968593635784082 790.0203459665299, 19 -57.85897851157267 91.81573694840345 589.1780719167137, 25 -364.94316940775354 -351.3300017088399 890.7916863786547, 26 -440.5611058287975 -317.8809390264423 705.6638439835274, 27 -466.5682755733524 -452.6952071260811 498.20327253181824, 
0 -328.5262713201239 0.0 600.2037079918406, 1 -454.9499745844802 -24.210019004759666 599.5157149486125, 2 -428.3766771987655 -13.327660141561978 231.52185549815437, 3 -450.99494204319535 258.9826236059562 -122.14560424041667, 6 -202.1031578182676 24.209769823573353 600.8917002200263, 7 -219.12388347470656 -48.24581876196467 216.46159281327698, 8 -275.69765528468633 114.90698590469549 -172.6968151597855, 12 -290.55960834049085 -131.72228541268353 782.4796670844121, 13 -233.96084693547868 -347.0122745121455 929.1227705898846, 14 -221.30690285745595 -459.5570925529239 894.9904676161784, 15 -229.58932088183263 -489.1770717236069 996.6667424713401, 17 -130.38173996041422 -257.91743406462854 921.667510882369, 18 -145.73284881087432 14.437660830871017 789.9829158138826, 19 -59.670868775054146 93.39315456157198 588.3826833131434, 25 -366.0154808099702 -351.7798948083861 890.5746224003503, 26 -443.28443622345986 -319.4393804996717 705.4231119376846, 27 -470.4454593966952 -455.44035728066126 497.6106075456021, 
0 -327.84916629226393 0.0 598.5741539142839, 1 -454.2878769826123 -24.69988586987166 597.6181654288398, 2 -428.91299862940787 -14.92192151194628 229.57768582867885, 3 -453.11019248129844 258.3683084303642 -123.31826247530267, 6 -201.41100585291105 24.699631699734752 599.5301407934116, 7 -219.03033526299214 -47.275295314602786 214.78284359426493, 8 -276.3455758604628 116.61100092418164 -172.9322321840205, 12 -290.10256277539906 -133.51455096956246 780.1749593719394, 13 -234.62458765110014 -350.30274423543557 926.3846552394839, 14 -222.37039162401192 -463.2061579670494 892.4712272987945, 15 -230.8483672517217 -492.25753087893645 994.1215166470363, 17 -130.57847722081615 -260.53832154552185 921.0498927294595, 18 -144.87698176654257 15.347133051594078 791.2595078796728, 19 -60.950452584702305 96.94887193834757 588.4784172831044, 25 -367.176637619439 -355.5633777624711 886.3787236539265, 26 -446.26985719997356 -326.86565050111307 699.9280099588668, 27 -473.52819750743083 -466.82844231344745 494.64528846390755, 
0 -327.07137019006836 0.0 598.720486191446, 1 -453.6323841427238 -24.456567791206155 598.2173290028823, 2 -429.68524873937525 -14.885299935466293 229.1389017203678, 3 -454.93652178735124 256.2711345177247 -124.61853630707287, 6 -200.510907186818 24.45631286688717 599.2236422364529, 7 -219.18010021643823 -46.20287823104886 214.31960383305625, 8 -276.5611948711646 118.5862583049747 -173.0577403557262, 12 -289.54149359576854 -132.2918116753233 781.4960901605026, 13 -234.08772113506737 -348.4698632398675 927.9796475411455, 14 -222.29889067472112 -461.401253177572 892.6084071389158, 15 -230.69120815157396 -491.7479149620499 994.1540373217405, 17 -129.70224330706438 -259.4703862423066 921.2872970410104, 18 -143.25776483994082 14.721075063421331 789.491847866749, 19 -63.04157809388863 95.29909977702721 586.5215537236762, 25 -366.9808487980616 -352.8059635129068 889.4089944124095, 26 -448.693415473284 -319.67003283904137 704.3838027089323, 27 -475.49949836657356 -456.25477849726843 495.174856142154, 
0 -326.20597955402474 0.0 596.8165981014806, 1 -453.15935124198575 -24.56813086872333 596.1083776275245, 2 -429.8158147993124 -18.48951023933813 227.33008220584992, 3 -455.9447318758013 253.68285670246092 -125.37739070826274, 6 -199.25316105601755 24.567870980929296 597.5248176503123, 7 -218.62645543593226 -47.67012355672746 213.1334956594663, 8 -276.7762181462359 118.28592556057544 -173.085564246525, 12 -288.5677099931936 -133.81343346374214 778.7858004874071, 13 -233.44683513034832 -351.6190582217233 924.3136239266199, 14 -221.81579515969077 -465.11030150783836 889.1131560214507, 15 -230.3672264565157 -495.2045425203953 990.8169123592132, 17 -128.4265297543094 -262.24935329709893 918.4365641576543, 18 -140.97919936707376 13.63488495275864 786.8862855093533, 19 -63.69251119376156 93.14096236307392 583.4924136962276, 25 -366.7398408397192 -355.7806577059243 885.0290027493444, 26 -447.5295096215057 -322.5974067012014 697.1665159020162, 27 -470.6989373045101 -461.9399071019519 490.2514995121205, 
0 -325.2660855103274 0.0 595.0495677171747, 1 -452.8273833428319 -24.66311713278673 594.1786163753605, 2 -430.0095326924098 -22.944374113585496 225.81319367515192, 3 -457.02028845372024 249.14301561427573 -126.58144435340193, 6 -197.70533114025517 24.66285453681444 595.920513244951, 7 -217.67751238546725 -49.714561394279116 212.49279765395318, 8 -276.1384378374439 117.31194398178873 -173.027928428039, 12 -287.9889570886165 -133.99539165702734 777.3821659853725, 13 -233.45270881594894 -353.0561023696526 921.9226503414878, 14 -221.93104992805252 -467.1666006657488 885.5807004462255, 15 -230.6086880776337 -498.1014819590571 987.4041998975932, 17 -127.62382198698242 -263.7316486955343 916.684092337331, 18 -139.06158535473392 12.965098164622326 783.6628682449566, 19 -64.13310063440031 89.81856022419593 580.2390254679403, 25 -367.1528248665538 -356.49556237763943 881.906852511628, 26 -447.1895827337195 -320.1165809703692 689.3392419468925, 27 -466.6108312914697 -460.91803208347534 485.5522567350737, 
0 -324.2647778315973 0.0 593.9961195302458, 1 -452.01532498149436 -24.541166552310642 593.1558602920564, 2 -429.43033939888176 -24.746155676400434 225.22845816744575, 3 -456.74763058905364 246.7899606615723 -127.50581392009985, 6 -196.5147752248359 24.540900341603884 594.8363757902946, 7 -217.23896584519582 -49.86507270491143 212.13052840409154, 8 -276.14507368463376 117.92696763930134 -172.89705747189043, 12 -287.2688251132105 -134.1318088315813 776.3962754067958, 13 -232.94299277587814 -353.69562930409967 920.656795958533, 14 -221.31539691443203 -468.1210670420886 884.3383230399924, 15 -229.76283065819482 -499.21631330364767 986.2419318451565, 17 -126.75249399682707 -264.5471290563423 915.1515192637204, 18 -137.60186441278648 11.71243354346825 782.2265629844851, 19 -65.00438743086204 87.90998964158236 578.5265871970313, 25 -366.83791425526437 -356.93452016274483 880.8050063279819, 26 -446.33327582430286 -320.6307090866219 688.5076118467509, 27 -465.45026738733145 -461.3827724086487 483.79710107052335, 
0 -323.2151462904552 0.0 592.9107712953412, 1 -450.8657891243149 -24.575801640139144 591.9538874011348, 2 -428.5553263424136 -26.252898635295452 224.71358345516484, 3 -456.16800830165107 244.91263402509404 -128.42310047233798, 6 -195.56507382736612 24.5755222720759 593.867649575062, 7 -216.4253373226091 -49.52135764828675 211.8454957561416, 8 -276.02665547626236 118.7206851318984 -172.70517594970158, 12 -286.68650701952305 -134.85686632021716 774.9668614195925, 13 -232.86332401145796 -354.94085227812553 919.0223250402152, 14 -220.671276343819 -469.51311821307604 883.3843808822018, 15 -228.72125895514108 -500.33455331932066 985.4351849287683, 17 -126.57989026463915 -265.66717539754427 913.757212378065, 18 -136.40621051332815 10.665769975279183 782.0994160917303, 19 -65.05845428768112 87.27164017801209 577.8399856993809, 25 -366.78947435183136 -358.4032313778891 878.724889228644, 26 -446.445881218735 -324.6496922907671 686.9438790186952, 27 -465.8164164180944 -466.5542406539301 482.1086193678668, 
0 -322.13027187608253 0.0 593.7978709046442, 1 -449.1018319835837 -24.66561358879931 592.8995301964432, 2 -427.46742757671507 -23.85576287282163 225.87678143796296, 3 -455.2932450461449 245.79181654796395 -129.0972984249704, 6 -195.15926506239967 24.665335861546996 594.6962056497485, 7 -215.73918713531 -46.28754644218256 212.24334096154973, 8 -276.1038234088013 121.12953550595282 -172.46450843309458, 12 -286.5644075073855 -134.71219740953867 776.5412786986781, 13 -233.35040171478897 -354.39334537772027 921.2072236081526, 14 -220.5296289297457 -468.7956785694968 885.6751959424491, 15 -228.14202518749508 -499.8470741744062 987.6879457716739, 17 -127.51155489177441 -265.0584426275995 916.1593458235698, 18 -135.88489068457406 10.802840741468579 786.2645096454748, 19 -65.46085123847683 90.69921395452116 580.245496171978, 25 -366.95690519134195 -358.8103510968821 880.7685373877289, 26 -447.53591951199195 -331.0664143604891 693.4367114887642, 27 -466.2653757976941 -473.9588719542667 484.4060789844274, 
