-17.3 9.2 -6.7,-9.4 11.9 -5.3,-10.2 7.1 -2.0,16.1 -6.2 14.3,16.1 -2.0 10.2,-1.9 45.3 -41.2,29.8 98.1 34.1,14.1 9.4 11.1,-2.3 -36.3 36.3,28.6 -109.4 -39.6
-17.838267611860086 8.541234163108745 -6.814413562463957,-9.421081170693798 11.728967432964051 -5.810728652399073,-12.08099561132586 7.503682599136437 -2.0705717072518213,19.25235617123074 -6.325523582322916 13.44056493928188,16.30416812341569 -1.9487557776245819 9.797377777213212,-2.4298839886729593 44.53588661896071 -42.88137064862337,29.9327355074373 95.52030532954376 32.82297091079334,14.2217780146781 9.712106776144328 11.65575266113522,-1.3553392537577462 -33.024882258824896 38.12007217971654,28.670611160568935 -108.76480191501234 -39.32316211137814
-17.885764162545062 8.163669908521639 -6.728280735334233,-9.41516050528185 11.561936574399944 -5.874133347780573,-12.201009578549348 7.572636958879866 -1.9722334627762281,19.480486388403772 -6.264909346421775 13.314027157625565,16.38829667243537 -1.953342736909759 9.657801236714988,-2.6604765565096993 44.57641815014656 -43.14989328389192,29.956778977655887 95.04615854448919 32.58474951379669,14.315971442694897 9.751991447011447 11.591201045560789,-1.5839871642244852 -33.422578877518724 38.339857933287085,28.737479481919856 -108.1948323024033 -39.0524897917002
-17.618907058042073 8.00352719892373 -6.513187264231199,-9.400637522727017 11.407428839150276 -5.619270409548309,-11.172422631688832 7.412445733459977 -1.8082733634855719,17.81724151452402 -6.108899478680803 13.673057832575923,16.400432691854473 -1.997015424518609 9.694924599280128,-2.7010294041387115 45.1602332953805 -42.45346961469591,29.90417328335464 96.02286984485589 33.062181394203485,14.396027770047773 9.610473298033524 11.130201630253024,-2.539622733926005 -36.215732994053674 37.55623255831199,28.797193474310227 -107.72112576822406 -38.81115794541256
-17.21411370433829 7.997025997000086 -6.240718894775229,-9.395911741992157 11.27396564205764 -5.175196161106093,-9.60761550076269 7.128691577106459 -1.6819795062922045,15.29547241259644 -5.948236165484229 14.270328141677814,16.38862322646844 -2.063028387114211 9.822402085683432,-2.6607942321884894 46.025970756485535 -41.240001349925585,29.80696129723246 97.79574943066356 33.93211213720718,14.475394482734117 9.378371614642722 10.496610892188242,-3.775924965388092 -40.12698774640195 36.36607135239161,28.84634164799753 -107.3747169185257 -38.622341476961616
-16.84780150742086 8.080386265435761 -5.982461372586701,-9.419382682040135 11.170068397964632 -4.670966925857733,-8.118968915789297 6.826957144049003 -1.6966399881084768,12.948029945625983 -5.873661593216283 14.858509262476103,16.40091532107271 -2.1346361713596433 9.953887916699697,-2.649022741287525 46.91226923528465 -39.95739019847118,29.697185891988223 99.71010750193184 34.87138732800122,14.567519066751315 9.146505682271208 9.914285308342755,-4.8465728611365355 -43.87898627253577 35.366249613126264,28.881512513239244 -107.18664035935933 -38.50921529079375
-16.696387873276947 8.189827966915818 -5.810000443285987,-9.489449861833807 11.104258521713845 -4.235639027207039,-7.318863606787024 6.6128250885172974 -1.9555429058467393,11.807764976617587 -5.975917948261191 15.190272372515643,16.48535602046271 -2.1950933239179835 10.003036313103717,-2.77496663206431 47.5577674336008 -39.053537869222936,29.606889940320812 101.11125425868038 35.55685255177903,14.685849008096746 9.005694786351146 9.607081355692884,-5.305245423697121 -46.19437171042733 35.153642638116324,28.899294580292825 -107.18793069677606 -38.494954291355334
-16.885106115476496 8.27713920010935 -5.781344663200449,-9.613758138163496 11.086531071482792 -3.9813166692986357,-7.659473497924383 6.5689939748612955 -2.510219499020598,12.624054422800299 -6.308147120809672 15.082562534729794,16.667985943246588 -2.2295807056406853 9.910291315164876,-3.101987413928917 47.750077726156626 -38.87904861110074,29.562766036331634 101.4818574746962 35.73354762285163,14.831567854868341 9.02436781175396 9.741370049972572,-4.829763571294482 -46.08806505286195 36.132873448401035,28.896197869430953 -107.39991247961363 -38.59615994544785
-17.26017028657205 8.378974466361433 -5.880489411040653,-9.741325600201733 11.134914360604917 -3.9276931613095885,-8.71963897423397 6.653414588467655 -3.130059438894918,14.600976903968132 -6.7185209339380005 14.702700312659262,16.854882327176554 -2.2337800720115855 9.762136001556112,-3.443285918685963 47.54378211390918 -39.25413013578579,29.562340861237697 101.05336070385255 35.51825878133239,14.9390048899369 9.148897107359042 10.170152565670046,-3.774681635676221 -44.16827823929183 37.66054241576113,28.86830452936449 -107.7909779322283 -38.79360001398078
-17.57318474796383 8.560764718209473 -6.066333719659202,-9.801291206349369 11.270160613969022 -4.063127179101287,-9.782070984703896 6.781738309310577 -3.4887839954352526,16.418632178651283 -6.985710077809754 14.336811393831313,16.911445295561244 -2.206933815849632 9.694572284414283,-3.5272386389155526 47.08398650570988 -39.81914360102085,29.59325153522679 100.31110196249831 35.153823832391204,14.919820490226419 9.28426816175799 10.640172811059692,-2.724020326690217 -41.583475390435524 38.737886992566445,28.81155162636035 -108.31157101672062 -39.055891785401954
-17.619330038813978 8.861359199781216 -6.296360625286465,-9.73750968085471 11.499553304592409 -4.368811102254557,-10.24412381821115 6.882329620888789 -3.322670551033056,16.97777151089301 -6.929090158803405 14.221964428319476,16.73417240617033 -2.1503590411041094 9.81353485601918,-3.146443214152775 46.50948407531652 -40.26754888586886,29.64400472705552 99.66822803187054 34.846476269908536,14.7097138459095 9.3507902172749 10.933012392686946,-2.1784513144033557 -39.355653582453634 38.55405878958178,28.726404381525192 -108.89349493146662 -39.34382583394632
