-18.7 -9.9 1.1,-11.3 -5.8 4.5,-13.4 -0.1 6.1,30.4 5.8 5.2,12.3 -4.7 -2.5,-5.2 28.8 -44.8,27.9 113.5 41.6,13.0 6.1 -5.0,3.2 -36.4 34.5,26.1 -122.2 -45.5
-16.002915353164862 -12.522552473906288 0.6642257476329713,-7.321853906376307 -9.374520875144599 5.128000746783059,-9.75911055576761 -0.5129078885633759 6.041681153587252,23.361339948576514 7.7963821639463395 9.312138727930096,10.327685575546738 -3.898138608586037 -1.9490300073895837,-2.4929006828559244 26.298094054254015 -42.145598838699456,26.683077122116433 119.45029099276178 44.25591237648549,11.218046435089406 5.9751005643524255 -8.010683382853049,3.4710419640693897 -34.51194021745724 36.07300320763629,26.129125980744067 -121.8456037708741 -45.323393054756366
-16.097383581507355 -11.521542417563724 0.7834144909338195,-7.489412341804315 -8.498796759094537 5.017016910788992,-9.318459705979096 -0.270664142519457 5.9136858152125065,22.59029883699127 7.428548892116317 9.051843463043515,10.482487567885904 -3.990292375655352 -1.445827156338982,-2.306862910334626 27.865512245500167 -42.49707058928058,26.781356936070328 119.1441550152127 44.10362856955769,11.247131441120978 5.918053361300692 -7.325251389879663,3.701269388666659 -33.81333800002432 36.277725338716,26.15423666061589 -121.74996890568457 -45.27097787932923
-16.226765920692763 -10.959570013367074 0.9215103010302991,-7.752642707454597 -7.811474455524095 4.872012887820828,-9.367565597464052 -0.07281081655880575 5.640209396850287,22.595483883191466 6.895942127202804 8.609851998103188,10.762698868615884 -4.1258374172432974 -1.3233148984315597,-2.4652332711596174 28.638363542687788 -42.71978363270543,26.927589289389548 118.58724388605434 43.85029419306981,11.457995395548492 5.903603432779403 -6.707216586972094,3.5246641120246744 -33.90976719580827 36.28137701731247,26.214801873304413 -121.55190398829113 -45.17859934904777
-16.385661285917184 -11.156433133182253 0.9973760588587341,-8.05757182089915 -7.586125152768632 4.706479829274627,-10.152172546715095 0.021581373432528417 5.229890013178976,23.77586869704947 6.264493359353993 8.063067360805448,11.188971498228437 -4.266167725477971 -1.7470188724932378,-3.043745534179946 28.103249369157098 -42.68076455039056,27.068798976337785 117.95980459884642 43.58383283512139,11.910830334901506 5.971498963144589 -6.331001440526878,2.8411161742774875 -35.09579380524242 36.06330087911107,26.304111211309447 -121.2726331481056 -45.0591507214643
-16.500634769954633 -11.657480889588852 0.9883179752946295,-8.307454474474177 -7.606335852588512 4.537187528317545,-11.261879979894497 0.08877616806418678 4.712578200269379,25.433747810420762 5.559483696140257 7.537336785214782,11.656014812823258 -4.370503904485739 -2.3289814802085753,-3.6662312871052856 26.80626381778056 -42.51423570340704,27.141999142946236 117.57581323244368 43.432715863221915,12.43755371108328 6.089513557195627 -6.068990369296013,2.066521819362627 -36.502784327309755 35.801770889027736,26.324639712264005 -121.26696044188326 -45.06302504169678
-16.488517107176833 -11.896541149657473 0.8801320863862052,-8.399493390285405 -7.585077526275641 4.381396788313024,-12.191717404628186 0.224489374389077 4.121205238368338,26.713416000319366 4.800377482245717 7.16546555137233,12.040409845602841 -4.397800909750217 -2.601624145955734,-3.8914936367804485 25.446083239869758 -42.392889262282935,27.0828127865731 117.7682910917042 43.53115960304882,12.837227462409327 6.215029391093074 -5.750079419550723,1.6910276763210725 -37.09481041673926 35.70366387123842,26.165860159325867 -121.93744173869365 -45.36029129827369
-16.329454951531638 -11.545678392938001 0.6907273425661501,-8.316630414774137 -7.346816284186942 4.268152631755119,-12.581294537454697 0.4582776501460535 3.499885057500175,27.044307362065723 4.044159600503346 7.0042578487547384,12.262576357372257 -4.339740916039713 -2.3225437394686543,-3.4483767170428337 24.40525824201452 -42.4027523258263,26.864857395914548 118.68558558943153 43.93725532626436,12.990117769393873 6.309256661123682 -5.299702195112477,2.008836534059257 -36.33388392437672 35.88525047935371,25.796069839938816 -123.39163769115264 -45.994621455216574
-16.176906249225937 -10.929069481594592 0.5259136633667956,-8.276496529993011 -7.02120793875301 4.258756396128844,-12.465972795424378 0.6386037395820822 2.9233412589502574,26.636352650593963 3.450517903178894 6.90248413208424,12.362931521635536 -4.277588571286415 -1.8656978764180865,-2.531168902647892 23.20102527757331 -42.39262831080636,26.56575075590503 119.9705461358293 44.50072125122936,12.998766856973962 6.343883799052779 -4.907539411154421,2.77780455063216 -35.04500186237424 36.21478992511519,25.3993281562081 -124.92963426752954 -46.6637076376432
-16.213684483429997 -10.481403515283889 0.5063751028695419,-8.536466649029522 -6.789628240693087 4.419955344857989,-11.94822922691694 0.5832620656967781 2.4714740144445217,25.83179500909965 3.196516273484152 6.673685451654429,12.402236716396251 -4.307777408552199 -1.7094767351191176,-1.4130841009915054 21.20409253541563 -42.17113102891066,26.28073925599872 121.18034082737732 45.03595616810344,13.003390399088829 6.292387614282923 -4.808031811964151,3.664859192139283 -34.28413988852819 36.518492542399166,25.19624212466112 -125.71474208477268 -47.006637808045966
-16.537682330215432 -10.474507872679318 0.6698108718425245,-9.217521150761458 -6.757297876385944 4.754298205158578,-11.16417749599111 0.21368482810453274 2.186968894073594,24.89608228333346 3.3545344825447105 6.253706270672343,12.434499549930896 -4.47015886588277 -2.1210348430152743,-0.38148470679937935 18.316017176143944 -41.63965269491169,26.08970871960963 121.95581841427783 45.390641927745556,13.101715365673575 6.160292109189589 -5.110926378999713,4.374827410653478 -34.75635019455837 36.63284980470715,25.306464925865907 -125.29233086528065 -46.826663844985994
-16.976750497679163 -10.662321547444508 0.7900344366055417,-10.006915751085158 -6.7872699863714825 5.06018704513051,-10.356893249337434 -0.2191352087465091 1.9941717511220933,23.850458878667492 3.6640644662281243 5.967306978153331,12.49225113575976 -4.624657449252336 -2.69581277643918,0.2312757282302747 16.12641734237141 -40.994614073245714,26.02369949135304 122.203926017493 45.518298084618024,13.256357749295361 6.0550290205909505 -5.529453029655705,4.7330537572570375 -36.05077396491284 36.42704645910069,25.528623910932765 -124.42269039925753 -46.44906689735521
-17.305184793540622 -10.696075320110364 0.5885261492915635,-10.505890037371792 -6.694570893850779 5.095538113885416,-9.790664264939727 -0.39884713447686787 1.7939591295071653,22.66773897347225 3.7985798777485984 6.216376888344195,12.603763182526691 -4.595514904030075 -2.896036830475546,0.08392364303368016 16.559681542145263 -40.490945830285476,26.10406427877894 121.88438581859866 45.3934349691077,13.403138135644836 6.104240041291316 -5.698204499323859,4.588785570782229 -37.535242241881065 35.776752706832106,25.597680636149008 -124.10705333610494 -46.30265694590174
-17.360988160057897 -10.333267788633014 -0.09466882310407071,-10.445613119917153 -6.351955796559554 4.709976711209162,-9.663630052218886 -0.12023209317349215 1.5087877467139528,21.401362371342657 3.5261753702415897 7.2383220428385595,12.791345188655049 -4.27928682412168 -2.3725133205845084,-0.9835600000887839 20.694192994596335 -40.29133973184886,26.32722440645175 121.0385837780099 45.02786615318555,13.502767291218778 6.382546991422661 -5.3672344898282045,3.8689686447407245 -38.71678590983447 34.658892806180745,25.340870544914488 -125.0033157301931 -46.67032186216729
-17.218138564595492 -9.725019883326306 -0.9803341694668206,-10.038520809461959 -5.846011085809151 4.092823929078967,-9.928912989501615 0.4102890146700572 1.1410485699217279,20.40341099930826 2.965427422680659 8.661292633394527,13.055222270392512 -3.840383610394831 -1.474560202483372,-2.459816676319387 26.474680882490514 -40.21682915601021,26.597253869730753 120.01039336246961 44.57157863999475,13.608150696389647 6.768182921231088 -4.7142710074484775,2.7883484818366377 -39.6180403685253 33.42544208030461,24.927217060668447 -126.49763441517146 -47.29444532404323
-17.005238293012887 -9.113569599285587 -1.6875927167356597,-9.608454204294897 -5.312821540364259 3.5120348214164867,-10.482918038516923 0.8910074878745218 0.7116360240887287,20.095097500495104 2.316043264518755 9.972406191337917,13.390507374488376 -3.5052196248537713 -0.7131893327276264,-3.678075050570431 31.12048526718895 -40.0093592104637,26.79684978343294 119.21370889740658 44.20654429848575,13.793535384145601 7.093920126333092 -4.016041592030148,1.6282914611595936 -40.38099494193109 32.51519397563793,24.604861875705044 -127.68177961236117 -47.79229322117826
-16.81260219193125 -8.69611115379921 -1.9331891860703754,-9.408319050354061 -4.864186549997358 3.1737855950570113,-11.189525309005779 1.096562852680916 0.25038854457365395,20.70086513789551 1.7425052239796048 10.760990935829629,13.76892862225464 -3.440689722163237 -0.47075062852469557,-4.1463912697889835 32.61995846333407 -39.54119016091589,26.843742297211943 118.94169516843331 44.063050951992075,14.092341407648098 7.2333811847204394 -3.4964894825368122,0.6262966044758475 -41.12262338076407 32.25300193346316,24.572467762113384 -127.82207114646468 -47.853757947144416
-16.565144793890855 -8.475251318641224 -1.8555912523334392,-9.384583008617087 -4.506993526902904 3.0173701342015247,-11.772108759311182 1.1314161393548712 -0.17421764085013422,21.595120767703925 1.2571253655480434 11.057921457547279,14.061192558501935 -3.556566698063658 -0.5737792124187324,-4.128069703675664 32.28355712984342 -39.247538910904034,26.807002968777287 118.96596983756928 44.04811326826211,14.361617785049402 7.2366603755375065 -3.1515317005070687,-0.1696424192096379 -41.851833089244856 32.47150280880378,24.8149503961958 -126.93887663948593 -47.48247569239553
-16.143126837848786 -8.4010633037593 -1.7071208465207974,-9.400983407487075 -4.219806371211888 2.9100310200523936,-11.916109332252233 1.1890716272141435 -0.4832751028932384,21.922783469998695 0.8311337304718175 11.01327841180425,14.11073252333383 -3.6932070632739613 -0.6987546326989004,-4.0903121475816695 32.31861990844898 -39.715606050584384,26.796561609545357 118.91734637471248 44.00846795573341,14.410797930897191 7.201494758780247 -2.9155241047874867,-0.7626934695270273 -42.548356361762295 32.87044774867741,25.259519283941056 -125.25613705535159 -46.76678533263609
-15.480126512788882 -8.405209070336657 -1.6966318491247423,-9.345968272266635 -3.9773998307986607 2.7432128075858513,-11.418745172766291 1.4172837345441285 -0.6301852598207159,21.076525218517393 0.43951247111213165 10.7903052575534,13.82548130362404 -3.7216251368858986 -0.5813883176191544,-4.395018999704513 34.40949008929492 -41.29782945742301,26.901665252750778 118.48700283476529 43.81484769676887,14.11742004272884 7.208400234232453 -2.724035069387231,-1.1659142875391542 -43.17552194701429 33.20026506871407,25.823647238762344 -123.04759458925408 -45.81775227405014
-14.77856519152493 -8.326520684830976 -1.8137925936487205,-9.232589543622062 -3.7354450497236407 2.5303980189159625,-10.640845494426936 1.7331178389263842 -0.73125948877549,19.69826694939015 0.0761660415741083 10.618606147212846,13.438595871970405 -3.6674248996344163 -0.25606519084415297,-4.8731191108701974 37.60336940691777 -43.16290383289216,27.107270069872396 117.67050141586547 43.45898351146459,13.702427096445264 7.25105563255059 -2.518751617685094,-1.442225792158912 -43.613950190087934 33.466920273428656,26.375716827680325 -120.83808542462812 -44.8610279921911
-14.325408069170049 -7.974637752831352 -1.9793435588102952,-9.113083682832137 -3.443605611568623 2.3234467762896545,-10.120479764229442 1.9810939292671004 -0.954039889651018,18.82278420186376 -0.25905055809677746 10.748653854811504,13.285507305054796 -3.604824549275277 0.14890518521184387,-5.188565314482724 40.11815076280405 -44.107269052087055,27.365535611109266 116.55912479732443 42.97065708505938,13.494753470761127 7.295831903132212 -2.2432849208014884,-1.6702295068337065 -43.718251907102825 33.756738318448726,26.76867307896717 -119.23140793104226 -44.15829814487708
-14.358034491855953 -7.202178796000158 -2.1299131633402046,-9.049222292054882 -3.0513842279778545 2.1672483705323264,-10.275659453519227 2.035214855408275 -1.428928672122924,19.262214739447508 -0.5676888445732191 11.346021613051214,13.638699316993355 -3.594029400153214 0.5216588793901437,-5.071601086382351 40.54098636342453 -43.20281315741512,27.624232810260924 115.2928480194732 42.40346095411069,13.763064269822069 7.316870709021105 -1.8516428139890113,-1.8917763921592983 -43.40922285876447 34.14154952586957,26.88871752447436 -118.69949123020625 -43.9149666826818
-14.82120214648 -6.115299517328011 -2.295979602176249,-9.158927498163505 -2.5073477759995697 2.065498005422333,-10.815955218940337 1.9435190337560424 -2.06717992467218,20.514812392131386 -0.8596082775226012 12.075530465500453,14.3991943490717 -3.612497130314005 0.8475246048501364,-4.64378791573176 39.63857336675509 -41.146720674640996,27.805320696186392 114.29861030259403 41.951333678529316,14.420345428508089 7.334201394178097 -1.359144814815262,-1.931941920701032 -42.99805003103835 34.60752706154283,26.81821994317987 -118.93637660448928 -44.00443052194955
-15.552765071592058 -4.912780512120914 -2.542307265951325,-9.58063493330076 -1.7597212436611258 2.00684142391823,-11.192122604379891 1.8176253998640615 -2.6999862196722084,21.598828975133554 -1.1477034624682847 12.419061354586773,15.33230867034855 -3.6074551736183764 1.147338522481941,-4.169647738974672 38.97386341057645 -39.22994668011636,27.821328418848694 114.10818766497695 41.85948651610766,15.249642394945093 7.384617476880696 -0.8035094749553883,-1.5366068444304186 -42.938542273125776 35.10955091044808,26.711216378830454 -119.35191909984792 -44.178794247728995
-16.3939872268256 -3.7894994146492906 -2.9247855332012347,-10.395926124807177 -0.7910312934465076 1.9686962185792558,-10.951055671385323 1.7593614444381465 -3.1585334678813433,21.690446323856403 -1.425310888167664 11.953237979766513,16.2181740109479 -3.529953762354099 1.4422451957330107,-3.8463260091664013 39.77284563351512 -38.58908847666452,27.60417066438886 115.14024103173047 42.32171748536209,16.047090748562194 7.5008080255608505 -0.22974652996170566,-0.5107747724898266 -43.5591061534693 35.59390654353304,26.695543173955834 -119.45514934068139 -44.231474494170826
-17.210830380743438 -2.9123688471398896 -3.437515483842828,-11.292596075121148 0.17873593928157236 1.8509060264551844,-10.307819400479312 1.8021229467085251 -3.2747795529416965,21.064033763549602 -1.5503434620895669 10.912417389474461,16.940869948913296 -3.357815645041788 1.7551613045650216,-3.403088486261293 40.920724034198216 -39.28612251434561,27.220056340812754 117.02931214797714 43.1753885848794,16.700771273540678 7.68687743845429 0.2668893823858991,0.9304589291167114 -44.31858396241739 35.947703008888155,26.71693492087552 -119.44455240562735 -44.24311312752998
-17.879704683959464 -2.436470862932485 -4.04845872314939,-11.791848812132079 0.8291373392965379 1.520496904433159,-9.76014777561222 1.950355722450978 -2.8810089408106485,20.458547680222573 -1.3234232882925663 9.809210032580788,17.428451089852892 -3.080189654992449 2.1097532209642487,-2.3712649189072614 40.31243592353642 -40.928408023453464,26.792007385221837 119.07822196572987 44.107071930481304,17.137662076078 7.934837399181037 0.5698875713476416,2.3985100086315057 -44.307949738461296 36.03301483124991,26.644088258306716 -119.81028635392408 -44.41586234594274
-18.294576467856047 -2.479798904209583 -4.715129810465224,-11.495899901377314 0.8914337630213132 0.8797006031201297,-9.74101742834659 2.195075949103293 -1.8570970421055206,20.521973203286194 -0.582840765336725 9.113889020720645,17.61892849931365 -2.6991790897129935 2.515923130351937,-0.3993764725278734 36.23372858979136 -43.086706620679045,26.436792286696313 120.63850399844911 44.824773275865034,17.295351402456546 8.228898588033706 0.5809071573612876,3.5283702293760726 -42.7915282879398 35.741967625084214,26.370821812454672 -120.94689992744279 -44.91191018991753
-18.49248839388011 -2.857789071460192 -5.310485317313601,-10.673449086343691 0.5220848387224136 0.11923175030489341,-10.146280314562038 2.4184650249359296 -0.4715849792310205,21.145771468585522 0.5238043736439525 8.942835949276436,17.530343978022497 -2.3223557365438845 2.871139222245037,1.9011754450467075 30.191001238574124 -45.046157924143436,26.21844919763546 121.46921049635229 45.21594859624412,17.196945062976788 8.489913889042585 0.35062059328013884,4.152640976432244 -40.4601385645332 35.21284503637227,25.998374292932027 -122.45958635967386 -45.5635104217395
-18.58034823971437 -3.2381367184274077 -5.666191591704811,-9.918644733226913 0.08517756115497216 -0.42932693338653016,-10.609506866124022 2.4495596072717087 0.8171980932532764,21.851987953052863 1.697874606084649 9.239624850655686,17.219818862876085 -2.1087923424749584 3.017967423926329,3.4488086488688126 25.26331866217312 -45.952430445037784,26.175267699031306 121.52838779832948 45.2556805943217,16.907307658842193 8.607798156178681 0.0024645256238756963,4.200417717357673 -38.70116602854604 34.70413130246103,25.729269004996027 -123.56809137983181 -46.041807718160115
-18.658279505789874 -3.3325633753508908 -5.640259734350681,-9.775106009091653 -0.09591897025241809 -0.4795821877583132,-10.797082169809975 2.148760251203033 1.588544500470749,22.200126715729436 2.6533759350663817 9.934046382433653,16.74319361794711 -2.192861276119424 2.822359689359748,3.292385372456497 24.21653471455877 -45.0833063030889,26.332521798994897 120.81930168498347 44.939997959994926,16.48771504100949 8.492436475688697 -0.34460606410037486,3.627579210976801 -38.74197765832482 34.44666022052012,25.744729678406838 -123.57171765194215 -46.05140069134023
-18.756003209844348 -3.2895891704763005 -5.34898154392723,-10.2748964974143 -0.10647407773275216 -0.19277291171308625,-10.71095048149561 1.6842172123430066 1.7991751933624864,22.137337831763258 3.23688834298385 10.833529250794436,16.141316358718942 -2.4659355576772484 2.380740268081739,1.7770818256880114 26.674773116087618 -43.00735383257178,26.5909133589181 119.77081934869535 44.46236993431351,15.961886166025595 8.249475886546993 -0.6198915842407269,2.6434897011468133 -40.21186164178668 34.39513579168044,26.01270196576006 -122.56686032837 -45.63200390248626
-18.863675731458116 -3.5032053833017605 -5.053796858882111,-11.16259685794782 -0.261402838494372 0.018302622869719787,-10.541632888410708 1.3970292713899557 1.6179176628586,21.828619863652264 3.369495456421091 11.67673745156218,15.446609832358785 -2.682827948041463 1.9190537423044,-0.023425997872108223 30.496574738765958 -41.01853467156883,26.781137448942182 119.05098656209083 44.12722298121337,15.332433846438052 8.094577315425514 -0.7798109049626426,1.5999666678864866 -41.84202123189322 34.34908317895809,26.38127395743039 -121.09786291035475 -45.01165966429195
-18.97242179194526 -4.331399457640361 -4.994510354793801,-12.180621339227747 -0.8470396168381118 -0.2226913129908894,-10.4680154697763 1.596744730602226 1.2182898505661741,21.437340640204052 2.9957156042254427 12.214895329817127,14.698317519279636 -2.6185852013684476 1.6476232256836498,-1.1073945854533593 33.63695074240128 -40.31797608502176,26.752364489354377 119.2513900410758 44.204537599066114,14.611490666914268 8.223637835257112 -0.7895468660549675,0.834415601808379 -42.457785775220245 34.12464917105395,26.70623018713546 -119.6848690719841 -44.4081352028659
-19.089738385757375 -5.681877354192881 -5.140651791322532,-13.083368242422432 -1.7877771570923973 -0.835689349403783,-10.50934629339913 2.20377711620307 0.8009129947595166,21.07974514393049 2.322862974711465 12.354131860009684,14.01606323727982 -2.3011300794430616 1.5784266140207266,-1.403483037250026 35.400651072005765 -40.933819862251354,26.577592003431448 120.0438566385765 44.549514309697386,13.924585370193098 8.58857605592833 -0.7126573161898786,0.49828487948384576 -42.09481359489734 33.75126998179867,26.94832269158009 -118.50878438583429 -43.89540102291519
-19.233685264209036 -7.171840851007001 -5.287380014632915,-13.63296751556015 -2.774497481022809 -1.446173794624846,-10.581881161657382 2.887485260199548 0.5838943315627654,20.841676521023643 1.7277974719790319 12.100514487151685,13.571329086341745 -1.9215311554233772 1.59547714643643,-1.4406102037562654 35.96322488885271 -42.137442969597174,26.474222097024136 120.50681974753249 44.749753650064555,13.470405510672425 8.983905127295849 -0.6761678517062217,0.6230505458447531 -41.56962041828237 33.395987905751845,27.136024477138342 -117.53165113318403 -43.45465555082333
-19.41443415318487 -8.42594270811969 -5.237387740988998,-13.614259339030523 -3.5065529513394003 -1.6969887626824003,-10.605173023920818 3.3302907862259574 0.7669220673077767,20.80098215581412 1.56379945213806 11.470454715040974,13.514860793476144 -1.6660324369317163 1.5857390777987386,-1.7254077925902087 35.516643916200564 -43.22192448975974,26.647310789557025 119.76686498326538 44.414001996645126,13.425529255258436 9.211357565707782 -0.7972736133896432,1.2228399111717683 -41.647066388933524 33.21951336504912,27.295038932317535 -116.72485837873074 -43.07204865881461
-19.528551023009044 -9.242014157403624 -4.940445997223993,-13.13020778620995 -3.85745305952144 -1.544706456788379,-10.569407071927355 3.4575896821683685 1.2860934507744093,20.930004309812876 1.812154153230318 10.602624645563171,13.693096101186038 -1.614603640900399 1.507796118174231,-2.309588785041774 34.27977706575338 -43.96376754798072,27.094077852485736 117.76826890606421 43.511737988884896,13.637882582473544 9.211330048103338 -1.0397772479426113,2.095542494266521 -42.18094954059409 33.26104439875584,27.396150611816797 -116.24286035149846 -42.82526836142775
-19.388622100674432 -9.545903568098533 -4.455049164109094,-12.518940745448527 -3.829447878026685 -1.1778134252992059,-10.516981323743337 3.37438965228478 1.8826537987215604,21.12309365782982 2.1791602654617876 9.726073963995493,13.727521944627252 -1.7686543126328438 1.3731745722667967,-2.9085807542791597 32.49137621175385 -44.496832401739304,27.658106169123528 115.05976227260872 42.27910107673103,13.712444920380921 9.026722690250457 -1.2540904720174821,2.879200329643113 -42.35159179865662 33.469954558687824,27.3695469232584 -116.37543686711713 -42.85966957668414
-18.823570350689742 -9.28175022209052 -3.8418519335122197,-12.106977982782617 -3.4382775695685464 -0.7833178763569799,-10.493868010754134 3.1867479136994747 2.3078118992892658,21.27934612524876 2.379884615594346 9.065594145163713,13.260698254913645 -2.123914925683241 1.1937384001001523,-3.240491538574775 30.382678423173562 -44.94719539675873,28.184100074738307 112.19593250291592 40.95554669340732,13.275922818623123 8.703551729842864 -1.2986945827331595,3.223386864609996 -41.38198054197954 33.79001488375397,27.152267731279853 -117.3811774833954 -43.305876809284456
-17.979311013178886 -8.658462718129012 -3.154780916272027,-11.924356151409722 -2.8810231700768596 -0.4284792091545207,-10.586736710977428 2.9459800837581755 2.5644144589536193,21.41169179158102 2.392864324698873 8.735548212219094,12.391423038447439 -2.609665307960074 0.9657059086290886,-3.206362073214372 28.04671683690349 -45.1610667427494,28.59855478103941 109.58739927035447 39.72969788342269,12.429893859444379 8.300181940440286 -1.2178425341901606,3.0422546272709017 -39.50733775054482 34.10444441874149,26.81649629809997 -118.92361991053517 -44.01196105521215
-17.2698847764978 -8.108902720142352 -2.442071828273276,-11.75033397194566 -2.508151481174224 -0.07926822519730398,-10.91668053621095 2.657099023851178 2.8681541581662375,21.629346469295683 2.419490810911766 8.756894142258258,11.60439972535067 -3.098978526136175 0.672061650976857,-2.861965829278111 25.45962586993789 -44.74793405730888,28.89714767575171 107.52300825072123 38.74718151107177,11.677601590676264 7.885423008519206 -1.2129207901315637,2.4737483012115153 -37.819076160451424 34.24524477566679,26.548725876557302 -120.16298188650504 -44.58699762505982
-17.102087915305155 -8.053629088555379 -1.7511796469493304,-11.369495191860192 -2.656749539536098 0.300286617026528,-11.595912663617977 2.326026684337843 3.4289990362410094,22.041480573988437 2.657196229837217 9.135679476947475,11.379182327218354 -3.467661300685265 0.2984696862200578,-2.274829117843761 22.621959462610292 -43.34328686978635,29.077300529557807 106.28153865886982 38.14912199098521,11.516352413146974 7.526746068461811 -1.4790434836442465,1.6680793782808898 -37.39085686792758 34.05023378061154,26.529721244163657 -120.2852556011263 -44.65169882369331
-17.54266423065308 -8.49367730609306 -1.1165240583041638,-10.853035239043898 -3.269216876637619 0.7191024783764224,-12.520696104425157 2.009997951549108 4.18754095015146,22.690546544198668 3.0654638354062227 9.618574688451217,11.82026769830905 -3.689137390183259 -0.10230000572802206,-1.6615545460407288 20.143307195255343 -41.30774803437445,29.127009471600115 106.00674051046876 38.008418385106054,12.040563926177184 7.255481926026817 -1.9681136449348522,0.8885276652421418 -38.32710068567131 33.51824649304612,26.738058261520766 -119.37864258643845 -44.24214023960832
-18.329490483384404 -9.024358968047595 -0.5599182301030035,-10.54933363015384 -3.9062480762845366 1.1599320457543543,-13.378447008223139 1.8158727981987517 4.823856234517755,23.554473412973255 3.3736548942447695 9.701404936031105,12.669432386999146 -3.831236648989442 -0.412578856415622,-1.3829174121360759 19.222261122399132 -39.70322173331867,29.025155029530126 106.7117761721489 38.33198855674759,12.955017252457926 7.0680098314658135 -2.396823206634498,0.5077220986349491 -39.79486961256115 32.803838824595374,26.956774524320522 -118.40387711296604 -43.79609809370653
-19.19018687674536 -9.231969835340045 -0.10497241318318092,-10.806572572475577 -4.121531908036731 1.6011956291268992,-13.856080519582829 1.84944495237526 5.015577198616015,24.604929130998265 3.3091340568625145 8.89151407384511,13.656079008479201 -3.9629241173509056 -0.5136561287895995,-1.78909070144774 21.033349986980944 -39.58522711036157,28.752386912943976 108.39431013805834 39.11926515080871,13.95175136732147 6.959944497998858 -2.478325805661497,0.8871429601903355 -40.94029377143839 32.06964406412391,26.96861129123252 -118.32333862429802 -43.75232401179235
-19.9410820418834 -8.913208441750369 0.16051310206104052,-11.652760279843607 -3.707677653357515 1.930775553682199,-13.863718439871176 2.1305736504147306 4.66827641458951,25.71306352809311 2.8051169660351634 7.300737387509979,14.577986543678831 -4.077488631925769 -0.33157794311647387,-2.7722993350523484 25.41451709375293 -41.03587729663977,28.348807113637893 110.77013036645988 40.23684233709412,14.811520926568493 6.9453630404450015 -2.0946151873976486,1.9546954785112574 -41.39276629135801 31.525684248181385,26.770087201032368 -119.15444779386512 -44.120575460853544
-20.49657958244451 -8.097392099792216 0.07777028842412431,-12.761924444225265 -2.721442242233217 1.9364564359992782,-13.558257169494965 2.584109986645797 3.939534471642902,26.638894806870432 2.022405649315581 5.709228629316067,15.308530062287941 -4.084552327556005 0.15812693641487996,-3.7184663541614413 30.725992939409913 -43.06109942636715,27.920247352586067 113.24338550288061 41.40444966273543,15.413163576849406 7.05875438309754 -1.314352693370824,3.1589295107023356 -41.31597007705194 31.43437384361868,26.59407059647262 -119.86989022777375 -44.43631911811352
-20.7788589478416 -6.832233834621298 -0.5092090365000002,-13.793535521512911 -1.2397825817359962 1.408944795382137,-13.109372988619477 3.1292102813191316 2.999550382327842,27.142850281154598 1.1331917798757571 4.915072055933224,15.727908484009182 -3.892330742225284 0.9720498144085874,-4.000005488015348 35.26476039091686 -44.62811348013159,27.57452091769633 115.21048434149412 42.33809322871767,15.64429084485212 7.333919606832565 -0.2193423216585463,3.935392909392174 -40.90025501638606 32.05150878894751,26.679736835577437 -119.41473748627021 -44.222454509013545
-20.80898712835598 -5.398257009045649 -1.5208843512397183,-14.544798964911964 0.4212121723939438 0.43563250743202137,-12.687081159488157 3.6565381163043393 2.003032283612424,27.210936613231482 0.29545948018454976 5.106461379636962,15.822945471320796 -3.5160825850787427 1.931998874137688,-3.4540933511198912 37.81205906268144 -45.3261346147812,27.36744385795 116.37497777293352 42.895744014897694,15.527933516732283 7.74079066455973 0.9810836826860804,4.151908919275737 -40.299989512384144 33.29123641227906,27.049326628367947 -117.70267310821431 -43.440482825207326
-20.733072023397582 -4.370368039784194 -2.5798694824013575,-14.987082807985264 1.6430759065829905 -0.5209370786591789,-12.461825579002214 4.020728693359171 1.0851004741066455,27.1144001079602 -0.35077223230446697 5.700398436858167,15.715289100931301 -3.106420072088483 2.6134837423507764,-2.5055880109976947 37.76145954043583 -45.53087587790091,27.289082968474574 116.82879045702168 43.114884164647776,15.25835676437965 8.168538538129663 1.916336683750522,4.222902586884721 -39.6240442487724 34.63569761834873,27.450772057412635 -115.8721671054133 -42.60650648118101
-20.703504757808982 -4.331687968145471 -3.295886881259367,-15.10430131503291 1.7990726278638502 -0.9816289572604846,-12.60010611422561 4.077159264183647 0.3770509465935094,27.138566465412566 -0.6695753228312916 6.0725785016323295,15.534416622369328 -2.82015911865736 2.584549945822571,-1.6134351206495101 34.57455845966629 -45.663752983452476,27.324827636773534 116.69060438748119 43.045493685661164,15.038678607610423 8.502908743306216 2.212141323222205,4.59084189817489 -38.97851089751236 35.545605443279015,27.61786560329283 -115.1246428731526 -42.26513190722745
-20.785314668934134 -5.329085320456868 -3.591042538066998,-14.94939039298011 0.821714113377855 -0.8429640034695011,-13.068831667444709 3.8346535840673925 -0.11886196478210076,27.356723743266745 -0.6726970301608954 6.009116207191959,15.368594072126518 -2.6895097247637048 1.8321904859507057,-1.0550001261229267 29.157496280564374 -45.90734440070988,27.43697560853363 116.17169824805985 42.78689987669076,14.964866446170507 8.717869394639495 1.8288301490992152,5.345277711962597 -38.47650390655834 35.79758139071128,27.45817039826871 -115.87659990149986 -42.60543011722651
