-21.3 -7.0 -6.7,-11.5 -3.4 -12.3,-21.9 6.4 4.3,33.4 -0.7 11.9,8.7 -1.3 3.4,-6.5 13.7 -47.9,20.9 41.3 7.9,8.0 10.4 4.3,-4.0 0.7 43.7,19.0 -36.5 -6.3
-20.571548558103842 -16.639154881132946 -3.801905241679437,-13.413413783175304 -7.884924531613982 -4.612030131349,-19.800187703841097 5.908523011139373 6.066429901756791,28.64622773656474 0.9936644976767994 6.688112929723275,4.644516827817483 -1.1981313329835726 -0.4572999936431008,-4.392770316007042 -27.88048626787004 -48.489515354420945,21.945696368163176 44.21416831548018 8.962187183823767,4.783958149487149 10.511050852174579 -0.28289205456182476,8.588794303014964 3.5351394906269977 47.67397581143594,18.888586009113652 -36.34431344481639 -6.2318371024477495
-21.03686384473583 -16.184999036751645 -4.193190016537111,-12.91786054994883 -7.249584646596602 -5.1509766608078715,-20.666443091522154 6.354349006503202 5.36123666544493,29.015508037788173 0.0234906881556808 7.409667808344059,5.632893690318529 -1.1660432280652826 -0.347484073254344,-4.102087654050082 -29.03391916890843 -47.927218182803266,21.67665244775493 43.45100620915847 8.668839588458116,5.676178189866024 10.737035113998171 0.7514174541583187,8.872664696372798 3.7177563119911032 46.9505677426751,18.35843456465668 -35.08901944941006 -5.859326668992677
-19.86304580684667 -15.996332784847679 -4.840506038971647,-11.902912270611973 -7.322227117425603 -5.748549937511723,-21.303246101004746 6.720717940116773 3.2649308329005247,29.48469019992666 -1.599930942037155 8.486131509817682,5.622167632989097 -1.1070103464903498 -0.29298028266938014,-3.8562461068877623 -27.74883059938862 -47.8003707632024,21.684889328206587 43.4837310557724 8.700033419198832,5.568909991200059 10.90843192111623 1.3807764720000733,6.629475213135189 1.3634905621246605 45.44615302713899,17.74763675591309 -33.630844992462734 -5.428727309565131
-17.81818287632368 -15.689875044134054 -5.1924462228164545,-10.856100817553369 -7.3817308858563235 -5.958776093256005,-22.03624742671885 7.00104232150644 0.7865688918912753,30.31785682013657 -3.4212730262624134 9.197480189099364,5.1835545169710695 -1.2266518379163054 -0.19158179794644165,-4.195126133366953 -25.087277842256707 -47.96625350366948,21.924677215521783 44.18660255443315 8.993874488472642,5.031021650522799 10.851686704053007 1.81013413542619,3.5368920673943496 -1.9717727118567494 43.66883180329707,17.388001975895534 -32.77040858041961 -5.182866873171623
-15.682501627422711 -14.897233337390167 -4.715384091272692,-10.261706588575251 -6.7222092629752686 -5.358850706669673,-23.17639040339489 7.191190975491395 -1.0728961671821162,31.76198456310566 -4.987119140606528 8.845864630121538,4.888413081399163 -1.7213776556694331 0.052801514765321814,-5.629114394081164 -22.123627199656607 -48.27538491268313,22.34526141849493 45.41911487539163 9.483077332723177,4.632134132754821 10.403519433187093 2.244753065522195,1.263124943790296 -4.748595396198333 42.11567615223697,17.596646281976255 -33.273150984004445 -5.353823507196469
-13.9943738678262 -13.721702202778348 -3.404972823840685,-10.340806861833117 -5.295181858284244 -4.095224434076147,-24.549476143609816 7.30508935397451 -1.9510586566085868,33.61072959638247 -6.065244143611763 7.398605983336569,4.95332866065695 -2.542414200929815 0.37050331726821284,-7.969713163544873 -19.369370705449793 -48.59075321067727,22.85397292850176 46.91136504552097 10.062508179237476,4.604207621209265 9.635474615931964 2.7256463064090033,0.40987718521407634 -6.542537396839819 40.86791438632197,18.30577207089724 -34.97701152230842 -5.889258867892303
-13.073414717587172 -12.693215233563635 -1.735596972910551,-11.076412726242566 -3.6467896993598634 -2.8292369165270173,-25.542496523095398 7.372995057224179 -2.063076419097167,35.247721476117015 -6.623489541123154 5.424669386415729,5.273995436218678 -3.419220313755554 0.5419311926181479,-10.396286530614178 -16.82688282585245 -48.7866254236338,23.320231401232313 48.276410883101946 10.592799608139952,4.873789446794841 8.831494632290756 3.1452638041533936,0.6142013320846402 -7.937669954673964 39.63064576035609,19.099428843281224 -36.88100808977928 -6.479581010978498
-13.211684790396967 -12.341816186647504 -0.1928556527998361,-12.43012761724876 -2.3375439388153185 -2.2189864745047005,-25.55469879996037 7.4241005773432605 -1.6441414990849965,36.06445130169578 -6.641348581863798 3.507307437871587,5.731903679201206 -4.07857148411389 0.35157806913182754,-12.08405974675902 -14.497506405847922 -48.74246868916417,23.6155652874549 49.13324335496931 10.9367609910788,5.352432694438983 8.276367072096088 3.391356922383955,1.4794325116819238 -9.521329061442193 38.11840147336563,19.561122297365774 -37.98267251225741 -6.814802632989882
-14.220323397313068 -12.8244604980032 0.8851634226812349,-14.049908133083429 -1.7555103008395867 -2.3898222262461317,-24.67142771930073 7.447175365801933 -0.9104897591484534,36.005743717911464 -6.206936894305458 2.049121046894507,6.143952242718386 -4.376977359477116 -0.18413815948876383,-12.66386343940021 -12.80579317215783 -48.454938433953934,23.696447016307754 49.34898345218511 11.0405686396018,5.85414518010368 8.08846272489883 3.3676684528400718,2.6343048761619197 -11.072369845817452 36.607579711209226,19.56771547484972 -37.98212548950305 -6.801859022722986
-15.413191440262532 -13.912325794053308 1.3129011014042424,-15.259396271264873 -2.110443863287265 -2.9162242095228277,-23.687461076836094 7.38919096404237 -0.05875614190615594,35.58857690833983 -5.5206869535672665 1.26591510390656,6.260251677074228 -4.30509426599587 -0.8089863968558926,-12.237629672520638 -12.613897923540954 -48.04186418456809,23.60718211186098 49.04732159417628 10.93660128344929,6.09207173883559 8.214075407898132 2.9944765161956357,3.7338154747797043 -11.533668503542808 35.95555587956239,19.29940643766124 -37.30597306426738 -6.571986037473948
-16.103101531718288 -15.355455712439078 0.9233638790393844,-15.392305168127294 -3.5859182996963535 -3.3573309847647805,-23.406949672687432 7.196808330061837 0.7233489637980186,35.34415581587236 -4.7819468688302615 1.355250380333544,5.837269179141434 -3.863539240228632 -1.2596427652456232,-10.933300873677384 -14.757482706504618 -47.62833301805099,23.394029483902017 48.3589574924507 10.660063637010033,5.784618597327891 8.589456288486742 2.1983726767360365,4.444440882933856 -9.855596908748009 37.01102747187544,18.94960686999613 -36.41314601769676 -6.266646321141147
-16.297989436871738 -16.798069829851304 -0.08449229358051374,-14.577106043122297 -5.7955593426970315 -3.592162951834925,-23.89243167096005 6.868053457216791 1.5027156600573934,35.41723968032231 -3.9911223973275334 2.209139312292525,4.931094621278646 -3.1726389425135655 -1.3988943923743553,-9.01446489196894 -18.59020245433283 -47.39233129164902,23.03660282236782 47.26128536245364 10.209604568126242,4.964957365307742 9.084105098788108 1.0821492673057587,4.758607887141183 -6.451000024440154 39.49620896828377,18.68687935354514 -35.72459131631705 -6.023403557140537
-16.827602768562574 -17.7592768462747 -1.0790664059422774,-13.881875718199163 -7.6791697216876225 -3.8779219658756454,-24.32967102926104 6.461678836676318 2.6472363951696876,35.49571091899981 -2.9134189851092644 3.3583587174293372,3.9520478616757373 -2.494247166495981 -1.2386235957596068,-6.905076864025527 -21.713603859945565 -47.574385726905355,22.435724266305364 45.550453445473124 9.540654663569711,4.038392158800286 9.488604446474726 -0.043087386830390303,5.054099083450725 -3.461736883443873 41.801526254490035,18.65040852918062 -35.61634942519194 -5.9752118688332425
-18.547898527484204 -17.761020981140465 -1.41498591638997,-14.406927092821315 -8.15719926724168 -4.487298392796279,-23.872939850651726 6.038914935701853 4.531382486368776,35.25176493031959 -1.3088844608161552 4.317874199477414,3.3254965521950366 -2.0946301410509727 -0.8020873054211368,-5.036867955248146 -21.685529200376134 -48.411096103174046,21.49292655310118 43.02462481627307 8.610038295829956,3.4266626715787534 9.59269972715697 -0.8591601672007934,5.727059871560241 -3.0730712643570377 42.27602477997922,18.97352815235027 -36.45081333181806 -6.250930714325808
-21.40847156228977 -16.75438105213718 -0.9251642531894467,-16.313126802034084 -6.984392917332643 -5.422095027503378,-22.492930977198167 5.617106615604307 7.068801482555493,34.813865568625744 0.7030732790630962 4.818031426452809,3.2461206368144113 -2.079650472592159 -0.2304752470430225,-3.778234645765322 -18.51549221822797 -49.817500344987714,20.33413907752787 40.014366232714934 7.540491736504607,3.3359193493538504 9.34481891573676 -1.2594151595629695,7.007681499195564 -5.062700079125182 40.78418963609116,19.612362600658063 -38.11884634972164 -6.816112131520861
-24.132812032459952 -15.270958730897657 -0.08952847946141501,-18.490481408630686 -5.04410975278384 -6.3176645430649065,-21.26477138270702 5.154231356651595 9.549749739647416,34.92770556534745 2.5169127728882805 4.880536982288773,3.596531335398674 -2.3381806458499783 0.17548623419950457,-3.4118957928866873 -15.529568224213634 -51.27363531558338,19.38884957826752 37.57046721450987 6.67919284163743,3.6806687431860303 8.908051923430653 -1.4233418990564277,8.901656470989163 -5.9514223009908545 39.2405558272751,20.283311712625554 -39.87343791051792 -7.415389849631767
-25.373057240733377 -13.88102141925037 0.571073933611929,-19.750911838038885 -3.2943391054242777 -6.7871641331876225,-21.32645235919822 4.605747173359448 11.228350045840937,36.36833484453259 3.500246514024486 4.549496036060878,4.236358905338504 -2.743712617804228 0.10828916567639858,-4.206014088370955 -16.239737846887806 -52.23333345673152,19.10302624347458 36.78275311165838 6.385374605015392,4.353403158642146 8.459802238566619 -1.5489159220763167,11.3915039311982 -2.0880743058275373 39.67912310076873,20.68923437645739 -40.93141005840903 -7.78083007627193
-24.722124568946718 -13.002346936450346 0.8361871219319632,-19.633764397713858 -2.3641438634228957 -6.672724814527563,-22.884064894970997 4.028788436462878 11.845719783823835,39.04347139032459 3.4803558948583815 3.972029470266411,4.9754693263593746 -3.1710625847509646 -0.46700930381283823,-5.920281302845503 -21.187141853914923 -52.430821370845116,19.618616271110938 38.01578702386331 6.785686773276714,5.16786476666252 8.122047759382646 -1.7245945144143213,14.025476350657579 6.625210457490794 42.57066065525419,20.741513723037798 -41.05623168740653 -7.83133368492209
-23.231140521538514 -12.816354248763858 0.9509622123795732,-18.805894737253155 -2.372750927275598 -6.171387029312141,-24.69925450755753 3.638087868836795 11.897817957745453,41.51646868001498 2.9970091012600255 3.4549325232063226,5.546593947805685 -3.4970993139264372 -1.1628760872529218,-7.526259279184155 -26.308119228579706 -52.03493660933284,20.606334324340015 40.50997556286633 7.646275059979115,5.8157330295163545 7.930856719477291 -1.8690816734267592,15.678712856397668 14.778688076939495 45.962930339152656,20.67474545940439 -40.858674308726435 -7.775395281157341
-22.069483342523856 -13.480950794997097 1.1984999752551817,-18.02648820905828 -3.392097653992158 -5.509822419248282,-25.4183355846497 3.6598928897195058 11.941501377439712,42.24562790651498 2.647394270933108 3.31621720087605,5.677917999703194 -3.5999817096525253 -1.558008741949836,-7.9362772215524 -27.177662817468292 -51.2522390960694,21.697401125991913 43.41080430520448 8.70255139995455,5.98059675825141 7.914336024512314 -1.8872879647201026,15.179309700059006 16.532295981699168 47.70892520290736,20.749599881657254 -41.01794620116228 -7.84488670931433
-21.76044233482435 -14.868153864364187 1.6728498885716618,-17.635697991846286 -5.1854738197763455 -4.833901672528612,-24.48986028376909 4.136832226436935 12.170839811212893,40.641620745958775 2.680799817864018 3.64743176372315,5.285468372687959 -3.4579947648605844 -1.4624239231966794,-6.832644442495562 -22.4967138043037 -50.31954352930833,22.616745387606045 46.02386015454359 9.714862855997767,5.562681407516618 8.049229074350905 -1.7568648127552209,12.331774327358648 9.953135330898156 46.89004291783803,21.07131744746585 -41.81318362514691 -8.133746703072006
-21.67763710609644 -16.34125939170268 2.131657991481181,-17.228039069984728 -6.9669526029298146 -4.14571588030342,-22.789906283628568 4.784798096603806 12.13434907813734,37.80979496872468 2.7274511386904963 4.137148211849365,4.6195229420150445 -3.2275907842222527 -1.0977543037992086,-5.2677955426703935 -16.528617932912553 -49.52750084412463,23.25604257642557 47.9396190325541 10.487926792177989,4.847702057600846 8.220881533493015 -1.5849008691507918,8.6780690273787 0.06082952798267574 44.77354052588823,21.468562181104627 -42.811622905704304 -8.490471755558943
-21.079318317422793 -17.213005509915675 2.29923742796024,-16.323457736921075 -7.897362002234768 -3.432718300694301,-21.338385673433265 5.286798795553895 11.31711766181508,35.026576566596525 2.3560165313199644 4.433366961491702,3.963974214825646 -3.0831743059119843 -0.7272651999616135,-4.431565101292339 -14.08861444495696 -49.170888930056535,23.524939253163293 48.780543002505055 10.832188931866783,4.160118271071879 8.305477761251472 -1.491396235975563,5.933398746454957 -7.425332124886686 42.84806090098495,21.741829025350732 -43.50795732562724 -8.73855186622917
-19.68785670912524 -17.074201074163085 2.0984914687074268,-14.780701577123248 -7.635234070400022 -2.70944691356737,-20.664991861352746 5.443561816306225 9.66480081298551,33.03462668243014 1.4686286291320494 4.3271160972400535,3.478510777592397 -3.138036898555555 -0.49637021983381624,-4.947139061509959 -16.8170810548444 -49.33435704711436,23.44864080400795 48.55592729497849 10.728625412321612,3.677738751570979 8.21763909400799 -1.532645999731189,4.947561818227822 -9.29992378026233 42.0204868973592,21.74200864267601 -43.52118822602894 -8.74495840539951
-18.176091599044682 -16.085114214597777 1.8590148500530619,-13.15234719806924 -6.8583458472003365 -2.0459063293021393,-20.29550251633441 5.29689105295693 8.066245554507157,31.48351279779864 0.65031957097317 3.902329161918575,3.068464792489979 -3.3803172666102 -0.30913520334124606,-6.277267205298648 -19.85261661713029 -49.67223336269196,23.289004803629325 48.06726033951449 10.50744052782259,3.2780468354241767 7.950701710602077 -1.6344841480887058,4.79809584266566 -7.505644674609168 42.00631870102287,21.42319677146662 -42.724886635159905 -8.465707968019778
-17.331947580315237 -14.476272812646377 1.959513310341847,-12.074988285040337 -6.3681124115500705 -1.518636703956157,-19.634154303158358 4.918112048508031 7.523767204315767,29.890364890498777 0.5683387856538066 3.27881136326494,2.6084372591776743 -3.7827110032254523 -0.04056706891714491,-7.743044582546952 -17.55054619611158 -49.78675184002753,23.336223571522577 48.21106149180783 10.540800251936684,2.802267794022176 7.507826607079831 -1.7070277158345653,4.3475969328881225 -4.613158590638217 42.37554963944971,20.75260101227222 -41.025025859334335 -7.868151761248372
-17.581348980368496 -12.627295910271942 2.58678684891398,-11.922755439853464 -6.640741230829988 -1.1325522801590235,-18.471959769905403 4.379472053914508 8.47456750052556,28.165467843497993 1.4983453091075487 2.5783695259725103,2.0886478612714545 -4.284649088792531 0.29649155121591886,-8.786903964842262 -7.8557248162769335 -49.4469010736951,23.70090204717947 49.333144454465774 10.977269725920456,2.235704086246552 6.944397790441678 -1.7323593338244454,3.0353333050840754 -2.523790696939617 42.80190908876416,19.83032979418709 -38.672196813675754 -7.040382263982318
-18.494526551215117 -11.270223142211156 3.4740100854876586,-12.44937095089577 -7.383716403317119 -0.723258491235995,-17.51418946340642 3.755397046636532 10.02003684227838,27.14844322366625 2.790359676061194 1.9275418822271773,1.772614880299563 -4.746931855819225 0.36338297460551294,-9.13809534119143 2.8020878811537235 -48.815843033884526,24.069137837210747 50.47756894275954 11.436868082105658,1.9042267710085095 6.43924363830482 -1.862673381556726,1.6637064669696444 -1.556688450789362 43.20433693673961,19.07064155095565 -36.73159499174028 -6.355899288492838
