-1.0 -11.7 -2.3,-0.7 -11.0 5.2,-12.9 3.6 6.9,25.6 3.1 3.5,3.0 -2.0 7.2,69.1 -39.1 -45.9,30.0 87.0 28.5,3.1 5.4 -9.3,50.7 46.1 49.5,25.7 -123.6 -46.1
-0.9677965288906129 -10.999041747805888 -2.5979621787674736,-1.168033728078277 -10.463540713221036 4.608970995454711,-12.530433852584625 3.6633424881683965 6.533886615571824,24.633680940028984 3.117074260408534 4.573691669740417,2.8628926970123887 -1.822418211753374 7.669188668930703,71.43809474695787 -38.853420690776915 -46.24510795590772,29.998800542169967 87.86101006976487 28.908243658517797,2.9628928100166996 5.4243083058519606 -9.232231046062227,52.443616169772596 44.32315140922056 46.83411779247789,26.00426636207661 -122.46102715475425 -45.6288851874972
-0.8941730862779668 -10.744509941583981 -2.676658895004042,-1.3005315761151295 -10.26379014149463 4.452929493072311,-12.423580653418194 3.6566276931909876 6.38788892259847,24.33325573203461 3.114071249783918 4.898195315455827,2.8010809116241324 -1.7677250544257488 7.801483386666877,72.20992164860527 -38.701889869495446 -46.24950286253382,29.999011502089825 88.141419735519 29.05125734793464,2.901081004753314 5.422245897499578 -9.239724365169929,53.10075842355076 43.74228973601127 45.94366383776869,26.118178604466504 -122.07314359677417 -45.46060493661878
-0.8045580321312096 -10.792077422981164 -2.606329194664357,-1.2087060470176594 -10.294200148707063 4.587888695745412,-12.493256831119812 3.603536292878734 6.396589512386185,24.48405972426575 3.1007786377548117 4.718309250048309,2.798802574450783 -1.7969568158893487 7.708758715802762,71.93293845804952 -38.60430752214536 -46.016448845067366,29.999945301106496 88.01431309313013 29.005979439574137,2.898802579604121 5.401432374256164 -9.296261846936057,53.01781846023596 43.97334406478644 46.261575922720716,26.10311761734909 -122.18538802346654 -45.49465251332464
-0.7243797264194893 -10.99741703364431 -2.45721212370307,-1.003769643692969 -10.448222598744612 4.869861806366626,-12.653278814308603 3.527748965042599 6.494570976241217,24.8714282649713 3.0869840939498765 4.278831786419941,2.8402956161078916 -1.8711497840163973 7.502889218932601,71.12460292839793 -38.51957363471644 -45.64921002869744,30.000914360566913 87.652774238466 28.849348304759925,2.940295529963399 5.369487335435023 -9.375625380973556,52.54118797872964 44.63224347996035 47.22079183418231,26.020464290903803 -122.54679913223816 -45.63052118357467
-0.6790665291119542 -11.216201615220296 -2.2995467280748336,-0.7969348690481608 -10.61930935549356 5.154862027828563,-12.81746303160368 3.4529463874935438 6.616415905469817,25.280696702400135 3.0824752879977737 3.824561237472803,2.9097979672110097 -1.951340246679119 7.295749458650633,70.30237281275785 -38.40658819319845 -45.25105053861314,30.00123110181801 87.22988726739436 28.65830231481564,3.009797851225429 5.33403038034946 -9.451596856895378,52.01725867793329 45.33491706594733 48.25424935900183,25.931599515310054 -122.90641562049584 -45.767704213328784
-0.6940468001777516 -11.304104009356 -2.2035720537342978,-0.6994142259903363 -10.700912282840177 5.298902563023834,-12.899625911624161 3.40280923804253 6.696706891378231,25.49720038480114 3.0970398895271636 3.60029591610897,2.9915475583756863 -1.9985644917497365 7.199213997551096,69.98370586423657 -38.224251183581146 -44.92523450000354,30.000207946206714 86.91873627578293 28.509779841064894,3.091547538784487 5.3026811083127825 -9.497958164314472,51.79242225674834 45.697293907161665 48.7948862840276,25.89790418074727 -123.01327618564632 -45.80569486854685
-0.7840024233589028 -11.160052359229137 -2.221834793701228,-0.7903784056991531 -10.617697983181415 5.198461637400674,-12.837712190464913 3.396623460763528 6.686778131946849,25.36474920111446 3.1359354384408396 3.7807564582529465,3.0684535869997487 -1.9842113782267208 7.292637058388617,70.53085536293702 -37.95862487595499 -44.76145056165725,29.997654287968068 86.85126335109803 28.46327325744938,3.1684538079959084 5.282640312179695 -9.494719949772328,52.11027068678088 45.43989415896577 48.431078542011754,25.96183657308188 -122.69604027129714 -45.6759230476345
-0.9050331387307455 -10.91877194142838 -2.3104355186081396,-0.9743289354082552 -10.464493608037639 4.970603993766866,-12.701196972418172 3.42971803767933 6.629281668148662,25.04591463907974 3.179724429975736 4.158649856122947,3.1161819421992885 -1.9361046183775943 7.4780951051148925,71.46001020998871 -37.743840990886206 -44.775383532217695,29.996088663991422 86.93513361820241 28.4831717707482,3.2161823106973064 5.278825749919063 -9.455847611632423,52.65400495509152 44.85339409255353 47.59854026309946,26.062702400443943 -122.21740298951099 -45.48391445032085
-0.9933746866607218 -10.794941989431514 -2.3927719031705177,-1.0965406223230252 -10.393824250426814 4.807190724844038,-12.604154603659817 3.4892986378473587 6.597833542834977,24.81135368671243 3.200595777773343 4.397150134516784,3.107942456268523 -1.9012038221801113 7.597553360803972,72.00047628167991 -37.76423855336703 -44.957625040614886,29.99894822570507 87.00196449798635 28.501617060311524,3.207942555359151 5.295381049338803 -9.406819906050519,52.91680899479605 44.42179818818496 47.02030052789706,26.104830454009424 -121.98723201811511 -45.39422708089383
-0.9978185819638765 -10.956380945619651 -2.404616486652912,-1.0328956618295329 -10.5239816527935 4.862572999762103,-12.641644108696482 3.5623707863960234 6.650429916466905,24.885040767072503 3.175257111512169 4.227938198034354,3.0277955277832334 -1.9173654502933757 7.527320653040811,71.55194581066945 -38.145117894502995 -45.27815195315654,30.008004653926047 86.90395904472243 28.458034959017052,3.127794773642168 5.3335882383266 -9.369302057394378,52.50818855206214 44.538774284075345 47.2780747866942,26.01544492045788 -122.31917224902426 -45.53263380181298
-0.9474421655982228 -11.271233661385741 -2.3609385251240655,-0.8550458567801944 -10.754339801059274 5.051171279444151,-12.787059316483093 3.6347037478902977 6.745155946137049,25.192269814999598 3.109316560353779 3.820859960405653,2.929107845644032 -1.964212963290921 7.3633401128901985,70.60370777698195 -38.634488936410726 -45.57542104898935,30.014388903843503 86.62517598170777 28.338535492539407,3.0291064900247413 5.376458656951889 -9.34054602860696,51.78148088220586 45.020087503363385 48.04964305466602,25.868164391177356 -122.91161394455341 -45.77691429821048
-0.9028987216742377 -11.489785127572924 -2.3078548775087744,-0.7116380450580138 -10.898173615256718 5.193042688632632,-12.965943850241711 3.691580572887676 6.800802379024956,25.540865486260355 3.019748649903487 3.5180890560103113,2.8925038550522255 -1.998467125359686 7.287935751009046,70.07358315198837 -38.83197550270686 -45.63616303062713,30.00504699584966 86.20153209124533 28.147589304967376,2.9925033795604854 5.399817891239821 -9.308202190520266,51.38256779761194 45.45421723077588 48.65727285762437,25.794183515784177 -123.22097134034071 -45.907313997359005
-0.9154468836451436 -11.402726932702418 -2.2857106136543774,-0.7286880311777507 -10.800425536183438 5.137303925907221,-13.109473823074 3.7202108204051982 6.749785771349278,25.759130249808482 2.9240716125546826 3.6071432206235583,2.9830566539604546 -1.9839264732119064 7.450532007683414,70.7177351365685 -38.41841108823861 -45.29995727096283,29.97032679403283 85.68399448071267 27.89880720919995,3.0830592830033603 5.383948543166817 -9.2629426244456,51.843004453511696 45.486778631510404 48.52739295765979,25.9008625605889 -122.80103956491456 -45.74324242699412
-0.9651904135804269 -11.106466592471234 -2.2909241649251357,-0.8607879478406246 -10.545521419139353 4.953108774005099,-13.192005674731961 3.7222876985333 6.627607327741814,25.83133967268173 2.8436844738325844 3.961782156330997,3.1485034985617726 -1.937980500195845 7.751807782218169,72.06999894109781 -37.687469691002654 -44.804394025754156,29.92621131264294 85.23567911580648 27.674144951349348,3.24850853277936 5.342750404237153 -9.218315807536117,52.830087537745094 45.196765771993306 47.87544442988928,26.115445857213356 -121.94164022215213 -45.40012402236206
-0.999879980056659 -10.8364162442115 -2.2999411538805816,-0.9845860572407732 -10.326776773059084 4.809658703435433,-13.207529316548761 3.7060899216457948 6.516639355303364,25.81268803944991 2.801750799912676 4.26763575643519,3.2832307305623702 -1.9023857345050597 7.979340964994869,73.10843487274771 -37.21147504455221 -44.56803335724023,29.900339498879497 85.07069443017065 27.58663373267253,3.3832328796918656 5.305408517050544 -9.198271784104875,53.618147881369765 44.8602238528411 47.27562086537135,26.28328162024304 -121.26725553588734 -45.12797692665546
-0.9751106097691815 -10.80544459559639 -2.2925989216831755,-0.9897229223286913 -10.317729437354474 4.854015976326281,-13.154374199795187 3.6809846111335927 6.492677769175265,25.75577586926237 2.818127662145401 4.24618678406407,3.2918429224822723 -1.9134310529323801 7.945873841080689,72.93434774472502 -37.4789824786296 -44.933349607279936,29.91615611064212 85.3578818288201 27.72629095683903,3.391833788462148 5.298605807960331 -9.222331511716176,53.56297039772685 44.73381950642218 47.24280062410317,26.267384156630968 -121.33100448695194 -45.14864779531634
-0.9176795723830397 -11.019737491599585 -2.279788705947157,-0.8848582554657867 -10.511175739556943 5.03189721113217,-13.068580267229278 3.6657228038782246 6.570942003644732,25.68696641986473 2.883190621583552 3.9461509347145984,3.172195578150287 -1.9576948990929377 7.6929793525302586,71.76984058593212 -38.22118235834581 -45.55813911365318,29.95928819792675 85.86127042921802 27.97709667852888,3.272176918008665 5.3260916771077165 -9.270165559030533,52.76223908143932 44.89308291530452 47.74836036037237,26.091524808068364 -122.0364467246795 -45.42745097063596
-0.8916960748512409 -11.377173262011302 -2.288674841715015,-0.741021082867471 -10.805198474655391 5.183508360960368,-13.005948798257828 3.683972967051311 6.734907747851571,25.61887390106152 2.9718661155234094 3.587722977321138,2.9710102589226204 -1.9957060798499306 7.382144011069206,70.42434557379683 -38.77238493821692 -45.741408073757505,29.99554528972403 86.1327565555819 28.11506170420975,3.0710009348962517 5.379597724967356 -9.30056179284876,51.7024134886888 45.31862377116104 48.47886685853085,25.863716032095944 -122.94675491014559 -45.79527079408817
