-34.7 -22.3 5.2,-32.0 -16.0 -2.1,-28.9 2.3 10.3,54.8 3.1 -1.6,6.7 -2.3 -5.6,-5.3 6.8 -48.1,25.6 55.9 13.7,7.7 9.4 -4.4,12.8 -5.7 38.7,26.5 -59.8 -15.4
-33.03937101446789 -21.756170209612783 3.78263693619348,-35.6773667815035 -11.089742749950895 -5.172536415287574,-37.484404561846766 0.7363512575470323 13.604786867890128,71.89167988777288 1.9958047720123924 -0.4234589363995834,5.251005896566261 -2.0226021825716365 -6.247870660619135,-4.5865604222483 -15.379465298694715 -44.039177267587704,23.483351924587453 48.621966301231296 10.677125456315022,6.471788184760039 9.491687005651029 -6.194582188824644,21.471485410702346 4.133199032395583 42.10316855648661,24.38160499278543 -51.367854936213995 -11.746983067382446
-33.743855827898756 -20.77481026034502 2.763247824301886,-35.02102172645955 -11.365926901346526 -4.8935114869311995,-36.50654969554378 1.1299184996547709 15.17050732488256,68.92590977478729 3.52011931445435 2.9393171283808894,4.3013267391699745 -1.5101850747146783 -4.754205799483501,-1.8001857914262893 -18.752462317681854 -45.423426922393155,23.001706392372736 47.37063261564164 10.201258319834348,5.33163328808085 9.732194156408049 -6.030972587587451,21.693578635808162 5.646265939805941 43.996894509930925,24.547671818284602 -52.09560952448273 -12.105191148260525
-33.635442722970204 -20.115204450336478 1.3891356456178228,-34.50415773405138 -11.456055966673949 -5.183551266129384,-34.77218639388388 1.4046808628707217 16.714402057315816,66.1194901979625 5.475049144473983 5.859219871529853,3.3491037868770794 -0.995819987620932 -3.8146454818353623,-0.5821822155787999 -19.2972999046054 -47.49213757212239,22.485460125183202 45.91899483162232 9.653724797849364,4.278665578291427 10.105726159182549 -5.912976041991117,20.742721469923033 5.886160481156314 45.98031585699483,24.811816645282036 -53.062291376950064 -12.541926858932744
-32.83835754237359 -19.831261202903846 0.03415186722522409,-33.91680405541707 -11.472434491649592 -5.820479774339035,-32.65186325216011 1.5725228771636277 17.81080002847798,63.54981493543569 7.316201792765182 7.910954150786092,2.602989198969557 -0.5958767092227446 -3.464300232048173,-0.8954756145389928 -17.391574040076375 -49.62107590736814,22.02321140994101 44.49263845460176 9.108613282998922,3.5131362968366684 10.500607506460549 -5.791402049658757,18.684416724409672 5.220694905471339 47.799410655715036,24.956357830221272 -53.542221383579104 -12.755121503581453
-31.832943639650807 -19.723548112223227 -0.8850220959942857,-32.81780028588919 -11.617496246943292 -6.276397686942124,-30.509037577703776 1.742695288377213 17.96968129252817,60.530326784957936 8.414375838591132 8.92663664418284,2.285433889621981 -0.40422912418419465 -3.404773560958017,-2.1815351300018935 -13.799731353838828 -50.91263099853744,21.797565771346264 43.71768087109476 8.808173052373716,3.1918515486300314 10.769317735825275 -5.514479226918525,15.760010763278363 4.298863234498854 49.095456445716664,24.741856332656823 -52.84955453020305 -12.48081637723696
-31.06515086610571 -19.60448551498947 -1.0113231234650597,-30.863784386069113 -12.05257156779125 -6.092471940337272,-28.700739092989455 2.007493181895833 16.801496952731917,56.53943512566643 8.235210503098411 8.793151095881031,2.57419412136989 -0.4967484744737563 -3.3591843198569338,-3.8822080113096478 -9.337854813117863 -50.60982790293928,21.95911848090243 44.11931847882359 8.956110192484934,3.434236216915635 10.783005981397778 -4.9621618525708655,12.277298808404773 3.721557339319211 49.55656059119681,23.98296351855235 -50.461286521458824 -11.51927537576102
-30.65915846553516 -19.40322588761713 -0.5197519900888554,-28.591395761360207 -12.569451932637406 -5.437708684151202,-27.527158288853983 2.3040799782716266 14.81300244737109,52.55666839659412 7.091496958619483 7.872874950215965,3.2489675134663507 -0.7902262027439404 -3.2568931163006725,-5.4660310910965455 -5.26389105788439 -49.218508357059335,22.36961240733337 45.307403203070685 9.40586783881245,4.029251062388275 10.580441848361989 -4.301109463294866,9.127097537807188 3.6493483580019523 49.29194232650144,22.97629594935866 -47.30067093119427 -10.240148646397602
-30.570529017040187 -19.11009256427824 0.13587438702636784,-26.998418822608205 -12.766280276354323 -4.810119115799063,-27.25870033255576 2.488325831044632 12.98064138386693,50.348182787369225 5.739957343109236 6.777357452603361,3.8808579876118676 -1.1180915533751579 -3.135336921101475,-6.415527279071193 -3.067335468144606 -47.90626483407968,22.739423801002715 46.41212124331983 9.827341689029485,4.592684539615706 10.288232687506811 -3.8482230510373796,7.5057429376299964 4.01206723151807 48.6314951096369,22.2710332294724 -45.04884030823815 -9.311460421505394
-30.744047961985192 -18.738917811986433 0.5428260709230875,-26.978969028255698 -12.288472545229654 -4.670294593715223,-28.13261700529208 2.4330159878758146 12.192807590400207,51.49192171137727 4.870837969859546 6.046278781083102,4.08285801741933 -1.3272524524255298 -3.0400518242937786,-6.290485526635909 -4.039536842352959 -47.73061461747857,22.801204628319233 46.62972466864708 9.915700539499417,4.779569635281789 10.026560986033202 -3.888875379662748,8.472888515441 4.725013422542284 47.8783814313458,22.347100093601803 -45.17972984889247 -9.320605253648907
-31.025931253425377 -18.54716814806664 0.7501749320420511,-28.28458036178748 -11.300909179347975 -5.051235617885095,-30.037304717493 2.1979291349513637 12.360177920878762,55.49617337552623 4.427892023250865 5.4337995089078355,3.931710082299151 -1.4153556920915986 -3.0923894423689973,-5.468897124183404 -7.348630585887369 -48.519825416911175,22.537996318262188 45.901945518333825 9.651297098532838,4.677340341545245 9.839267665316143 -4.360019745405248,11.60997840221139 5.570894893570676 47.03165240150049,22.926312174620758 -46.89894622524053 -9.971948508830637
