-34.7 -22.3 5.2,-32.0 -16.0 -2.1,-28.9 2.3 10.3,54.8 3.1 -1.6,6.7 -2.3 -5.6,-5.3 6.8 -48.1,25.6 55.9 13.7,7.7 9.4 -4.4,12.8 -5.7 38.7,26.5 -59.8 -15.4
-21.03707751300999 3.2998392549769298 -10.183877204914134,-4.420115977388358 0.5781681606778115 -6.752452305589524,-14.742735569108092 3.4908078731879555 0.7915471874415043,18.228566511981647 -1.2196983265352337 18.791170339833794,14.17539003204934 -1.682835262680473 3.48862522261773,6.8362777614781995 -28.592908280340307 -54.588173496220676,24.77276602839455 52.90570901983594 12.424192149497781,13.053027313813688 10.527199103024135 6.6956961371853465,-8.798498757295825 -8.742914689959125 46.015925642226826,23.768816881614047 -49.575903930403044 -11.104848327904303
-21.78922664556689 2.200995203131987 -9.162967055641168,-5.244097270068578 -0.04622283452685816 -6.963113053942198,-13.7467382223449 3.6385644383416773 1.9638765528906645,16.92512753114195 -0.4476203638996266 17.856715692959025,13.342197790741452 -1.9103661876145301 3.5453507334642747,6.502759401741222 -27.072265708254367 -54.86112359090973,24.79432287116334 52.99425321677949 12.465875653238248,12.311701437588447 10.115798142213386 5.858601064395914,-8.662806819358865 -10.950899213084597 45.006759558276705,24.215296540507232 -50.993458528784245 -11.712319566724965
-22.648897973501523 0.4440289713296051 -8.000046725125408,-6.430629380225088 -1.130522414674301 -7.126821549588276,-13.573482498186882 3.702097882976352 3.617208749224273,16.98452528618989 0.5949846270937994 16.684500626431767,12.32242460415441 -2.1337984384465023 3.1983148557686105,5.181366195494549 -24.17081853104359 -54.74539343226518,24.255756557882908 51.36118251382744 11.828136496933508,11.456093652319211 9.749160626216424 4.81317375919169,-8.323811509518798 -12.171882182179308 44.18410166196935,24.538614014527745 -52.02389398110557 -12.15279678336955
-23.322218240441863 -1.6746474771476005 -7.0223666547547205,-7.748172550780716 -2.5251594767116146 -7.2737919733898915,-14.727561468055388 3.6569976381923026 5.3713472730617875,19.241538789840853 1.6294196394565994 15.501993065903271,11.438190414183945 -2.266585313873442 2.4087812570904727,2.914075970548311 -19.832266979077723 -54.22438371062881,23.164496514128317 48.039837816681874 10.527732164933255,10.773211607339183 9.58828728839845 3.8589035260375093,-7.787354994417584 -11.43554166417869 43.751289209943955,24.590995530348426 -52.20244522399939 -12.226651654578879
-23.5258384444871 -3.5558593593841117 -6.298807406987133,-8.891669293172022 -3.5916981059591264 -7.459727629074328,-16.511428549461517 3.5916723315062504 6.732495663313919,22.50156330681356 2.355493875729022 14.411032574023578,10.742256674478973 -2.3418765724735464 1.582715859226473,0.3366023317522535 -14.236636059598105 -53.53213649925218,21.901502290046448 44.20802075446935 9.036326154252237,10.25555841469034 9.543264036207672 3.139883806027755,-7.094804082239219 -9.52197299900558 43.41068732066294,24.43455915815502 -51.724702269990686 -12.01707580204957
-22.9782328388807 -4.557216668887064 -5.86094041067224,-9.54567368545863 -3.6216777433323646 -7.744036273097722,-18.05428418162398 3.6107732490272357 7.191022280319487,25.277632586726167 2.4703164004720493 13.495325115458023,10.24843059116573 -2.4100427076681714 1.1900381043933714,-1.8300244807847543 -7.599229264485486 -52.93885459711751,20.901455770472186 41.20811753344542 7.890992223654018,9.85309706965659 9.4880288194518 2.7776186584298075,-6.292660475475653 -7.463538808527774 42.792752364473465,24.161745334660107 -50.88165698148154 -11.648121285158089
-21.60313292671486 -4.388846874246421 -5.749588415713594,-9.55161626048142 -2.309233807181475 -8.20131770254219,-18.757644349901497 3.781945021605203 6.626766972501601,26.61992489362622 1.9451996112890029 12.848082824673622,9.940642822231776 -2.474029391987491 1.5069854230524098,-3.1705808823330908 -0.9078157878573745 -52.683817877381465,20.439213866630347 39.88229837454834 7.423441590287998,9.51748435257679 9.362852800620631 2.7976201928021194,-5.429584681163733 -5.893549617947456 41.838982218971736,23.8666651048245 -49.97130503340455 -11.247713354266647
-19.886109941989336 -3.725804741318062 -6.030897320090325,-9.180337110085858 -0.4505062286963036 -8.947756077641591,-18.768419871153284 4.071535934904297 5.985649135888806,27.04891554400594 1.502018075762726 12.58853856810797,9.721044542703389 -2.4069688632231507 2.279639797092054,-4.106911548088907 2.7354059776871984 -52.921662536363556,20.35215310729118 39.70351894091902 7.403257530857908,9.205013351351102 9.289577510076512 2.9626468706175855,-4.560146386968419 -4.3530119155864355 41.34227210271389,23.648002380532482 -49.31081326346678 -10.954379139002572
-18.40795671432633 -3.406651457179052 -6.775260058789462,-8.775463596838808 0.9716288074316284 -10.106546538187754,-18.3599222341784 4.428718664345583 6.394168230644058,27.33433616309205 1.9897578357882408 12.840293632809217,9.477936148963016 -2.0600173121935454 3.1642179022131334,-5.202684363820518 -0.12942709618118448 -53.79263098603813,20.403502374141482 39.912669882261774 7.50475206887111,8.872772143200072 9.420800712992168 2.9909416192624634,-3.739900641775441 -2.197894351877382 42.23968345970374,23.605198945413115 -49.220540464706744 -10.908417630454958
-17.63022461614715 -3.979748870962442 -7.925011331532679,-8.617369704069826 1.2997730252980995 -11.691193244088462,-17.83860400713441 4.802995927758947 8.475849208939472,28.119513332040253 3.8374388379862494 13.607390034749322,9.142602729492872 -1.3802845890026694 3.8921372822591325,-6.721695080411343 -10.616027087086099 -55.32279713258465,20.441955134879336 40.01904721411158 7.519316864907725,8.50212674439955 9.825008523486781 2.7015059696559716,-2.9789324133631356 0.7434641840300499 44.931085626905684,23.78974639687306 -49.86002840899808 -11.179476740532694
-17.635285889730312 -5.070646119572757 -9.015269997214311,-8.785288286168784 0.9115241414308981 -13.366391045861137,-17.616303971481965 5.1449199537436545 11.254794801004135,29.64581481850597 6.138619500464707 14.513680034832051,8.783017556083625 -0.6200061763659543 4.4339487526527295,-7.974167948287843 -22.377516983308645 -57.17518736722248,20.58797600242771 40.38545642371214 7.610648279480348,8.151645245308929 10.303218144865834 2.2337464573095507,-2.1427351305723583 3.140621923445745 48.10811625200156,24.100658240145382 -50.877432479378925 -11.612539106364762
-18.430309465315016 -6.121879631946898 -9.50039771091104,-9.318560268503207 0.38974201650752954 -14.727659073807605,-18.125758570242336 5.405251830292683 13.437908406761093,32.07488734106565 7.722008760216794 15.107617090158296,8.494261176100473 -0.0919296772714298 4.807628782420049,-8.08121774169209 -27.58745087449812 -58.94082716920003,21.015926876700778 41.543970192575635 8.016277870406816,7.895205513568036 10.603402753305524 1.7906129758863516,-1.0681280398884996 3.3652446865750956 50.123636981183736,24.406707884207805 -51.819488112653765 -12.00803104519833
-19.839422991193597 -6.801049396858774 -9.065797526890805,-10.208735129906893 0.14091413851318582 -15.476550096018466,-19.608359582538856 5.580564820000912 14.054053321073486,35.38717266947353 7.7394341487661285 15.070738305180223,8.287031108611146 0.0012914129051170339 5.012252200250742,-6.609696884367616 -21.46114001493351 -60.2266058560399,21.801179718760924 43.737981790294896 8.852933174942391,7.7251970403091725 10.57393651838601 1.526811561288682,0.29034267321630297 0.502905827584378 49.837733416784644,24.57802462805212 -52.26002143632515 -12.183857423252629
-21.008758292808697 -7.609404248972206 -8.252663618730496,-11.270339981509624 -0.08176578987936325 -15.707371797604864,-21.596746742778176 5.837123211910329 13.324651487721395,38.891918638025956 6.539573738927699 14.577530549747564,7.8594651042169685 -0.13520126184482628 4.976881031947425,-4.777496632580032 -10.48074557279048 -60.6981733481728,22.65244185351938 46.14159873112782 9.789876434788653,7.332171511032585 10.435084876039207 1.418350123552828,1.5420632213555465 -3.7164652241714617 47.98927893979843,24.48976006813214 -51.873204111624474 -12.022664694363115
-20.927502367442028 -9.24116895356196 -7.8002916609824124,-12.276924181859806 -0.6763307807041055 -15.605348136144144,-23.45949540013341 6.380471963303997 11.747182469010365,41.743002777378905 4.748156724197096 13.916590417715593,6.837348492606411 -0.20186822215100503 4.614370496503808,-4.184696446598995 -3.7365182708662763 -60.03478167450158,23.19354380226411 47.681406548414195 10.392789070716049,6.336810147526383 10.4931999443344 1.399870909813429,2.1954773739262987 -6.950814309612186 45.752055252384885,24.018228379763634 -50.35643613249119 -11.422085919953147
-18.978701646134223 -11.996719021233032 -8.248751169329593,-12.997955392422552 -1.8401280640162292 -15.35017356897347,-24.62376758197156 7.307631430266292 9.830370181933905,43.17783911709389 2.9626636742818957 13.360423044923374,5.071432027647218 0.015829845431176826 3.9247740953170833,-5.860941548112756 -7.647221270846829 -58.14783866433702,23.158367268781788 47.59633857333007 10.352952326166154,4.582194444636652 10.951764419040245 1.4413895029492094,1.8946271081109851 -7.487680324051628 44.104832987983436,23.1292701887232 -47.65816159096247 -10.373152552916725
-16.246860671082572 -14.475015824720364 -9.277462059856573,-13.1852684950101 -2.9035497527042753 -15.09765531796503,-24.769817587354986 8.246799726369087 8.131513737701427,42.79471625633168 1.6585421543367818 13.112019066819006,3.3843087320251 0.36523469763526933 3.2848386679593933,-8.371622455417299 -17.090890789461316 -55.95165657379602,22.756210973833273 46.47465901141552 9.904234009041069,2.8721668085491565 11.569868916007483 1.6657329811635766,0.8693336175318288 -6.334420751133727 43.183942213171925,22.175477058414742 -44.811325749683206 -9.27037362498874
-14.275833531117215 -14.81568306177259 -10.333491185828967,-12.585937978401034 -2.962932570687617 -14.997151671156427,-23.646228062366323 8.699605123036854 7.22102628970436,40.28934956535604 1.2782939843652161 13.355602007259852,2.860943827102287 0.5945542776181544 3.17300848221205,-9.61684485060325 -23.829866186008868 -54.63130583443843,22.324723898333737 45.26891639665367 9.426986222542173,2.2699501651066614 11.986629719013074 2.236983561788782,-0.49243671346445717 -5.2326735291789 42.89827589812504,21.61385327136463 -43.14166105058571 -8.617186646190916
-14.233972174848667 -11.76619667346542 -10.957749819056648,-11.103739564949201 -1.4166279470172012 -15.147829651327886,-21.20761330489368 8.309570622098393 7.49048861341047,35.68442324181489 2.0889357580415853 14.186032477861,4.245392502733827 0.5113170227834619 3.9067615120655264,-8.062517929701233 -21.583229650431647 -55.077376729927195,22.140304204391164 44.75812290522558 9.23101825056802,3.51000859177988 11.929563781198068 3.2340885724459616,-1.8347554644784394 -5.5353087213100505 43.11517656980511,21.77589137014953 -43.60799465471021 -8.777669090662169
-15.396218430646412 -7.139008951878601 -11.164354123388915,-9.432575421605902 0.8141619992966862 -15.395780114494078,-18.447444371699838 7.435697245282477 8.429763721374192,30.65127086323355 3.4726470948097354 15.247582838361845,6.562737248387319 0.22216766877251273 4.991936169116591,-5.027523455242483 -13.9366863372667 -56.69559704848706,22.170498283833474 44.84624911462802 9.270433631475782,5.669102948274111 11.571935374320683 4.3067210867605885,-2.9632499507607157 -6.634875517823755 43.49249714502049,22.360214680978327 -45.31910420044965 -9.41320235432098
-16.442088472173143 -3.7104233542188205 -11.116230248235496,-8.51482085410325 2.3293402920776223 -15.507508389648255,-16.68588433370075 6.661984266874508 9.245149072335849,27.379681108808803 4.533350606264133 16.04282777719004,8.297490692511023 -0.0721851606554725 5.679132439510534,-2.727924967815344 -7.57872424542039 -58.42474596850685,22.28572710090137 45.16208897199003 9.387476183344505,7.30269180843707 11.227184100451439 4.9695591759539095,-3.7343523441762696 -7.307455854162443 43.622211792522364,22.8664264849724 -46.80197739252855 -9.964189151308721
-16.285425373484816 -3.696739924946979 -10.975417832055767,-9.047714924366842 2.0125060569732156 -15.296632326112535,-16.936147176858796 6.468310414502287 9.24993029494565,27.55108048444027 4.531619037364521 16.163033467561952,8.247549363360456 -0.19805737035753204 5.386272856695207,-2.924658270519588 -7.784046786630869 -59.3297534831509,22.36266803643421 45.354863073539306 9.436821398742694,7.263839861775452 11.157190632165184 4.84717063903477,-4.058980309071589 -6.609576598139963 43.170706270182464,22.87298803964228 -46.818949639090626 -9.961120308818375
-15.223330457073457 -6.0094833210014 -10.898407885010336,-10.282235575705966 0.42142781917083494 -14.854793948183552,-18.400467276204754 6.720004206104885 8.388981510339892,29.84764043632742 3.652490780394577 15.722841879899455,7.060200003358175 -0.14134837983873677 4.518638153757807,-4.692546677300475 -11.482680669967516 -59.220547253935955,22.315105644302417 45.194853417125934 9.346703130410727,6.161908785850641 11.31945771369618 4.212504335980356,-4.169278194290136 -5.253055891319187 42.243361197455755,22.423865249936263 -45.52160557969827 -9.466269913965828
-14.058251620771806 -8.352842601471709 -11.039664333516216,-10.940997299292547 -1.2745005734273815 -14.375206020722235,-19.61947272650266 7.0578801585718836 6.8379154468985135,31.85581273959148 2.4187398235929964 15.028100182231634,6.058368204183235 0.05374164914515758 3.8422212340447204,-6.125094396355075 -12.556086800690625 -58.17922539266474,22.0703808644186 44.49656943592162 9.072228351449938,5.247889302690654 11.560289516004229 3.5753825732458084,-4.414744288261213 -4.554440440826366 41.10593545298641,21.733087116145725 -43.56906511870329 -8.73618875493084
-13.489130320528995 -8.78012535446066 -11.504484636745566,-9.996608810552258 -2.073674367666611 -14.020664906755455,-19.3607234164397 7.169976533183064 4.840606967677542,31.55530037857975 1.333326066467802 14.353985387433779,6.333302009198768 0.3370531772699548 3.997196913987955,-5.638584666385063 -6.0981224667883875 -56.363585450912154,21.587614717036676 43.16107232399191 8.595941221106123,5.552093218586908 11.738623556468944 3.3608168511285217,-5.061468585996541 -5.557137389634232 40.03482605667662,21.012926803621472 -41.60474291465919 -8.019345953771937
-13.493212951635188 -7.773775888429909 -12.057828316499933,-8.157682016722053 -2.1422714617095844 -13.742369213445876,-17.969492487212083 7.073535733209014 3.111123068368968,29.659314411545843 0.7585937894244386 13.761404218535606,7.365539971236207 0.6177681471347498 4.74906878099321,-3.8937907498380238 4.3732968444188085 -54.452679068530685,21.04578975008363 41.68813256948978 8.090047333539298,6.570609249791195 11.801988919218001 3.404288910364182,-5.7969416052109155 -7.407544975805083 39.37843459458074,20.461764828424315 -40.15814673307845 -7.506279509797587
-13.742433574195358 -6.8438822425598165 -12.3206752886849,-6.867243146645698 -2.1404989742279574 -13.402001340232822,-16.458503009542085 6.925069627409063 2.5624450310806237,28.03747360795839 0.9973999833301697 13.220616578157895,7.95421168986332 0.7878679580955685 5.493311680396804,-2.501015049383181 11.77646669820434 -53.34607387833459,20.716900699168487 40.830803996757375 7.80698835316243,7.150474650449783 11.735393257370301 3.291880547910841,-6.06387796423973 -8.449533818469638 39.515624108614844,20.272104435967297 -39.71059614836095 -7.363019721860935
-13.928294876303388 -7.301399343878555 -11.973632717120278,-7.36149908018234 -2.6353133575285517 -12.890829860938036,-15.7512646855265 6.863726627648463 3.922991241068978,28.324423312890637 2.250771821189036 12.715374111591938,7.083763798862076 0.7531852237565044 5.6883807052914905,-2.859760376597033 10.043338211309138 -53.79503322145095,20.82676125459469 41.210525105489765 7.953498615922893,6.317813628296927 11.533274905852453 2.682557150638981,-5.415601752549526 -7.306687862238375 40.719121849421384,20.592025101174467 -40.62603854495039 -7.713137984510594
-13.91102889009422 -8.800964088486356 -11.188486401829625,-9.166124817132667 -3.4176716859713228 -12.344366699337174,-16.023198133488233 6.882782384356418 6.40804840661882,30.20202426657624 3.8898288444285924 12.342261593958057,5.2720181299132856 0.5331775248042409 5.317892125304775,-4.620211618275035 1.488417799321856 -55.33318221592296,21.221309394881143 42.366438456007295 8.360678538510856,4.580299974357706 11.26599854261751 1.8378046072748768,-4.3159298530946275 -4.910436330150973 42.393954861261385,21.20696892854107 -42.31124929133345 -8.334159224070739
-13.633259299966303 -10.188422346728395 -10.37686791254155,-10.97153135121506 -3.8996054162778595 -12.017389418928753,-17.084427134956954 6.904281915831992 8.494031051888047,32.39857959885323 4.880441220810684 12.252960962340401,3.7855537436951687 0.20278626324608132 4.621901878488432,-6.578350173514841 -7.48053104713394 -56.899565199377726,21.56098728140502 43.30919435857201 8.676204015760511,3.169057919006404 11.041004180011809 1.3133235440740614,-3.673278788896698 -3.319144525861442 43.52144645103227,21.72529980127299 -43.70561034352761 -8.834631592618061
-13.074688846103854 -10.451155986440865 -9.915736712453354,-11.606965019387896 -3.5797591066923395 -12.132991598022324,-18.717165733099932 6.860385163131244 8.82770598819432,33.762124028512424 4.333114863845496 12.571424035913353,3.7396044349819295 -0.1570869996807844 3.833662054112557,-7.635101351455055 -11.086674708597545 -57.52623765132398,21.55160257206248 43.1857253016244 8.598271922569234,3.167811840850863 10.958439197983315 1.5855380790221512,-4.26836454551945 -4.327139090289745 43.21148263152539,21.802231553823123 -43.87698075652106 -8.8715712021314
-12.569310555838472 -10.002698945813489 -9.829947615662501,-11.303364050584728 -2.82189289560568 -12.59906925325176,-20.456869418742922 6.7860546217771835 7.756944993013428,34.36482915359921 2.7880742666434064 13.148975776121635,4.732035741341205 -0.41136565204119296 3.1035784841909355,-7.765547561351789 -9.942629837618895 -57.18660150633184,21.351233875265585 42.49973929985736 8.32722707339489,4.182854189525586 11.04527055122173 2.342492261723989,-5.613887480198042 -7.093308534856834 41.84895647794199,21.559096721081012 -43.17026564684238 -8.58327697750698
-12.650220761916774 -10.058051083872028 -9.946480411093653,-11.079386515320824 -2.47594274338835 -13.146384342923524,-21.700320833940594 6.774025549183296 6.5856032108703815,34.96680442363773 1.5890141424658177 13.683730880149128,5.507985799953333 -0.3945279016161962 2.5354992364988895,-7.548423745220049 -8.2517428219183 -56.3830745866282,21.372126070582006 42.517422205440184 8.345610318547287,4.990193347459153 11.287339413978584 2.8291779802312624,-6.509951212190725 -9.295483431109151 40.53528683478193,21.379176238271757 -42.64804177273281 -8.378518139800802
-13.791154730180207 -11.695274549755764 -10.09419715433465,-11.869672780900096 -3.3028290260917825 -13.514266786972659,-21.896240694533475 6.899535921098849 6.509462451605573,36.23647616615845 1.9580620996199734 13.899917981450038,4.931509065129482 0.030258916359369278 2.218246308139046,-7.512527245365495 -9.873644435533752 -55.60214981169507,21.9822848216659 44.36768464310303 9.082531682492593,4.482207987464291 11.661019525174257 2.3623186682743316,-5.865321547271381 -8.82638122111558 40.29823160764834,21.60921157313062 -43.27127744422315 -8.626419569240289
-15.750033315636081 -14.296909320930363 -10.14942445500126,-13.530313347113346 -4.965808422383006 -13.564550669803829,-21.11505879613702 7.026948390457019 7.34435319972841,37.68751113211787 3.6002477218070683 13.845148732828243,3.3593110537516004 0.66238011155576 2.0719830643509676,-7.5280847482557895 -14.20802704731838 -55.07679679738036,23.00257382439641 47.48503218223491 10.309482796413874,3.0114285920185417 12.037942828116053 1.1497990623433623,-3.9440936330687446 -6.268264764173276 41.21660088054935,22.13730565183978 -44.72695520446834 -9.200271658521311
-17.822961624366485 -16.151610102814026 -10.019111215630527,-15.221560089549373 -6.419967483584265 -13.23810502064084,-19.8283075664796 6.884577014825769 8.015814762115406,38.08856989403781 5.241827673627608 13.775668993119707,2.1110979682311903 1.0835130226142562 1.9080608498173994,-7.040438646269579 -17.77720340987702 -54.87642173783262,23.90086195673333 50.210805840391835 11.37368536034381,1.8724190691896654 12.22216591410284 -0.02555332509739855,-1.8847686442146967 -3.9385875113396027 42.7569803364641,22.5556655673214 -45.880131295413086 -9.65347158257745
-19.336997597557726 -15.67295360962505 -9.622368829481964,-16.142025534862892 -6.689528918663123 -12.492315032548127,-18.50224566300705 6.231637652152869 7.515466112561642,36.31574063098835 5.674254781309102 13.923218594547292,2.420609401582873 0.9070124900152697 1.5534061788660607,-5.552873907124569 -17.32767009053696 -55.05059877448115,24.179918171542997 50.99661413981028 11.666327263019758,2.2738877949953467 12.036590810232953 -0.4210506454637003,-0.7716866678248406 -4.000176670221007 44.38983533567067,22.485546699734343 -45.676697186542555 -9.57140455029709
-20.163692827873863 -13.291246420028305 -9.042462470285034,-16.19412450673574 -5.938975118692681 -11.498686547352438,-17.434657277400607 5.294631306439134 5.974888090529386,32.93346598581102 4.837272362433599 14.1253122155017,4.084385950743343 0.24361997015636927 1.0799157163205255,-3.484726220169913 -13.439804207002977 -55.40791465242991,23.917062399546875 50.104175192179035 11.297605057274119,3.9938320693002094 11.585478551395488 0.005516239637123499,-0.7208633727835159 -6.030082255095067 45.78403688122206,22.02690932492795 -44.39432898880033 -9.065210038624631
-20.57709996851967 -10.927603879807616 -8.48400320910256,-15.80053716196347 -5.175692207587712 -10.587007855126755,-16.798786763346563 4.64548590512285 4.368345116201444,29.754255425252513 3.5194640090740172 13.928045080577267,5.836560747366121 -0.42824452295081195 0.7405731701824769,-1.9324950689788192 -9.528067320985537 -55.57881320853282,23.61433463439774 49.13327786074096 10.909221492661176,5.752637732375347 11.181076617722871 0.7785480001738019,-1.1325088272527755 -7.693893862267659 46.755121564314464,21.63358235923701 -43.29518578945826 -8.634676042080326
-20.85349157783449 -10.439404505985918 -8.139452065233662,-15.388783939690999 -5.368612259395302 -10.074214000609084,-16.7548713855127 4.826730638047117 3.6445230824263297,28.5401822869232 2.500046700122524 12.902132559050564,6.450387209076116 -0.6470195460518328 0.77562435205654,-1.9442665804350292 -8.862236433046165 -55.21630214537367,23.755465101593273 49.62361092832227 11.118297956941536,6.3120937143166875 11.121714040974636 1.4241738583930899,-1.403555237772054 -6.745180330441007 47.13760461660513,21.74187207631747 -43.59318205913005 -8.760218837298941
-21.14418112456527 -11.975096876760132 -7.941608380139196,-15.258994687310395 -6.478579259803081 -9.990406420846316,-17.288466210444284 5.7315727519810435 3.9670716696805695,29.673259502102482 2.0514398489683514 11.16293710018275,5.807854374149362 -0.3923437233449776 1.1312211072499136,-3.4548600790073856 -11.056084382173541 -54.436442002375266,24.33469714192794 51.53091602289738 11.900513931417406,5.580308359653374 11.380262364254683 1.7086672500421938,-1.1647636719896424 -3.2370099712908953 47.03510922539361,22.340991419945592 -45.267127170954836 -9.429021999452793
-21.494786404456924 -14.237644487274114 -7.60363868680247,-15.603546912040795 -7.613753733918635 -10.123070579101986,-18.237372727477652 6.703995583755561 4.8356237904859904,32.36818665250436 2.0173920941382657 9.286506645225867,4.728766672990744 -0.01704132090631172 1.5047581894883495,-5.457446832220765 -12.630981352883651 -53.74696295567836,24.932245425907627 53.471165404098194 12.688990255070296,4.434995364387129 11.654307447894727 1.60142572409848,-0.24467751913477276 0.8325351781607921 46.778881446989125,23.041982921880965 -47.251126467882884 -10.211072063484638
-21.939319392795117 -15.927307837762152 -6.850647015819839,-16.59227806955931 -7.8919226492909225 -10.260275972478253,-19.43684387712389 7.096286812212646 5.741875848240595,35.81115789034205 2.229528944393821 7.849162649597222,4.033057581551218 0.12819339697918464 1.59733683290066,-6.947678438353073 -10.19639525910017 -53.640672051388705,25.13152986543017 54.07244185729743 12.9221993858166,3.752482441073036 11.646355262063636 1.0848076807197933,1.500420259112783 3.4662338760847344 46.696635016354776,23.456803857666163 -48.48068735036273 -10.677368220757248
-22.332424642004128 -16.67259751000751 -5.816394296760981,-17.980091519772643 -7.221626506196399 -10.368383043517827,-20.76777062965069 6.815663232963054 6.458844451262729,39.367510004499856 2.5493917602414857 7.118645006870726,3.903212200776014 -0.006398383548894954 1.360212581414285,-7.617822806621198 -4.382259488948638 -54.01956441815334,24.868092290151477 53.13995047126552 12.525000008807508,3.717111695371546 11.353479346566797 0.28339143339837447,3.7480899655663884 4.013378178953398 46.88413209967625,23.47541252075727 -48.63492093888088 -10.70567609785235
-22.355279260378897 -16.99974099887874 -5.029856301778887,-19.120605060654416 -6.276148878488021 -10.58617861032038,-22.15518080164204 6.306017332348996 7.03161287500013,42.57582983575116 2.8674537241337616 7.064262301386425,3.9052350098080426 -0.17953877302822094 0.9865668987612304,-7.833850177856642 0.29327329922068035 -54.21425699538187,24.418014010760327 51.61729925176131 11.892638209270473,3.8440012864347723 11.057631524083373 -0.540702867194538,5.7250685808213335 3.1254822336080714 47.212812936918034,23.25662386360411 -48.11208252571563 -10.470437209387564
-21.7027828091283 -17.45241008861351 -5.014321674171144,-19.376617710302092 -5.7409183165457085 -11.052892033889885,-23.52459995007174 6.020596624305713 7.518599494636971,44.994069697477386 3.079761987435004 7.638337543420954,3.5956586610681196 -0.1469305624604856 0.6762322031350405,-7.977838469304606 -0.6871302343184335 -53.561887133427476,24.064328470529187 50.4704789869485 11.429401123947832,3.637598021771581 11.041765255055342 -1.1260410610685854,6.6675465347703495 1.5110173222708803 47.54514372042984,22.96913610212703 -47.33838429998547 -10.157125844432118
-20.64764070134568 -18.039223853844117 -5.686532307923217,-18.821344766078607 -5.7702005045418705 -11.724273001134371,-24.7652579748009 6.062985418923787 8.039445700082004,46.52096598302067 3.204219735258441 8.660585956676382,2.9680428984693656 0.08909840218443696 0.5389678993516583,-8.114048051675255 -7.403618828002168 -52.229271383047156,23.896395421956676 49.9942337335385 11.256458039040831,3.065964953313794 11.29320082596406 -1.3863849373868065,6.585928278869131 -0.019183843953900992 47.749200575648075,22.75071047542817 -46.69949976166061 -9.920599327271509
-20.1013735605147 -18.177253519450584 -6.292639295612659,-18.313429231597258 -5.93101384104041 -12.353218274873765,-25.72625673309787 6.150184587581143 8.781480311034501,47.43202187170771 3.3934527201380456 9.804113188638562,2.4991193695797627 0.25355457613283344 0.5849497504144152,-7.955364033220966 -15.030643215704998 -51.300509654510094,23.78945131104449 49.741185223627824 11.181966545440233,2.6097336847922588 11.472410036716894 -1.4291908225913688,6.346579988496377 -0.5411189875514637 47.69926190265424,22.704904672592757 -46.53628332285884 -9.881865233636342
-20.982264929415976 -17.27424841057545 -6.063017455001518,-18.730402775327217 -5.77149266047425 -12.687250348170357,-26.258432439820503 5.9864023520120995 9.92779624261137,48.02045749487219 3.803010908426332 10.738622206523951,2.6777326487283197 0.06546536144567267 0.8173031477630863,-7.209526402178366 -18.585530512635163 -51.87871261092777,23.610429421682426 49.235302075036394 11.00192700192148,2.763468528673743 11.232546767421239 -1.371662945511635,6.839478785348179 0.8450520634466353 47.27799880271386,22.929827078651407 -47.17575053878147 -10.155788182917055
-23.245672820915214 -15.517603114430143 -4.9211238079097805,-20.15306737809734 -5.26111093848588 -12.66150495622779,-26.352175552573446 5.539982756075265 11.378102317082929,48.514282565199224 4.440221982181608 11.287043627316473,3.5206624173898575 -0.4583775575904364 1.169690985490898,-6.061734394123899 -16.62837596381673 -54.0248610858297,23.32798122526331 48.357654085282434 10.660322965713094,3.5605996817246655 10.578179555210689 -1.3209053424159451,8.197132518898528 3.939919728918773 46.66366031525188,23.388855447841394 -48.523086964985055 -10.69643091687554
-25.62935915208801 -14.08055483814321 -3.666801098111553,-21.654779556956257 -4.9021164594916895 -12.448350251558253,-26.17433950126874 5.1132632167256 12.673775009783423,49.05904979461456 5.124990121790484 11.466060733525921,4.447773691634481 -0.9246667472978387 1.4879425060269995,-5.300922941112281 -12.19901962230084 -56.48218789134084,23.03937838667048 47.44085687624415 10.288259177438688,4.451464379242279 9.958232290883995 -1.3712505998114985,9.594247422726864 7.1540996437136135 46.408246649772366,23.875003903007 -49.95008430184397 -11.254526083394564
-26.810656566376288 -14.178143798280352 -3.1440108886487894,-22.25942499551998 -5.221645294083538 -12.231593544347025,-25.902294139608564 5.024259310268489 13.337433550944358,49.78994615320521 5.665835135058067 11.303963193229741,4.848885747190671 -0.9231281663348717 1.6134888412233892,-5.738069829482842 -8.59062319876133 -57.92420128959211,22.849240161250755 46.84330202971092 10.027699960457532,4.8568043283385816 9.842620453698348 -1.613818279001315,10.155940451823398 8.829449283001477 47.07480294177641,24.17194819938898 -50.79949295207657 -11.569952853265562
-26.35549036567696 -15.947912345594208 -3.5884847990743918,-21.752684104598124 -6.279958857989068 -12.00509201520816,-25.67300567296968 5.3021150151705685 13.104296013498685,50.587062364343495 5.9033977309631585 10.787672101439341,4.528290484599187 -0.4046986904219808 1.449905133348832,-7.345500645323474 -7.384580999612455 -57.768750613594186,22.816774670485508 46.76299356245001 9.963089843682269,4.589898715987276 10.323613004745885 -2.019430639183628,9.603120466618346 8.333590550098213 48.57647945760365,24.143307408064306 -50.67422545542088 -11.4926740842956
