-17.4 -2.4 -6.1,-9.8 -0.7 1.0,-8.8 2.2 -3.4,20.0 -1.0 11.3,18.1 -2.0 3.3,-2.0 48.5 -40.4,26.4 120.9 44.9,17.8 8.7 0.4,2.4 -39.8 39.0,27.0 -118.0 -43.6
-16.36403252656052 -0.9600047370839317 -3.8334060059676665,-13.101770638421932 4.3392585345075005 -0.95458403814893,-10.977528597006733 3.234964986164354 -3.9857111390210664,20.775426015868096 -3.5863404750162755 10.82176548946905,16.32126260798334 -3.429664932870982 2.2141212068394984,-4.989152858929888 45.168446172166064 -43.32570503635651,27.25905987387224 116.89050091322497 43.17075993586535,15.72080233516439 8.399431502689447 3.7219348729181263,-2.330623087631948 -48.323898975046326 35.92264500476851,27.648875047044438 -115.23107323270406 -42.3098252883274
-16.435820038299948 -1.406659552536581 -3.2437224865624477,-13.390600195212333 4.471513721531972 -0.9059094122394036,-12.3792688213257 3.588340761983412 -3.9197701249698658,23.135789447077514 -4.000283733670988 9.656620627589726,16.356281194044886 -3.621372495522504 1.9882700604776047,-5.223703745755567 44.659002046120825 -44.30294696156285,27.56018947950573 115.6509259695425 42.58880859815438,15.760617704116013 8.359102910052394 4.136125080790083,-2.4541981264500397 -48.27453447969684 35.85045445332326,27.718119626350738 -114.91847012908927 -42.1643132521173
-16.487451698431524 -1.3225229182783067 -2.859321738618917,-13.048926869683008 4.48710189194089 -0.47757302876996643,-12.93070061198466 3.684645408018487 -3.5956915907675606,24.18367642497564 -3.9592131007254467 9.221849543274168,16.56770578960776 -3.770319654657014 2.026114747055147,-5.245270187324519 45.09525565804233 -44.95502112405675,27.64633488545068 115.33044100296081 42.40038793943364,15.979877091971453 8.234113395723393 4.319290201325537,-2.313607085063108 -48.01575584780072 36.3452276772958,27.614239320553487 -115.3945604017304 -42.40133714032295
-16.660479918743167 -1.067943956359946 -2.6979504550093965,-12.49208574695067 4.3804798743589295 -0.01659093055274763,-13.063460738680318 3.687237453106776 -3.1684009340766655,24.470293358782826 -3.706770521564143 9.130506765113068,16.714914365380558 -3.820786616522207 2.2619549396939957,-5.098346908426063 45.07348868526877 -45.0634627995518,27.671106708425988 115.18525311886455 42.293914786012124,16.123270037301015 8.1205651758258 4.330732187690495,-1.822742501848831 -47.03313707085824 36.83535982130033,27.454205136268968 -116.13962279304542 -42.77004895301236
-17.082667780124904 -0.9907342565796955 -2.771435125600278,-12.121475681344979 4.151583916449249 0.1425789410274675,-13.20036531353945 3.755732299930735 -2.787989040581798,24.54204015757651 -3.481390401352294 9.005482286671956,16.571162514132407 -3.7215324686981295 2.6288810572149606,-4.829321168434125 43.27415752323925 -44.436352876226614,27.782895895710155 114.49994117971254 41.9694065256572,15.950071187912386 8.110466783733276 4.233163821537029,-0.9097952199683838 -44.861522193236524 36.775499466875786,27.349654129006563 -116.65686067235364 -43.03020764486261
-17.632145115407443 -1.10550601745868 -3.0254867141937534,-11.982022158427414 3.8921900056686183 -0.05011085688459665,-13.434299811378088 3.934954406121577 -2.479000951959006,24.58642288672651 -3.3520785453490003 8.787215731086784,16.18013391494551 -3.4946326627261595 3.0892165551094735,-4.4919944608299 40.07983273104846 -43.28974704571813,27.996191036833512 113.23811761460253 41.40983949360629,15.50142675556895 8.20697904773311 4.111103903297802,0.27274414031064903 -41.87459411796819 36.18025117679081,27.294979185157196 -116.96157118576124 -43.1813247186105
-17.989621423615393 -1.163363529171301 -3.3535292823991645,-11.836736728006478 3.7667048075892904 -0.4197841402068547,-13.597226864974552 4.178946785467945 -2.1666948455550687,24.50711946380369 -3.2538495897291186 8.667278148725886,15.799378001906737 -3.2201442738264894 3.6284035876101983,-4.146031763160714 37.21918739610943 -42.16234440758019,28.219585179087566 111.90040278099748 40.8219657052085,15.041398684129826 8.342998343230517 4.066316338134574,1.3949993852314524 -39.10942433424054 35.507055945220834,27.19185163585368 -117.47403649294641 -43.41251794313243
-17.850230358961145 -0.9154398403286805 -3.6540480954724317,-11.453483528123423 3.9337648048021276 -0.7899036632138284,-13.522472344378192 4.438482305735741 -1.783426284558821,24.20592472558807 -3.1232507052005194 8.837967775809831,15.682504013379091 -2.9765870737125466 4.231720811344201,-3.847775818633047 36.37780514780019 -41.57017063415295,28.362566772564495 110.98171989085084 40.41022351140686,14.830408872899548 8.452642398963693 4.196581321700462,2.135527293973784 -37.5721629348768 35.211909824788556,26.94723410032297 -118.59095544758864 -43.90275346686424
-17.29201015804098 -0.2524755695503236 -3.950920716432147,-10.84266086934485 4.402178825821585 -1.0705255779585974,-13.207392518049936 4.6490477217501915 -1.4510911845284966,23.698020325795127 -2.997149664053604 9.373113864498697,15.894126433884193 -2.782177949422455 4.869087892241765,-3.5862776603003206 37.698293695399556 -41.42086144481623,28.407807253679266 110.58352621352341 40.21625755482488,14.94090884373915 8.530708118541245 4.51359922155415,2.4294456814781014 -37.321379889965115 35.4892047233775,26.61926473038798 -120.03960353453114 -44.5347771189132
-16.739334750177715 0.80851416511755 -4.381441549740358,-10.234038269885144 5.045237173786736 -1.250029425100527,-12.797708506363438 4.732303559145307 -1.4630239662206663,23.10114584927014 -3.0031538291773465 10.239390935594294,16.327914734473694 -2.6005900653587877 5.496532349397454,-3.2897232333512156 39.9276450811686 -41.07176623306019,28.404171782897162 110.45139061677044 40.13446620751034,15.2753316494732 8.626876481212719 4.951211538412728,2.443930813105111 -37.55856266570156 36.29671262616283,26.40281935408059 -120.94176542748664 -44.92340461155272
-16.61438487133055 2.2398510384868273 -5.079112914363565,-9.858092699773279 5.732680273751107 -1.3215108931726582,-12.440632681913971 4.613871982352969 -2.1019510658434175,22.533552916388242 -3.264922075142949 11.39611568164496,16.871444210264464 -2.3952407432755303 6.070471647941585,-2.887234560458581 41.79510827999932 -39.888048413871054,28.40182454554577 110.32492637270651 40.056863867450815,15.729885675591865 8.790379497033268 5.440652211803354,2.3509756504654056 -37.47930423409785 37.57707979884053,26.489753272013793 -120.43389868102915 -44.6897832865334
-16.980675545393748 3.8644044891699245 -5.984838370723235,-9.769374602347499 6.366831764093689 -1.3243704095048667,-12.1891537945499 4.328399958238799 -3.2402726416047423,22.03567795760786 -3.7296650755065186 12.7171156889297,17.413878596853547 -2.1713347613494682 6.569092052716441,-2.3844267788956963 42.82543375702234 -37.910583230581196,28.424382778807992 110.11162009174195 39.94687972154453,16.198361643078393 9.011132017173962 5.917988076617231,2.235926893245176 -36.890013681341976 39.11160077588488,26.87764376826545 -118.54446905512324 -43.84583573003171
-17.5308571376813 5.35050854665673 -6.840372047254261,-9.840524277150193 6.883706717526094 -1.3458880580735166,-11.998832235331012 4.023267410210557 -4.326106546830719,21.567495561426924 -4.162143942504736 13.987821779993466,17.846024096392565 -1.9772856301169923 6.993089029196836,-1.866009826123749 43.36593008273876 -35.878940081242874,28.46801385630622 109.89254143445737 39.84178670705683,16.572050378747825 9.217714237338404 6.324283239658798,2.0945379645365265 -36.22869129963692 40.51473046172479,27.36318232197511 -116.2242895188893 -42.807550829324654
-17.94604445031891 6.368762238114795 -7.3839984256280085,-9.937504009913338 7.225542459097753 -1.4747459302540327,-11.82085887276244 3.8494848335197824 -4.801143495802658,21.08427781481886 -4.326423127911028 14.992653842117498,18.06084967725718 -1.8622993534004935 7.34556550670529,-1.419639443182844 43.79530073452396 -34.551997586822175,28.52813769756745 109.74818797976758 39.778072805116636,16.74378110606196 9.337663962832899 6.604961533426465,1.9168751702930675 -35.951599494933745 41.39920165729833,27.73812497896924 -114.44587060973035 -42.00046581123146
-18.08438741766449 6.888027012858978 -7.535566702259732,-9.980738968447346 7.4827523558924405 -1.7740001225455142,-11.610424038775431 3.9081873458827334 -4.524521971288213,20.509873655845084 -4.231699145429588 15.613420876725469,18.017575835460498 -1.837448669397097 7.673078826128561,-1.11063026175051 44.28402268201968 -34.278178709819684,28.616654057971154 109.48663626440549 39.65914291104564,16.65888148918919 9.355269649058618 6.836527123875801,1.6437003841121713 -36.16959512185904 41.567461320157925,27.931804259364586 -113.51948409165034 -41.5613650705171
-18.013336395949977 7.2297861416329825 -7.429581610656062,-9.955043258801991 7.920931433675905 -2.2764103068282333,-11.327446445322824 4.241544720523641 -3.8489095819009864,19.730981891737226 -4.176976770718376 15.847070515743052,17.75374917387073 -1.8687231258537074 8.073560462730075,-0.9778840565997438 44.756396357112095 -34.92064373411279,28.764946038111226 108.59389206809054 39.231063963272426,16.324745662659367 9.321913411622612 7.250454372685965,1.1574851370908077 -36.58517807956786 41.04624665191225,28.036202964868025 -112.97246755674 -41.28565392761118
-17.812535081123418 7.729299482646406 -7.2119193938054424,-9.849578631992006 8.808517905568056 -3.010868009032973,-10.934469323330568 4.88563763466739 -3.151232248031538,18.63784415906162 -4.47154535473733 15.698901910148646,17.31248227612703 -1.9197654272665443 8.644710497136442,-1.057368976171153 45.12331627416558 -36.31202395282179,29.004429445735102 106.55095459492132 38.237494326076906,15.754265314074658 9.292337995705473 8.080930617758641,0.34154407899999145 -36.880650149956594 39.880098399467926,28.151307753259182 -112.29406930898432 -40.9521329020884
-17.566181460325073 8.440875967834371 -6.984763466019783,-9.680352225126978 10.103708123836975 -3.9158935918462747,-10.494340077718784 5.762058233174342 -2.627479746315579,17.36333606621607 -5.149515215373061 15.246838326473913,16.781371344369656 -1.9651636953861775 9.34780994314144,-1.3249785734154866 45.33023500662702 -38.17804217518514,29.31992237879711 103.41861188193799 36.706919114448965,15.041948877873738 9.29936692602547 9.296133471567883,-0.7412588401794162 -36.88263831149645 38.32049645371376,28.317865152857063 -111.27738431479604 -40.472219174926515
-17.36463445512301 9.038760944882567 -6.791190644978588,-9.49968696111955 11.345010792152742 -4.807755504886249,-10.205595161985928 6.637521357089124 -2.228875835965004,16.36856256121215 -5.872741163093167 14.667047169563629,16.308188938624824 -1.994312746384702 9.959595416739642,-1.6753389486825105 45.369354430299026 -40.0997980119714,29.633206686050855 100.04197620699213 35.05313014871796,14.392713939832728 9.346171938629611 10.504389055681912,-1.7851697412816763 -36.61300916060571 36.89886294963894,28.496483084741335 -110.12654392019944 -39.936730523258376
-17.297482961773916 9.174956799951557 -6.669409463595936,-9.362163619762084 12.046521895484751 -5.495098091969562,-10.272700523532738 7.269833442991967 -1.8906537115658266,16.13072934795563 -6.280872764354353 14.141688243952526,16.043416416485503 -1.9979185655348024 10.24659552095311,-1.9984212287710599 45.237800736260475 -41.65052484736592,29.86224643687073 97.31622322157392 33.714534049119756,14.017113678062225 9.433445977042101 11.292572237084133,-2.4706799862526707 -36.1108444264949 36.160573417991316,28.64245547583372 -109.07372015776743 -39.44871140765078
-17.38187508076324 8.785570233536923 -6.617264995443517,-9.303166302700308 12.045014275263139 -5.849787416130186,-10.67799522756095 7.541915510731376 -1.6310654913797142,16.69516632596701 -6.266672532359115 13.794045825107437,16.043773274553836 -1.9822959154171813 10.148828397989847,-2.251014326495589 45.02905483580071 -42.54742932443377,29.964408863768654 95.79991221304313 32.965413093106065,13.993606791457042 9.539440714852262 11.49308177592373,-2.6874579885903556 -35.616612793384775 36.29593959881694,28.733545076388932 -108.28293182879439 -39.080744309278565
-17.52267567913106 8.247069633353492 -6.570038952112352,-9.328324260452709 11.677409900432117 -5.841683205188873,-11.059521671863857 7.530616184221672 -1.5970426253656005,17.437795897969615 -6.115228047765888 13.656147118440002,16.22064812489622 -1.9779531634399679 9.875220975796033,-2.493474722994754 44.98594745653525 -42.73087663750349,29.958136102119703 95.52984710435764 32.825656826813216,14.195905536127558 9.607623857250347 11.31887846675681,-2.649396591698371 -35.68293272576201 36.94492435657415,28.78234131282784 -107.81256022609324 -38.85819564125903
-17.61576297144568 7.971087659968208 -6.45832270076543,-9.440365494191667 11.321862482312193 -5.45059516891159,-11.029168287558857 7.329657474587821 -1.944431670273332,17.6821256394937 -6.143146457678023 13.75126925085987,16.4730652936375 -2.0171431574719043 9.65658846659008,-2.7942674071494973 45.36120924469556 -42.163263386347516,29.86730614622386 96.49370525941961 33.29118520319644,14.480424963141799 9.579106056643981 11.014995254918714,-2.596861471334695 -36.88154388431428 37.701597223412634,28.804385605979935 -107.71081618425636 -38.8019005387621
-17.617448432042497 8.12502240961002 -6.274878899524594,-9.61129496760347 11.19541373932446 -4.793040537777035,-10.510192489961934 7.049974845641147 -2.6353962068952583,17.216395640161327 -6.466631427025239 14.021765718491281,16.712393944706932 -2.10184549658791 9.611923715707732,-3.1498781977973076 46.14255932196015 -41.061890739186204,29.732170738797535 98.2975336270967 34.17032559774325,14.731938407038886 9.452104056562643 10.76672884095612,-2.642770000200445 -39.08911223539609 38.29026924771225,28.811276749088737 -107.92850086308407 -38.890463102495566
-17.591580258022535 8.441673799686779 -6.123099633181542,-9.758448166385094 11.228417963439501 -4.228797931960903,-9.979910837659348 6.833133886003494 -3.2874546227934713,16.65580471597596 -6.8452827607629665 14.26599212486598,16.87197001009618 -2.180170669123178 9.661239554618186,-3.428711058127069 46.84614749610036 -40.09764456270776,29.62211755285253 99.86829475308778 34.93759762720408,14.885680767388445 9.326450861397252 10.65307949163646,-2.6732542859688855 -40.94546913711375 38.667007068688086,28.80759790772335 -108.24308177740754 -39.027340286338436
-17.612668847421077 8.610090919093757 -6.117181507303212,-9.793903986421313 11.321828071194595 -4.140901600528485,-9.970029374990439 6.823092367186678 -3.4842628307863217,16.697139449977563 -7.002914660946967 14.268589711121638,16.887741334608815 -2.194938154760931 9.704375011521094,-3.4866158022710874 46.94206295050978 -39.984664408985765,29.609180365721034 100.06848575682433 35.03582091802211,14.88247428986108 9.311922456923105 10.74140916590076,-2.552108886464969 -40.9708120112217 38.811639004616445,28.79722412344408 -108.41487587122312 -39.108531660115354
-17.69274789225233 8.474230569607938 -6.28277696713953,-9.685705319103796 11.398925398437449 -4.643500217368806,-10.60983715547179 7.050776845150955 -3.0553325931340916,17.496965594570582 -6.8072232549920715 13.981008178525753,16.746985253912896 -2.1276614765713804 9.69103623011265,-3.2752855015325535 46.27704906806705 -40.91966893778382,29.712617051710332 98.57836573645467 34.30807023972721,14.720099628377339 9.439729985153749 10.998497641435463,-2.2967568644508645 -38.846651517625 38.68503727407456,28.786255832252305 -108.3101255804508 -39.07272243637029
-17.7159054330576 8.195284079361649 -6.464209431533927,-9.516503368588701 11.42871750982925 -5.300093386043742,-11.20451601996963 7.3156379637679 -2.3336623126167173,18.10553407673305 -6.420559556072305 13.696303219790193,16.542096443668978 -2.039095444570972 9.673051904806242,-2.9426900279455084 45.46919698671452 -42.03975383306404,29.8436060468115 96.75288337893865 33.41710034018155,14.51298220119513 9.580192141010912 11.18514308251015,-2.2392361271777745 -36.63274435834897 38.209254018848675,28.785350841362987 -108.01199748658243 -38.946013485643434
-17.550941953124557 7.973030113829003 -6.483959436664612,-9.38286625640832 11.38590670629689 -5.607613457427526,-10.9601538584912 7.3892177896789155 -1.713479273721614,17.44031579311965 -6.041193457031074 13.748624784003628,16.378221063814628 -1.9995761742828224 9.714602942718598,-2.6606517566743006 45.22971207932519 -42.35414327225705,29.900269857153507 96.149169217058 33.12462337380665,14.389633463959472 9.584235496863746 11.037581451543321,-2.7490035285125254 -36.67510061706362 37.30233158068871,28.805687570541355 -107.63024783999556 -38.76525448517828
-17.172587021237167 7.935590137145826 -6.265162104203292,-9.348857224153857 11.272007779628753 -5.30259841166131,-9.590081813531285 7.1645536130887555 -1.4714961617551758,15.16902486660689 -5.822675676271884 14.266949704146327,16.327071361812756 -2.0454989661900833 9.837321814885247,-2.5505182646679505 45.89695142963915 -41.396072411441544,29.83046074355369 97.52032211158433 33.79857067612435,14.423613025571578 9.389011348811726 10.476424676910455,-3.8867111280399222 -39.93523742666326 36.09032329218201,28.847977892828293 -107.28263811739949 -38.579965006871554
-16.805964602253912 8.041702846010384 -5.968879127439794,-9.4017047163993 11.151914691036477 -4.687964259577769,-8.00664891086412 6.821872243374852 -1.606645513597058,12.732794860621329 -5.81285007534804 14.895268104798427,16.381328747814027 -2.1330300708941814 9.9622653109172,-2.6143251707206896 46.927936067682424 -39.937429718204335,29.69958179655473 99.71887674873332 34.87605736846808,14.558585722272955 9.135488363075032 9.85811124425562,-4.983060475464547 -44.1020176282139 35.19097734180537,28.888192934813834 -107.10585249084605 -38.46961362675931
-16.712156997639312 8.225639433800039 -5.7904169121126285,-9.51752372506297 11.099622475745765 -4.148256001079205,-7.294626963973365 6.582755493473538 -2.077622397793375,11.827651941970197 -6.044186006331405 15.207808199051279,16.52223191816494 -2.2067743355041487 9.996036359626656,-2.836816928478097 47.652766469529794 -38.92846872804439,29.589974829799004 101.32363636636028 35.660137857104424,14.719472371423102 8.993964352742756 9.601727098601762,-5.263937713375535 -46.39341307946506 35.29240098522699,28.89875218107087 -107.23913651294994 -38.517901886571615
