-15.4 9.0 -17.5,-9.0 10.7 -9.7,-10.8 6.4 -15.5,20.4 -12.2 24.8,22.2 3.4 10.3,-3.9 65.5 -38.4,29.6 100.8 35.4,20.0 15.2 12.1,-6.9 -54.9 41.6,28.3 -111.1 -40.4
-15.911651383336576 11.92622384480965 -17.464244300400207,-8.259436607809063 11.779845708000959 -9.108571350026306,-11.743209110673686 6.1204584226183005 -16.395271771996036,21.45246009081158 -12.771793590492605 25.743463882970715,21.71090744889072 3.1561716407602955 11.052735405240158,-3.615021855432493 64.61213905049965 -36.94317476025876,29.62165179624876 100.08764441451117 35.01803747728807,19.30952775365642 14.966548833909725 13.173426767949662,-7.561768498419312 -48.94569301713098 41.51887186364862,28.363160568846467 -110.92699792084922 -40.344472286966855
-15.966042102066863 11.756939084974094 -17.35713424130278,-8.236455107868343 11.495523089511629 -8.728015558899823,-12.34935790862547 6.004410521828276 -16.51329369266028,22.311367381622887 -12.55027181019652 25.36087758035525,22.074245637811828 3.149454192503466 10.88531582283686,-3.6111159629600027 63.741985536550985 -36.51862998912505,29.581519389268674 100.35914784672548 35.13794912327464,19.697219872827414 14.996543475114176 13.11924353055205,-7.14058755318965 -48.11194938954253 41.565039089815656,28.469876519711516 -110.2615424695584 -40.045940676172684
-15.718017119989401 9.639913618827535 -17.208218949101507,-8.670248433348117 10.370688859440676 -8.507893346545623,-12.688513066803711 5.9983337495980305 -16.128252587290795,22.971592509069175 -11.84363404445159 24.173023584955445,22.947760315056836 3.290436705431905 10.146830455901416,-3.7879124667153734 62.93850444579695 -36.77497655013068,29.5044864542725 101.24483762660013 35.57266864319357,20.736957582689495 15.187734711863722 12.351020945019918,-6.064908664725011 -50.61460732667344 41.6921535608573,28.593678479999767 -109.34894078890714 -39.62286956777598
-15.322421400902746 6.72291534470417 -17.04704755019017,-9.30000951741866 8.928999732696767 -8.39776543288879,-12.830741258156776 6.048705557895669 -15.514335281185653,23.428006109785713 -10.960079678597667 22.700684389573137,23.98919722891927 3.489708229748008 9.186368507545138,-4.0450415108314495 62.25066076588051 -37.360825306807435,29.41543666647298 102.37504108409235 36.13512974227879,22.002622108419196 15.43787333240873 11.282329668566028,-4.763183333439398 -54.66950503796249 41.85386715912977,28.708097077115873 -108.43450002167498 -39.19372336193525
-14.934099908605445 4.153712160938205 -16.903169170962567,-9.864931293250251 7.694112424188569 -8.3471925378544,-12.846109155633023 6.102003398689297 -14.945728599642905,23.675478820407747 -10.2078080979746 21.464642487010178,24.85630212769263 3.657857815654171 8.353019180879329,-4.282133239441073 61.72741948444464 -37.92478712268711,29.33925370108288 103.38008554915936 36.63826612576415,23.068094675193034 15.644710124999563 10.32674035840313,-3.663863059746809 -58.49248073284841 42.00383176698926,28.78666293846446 -107.76352731064152 -38.87696645880899
-14.707897606896033 3.0800719658638323 -16.806132937812475,-10.104206694013158 7.189683648824749 -8.305735381367532,-12.80468343218081 6.104704723947016 -14.696619367960615,23.708881277570534 -9.895018687922231 20.9856803700684,25.206820759670435 3.705474513352787 7.9958716790153,-4.39881779667709 61.41774558913224 -38.115472861301484,29.300821233314934 103.89029835175833 36.895011498883534,23.507256508187528 15.70599587788659 9.897823671743982,-3.1953993440612436 -60.29937262077001 42.09569926679194,28.802906691450154 -107.58132979858634 -38.791063258555695
-14.770700458091248 4.321392231351201 -16.787028686467067,-9.831044437616452 7.787317930630426 -8.244145915715432,-12.766595807685574 6.024162493585934 -14.965140722586897,23.539512906406507 -10.241994661389084 21.62697298003072,24.798308107539068 3.5746969281805443 8.36689856779684,-4.318930214448983 61.38355394851974 -37.69553800712117,29.319758693803493 103.61746967707533 36.75937064517044,23.01625019659056 15.55522172224511 10.298502787942468,-3.6673847997412317 -58.766155678663175 42.0886343828613,28.741857870061764 -108.03987074297886 -39.00956196188894
-15.096981837631192 6.907028457144876 -16.88534510392435,-9.262134647736886 9.029739414340549 -8.248695617211396,-12.737819705363865 5.941528086645556 -15.534835190692537,23.2682311999831 -10.989762800396774 22.89253100462415,23.932408098573543 3.379649396650987 9.188661592572966,-4.098253354187122 61.75735296987235 -37.04932819002327,29.38698859656851 102.71746724675116 36.30923865030401,21.95770031308138 15.320709714260042 11.228529548391275,-4.741477940596541 -55.077143212245296 41.971853932254604,28.651229867004748 -108.78226894064194 -39.36115960219708
-15.609535148327756 9.259369736745631 -17.143418754858832,-8.750979691930727 10.178615960615154 -8.44482625618469,-12.705964584229562 5.976539584916795 -16.048666153208167,23.02626094972786 -11.716843890974268 23.995040208766902,23.095254027626034 3.292773078460116 10.004210181023021,-3.837310871751888 62.69558787710506 -36.77199137817111,29.483702921587206 101.49673633903866 35.698427195329515,20.920221759418308 15.196845068533671 12.183132802814455,-5.8596361572175075 -51.26717445052046 41.744764778413945,28.599990881881432 -109.27910450024184 -39.59152921934752
-16.21609036751364 10.05675696232642 -17.57496478958616,-8.592835694342005 10.612786594834045 -8.91255360347629,-12.662078401476098 6.2152299279856855 -16.20827504529041,22.923891227506676 -12.063937194905378 24.28084225668927,22.70080014156794 3.4468886182867684 10.421881854090568,-3.6280172551651138 64.25159422497995 -37.3217299654364,29.589542319180868 100.26382147680795 35.08172561513191,20.406852325767787 15.335010981596495 12.725523289226539,-6.535858909434863 -49.097936590371766 41.42241991620985,28.64203177241978 -109.10904878165344 -39.498770695753656
-16.728446314401417 9.615214473094095 -18.010902287315922,-8.710282457001 10.460815470407669 -9.441593000930082,-12.619262675284299 6.528186091381132 -16.09075667074572,22.93755530840939 -12.069662731609203 23.951331311583445,22.701101144026442 3.7214923333318244 10.46788115989416,-3.507076594722994 65.82010764602593 -38.28110067705894,29.674290558307618 99.33989676575392 34.61977519491917,20.372953839545982 15.611631499905183 12.854110807121858,-6.745352024958173 -48.58233357564087 41.11973873416106,28.734847224601044 -108.54195269910484 -39.216219120796886
-16.920672648015927 8.89485787454191 -18.210257707762683,-8.879328376664326 10.146129223453116 -9.707486339314983,-12.5992924596445 6.701261420297561 -15.920869434721297,22.991041770040873 -11.929140413772462 23.544188654762728,22.866549365326893 3.896449572942191 10.33275729029894,-3.489479056063274 66.53684029747478 -38.88827394766249,29.703854754467038 99.05110345220486 34.475518757538154,20.558490393642696 15.794990853599131 12.738466386880294,-6.644711083005122 -49.045483183708534 40.990917485958796,28.7980198770948 -108.11950401978918 -39.009055618787336
-16.62184347270014 8.737235515252232 -17.983300422577074,-8.904566229972612 10.042584551146113 -9.450797694639657,-12.619415767041787 6.560897115808695 -15.894764046343255,23.01660063114986 -11.819623006620118 23.525080874569298,22.989086129787275 3.7902861433788986 10.192318473349554,-3.580797393671477 65.72135436767982 -38.51559131673683,29.6529085404788 99.63214830386083 34.766185772544446,20.725546281921332 15.693263602590713 12.540910107248278,-6.389649659127805 -49.84052583109248 41.155776110074726,28.76481837732606 -108.29508623384434 -39.098920225914064
-16.07498961665003 9.08145440444286 -17.526608350752188,-8.807994206932642 10.146290480957495 -8.90269109617486,-12.66271052947039 6.240016576041662 -15.990990976459223,23.011003894653143 -11.781303745399576 23.81254240461117,23.025828439471134 3.513796309876474 10.108661075111726,-3.71623664984999 64.0792347454528 -37.54968706254102,29.562062869558897 100.63065176631044 35.265495019256576,20.806279839035124 15.416286462234284 12.36620415909655,-6.125992901561523 -50.54351792174275 41.47514036336908,28.67202347899013 -108.85371700325659 -39.37793444170584
-15.711362058395492 9.456294493513246 -17.21240833462582,-8.710461602580502 10.28159962457056 -8.517399294233758,-12.696718036284613 6.010896232617368 -16.08916100681057,23.000360778833695 -11.7920568743851 24.07633458101401,23.008996294183934 3.3106645895146745 10.092178318488779,-3.7990066833407448 62.946270845862024 -36.838379738822695,29.501909443253975 101.28182604682088 35.59097592184527,20.810179612388573 15.211057577994232 12.29293999204534,-5.995069833297347 -50.83187254316765 41.692075084737574,28.603481397172214 -109.27651769022069 -39.58839244091531
-15.900034493872518 9.444209065872641 -17.360389681704614,-8.718689950781274 10.291835844814367 -8.685983024604814,-12.69276667404115 6.108196861451219 -16.082802029406377,23.007162872671305 -11.829524255638404 24.026909513535713,22.9699932131549 3.391358415742557 10.148025388951956,-3.74698323370542 63.47033785547726 -37.11436181702494,29.53286774089866 100.93217510557473 35.41583888942276,20.75001489517623 15.291031796430588 12.384203709537875,-6.113746075226752 -50.44759732582559 41.58619142815522,28.63156126365078 -109.11475214830125 -39.507461427859255
-16.448757239735098 9.12329044086695 -17.815200891737835,-8.8093494196299 10.19670588375073 -9.227775173006544,-12.656556126956698 6.425852986236994 -15.993624079154737,23.02042007159545 -11.872069155778586 23.747685543318184,22.929602544465574 3.66502180980763 10.237091841915,-3.6098877728984835 65.10011607604113 -38.06595107765807,29.623560897763756 99.93182584062671 34.91541733718258,20.664269226050234 15.565248654468503 12.56637289258715,-6.381550770936809 -49.70256426462109 41.26735190697501,28.724468276407247 -108.5570119495599 -39.22911498024116
-16.8711316946748 8.831359449964959 -18.172555991500268,-8.890959678003307 10.108345972374883 -9.662507477807837,-12.61179758632002 6.6792491858210195 -15.91050816589102,23.01159694103003 -11.898432877291047 23.517525593801757,22.903042373878154 3.882897022022427 10.297070822905791,-3.5065325696463314 66.39386086847432 -38.834184185526496,29.694508235390092 99.1568312242225 34.5281709714622,20.604901116836412 15.783225678646126 12.694186089460862,-6.584122761218669 -49.20726998399323 41.01847984691258,28.7958228618849 -108.12586595206255 -39.01334194499219
-16.733415778470892 8.873356815180216 -18.07101997208459,-8.880847135530855 10.127579291488972 -9.559557719510067,-12.582231899160236 6.613532423153035 -15.914215651474047,22.95848471226493 -11.889806314720948 23.585792225635526,22.904156688142816 3.8224600939696978 10.272831940087093,-3.542694435576407 66.06057792130821 -38.64900006519886,29.674643908073367 99.3895193752149 34.64558255643997,20.618385540970497 15.72099634081263 12.639065175327346,-6.529802491035104 -49.49786665712866 41.09231471238187,28.768788895445105 -108.28635670478951 -39.091623606983724
-16.18781028980062 9.181247421911253 -17.62688028364666,-8.796105380059586 10.226613308393555 -9.042825314551365,-12.590233523876558 6.306181934181208 -15.993119652785541,22.907614616678842 -11.853326215152174 23.870718111156418,22.932734732840817 3.554166996794496 10.187525397569495,-3.679444174156596 64.49127667387275 -37.73433766163729,29.586641690670184 100.36906143142586 35.13632654357208,20.691779809853077 15.450717864698257 12.456066286026184,-6.278339486635158 -50.29411697097674 41.405305651083914,28.67284516228523 -108.86221640817831 -39.3775878101819
-15.739430666118817 9.462352018061 -17.244157626711942,-8.713917982488777 10.300189973346143 -8.570199236865685,-12.657353940098224 6.034841387775822 -16.07994765079699,22.946920133505312 -11.811756567685316 24.09109568862617,22.98010055313658 3.3249361346439072 10.111449968440457,-3.7906958532108397 63.090040992226974 -36.91282424041605,29.50963493032794 101.20633286840902 35.55418882865688,20.77635385101282 15.22290343788612 12.310848862097703,-6.040907497179183 -50.824070493318864 41.67135343967322,28.60150414329679 -109.29091467948446 -39.59341859691097
-15.852275479886034 9.444933462779144 -17.296207525239055,-8.706630953105625 10.252948726430628 -8.568348037752596,-12.79564838388384 6.056883026682532 -16.11025132097777,23.146736479304156 -11.787674147895187 23.990733746961553,23.035017023989003 3.3626135975258262 10.11014119155965,-3.760735992478919 63.16077394088347 -36.94874429162415,29.516917945927496 101.08038001077252 35.487376293039034,20.823986302819783 15.268301513255734 12.355135769924026,-6.015658486835996 -50.393691414351146 41.62653715441129,28.63966960884712 -109.06167989174008 -39.48649761608223
-16.403014502314296 9.164282684093388 -17.71404565117841,-8.774228297556673 10.129593862515044 -9.006383581949844,-12.895981046235715 6.335519005662622 -16.065438728478266,23.345272075886765 -11.798519611865945 23.66810092363272,23.055008834859485 3.6203686321645536 10.179994721648525,-3.6216863807104946 64.54945692992948 -37.75579791120408,29.597264561959495 100.1516078712809 35.019192764634624,20.80061748777904 15.533804000402483 12.54315796743996,-6.207773056830424 -49.390817817629575 41.32587909943385,28.751006034911203 -108.39289865940147 -39.15977818482551
-16.862629234389765 8.867765491952992 -18.123148276689868,-8.866711087856837 10.071577304944045 -9.537367541684674,-12.76550528134506 6.630774955999928 -15.958592529187342,23.220397357834173 -11.858185920715306 23.466641651903092,22.976023382537022 3.8616417112383292 10.269648909615002,-3.5077837283745326 66.09503457362102 -38.660157202585616,29.68106738085472 99.25827977276766 34.57492261687648,20.681900618860194 15.77023329931753 12.692731936478872,-6.489139829057386 -48.950575417534125 41.04470667227827,28.815433733171517 -108.0066123556486 -38.96181924137126
-16.73157579857373 8.790682107783566 -18.167305972683174,-8.935525128038432 10.210067983629719 -9.826646202765975,-12.231389488565524 6.71342882634187 -15.80485163950549,22.480600280386874 -11.977347304852412 23.707227271612588,22.742012892589766 3.8620474484844354 10.328975908855368,-3.545742133897677 66.68462097796015 -39.0159769246902,29.701867822577338 99.19717753751742 34.558525974168056,20.449493307666376 15.741792317904727 12.631852397100255,-6.733225767386548 -50.128826688376854 41.04429080730912,28.720847300258495 -108.57681979725413 -39.21834512792787
-16.09559764349918 8.914472911352009 -17.870564959251293,-8.970140333079899 10.485934003904353 -9.829090570527047,-11.45876305052393 6.584890089212238 -15.641583386000349,21.361369814154276 -12.117604619411832 24.28287250900567,22.428402160272746 3.64582118524879 10.341893662146,-3.7133390702645834 66.26855864578256 -38.79584471189943,29.66039976760853 99.90821087936024 34.93548481983343,20.175637417836324 15.482076365245844 12.389485687917967,-6.879445177985061 -52.51408239814178 41.298455893225714,28.50542048759674 -109.87240737290138 -39.82295189629592
-15.503307728185169 9.01981538297234 -17.55769340669621,-8.990097663118993 10.689545680424551 -9.728539815471413,-10.880028922778283 6.428961198774292 -15.523734244608837,20.51496920632596 -12.201749457528699 24.748225321742016,22.214589945830436 3.4338178534854813 10.319244935604582,-3.870566745318756 65.63803522634092 -38.46143058509252,29.610535683086717 100.65363948355312 35.324514423821924,20.004212599295148 15.237727442635435 12.153534844997012,-6.919366262509598 -54.53441068176509 41.55370165970126,28.326174039686535 -110.94646099567736 -40.3274906103683
-15.488239573622199 8.89746135720949 -17.54529025604525,-9.013887423739867 10.620249388213145 -9.706140406871196,-10.911871007302361 6.425006845915696 -15.504658473422284,20.57003263791592 -12.156940260623953 24.674042965956087,22.27177397190632 3.4406239814515254 10.27356174357418,-3.8810453797529116 65.56828176887853 -38.4635805736889,29.604990717061806 100.71332547752574 35.35357175590252,20.07150279004493 15.24813473705471 12.108133499357097,-6.848646979446793 -54.66213234390549 41.5630912063345,28.335033739474547 -110.88315361374038 -40.29842316753214
