5.2 -25.5 10.8,9.9 -22.8 16.2,-39.7 -3.2 -12.5,55.1 -6.4 -15.0,13.6 -14.8 -23.4,3.9 -15.8 -37.1,25.3 125.0 46.7,17.5 0.3 -6.5,1.5 25.2 49.5,25.8 -123.4 -46.0
5.088151974551803 -24.806480807121496 10.88676670210292,10.47373803503059 -22.505673580699604 16.766332972734578,-40.31907606544158 -4.358799810669233 -13.096633665362216,55.24919305644632 -5.346998605502773 -14.880746783238358,14.292077489076002 -15.379566661340602 -24.567385716677855,2.548280915152037 -10.181449198184543 -36.10330287098155,21.15450348741711 137.9160089121844 51.82332130881769,18.478153069606375 -0.36615567832065304 -7.3461263724583,1.3599257759134493 18.783129232600263 48.74016540883286,22.56810881028354 -133.97905162415705 -50.311686286051135
5.078210221259521 -24.738659567801452 10.87131087216571,10.486771687502628 -22.48379836279892 16.763884026143003,-40.423053514497305 -4.40761179275817 -13.15471195493178,55.335801509854946 -5.320371180932532 -14.824869885226438,14.347608237193386 -15.411247078003058 -24.644498700649375,2.3033108445665893 -9.34747163429846 -36.001051054952015,20.80730558003395 138.9707044231386 52.234828997803305,18.541798512994983 -0.3827607510620793 -7.349292246606585,1.2700243206829287 17.682047880230844 48.54766612490346,22.346488919340725 -134.70871944191055 -50.61228724406857
4.983000244554122 -24.598305788623648 10.746353099815995,10.354922794627107 -22.461488046326302 16.54375794350922,-40.82055771498955 -4.276225583739795 -13.287588635634869,55.87216445118626 -5.547420692392717 -14.552583646569751,14.44370901390505 -15.367738497802517 -24.645662231331414,1.3242131663562131 -6.379499021234733 -35.75021815919987,20.23036576639948 140.60635906791097 52.84201269469704,18.572017797183275 -0.21435171878505058 -7.019383387367248,0.7772400860393849 13.382242530785776 47.657417966342436,22.18963445873604 -135.24616188665087 -50.85086469930361
4.903869803938153 -24.552300942819805 10.623464831546155,10.169718603467086 -22.475300635996494 16.279821919025313,-41.10856293102783 -4.024122811748743 -13.339139504958506,56.34529517795531 -5.87388780192093 -14.321809326728047,14.452105623058003 -15.260047648457709 -24.509694014211462,0.594895347580752 -4.343131594580392 -35.63815450003811,20.185396248778645 140.6001829180239 52.80190004621122,18.4871942568251 0.016386171514810886 -6.6208101686601974,0.34780818629518645 10.233225610486015 46.939446429207024,22.418895262689976 -134.51726528562915 -50.57144469205145
4.936597772392824 -24.75522770857947 10.608752164978773,10.020695673433291 -22.558402181175193 16.139555708959882,-40.90837830969858 -3.7133779990383067 -13.164431106772867,56.269708594894844 -6.14844237113892 -14.376171522086896,14.25465585547138 -15.101561046905008 -24.184566189523323,1.0406283782454935 -6.1143460967149705 -35.932111705008914,21.373419078979207 136.91053404458276 51.34133259242861,18.2148375086327 0.18984334293716842 -6.408382757154751,0.42266297422032373 12.323168406678661 47.21413325608371,23.322732637724197 -131.55675486791355 -49.363374200500296
5.064157659317168 -25.13686283050523 10.694874526190533,9.937852620368089 -22.68529990263027 16.14234297489105,-40.312745312705204 -3.4196025658337894 -12.824941546442796,55.71483521284505 -6.31441547792433 -14.675158492945124,13.91570931542863 -14.93324167960116 -23.762461401410967,2.44600742982836 -10.921786615744338 -36.52621690038452,23.406639165653516 130.72753680990328 48.92776464061491,17.83450279912482 0.2722212144382001 -6.412319888424269,0.9355463625263385 18.668450618695513 48.32266565399521,24.63230079459873 -127.24746008712964 -47.588683159516
5.180311810506643 -25.449197190157165 10.784773004698796,9.904102983166869 -22.78411118478972 16.19044683986104,-39.78723364335042 -3.22911347313725 -12.545387759450955,55.18895583620116 -6.3900002189644525 -14.953551691703288,13.643937707779067 -14.817861149684502 -23.449609946090398,3.693533891793466 -15.109635191123294 -37.01951486998236,25.036179628362756 125.79713049660576 47.00977856701483,17.545989369654656 0.29758410215595915 -6.485224072472606,1.4190914308719056 24.27446864903188 49.33184314893617,25.638012361239113 -123.93376792482437 -46.22047125697006
5.181799330772831 -25.451929824263434 10.783988567646515,9.902134720757843 -22.78529647871943 16.188161443289296,-39.78381703650253 -3.224452412501735 -12.543532838474222,55.186234637677266 -6.394148981154293 -14.953648260507027,13.641410422735813 -14.815735778600152 -23.445102722270217,3.698290077007712 -15.130081700523952 -37.02334883826,25.052696461106343 125.74608659871473 46.98971263109742,17.54238734746728 0.2998825700957621 -6.482703918403922,1.4190586283218665 24.29283442173785 49.33519159130791,25.653682122937653 -123.88284712189713 -46.19987340059238
5.069957371588044 -25.147525936560456 10.69564515060954,9.935123339735648 -22.689072446514157 16.14083144708112,-40.2950062993262 -3.40955995925704 -12.816626150133335,55.69647224750424 -6.320982056689899 -14.68155233717173,13.906458186523068 -14.928228667344413 -23.74988926249512,2.4809700641386447 -11.044534640701364 -36.54242589340094,23.465152419131666 130.54973291029793 48.858565023671275,17.823690344254462 0.2750581561036094 -6.412183963538203,0.9465398361464287 18.81714888141311 48.35132668548361,24.677916356614475 -127.09847399128937 -47.52789082485618
4.940731607317038 -24.758031776532185 10.611130101317501,10.024775253191638 -22.558749969507925 16.14520131433413,-40.897729823237334 -3.7172822874417135 -13.162463260851938,56.253274450230116 -6.14215920552227 -14.38198045224667,14.253130903003322 -15.103379960276499 -24.185701010874016,1.0622894369797842 -6.178926591301704 -35.937249195259994,21.3844639441197 136.88068072252028 51.330782379778626,18.215236930859774 0.18467338296438204 -6.418405656730415,0.43351739066576955 12.411022655547349 47.23560427985612,23.328712557099895 -131.5371952735816 -49.35517754468527
4.890474483687132 -24.507923705680252 10.62147951312061,10.190848645223676 -22.458666601163326 16.296056585376014,-41.16663186623194 -4.076440164357175 -13.376830627367436,56.38955021018377 -5.8329848210603386 -14.3000567202252,14.49312333909864 -15.287209003413903 -24.570180844519168,0.4676155666436969 -3.8785582850801004 -35.571774210173416,19.93595448134922 141.3667128488983 53.103052888607436,18.539012825121592 -0.007409967677617744 -6.643231577372255,0.31240041293260057 9.659578969968187 46.84607607417852,22.235631742291133 -135.11774939481333 -50.816996991382545
4.942151751290295 -24.48767910838738 10.731400728593746,10.389153119071619 -22.422685003930663 16.55979026594484,-40.986561232345 -4.3800683122357995 -13.382077590798096,56.02298791211502 -5.477643593557819 -14.48070058740992,14.542869841520492 -15.423301020182159 -24.77887633633012,0.9552204305527329 -5.086831494315949 -35.58096865975153,19.626548040144815 142.44874435999418 53.562319253453786,18.68887469205165 -0.25084128270473444 -7.037199089627928,0.6553131994330336 11.736680213057936 47.36970066002855,21.765361840300095 -136.63779668593938 -51.42135367903265
5.042846435606536 -24.649218815600463 10.856336124063345,10.509374676502354 -22.453156436548166 16.770035937325453,-40.563121955863224 -4.48419825244624 -13.231421036401287,55.46914248776416 -5.272903749294169 -14.761817466095925,14.42710674178623 -15.452724321980781 -24.747209210849437,1.9901901461217455 -8.26355558767499 -35.86302418439546,20.323736177922026 140.44249087978503 52.80925564426115,18.632994620156786 -0.4058394573844205 -7.353012984777484,1.161841206279286 16.288904053051493 48.2995182864523,22.012776843828185 -135.80381329504013 -51.061670882852574
5.1369134197212265 -24.936906497561548 10.909800336433774,10.442165270058657 -22.55001092222226 16.75957803433437,-40.11454988712457 -4.249797754944388 -12.98466620599346,55.05604116466455 -5.4133137515623035 -14.974863218262723,14.17704853688374 -15.319501033572966 -24.418431031042825,3.0083774848139275 -11.76989206151784 -36.30433614389931,21.855557156546794 135.7831064214875 50.991001246872045,18.346557050832548 -0.3335084762088821 -7.342009933445115,1.520507827099977 20.832426446190595 49.10490916598784,23.047436717234994 -132.40555225141665 -49.66568212467019
5.193253417318723 -25.258156761671522 10.87486473851057,10.20569735728978 -22.68247309552872 16.528707460626453,-39.79024554068635 -3.7487380053372212 -12.719075229045067,54.92486106300829 -5.858045703965052 -15.049780765116955,13.870922057565528 -15.06510928624797 -23.89665068365784,3.6794570878463912 -14.473314870899863 -36.76364883749453,23.734222873174936 129.95117439039657 48.68427845430182,17.918499312853015 -0.054045229091118176 -7.0018757128328994,1.6143552467987063 23.91047992815074 49.52059637723268,24.533449813640473 -127.54519376811422 -47.685753403184556
5.2097865385999915 -25.47670105288223 10.816834404312903,9.968904971478135 -22.783466034888004 16.27575024515879,-39.658228607779826 -3.3022315110014246 -12.53254870324766,54.99587509148658 -6.28799716221667 -15.032949707892964,13.64253463527994 -14.846244925558238 -23.47615120508439,3.9495403430063614 -15.83988769636619 -37.06701599860203,25.0985583692614 125.66324085098483 46.9736859514498,17.57224349526289 0.2242652343675065 -6.62154321750843,1.5563961909449018 25.280538369949163 49.59500555661715,25.655577860373604 -123.876539816939 -46.1944993499703
5.186462566284124 -25.457040010218407 10.804484276174497,9.906486881535843 -22.7852852070303 16.20696531565384,-39.77872980210547 -3.2395700063920096 -12.522123312359025,55.17601556757901 -6.373961335941943 -14.977184261757072,13.626130435248632 -14.823077908134225 -23.455920864156628,3.7841144753053357 -15.38817993918966 -37.042802194899416,25.085182841697122 125.64693246716581 46.94931121927535,17.53449439151343 0.28609483303792277 -6.50190905308606,1.471549603558582 24.782401830696095 49.39623332202476,25.589858191234647 -124.08139862598519 -46.27547735071998
5.138326196942834 -25.204088721980348 10.852035656689003,10.067674974882795 -22.682875444114526 16.37918206198703,-40.08019668033636 -3.6204761212834415 -12.697146373900825,55.347306699922086 -6.041187598474243 -14.922957797725283,13.837677063677559 -15.020156786422342 -23.867202813769048,3.294222284666252 -13.401953028369494 -36.698468842200384,23.656378043527052 130.05801219654364 48.68433209582104,17.840710686507094 0.07900107402373012 -6.736771707733762,1.4261250575648714 22.776564118968352 49.0587255418613,24.320943681677125 -128.2141398978597 -47.95117503787126
5.100842159709509 -24.912711530523943 10.899911010594604,10.331972591263751 -22.555932117091267 16.64708522728002,-40.31280374745019 -4.140005952805595 -12.948341162134883,55.35807761292763 -5.559147436580923 -14.894049292804487,14.133140472575269 -15.278564773712967 -24.37904112180616,2.7878106148673205 -11.200101569197233 -36.28375521933531,21.891361965143986 135.57308828674246 50.87627577127496,18.267637977943973 -0.22911087091987675 -7.139772370080697,1.407146793235575 20.32790089159912 48.806683737948944,22.92736265763183 -132.77479836061164 -49.80869067210096
5.110309318773135 -24.788811156105282 10.884080165271357,10.56761322448743 -22.489251761996698 16.85216671235697,-40.218261443029895 -4.470385024960172 -13.158945634000018,55.057896707193024 -5.219307117773191 -14.912418683092923,14.358472004120117 -15.42805315496394 -24.638548439850656,2.5823162668961817 -10.157398931684245 -36.06261675549548,20.936189964370385 138.65951666531086 52.13958683423268,18.575776719293764 -0.456138933176097 -7.505754364672845,1.395805745395025 18.5386708088943 48.866543075212476,22.5512358013396 -134.0565344286019 -50.351502951759464
5.166106195755632 -24.89160351779718 10.78766224839966,10.68950956708396 -22.51275023748693 16.90527725053246,-39.78969708265152 -4.467110793598692 -13.26829576083835,54.51419553803068 -5.166785742728685 -14.961984487735668,14.440189751444002 -15.399832146938792 -24.519549958567463,2.725963710375233 -10.59273613726847 -36.12012209230989,21.19015386996511 138.0471534134459 51.96261803700393,18.652771758704755 -0.5066228345526623 -7.694872623419658,1.360968918124799 17.75416675609879 49.216490054909976,23.491434956165516 -131.07788005929436 -49.17920693688584
5.2103847812999815 -25.052939992838333 10.666857803125446,10.684927069601667 -22.571278352278988 16.824773765481233,-39.40993413968028 -4.269752208939867 -13.302679436317105,54.13209355056127 -5.319864303533027 -14.967701029600374,14.429690271656813 -15.282373310699821 -24.247275304198986,2.849698301310763 -11.188386567099128 -36.26406535068601,21.895062040638567 135.9727298504997 51.188279785655276,18.58334175607706 -0.41939707201531756 -7.668515069643953,1.2524012228552026 17.146384667113022 49.44992574961606,24.73979626521733 -127.08169310196247 -47.590378048136394
5.1809361131165526 -25.08642266856237 10.58378081656829,10.547893502879033 -22.602743079965357 16.6385789034446,-39.49175328162718 -4.041748782888648 -13.295831005810577,54.34161283317603 -5.57731476122976 -14.850311134096314,14.388926493790189 -15.177201679093036 -24.075714205299008,2.552095004084935 -10.497557154943609 -36.27985106689196,22.19846296713016 134.95940918280735 50.770408314378074,18.468871300116376 -0.2449875526707015 -7.397871331021358,1.0190270384040052 15.794221056584641 49.13127245113448,25.18350611676376 -125.64924989898725 -47.01976506816483
5.066061461155747 -24.923347043603265 10.566995588361916,10.320848962989464 -22.578642363673957 16.40319712553442,-40.127385483843 -3.8956758487025596 -13.27849214622117,55.200010597389706 -5.838261948941568 -14.607946140688819,14.36313972740936 -15.143188194916682 -24.126840883724928,1.7486396329075893 -8.127059119205803 -36.08433739137397,21.725224690339065 136.1605274603029 51.15974565743728,18.384970388038834 -0.0464336911952338 -6.952451481319514,0.6819412297933004 13.48054342413319 48.195493179183394,24.409592380711885 -128.11717085144502 -48.00517741839012
4.943941490624106 -24.704435739856674 10.585367115869358,10.132379863734227 -22.530246907298668 16.225992216250322,-40.83866615620206 -3.8535995217185475 -13.276079292009781,56.10123525132134 -6.002458610764229 -14.376444790584653,14.367834134084442 -15.16330385656819 -24.287717279602443,0.9187385042200148 -5.558518181070104 -35.82829490821007,20.949571720333587 138.2919099363416 51.91181320882492,18.36138494965647 0.09095819372281859 -6.576719892557372,0.3906609513065268 11.240885978699058 47.23690204069179,23.25040147640472 -131.82786945192197 -49.48838419742859
4.901687505458395 -24.591500600968395 10.601730540704635,10.119250490775393 -22.49490659351237 16.218966550848798,-41.09068351193457 -3.927919395283094 -13.313222618317349,56.373589393668944 -5.970393178710764 -14.305247338521728,14.415237082531972 -15.21265476803305 -24.42146565481009,0.5980214802811075 -4.461221169555337 -35.686123274289955,20.431968337405557 139.82133099860758 52.490830100222546,18.42279843329127 0.08011094209842164 -6.531889712200763,0.3072893920045805 10.236505214111697 46.91522995265313,22.663519606123558 -133.72196952208748 -50.25056975370433
4.977021353170941 -24.672632366187095 10.597253417926973,10.314487985619776 -22.49780562779127 16.404890080023154,-40.6514337995681 -4.081321335241168 -13.379499499520744,55.748595884337604 -5.741657522699974 -14.456094592183291,14.486350780392131 -15.260303766655282 -24.431936101411342,1.0404526759173207 -5.6773081066849445 -35.760840143289215,20.538754488911955 139.69137319738164 52.505705669492485,18.544460146796037 -0.08858293523277691 -6.889226327176578,0.4976127783776438 11.125560987935218 47.51342256839669,23.144049983916954 -132.20892027662256 -49.65480790379652
5.106520525552305 -24.88494879090707 10.590646136248292,10.53867684776918 -22.539214202154938 16.62379423605962,-39.909236719052856 -4.174682779026283 -13.392702900809246,54.78352980822682 -5.518796816907566 -14.711128215798384,14.49823162524731 -15.262937722210953 -24.30638497754799,1.9231747016218677 -8.35501029514134 -36.009280415560966,21.238724127455686 137.81697571883424 51.861659413443384,18.600383534128913 -0.2660812780889565 -7.331002305875692,0.8301704378900513 13.535924735371749 48.5428093806834,24.239979834641552 -128.70616917111207 -48.255820229184735
5.214475818670734 -25.147093657868805 10.605180314727292,10.586798853725341 -22.616308906871613 16.69369825361631,-39.32774630388167 -4.05682818897977 -13.262087894368507,54.13577868597189 -5.5286959698526665 -14.9306823027834,14.360368813111018 -15.175886685961647 -24.04246631806358,2.853041793252855 -11.43572908052796 -36.37030195715185,22.451430536238764 134.23422632981595 50.50113387099347,18.452564408525383 -0.28427720926152983 -7.492553749054372,1.149535899772743 16.96874164960474 49.42098704017534,25.383734298105406 -124.99826528293613 -46.75379120573199
5.25254649605918 -25.381001124659623 10.65414963951906,10.368433025308702 -22.71422725975964 16.534190506581435,-39.1970029107127 -3.6920897454881794 -12.967323037803343,54.18408338977417 -5.855363660593744 -15.026364107146398,14.05571521037284 -14.998837965388514 -23.689615931978878,3.532018075862553 -14.022849530750861 -36.76098582635655,23.93875651719246 129.56377131334241 48.63002392199611,18.06878044504801 -0.07605764170595088 -7.2032044831591815,1.3522928021519771 20.76466899597424 49.77452236390656,26.12148746029616 -122.53132083404094 -45.72378757274381
5.237085204094437 -25.516383112818765 10.727262032096913,10.064042513084376 -22.78964890739963 16.30494775588223,-39.39666015909948 -3.3178359264419406 -12.654519769580151,54.64852188611912 -6.245078783951124 -15.03098000418518,13.740876569134054 -14.836330225185765 -23.419671006671106,3.886887733639097 -15.602652649519086 -37.04693722288088,25.089884543989708 125.80803208944353 47.076971159294914,17.666855708603418 0.1869621304895836 -6.750825099130254,1.457965897443796 23.88500385199896 49.72394431690062,26.268292332657285 -121.95145348747799 -45.445123680682315
5.193786196688151 -25.48415093582423 10.81081195267262,9.893092975955824 -22.795182379613824 16.200207211286024,-39.74711558033099 -3.210681150271957 -12.4937293630601,55.1541631891366 -6.395532671596479 -14.994827188919011,13.5974270786486 -14.807957840111863 -23.421988898859418,3.8770023574677404 -15.717247426597687 -37.086447560679225,25.24070858972694 125.16726949005182 46.75985870864953,17.500567297180865 0.29881348141387853 -6.48932127951175,1.5038211437497166 25.237002918660632 49.46110138645172,25.678350493343057 -123.78819301466959 -46.15396683880893
