-0.9 -11.2 -2.6,-1.0 -10.4 4.3,-12.4 4.0 6.5,24.7 2.8 4.6,2.9 -1.7 8.2,74.5 -37.4 -44.4,29.9 84.0 27.0,2.9 5.4 -9.2,52.9 45.4 48.2,26.0 -122.6 -45.7
-0.716956302004506 -11.082803768911294 -2.743534616362318,-1.2186844897308138 -10.298416636686632 4.221454954219268,-12.158744139884746 3.986893827769247 6.3494220700720385,24.191873182804798 2.826773624800267 4.9651088302105775,2.7031444051166797 -1.697868279773991 8.128196599674984,73.78791656695321 -38.286933952816874 -45.839752785487164,29.981170111550036 86.18202604163767 28.089458476055256,2.67446525930687 5.45795949756231 -9.217284611747132,53.27555321455471 44.71829956763728 46.93582734634667,26.039054541808902 -122.36041246620873 -45.529116515213545
-0.7017610060046979 -11.019702958026723 -2.7249286000578103,-1.2705743723521221 -10.309644291902128 4.3464552376665635,-12.185685622322792 3.9121244855683717 6.2899794904270605,24.170973945796568 2.8220646958152953 4.959347229657349,2.7200638738571747 -1.7367804293766822 8.02300074479863,73.17744182630489 -38.34613369785079 -46.12551133182562,30.009857028857393 87.14651571791714 28.571976726590595,2.6942158770958504 5.44997853790409 -9.252781828590729,53.30870480773856 44.505556697078745 46.595223548171234,26.072935798303416 -122.19880024839011 -45.43470804037773
-0.7935325114729157 -11.000034421580695 -2.6075171379276276,-1.2055652756619526 -10.394395965697596 4.586244750065842,-12.386731109848565 3.8057527687578103 6.298188273247348,24.478320701553784 2.801220958015389 4.716389418585887,2.888432053595347 -1.7967275622665821 7.9059273808260215,72.71852789387567 -37.745494087637006 -45.54756938981228,30.001174061392753 87.21473956616246 28.60729889115294,2.886800355858695 5.402966970059037 -9.297613005546262,53.114014331356714 44.59075193941926 46.87456025654486,26.098929622213 -122.10333099931401 -45.40043750358684
-0.9313892178814994 -11.013135013807627 -2.454635416812919,-1.073552827458335 -10.51338465812414 4.852067391141057,-12.6677872649965 3.697839472697995 6.350564430715185,24.954931862654952 2.7795901563708516 4.369909617241763,3.1459225917050637 -1.8577007919021997 7.798491453212248,72.46112688548615 -36.65290997471083 -44.396220710244066,29.970234518626803 86.70796812369765 28.355169109289204,3.1797671980871582 5.343834643060852 -9.342899497629208,52.80604133721442 44.80286584575367 47.470209122538755,26.114321866267105 -122.06217237175032 -45.409967832935195
-1.0544495247027894 -11.04834158894193 -2.329618623554834,-0.924432655539298 -10.627323369232867 5.055167060616165,-12.934760750301031 3.6184453927493614 6.423623975012852,25.441825841678565 2.7725200358519873 4.053582045870551,3.430209135560188 -1.8996912317420431 7.722207907412398,72.45519091695698 -35.236276211607525 -42.961759043917894,29.932151710030244 85.94747192784678 27.97533152054631,3.500664906272995 5.299491405943234 -9.37976265985504,52.49934537711689 44.97087896717687 48.07854179722411,26.116398383195186 -122.06349201846895 -45.446961956517086
-1.101831831409125 -11.09499100121802 -2.2958019449945213,-0.8081003877028697 -10.69692509907488 5.10678765821512,-13.093558228296585 3.597631324272343 6.493882918322631,25.780021051203118 2.7953583414290994 3.9010809247178218,3.678965332534583 -1.9026899952446212 7.698591688881555,72.75067210410873 -33.663487650862365 -41.53447814163065,29.902038945073762 85.25452151593386 27.62753026447117,3.7770419829079582 5.296847107739883 -9.399323847239227,52.30848600286931 44.92377185478368 48.395929931672086,26.102445025726695 -122.09545759223971 -45.495082802426836
-1.0312162617335816 -11.147583017336451 -2.3961854235065454,-0.7663747156807347 -10.696033357353983 4.946705051794417,-13.069754663605535 3.656451863087965 6.542109841600457,25.836396262317766 2.857448208666372 4.007980707002278,3.8291166398216303 -1.8535175473427794 7.741239831848614,73.34869647303682 -32.156641584968085 -40.39584856892782,29.891718641048545 84.89118764916397 27.442553689060084,3.937928522440247 5.353538590575422 -9.396577513359114,52.32373883244648 44.56579455240361 48.208446004415556,26.07170939686038 -122.14715620127059 -45.5396244401717
-0.9014682558201021 -11.228761930020836 -2.5629163596507,-0.7970446214629946 -10.67006985174638 4.670231102675509,-12.89614261238849 3.766866211870929 6.57225530560524,25.618802524421763 2.9353999141463953 4.262163019153399,3.813509913990967 -1.7762231190098956 7.820586551103847,73.98422494208315 -31.233308451061507 -39.77924316191559,29.895073612126005 84.79682602230167 27.393343765064426,3.9204312047041254 5.436652859447547 -9.38763148994421,52.50300075144817 44.21151283377663 47.79114759480716,26.034133166532435 -122.21268717074466 -45.574772761897016
-0.8057631129237082 -11.37071526175233 -2.690554169809025,-0.8829695182888747 -10.688726984283653 4.425416727724384,-12.641869910310929 3.884186335518732 6.596130403524605,25.182891686269002 2.9947246953836726 4.4810851228975475,3.563609042049704 -1.7074794498769041 7.892430437353865,74.30196731736075 -31.51124755086418 -39.90172580616113,29.899903722130812 84.80136629029349 27.399320004082742,3.664395313478822 5.496136509545187 -9.395752720890256,52.75928174075129 44.31462209523666 47.58489707000517,26.003284142768667 -122.28784936550511 -45.59772869387341
-0.8198552457918246 -11.594726101446618 -2.6927571796135386,-1.0042206746818563 -10.807549612682633 4.337202633079694,-12.374148135066607 3.9683153469627808 6.624090241599461,24.59788182440414 3.008261268530036 4.511787687508618,3.045373644794462 -1.6781330171344429 7.917779241369084,74.02282598244346 -33.39671750809664 -40.875577733253024,29.896507138896087 84.76039296147077 27.391637107861765,3.14308702806146 5.491686533860993 -9.439758738402999,53.01020073378058 45.215188623582655 47.94320450552667,25.990420973433558 -122.36749290186378 -45.60662450704514
