-21.2 -16.3 -9.5,-16.7 -7.9 -11.1,-19.5 5.7 7.6,40.2 6.1 10.2,2.8 1.4 1.8,-5.7 -16.9 -56.8,23.8 49.7 11.2,2.8 12.1 -1.7,6.7 12.0 48.6,22.3 -45.2 -9.4
-24.334869979473314 -17.392899540822974 -8.04402397500518,-19.143457310975514 -9.209611088634373 -11.605592458386724,-22.204084725625478 7.040869179435576 10.93432034232785,41.557221272922746 5.612133117684083 9.468345415266398,4.153632600696527 1.4433317296597858 2.3073166222791737,-5.881284355493876 -25.898884837259363 -55.63278660112312,23.386686696974536 48.35338583875465 10.58980181967759,3.929378580609778 12.312525436556653 -0.2489555235215959,8.818546282789935 12.278206372030521 49.84456159765642,22.81997866637046 -46.826503726661436 -10.065776893480281
-26.590845151471914 -17.053548714267418 -8.000276240196794,-20.437569612357667 -9.707436707117544 -11.64113252078029,-23.01738396208552 7.447271008597788 11.686375951611588,40.463516584802726 5.179251565021629 10.076800628307964,5.186367352044461 1.5216367063368554 2.4306924967495633,-4.642764068324251 -31.62852367961923 -54.64433900084235,22.86712654856815 46.74837491087496 9.93523031626834,4.838554410752467 12.59672191334503 0.8184612407249695,8.68898122465178 9.11256412392773 49.74608418572052,23.12404442759431 -47.68403005097284 -10.389375739841139
-28.045566435931992 -15.781196867700615 -8.84261534380954,-20.802294545338118 -9.616430184725026 -11.414826234782122,-22.54748820366972 7.222910728766932 10.77467283422512,37.85714227244413 4.816438984697047 11.513437456964649,5.965627849958982 1.5969209766650456 2.3101736232161674,-2.6137604154538683 -34.52025445238246 -53.836522977984316,22.235517529429643 44.90097703900768 9.236972989331843,5.5668067210837515 12.886233055084313 1.5688379536426047,7.0145498146897864 3.988212875138171 48.76556269850011,23.202260099981697 -47.81234352945604 -10.40670524052056
-28.776674752789766 -14.075093348489844 -10.04489983407812,-20.457589751108532 -9.159544850732313 -11.134879647993653,-21.401987944667678 6.671493581223306 9.117716996542349,34.676354672651165 4.53877901939475 13.266327719076415,6.558837690355273 1.6311905872781942 2.0858060014839856,-0.42359467384547667 -35.0054150808519 -53.211204311375695,21.486057614207812 42.82720204579955 8.495717338427706,6.153414742259321 13.114702486493677 2.0687622761342195,4.498497042008207 -1.609707754891602 47.363992070303,23.04468849984282 -47.25120871863291 -10.15367409695653
-28.861811021981442 -12.434487504002398 -11.080988259237232,-19.62341287086058 -8.55973403441492 -11.009498808016309,-20.18847367936899 6.0967248072472096 7.634014444937179,31.859410122228024 4.361355311799148 14.823543232483214,7.03342046914852 1.5864515848101384 1.8976356313580183,1.2984118795381772 -33.515343490330416 -52.770248779843165,20.61294477755146 40.543059753897325 7.712150863115521,6.637657704934858 13.215773832292303 2.3848218691027228,1.8440678957112926 -6.196058146715042 46.002367235437035,22.641392443487852 -46.040390175025316 -9.666191010587049
-28.37861616344323 -11.358628681605545 -11.424739167521576,-18.51972154578592 -8.039951065048347 -11.246889762451517,-19.514535902063244 5.802309648118937 7.242071185783514,30.34456495797889 4.299251504594652 15.673155815024998,7.456799782253903 1.4247100158947157 1.8857085126432633,1.9229379677343468 -30.481377606120844 -52.51552216221336,19.610376994109362 38.064559985947724 6.886961062954886,7.058814839766049 13.123090717199364 2.5836043934510244,-0.24549263509670802 -8.2856986808856 45.14168312820999,21.982434747226957 -44.219652455155085 -8.980164682850091
-27.42239709099555 -11.222532446114538 -10.71149204437163,-17.35251430837163 -7.779037945568087 -11.993819402193608,-19.84374197265248 6.020006832990675 8.601048034636348,30.82189774752465 4.354104709839497 15.446812244831415,7.878197572938678 1.1303449208159264 2.1524539795125097,1.0109234182710645 -26.450527334389083 -52.442453136090194,18.504732840163086 35.46992471226525 6.040692684211226,7.443040483299747 12.80299266723792 2.729365682184553,-1.2215823007567854 -6.815596099038814 45.136173610292616,21.087959126943502 -41.891612543323525 -8.148802068995883
-26.184763150052845 -11.723980156089459 -9.4568655721371,-16.251694560542195 -7.7153731071896825 -13.062132041758876,-20.854547576132614 6.589373887501342 10.956340317162422,32.62859840718358 4.4542511200800154 14.5588278485743,8.247613322348023 0.8096969857560989 2.595242064489035,-0.8395237457317443 -22.600363935359017 -52.51137988237341,17.497816639772996 33.176512276377196 5.302138056335337,7.744941386060796 12.400054003447872 2.8736501014046993,-1.3786010588192523 -3.023740749516857 45.75808712199046,20.142088964336466 -39.5015141487374 -7.319607898595578
-24.8899778593548 -12.331116983477424 -8.474962998870216,-15.32136341095218 -7.705798731011543 -14.150106640370462,-21.959193180628457 7.21698097792741 13.073964566781505,34.64312014457319 4.50317209407467 13.688904755909018,8.4814022160236 0.6104615819067549 3.0419114095883986,-2.678613103673134 -20.322269051887268 -52.670742116446654,16.850915979040217 31.716675188920334 4.836794037260431,7.894863984101293 12.119284799037857 3.063691820298495,-1.2967935722285882 1.071647253224591 46.58233282040066,19.384549772231946 -37.61077865416502 -6.67206133650601
-23.754283325164625 -12.597877565401784 -8.426853390519371,-14.654823079489066 -7.646223733467488 -14.976386340294551,-22.649520409351627 7.641516879140261 13.915174325910264,35.89319834067299 4.423820710787754 13.406657499858829,8.5142662015196 0.6480081940022069 3.3354697298635396,-3.6908792320805675 -20.6668971623576 -52.860695944729,16.764390121186658 31.493183386173257 4.769201978610359,7.843681114041412 12.124365500569196 3.3225511242346264,-1.4881308914301625 3.6876186290429613 47.22598216142465,19.013970676251684 -36.681087518063464 -6.353261815850122
-22.942527098520834 -12.627247431567623 -8.994763269421842,-14.276545252082446 -7.682464571875884 -15.390249218998044,-22.927090788207458 7.807471292952491 13.690513264953761,36.362276389001536 4.263628059669998 13.577293207612094,8.398246385311626 0.831054237300184 3.4161556966603728,-3.920493459818394 -22.507856502097578 -52.96855825353625,17.04919257928537 32.080676652141044 4.962164874907527,7.6734759311319385 12.314726611986453 3.518931855219813,-2.0271026089173003 4.5477288287204765 47.57638017670127,18.96624529556073 -36.53656635277392 -6.303361210930928
-22.599343554212975 -12.738150598021276 -9.475946143409963,-14.183930970541779 -8.058624869340628 -15.292351305521493,-22.993935682478366 7.740274215148992 13.10186351288944,36.409672022597135 4.11898169947285 13.788979717215273,8.23153267484872 0.9870420837336833 3.262448344488041,-3.7497171937582845 -23.862535825195085 -52.86086457473644,17.363125875497946 32.72809605329345 5.175545564463735,7.517935837115685 12.48587068921445 3.4608303740655897,-2.8161394331911263 3.9680327519195466 47.62716890536233,19.073934920137688 -36.7505938066886 -6.381120138506142
-22.813015718630293 -13.196227556958739 -9.281691940614802,-14.354344581473867 -8.934075986799135 -14.634348936181633,-23.048848784992465 7.484698887082283 12.753291621197626,36.37941456182583 4.054078329436829 13.68483924773465,8.097735217196247 0.9713322725244563 2.878069679892644,-3.5373954799855873 -23.032587537628913 -52.44131283282364,17.40910199899676 32.78397783587178 5.200906181982248,7.485451659564851 12.466219812947923 3.007811608910027,-3.732000886338733 2.2649950495539173 47.35912632631793,19.19294536600499 -36.960568114906735 -6.4662895629181465
