-23.5 -16.7 -6.4,-15.1 -9.3 -9.9,-25.6 5.5 4.7,47.1 2.4 7.6,5.1 0.6 1.3,-5.3 -11.1 -56.3,24.0 50.5 11.5,5.1 11.3 -2.1,4.8 6.3 47.3,23.3 -48.1 -10.5
-27.152548149517287 -17.79760363782582 -6.441905740113202,-23.901137959556642 -8.33784667137364 -9.249969724719959,-26.666732545741773 1.198816887815235 13.340796698788719,52.01306805399473 10.005467043540268 14.571138228389891,1.6960823866966679 1.335019550403772 -1.0767498192787748,-4.964747328262787 -0.996057991512145 -51.02188836609361,22.327188282659677 45.143615568208794 9.334762790008824,2.47830199498419 11.279795852120106 -7.810575000200109,11.356372984666141 -8.430013907392327 43.27570533664233,27.69560128130482 -65.32631894978218 -17.957618094049423
-29.10174149370647 -17.529118257788735 -6.294343947053773,-24.565661337219804 -8.622829094018739 -9.513343443786999,-29.449851813019816 1.1625516879349385 14.77273330317291,56.187940425102894 9.88969410673308 15.005015508704897,2.685651677650467 1.3944312727909822 -0.8559902385616852,-4.604461774852812 -1.9594431826954484 -51.222887366915174,22.05169822387861 44.41959320057854 9.061715141865102,3.4362663715683808 11.299831888331672 -7.706930730050882,12.265642281163137 -10.437579397391488 41.96884704920551,27.942517457037045 -66.06274731633303 -18.278516942645194
-31.68517718351119 -17.29228269012881 -5.348888820636811,-25.704671866096255 -8.577063501066336 -10.699001813321685,-32.611363408205065 2.233682873770268 16.249693229615445,61.892215647658794 8.85997853618915 14.360316423240738,4.133540327550858 1.1713304599082734 -0.035342677684040494,-4.988221154238861 -3.515628456079225 -53.111270822725544,21.86325505267876 43.97143484203386 8.92168803122469,4.679109316335709 11.22687603296639 -6.221573139815012,13.995315858837168 -7.517259507411676 42.91046611144888,27.455499856621106 -63.56961619391889 -17.162749611199736
-33.60367483869552 -17.374030568322052 -4.022316156416443,-27.018987839710924 -8.336604360817876 -11.946948943405639,-35.08700003517599 3.503763153263566 17.391891345078793,66.63619976225952 7.48748502238256 13.031509643539565,5.234804189566556 0.7918498875298402 0.6437736375479992,-5.59421856739303 -5.442955523712713 -54.85866550219389,21.692543635360753 43.552987547920296 8.791598724493946,5.577775949729684 11.083354265876745 -4.524219034025223,15.969908216700693 -2.555723226879473 44.790060538920535,26.511181808114475 -59.37513281652582 -15.307468841316581
-33.61535630131806 -18.049041812827987 -2.7264254199131175,-28.21309432908708 -8.045836177791152 -12.412634774152762,-35.86299714385115 4.08562303564359 17.83133616483843,68.020900880381 6.329424327127278 11.4045038326362,5.221902446940825 0.3822788085510117 0.46133587363409767,-5.9084392294544985 -7.526334020438708 -54.69069154137303,21.475977121019 42.936801162333914 8.556425876229484,5.535736109975056 10.893584520319905 -3.755986834347407,17.61915379917871 1.5751332031416787 46.29906796438446,25.391231991876545 -55.01442437340258 -13.412170149808855
-31.95778352203223 -19.258703141771942 -1.5567791919738334,-29.19681965425622 -7.843170702031168 -11.964536461419764,-35.162950520669064 3.897814020078895 17.501231918019325,66.29695041684766 5.427557990367014 9.465554545123114,4.288153932337439 -0.007136828831498479 -0.5892913090870662,-5.878885929481815 -9.42113097951918 -52.68748543256348,21.29919953574105 42.3796057381418 8.316084437681468,4.750912656330159 10.684879036069857 -4.0188019849897625,18.795121227987316 3.9517389647494876 46.95226393990547,24.31130278140494 -51.33980677710668 -11.851158037773013
-30.206666226238923 -20.642938879194574 -0.3229050317773202,-30.06572429846715 -7.861617350591937 -11.1160614806738,-34.3296435225929 3.587659080494987 16.607213175407292,64.11155367054766 4.357425752843298 6.839432666746683,3.495971262106944 -0.39493194722185065 -1.869487060541614,-5.871454539763257 -10.665542659249743 -50.60658643748423,21.382833648459055 42.576070427725625 8.364898397317562,4.139808089136068 10.48725839139914 -4.474643958546292,19.7318787314902 5.412775942493555 47.00912993580554,23.427335059606452 -48.5859958189277 -10.704603008233494
-29.92853002335273 -21.840577180456904 1.164066180597635,-30.91525852823454 -8.227766274675941 -10.390703557605837,-34.69636347476817 3.805749322274143 15.368050037997001,64.10421975717172 2.7004880802462132 3.1703094778468617,3.896656472462101 -0.8001623543742158 -2.7368579144718193,-6.253781353131596 -10.812751894612903 -50.203359950003104,21.940152953510854 44.199509039480276 8.98898868711691,4.607406440880148 10.330322144387946 -4.281270518450397,20.66926587666775 6.828335277574384 46.74791746074036,22.886644320096472 -46.95134963027462 -10.036629275935992
-31.286751041785617 -22.729175582395733 2.801870459652507,-31.674586342642666 -8.916039769254333 -9.990475021339291,-36.37848206215163 4.640671001584018 14.083670288747324,66.61542645852602 0.5935899096407897 -1.1049854281373244,5.504407771025479 -1.1940356609710003 -3.025122739142507,-7.067971217649477 -9.885508701377413 -51.70258133157312,22.885881075179334 47.0154454701294 10.102708821451333,6.144188690587618 10.230992049061427 -3.3211343597822167,21.65174591160201 8.284160111690536 46.249799819578776,22.678282236906156 -46.289401172719536 -9.778163070254552
-32.99383197626346 -23.433140672581892 4.187208688536821,-32.100929740961774 -9.743516736412392 -9.78497257171558,-38.232031554516595 5.599890603414625 13.137919729542135,69.60842551549524 -1.2521496010145685 -4.730004231742806,7.261045537363516 -1.498283866634557 -3.0603062811027266,-8.019525553561612 -8.392101205939301 -53.74637744755945,23.826037482589488 49.85073793320015 11.236000335057284,7.795028664762076 10.193080857624183 -2.226031450087713,22.521760621588015 9.054968324692446 45.39216908496582,22.627653791781004 -46.09713003632549 -9.72240230222458
-33.72762075018351 -24.082559113616043 4.912004532545704,-31.954804814647552 -10.521104752385272 -9.627898914112443,-39.079743490054426 6.172532011767062 12.903650943104415,70.97984481280457 -2.114777662030718 -6.444888047630477,8.084401271152931 -1.634418603599943 -3.1843788608485992,-8.800851188680543 -6.856349600462925 -54.92678499315577,24.36171694197555 51.51585473312276 11.91162481831499,8.5844402882976 10.219159296563426 -1.6496593098457235,23.116737009140234 8.40133400565218 44.05342140700169,22.557813943546403 -45.87020046851383 -9.66206976217638
-33.191047812812 -24.626254028133495 4.857476995973342,-31.353155602322392 -11.094274391769458 -9.35531356270629,-38.53186179416066 6.116640255391709 13.281813880551395,69.9934295470546 -1.7696089082450446 -6.08204990931871,7.701568366785093 -1.5894265722383163 -3.524388055449288,-9.18171342656304 -5.583937708822303 -54.5639447874663,24.38986102049973 51.67589837149257 11.987492621395361,8.275711307202013 10.291571525813808 -1.843364156206572,23.41082307295058 6.322804265888134 42.44232131590937,22.456921463905264 -45.584791621617086 -9.57654653365287
-32.29895111682925 -24.798749066643566 4.2468655382363165,-30.834314365212233 -11.349358458296729 -8.782417305413498,-37.12966974467251 5.508193353723861 13.615449909358208,67.52920427430989 -0.5798541758044347 -4.765245255279812,6.7963930045798815 -1.4277026077375234 -3.9532882554837845,-9.023334906971769 -4.622656848847162 -52.8388013690675,24.157177229877504 51.00636570360899 11.717744921256601,7.505547474852502 10.368748774248603 -2.58281093070924,23.539805701225045 3.69257973034361 41.15821254764188,22.508329701210755 -45.785173122703505 -9.665891138754484
-32.019927818857454 -24.329071787292474 3.3216038928912686,-30.94726182453169 -11.18092863508514 -7.730603535866335,-35.46321790985817 4.4457863582034385 13.23016229006921,64.55075562236534 1.0573458534838651 -3.67309233674711,6.099053761609218 -1.2174129006754055 -4.329368245744035,-8.196682392701572 -4.0138343528237055 -49.99205146639915,23.925592672007046 50.228257059186575 11.37490086323538,6.952203183159881 10.408946208034232 -3.614404782739993,23.63990283067474 1.4269920799441385 40.812383891591814,22.900164811628457 -47.028789287724706 -10.135638451296666
-32.63046442235012 -23.239687283065138 2.2567298063375247,-31.65720371050754 -10.734339276155247 -6.336798247041684,-33.90936705408575 3.209609577342657 12.081997489482564,61.60475100957693 2.74568989029096 -3.143504164431359,5.95933729019 -0.9969169388169764 -4.51124250213537,-6.7630832528490235 -4.158330331780957 -46.69278365736997,23.744671060754566 49.51468831940422 11.039384133118505,6.914761509215745 10.421813023312042 -4.608179668721675,23.467557927264984 0.13012116246383532 41.563547763230446,23.54332363049069 -49.03570005323875 -10.881333058434473
-33.47077696164848 -21.95001581176102 1.1374621473739568,-32.13962913483762 -10.494197437181697 -5.164772262950335,-32.55657995681503 2.325510969552958 10.979850220215765,58.673859681441805 4.090012155030286 -2.3771081339102507,6.212445292665721 -0.7642524268460551 -4.3579660875850275,-5.041380057796248 -5.943372101000001 -44.189604601325165,23.376696080377354 48.297610600383 10.531756348100625,7.179371791591221 10.486523010786204 -5.130856451520232,22.265464783763406 -0.01635986459347305 42.95818225974403,23.973673906263524 -50.39317212088861 -11.379172222176352
-33.82131036005188 -20.902464873576715 0.042361258906415705,-31.526202685939428 -10.959262725154792 -4.802098427110905,-31.470726875367127 2.328421363426423 10.783218944606466,55.704170790648945 4.7020506568094715 -0.5069212233533258,6.656357406490995 -0.5151009617293584 -3.731893732215981,-3.367979017230154 -10.268186119768467 -43.75618827787747,22.568313690442686 45.96838372498175 9.658139749720016,7.49612731171505 10.685506058371121 -4.749675115617709,19.257847046364816 1.1334182260110677 44.50376712642138,23.707889348827706 -49.63050812264044 -11.083927285939852
-33.36379712916204 -20.228053656151666 -0.9669875495844154,-29.682502349698275 -12.032578424254861 -5.446548500723503,-30.590407079292923 3.2519935550969374 11.755566174946123,52.849023081556844 4.602934616684429 2.546991529873294,7.047334763724271 -0.27550721799446726 -2.691483747969492,-2.036353419006405 -16.680520825545095 -45.70209379122786,21.351425363929373 42.639493494782585 8.465040573771786,7.636330839061001 11.00045424803005 -3.5030310159490643,14.748767530380304 3.3761091596507184 45.97537278143859,22.70824155099192 -46.623706670199994 -9.950805026489167
-32.40196554244933 -19.575149462661713 -1.8553102704268358,-27.611671878074553 -12.693827518306824 -6.691702567394613,-29.65694980709953 4.3528993903882185 13.236498700954664,50.58299216561183 4.4483496342308655 5.644640596648796,7.076974813059911 -0.11857864038830788 -1.5991549986051599,-1.27343052214228 -22.63333372195382 -48.84250218868915,20.20007861960412 39.541170978388834 7.371560247149152,7.404159849572633 11.256916062501965 -2.1596103316512343,10.716039763251207 5.967082633807085 47.5628351859469,21.627678824103207 -43.33614514386911 -8.710687142275779
-31.29224447057812 -18.55438295463236 -2.5897184895017915,-26.408158099065002 -11.853868910521546 -8.07990896609601,-28.39771897331687 4.826192315283398 14.489705159043757,49.4039289903406 4.943161077907547 7.549472935014768,6.434302800694251 -0.1205993251697349 -0.8413159755082917,-1.2969119544376573 -25.421184377392475 -51.869247458947505,19.623037113886703 37.99113944783111 6.8258946316676035,6.608873793165056 11.268627168932246 -1.5455501398405156,9.265365025253715 8.121158693493108 49.48796812557843,21.173712436469838 -41.89633673357373 -8.155839753474217
-30.318734370059563 -17.116422884996023 -3.1483163401354974,-26.57728509611502 -9.377081825860571 -9.22020847715017,-26.81019388342625 4.336159201017632 15.09836744811999,49.41784290777288 6.306181972094213 7.7780786349765245,5.077211696904089 -0.27946973998585106 -0.6103834656112421,-2.0096874770509516 -24.298687358465422 -53.941861303507295,19.83073491143089 38.528650289383926 7.0103840475912165,5.262402862189897 10.994884844550695 -2.0041638146502736,11.055650497862912 9.59375972131373 51.63981849899208,21.617760597784738 -43.13590112288995 -8.598359131496489
-29.636832386498824 -15.817011803900604 -3.528768418413686,-27.57607458572992 -6.824567640079314 -9.840316375747744,-25.372505127043226 3.3820546991207188 15.214183190498238,50.03348879143765 7.891329481237586 7.1872128628064,3.442025620914657 -0.4536122145863157 -0.7535797020362662,-2.7544613414257895 -22.00823683790584 -55.05211051222184,20.502749612649282 40.307719082383436 7.634297632565375,3.73731553867727 10.654002983749523 -3.0196140093615393,14.171335321257617 11.102271825281704 53.31529800300709,22.455244682139565 -45.57872748430791 -9.4959131732834
-29.38851449717809 -15.27194121565713 -3.730610249400567,-28.755432848754158 -5.925499599072212 -9.681879948745506,-24.61116778911657 2.5475081091640543 15.047205222461495,50.59112978500152 8.96558967605015 6.768422392622099,2.0135602819237155 -0.4877317427580487 -1.0830275672467882,-2.819168730233251 -21.63920253493849 -55.27780296010441,21.264609975814867 42.341309901785195 8.358701847224147,2.4427129081616843 10.490125766365434 -3.989001447750276,16.438563323852847 13.457409593595223 53.75318729130061,23.103526161588952 -47.51641133819889 -10.220146729381922
-29.693000079094844 -15.753775601113423 -3.7318985062795673,-29.753774234622025 -7.400084213370225 -8.737452411425437,-24.8810076303716 2.1656169903436577 14.770710395129269,50.93074340911198 9.124560220562678 7.017504933294479,1.1545634808528007 -0.32408608366618447 -1.4823790459656154,-1.9313742961128961 -24.426596324536497 -54.73396089936445,21.841298742543383 43.89975999291591 8.927795266078665,1.6927218181665329 10.61891353495322 -4.531239680414772,16.730415562423783 16.608266236500047 52.62177726288577,23.26533494442628 -48.06675779426408 -10.446063269904002
-30.622905411321405 -16.8321869886037 -3.466703457191422,-30.798299049681845 -9.90227139177055 -7.513415644427788,-26.18524892935371 2.0564165338400233 14.482662251990611,51.915669099362155 8.636800384280052 7.41501681559227,0.9778009206063512 -0.10471068826219798 -1.9817701194432427,-0.7189571052531305 -27.80790237003709 -53.611817670115215,22.161469838492778 44.78047949037531 9.256022194340662,1.6069719743302937 10.89290539358185 -4.719491344377123,16.06398922815336 18.73942598888157 50.46895013414256,23.22780515628744 -48.03956135941085 -10.46991246505869
-32.24419261993918 -17.991413090627162 -2.8639313221192966,-32.18734366594534 -11.835276975842008 -6.578263563840867,-28.48344254603208 1.9774210163154662 14.27159983161235,54.53207468596428 7.852856887465295 7.318146453116743,1.5648709123873885 0.004121961451438503 -2.629100615570081,0.08096069117747771 -28.760767028509367 -52.112097917129724,22.178832506676915 44.84575124058282 9.278822991477572,2.2807064683514784 11.132584359697526 -4.682623189712111,15.71720033202039 17.8243913328223 47.95010516587593,23.34884941052967 -48.449559631660684 -10.663171357764554
-34.35762630616539 -18.892129654393134 -1.9145494497120725,-33.95143176828089 -12.236467810251003 -6.275774196922813,-31.56113588691191 1.7702138713090751 14.169310896201278,59.07336496043442 7.007826479717226 6.3477118002396455,2.841090834084354 -0.10103776384790719 -3.4240821161873476,0.009635568257972751 -25.702746551261857 -50.480211262490265,21.879831909063256 44.051810068155234 8.973741617894198,3.6492444072975863 11.203624810399399 -4.573016265010496,16.491487422392005 13.227653753717801 45.66926901240178,23.76863110054664 -49.68735267010316 -11.162167209025634
-36.13709910524377 -19.612075360665266 -0.7562248297903919,-35.48803337415131 -11.64221223388734 -6.418543799576388,-34.7925682702536 1.4751005893476696 14.073434956763393,64.19539651981141 6.063906115966898 4.747696387995232,4.362362338603891 -0.37513929466827983 -4.252519180236479,-0.7336466420968645 -20.45504564630975 -49.06719335020256,21.328294132961272 42.57697379531593 8.417846217366563,5.269877755247892 11.078524127583409 -4.59863454538827,18.061995113020576 7.6017143501786375 44.10903413726291,24.11259960919348 -50.668208792822966 -11.547381948474703
-36.66665243114599 -20.289115376950477 0.4521338590295671,-36.10367609934759 -10.805123442790988 -6.742522696355792,-37.492779351414285 1.1611016184057807 13.86231933668889,68.31815210775315 4.944046584064611 2.852150596660879,5.631400293196618 -0.7516497765051285 -4.983774207122906,-1.8545796696994825 -15.329465598582448 -48.23901748879785,20.599330437081377 40.63192106626152 7.70267378168009,6.645455257861433 10.7453025176315 -4.975239568209624,19.94124232114619 4.07206121901716 43.733864245189736,23.93224665110171 -50.09543534127354 -11.319453159505187
