-15.2 -10.8 -2.0,-16.3 -1.3 -3.9,-23.1 5.5 2.6,36.1 -2.2 7.1,6.4 -2.7 2.7,-13.5 17.3 -39.3,26.7 60.7 15.8,6.2 8.0 -0.7,-9.8 -33.5 19.4,27.9 -66.2 -18.4
-17.818785991907216 1.1018767238559304 -8.024779998140879,-12.192902378623431 8.530470118033268 -6.727871640585853,-20.508991781735286 6.933600280689314 -2.076652138076675,29.521800051094083 -4.918839602443731 11.025690541054221,13.947505234785083 -0.7408031943880288 8.726542249883106,-1.4381984284268017 17.23415710965404 -32.37205457728294,25.691820231454038 56.26792982884816 13.859197485293512,12.543484475432436 9.956533948126209 6.113878695063084,6.878885308690452 -26.60011563325472 24.86827047868263,27.809675877448928 -65.9904772594034 -18.272385848115093
-16.89649506746508 0.7412940069167646 -8.16134412704795,-12.85530937213202 8.403755891082461 -6.687818300798169,-18.446343691445293 7.1009201259271135 -3.775042543960166,27.26928879993522 -5.9326612408271675 11.14326293194414,11.250939217432704 -0.991742623615942 8.630387127866479,-0.5546279553726619 14.847126120835439 -33.11478911073661,26.262880502787798 58.587561022663465 14.888226019821426,9.86745970226048 9.74028252003741 6.06503411356253,6.845243284197529 -27.45513654198199 25.776513182605154,28.48123001151163 -69.68342913012549 -19.978073907796006
-15.80767646533133 -0.05586608344802649 -8.239523067454808,-13.615723661879315 7.876530376245111 -6.390258682346535,-17.108067522195867 7.148554173500574 -5.85821542394368,26.13231970060607 -7.029091160374562 11.178468074578936,9.106226157675849 -1.2112121971313359 8.190000816132388,-0.985909691693878 15.099648566018718 -33.273240745255585,26.69485792435193 60.39222438259816 15.716508275095414,7.802635755618799 9.606879459930962 5.802622250173117,5.519885235526182 -30.445075484498584 25.60960695612891,28.906172553191862 -72.24398943377473 -21.1714145648683
-15.419002659672577 -1.024407287663518 -8.182589799592218,-14.27103755387539 7.089635903820946 -5.936704557087313,-17.22011268784598 6.958316716918051 -7.189636809557807,26.684515449221173 -7.501496211680844 11.077789261992304,8.681677720102861 -1.3008472015008485 7.501273044165033,-3.1987796977384657 18.5364551927419 -32.54737689541166,26.657750583753792 60.34467884189504 15.736643245138598,7.498761727352714 9.609836000269947 5.327330299998714,3.52933411563487 -33.91427371402677 24.25681725675096,28.60428584619105 -71.1747441062663 -20.709150113474152
-16.15167767631499 -1.8164561921026356 -8.0134822962719,-14.599378863217257 6.288295600196722 -5.455256636326161,-18.97529738578517 6.516378152282005 -7.137156229694595,28.911655842017968 -7.027943264204468 10.92354297649847,10.486536489367978 -1.1978676031667619 6.752368045521989,-7.002042063502947 24.742809427610815 -30.91232995125232,26.02010352881525 57.89760516890979 14.691150350030684,9.429960153003032 9.777308905647676 4.759421067428207,1.3797459162707366 -36.59836498464615 21.94150788258742,27.400519691130043 -65.50116945803141 -18.14209177423388
-17.207548498505748 -1.857831615597249 -8.027946202891346,-14.327512364071646 6.0034485819553485 -5.146796118276399,-21.107128147576756 6.094557273708861 -6.449245279656195,31.190449634253056 -6.339518046604888 11.169854650253649,13.226010382445589 -0.9368974163236263 6.384028136028013,-10.403578760762569 30.677675934071694 -29.09642672538698,25.193933820072186 54.66589507268322 13.2803675432265,12.220997002786122 10.06805350701377 4.546465299411973,-0.7521974388335433 -38.3040471592551 19.801552213893103,25.9551425046772 -58.4172684598284 -14.9208886500897
-17.58185279509479 -0.5361281143637456 -8.56791160434237,-13.173580852602143 6.814350253738053 -5.224507501958649,-22.10188802812634 6.013058791512025 -6.108336965432514,31.625073436050613 -6.345716189709797 12.333789388559936,15.299604966136124 -0.5690805015743624 6.879726424547093,-11.106316958519898 32.85531259184179 -27.95559225409,24.68334077492678 52.63079595865707 12.366925259850873,14.183269961496384 10.429054300307714 5.191427491626895,-2.7457214939002252 -39.01969610526372 19.129688788832436,25.06994640131857 -53.823324148956445 -12.818083758233541
-16.664201127736476 2.354692830637231 -9.776328420583566,-11.094380776462225 8.945435937959243 -5.7993656067842885,-21.038498968673498 6.459451241184277 -6.724746718707348,29.143643845776918 -7.574710309565487 14.647541119341168,15.623003951309652 -0.1567691914196767 8.459476485595918,-7.931575334030271 29.451575760244424 -28.036554420331015,24.804894524237234 53.041606855521444 12.499737201209884,14.195896997914096 10.798579613656253 6.911393429422918,-4.595398560051608 -38.92328105165261 20.67507762367824,25.239057488829328 -54.161608336919535 -12.945491590652178
-15.098281070860608 5.728452579577756 -11.163404171185544,-8.80560977506862 11.49283899482819 -6.657325931567861,-18.880431310686895 7.199529803761445 -7.725483246737834,25.294346482803018 -9.342093669010152 17.437434219975007,14.75329986974088 0.20204205914141493 10.505509805089766,-3.257075926375944 23.926083679189322 -28.902816728706004,25.278836073913663 54.82008438078492 13.230120754097655,12.943305144457772 11.087180997758235 9.014375466369534,-6.6625952476801 -38.79566427826485 23.458338712352564,25.978246431016917 -57.23802356137022 -14.313858157539558
-13.776490241273986 8.242700889737343 -12.113861268369632,-7.173469634425165 13.328928529591753 -7.519885434327752,-16.964901944028828 7.915442810040253 -8.302880922617186,22.144981606472495 -10.722979733939336 19.850140320244233,13.573113839805718 0.4022907647676949 12.23390853192716,-0.16584687844739032 20.786330343742726 -29.922887133283133,25.707141530694827 56.426383343568084 13.911548354480294,11.467954676389235 11.199913802971738 10.628098640671862,-9.381416883858419 -39.53726980991691 26.157285101041897,26.60925537189228 -59.93898203319426 -15.517243024120818
-13.337983035153805 8.971989947267712 -12.211670809964348,-6.780428031115526 13.67743249516006 -8.153492033169838,-16.29156085212206 8.358015988378998 -7.917702113430155,21.19845263878044 -11.061683698144705 21.239409483689467,12.789763135746904 0.3818034788553492 13.06843645909752,-0.7645843396945823 23.07762656922438 -30.57907585955537,25.79947354696784 56.73733425750406 14.069178524804444,10.588895907198372 11.087355713187492 11.141114817536755,-12.832601118948954 -41.62466339163515 27.745163236851788,26.657384043717094 -60.08287468132196 -15.570872770933496
-13.483885858894215 8.535473800187424 -11.778832906232779,-7.157984581727128 13.0635329672689 -8.491094682732646,-16.609690068252327 8.53246024284988 -7.024982482025766,21.86525143210358 -10.699660007701574 21.726022640313914,12.461229139992726 0.23727031170270876 13.202122573095178,-3.5435925384296687 28.429269485050888 -30.775223532257733,25.664372161412928 56.17315929158239 13.864105289263422,10.297655330320104 10.868701850139932 10.908093982157302,-15.787990657914426 -43.9644144259737 28.289522500209802,26.401921623513466 -58.94019717902513 -15.050001716885316
-13.698187141478446 7.909856300832175 -11.308189186855449,-7.594357165674662 12.31367714273945 -8.504184575949616,-17.379132109326928 8.502872441632217 -6.309915527466296,23.071511140478247 -10.209184366468843 21.60831568944955,12.495182707199758 0.10215566158858704 13.006068039528131,-6.156040739153449 33.216838559549814 -30.512748097170643,25.502710935630777 55.511350276302856 13.604631230981727,10.394201350834566 10.702179485785425 10.507346498050886,-16.716440657176335 -45.09966410858872 28.111225315721786,26.296693384035944 -58.58055039703387 -14.891004820677477
-13.604585706646096 7.796172220993353 -11.173594053979716,-7.564970097364604 12.03855739825682 -8.20637337695498,-18.14621790903169 8.329687542641288 -6.239629264294425,23.956054496623775 -10.00074017145594 21.12853959770201,12.776722106251619 0.07533837531184165 12.757801789703871,-6.732479531236565 34.4528723364793 -29.892589366513906,25.464212877303503 55.33678547485128 13.522945231549718,10.685004767147424 10.703806506115926 10.365420625196126,-14.591269628329766 -43.94560314370041 27.497407570659913,26.670736665545366 -60.492207802037285 -15.76615860999479
-13.430324089410735 7.70457615317919 -11.234881510449078,-7.353972530513576 11.916813308728239 -7.793231619539441,-18.83090514611836 8.057521187592112 -6.33921692104261,24.5765153059178 -9.785874069104953 20.286660507392927,13.093432874683428 0.10628900307987368 12.330624181527,-5.465729079676032 31.901548884955446 -29.445617915558035,25.477632502831103 55.402259700494355 13.522427811642052,11.004626475088273 10.80725781899364 10.253257978409342,-10.565059022668311 -41.024662280680644 26.58950776488078,27.314009579224425 -63.65213008752652 -17.206844209032376
-13.565585968225719 6.823715938211921 -11.213113387266851,-7.463848343538121 11.375454374169744 -7.509454011479801,-19.45402102696944 7.726718213248946 -5.879446774586396,25.238582525316083 -9.08743791672801 19.01723394423156,13.20657464247951 0.10414173133511385 11.488704345567673,-3.1053688304568716 26.069917556191967 -29.818774471283927,25.412068568871373 55.23592682296048 13.417689765235234,11.195210968009281 10.896980458972342 9.764803387660885,-6.378734745445594 -37.293185382147854 25.489629883676045,27.87093283051392 -66.35928865283509 -18.436430582936524
-14.292747636756095 4.613100959969637 -10.88943078300896,-8.255174715095295 10.014578223239436 -7.52614939570918,-20.043714879560827 7.376001213841925 -4.355882466318355,26.199431367296096 -7.588483836484787 17.316743204464657,12.985079834232998 0.0007115023116210621 10.102136776704382,-0.43050378020431584 17.901285073614748 -31.403671264935333,25.176704753247744 54.50130157774526 13.079520278523965,11.181522289800292 10.881962421392856 8.623425661509373,-3.4862684407555755 -33.68696596446339 24.315482415086088,28.05151899215802 -67.22469357184673 -18.82093172032553
-15.350581263692149 1.898016295334741 -10.347920138884943,-9.37298322136056 8.307055125842453 -7.643384758333865,-20.665048018062883 7.035913375190598 -2.3975810619127143,27.47159929657258 -5.779847861558483 15.49393175233187,12.840795598886524 -0.15782162776728142 8.57512624605435,1.6309298705013637 10.53861634514202 -33.30448245703336,24.882847442230407 53.54443909854954 12.661980769947297,11.304911933039943 10.794937126173366 7.20509501094301,-1.8946916021878053 -31.038143467696464 23.263458678059532,27.89652239303845 -66.43278389935381 -18.445637087306107
-16.306910400436134 -0.06675390858981267 -9.767935913872751,-10.23728593308076 7.000218457245674 -7.544544577976435,-21.394689565916373 6.734425683063437 -0.990052281988226,28.99069190263136 -4.406391953768184 13.955740327443037,13.356300905045034 -0.28931290483245664 7.4798405864694555,2.1041925813763624 7.816608566710995 -34.22051817575892,24.70536508121319 52.92603479120579 12.408214021005174,12.03773673971666 10.707552541991618 6.091006924426993,-1.1560126529333274 -30.14626096223418 22.55469621703436,27.550706590984134 -64.66279903534432 -17.622028599005752
-16.810784978923387 -0.32638560028601993 -9.286276207979336,-10.411528815944092 6.669337873528524 -6.9861578001641975,-22.2833359834618 6.498267931075596 -0.9211287081888729,30.677773403362618 -4.0690093126205085 13.017605750958555,14.916851844551438 -0.33527210822251513 7.243198944739004,0.29033370212971793 12.506930221585476 -33.199221010817546,24.77435533298235 53.06595287540078 12.498909515904892,13.678963367841625 10.673992332736942 5.737924892425228,-0.881938037992607 -31.552985706806624 22.323606065732438,27.160169893847343 -62.616773527352244 -16.673362567154758
-16.99066716139181 0.303962947629228 -8.788551808575768,-10.305564223922298 6.874321707505778 -6.156384547540273,-23.22848122525775 6.346855339846405 -1.8120462908783392,32.36831377370881 -4.518969857847985 12.455095945644212,16.74359694051962 -0.37679244574419335 7.435133897096424,-2.8829919829546715 21.11039597609877 -31.342066316206644,24.955736910094302 53.55302337298428 12.746237683502553,15.504682917080137 10.645358149209024 5.8683150462909,-1.037231285792581 -34.279195386544885 22.193063911730178,26.878658617908606 -61.130114567650566 -15.99184964078688
-17.15016307111026 0.3625047459371935 -8.068607089673154,-10.638462670466154 6.804135723585109 -5.401073022621781,-24.071649681453554 6.2969308926037435 -2.8578475251577133,33.8665127918929 -5.197150120783718 11.846548201992258,17.63240059153317 -0.5459612238336327 7.312494595885927,-5.893880939063264 27.83688566613526 -30.500930482205973,25.018915868899278 53.67247407799159 12.82773766252457,16.417298738628066 10.535092627809483 5.936382217560013,-1.7156384833034939 -36.79017670875584 21.59906592416804,26.862713131008775 -61.08695445775297 -15.99489159882841
-17.541665179685896 -1.335696812138075 -6.97720875050536,-11.982214246209399 5.806146420261417 -5.015869210989395,-24.673545955000076 6.354952923772921 -3.359980241048512,34.99483020224299 -5.61047430587096 10.848999807050173,16.616944986491074 -0.9469444467524875 6.267680412294093,-7.439954540485974 27.841739031959087 -32.18835688489924,24.77271315162198 52.833081513288775 12.476891022438265,15.537623592874077 10.276244601345459 5.492736482824204,-2.9468902260274423 -37.77530084501029 20.1214495466327,27.228207017399086 -63.14108827544564 -16.989917171778284
-18.061245852119757 -4.0524528573426375 -5.760110356201171,-13.887473835880959 4.328051942600707 -4.947279094809048,-25.028223057897435 6.4562108010941825 -3.360846333005662,35.70245129534579 -5.726258390626181 9.666310177899197,14.381569915612925 -1.4900996868454994 4.634646695905868,-7.744584408293722 22.84872405206838 -35.56016222954801,24.29978846938313 51.302000061356246 11.815820807638602,13.502244606052315 9.93797311419037 4.7581018020388575,-4.316246970942206 -37.480858070199815 18.337714088341095,27.809466374169507 -66.35128606809005 -18.522800795784775
-18.45423660765727 -6.235998313589828 -4.830164249430894,-15.472821541216303 3.2830445796722003 -4.994105345582782,-25.186146906126 6.50588593592034 -3.216307531928784,35.99217247064114 -5.706586607192218 8.733671257714228,12.308924128570247 -2.0037940634908753 3.1456730611416943,-7.676609198247519 17.360375352027354 -38.775152485875566,23.798648736025754 49.70951995397729 11.131064429097483,11.588995653165775 9.647018492343555 4.2366931076249195,-5.220936551123359 -36.81179164583219 17.247418659837713,28.32170893054577 -69.1015442241102 -19.817242164984993
-18.51514677689798 -6.560443790746693 -4.534950399967417,-15.9866152096056 3.443136069129509 -4.982452953577679,-25.216430541305204 6.424561606913008 -3.244302335067543,35.909545491594514 -5.698150787875446 8.414611989106843,11.61291895175484 -2.334436917194698 2.4407544692051752,-8.033259902946089 15.418170227114016 -40.21126001135984,23.447118209282866 48.618884344377655 10.678189585078654,10.922493251528596 9.51438166374415 4.354035378656424,-5.165520281213165 -36.57592141300675 17.678154388380932,28.50873856392003 -69.95013048367649 -20.18276905327196
-18.44452114532092 -5.56837569395494 -4.684091534896111,-15.749720213623016 4.413728365661644 -4.965716547408941,-25.338831333492564 6.25948702310575 -3.4438999978374736,35.847740220093996 -5.716247563767043 8.480636771260116,12.10900286880695 -2.4781817882034467 2.3945696519808997,-9.008105929470668 17.2170158983803 -40.065126069806006,23.25072420372055 48.035162612231616 10.455034917449042,11.35730915192379 9.520839039656117 4.8847173724287485,-4.536640872052712 -36.76863352731977 19.04072955220865,28.351299111006835 -68.89828400555118 -19.63927175095403
-18.64117429074745 -4.71476949062593 -4.824522309325118,-15.606714428650902 5.230560167625618 -5.108277786147568,-25.84666727253393 6.119763203293799 -3.6584638204154,36.36967072967333 -5.712012422031888 8.414160511598471,12.929745727773152 -2.504303297768221 2.5080883756960115,-10.4999447486904 21.07351403330706 -39.42147948696784,23.13086029944312 47.690864199791875 10.3335882688947,12.127843863683832 9.58357754040422 5.28547139313901,-4.151667201746658 -36.988597413892954 20.05412801399684,27.94583375439788 -66.6518564154178 -18.553515253306458
-19.45231171955343 -5.317095054683424 -4.53279645906168,-16.321079308924457 5.008718820217333 -5.53548381206096,-26.97258631340205 6.092200723801117 -3.7165325365017354,37.96035969256784 -5.625677767616663 7.746901410976353,13.268050511986633 -2.4846855933882366 2.313618157746089,-12.37325164159694 25.3265645876305 -39.281341537902144,23.02310381059366 47.36596916604618 10.207016501658407,12.52113318303717 9.618957894489602 5.0528232244400355,-4.711533771935321 -36.85353475967409 19.581120677205433,27.39280840732457 -63.91026332759605 -17.28474863074542
-20.711460477910297 -7.298964740596952 -3.690053521791417,-17.835188338561835 3.6704625583920176 -5.986720876815685,-28.35584879780904 6.043309625373754 -3.3130591866815466,40.338061571231805 -5.295919875689299 6.507852809700728,12.946958589615406 -2.5117252026098456 1.6720167050416022,-14.178904579157056 28.65474588408545 -39.77536356087439,23.00615334815409 47.31886839151478 10.182208517585735,12.375556418516057 9.539502448491598 4.0902090368842146,-5.7593629769300225 -36.192047778142296 17.924785571763685,26.824114300822863 -61.26420720867781 -16.096527264524546
-21.963471678560143 -9.800673805335453 -2.3486035192252652,-19.629970483206613 1.5916618046696818 -5.9844737479922125,-29.302244352975205 5.715795920226743 -2.0679246065704517,42.79012405310226 -4.504342722634415 5.005465678043271,12.143635164114276 -2.689346156886424 0.6287796643413084,-15.291546780044484 29.927527974874867 -40.54506823994863,23.239138526466125 48.07680905724016 10.486160277814161,11.839335738310778 9.255576463244315 2.5297396386826176,-6.187612414457245 -34.95124887456919 16.19762147690178,26.389302999490198 -59.24329614067876 -15.19862879907886
-22.79229381210813 -11.986560146219489 -0.5884232990426086,-21.214537519828088 -0.8252187595290116 -5.114312321172982,-29.19553202782708 4.886503955634759 0.3292649842210524,44.66391228186222 -3.072786913566954 3.538617830820934,11.052133137943288 -3.1049792183606617 -0.7450860683542072,-15.157282708390335 28.182800033792493 -41.25210078000616,23.852739208082422 50.073265976969736 11.306575879645335,11.074091980274519 8.69438307342316 0.527916143629419,-4.972317039265508 -33.11433911918742 15.428693421645923,26.21512014015902 -58.29524862644774 -14.766860251700038
-23.273705213728004 -13.40173219284406 1.211014020956115,-22.485286433742925 -2.9272035799796687 -3.723214234333692,-28.368979729664023 3.745142810540858 3.3686397137418895,46.06020614082861 -1.29822272339138 2.2587681555344084,10.017040347518137 -3.652830505833498 -2.1058771097906233,-14.075739146290545 24.391643187310663 -41.85526999091673,24.636507990132458 52.616849842268884 12.358862896759865,10.357146024485463 7.979144586092839 -1.5047883090264043,-2.145222842525697 -31.068728164402994 15.572499317215518,26.160909150038414 -57.92371568611411 -14.58907300698645
-23.800793795734606 -13.83695678272319 2.4770119228923666,-23.588475635008084 -3.8996971845200066 -2.6493879269940863,-27.768441726025973 2.7477859068999537 6.011127353692219,47.56585953888873 0.21584430215588457 1.2222665543190643,9.48006394148399 -4.102445077885388 -2.9339568591305607,-12.89720243581837 20.772359176533165 -42.50510313738148,25.159915363021106 54.290452556198545 13.053721468244154,10.040463939554073 7.359547290504741 -2.9940476603876167,1.5808202901252308 -29.462605393056442 15.890267966567537,25.913495901741744 -57.023272544504366 -14.20282449296014
-24.731240427501515 -13.131952092091232 2.691821712993751,-24.656651926499432 -3.019353719193527 -2.6640452799330445,-28.27427229598201 2.3206781259531835 7.284337509373143,49.715222133643515 0.9032201352719521 0.47262575106961524,9.839799706998894 -4.241899198282212 -2.7600477935859224,-12.424726050565848 19.410102237530594 -43.33140069275271,25.025854402813653 53.78729773882512 12.847552468887809,10.441325946928453 7.0665783091208185 -3.416115572955785,5.491998967056532 -28.895153742411892 15.678867410918466,25.18942330334889 -54.58831320959147 -13.187079084455368
-25.8494117198073 -11.758377256657628 2.1571621356852275,-25.57052748178018 -0.8862900330125018 -3.479217885406818,-29.70023488439364 2.4073012676834216 7.279541913109123,52.18884013809228 0.7953252546572791 -0.10515887691902065,10.864691848424211 -4.149604912284594 -1.8656343726797842,-12.666658118180205 20.221413991738316 -44.12695121714566,24.35974679423186 51.525347620473276 11.912128489736013,11.370835292802436 7.038099435410854 -2.9982796589850533,9.020847982404405 -29.21392809920709 14.900025704891569,24.16439141562539 -51.162477675079664 -11.762906258851562
-26.51586842916348 -10.655035346128866 1.7805193526201593,-26.024653065361154 0.9210457991368084 -4.0239691811724505,-31.071646751733812 2.5942685961981313 6.874293520195534,54.03611045612368 0.3653492432236477 -0.7432712802419182,11.857363380675602 -4.1185965286953765 -1.0871799675785199,-13.043884003993663 21.519752397589304 -44.435417037294215,23.673278264886118 49.19752717511065 10.948039810877976,12.265918648843897 6.995288107626751 -2.523007486376451,11.70808576076553 -29.71086422285315 14.006949288176637,23.353518840598262 -48.43464087102667 -10.626032974017576
-26.128543180427236 -10.715994807501827 2.4248616563314718,-25.735894059972352 0.8918866513467382 -3.279018883273839,-31.44263799161277 2.4819681139580623 6.916241665281854,54.344948335148416 0.0774670961373918 -1.6557757289391404,12.14786489725197 -4.427002242277191 -1.2265411723098456,-12.989211784156259 21.659439428546907 -43.825035904041584,23.464619203887345 48.45450106697446 10.638798442873288,12.585473228853987 6.67338023649779 -2.740288617601684,13.125032957059329 -29.6957155122432 13.45331361735362,23.252162976066316 -48.03183973042361 -10.447142059800315
-24.904578411802646 -11.871021455210691 3.936332124424188,-24.88310774012654 -0.9153523333574105 -1.437463141308379,-30.686364254071915 2.0541973920992356 7.416000101808242,53.126505932114334 0.06040816787655387 -2.6953915824576287,11.73031048217232 -5.00769567777891 -2.2609957694233636,-12.380400769944352 20.35322316532827 -42.39074873431781,23.841088901272244 49.69753360559549 11.157495271741713,12.320757119296488 6.139025019816612 -3.612315643833714,13.32902351498188 -29.012340394464257 13.501393791285226,23.875689438360368 -50.0453531986621 -11.27053931769156
-23.754038803757922 -13.234233229982395 5.301000143442533,-24.035923624938984 -3.1149754074030627 0.28212272835013597,-29.36874757913929 1.6190580002004804 7.676182553995509,51.172848155592725 0.1591677295177028 -3.409197421045278,11.1605071525237 -5.50151957005022 -3.47035797393822,-11.471568810482273 18.462865834785905 -40.67300421718456,24.579408288086466 52.271093538288575 12.245485449442238,11.913321705823126 5.739195003859488 -4.434929221847918,12.78848193444896 -27.956365876167407 14.251570406499358,24.833466532665405 -53.2674512847115 -12.610714416711104
-23.57090118633295 -13.924833829279846 5.520477384806322,-23.755346333269966 -4.326058063040998 0.6784951170218652,-28.064184679706575 1.4823398485103774 7.012208649948477,49.283726794017205 0.2154603906378598 -3.3566615523455567,10.989532807195408 -5.555826768442377 -4.137383093079783,-10.52779018623628 16.8673605406857 -39.214709261419586,25.44667605012088 55.48184903217169 13.627529615150099,11.80095139833831 5.813177384812423 -4.51336494163594,11.974180069559482 -26.83849835225164 15.772748034890434,25.730969001851808 -56.47291996192997 -13.974212665548478
-24.427423533287293 -13.729088902812775 4.520384707105592,-24.148678812339796 -4.177212279813677 -0.37387729540037407,-27.057788028221573 1.6783318679088404 5.50038287933885,47.89235866708445 0.19360584862100844 -2.574427583229346,11.282507236948788 -5.158428795944468 -4.084724171772181,-9.794651682412981 16.034704255995383 -38.30789877748176,26.22715294723659 58.53871257924609 14.963491213080628,12.03237676607386 6.34232325900849 -3.8113863302663207,11.127111636053764 -25.98782867323352 17.562196162011677,26.366462574267356 -58.944455992500004 -15.057110859997271
-25.601173971595973 -13.07838421232837 3.1199584844654513,-24.8844460634013 -3.273379581459373 -1.9601972211836416,-26.354901357546122 1.9787525613887749 3.9528666121300096,47.07748215466886 0.17649600799917872 -1.560618570058276,11.63457686934399 -4.62639705454419 -3.657172997615305,-9.498893596148609 16.035416824228054 -38.00198767461808,26.721697296852412 60.5560564989382 15.850471172599642,12.280071785544981 6.961821307038735 -2.929623723229099,10.266050362664338 -25.751227420624346 18.56435212686252,26.724662440310652 -60.45596008733453 -15.738782975046176
-26.358185067198843 -12.421769763646479 2.154118350795135,-25.61916588563439 -2.2500683110865993 -3.145750221997296,-25.952059871873065 2.1516791013966836 3.187240228991856,46.901648311961964 0.2477168462946478 -0.8185673859813289,11.639050763212952 -4.281685379696736 -3.212732633836516,-9.854341884203789 16.921557237127935 -38.321722450214146,26.74120720291191 60.68355866027271 15.900611223850722,12.216209395467825 7.303383552157704 -2.47640847172052,9.39822806898709 -26.460040493183886 17.745936940520842,26.799957396810306 -60.8135008343716 -15.911831873825665
-26.546566075637998 -11.966130466885856 1.8785109807048472,-26.17426209096673 -1.4826931219164667 -3.6241537575508778,-25.91895352290149 2.1622311739990776 3.3360401591331,47.380587984083334 0.37549849769013927 -0.4722680912469839,11.371821303671753 -4.207936349201132 -2.883276031386835,-10.737786911260118 18.68408143841895 -38.882642775322026,26.356387481169794 59.15812447524844 15.21476164623777,11.931785906798218 7.295240170466553 -2.55075141068199,8.462830049878512 -27.994545958120472 15.319798254254398,26.643540366903604 -60.158271620135466 -15.627918980745498
-26.657963249733715 -11.650616410762947 1.9083458220769425,-26.55347659849714 -1.059112207358007 -3.7837014877556974,-26.40615127258427 2.1933763018384935 3.7744264664106386,48.478268154208095 0.40053506139680795 -0.22632231042328935,11.442319205546434 -4.225318476511967 -2.5506694049091054,-11.653396539196905 21.24639057578194 -38.847874168376656,25.925182127678283 57.41868506976422 14.434083021833047,11.980843720767956 7.193448246668114 -2.688564729227272,7.323810179682571 -29.736326705407574 12.87648636673341,26.369406233556546 -59.00197578361532 -15.11455895527107
-27.20164100733504 -11.399552794676522 1.8323545737624056,-26.767902010574048 -1.046029281144491 -4.039860670753584,-27.556656154324365 2.435061478260116 3.8493810905980004,50.14409682432462 0.16059614874958825 0.2294225093316389,12.46747673536623 -4.144291017212959 -2.0864402121131924,-12.095595035323594 24.51608896084276 -37.38527437511212,25.813141737598713 56.937389127380705 14.214764174085438,12.922526521919735 7.265271524927973 -2.406608500465196,5.848197790400447 -31.052595131366 12.043485710510392,26.09421809367213 -57.87234917384419 -14.606991347591173
-28.112497412196756 -11.101760164413347 1.4833329304388114,-26.752305932765836 -1.2804234564709551 -4.486731131363946,-29.08314681990612 2.9199852814465306 3.311287684840423,51.8924424196548 -0.3719550994623258 0.9506379352985609,14.327851740397238 -3.91906307466887 -1.457293160817886,-11.90813908110009 27.950336796996922 -34.69333002082957,26.120034325858644 58.12489674006538 14.739405462138608,14.625293545174015 7.56710630511162 -1.5874041955066878,4.15820813557371 -31.729376039050774 13.189975386690506,25.91333428152025 -57.182091723925716 -14.290084924562546
-28.59915813361327 -10.60116428804654 1.0026896198888589,-26.344944854045245 -1.3087926327391026 -4.812051330031456,-30.154167124907577 3.4820094632391494 2.420621634174212,52.68757631873413 -1.0545652723915757 1.6712104695108232,15.972874384528264 -3.6856119658716344 -0.7502822948398913,-11.376507765782558 30.436718582651054 -32.27373307847569,26.60955224839856 60.04964129097311 15.591766060397687,16.08425020611975 7.888712092303843 -0.5759697468841948,2.698732908526071 -32.08227241328245 15.094037769493431,25.89517377313613 -57.19844322725428 -14.285015813038541
-27.839374339082436 -9.745514289014352 0.5509189188810347,-25.383441820176866 -0.6714268003121674 -4.68286585210769,-29.916343466120967 3.9434049730379646 1.4699349932956571,51.47710552970791 -1.73335216593527 2.1094105457982035,16.308636729128892 -3.589492896606721 -0.06128452429121467,-10.811439435967236 30.848065421158218 -31.68530723380108,27.02698624305003 61.70727733300293 16.323205680675784,16.254724335001875 8.005982644524071 0.2555063919585509,1.9264738170558366 -32.455933986837586 16.448415365095805,26.105069408805072 -58.174070036406704 -14.706607081734422
-25.800765540423836 -8.71944324075029 0.252708931414102,-23.984734893750147 0.46686252711993903 -4.036336021397177,-28.169104700743148 4.1849856554887435 0.7192870758398484,48.14465804901713 -2.233788210363304 2.236141390018235,15.065182536667821 -3.671586968334884 0.45842869823466614,-10.368988150506732 29.152064982468527 -33.15656134685863,27.276343183611 62.76322477873081 16.787480291616582,14.908669676598945 7.857611315467778 0.6604435507544892,1.851351006087988 -32.94742388167923 16.786704842967694,26.54011053554678 -60.0982026488311 -15.555749096766919
-23.594470699887413 -8.195302647394437 0.1809099390168113,-22.670136052112277 1.0371226403498857 -3.2006804138760243,-25.656964162552363 4.172319909435182 0.38169634152191967,43.928971511084804 -2.3514568331444163 2.3880513722376437,13.165418662805621 -3.8212349972121658 0.5773893440558109,-9.981266227858086 26.90146628040733 -34.99006194906247,27.4914087290143 63.85254578747025 17.276135278174607,13.000297276805382 7.617982008421473 0.5741077482708858,1.8364636523291022 -33.295365604907374 16.859836239099785,27.098588058241276 -62.57868645337363 -16.668387949174335
-22.410403803978884 -8.873188385488707 0.4025802998058537,-21.98748284801254 -0.08472777058152661 -2.5323723530146403,-23.196684574987685 3.879050216702033 0.6623528295696851,40.170364050892495 -1.8838283119826877 2.9256047872587514,11.619661322734503 -3.9169445206836686 0.06244369414454539,-9.564434629682308 25.759991671818156 -35.35614876486103,27.821724798711273 65.67489853176399 18.109790256040263,11.569623042266107 7.478295823670175 -0.05095778237418926,1.2016420253511877 -33.21473557852603 17.505436691104425,27.670522265812796 -65.19020511041313 -17.865853129656436
