-17.2 0.2 -7.9,-10.8 6.7 -5.3,-24.2 6.3 -3.0,34.1 -5.3 11.7,17.6 -0.6 7.2,-6.3 28.4 -30.6,25.0 53.6 12.8,16.4 10.5 5.9,-1.9 -37.1 21.4,26.9 -61.3 -16.1
-18.5 -6.5 -4.7,-15.7 3.2 -5.0,-25.2 6.5 -3.2,36.0 -5.7 8.6,12.0 -2.1 2.9,-7.7 16.5 -39.3,23.7 49.4 11.0,11.3 9.6 4.2,-5.3 -36.7 17.2,28.4 -69.5 -20.0
-18.8 -4.7 -4.8,-15.7 5.3 -5.2,-26.1 6.1 -3.7,36.7 -5.7 8.3,13.1 -2.5 2.5,-11.0 22.3 -39.3,23.1 47.6 10.3,12.3 9.6 5.3,-4.2 -37.0 20.1,27.8 -65.9 -18.2
-22.3 -10.6 -1.8,-20.2 0.8 -5.8,-29.4 5.5 -1.4,43.5 -4.1 4.5,11.8 -2.8 0.2,-15.4 29.7 -40.8,23.4 48.6 10.7,11.6 9.1 1.9,-6.0 -34.4 15.8,26.3 -58.8 -15.0
-24.1 -13.7 2.7,-24.0 -3.8 -2.5,-27.8 2.5 6.7,48.3 0.6 0.9,9.5 -4.2 -3.0,-12.6 19.9 -42.8,25.2 54.4 13.1,10.1 7.2 -3.3,3.1 -29.1 15.9,25.7 -56.3 -13.9
-26.5 -10.5 1.9,-26.0 1.2 -3.9,-31.4 2.6 6.8,54.4 0.2 -1.1,12.1 -4.2 -1.0,-13.1 21.8 -44.3,23.5 48.6 10.7,12.5 6.9 -2.5,12.5 -29.8 13.7,23.2 -47.9 -10.4
-23.5 -13.7 5.6,-23.8 -3.9 0.7,-28.7 1.5 7.5,50.2 0.2 -3.5,11.0 -5.6 -3.9,-11.0 17.6 -39.9,25.0 53.8 12.9,11.8 5.7 -4.6,12.4 -27.4 14.9,25.3 -54.9 -13.3
-26.1 -12.7 2.5,-25.3 -2.7 -2.7,-26.1 2.1 3.4,46.9 0.2 -1.1,11.7 -4.4 -3.4,-9.6 16.4 -38.1,26.8 60.9 16.0
12.3 7.2 -2.6,9.8 -26.0 18.4,26.8 -60.8 -15.9
-26.9 -11.5 1.9,-26.7 -1.0 -3.9,-27.0 2.3 3.9,49.4 0.3 0.0,11.9 -4.2 -2.3,-12.0 23.1 -38.2,25.8 56.9 14.2,12.4 7.2 -2.6,6.5 -30.6 12.1,26.2 -58.3 -14.8
-28.3 -10.1 0.7,-25.8 -1.0 -4.8,-30.2 3.8 1.8,52.2 -1.5 2.0,16.4 -3.6 -0.3,-11.0 31.0 -31.6,26.9 61.2 16.1,16.4 8.0 -0.0,2.1 -32.3 16.1,26.0 -57.7 -14.5
-22.6 -8.5 0.3,-22.1 0.5 -2.7,-23.9 4.0 0.5,41.2 -2.1 2.7,12.0 -3.9 0.3,-9.7 25.9 -35.5,27.7 65.0 17.8,11.9 7.5 0.2,1.5 -33.3 17.2,27.5 -64.4 -17.5
-23.8 -12.6 1.4,-22.9 -6.0 -2.2,-21.7 2.8 2.3,38.8 0.0 4.7,11.7 -3.9 -2.1,-9.1 29.3 -31.7,28.4 69.3 19.8,12.1 7.6 -2.0,-2.2 -32.7 20.8,27.9 -66.4 -18.5
-21.2 -6.3 -0.2,-21.4 2.5 -2.8,-27.8 3.7 0.4,47.0 -2.3 3.0,13.0 -4.1 1.1,-9.6 27.0 -39.5,26.3 58.8 15.0,12.9 7.2 0.4,-0.9 -35.9 18.0,25.7 -56.4 -13.9
-19.4 -9.2 -1.8,-17.6 -1.3 -4.0,-20.7 3.5 3.6,33.8 0.4 8.8,7.0 -3.2 0.5,-4.3 14.1 -37.6,27.3 63.1 16.9,7.1 7.9 -1.3,-6.5 -31.5 19.2,28.8 -72.2 -21.2
-17.4 -10.3 -1.7,-17.6 -2.0 -3.9,-24.1 5.0 -0.7,36.2 -3.8 7.3,8.1 -3.2 0.5,-10.2 22.0 -37.4,26.1 57.9 14.6,8.0 8.3 0.6,-13.8 -33.5 18.3,27.8 -66.0 -18.3
-19.8 -6.5 -1.2,-16.4 1.1 -3.2,-18.4 4.9 3.1,26.8 -1.7 10.0,6.3 -3.8 2.5,-10.0 20.9 -33.8,25.6 56.0 13.8,5.9 7.6 1.6,-9.9 -35.7 20.2,28.7 -71.1 -20.7
-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
