-31.7 -22.2 10.6,-32.4 -8.1 -1.3,-37.1 -1.9 14.4,68.8 -0.6 -8.4,8.9 -5.6 -10.1,-14.3 0.3 -45.8,23.1 47.6 10.3,10.8 6.0 -9.0,27.5 -6.7 39.1,24.3 -51.2 -11.8
-28.74278581751355 -22.124545798164153 3.322097237695509,-28.51160542211413 -9.931441591351264 -5.431787588745107,-33.53035097706649 1.5198351558900827 15.064119314210858,60.65837825899875 3.0505389450547997 -0.5020939690240517,3.3973937049603165 -1.8490103235793582 -5.014321140154046,-6.0398983301766025 -25.682894587511736 -48.195608188348146,23.082577948698443 47.4452643982158 10.276203383404509,4.593212572819856 9.170342246656514 -7.332659409781294,27.151489914251 19.741876866026775 48.02404001539453,21.611296343864318 -43.225529368676945 -8.59245925741428
-29.33120712697384 -21.790502416376285 4.353768194965417,-29.532377092619896 -8.288462748736444 -5.903521763770318,-35.47255874398465 1.5574944836164535 13.743613233134566,63.983479442613415 0.9373517454912752 -2.890229856536708,4.994570819714932 -2.4858946350577744 -5.401304281501988,-8.769177782422757 -19.343396693486884 -48.096266556422115,23.006480877811192 47.21706039802574 10.15655151909472,6.1944581278560795 8.749635326238806 -6.737090455840709,26.473825193856324 17.06160724234081 47.49754892621942,21.24834604720087 -42.1649769559018 -8.186179590829322
-30.955251042505598 -21.853975971681592 6.035433954587521,-31.49985149789065 -7.451355348205654 -5.850972045989084,-37.36682300072218 1.4505081713060017 13.271356209378641,68.28943755324971 -0.8371718052611681 -5.494653741026558,7.098944065869922 -3.207040216501604 -5.974255035740491,-11.656428522754808 -8.54248076017421 -47.935908229638066,22.897895756614382 46.92713393214534 10.016078800956535,8.345473494290317 8.242112762965721 -6.2547507224500345,25.891102734460397 11.675088293385953 47.059788152096196,21.22301181195827 -42.2234117539192 -8.233995569320337
-32.489296563876316 -22.239346371450782 7.136177060578776,-33.42403711351882 -7.427112880068753 -5.92491490648701,-38.78211623316431 1.2874785101826747 13.54522277957993,71.68623495622225 -1.3775508096094013 -6.591974209077138,8.332816668323511 -3.4950725907256968 -6.3074855527641285,-12.780401384855187 -0.5494985920123676 -47.79116412424814,22.561639559370068 45.991966600852585 9.660638012545084,9.636915125404373 7.998577118031487 -6.220904149393964,26.284940456400484 7.2810826464503045 46.67096994598627,21.18926909162642 -42.278725652003345 -8.295198655833083
-33.14197742632764 -22.855752315812367 6.876829569721352,-34.60087031606096 -8.094144072572055 -6.5402870382697085,-39.48342703736941 1.1333085903310958 14.4337106606323,73.02632861731392 -0.3541813935140901 -5.387249416918552,7.834245593630351 -3.046863076276144 -6.137361754828299,-11.068615055315435 -0.14756805506125673 -47.73849167515215,21.899012575967486 44.114454439469505 8.991372080675344,9.18266921978891 8.226117403071429 -6.8277918243155415,28.252886841907657 6.527576861777629 46.440009549793686,20.921946378067158 -41.58526405154345 -8.072364534527207
-33.18483302575325 -23.563866578361562 5.914754014973804,-35.23551733648989 -8.921967496348886 -7.362071854630801,-39.859060932000986 0.9775397720815248 15.711901426940388,73.52319053657048 0.7630926870553555 -4.037939382215281,6.381347060553962 -2.2405689837450886 -5.715568731553277,-8.147608039120007 -4.213764568266242 -47.85379665921235,21.118124997412487 41.90827048059499 8.21243963224367,7.760454374164443 8.674824032163688 -7.81285260467165,31.48917029503079 8.721166305393648 46.948686856027095,20.580176003775417 -40.59446704409581 -7.723702254320259
-33.100201288649664 -24.21475042486993 5.192207276531732,-35.71346531308886 -9.299012971393413 -7.906520896220592,-40.4209389854263 0.7947676361795172 17.136350044901306,74.85852881016325 0.14756658364242345 -5.287017298403612,5.077496512504954 -1.5894607868160613 -5.395990150148584,-6.1791892068871235 -8.05722170478421 -48.21287458134379,20.487933733796158 40.16771348103354 7.588093534635291,6.477963172376813 9.00415519413249 -8.823327981588715,35.508867675088304 12.505766648988677 48.8725544926465,20.39930625754067 -39.99518542822413 -7.497783281719284
-33.272112767959676 -24.689236751969645 5.356068989365453,-36.32381417180522 -8.877450783854945 -7.825479670111246,-41.46535333058102 0.5778875051567266 18.46918369123671,78.03190497409261 -3.1842288196740234 -10.598593588907567,4.741356112629063 -1.4510662115790878 -5.420025148191544,-6.623360426770905 -8.191974256509793 -48.83618171823079,20.20361086976722 39.46147451036853 7.309046995193698,6.1561868123901355 8.983727261993499 -9.56963226274809,39.75129966354625 16.4944954507493 52.38571307240315,20.56026407725577 -40.32838471904765 -7.593896034990974
-33.72046164303929 -24.978434352245152 5.959123859161622,-36.998639856647436 -8.286361633029715 -7.273041820297112,-42.48989366588312 0.3875780363108099 19.493169341974237,81.51616902995437 -7.092367204430749 -16.69979472006676,5.136993056880342 -1.6060325602960062 -5.612423458192454,-8.340588581940047 -5.59508297626845 -49.539194545383445,20.187025096840685 39.52258031201708 7.293617935391398,6.554157463223879 8.791189091599726 -9.996175635265294,43.375181541861295 19.18639221999221 55.80485504276982,21.042396472016666 -41.58725452359578 -8.02878158303427
-34.3808505406218 -25.098979065730497 6.300891696925926,-37.58737316012551 -8.380964834047212 -6.519563134117444,-42.80726327583406 0.3002086087233859 19.995851745579344,83.19927901657012 -8.7139078275805 -19.22121365743781,5.784353234964069 -1.7014688508678848 -5.7014873611024655,-9.589591167488791 -2.2767253690980214 -50.08994010191775,20.296779887741735 39.89061514840999 7.3970692697346605,7.185081329054344 8.698642315273837 -10.10153446523583,45.47427307878448 19.054089283020012 57.016713557223866,21.778388028792914 -43.63818337893785 -8.776924300219626
-35.16416019489116 -25.058107940483964 5.899759997748179,-37.966775405100044 -9.705495616021649 -5.8122841681620585,-41.96939836516366 0.35673231682970347 19.89118902627277,81.65420819968 -6.1115579005374885 -15.188806129525787,6.289360166967973 -1.4927204545304569 -5.495508494598191,-9.094295175306238 0.08434266266495417 -50.31938038710356,20.400398430087147 40.15201739793215 7.486883964204086,7.652672013674169 8.886062326870995 -9.916974866507333,45.42073908242345 15.318462960820678 54.69700366354434,22.65791841137798 -46.20433746731934 -9.751824161798687
-35.874473683314406 -24.82245559265147 5.219616515023384,-38.131674789467205 -11.460749518070552 -5.298588541548132,-40.56171245992305 0.445105222079159 19.639240391813487,78.41317015820604 -1.3467893847766654 -7.656443124770412,6.629357539804463 -1.2027097649756462 -5.148329543611406,-7.58831532814128 1.2410942189496974 -50.33035408831499,20.40393674821325 40.09563347797433 7.483335152839213,7.951631722385899 9.135442595083592 -9.614981447895763,43.78944378052231 10.432775813633736 50.929812860573634,23.384887614257018 -48.390167722785655 -10.603530806073039
-36.287041486850505 -24.347695035169963 4.979609541413362,-38.10877450420368 -12.484828217804004 -5.098901091007629,-39.44863114992877 0.4119781564374517 19.847498174228512,75.8072965797939 2.4393630214263933 -1.3053763609025253,6.881962849140045 -1.1805928409341138 -4.907083010704055,-6.347829895850382 1.3330320848887032 -50.29909954502564,20.223853732657744 39.56495472509544 7.3209479454441055,8.182219438919084 9.121331794228606 -9.406164148023631,41.47994904076296 7.722950823842817 48.719400780623566,23.613039941151587 -49.13308801458941 -10.910969115439464
-36.244268790814296 -23.62744667529905 5.704854111904902,-37.932550667719184 -11.921964867208036 -5.266341881103371,-39.28112020452222 0.14466615861981935 20.91094401818253,75.60883152201451 2.8202951618839998 0.17803024163264788,7.095320225971706 -1.6759947844191312 -4.972828415115751,-6.33983694371891 0.44193818099104654 -50.341668572864215,19.83051933145672 38.53041726585336 6.979523768511634,8.409570104488951 8.618400427972432 -9.443568298621695,39.25324431590551 9.637113643433295 50.29713472848695,23.115610312552842 -47.727332126540034 -10.391196848923405
-35.92717354937784 -22.846671857303992 6.942081854295089,-37.676669894355406 -10.460011204317524 -5.514665924607191,-39.63380661813092 -0.26447356999650495 22.153016922576153,76.77190753037273 0.9718220324587283 -1.8759906263685566,7.168953964168045 -2.436671245775698 -5.3143066389244416,-6.972329333337245 -1.641478789332576 -50.27063198308449,19.46613545308725 37.60253970099701 6.667157223832896,8.521706302734678 7.906166296067696 -9.589981354928508,37.17157735817971 14.197251642145064 53.99719674835915,22.26833860992813 -45.26632056552834 -9.45777722714704
-35.6232581637084 -22.250503412583676 7.930349596002287,-37.4271231366675 -9.272244759176276 -5.450907214905246,-39.742838302976004 -0.6586036804738793 22.56018505543734,77.36443821968805 -0.7973791562941239 -4.559623958626986,6.955651486975388 -3.052553670416987 -5.827200712053492,-7.163035464213335 -5.218044681933495 -49.80312411821676,19.458387716758487 37.59312904850057 6.66373486778607,8.35095362891504 7.422907853756094 -9.616912615223058,35.077460781578964 18.033452856152962 56.928210797205324,21.63643603266914 -43.40926881391203 -8.743305373036597
-35.563083637035206 -22.039924954679865 8.055820271442784,-37.245130010414954 -9.311043034884738 -4.7784735456512415,-39.02367446518965 -0.906225477385746 21.347845850497563,75.86007564641449 -0.6025355848646372 -5.4306645428615985,6.366911132147825 -3.1917905407358327 -6.407168956979063,-6.083339958119058 -10.2746383720533 -48.75333717303765,20.030906188134253 39.0533269572812 7.160153471408167,7.792480188279129 7.5128249981145245 -9.354446101229074,32.87562420508796 18.37571291352394 56.73562844620714,21.667565804288213 -43.47149269852962 -8.750215800264481
-35.64116167859537 -22.155414212480174 7.5728985120478605,-37.04579107817938 -10.224948972258817 -3.7693807849241057,-37.95001703936978 -1.025417411967779 19.082265357473624,73.127280274815 0.9386499746700623 -4.796303604690897,5.660587908055476 -2.9841662831477453 -6.949881231983774,-4.40165679296592 -14.946394185377004 -47.50808142265411,20.79345432399144 40.99653026675841 7.822325204865464,7.112196722003534 7.964934061219002 -8.978315170650147,30.838203957595166 15.995064814294135 54.23355734926968,22.115727210203207 -44.73889247313609 -9.212830635856138
-35.62923490511817 -22.442278141941806 7.0531842153175806,-36.690825140171626 -11.186174840234266 -2.903374733696169,-37.38217641830646 -1.0889030452176538 16.823223277343956,70.90940937808307 2.2942438237142406 -3.968171038880898,5.221071515733503 -2.728115063644901 -7.351011609733423,-3.3333105898262554 -16.691947487556384 -46.66336205295728,21.131531320353194 41.87435057190717 8.124369295497702,6.7114576034359175 8.365425826426899 -8.790529462863008,29.37156128428154 12.956190890503407 51.39371220991955,22.481502868373315 -45.755960768607366 -9.584857042489139
-35.33282648240168 -22.739941802917585 6.999918534929703,-36.049034294816806 -11.466516290111445 -2.5884865874022758,-37.97758007765863 -1.1543029496450457 15.535815874764761,70.61174093655652 2.188911540855659 -4.060733702476412,5.368628833571984 -2.690642257929674 -7.5171976444214765,-3.8773253387619415 -13.54767049417055 -46.720650035293694,20.556769737090622 40.45513989954107 7.647670946339385,6.9215761958736834 8.355183617216122 -9.025770011833878,28.781555159073932 11.048284027782184 49.91288771582573,22.35368229315289 -45.32716898919177 -9.417727513263774
-34.792562510075896 -22.848084855694424 7.439882783479899,-35.03880078525075 -11.03200986093206 -2.734175033512575,-38.98523243557495 -1.1741277211836045 15.524643200011404,71.29023311346762 1.132988772902357 -4.813318557797051,5.978338606010338 -2.9194617190512338 -7.43097239119214,-5.529778808634839 -7.556275829008302 -47.524858365260144,19.456261633342674 37.70565073552394 6.718132114239777,7.587617587464026 7.955776593896636 -9.451340080353745,28.676938310604285 10.140221402977954 49.572894886439954,21.93426349703511 -44.06428747824788 -8.942253049925899
-34.14852913627315 -22.54957271114022 8.19829243969224,-33.59948168260185 -10.142389967990127 -3.0389781851942135,-39.05830601934348 -1.056421290898317 16.814883075625776,71.00696679817275 0.3922370080153871 -5.3835010832579675,6.736943206377025 -3.369516252399876 -7.106976416919211,-7.150928952617136 -2.455354205311326 -48.64314387842418,18.58746128721296 35.522666564146995 5.976621784482718,8.348940045761058 7.349822659039402 -9.636819257449128,28.3715534047575 9.288492655179578 49.34541291759991,21.68466170170285 -43.343662491533536 -8.676655016653134
-33.53727181103009 -21.684488444549167 9.082759227784893,-31.71679667644687 -9.068838630263844 -3.2260216415270926,-37.08110710010604 -0.7256675623889555 19.3330809953366,68.13292520311234 1.0577603447850015 -5.035332408956246,7.357926348953169 -3.9787593082243244 -6.573498107806458,-7.726580500235486 -1.5433201432776094 -49.663254254906356,18.60416905444108 35.54437316034391 5.976898184846826,8.880278607651563 6.720897148202067 -9.213175327967827,27.276627556903136 7.705629642693476 48.346133990056536,21.997058542460014 -44.332058477015934 -9.060006613437434
-33.06351576903387 -20.560702620616798 9.763008908520556,-29.754496685927414 -8.167457123935854 -3.22539397246085,-33.84300413817805 -0.2419137194501158 22.208408825696946,63.59090904214407 2.772184377905718 -3.919432194841517,7.7786659984957085 -4.549100348997446 -5.969350341530303,-7.286438892419209 -4.482361081044336 -50.34921057042169,19.302832479201975 37.26984031181746 6.552091797574002,9.151295164121981 6.2556935852300315 -8.318505215293747,25.60733538831979 5.902275397878511 46.89055285559532,22.6906323180482 -46.46226655583339 -9.876588199827879
-32.81644822381174 -19.71450952238488 9.841436616696399,-28.260927774486078 -7.8358133589260195 -3.068245132520683,-31.063620033746062 0.2685966097233106 24.18067562865873,59.549788356376204 4.470833089051705 -2.6193373651039744,8.045869159910662 -4.816017660107469 -5.487315834385194,-6.369953176939118 -9.159070774458915 -50.55110936311095,20.06124806948592 39.15359335211618 7.183445820811525,9.275666335453412 6.14242812588885 -7.33854034807377,23.971424393258573 5.022949206567564 45.880035779811855,23.30476001629795 -48.3203672298768 -10.590940469928908
-32.87246512889401 -19.62898176949536 8.983220004150947,-27.74238274676571 -8.409836515511019 -2.8017453237855108,-30.30249990638874 0.6852045498215315 24.131406531632226,57.99990423791275 5.182102480140561 -1.676113321503014,8.193476068732377 -4.548249574869875 -5.300450504590527,-5.495985318607008 -13.550821672496781 -50.15465953690676,20.319567717979087 39.805371709318415 7.404501890344402,9.34846206109525 6.540363924040129 -6.6355459480653565,22.936353899514263 6.067755210100537 46.11505061475931,23.42330466896601 -48.631028500625696 -10.719748003444261
-33.18489572427444 -20.25588940546476 7.4670082195561305,-28.285074425735093 -9.624778793074771 -2.6218386362366597,-31.505186590305634 0.9457762438411456 22.34247819900281,59.117859638423155 4.88372890587042 -1.1903785424795552,8.124396764028818 -3.8415511944788734 -5.386897166195864,-4.950204129485016 -16.63224283294484 -49.38539006694457,20.15034538129833 39.40924115956393 7.27925694750264,9.274791363126543 7.327792841278028 -6.327878778742017,22.652966667233613 8.59420316874606 47.37877683124601,23.08006257394164 -47.518957740424874 -10.306539982644049
-33.6379084788486 -21.24842217703141 5.916207824441309,-29.739139975717613 -10.878325213121618 -2.8080767943726572,-33.710189332764486 1.021067600648696 19.882733886872728,62.06097678973148 4.086957002310484 -1.0152300770877414,7.66790521249439 -2.975453810932667 -5.615261779668398,-4.887229027404267 -17.938399471069744 -48.65980129245687,19.98153098893261 39.03400406667817 7.169812083067561,8.85300942949607 8.225107087282401 -6.396824444630104,23.037976159999072 11.349096706973521 48.8827003295424,22.56168257334958 -45.89565348288656 -9.690920604034908
-34.11634813688496 -22.26523477103642 4.914625614769977,-31.921925403029185 -11.606795409721853 -3.6014042406362097,-35.968135459879704 0.8914151983806978 17.775205312997418,65.94925765680344 3.290401015186779 -1.0017018763943508,6.684126238321279 -2.2188983713115586 -5.857363885939389,-5.424797947982403 -17.078618668693217 -48.350590730467395,20.21097004881737 39.67293890323181 7.412554359640673,7.913231489868263 8.965228738365038 -6.808010076940461,23.986126095832837 13.136368343971602 49.864605191152165,22.146541726630417 -44.643149603115184 -9.20251878504548
-34.52186291970666 -23.06711516216393 4.541147526836433,-34.30010165493416 -11.739280349615582 -4.783146156983962,-37.587795071240905 0.6442785872374024 16.408618381624375,69.60063860820834 2.776869772993659 -1.0088463504967824,5.401346270350341 -1.6939526931244222 -6.03654288656299,-6.268844933915622 -14.453063079627714 -48.29655745807313,20.840595127051966 41.32697157157919 8.00640346403254,6.668585430810079 9.447154370197978 -7.362754944598334,25.167032408821125 13.528889958969629 49.941905948761686,21.984166388109454 -44.199229322186646 -9.016721371920147
-34.76694200157548 -23.480743768867868 4.548904103600007,-36.114097705115256 -11.52278798836219 -5.8380991702202625,-38.04448199126046 0.4362289122988972 15.762469439899215,71.6381749825823 2.689942802785698 -0.900889108867026,4.28537535332483 -1.4279277360921168 -6.109376802850074,-6.859624096983066 -10.972111855744263 -47.992049945966784,21.616911085325423 43.356800509418974 8.732558195446671,5.579304078825609 9.677025396750206 -7.7563732440866655,26.10506730147856 12.59562334090059 48.97694000678823,22.140953424940896 -44.71506253599726 -9.209404197236019
-34.7693372312022 -23.35961592803345 4.697926471809396,-36.65055585978945 -11.20631526688528 -6.276353400769451,-36.89385456030132 0.415168475829621 15.79339453277139,70.81635534288723 3.142226180902625 -0.5661025736470567,3.7771971196701486 -1.4404654165877242 -6.039910848306674,-6.682435250752667 -7.540033381551114 -46.97919848882622,22.287555282742495 45.12459588818435 9.372161928603859,5.081580185400211 9.666415536299963 -7.708258696844342,26.354370979521846 10.450286485096784 46.87653547359415,22.66542886257399 -46.29091630182835 -9.835256230364545
-34.518395003343585 -22.91952118884416 4.921947200416567,-35.90028800230977 -10.992233404935845 -6.033955304901357,-34.78435170876421 0.5906465941687117 16.232062622212247,67.7870428514544 3.842666183909064 -0.23031337597075185,3.9122733084387162 -1.6654157445772055 -5.889582856032558,-5.919558292186321 -4.855210315653665 -45.5541548659751,22.67609353750586 46.163585744809104 9.756697691697335,5.214912765093144 9.478270803360022 -7.301924535962738,25.922554985309194 7.720636920966622 44.11679318474217,23.373874915191468 -48.377240340331184 -10.673853233757555
-34.05638589402851 -22.644064536498167 5.283102586340761,-34.37464285025769 -11.048446916969917 -5.361827144060959,-33.17221856503691 0.8699391716278921 16.642103090761683,64.6046795370835 4.201815347568218 -0.36887525668288024,4.42629541946693 -1.9732095639426774 -5.791825314288136,-5.268495328790282 -3.4638302950967876 -44.5704592604706,22.662219567985986 46.13344765717386 9.75486063441144,5.725556550571198 9.213512684995838 -6.890048729890365,25.152446328684235 5.41442091986951 41.594632245783956,23.910894329116232 -49.94412584742233 -11.301401550860188
-33.43303508086088 -22.98785899969723 5.837391635384103,-32.59792937033682 -11.518354715340179 -4.520470219500581,-33.447007665859886 1.1592204734694747 16.6050451239019,63.26446347242431 3.660834485349179 -1.4247673484182768,5.0555052985901785 -2.2383561059560826 -5.873570583034218,-5.402638773388194 -3.8529307906051096 -44.841044935883154,22.143607402284736 44.74209041403066 9.252905719513768,6.359660553658384 8.970491610470336 -6.810466933478133,24.385640619099327 4.488052969016548 40.17302044543578,23.93729143135305 -50.00951539987949 -11.31394627002613
-32.805672107012576 -23.794747220302042 6.482408066708122,-31.107567340200028 -12.134989980529108 -3.808435851370382,-35.51543135205053 1.3871071895259937 16.080196682246722,64.16628295384548 2.3120579365757297 -3.1790461751644417,5.667370742107991 -2.431734968724421 -6.119962583184595,-6.368717586437636 -5.5470448661283935 -46.24938507517019,21.306506141475992 42.4812978587019 8.426060450775022,6.9805894764384755 8.787618933993665 -7.034722804207068,23.806324387180123 4.854785189941416 39.95616152320794,23.464125219174036 -48.614991040431214 -10.733636056587654
-32.42264283046523 -24.39195646391292 6.981759721110649,-30.452066214860967 -12.284281233818286 -3.5564596720483173,-38.02995313007637 1.5011987597163492 15.3464069619752,66.3606459245062 0.7986100973884735 -4.852886176104147,6.240355994796768 -2.605739874803918 -6.396214588447823,-7.683402326404643 -7.256578727190844 -47.89277628886502,20.581253865265865 40.505888446178794 7.69397750583748,7.550853999961904 8.652607009827312 -7.224534765526909,23.46554091981145 5.545518939216087 40.40646455531537,22.79871487561937 -46.667972284039 -9.94303596882834
-32.52066590079759 -24.1226878089113 7.101896557324881,-31.14386144934578 -11.379700104254521 -4.075038634581297,-39.64792308609041 1.4524305429895554 14.684733960554107,68.8674283498165 -0.2366557351752502 -5.676300030276872,6.753629222445533 -2.8106769618881335 -6.568227177620395,-8.852257642552935 -7.723580775601494 -48.87438654062004,20.385434131165987 39.93727657267414 7.464547790921597,8.034414743811292 8.553216792380152 -7.049140352919757,23.40601159596651 5.606022843173112 40.98374353449157,22.249192758442476 -45.07752726545769 -9.324688110897888
-33.02233405139789 -23.029025302190632 6.76233592895161,-32.90600833784611 -9.668610587896088 -5.2140772645298465,-39.98886880722371 1.2510756927506195 14.205955344519637,70.96385833881828 -0.5327851341030776 -5.453076687092147,7.125837129576866 -2.9959598806693406 -6.598672927997193,-9.502026795535944 -6.931664087234471 -48.96135147454895,20.69357054556573 40.72027865574693 7.723888008188165,8.358969134705873 8.512874644490292 -6.552251319218779,23.58099896948444 5.006654058051517 41.52972304192213,21.939058288195078 -44.19734774047303 -9.014581409721666
-33.5464467239457 -21.828947422081963 6.030627699306288,-34.69814729819558 -8.204839611900294 -6.378038045043316,-39.60284622979612 0.9647933435395349 13.856169524159455,72.17605099399331 -0.1981606447397914 -4.541907996025677,7.217095707424469 -3.013428477339679 -6.543813269157502,-9.37664569819324 -6.065167306161601 -48.56293435569441,21.05170044855702 41.661815273963214 8.050214183015255,8.417144221022877 8.58949918598073 -6.139735957948697,23.85724936119354 4.611945541892173 42.25547596411967,21.813251126875496 -43.844017223849505 -8.910261552015642
-33.7074371650511 -21.245968947728482 4.983134511475021,-35.47627195265181 -8.035163038912321 -6.974131725786808,-39.06947712985699 0.6656248821913036 13.574280245060494,72.06374741212684 0.6367926053208423 -3.3212158397433473,6.893964390248885 -2.717997338987619 -6.460047127384845,-8.246702545548546 -6.312648862194009 -48.109407546864894,21.002481062249725 41.55922084327715 8.018058152065175,8.107187607010472 8.838824875217894 -6.2156263398422,24.098027378625446 5.287663969208599 43.373640087144885,21.807943276258168 -43.80916059798725 -8.899490220928012
-33.34346468958649 -21.389893722094 3.7727474516463735,-34.961894701173534 -9.095048698922083 -6.991573639578153,-38.7325076306706 0.48208697587681754 13.286472685050619,70.83739474235836 1.6491882361061712 -2.087019283803472,6.268290154509137 -2.160698636356783 -6.301334579539806,-6.489456433059801 -7.6165559080227805 -47.88511098070905,20.4812326059064 40.2356662488363 7.562803767918181,7.523160091304446 9.216805193801157 -6.721820618029661,24.168189169432644 6.918625217765341 44.72095108364717,21.818689329737108 -43.80148476877907 -8.8691914754866
-32.54003746654298 -21.692014147775968 2.6369665335957513,-33.722876310458645 -10.091315607834686 -7.063036396488856,-38.674902566650594 0.6051346834377623 12.904870526193335,69.42685293032461 2.303357018474686 -1.0442338288287822,5.7231069374134265 -1.609389785306097 -5.908380540852385,-5.1528945175824035 -8.541649934161986 -48.01304344774051,19.857398792555685 38.64847485582361 7.018788538117629,6.975611188537387 9.569076973786585 -7.089287236572551,23.93435046891076 8.305117745668591 45.718551764275816,21.696137761816274 -43.4380235231367 -8.705363307551599
-31.400899865513466 -21.56106209640483 1.8145720736032889,-32.36429759283051 -9.699949870872077 -7.835872948830214,-38.96022683458988 1.221349868777101 12.345450747394684,68.77709518827633 2.0684820410298794 -0.38979047951278756,5.646182052656499 -1.3375915209617582 -5.1226532576760935,-5.29093133881408 -7.627153908597523 -48.60134922677912,19.5159727796299 37.795715944486 6.734608848372803,6.779240289832309 9.738748832680795 -6.737393436473865,23.27076085109618 8.22719076627761 45.78173588027771,21.29416956058304 -42.34553120435821 -8.298649960369344
-30.22885145374866 -20.865429545451228 1.4308909076027028,-31.250337920316653 -7.7962009902494085 -9.275641138331942,-39.435830280889796 2.23884998425205 11.691940810139274,69.02321458347272 0.9946635235304903 -0.20088111068200998,6.084705484384031 -1.415317995107398 -4.028195635803439,-6.903483564474701 -5.087858655743448 -49.51996362664018,19.588672691365176 38.01827239024276 6.824974959566527,6.990457332514288 9.68540269855509 -5.628912077751009,22.327878163265712 6.77897038757498 44.899173443863496,20.670135390385884 -40.68044182781671 -7.7115912039652965
-29.578392292447518 -20.05473758395679 1.467790683426505,-30.440562606991243 -5.771758093717467 -10.485785342096525,-39.67566403831388 3.2136409535696675 11.24018461307034,69.27623028341213 -0.13344262029047083 -0.40329035692481874,6.655215402151022 -1.6552541957985327 -3.0157803842098314,-8.657712987662974 -3.2572701205887284 -50.337612461895446,19.88695648441442 38.826030718468246 7.108853771749461,7.339071472479473 9.515898190020158 -4.413739312500718,21.60541894890315 5.716201240216238 43.784554912833194,20.138668411187595 -39.2689565722869 -7.224084553889182
-30.00799800780431 -19.61040992325203 1.8961478353806513,-29.97411038308198 -5.094871025128948 -10.529881957328065,-39.243422883146934 3.685207838325822 11.296366681982372,68.59697009983685 -0.49480921065028355 -0.9107108284384277,6.950452753928573 -1.8553745104466697 -2.489938619007455,-9.155882972261555 -4.5551046194774845 -50.61041446187844,20.203193080192595 39.67923836495003 7.387793379134521,7.536169090429644 9.345410471634356 -3.778345465619647,21.61894399350322 6.864842644724778 43.18659539644687,20.02598748968273 -38.96731317899495 -7.1255483227777505
-31.464463111398356 -19.73826033577098 2.5969784370430067,-29.845639240860013 -6.1924273874947495 -9.247351902370799,-38.0687930224333 3.497969278119778 12.002487430429063,66.82545597464232 0.19125992558926724 -1.5172772974668611,6.755626797538767 -1.9039868827425923 -2.5577487628210114,-8.035518557280726 -8.902945675737557 -50.232003954854214,20.402932388577 40.22261494926594 7.5414195582921755,7.404866077379177 9.23219740685463 -4.031987697081729,22.554274093666685 10.22251667865678 43.27674561324449,20.411085391675922 -39.981941214840646 -7.483117944739843
-33.00903041869219 -20.24509264738429 3.321204640575306,-29.985410885052616 -7.9836990072132465 -7.600832776945658,-36.611318990586895 2.9378066956119615 13.262852310330743,64.92977587477331 1.4232052600809184 -1.8440365600949222,6.134589753885137 -1.8201782391967951 -2.8956567879041386,-6.432928560450296 -12.605744421858363 -49.58464815958974,20.45767094246132 40.36794678855664 7.562393820244351,6.930467282775328 9.152115733249854 -4.937818750664948,24.119854172412868 13.139898983103151 43.39073085540277,21.015037190670345 -41.57852070063479 -8.042122318755242
-33.64262115309849 -20.906900378842955 3.8110712381439407,-30.317807036270416 -9.278812799696158 -6.632293875735031,-35.369081032231996 2.3235355464732304 14.960334265509372,63.956473172326206 2.6412027762457817 -1.5031947675384179,5.174866383608121 -1.6335486027147161 -3.149393822324717,-5.5907899033632384 -11.729885936544383 -49.085655898705284,20.347882564720294 40.049938470200416 7.452646064722628,6.11335616095279 9.075058706516598 -6.215464464234672,25.985039366992222 12.791682602463716 42.80919997999123,21.53254489539635 -42.95342341950648 -8.524174818647698
-33.01999212219514 -21.530088222851834 3.918288067084059,-30.706082428087903 -9.531696695131776 -6.759660372537365,-34.62671697165809 1.85632765824669 16.771917663081346,64.23666656596514 3.5006848105607573 -0.4493906454176175,4.099670445345939 -1.3939100660376584 -3.1821370650607737,-5.956220186345463 -5.578893229889156 -48.9194196037518,20.103918318364297 39.35002495833 7.244793266951288,5.1274620282934675 9.006253509473966 -7.527326308614362,27.69342455350268 8.621308434495345 41.56454636339204,21.777581859968322 -43.61728692935666 -8.757886407295977
-31.88146095313611 -21.97155242924416 3.6763093772807234,-30.91200288195512 -9.265179084574346 -7.364759278669879,-34.31448696641026 1.542031574669624 18.03275082225921,64.91365779601624 4.014473032083202 0.7941975347387102,3.357499642877293 -1.1846327472388993 -3.218088628184033,-6.655472789830801 1.1691024669478949 -48.88362147743163,19.8389402650571 38.593257122825534 7.022402040915534,4.434851758694693 9.009592114400245 -8.440796348149384,28.57980530822861 3.83901110728758 40.937282047077744,21.76214721529027 -43.60252309999 -8.749515751803347
-31.065734017529554 -22.09421830400644 3.136632772436889,-30.68979524632885 -9.1002050953611 -7.734741037115512,-34.329518004605035 1.3679497336002735 18.050763158080052,65.02429410791851 4.228825930573903 1.6528622900837024,3.4145756489152794 -1.091842810268359 -3.513933383518017,-6.696079390787832 3.3564765793720834 -48.740469442126134,19.673521713991892 38.126455970435025 6.873605823996202,4.521214677668941 9.153786315049546 -8.517737146547443,27.965682691212088 1.9909563417732583 42.31518432932907,21.517104821712582 -42.99120937662892 -8.522296482131422
