-31.7 -22.2 10.6,-32.4 -8.1 -1.3,-37.1 -1.9 14.4,68.8 -0.6 -8.4,8.9 -5.6 -10.1,-14.3 0.3 -45.8,23.1 47.6 10.3,10.8 6.0 -9.0,27.5 -6.7 39.1,24.3 -51.2 -11.8
-35.538897794176954 -23.041993380140465 9.579677120699005,-36.28046678644316 -10.336643285328568 -0.13896797396270127,-33.22886603958397 -3.5137418278435133 21.906826187487013,70.1318166666994 4.7849839178487485 -5.935240794346138,6.453502047489292 -3.761994806206413 -8.944422245054142,-8.837059599013076 5.059865788792537 -47.9429756787556,20.58819162600829 40.671067877642514 7.693584128588327,8.463009286246297 6.660887600960918 -12.396380797729122,42.72643926444982 13.607682639778984 56.17582138289277,25.714762735794725 -56.40336147659246 -13.97484971845846
-35.86653222332373 -23.229270192139065 9.361564628356135,-37.838595526824996 -10.902773570323891 -0.3733668122869913,-34.9441272175523 -3.5002146229094206 22.443508600328627,73.15314678021947 3.309780820173955 -5.543506463051057,6.717812573120615 -3.5999671686944166 -8.901340776328654,-7.356229875456972 2.108830757801627 -46.75268659847364,20.74246643542453 41.05249205982002 7.818137789016029,8.692715761991021 6.7858910114976485 -12.352735182201767,43.2231564397021 12.72750401840735 55.27759935626298,25.90962972263569 -57.07638680001764 -14.252893614558657
-36.31102117423218 -23.375498852604856 9.186600100817165,-39.73004570394456 -11.337719471664276 -0.7041174947020121,-37.689880749290005 -3.435600814412758 22.428749886487306,77.21218044230125 0.7325468504274941 -5.964231034921038,7.09106367028024 -3.514630503068399 -8.968631649438061,-5.763269048255831 -3.74751018614798 -45.40797389143082,21.054957974086275 41.82174002573707 8.08957894743702,9.020334528721957 6.925852075291851 -12.129437120717306,42.66071695703227 10.24756034957404 52.505719645799964,25.78416810882635 -56.62218609113026 -14.045250321343797
-36.650883534274406 -23.597955815252945 8.680531067048818,-41.049620887832745 -11.756451269832363 -1.322281777903264,-40.123084243137995 -3.0350682595173817 21.93607827030557,80.27446938509505 -1.2641336447943812 -6.0918293240249834,7.366841966448132 -3.2544001319412237 -8.71179560360858,-4.652521019508257 -8.309792435189117 -44.800266747676034,21.283941921349278 42.370274356906656 8.287906979644418,9.207631883726124 7.242125078088012 -11.686582224446298,41.923887089871315 7.434994296550572 49.3296864498276,25.43638711822276 -55.38457042440209 -13.507511159022156
-36.68926129181619 -23.98956418851172 7.529878735473143,-40.99029014765495 -12.250994201088794 -2.385705698292421,-41.02297568298964 -2.060696128690625 21.065748913068504,80.52064241393498 -1.1736948113739312 -4.944582229074543,7.3615418170777405 -2.6061438522872336 -7.754227315169007,-4.550534022354908 -7.821167655391407 -45.71258668878171,21.209073743533743 42.14373526971924 8.212697583791142,9.044750645797969 7.866282281852125 -10.99995289171573,41.804246293879444 5.512016075280139 47.15428142537518,24.96152644143853 -53.70046499174132 -12.791891179197535
-36.49948915911791 -24.377359344662647 6.085403401681726,-39.82095943835247 -12.65782638184018 -3.691514233931204,-40.536864851073524 -0.7835351763322764 20.182151508380066,78.50430902744128 0.5538580457910974 -2.9245558546394,7.143271247046338 -1.7789040272461278 -6.35519675842396,-5.247262677804689 -3.4478124865977957 -47.7444093232907,20.849775547456794 41.19494980342217 7.883174392468965,8.633994648680643 8.605897901466287 -10.209827019065933,42.03709196064365 5.139955426511186 46.598564937357146,24.412989471004142 -51.7900689742179 -11.995736060761025
-36.31763949913544 -24.428231908543356 5.09793797235625,-38.458573783291115 -12.659509356175489 -4.819569304333852,-39.63605407551171 0.2188091785984423 19.808764538903798,76.20833002902395 2.2900726627321855 -1.2672730698625674,6.931745958223812 -1.2359996566146294 -5.156962948375625,-6.089009711923738 0.6789480476365859 -49.78235804596183,20.369881396065203 39.942454908546424 7.4508554550676385,8.265682967531719 9.073401440836182 -9.555558490515223,41.721520554126975 6.642322591123836 47.808355749888925,23.81898150837758 -49.80327722899166 -11.183343543037902
-36.35059828170729 -23.85025933359547 5.254973702453031,-37.759286300214946 -11.972791821690576 -5.382060026718468,-39.23760014960452 0.4166286898310809 20.406336901219763,75.48562043978966 2.512028306153114 -1.122774213838576,6.92679845609677 -1.400168177605231 -4.756401558862634,-6.471593853976163 0.7382954269558573 -50.778863658490906,19.929876350145776 38.796540435114764 7.063671056398132,8.20489176156162 8.916288447836406 -9.259220930075733,40.046311135816865 10.22777682905742 50.83024660664982,23.205236984704506 -47.87814177832624 -10.414323501624327
-36.403754852735545 -22.905892554935594 6.3644214823412,-37.688706946745036 -10.778265966070261 -5.442377221948417,-39.420764703950546 -0.053963170644576175 21.606172964767236,76.2777818247469 1.2521317635248392 -2.402520766591338,7.047587934332582 -2.1309781540329142 -5.103264886715569,-6.501413166304265 -2.6025175825480926 -50.65236507367337,19.622096655926708 37.99790473797395 6.800479716389444,8.36114862930257 8.264367152494469 -9.304697186138085,37.45784983021897 14.696820727276474 54.52609639855469,22.57034412410895 -46.01374121096209 -9.694190988587824
-36.00517098535546 -22.240507401473558 7.626635692517601,-37.597316789455775 -9.576916681647432 -5.375572297402979,-39.686115340118 -0.5969468942445804 22.466651142095998,77.20620559027469 -0.38289178874279944 -4.162445050019808,7.019402844812299 -2.89899797535034 -5.700314781705291,-6.775687376869224 -5.576172505458595 -49.98855634109188,19.491805821780584 37.67010347408708 6.692429703477957,8.39839150936166 7.580595797768728 -9.511343519021203,35.271195357044704 17.877294466863553 56.93942746230143,21.894140328779393 -44.113160369490075 -8.991095894711693
