-16.7 -2.5 -9.0,-10.2 0.8 -4.0,-10.3 4.3 -0.4,21.1 0.9 15.8,16.7 -0.4 5.0,-4.3 51.3 -40.0,27.4 116.4 42.9,15.9 10.5 3.2,-0.1 -41.4 38.9,27.5 -115.8 -42.6
-18.892728878546457 -2.2968524432395534 -6.015186319316371,-14.689045959524465 2.7309918914834803 -2.3815167840155604,-10.52306011019317 3.657072896248918 -2.5813642235386043,20.72224329383848 -1.8635369157341133 11.250836825978288,13.935394732457217 -2.2351702517975207 3.2597924219795096,-3.054936293817442 43.582545336412444 -44.32497683625492,27.77905120090727 114.51549614185197 41.99735703311803,13.337212733419817 8.98800779097606 2.48172249174543,0.6028895730956977 -40.90713946708338 33.64747403207323,28.40717013882822 -110.68512203141238 -40.2166483642038
-19.21685562933101 -2.393938514475764 -6.678442876372894,-14.404635572956442 2.3413992607203955 -2.393609493667022,-10.27457241931572 3.540094475400753 -2.4256092568962373,20.94866269085337 -1.3166532568382268 11.38251920100617,14.787663789411676 -1.8837598605683696 3.3793347636843567,-2.1612630695901354 41.604978993539305 -43.98473181266237,27.227873584914246 117.1234398228805 43.178962800161706,14.202955651573507 9.274468369354159 2.226363419235301,1.1573659113547765 -42.1066744642532 33.89552358620428,28.05941107864644 -112.66821816123462 -41.132606666745694
-19.47563556214667 -2.568451648821721 -7.0302761547541675,-14.012730726061122 2.0313974164638724 -2.356403954480347,-10.22238822672666 3.5697183078831305 -1.7828360674499688,21.801297405213468 -0.6081931427263497 10.880036259625449,15.767777099187702 -1.6052185333105997 3.5922022045132658,-0.9023870511243597 38.52550144459898 -44.291070648650795,26.58562556564826 119.91842384030588 44.43322679971933,15.21837386852756 9.487248345324906 2.018105771197458,2.3059202463875628 -43.15703685755221 34.47546762336641,27.610666929822187 -115.17225439159685 -42.29443582870798
-19.395148608506236 -2.4345632097096246 -7.278621881796882,-13.525039387992411 2.0961470511493503 -2.414588031540439,-10.168865408727484 3.7664404791955235 -0.9894964114330477,22.728183744477622 0.02113328388159743 10.263316217030674,16.42724483066646 -1.3809226096651857 4.027254613050942,0.311413976566394 36.04540883550051 -44.716244384482955,25.994431338469738 122.39468488256611 45.54006073450876,15.863897980554336 9.645824309046542 2.113247130739559,3.4617617048615354 -43.1352273820975 35.40942552479295,27.161185440019036 -117.58224605038347 -43.417245142114055
-18.729504726817947 -1.6399061858412058 -7.623675734089575,-12.957261343234368 2.8003859390553623 -2.701906424252396,-9.930021881563183 4.142386229892841 -0.37557932229716656,23.200256701325824 0.34171658479236466 10.033979536685285,16.34819924336371 -1.1922131703095975 4.795015968550692,1.0841073712833218 35.7652256370926 -44.751502117021445,25.592987448443353 124.05913718622475 46.28497940057027,15.656373331459037 9.770365594591489 2.743663684525421,4.063582849957913 -41.199391152332105 36.70174538850832,26.808048236009782 -119.30708074801471 -44.22695054297271
-17.691259041214753 -0.4037860495627617 -8.071043782796881,-12.38548116731656 3.9158613966580194 -3.1601111844496472,-9.574042012055132 4.595922241924032 -0.08072907696693188,23.155361116888542 0.3292872870560438 10.280526584918034,15.643914222255502 -1.0378316365443472 5.717581782450881,1.308059255319336 37.49565568524401 -44.344831316507275,25.445837031417348 124.67253544396857 46.56400562760352,14.745210265927891 9.873560934315494 3.7347509416366664,4.060105420264605 -37.87979515424957 38.08907502009995,26.590172092957427 -120.18296429626723 -44.643677111458686
-16.855524141042185 0.602389398959457 -8.472442562506707,-11.93353823484954 4.824443424414009 -3.5791186094474168,-9.368533862524021 4.93545020744648 -0.09405741848392676,22.900593519942248 0.12196728504748872 10.764745208341683,14.84771249521787 -0.9302803412506221 6.388946362372351,1.1037134641640023 39.63193836965001 -43.80542711616472,25.558879629431136 124.19638191705106 46.36055658505606,13.780077786493516 9.962183090247994 4.59044261999583,3.8034033954768995 -34.791837300953645 39.09635372276725,26.50047460719018 -120.38404347675646 -44.7411385797693
-16.777934122356925 0.7258888344643584 -8.683645654715212,-11.71987905620167 4.925285319454517 -3.7555802454151612,-9.569424343334717 4.977917463028561 -0.3952612330886464,22.740153306750493 -0.13947477186444185 11.246371106005874,14.480440726307888 -0.8801773717115877 6.419671933232762,0.6013908493539142 40.60366284904421 -43.44407346081639,25.930472741936107 122.62345374775882 45.671895365717575,13.39449937052653 10.043094527785223 4.82859188273739,3.6445681777286545 -33.50393294264178 39.26846663709558,26.52907888876057 -120.09637215124543 -44.59895940919711
-17.446408346245356 -0.08654983557294219 -8.720030220716836,-11.73354053123051 4.157252532884562 -3.6964199911544213,-10.101683356997036 4.752878180587488 -0.8615436299240471,22.727404464165573 -0.3488185011434434 11.61788968899626,14.600205173996061 -0.8544688116973909 5.860840683537873,0.0019164096025586184 40.25111376517191 -43.411648336550286,26.444180281661826 120.44493831937999 44.716720784762735,13.646024498261642 10.128012934686282 4.405659733165838,3.7028571851421033 -34.104006105093944 38.647442145575795,26.636382015299283 -119.55776219514773 -44.32993272405994
-18.335370423017302 -1.345971134236539 -8.741334233648336,-11.846509074728429 2.947378041921587 -3.5987522635761815,-10.590931490678178 4.482188580609625 -1.277402498806027,22.688831335192436 -0.43109229207897587 11.891857962190892,14.846565215115703 -0.7805995891150912 5.161983380808316,-0.4301141318253569 39.690544290354026 -43.71439541705033,26.879735812454747 118.60283312304897 43.91401939962601,14.071236428927282 10.233047528291642 3.6748262454696885,3.887834906728184 -35.34088221875475 37.72497274283271,26.75589398471933 -119.05284040419004 -44.07685257426967
-18.914216969133474 -2.555282069207523 -8.906461884668976,-11.929964106281963 1.7315376296148337 -3.6595663293089036,-10.666760153992971 4.386503714854811 -1.431532905026838,22.451696315436568 -0.3153938931514712 12.087073866242342,14.85584643567242 -0.588215399666778 4.7722115798236695,-0.44212693532231434 40.0445649643235 -44.34343574368923,27.02160910052608 118.01903618811879 43.67362128862172,14.20290389411073 10.37317787780757 2.99416648967841,4.100699277193213 -35.95898895899824 36.9937009093852,26.821932621718332 -118.85918424117844 -43.97921874445386
-18.98173836797921 -3.4960412274856583 -9.226782392882894,-11.938454576964952 0.7318041093896378 -3.9052732249797666,-10.319497269206748 4.4877360944832505 -1.2968888685559072,22.06211655041667 -0.0027773823653290813 12.269143646987425,14.553974605731401 -0.29555459943866424 4.779437331530064,-0.13160559481358167 41.46733310185717 -45.047593662878036,26.86150494225243 118.72702037566599 44.00510368772134,13.939409448042474 10.531899992488928 2.4919912029395395,4.222814773195754 -35.774716785610764 36.57343086126437,26.81224598477611 -119.04080793460119 -44.06957432993676
-18.67732211830295 -4.237936279366426 -9.56111204244858,-11.912734535776622 -0.050824546512986096 -4.185904046500566,-9.91247664986823 4.602296054156277 -1.036950383878837,21.792507628393437 0.43129945240281936 12.552073900608494,14.166325567592782 -0.012461420520320851 4.898088057140453,0.04200270069648615 43.11161373923248 -45.325155825258975,26.60541164682707 119.84161624106677 44.504177581598896,13.557184733409656 10.66015550206807 2.05903203970102,4.115037837311607 -35.71287856587068 36.19844756631664,26.74948951627312 -119.44089876095119 -44.26986792334278
-18.156083689621276 -4.859118969574093 -9.76539143348265,-11.895982078657038 -0.6234732969423459 -4.347075193303479,-9.817248347371581 4.542031496254544 -0.8215334382356756,21.917458647672905 0.9077066378562836 13.047055624892677,13.927764056437374 0.1497633606779364 4.833440024281524,-0.3813910081069814 44.10159921867745 -44.681350652299116,26.464103011820608 120.45719572388235 44.75767652042396,13.344349865893658 10.708899755400303 1.579741765715781,3.6453847668024726 -36.718084471715684 35.59634610975967,26.65848990789737 -119.8936148266164 -44.49749134294751
-17.57352725179103 -5.284390041547848 -9.827727914510556,-11.882055950589125 -0.9273058646709608 -4.35261482453645,-10.119818321842322 4.2749697254765655 -0.7425133630994055,22.449080708427207 1.3397248034301856 13.705002527747038,13.93575412966265 0.16776277777145226 4.547335780961964,-1.3520533468146976 44.1212519359801 -43.20875573308779,26.48639169818679 120.3642734365337 44.67683960597549,13.406320398585468 10.677208477660558 1.087248824664019,2.9392023013887356 -38.73982330922993 34.84704932737887,26.567221281018842 -120.26994366417992 -44.687176977408
-17.085616517044503 -5.257250465856545 -9.892483447765786,-11.806506916485818 -0.8255030638580854 -4.3061073774772085,-10.568607004406129 3.9537817066859575 -0.7996198693111016,23.089169353405595 1.6316619863404047 14.28733991460314,14.125317399128706 0.12215175011088955 4.304944283036877,-2.2175116531492325 43.51632444623367 -41.69434432282145,26.52961123054253 120.17638117044463 44.556435570304174,13.632508758268214 10.621047882015876 0.7904540152394572,2.4260670220010243 -40.55109807028171 34.44702080538567,26.507378817070315 -120.48441452781887 -44.794158167088646
-16.845483296578692 -4.520399481414468 -10.108978870189071,-11.604309815506909 -0.18295511335771172 -4.3174159994273555,-10.8961762499902 3.739292500712425 -0.9860932936573119,23.52629584506632 1.6898139057525912 14.54866957759627,14.421750029276893 0.09792606956984909 4.382424776196309,-2.3039372369887756 42.66786244380013 -40.95227206680922,26.442875826185027 120.54244513112712 44.70757703493273,13.900698685968056 10.598541277804827 0.9027677446883627,2.5428652197862394 -40.88307888252025 34.90259812147471,26.509525696623466 -120.45878682293997 -44.777106216066656
-16.88432985110372 -3.2289291291298325 -10.453162462438382,-11.32950147414691 0.870437936210867 -4.419970138761914,-10.990190982841284 3.6853198995190195 -1.2453433738566588,23.649329561654838 1.527364817514853 14.419291851908044,14.735640155896544 0.110840525010624 4.777561501261457,-1.5112521995495816 41.832203633523626 -41.245698126623886,26.196362983506106 121.59385678673192 45.19380205072367,14.124716125026223 10.619688067304383 1.3969863736592196,3.288883970646784 -39.58052305988515 36.115248798015294,26.546772471765326 -120.31597398683869 -44.69084269627582
-17.068415109059938 -2.0958064087972943 -10.666448325038939,-11.197182881436916 1.84627717516547 -4.543801593751353,-10.948135789434515 3.7009248626728346 -1.4533702243950173,23.61809830399209 1.3020951918583825 14.067187791210847,14.957679251110957 0.08298235939892491 5.111559758671074,-0.515534766939445 41.09698378319054 -42.09240701320221,25.924021664988945 122.76189919194586 45.74373580691669,14.26714403403121 10.629386801021885 1.9204094289464297,4.071436768422265 -37.99462159499421 37.16818684855021,26.51450917521674 -120.4510057418839 -44.72025892497025
-17.254773118522966 -1.8641432504293012 -10.477891343302254,-11.431095501274253 2.2364469628537003 -4.612647636222321,-10.883331551782028 3.686096134762472 -1.4827909122526772,23.612520801876244 1.1804552899329601 13.675912853706041,14.979067177991801 -0.06865623744572392 4.98432009867736,-0.039410449449516674 40.53524428435777 -42.96125385745709,25.770228426614246 123.43325746119142 46.06469017449918,14.294921339678892 10.569001395821006 2.101872412053826,4.264563476145392 -37.565520771797964 37.10012159534679,26.304768020094212 -121.26986226972922 -45.055712101571636
-17.449434938946737 -2.709770863487567 -9.873869132815864,-12.087440750346936 1.8766661409633287 -4.612942149238784,-10.965659800564147 3.6130055593384003 -1.2903356787122184,23.86396587539161 1.2332508987301567 13.351210092216045,14.806246686406057 -0.33385835515258394 4.321299048630573,-0.29271084252302304 40.06286159884739 -43.55986436853472,25.80751656038998 123.3004858166071 46.011564052853814,14.228690056023732 10.445080770373897 1.8486527863242224,3.767087888688628 -38.65481819463997 35.76440363350755,25.939121935798006 -122.67661435118943 -45.661548321693324
-17.88937699742158 -3.929235340580219 -9.239609541095147,-12.962732972168553 1.1355969988093506 -4.628298763282559,-11.452671071896887 3.565708783341982 -0.9631101852247594,24.683549984566035 1.3830388702963297 13.078213331225946,14.624287000753405 -0.5579087664965351 3.552564900382956,-0.6904369735889504 39.352106547392516 -43.96595865184295,25.99706229916642 122.53023559729094 45.66801623537592,14.172331982525984 10.365210596155878 1.4996130559508318,3.291248895276016 -39.95236101447294 34.277077531029356,25.63993196196823 -123.79737319577929 -46.151796470045674
-18.82789424246297 -4.747695262352741 -8.99131002188401,-13.831600820829854 0.4263405318692178 -4.749496967407078,-12.604791138617744 3.6370655989159504 -0.5993420992961458,26.383187226224333 1.539733736901252 12.831462089365948,14.632263913807616 -0.5752076482277101 3.148600830590361,-0.583960949542254 38.05800402430005 -44.28849267314592,26.290112576156602 121.33129707398534 45.13789803164909,14.236124764870114 10.444427886655541 1.4281177327339822,3.612611978330101 -40.01589269906713 33.853900062671926,25.64497387223593 -123.69876161198319 -46.11361393213939
-20.199288278418237 -4.77243777447372 -9.244845904609452,-14.509402670888552 0.03558791660519201 -4.959986426642187,-14.262888952534892 3.8461819346449984 -0.28888951435111276,28.729697167237518 1.6231654956271409 12.565776007475234,14.907046141497387 -0.35910582099908483 3.3108142370929876,0.24882728153775877 36.169106992853166 -44.582454299965804,26.606426519293365 120.03441889867659 44.5712988223609,14.461600645557208 10.686276619990027 1.7716331810025228,4.909297935105049 -38.45540704091861 34.909794189643655,26.025019986815092 -122.11572250263315 -45.42757690868134
-21.370234555624606 -4.290720848545885 -9.581690483337148,-14.883972561380185 0.025092973548680453 -5.052230955262858,-15.521261698165741 4.080923921543696 -0.1067174571306534,30.51994210964251 1.5708080137485219 12.200884594913123,15.308043527048959 -0.1302069746465024 3.761811150057602,1.2710793599486467 34.26745808785515 -44.80679897593793,26.809732928177727 119.18736605977473 44.2005853740739,14.7679642714559 10.89590678260295 2.2478616520234764,6.296316889620402 -36.75330305915187 36.43465559312352,26.55367176106438 -119.97242723484689 -44.49637968412202
-21.652167454410748 -3.6590430931008537 -9.530057468255526,-14.851328336524105 0.4326109654896494 -4.799977655417177,-15.402009938992517 4.2160320221467655 -0.12573493794389531,30.456873956823 1.3224575798565479 11.653637945451306,15.672859588884878 -0.13363567619542516 4.175703838942177,1.8697738929905552 32.99507741967405 -44.91088018239487,26.758760036273074 119.35721166981708 44.26531191483273,15.062193480127316 10.858945895238302 2.5324579768169744,6.783045261333759 -36.577950246489465 37.275806675065155,26.974611357214744 -118.31263992008091 -43.7752240255423
-20.83972360865855 -3.107961020045119 -8.888174769589485,-14.412772512552944 1.1760529089670382 -4.120341670248362,-13.630613350596967 4.185756337848886 -0.3419272836794558,28.140821814026847 0.8923002094923003 10.949858075761425,15.929189284442078 -0.47173965657054956 4.3539886997347645,1.7365333169462178 32.81657699425462 -44.88796812684348,26.42673563421731 120.65868184018959 44.81391549327067,15.307845948300052 10.4981709598759 2.4817251817438555,5.962988026875356 -38.55754129747516 36.91902477460638,27.136968819129862 -117.73756470195342 -43.525241281632475
-19.717086493967315 -2.610115117429241 -8.00723067161056,-13.785219420226015 1.927901545912929 -3.2240406481171147,-11.372997247607245 4.04621638342722 -0.5937482960265178,25.009847887711864 0.4468641699521469 10.338529914833018,16.189225259831186 -0.9544748662464665 4.359031276209604,1.1868582404406525 33.833255881527094 -44.821269802814854,26.02137043226832 122.28014411698155 45.503445493965735,15.584348847808197 10.017226534476736 2.3219145908950756,4.625883344026223 -41.19009741449465 36.157575062375514,27.105820241148503 -117.94208996246348 -43.61012721758334
-19.18790259451307 -2.1069326666546573 -7.305453662728254,-13.211685682503898 2.3311343748749778 -2.3575255931119647,-9.969135478633293 3.8683751118790926 -0.7006343835602121,22.72440778768799 0.17108758320391382 10.095364103120698,16.587319483219062 -1.3563175269267418 4.284999435953403,0.6121579756435618 36.10052517145477 -44.80484376459945,25.778653755540354 123.29818772697783 45.94372293861581,15.984976153241705 9.653757779236948 2.3239267652642117,3.7065050472250616 -42.71588648969257 35.942986594701416,26.972611858638402 -118.5105167048599 -43.84510072988683
-19.679902148928573 -1.6425359429861826 -7.0146094563588,-12.851792433915033 2.1814800317546985 -1.7066743329588032,-10.108414725851187 3.7011662759322492 -0.5579521696469966,22.210271515012124 0.18177210512897987 10.328415702733563,17.137152804064574 -1.541800365648533 4.187022613905313,0.26914976247469985 39.2814074356835 -44.88780008119207,25.813596638341846 123.25067596635657 45.93893124711639,16.507675845047864 9.536313139091135 2.577168389445905,3.7378994812294755 -42.2350388512752 36.71475735744167,26.808882759318795 -119.13500945198693 -44.09762281298858
-20.495848062025722 -1.5037968956598684 -6.925704424741556,-12.668031164533113 1.6357391716088558 -1.3141822649624746,-10.94236849475932 3.5414511661416395 -0.2405515629796084,22.656564612361603 0.43465891236041554 10.749436748225381,17.567164565672176 -1.5883310168451765 4.027951483976014,0.09616670745894679 42.11140014158428 -45.01299992141686,25.95524251767285 122.76582839642786 45.75268625198398,16.925065017244357 9.535559042871967 2.742032252944358,4.303512494446612 -40.88022135295635 37.70205004410833,26.63911566117196 -119.76269972391182 -44.35864394966014
-20.776587167737972 -2.0123243244748537 -6.766280691640269,-12.594491949941753 0.9028448168625957 -1.2020176949232628,-11.401069003253939 3.3785998108234585 0.1507405605164733,23.002232817874496 0.8621506478684523 11.01312207073934,17.56483927457553 -1.604001827942705 3.7573621254156016,-0.014398805452956031 43.19303430140162 -45.107968887198254,25.991459359294318 122.62888814135175 45.714766218946366,16.97741166241462 9.485036941552467 2.417310450857536,4.849865939742648 -40.07686365146737 37.959817067428325,26.480999321695332 -120.3774946129636 -44.63691379739198
