-3.9 -35.1 10.3,6.7 -25.9 13.6,-35.2 1.5 -14.6,65.0 -13.8 -22.6,7.5 -7.5 -6.4,35.8 -10.4 -16.0,29.9 83.6 26.8,8.4 5.2 -1.6,-2.1 -17.4 25.6,30.0 -89.5 -29.8
-3.5615771859883294 -32.94585356663801 10.54457048990501,5.983177073046407 -21.840424351371556 12.579831310500177,-35.78285606071973 1.8168655474056883 -17.744155962079418,64.38114547808864 -12.742655678890088 -20.947107940804052,7.7883789646556 -7.698643279783129 -6.7271287825145345,39.839092268750456 -11.663258776715997 -15.4920689138544,29.996634953570183 88.95373038426399 29.502423312336603,8.592796927831982 5.345527853613546 -0.2883766786587503,-3.1511149876607734 -15.595246210068282 25.245376153671916,30.041192462350363 -93.26854756410927 -31.658530288295523
-3.449246516122752 -32.68562092525134 10.628231860537543,6.035307484087788 -20.981194573716937 12.862509658252018,-36.20788266125478 1.6610142069563836 -18.03309950038204,64.4590083327076 -12.034330475652418 -21.00400351810429,7.864335327166169 -7.865243826484112 -7.415078355206187,38.71126653723215 -13.031250822320182 -16.205555428370975,30.022601923788567 90.30022670351129 30.19155139806929,8.719675581631309 5.403645715812844 0.08020582680942483,-2.25303700616043 -14.175899403538214 25.78660187484711,30.03616047873445 -93.29481995709699 -31.65581916206932
-3.4946770610225184 -33.63164467601096 10.603246688236384,6.565304462632543 -22.20197645928638 13.933327961405446,-36.48918817710946 1.2262425944522304 -16.50792637279132,64.96724457685666 -11.61483617141176 -22.125665718115958,7.805244486770865 -7.994477977035257 -8.256531839695757,34.46414418305826 -14.337723943280755 -17.618324197285247,30.001879304816534 89.01180581583219 29.555642743934143,8.797062748404969 5.401257585828414 -0.17589543011270098,-0.21985840757097366 -13.14257413500862 26.839311737980825,30.002202342699498 -90.95810579667362 -30.47930460872576
-3.629537891306885 -35.09626741908779 10.521877549340322,7.282081238189066 -24.382435800330125 15.27757913811039,-36.64088098378811 0.706347325693373 -14.20973233719075,65.63951022353565 -11.423984547292894 -23.667073527054292,7.688481842708841 -8.081022068368874 -9.044172357604042,29.14534658384199 -15.41642594606593 -19.208239874332726,29.958445490815468 86.46078457931704 28.28295583666727,8.841385215159956 5.365267462890773 -0.7383233959423519,2.1343284560355897 -12.495884959078333 28.0191403175283,29.95661634779277 -87.63769370054965 -28.81642461566917
-3.7854980775951064 -36.39183175465277 10.436387020188143,7.894551040265758 -26.402238389098397 16.380556106516778,-36.67706945679504 0.2951250164799561 -12.179613151463801,66.20946128574437 -11.401587384420605 -24.983205931134535,7.591422794219255 -8.119552437417275 -9.570683030551844,24.802495117196543 -16.10110463714391 -20.453167113248938,29.91627887594676 84.01947985205614 27.061749163004762,8.869069768903268 5.322579346230438 -1.288721017196753,3.9954312325872574 -12.23644643034618 28.941722187944794,29.916700787561528 -84.71287228643554 -27.354617170303918
-3.894226690506435 -36.83068028287683 10.399037677118628,8.111627098371011 -27.14105001784143 16.72755178477453,-36.61186197163457 0.18637228261212413 -11.458664573493934,66.41075377648257 -11.48745646391966 -25.429041916571933,7.5914427405412646 -8.104745421112764 -9.628746980159963,23.483211160735088 -16.225507822982898 -20.830970567769402,29.89935785437178 83.06020849213976 26.580281209682706,8.89654319664189 5.300097235077924 -1.5087312403931292,4.549357570012024 -12.36487310341099 29.22269192368554,29.899753955553006 -83.56293017204175 -26.781320260034345
-3.8960731808971163 -35.94994848673105 10.447215820244656,7.735579931571434 -25.83033078646223 15.97997384743667,-36.474612256926434 0.502507370241363 -12.755296517683803,66.06269431812633 -11.61656569122566 -24.571346220420608,7.732889583631566 -8.040213771267664 -9.110007859381593,26.523491681866712 -15.707928444257586 -20.003542971030207,29.924506630714177 84.5409439790888 27.31939301497853,8.930903488154193 5.318000620219442 -1.1752550145725047,3.270206561152947 -12.825361394145938 28.61301928175281,29.918203975124847 -85.15286204013657 -27.577147470028233
-3.7787062577111015 -34.51218273524086 10.53721287423598,7.077597590005413 -23.61927310417782 14.759282338165399,-36.37778086138474 0.9768444306442186 -14.964352342594358,65.45149572607455 -11.697516315037682 -23.131388835223245,7.8800688050423195 -7.978285216520327 -8.445571740415016,31.380063592010977 -14.927539370442108 -18.63596723295626,29.969549857515553 87.16095444402131 28.629233238777726,8.928394666957024 5.359811756018161 -0.5844721548254049,1.2030920457062222 -13.254556160278124 27.60142516097085,29.957930266255097 -88.18922675656863 -29.09525287318884
-3.545839616811569 -33.69544101853477 10.59782265986313,6.621431588645804 -22.307332952818413 14.01247130784629,-36.462008146662406 1.2107604215572745 -16.365732298175512,65.02168910012686 -11.629967158719696 -22.22190873404109,7.836237205576254 -7.987805731938389 -8.24946530347307,34.19427313476038 -14.419788373191324 -17.73348741380663,29.99908824154366 88.85362750272006 29.47655601716876,8.828017222825762 5.396623182114925 -0.20863925660419042,-0.07417335643455258 -13.184817853420444 26.926786694613707,29.995810129791877 -90.61279406443208 -30.306492217016512
-3.2296760777241444 -34.444792854406046 10.575704449672966,6.755492621002665 -23.33179243532569 14.490857001893618,-36.818976343213556 0.8998236853504661 -15.590787609035695,65.13976134527209 -11.35751314068124 -22.7363904948544,7.459887817649433 -8.11407098331945 -8.972547810115673,31.94404644745555 -14.590337212560636 -18.091945750870774,29.984637359173888 87.96633167040002 29.034863252345847,8.589371801606996 5.4071349058611275 -0.41830236697719336,0.6816643560336331 -12.301323609326792 27.1666021511085,30.012246578121268 -90.73976285786522 -30.369421113345073
