-3.6 -36.2 10.5,7.4 -26.2 17.0,-38.1 -0.1 -11.8,67.7 -10.4 -25.7,6.6 -8.2 -10.0,20.7 -13.8 -19.8,29.7 81.2 25.6,8.0 5.4 -1.5,5.4 -11.9 25.5,29.9 -84.4 -27.2
-3.9528928911401 -35.8956031576861 9.696432947365837,7.671693880930619 -25.840535802925686 16.139251385098394,-37.73446529260531 0.08415558182355821 -11.767196627847825,68.16821489453513 -12.003005706598751 -25.622769831179994,7.10504965473606 -8.147438246584494 -9.932075195829535,23.950530655662813 -16.896666565868998 -20.45479333181842,29.903617512237233 84.53134831850811 27.320784900189047,8.41389619997465 5.521681297609962 -1.0668489024975103,3.526398539923053 -11.160222540816902 28.422226312902335,29.93872538493258 -88.06708235947957 -29.098336529745055
-4.2608155401213486 -34.7839754409203 9.328574105494125,7.45051695900229 -24.770974160668196 15.56442961844186,-37.920276489330476 0.26899753262447956 -11.99193837178693,69.18047604501841 -12.61868906828109 -25.473430684087287,7.296126724190735 -8.021286564031486 -9.288229727208464,25.431000828957757 -17.122129182498977 -20.23320577819981,29.901157751821582 84.61223094048569 27.356852523397734,8.507988182435561 5.50138253761339 -1.0887414525821728,2.4793513734753745 -12.397912116074286 27.649580808536594,29.978451998420912 -87.48907282319377 -28.841235562650812
-4.3379726389651525 -34.97043368618707 9.377761300408089,7.22415441048821 -25.022772483647792 15.508450029216977,-38.4310646347956 0.3646545040086916 -11.864319617248617,70.17763255252383 -12.78327813508403 -25.820558656938807,7.178220675311717 -7.9527434144271725 -9.102622000697647,25.562199554772324 -16.820055688499043 -20.169734107427626,29.8938813346167 83.66373939507672 26.880479761829484,8.372617907247559 5.508184986434589 -1.1578255675433389,1.8906570875676854 -13.813602537713626 26.27286780773329,30.119282456497942 -85.61909614902675 -27.908267144720217
-4.118212626743037 -36.21697315202706 9.802407394580673,7.175827211909057 -26.320604477684082 15.935317795577587,-38.7090486271342 0.32492733634959275 -11.594932050159155,70.14136572163133 -12.40781689510351 -26.239169111135226,6.881951092000788 -7.985462422612498 -9.433187558109546,24.599066323133243 -16.102301355189102 -20.191578514920323,29.888462087380855 82.5735684312116 26.3358175155439,8.140573383708132 5.525663496800405 -1.223682144136913,2.135647059231268 -14.260578027518985 25.51151320226065,30.228496975760272 -84.27828068113062 -27.208613044831367
-3.587718637175842 -37.75313064724351 10.428290544537036,7.521640612170272 -27.862701923219998 16.548725563031432,-37.82607999435111 0.1607717399561136 -11.667526106117196,67.62190882140357 -11.576357494474756 -25.906329122808348,6.695245651575685 -8.138880149368045 -10.097923643567496,23.686562332213676 -15.091512554932727 -20.012883719429404,29.89511164069043 82.83432956396999 26.467105740738905,8.063980705954522 5.513040516362961 -1.220122650366764,3.3930029794194834 -12.342237593395877 27.102427076154264,30.09756497082587 -86.36242711170513 -28.197704211882886
-2.7626291948850343 -38.86289513191497 11.081566569838188,8.422876969469469 -28.90884300311799 17.06907003469765,-35.05169440894402 -0.10749531193531707 -12.482433847736278,61.5393261024108 -10.403522127214897 -24.152628582957906,6.869231807153001 -8.420014067285875 -10.905398101035134,23.83928253736869 -13.933444335882573 -19.402058551347736,29.922148663123647 85.66563509347438 27.88235934428291,8.357884955480845 5.436054469362956 -1.0942153444770135,5.7390492715130605 -7.014922447763792 32.40233875224833,29.56069778292855 -94.14860781104764 -32.02284443451301
-1.9231160425374538 -39.33828368484239 11.597683007978151,9.551842165947392 -29.28964957299872 17.3769316182056,-31.429876345365255 -0.378869853733414 -13.685980615078295,54.121656338738354 -9.268033648560438 -21.69164115256237,7.320758660287041 -8.726529875437594 -11.591062676778144,24.87274206996315 -12.978859891521493 -18.61957938577052,29.9609006424448 89.83242654071155 29.96480530756495,8.90225457170586 5.319475653695467 -0.9116182056792512,8.348708815127548 -0.38464488851860257 39.36412014666339,28.835575146084143 -104.36385893753452 -37.06692054030564
-1.4877116044689085 -39.2375341177095 11.816956512680397,10.324604936585171 -29.134881302557716 17.436831396196535,-28.934470345079276 -0.510065712529637 -14.529371448996065,49.33040810575415 -8.687010937498433 -19.961662096070945,7.791504245301503 -8.898789930391146 -11.852054267160534,25.97410519304703 -12.685952332467647 -18.18377955009696,29.99379121948111 92.81333030015365 31.455847990094256,9.40146860059205 5.219008695668805 -0.8001334947018399,9.924545242901555 3.7920683487314455 44.15692810139646,28.340824798565702 -110.82684474371308 -40.26418869597458
-1.822753898467528 -38.636720096010656 11.60436065135056,10.218673797744477 -28.584808271883833 17.22958204374754,-29.33587500335409 -0.37791353419911167 -14.337565420406044,50.69767692664619 -9.107856485539095 -20.255580918074447,8.03894934402068 -8.796505185574022 -11.431254732558664,26.37326306264369 -13.439685479698428 -18.553752756446134,30.00397767682554 92.33351378826897 31.219707429668578,9.58217022931098 5.185590097277762 -0.8749731563627621,9.32699559456346 2.1769908946652246 43.34449847854223,28.450551927855255 -108.02799769963659 -38.8816018389401
-2.728078354073522 -37.7762427901885 11.085933450884609,9.387120004571361 -27.863260150590534 16.900956139809825,-32.159898808492024 -0.07655517448190084 -13.254654369176244,57.0392940393893 -10.225623335850516 -22.25643380370948,8.0045314435172 -8.48995165409185 -10.56030694235831,25.811922446841816 -14.838304693006611 -19.536214453336555,29.983229481931012 88.85308048451166 29.483123015252453,9.423529935433391 5.216697205013435 -1.1120127173470402,7.135034206107321 -3.9774457482684165 37.84206002975807,29.04788824243092 -97.85415649301405 -33.84999167154494
