-3.6 -36.2 10.5,7.4 -26.2 17.0,-38.1 -0.1 -11.8,67.7 -10.4 -25.7,6.6 -8.2 -10.0,20.7 -13.8 -19.8,29.7 81.2 25.6,8.0 5.4 -1.5,5.4 -11.9 25.5,29.9 -84.4 -27.2
8.771989828274831 -22.112117863208887 8.219815160271953,7.014603676571013 -13.429904746927418 13.51924022401048,-40.39877005906211 -3.201072866886945 -16.301868556536427,56.13259949402986 -3.7767465170518397 -15.821405836333257,5.7206176561079305 -11.984525087717554 -20.641327669643122,18.40538806263814 -30.012930930751082 -23.26052819601592,29.898099793851323 95.96695072641607 33.041057818051506,9.181762327391352 2.914735718218559 -5.145898324437531,5.754964293662651 1.35401549060337 35.98894176789543,29.982443453914684 -87.16463513555533 -28.6018321862686
9.389847808872831 -23.308356547767588 8.705102585251295,7.110468452619726 -14.569438585596144 13.296907841436575,-39.31650042829762 -2.1112457704456102 -16.81294923949281,55.125054942338295 -5.803021727524074 -16.05490803197826,5.715329880549098 -11.929065664986696 -19.193297920628282,22.164800367779893 -28.757978135143894 -23.463603372775616,29.656504142273786 99.66065738010079 34.82493038841917,8.878572751756439 2.641500452896961 -5.401650957145281,4.0770049921347145 -4.324390863118109 34.166009248067716,29.977022097012917 -87.15764346654132 -28.61678880451104
9.927196951902218 -22.98384459755561 8.779993624255022,7.092198653044641 -14.408708125603878 12.972276970515246,-39.377631931081744 -1.6080585794808793 -17.22044148708628,55.51050768237162 -6.793232647191233 -15.975212492237583,6.040804019514267 -12.015619253868774 -18.51069893496889,24.449082584373876 -28.898281037544933 -24.173217404744246,29.3798066236317 103.33845906227361 36.61708129296357,9.039313672051744 2.3853148863995632 -5.608741871677529,2.739165882285422 -8.231103689080099 32.73282078918714,30.003674180569927 -86.84334499592961 -28.47229015208293
9.962818535860732 -20.4619539742648 8.207123432503709,6.9503008453496795 -12.329864644600057 12.650202254172909,-41.21695571300381 -2.367312058834793 -17.29794521089145,57.85350904814781 -5.536693089218526 -15.44537348018052,6.743312467726205 -12.303122085390056 -19.496219728214943,23.256665878782503 -31.181984142587606 -25.19753978440435,29.17263071120758 105.38638728947299 37.638802808506234,9.872942911310776 2.30860312069487 -5.567070800025286,2.711623369301509 -7.310464479871109 32.64867322095403,30.062747092391305 -85.84456960687744 -27.97581508510414
9.315386813327885 -18.15533096447125 7.570215052878159,6.976772976984127 -10.365188273936477 12.648902269502269,-42.934606531197005 -3.568867842053242 -17.11291223469833,60.08971513626777 -3.458299113746948 -14.954858888909609,7.4481012508994855 -12.485214623418544 -20.85806396033888,20.653596010700927 -33.39216262865145 -25.634326646265155,29.14580379636654 105.20397493127857 37.58581206978765,10.7775835372781 2.471820422114892 -5.204997474384294,3.842114516786173 -3.7452329885538336 33.824772336467475,30.086943168292937 -85.62388430118399 -27.863199085980188
7.851153376130408 -19.089279673350884 7.615828658702825,7.5234032658930925 -11.072527544623295 13.328907702341203,-42.12805187144532 -4.09591265497211 -16.791071795961138,59.633427720134435 -2.5056364252110335 -15.117365916626108,7.696920772063047 -12.183092985658044 -20.869225716208593,19.51260800421088 -32.72386413690818 -24.440452629925694,29.411381736410355 102.39176931373001 36.24792224460777,10.990556257144418 2.9151984583707993 -4.476358984265409,5.75576762796927 -0.7570572042298724 35.964461440335164,29.995549207258172 -88.00870949897475 -29.054387608206632
5.482625326636706 -24.97833612160455 8.797079139079024,8.762193876591825 -15.94330500322941 14.848950358490645,-37.46934546047127 -3.2308131571533343 -16.42143566024878,55.15310441903114 -3.9560547779730473 -16.30555187090167,7.297444434556141 -11.190539924776624 -18.461289768178403,21.57197003838027 -27.516940317950898 -21.261870759140876,29.958417471741832 97.34812732207433 33.80115213815653,10.127367314729904 3.634408910814588 -3.374169553529751,7.967927885126227 -0.4397520773700523 38.73765741245472,29.715765508315016 -94.10734876914908 -32.10155208985843
2.293642936418742 -32.68187318560501 10.48014255257677,10.199208711277887 -22.518837760329294 16.620286959084375,-31.61087253764345 -1.7345222852715056 -15.957011887850882,49.96267088909859 -6.604310002010921 -17.999247931514024,7.042340291517402 -9.940609380471251 -15.005300065976828,24.36781745153191 -20.351665136475265 -18.29692148144576,30.320353804062627 93.42654002123058 31.852049265466874,9.20434473225249 4.460070614268618 -2.0365578477544144,9.587297244289614 -0.7095717321082429 41.69046366242246,29.20410444652875 -102.36445398364229 -36.194607085996
-1.5922927258010802 -37.93537371217145 11.77958658168178,11.186357969983044 -27.426058799079172 17.88114609622646,-28.126399306965332 -0.7102612634475556 -15.319325928936264,48.45140186415648 -8.670478462142787 -19.471610784856495,7.952286379100448 -9.014336007386028 -12.436995043421271,24.46356127547572 -14.789900243984983 -18.334780751210136,29.925167317559566 94.66456320098834 32.3383048964136,9.562083623090993 5.184595397312679 -0.6352441275547113,9.628446474964603 1.4842659986860207 44.34032282765071,28.42386365814423 -110.6080856671104 -40.208127196461305
-5.807155547489541 -37.6183087793161 12.035524078412333,11.253894564178944 -28.172443586414204 18.07251618923157,-29.56631116854472 -0.9639785464757797 -14.47426832003171,53.50526660894277 -8.827767843493 -20.12934476823062,10.641148579612176 -8.87352313823765 -12.241160268031472,19.515227144704298 -13.483675793967985 -23.197825812698373,28.43564950881949 103.54679522261608 36.46245739976781,12.071450409382823 5.607685270928916 0.6042160460375592,7.49680812267447 8.184116792308565 46.30654744176096,27.39861406564531 -117.00056533661262 -43.20513052578148
-8.92658031766354 -33.55213609326185 11.562414641977439,10.702505288433672 -26.06937838288708 17.511300572874735,-34.06002649632902 -2.017415277497236 -13.57938512135049,61.51601065079709 -7.706896288650384 -19.956075105902745,13.965379394972274 -9.464899227730575 -13.954481690190065,11.898895156695561 -15.154583693681808 -30.53189942561134,26.528983566182262 115.8491160911381 42.251211942628466,15.57410103040833 5.560535563047407 1.223700615649526,4.28632307410416 17.07597138067554 47.648524202737235,26.412304947262214 -121.14820956942393 -45.06270411287787
-9.241017674885871 -28.892521532768427 10.937766214445999,10.040874097275003 -23.455206672988425 16.750876883982475,-38.54341726672009 -3.045609943547318 -12.843964412105809,67.12210759696556 -6.467058977204787 -19.091180693729868,16.306975309503482 -10.596135876835687 -16.587708906008064,5.264937654759344 -17.463099496924556 -36.85528839666987,25.15621211693571 125.53622590933968 46.87388112285992,18.363857241807946 4.882843980097677 0.7023006037039756,1.546785660647375 24.669714983903503 48.54444841546329,25.81918098190581 -123.04717614543307 -45.877712488394955
-5.637726977262251 -26.246535667427917 10.639986014982092,9.695349788871303 -22.253351859015265 16.261739244743218,-40.534271716442085 -3.3954325064694113 -12.439002497604147,66.21192489709938 -6.040011498137656 -17.716728165892036,16.4402870750026 -12.055580914105832 -19.249985856380775,2.509378547771906 -18.42465169152399 -39.39003314348458,25.005183933245505 128.03080925723256 48.16807677426407,19.117832840066967 3.507828001955755 -1.2720025702974351,0.5061771806577624 28.13081902013484 49.146663644102155,25.84578366896352 -122.94209718354394 -45.83659942676888
-0.01324605567147484 -25.45499178670241 10.647770375901496,9.677110712321038 -22.295027565782167 16.09644412756902,-40.48463669130248 -3.280196703146408 -12.342415086693457,60.976239581478914 -6.210661578936295 -16.23001393566721,15.118049314375646 -13.53415792237146 -21.546626350192174,2.7245314419447815 -17.844512158984045 -38.90676131019823,25.43663821239026 126.10720889807295 47.341207013038016,18.44583730398006 1.840254083293831 -3.95794590228538,0.7697827398215185 27.930474044748387 49.47715327192015,26.074738203513867 -122.33044267262245 -45.57747191345481
4.789551551972422 -25.488790985912363 10.782670234137875,9.866775474905694 -22.753504712915852 16.176118054179035,-39.76930305052405 -3.185689120640044 -12.471399325809612,55.58776397832136 -6.403264687189704 -15.09601829039831,13.715144223906261 -14.69215322596661 -23.23897603820493,3.806547171849273 -16.090809534931534 -37.29203408860629,25.39397451717245 124.85166285760877 46.660388645125494,17.565460000959746 0.4331779236987578 -6.2830381612061155,1.4325939091170734 25.579428794693925 49.51690597362668,25.886175728781083 -123.10366581784314 -45.88047265044557
6.466576371152488 -25.447466883075343 10.88697303557484,10.145354109606954 -22.918569550328414 16.413635414802737,-39.564065297684806 -3.4999133272895753 -12.735429801001573,53.517542004368984 -6.15260557400275 -14.680193699342082,13.368942414745584 -15.261052998625603 -24.152165984437833,3.971432645413062 -13.610181941237146 -36.19523593855773,24.079665111786124 128.2887626586714 47.93650629705172,17.488057764561187 -0.2637345689230637 -7.3711991767219125,1.719827440007781 22.538686467258135 49.277372562573284,24.82572940571092 -126.63411222179676 -47.312881377849706
5.893332445676839 -25.191054343229094 10.925601017453115,10.396446158869756 -22.76859043937021 16.67348535894295,-39.869122135220785 -4.033596979880983 -12.998566878484459,54.094161108711994 -5.646107633737367 -14.760867307568015,13.814716595825097 -15.392320723500827 -24.48717506624179,3.3241666747189416 -11.31107699386021 -35.8645654253799,22.224999117015248 134.17691050925058 50.28746867390122,18.007393160737887 -0.41089285327159014 -7.505424237237251,1.6258202075046302 19.973631205090882 48.949746939503434,23.4155402312185 -131.23176762712953 -49.186282143381675
5.106926648960878 -24.85742261350056 10.908278659761669,10.50459719220272 -22.533495862034037 16.802480426744957,-40.255191138118676 -4.386571176108719 -13.108279719981569,55.13284260523592 -5.309623132354753 -14.901871409159384,14.275510198585863 -15.39085044906043 -24.582290870698095,2.6598273239299903 -10.270655451487716 -36.036325021235555,21.119789243634553 137.98527787226598 51.847357953128025,18.4724043027552 -0.39158559195738263 -7.3921543718915865,1.4258922080999783 18.94164846221326 48.79088865635582,22.534497402533997 -134.08784399044043 -50.35351492542632
5.75330257783025 -24.596526512154377 10.848946167176814,10.381551256470535 -22.421485095566638 16.680479229964913,-40.346157211037976 -4.229919306185771 -12.949030557358835,54.82603480811327 -5.490347128017378 -14.752892715598561,14.109736459916205 -15.497305885603383 -24.700486573443012,2.6581656903256956 -11.322287420602054 -36.45046164336739,21.806734871245972 136.0149269947856 51.08853815564029,18.341481493505906 -0.5104288317629403 -7.597278331926006,1.3599643247730706 20.237782262956582 48.99955473907021,22.906772400263677 -132.8873080129676 -49.868572780063474
6.758676418998607 -24.63914517247094 10.790269622303455,10.127326282976105 -22.487764822593306 16.416284976448463,-40.138348731763 -3.730129228233941 -12.66153852851272,53.99303290185477 -5.988527783484997 -14.560143506967666,13.618150591219802 -15.506143496297526 -24.581962490435355,3.193521468496821 -13.609959516518186 -36.87738184158441,23.61216720777805 130.34913998058923 48.835208362427,17.83525156249346 -0.5251439511607368 -7.709374042165568,1.4200331996474889 22.842101466824673 49.371612021117194,24.181846071645438 -128.74461349557032 -48.182633973919366
5.898686543266192 -25.250250369058513 10.787067560144589,9.921589271508012 -22.72281836974556 16.21555564424885,-39.78565589705511 -3.263269138669578 -12.494931985497336,54.56441687237263 -6.373027953565799 -14.822195576770643,13.50016458356513 -15.023052238442231 -23.745760430031186,3.799505907539241 -15.5629664481929 -37.10037808116685,25.13630971413848 125.51736095290384 46.90650899924386,17.496804698871394 0.03791088471177684 -6.903569111809762,1.4932113859138174 24.966851601718332 49.53248506444373,25.554552523539396 -124.2250551440139 -46.33795450516039
1.3999366576369592 -26.609530134915246 10.882263135973194,9.921644820775228 -23.10312441764376 16.256233244828774,-39.43258324230108 -3.1609017939260897 -12.660519369721273,58.09111787397279 -6.271297374762028 -15.933453026370842,14.336302416167802 -13.750879715387194 -21.841547675756516,4.059794139908494 -15.813831522714286 -36.940942467629796,25.162463791815878 125.46067166710185 46.886270330491556,17.790296318568643 1.5359843294519502 -4.549224553597836,1.480268901256857 25.051965704784994 49.173727904024986,26.30519622158667 -121.62920216785518 -45.27012260055881
-4.794349162530569 -28.19916206938563 11.021275197091342,10.099838767334223 -23.49267503963801 16.48707620707079,-39.142383226154145 -3.3849961714476184 -13.057569343639333,62.99103558635094 -5.796019204951985 -17.430215799707803,15.72449250251783 -12.191478496926521 -19.592265595341342,3.9768792228683107 -14.675708548833638 -36.53216741608138,23.990324163062336 129.24359260989831 48.407501242745084,18.525808530515043 3.368988211646479 -1.614074597373843,1.3965779428183496 23.41931419906531 48.53194935408026,26.42538962505302 -121.0532592146094 -45.02631667325052
-8.926096587316657 -29.160724823680052 11.101910593716756,10.338200363504397 -23.700534356367086 16.744931103933688,-38.93863238195685 -3.7170461671784523 -13.432979486264689,66.1521897429867 -5.296819284081827 -18.42976591739468,16.78285535649531 -11.236860551186803 -18.244942375152483,3.757765770451775 -13.28241430097315 -36.15930182928222,22.660050416446335 133.5493872165322 50.150611668891585,19.194035131125116 4.469360470064084 0.15365033627301306,1.313471708312388 21.30972995341158 48.10991207474865,26.254081580932286 -121.51702516793475 -45.21989876110739
-7.686180598934169 -28.741891622839407 11.034252727111513,10.525380497251364 -23.56112374749242 16.87897868001255,-38.84746436668548 -3.954488254998715 -13.559123688167114,64.84509582053309 -5.092756049644792 -18.152057563021195,16.72833945594047 -11.66822246214414 -18.890906123866436,3.5845376592404565 -12.636226713302257 -36.07538794926876,22.108651969615973 135.3853742081457 50.92324501849305,19.33732719808809 3.904477142538909 -0.772905659358904,1.2914408202658207 19.832903507773157 48.34094433538879,26.096620281458375 -122.1334071190007 -45.50008547979772
-2.2399022116814162 -27.241922601910215 10.850606142451,10.62019798210618 -23.158461379095666 16.865402907509658,-38.9224251862753 -4.061270184525021 -13.465527453569802,60.15131696288563 -5.190793441556606 -16.84058166369076,15.768130270825974 -13.166122564049582 -21.076626918223646,3.3840922410716416 -12.409473726636165 -36.21103979596585,22.22385226002388 135.05890975643456 50.82989396811542,19.02013681678865 2.0814433780583426 -3.7217962488491563,1.2821173198299682 18.765965791362355 48.96731510618328,25.90958354889354 -122.98924572097549 -45.89240884808768
3.732909092551736 -25.551046481047837 10.651960964582228,10.62090445383919 -22.716833290807493 16.75176076356784,-39.232465980488016 -4.094915359549933 -13.326229806057245,55.29414081266019 -5.422505194797244 -15.314034158442482,14.665904559286105 -14.792584838008576 -23.48039878918013,2.9399176849256894 -11.527080800492758 -36.31567385972913,22.303699211676733 134.73189809222666 50.703851799513394,18.60032529144631 0.16026245482208124 -6.785396868380443,1.1759571330863068 17.13717870484288 49.34293331557716,25.453547971451897 -124.71871074804228 -46.63388181818545
6.800072716070635 -24.50603777768366 10.533568100810315,10.528197478056958 -22.447058006261205 16.58568789187617,-39.82744794772469 -4.108292415317369 -13.300659212959236,53.265272626229304 -5.628679247279434 -14.342854382003582,14.131715859255323 -15.670884703401088 -24.863655632144074,2.0743409449039585 -9.064749244717365 -36.16406447511616,21.71920441338708 136.34606089897667 51.29431134400159,18.409526886697368 -0.7781972878703012 -8.189228362911086,0.8801524564227621 14.132282489710047 48.88840180024588,24.528668072191934 -127.83709111389838 -47.914618289477254
6.7334289892916965 -24.245859747244243 10.515079716030474,10.366110296670104 -22.385258983318522 16.406506639811965,-40.53331999282646 -4.088059933762796 -13.35971231453834,54.087369486524956 -5.779894794252579 -14.062130556397454,14.180299178134408 -15.716315674964456 -25.066578493544224,1.079731183402179 -5.947581077186112 -35.84919789107685,20.765821031816927 139.04372377135286 52.27857127966908,18.436551740027397 -0.670353154116618 -7.866387430768888,0.504364070545304 10.864524157066139 47.84985103612996,23.42053280890049 -131.40692170728747 -49.35218836432872
5.371928518832078 -24.459274830959554 10.567374592937997,10.173731426624144 -22.454853185795045 16.24817593777727,-41.03157147640227 -3.978160333396875 -13.352652314239593,55.8675735258725 -5.930467326022006 -14.19704695996762,14.377796922979842 -15.355150683795664 -24.6253143236936,0.5517106004253559 -4.293840062891789 -35.66935836584657,20.335416154821534 140.1611503112583 52.64238566962079,18.44903313269573 -0.10893576633558955 -6.8516326111652095,0.2888776492683178 9.690703472598603 47.006009976115195,22.727914645640798 -133.55347675569305 -50.194779050253494
4.494676707331875 -24.836562996247704 10.659918728134052,9.99101467541163 -22.578922606390034 16.143492775999235,-41.02564847713688 -3.730574296459569 -13.141356979599987,56.78276207461479 -6.129445176648572 -14.47466020014893,14.311610513157364 -15.003972218061078 -24.06822058787687,1.0360951423438904 -6.048992314229975 -35.900439846910515,21.24780849523398 137.2525679534635 51.45596231205456,18.2304291021941 0.32994180528488853 -6.147763530334066,0.45467865760284937 12.748442910689404 47.08733944028487,23.00513601552898 -132.54571929332786 -49.749314598350864
4.552332544689433 -25.19508928398092 10.753726843480079,9.86656901797718 -22.70229348070089 16.110144179137063,-40.56223975409955 -3.420554362728366 -12.79397598660332,56.44199372405707 -6.332012429681404 -14.744648750584258,13.97396473305529 -14.82286783032452 -23.650505812730177,2.305832441457001 -10.443997310360542 -36.45470043450663,23.167770237382108 131.36691483398522 49.14165740300026,17.839067043638728 0.4583739195771877 -6.048677951989005,0.9201828431151727 18.79563531844045 48.019250921623026,24.10677726105409 -128.89695164235997 -48.23693360028478
5.013539732748237 -25.446162671210182 10.803566302330328,9.855401509516907 -22.785865842069782 16.154647570240613,-39.94176621273541 -3.214478199443657 -12.531139506982493,55.51302531636437 -6.423966757505275 -14.94733572523549,13.65633823955606 -14.782318668514689 -23.42546113394631,3.5625497570391724 -14.703194626324109 -36.97559102832903,24.90623908756939 126.13649210825524 47.12136342813695,17.536463512669002 0.37542596151209323 -6.324238601584925,1.3801401092823524 24.091806930912043 49.13204666424449,25.37015478082281 -124.77953852387287 -46.55458095076794
5.3451137749999305 -25.50870746246227 10.767950451933853,10.007032720721165 -22.79336955098983 16.281309482758388,-39.46090785623292 -3.2706199535560043 -12.563249460916229,54.66706022627938 -6.297556498553788 -15.028935137608874,13.640942851352518 -14.848016103505655 -23.436949467120083,4.035384448418998 -16.147949246473836 -37.118973701244634,25.317029309244386 125.05911147229743 46.76294195842549,17.573189101985335 0.1853346241127609 -6.736779695153377,1.5405014588792834 25.05262554550704 49.77149350689252,26.144567497562594 -122.3238698766254 -45.5807957041709
5.380873905231844 -25.39538306424214 10.672797191346444,10.273377628801436 -22.731012569699974 16.460685425560623,-39.24855837740588 -3.569933486856456 -12.861685962723714,54.20519195157212 -5.984903052236106 -15.000873969202376,13.92803254512384 -14.979681276888948 -23.647538442203306,3.661795174121864 -14.594407312849189 -36.864757870337336,24.34306429132991 128.25491043622975 48.09283836307829,17.92777829326946 -0.034612753529267286 -7.131004984357771,1.3919849274068805 21.811872272087417 49.79274771511751,26.19680319429329 -122.25994931116895 -45.60103455609688
5.26506660501641 -25.19813398924294 10.601038034958806,10.523792279680844 -22.640932632067084 16.634782866163007,-39.29169072481936 -3.9433876785469826 -13.195654393258085,54.115459432245274 -5.6364383575380055 -14.929739082742602,14.279369452201507 -15.131985458301635 -23.951032704750588,2.978368648619769 -11.968906185389969 -36.466945875769234,22.84848189674389 132.98704709854258 50.002871561305355,18.34866594176709 -0.2299237335182532 -7.421289851247813,1.166176527805523 17.648265416684175 49.481828635036436,25.646779355951164 -124.13327456572787 -46.39910010671611
5.147817105176513 -25.00937855962543 10.633170826988671,10.630696727656067 -22.565255157562763 16.746915439165196,-39.568362094892834 -4.22252272677717 -13.337262878840118,54.37004640193348 -5.401094016072634 -14.881742372374841,14.458244429820096 -15.260569157245712 -24.241137828625234,2.5229697231761588 -10.201057732228946 -36.18010580643965,21.70023549120965 136.5138348400438 51.384427631466814,18.58637324702343 -0.3490738815802379 -7.529060430861544,1.093267814603927 15.813420986680962 49.131892954522236,24.63357370527852 -127.4291167416747 -47.73525656633134
5.094728899257278 -24.877675856270997 10.758026893200912,10.589278218503992 -22.52130948468577 16.78819422511545,-39.960293229820905 -4.353655180732776 -13.259553307786414,54.81123847213378 -5.314515335333126 -14.87731170806851,14.423897465315605 -15.345526152710766 -24.456356650528793,2.4521397240522824 -9.850815953606158 -36.08394406100658,21.19738539538387 137.93904587005304 51.89411966195191,18.5937260989798 -0.38930040761139856 -7.480984708156832,1.2087889259991673 16.824540114700593 48.89663095862872,23.470430729762846 -131.1361529842376 -49.20211379790627
5.089663938749802 -24.809168392075577 10.875786251254464,10.513452976705032 -22.502444494825294 16.795955536838637,-40.25603723731767 -4.394102572627157 -13.129891964542384,55.15569590451685 -5.302787683876133 -14.89259692128944,14.3250722710362 -15.390599145496973 -24.578515742123013,2.5536394252033476 -10.153529490076831 -36.08905711839788,21.089778736718756 138.15120807492977 51.92861694249872,18.51920061780645 -0.3949982363861398 -7.405510770798085,1.360011631845983 18.554352869739912 48.79485403381705,22.63903276948866 -133.762801075109 -50.23014201459451
5.11325096085261 -24.808085352363022 10.886282651885713,10.517907072348306 -22.501290479061712 16.80786986756078,-40.24787646810374 -4.403502196030617 -13.117961923186781,55.125435580278044 -5.290373460817865 -14.902573388382873,14.313276525586042 -15.400165530506955 -24.59156460537295,2.6065523771115635 -10.314066839944807 -36.10201966916891,21.113188946559774 138.0818216167442 51.901395304530595,18.51415761321301 -0.410615406704383 -7.430251422931305,1.391232566537945 18.83638173271738 48.83835693219779,22.611732396748916 -133.84803189878295 -50.2623460014598
5.149186350627311 -24.873709383542028 10.780388571570287,10.603895784375116 -22.51775945484494 16.81840148167331,-39.93737382611654 -4.379851781302629 -13.237123943460427,54.73377265756214 -5.2810777573381245 -14.899890477006764,14.401579907892758 -15.369368872901743 -24.489186785817314,2.5678197355139676 -10.195206796227414 -36.10978014593552,21.23632207138153 137.82876456681055 51.85217568219784,18.587892161739596 -0.4285341520511496 -7.544081623190478,1.2779115397948217 17.418326693429623 48.997323513628864,23.410703969099217 -131.32406329824062 -49.27370631806177
5.184558047770453 -24.999854298004607 10.649627808585212,10.64726667133848 -22.559814028845423 16.774246355875256,-39.55747028146863 -4.253001098008435 -13.32791071180442,54.316078171014254 -5.366425992055813 -14.896737707349594,14.449996707083113 -15.283143926578418 -24.275827670663787,2.5910198884460005 -10.387105872269052 -36.1881472252464,21.685411659422737 136.56827242471098 51.407460084025,18.592633171544758 -0.38357337686606086 -7.582489434454184,1.1405207927061796 16.16417940620093 49.195933135240715,24.56041021652569 -127.66347022085783 -47.82734955120898
5.206857406544785 -25.179157108028676 10.589030896966497,10.521097323931354 -22.6351960393837 16.621900346460194,-39.34875693652843 -3.952800875376292 -13.226181268296326,54.21693204663993 -5.638586760237908 -14.906094594321464,14.314656690581266 -15.12722634266918 -23.958334987599024,2.835288187355995 -11.498396165075738 -36.414495952596816,22.68888483351404 133.4662638942047 50.18823075465838,18.377220649439835 -0.210232833019404 -7.3782622586155036,1.104679053400715 17.00093736614464 49.357171464334975,25.564550246580023 -124.4039742545753 -46.511676635587555
5.2119212680807525 -25.371525327549957 10.631303546131631,10.234683987517595 -22.728306895820598 16.391053622805284,-39.393495127248954 -3.5382796475048046 -12.924165855084526,54.50782700149162 -6.0470481243183425 -14.932840145728926,13.999487806161593 -14.936025783756092 -23.611133472026488,3.2906157252586783 -13.43586016975813 -36.75516694401429,24.06747177551583 129.05741147358643 48.39640594965369,17.964042412518452 0.0595903103285842 -6.955965565831304,1.2096603226876683 20.152359003738187 49.44749263398122,26.109662392991204 -122.54986688606857 -45.72605085824654
5.206139140264339 -25.49548080966064 10.730343228756265,9.96956810913908 -22.794034598335745 16.216593555582666,-39.57374202067758 -3.231808165503674 -12.61182232587244,54.91494356689037 -6.360882056051503 -14.971610473623102,13.695305234067202 -14.8054990253252 -23.39409735487653,3.733114762075348 -15.218808496477306 -37.03610045888591,25.126379723749096 125.60714380433039 46.968483491534705,17.59493329601626 0.27084220019522326 -6.5826635656955705,1.3855577773041268 23.688498053851692 49.48831560325562,26.113480778814136 -122.43093011140465 -45.630801962550336
5.1964032940321685 -25.46822954224638 10.835241037858172,9.915343533121417 -22.786144203757807 16.237568733249848,-39.76039926404838 -3.2622243513266453 -12.489187899768542,55.146608629347156 -6.341797527859547 -15.016026418426101,13.602143764140243 -14.83377420625968 -23.46958927822204,3.927211860237749 -15.820841250317665 -37.07675889683148,25.14881201179928 125.45587980203906 46.8732413157477,17.522027874378715 0.2633934621287085 -6.536297048166013,1.5554846127996556 25.562275669739392 49.50324972908976,25.512104456274727 -124.3214096988118 -46.36564471293798
5.180851104774894 -25.27427424649489 10.907616651574958,10.11096762241611 -22.697117089962763 16.46299900288471,-39.90919500356871 -3.656766312020314 -12.62537500316818,55.127182155588876 -5.963128714945543 -15.041708665837524,13.780855027697154 -15.029676264440713 -23.849541487059334,3.7396024697762833 -14.779539030415087 -36.82370341262442,23.97418628083445 129.13280269941373 48.333446576447585,17.80758818980084 0.019095548267556675 -6.85960562090345,1.6437675790963013 24.783541057241 49.44877885231286,24.419202136365758 -127.87915113532067 -47.804915604570226
5.144945185797488 -24.995545428913584 10.92722780975273,10.377316147473898 -22.575485578613637 16.713657149948506,-40.098663612819394 -4.150809198979551 -12.899951756650092,55.093782600436384 -5.504586845499852 -14.998218461165553,14.09079043125032 -15.272742835548344 -24.328102989178667,3.1850402114072143 -12.448976310166287 -36.407500381260654,22.247170672186172 134.5449078068262 50.49184107322239,18.23899131751876 -0.27464958458475836 -7.254820085697186,1.5764903303382662 21.892294357507787 49.184206905437854,23.205516205795796 -131.86961611277968 -49.43875392452526
5.07349884399126 -24.7214738555754 10.87564949775188,10.519666020542564 -22.473932694412923 16.797245291286394,-40.41534346512767 -4.458837016831021 -13.178105779603447,55.305041135607745 -5.26756328940404 -14.834073069237958,14.376190232106717 -15.433232084552259 -24.68360233188716,2.292226302222238 -9.252377818320227 -35.9729478809206,20.6729871059076 139.40263728848203 52.41037000355303,18.583363146873488 -0.41593780147030623 -7.400230779288791,1.2815257433981053 17.55523720207973 48.56440346893525,22.26033588943732 -134.99367768423934 -50.72937891406573
4.976260354171598 -24.532404858594013 10.763394325427658,10.45019757252638 -22.427962558388288 16.64242805238686,-40.82881347316623 -4.437321786019532 -13.358064156967536,55.803830812790686 -5.386216029506709 -14.570231111018343,14.529256471968937 -15.442460601815156 -24.783447333805675,1.2615834305101816 -5.994836846443239 -35.65252196802957,19.777228539847776 142.04735373640312 53.422455291822715,18.69969591432389 -0.3182050581899019 -7.171266259863997,0.8069351209640322 12.944449045683276 47.675004586844004,21.85850057636436 -136.33445863598376 -51.29537468434092
4.904377426839732 -24.49359925744128 10.649019934328319,10.258582487787189 -22.44455722087517 16.37870366767771,-41.114465186545466 -4.178477708288155 -13.39290927701716,56.27480226922702 -5.717046070228481 -14.347925325065805,14.521821967061154 -15.333120057179817 -24.64294380062791,0.5786428126458828 -4.115461658767535 -35.558240491537916,19.78725062548635 141.86793461224363 53.31225067525729,18.59950721512529 -0.08638603971479686 -6.770662950802096,0.40032816778714825 10.071086287189102 46.984787015316414,22.08482901352212 -135.60972958280482 -51.01493736581799
4.912527362977698 -24.668103252759916 10.595314504939385,10.050995460060168 -22.527800578569618 16.154033534514888,-41.03112221467668 -3.796835690945901 -13.24150593922627,56.37086499398735 -6.090660191315587 -14.318800517920751,14.333779090823667 -15.14758951845537 -24.291913273724482,0.7521046385417965 -5.1012318795343745 -35.79895065067243,20.898570985748886 138.363005424026 51.91059771843434,18.309167312597495 0.15679534130440156 -6.431249099948035,0.3265514641907329 11.009686107466477 46.99535749151846,23.00383002017937 -132.60495522496666 -49.7939805692078
5.012917616913668 -25.028907779390746 10.631049404627557,9.90730187765447 -22.65802467493529 16.062721712761267,-40.53543965130018 -3.4171673579274757 -12.932097266532688,55.976012558687955 -6.369969475852601 -14.529058358198283,14.007719155440437 -14.94295434186123 -23.825115905013057,1.868797695896067 -9.086046134590251 -36.34237277385221,22.884027027704985 132.27958970640512 49.52467001157235,17.908693779564313 0.3188392381580236 -6.298581238994258,0.6711992023582618 16.04704979087663 47.833978263476034,24.40792341210941 -127.99857099762477 -47.906680574085925
