-34.8 -21.9 5.7,-30.3 -14.6 -0.9,-28.7 1.8 19.2,56.8 6.2 -0.7,8.0 -2.6 -5.4,-5.7 -2.4 -48.9,23.0 47.4 10.2,9.1 8.9 -5.0,18.3 1.1 45.4,25.3 -54.9 -13.3
-34.1506477783994 -22.534652447365843 4.805340427801018,-30.363889108785425 -15.048023768648939 -1.3900609822409742,-30.182809115604126 1.956847514130849 17.36662745868632,58.092119556806466 5.400957439234829 0.5545537124761342,7.346338890930713 -2.212258896760123 -5.568708712328568,-5.314756311896878 -9.534098940313124 -48.906530096817136,22.679255036140816 46.32801187137026 9.806180910185192,8.44280597062561 9.423982658517774 -4.913710845729709,14.394804235361354 1.13477282649824 45.07693190765744,24.540521321414836 -52.39608195393195 -12.286571830093713
-34.838615678368576 -21.974630520976255 5.532542686800521,-30.34813989286434 -14.6864014415414 -0.9521562937456348,-28.851238597698494 1.8479069313002188 18.952754698033242,56.87869413802352 6.139757400313897 -0.5600134611703614,7.996364941640973 -2.528004182037886 -5.4014438164983165,-5.572709788250677 -3.2382734454643995 -48.9902146882281,22.936128033950148 47.19264901028293 10.119163626978471,9.089828404177153 8.995280110358044 -4.938802324893665,17.928250452406647 0.8456745643741035 45.20459401288833,25.249948463177965 -54.73494909981079 -13.234753325540321
-33.95351636757703 -21.799063403863542 6.37125899909143,-29.861099009124477 -14.258259283534251 -0.8461246437193208,-28.56591148480186 1.5442074980128904 19.756096344591775,57.03601386856212 6.074656796899887 -0.8892513133072041,7.53662486013468 -2.8844347497653953 -5.509291731903099,-6.438514707196543 -1.008225422359622 -48.20675196991292,23.245298921242064 48.17549818577844 10.52058478241693,8.686293497398232 8.528098648958848 -5.433222658921268,18.29387011358793 3.1437300085050772 46.71996705312215,25.115363263401434 -54.29130846317878 -13.041077315519345
-32.005456769885114 -21.933779549172748 7.1750126465200745,-28.90549636451161 -13.824926283640801 -0.880156238664741,-28.976519283778067 1.0943059249343088 19.677883529084486,57.87544789097451 5.4512502155232845 -0.6969317440763655,6.350684126594831 -3.232096238565385 -5.840872502895683,-7.4851423716064165 -2.4894625086258477 -46.96006054923477,23.496863113336172 48.93671617149643 10.861046782936677,7.60178348824881 8.078590957312729 -6.269370035340759,16.427317632897292 6.838573790679294 48.965128331589725,24.372333702243992 -51.83116801756199 -12.02005190927401
-30.195768154876493 -22.091037384971738 7.7908804884801395,-27.77973372412174 -13.40388697319774 -0.6504385159130313,-29.31703715971456 0.5490220455275274 18.958438981003685,58.22926562609238 4.8695348551505955 -0.6224326362001512,5.262943018316646 -3.5342813292014545 -6.282725708610394,-7.9611164781077255 -5.98542953265688 -45.94084193342018,23.60549267123489 49.22997162656785 11.008999343416988,6.632988301811831 7.686488685427348 -7.1845282767972325,14.785948589648658 9.746370611838147 50.757139132467124,23.62103662615742 -49.31561801362699 -10.97448636156774
-29.597822375834085 -22.01051181559308 8.09975146696251,-26.7688839626505 -13.00782604483943 0.18145279492926897,-28.932782011166427 -0.03511877163960227 17.843249204385188,57.10692042157354 4.845502715510946 -1.2361302943276908,5.014865747991993 -3.7652309202815877 -6.726928448810074,-7.254040768639425 -9.792339140687645 -45.757091614044654,23.50085341964229 48.854744963425695 10.855126752872696,6.4944883173394965 7.382782351994375 -7.9275379507881745,15.51157836463865 9.960966367364056 51.05641261589552,23.387282254235934 -48.468697572394376 -10.61135880532272
-30.116207030462622 -21.685229214075704 8.283472436327704,-26.02626768883088 -12.608707628754559 1.3630011876013532,-28.177759596500728 -0.5509566721343215 16.608549670005623,55.11488304601629 5.132286362835887 -2.478010802622408,5.590697700967852 -3.995971271473363 -7.117576665496422,-6.002784266846126 -12.202129771803312 -46.26852342994198,23.24484183697242 48.01370838911421 10.48703295211041,7.151608877795808 7.121467699166378 -8.356050796312688,17.872049167270568 8.089893505551833 50.12158632579241,23.519274539168627 -48.85303770572134 -10.763637530530799
-31.043034560791707 -21.240979104139132 8.681600489887984,-25.63616369360888 -12.157157158358595 2.332020905552013,-27.934556430962974 -0.8647979357016468 15.54668915449903,53.69650540227285 5.0832589996765 -3.957718399363531,6.57788073196117 -4.348246838552099 -7.4260256073791355,-5.501913482496147 -11.504500062767164 -46.94273101507109,22.96864690778797 47.120817720970116 10.09551320558014,8.177045041470024 6.816193084604834 -8.384738604519425,19.62916207304779 6.057925492844653 48.89160315563819,23.510133078664456 -48.89863201884429 -10.806285586220373
-31.729052511138672 -20.79493014599043 9.584304068784832,-25.676394943968326 -11.612858151565858 2.5756544311852636,-28.982165474505827 -0.8615347736440673 14.934153180909178,54.149451897566756 4.134032849592861 -5.289860033538711,7.580637472377993 -4.9218316010076775 -7.62283238651757,-6.885695623674497 -6.277096255070063 -47.28483865043873,22.794527628443003 46.56175547019938 9.858068906590969,9.162409112230542 6.395026583651545 -7.950444765844482,18.7759208653662 5.6299921931309225 48.24532249918854,22.91436666741072 -47.219283243171915 -10.185919186883055
-32.20406983436799 -20.3604253078371 10.743201926312654,-26.16275527458261 -11.033558415700721 2.1331347710413717,-30.951504445607398 -0.62566382627395 14.877672910183158,56.14807813766979 2.6297802909159094 -6.172507904856122,8.418204422620903 -5.578740572419598 -7.667544851326798,-9.527020743344758 1.848164816460646 -47.23462697173614,22.743562038376496 46.40261062337268 9.801572184053539,9.936597845518305 5.942741693400539 -7.219850121325754,15.898088438815835 6.752740951809388 48.3608499263682,21.970735255560303 -44.484034241927375 -9.151873641357868
