index,上半身_x,上半身_y,上半身_z,下半身_x,下半身_y,下半身_z,首_x,首_y,首_z,頭_x,頭_y,頭_z,左肩_x,左肩_y,左肩_z,左腕_x,左腕_y,左腕_z,左ひじ_x,左ひじ_y,左ひじ_z,右肩_x,右肩_y,右肩_z,右腕_x,右腕_y,右腕_z,右ひじ_x,右ひじ_y,右ひじ_z
0.0,-20.515871047973633,-16.010021209716797,5.063809871673584,-28.530481338500977,-8.0810556411743164,-2.387627124786377,-27.685262680053711,1.845588207244873,11.583641052246094,51.962718963623047,2.0205204486846924,-4.8036794662475586,9.1620559692382812,-4.6011495590209961,-8.580352783203125,-3.1798605918884277,-18.92839241027832,-49.827259063720703,29.157472610473633,74.835678100585938,22.507221221923828,10.686044692993164,7.4114151000976562,-6.0438036918640137,17.154106140136719,-2.5501523017883301,44.03057861328125,27.269863128662109,-63.096221923828125,-16.941373825073242
1.0,-21.281427383422852,-15.765693664550781,5.0092129707336426,-28.970251083374023,-7.223118782043457,-2.3670861721038818,-26.343250274658203,1.7156716585159302,12.450238227844238,50.760017395019531,2.8849380016326904,-5.4692745208740234,8.5897741317749023,-4.4701328277587891,-8.4354887008666992,-3.5753345489501953,-24.332656860351562,-50.235145568847656,28.967081069946289,73.266746520996094,21.745052337646484,10.098921775817871,7.5152997970581055,-6.0557074546813965,19.02827262878418,-1.4173839092254639,44.814643859863281,27.301616668701172,-63.250350952148438,-17.012060165405273
2.0,-20.749883651733398,-13.84022331237793,3.069652795791626,-27.501039505004883,-5.5699477195739746,-3.4038221836090088,-25.791601181030273,2.7081880569458008,10.583765029907227,49.122303009033203,2.5956873893737793,-3.8373715877532959,9.4004812240600586,-3.9191174507141113,-6.5405521392822266,-2.3885865211486816,-29.653980255126953,-52.383457183837891,29.860828399658203,83.32501220703125,26.694643020629883,10.49565601348877,8.1537494659423828,-3.9445483684539795,17.980640411376953,-1.0569943189620972,44.914287567138672,27.829946517944336,-65.962921142578125,-18.267522811889648
3.0,-20.8236083984375,-14.316431045532227,2.4885609149932861,-27.996921539306641,-5.1943607330322266,-3.7631990909576416,-27.645793914794922,1.8485591411590576,10.580687522888184,51.881484985351562,3.1359314918518066,-3.2910804748535156,10.107118606567383,-3.7371840476989746,-7.7532968521118164,-3.0595719814300537,-26.358974456787109,-50.550117492675781,29.089626312255859,74.258522033691406,22.226312637329102,11.410614967346191,8.4304275512695312,-4.6466507911682129,19.357254028320312,-4.4743151664733887,44.476661682128906,27.370372772216797,-63.587203979492188,-17.166725158691406
4.0,-20.287776947021484,-14.7344970703125,1.8642263412475586,-26.475326538085938,-5.2548398971557617,-3.8902328014373779,-26.916601181030273,2.6877913475036621,10.882765769958496,50.41961669921875,3.3754265308380127,-2.426844596862793,9.690363883972168,-3.0568122863769531,-6.6459236145019531,-3.6089482307434082,-25.288904190063477,-51.827323913574219,28.842493057250977,72.315963745117188,21.285453796386719,10.835659027099609,8.9141616821289062,-4.4201812744140625,20.00206184387207,-3.902498722076416,44.861827850341797,28.04863166809082,-67.182182312011719,-18.838794708251953
5.0,-20.156131744384766,-13.936861038208008,0.2206583172082901,-25.391010284423828,-4.8094444274902344,-4.1280450820922852,-26.495758056640625,3.0138819217681885,9.8772258758544922,49.265853881835938,3.8954670429229736,-0.54586690664291382,10.305288314819336,-2.2103300094604492,-5.2187380790710449,-3.1716351509094238,-26.746824264526367,-52.650932312011719,29.534042358398438,78.563133239746094,24.334463119506836,11.226210594177246,9.5565185546875,-3.8590197563171387,20.507356643676758,-6.3777551651000977,45.304954528808594,28.665225982666016,-71.046623229980469,-20.674829483032227
6.0,-26.520416259765625,-20.997562408447266,5.9988570213317871,-36.320949554443359,-10.357001304626465,-2.2071149349212646,-34.515727996826172,-0.92466282844543457,17.947477340698242,66.405555725097656,2.8938934803009033,-8.8006916046142578,8.7867031097412109,-2.8733634948730469,-11.448332786560059,-8.3926200866699219,-1.7138664722442627,-47.202423095703125,23.109394073486328,47.581924438476562,10.300675392150879,11.049736022949219,8.324528694152832,-11.666497230529785,38.656543731689453,-1.0498281717300415,45.640388488769531,27.379051208496094,-63.629974365234375,-17.186361312866211
7.0,-48.782943725585938,-27.071994781494141,9.7519989013671875,-38.811916351318359,-12.070027351379395,-1.9561010599136353,-38.185604095458984,-0.83991187810897827,19.524484634399414,85.894447326660156,-159.53173828125,-163.93768310546875,10.021201133728027,-4.2250580787658691,-4.6766858100891113,-9.5742835998535156,0.63000458478927612,-47.665000915527344,22.122661590576172,44.690502166748047,9.1885480880737305,11.010964393615723,6.9762606620788574,-5.5616312026977539,42.127838134765625,1.6406631469726562,46.465091705322266,26.727411270141602,-60.590991973876953,-15.803916931152344
8.0,-48.763622283935547,-28.253177642822266,10.762227058410645,-39.077602386474609,-13.25412654876709,-2.5240418910980225,-37.314552307128906,-0.90393328666687012,20.848831176757812,86.218971252441406,-155.11073303222656,-159.33457946777344,8.0044345855712891,-3.9954879283905029,-4.4465522766113281,-8.6475381851196289,-3.9269208908081055,-48.367351531982422,22.333354949951172,45.291984558105469,9.4160432815551758,9.033665657043457,6.9776992797851562,-6.3560523986816406,42.750102996826172,7.3289203643798828,45.377983093261719,23.399986267089844,-48.472431182861328,-10.652252197265625
9.0,-20.898300170898438,-19.020112991333008,2.0997238159179688,-29.284078598022461,-9.4492826461791992,-5.3274073600769043,-30.954380035400391,2.8171172142028809,12.466949462890625,56.057025909423828,3.161754846572876,-2.1371119022369385,7.793365478515625,-1.621991753578186,-7.7143673896789551,-4.1839466094970703,-17.933328628540039,-51.958526611328125,27.941061019897461,66.574211120605469,18.553394317626953,9.2718391418457031,9.9874811172485352,-6.9115290641784668,23.929330825805664,-0.028135737404227257,46.947338104248047,27.656282424926758,-65.037734985351562,-17.836824417114258
10.0,-19.712495803833008,-15.981992721557617,-0.15771166980266571,-26.146989822387695,-7.2609591484069824,-6.7037553787231445,-30.770412445068359,4.0797948837280273,8.0301189422607422,52.277790069580078,1.9324069023132324,0.97808396816253662,8.2658367156982422,-1.3685781955718994,-5.585355281829834,-2.6527762413024902,-29.492364883422852,-54.052959442138672,28.022834777832031,67.034629821777344,18.76945686340332,9.2060537338256836,10.624490737915039,-3.4513421058654785,15.020233154296875,1.9146091938018799,47.318614959716797,24.758859634399414,-52.926708221435547,-12.470511436462402
