-16.8 -18.2 -5.4,-9.5 -11.2 -4.0,-20.7 6.8 2.2,26.7 -2.7 10.3,2.9 -0.8 -0.7,-4.4 -28.6 -47.1,21.5 43.0 8.6,3.0 11.1 0.0,0.1 -9.6 40.4,19.6 -38.0 -6.8
-12.915200314586894 -14.166316646935275 -8.625074052440182,-7.4721740594508885 -5.7505923609559275 -9.134445534610606,-19.454901909628084 8.778545110476326 -0.857122274266979,26.506287097882105 -5.250851456352036 12.984482288502104,4.524425398274287 -0.6904063813171287 1.3979361990464474,-5.363368865460384 -27.413110507207577 -49.60082329971343,22.206765788469923 44.95580133713696 9.282197363656106,3.964853460220856 11.666177219030075 4.182990656359452,-3.8879669711999094 -12.548439606277071 41.48194004281301,17.51403873082049 -33.10700233434913 -5.282437422894968
-14.531725172845213 -12.470898417832077 -8.312482651026171,-7.413362156411915 -4.534681359832721 -9.059737426404666,-18.940981896563414 8.750905571663369 1.0592613513544273,25.38103334812152 -4.179542447692795 12.830142969541955,5.820063152454595 -0.7184623299400252 2.3167666609465445,-5.902730971430321 -31.902702363918454 -51.266061077089816,21.70719060493041 43.685043237241075 8.848322015318184,5.121008455222562 11.4772060906436 4.61186558188757,-1.999114124819024 -6.6194446167839 41.91920742641952,18.082787961438004 -34.31124365043648 -5.636502552056602
-16.7350916913454 -9.91028130539229 -8.03877380584505,-7.072298780782907 -2.9566519652800682 -8.381236516655099,-17.683704560895272 8.402435754892943 3.0605678000958956,22.548610898091038 -2.8944068780374512 12.8858775455398,7.627873305372132 -0.8000808805680764 3.258255752349082,-5.98952179252338 -36.48581090944616 -52.70799688447834,20.78563811118196 41.232156048804555 7.97527425397432,6.7529774137679865 11.242250123267276 5.167580584546289,0.012474468869336619 -0.49680454108084093 42.525886403734404,18.833841545570543 -35.992763903733334 -6.145108473918359
-19.039543804504195 -7.244693361815486 -7.6394151137781225,-6.752847057286671 -1.7836911718538508 -7.513137092974326,-16.485117351232105 7.64731173968901 4.8219697690464365,19.841441267874476 -1.5410729925209976 13.037621889151758,9.406404419463103 -1.0354062510094442 3.7960636835851616,-5.497794543378835 -37.5386250633401 -53.532354604494046,19.87154058943898 38.75240831215524 7.077556389326753,8.414753560734539 10.892774082693357 5.453877855396427,0.8756023794257386 3.1987524124140276 42.956109452716795,19.817382793109836 -38.42278007313543 -6.950404190092777
-20.9675043272274 -5.224079304619438 -6.966462658713777,-6.760527510022772 -1.7407824524729631 -6.863018929757346,-16.110892896788226 6.419561568169555 6.03351267041195,19.02328968765007 -0.2603705923792726 13.171954281425153,10.625322027595047 -1.51101846587972 3.5320448750774807,-4.326482328047597 -31.732914888759023 -53.39096235644881,19.384272133498268 37.37682853077816 6.561850670845501,9.666717633334603 10.37094046180493 5.094793323135569,-0.5734307794077907 2.038767662339456 42.8932311426789,21.06902268950783 -41.82242157949645 -8.173324150480903
-22.25642196343704 -4.266484351445773 -6.196774727305384,-7.3371173346407526 -2.7583763140686663 -6.6288003913002,-16.54344161000137 4.958116324010281 6.597016787356755,20.313160783567564 0.8832288683039077 13.261907262293994,11.044718278314692 -2.0812601486244926 2.563652898572778,-2.724293754099161 -20.82168913620842 -52.67187075565588,19.485118545805918 37.57744280406957 6.609791329896167,10.267520957333641 9.80859846767406 4.117796026697721,-3.6865476948721105 -3.162281886629998 42.5552917975861,22.38414579426476 -45.58324198900608 -9.580433435135152
-22.813796814922046 -4.52747381966233 -5.764076669345202,-8.673982856930683 -4.138573616301043 -6.8425908966171,-17.145737632316248 3.7430370714114325 6.581782760895656,22.70839837950504 1.8856412856908462 13.34888498797759,10.654366742252154 -2.4168109466327725 1.3802817049501552,-1.2165544150160148 -10.576411011291453 -52.34536572480875,20.131258695833303 39.305110777815685 7.22503528431751,10.132615469314707 9.487609434062264 2.8694066534270437,-6.382842050447262 -9.025271346660436 42.58318342877151,23.368155638435603 -48.44073184973263 -10.658047118028803
-22.56829479481201 -6.117719248915043 -6.081439036311348,-10.925042271593393 -5.186397752394178 -7.525122046383283,-17.29471397960743 3.239450349659302 6.066537486900965,25.195550846313292 2.737549084487779 13.472525523349361,9.469508421887236 -2.2038583225359427 0.4704684633109144,-0.3211382942237319 -6.565975602370086 -53.32523080747116,21.261007399521358 42.45548990121157 8.390082458604523,9.201200006985006 9.675585693547733 1.7026216359663762,-6.6501524280110695 -12.227830385280548 43.58491876625434,23.638978971565855 -49.17050373985163 -10.90879772816597
-21.76784650618618 -8.41889147319717 -7.027259494805393,-13.547182072715492 -5.594923109480604 -8.564761439501861,-16.963913119631204 3.4966505575989473 5.223778604984271,27.197223891636185 3.2966389873921083 13.602260291435147,7.876305392587617 -1.5251748598391677 0.09936917261185395,-0.26595787999660414 -8.324410610723563 -55.12617655210975,22.555864006696147 46.13254864590437 9.772520950369149,7.788606460124614 10.285636687273508 0.9272102000485685,-4.560814328921364 -11.897644234755795 45.31002716404639,23.156788470823404 -47.669674199016775 -10.298516593278572
-20.949156211787084 -10.153283047928074 -7.996326184447192,-15.366826315460523 -5.408214676455249 -9.730153954504212,-16.666508429020013 4.18781355425267 4.310819024629976,28.530435373702158 3.300303626343399 13.644019083112887,6.596416385116712 -0.8222428281728943 0.3300924396829976,-1.016656625691613 -9.927229859302699 -55.99745747134208,23.46503928550619 48.72417590894865 10.75510234512862,6.5503775886368585 10.910225381706475 0.8138427323259975,-2.072582541241251 -9.378463774695797 46.73154313017819,22.191316912364716 -44.84975570065697 -9.211996537533844
-20.631915141984493 -10.07563033475559 -8.389420116608816,-15.23864724394431 -4.688857200706027 -10.790712778028992,-16.919190380903675 4.978480976567428 3.5834946749184895,29.04513983062054 2.499636741224371 13.506638467273138,6.332443575277285 -0.5336987359658657 1.2062991091092448,-2.520123889526992 -5.5058936540977905 -54.23047438616932,23.45284559414245 48.66074030673897 10.736207148372918,6.1277383108304555 11.145189308837578 1.611607351155231,-1.1500181141453132 -6.085862809882688 46.83068912771513,21.023626620767356 -41.65241039070145 -8.044654732050237
-20.66556144686003 -8.3145720305746 -8.179785501649421,-13.263183918891395 -3.643021195248498 -11.64008438703168,-17.849324828467086 5.678850478552245 3.186830195603304,29.0490700209447 1.0866255175724333 13.225946381174742,7.025626476955609 -0.7126616747853204 2.474189778677425,-4.495789159138584 4.632632949782457 -50.26154911736048,22.557369250712938 46.04179421715623 9.747164936861127,6.51224182706821 10.951284763445651 3.0764273043978587,-2.2634016223485274 -3.239308894598859 45.47278392898618,19.939084647050784 -38.86286869638705 -7.082613463050432
-20.206483532898847 -6.4193783656109344 -7.932600380513255,-10.829216668690187 -2.625346581115807 -12.300373974335526,-19.181711286949156 6.248695775084749 3.1512700209689664,29.32330688712058 -0.29085373532345593 12.969081363810405,7.82994645761022 -1.0136210920154833 3.5723875745648197,-6.427885681187345 13.795838737388893 -46.744877588232114,21.40998574647185 42.69284609636769 8.473782237110015,7.023672970231923 10.666598428518936 4.454287434409916,-4.337909663960198 -1.855493362287739 43.43731251975457,19.227509181131886 -37.10460876701482 -6.498982791701995
-18.414479150009324 -5.9661916115117375 -8.22292582027782,-9.35691899108426 -1.9908331651867546 -12.798891577139614,-20.620046343533787 6.654985290941193 3.5018890120886135,30.64217469366254 -0.9754685362530214 12.905905598116577,7.885258401596201 -1.0810212469395795 3.940663138546984,-7.797591504379024 15.177416724055162 -46.3648286933538,20.65793692893057 40.4859619811809 7.619879466355917,6.968823369559525 10.637789016524662 4.985813602413939,-6.240666297314912 -2.897180621255181 41.53732010203426,19.17048108970613 -36.97535906380078 -6.456503484627151
-15.572738568000535 -7.30330505954749 -9.072510965896551,-9.376061389253099 -1.888431025422781 -13.14001268938682,-21.787779978956326 6.87398934726274 4.261138325815921,32.87215697777002 -0.6774739181219367 13.100403231656,7.03612616000417 -0.8243232086311376 3.505747158000366,-8.333606624253106 7.711986484699397 -49.51492945697382,20.583109258113627 40.24304769549171 7.502469130491066,6.226003156320186 10.930931395551205 4.488455253569035,-7.259138665062079 -5.912237554172667 40.31217815487879,19.78156612773812 -38.49235071659408 -6.954278881661109
-13.292586904159062 -9.327383127385229 -9.848949952137573,-10.363732223287453 -2.223487206615182 -13.300998358760253,-22.213490334832628 6.892975465626774 5.448367235253677,34.80643931128599 0.4582934253941095 13.491383723829276,5.960258294674708 -0.4663051227994953 2.7700805858005744,-8.057264748325826 -2.8786013306704987 -53.88035086203161,21.035446473011746 41.544453374071644 7.981258690879245,5.349202266552427 11.280379174414453 3.461613589968537,-7.177746033249722 -8.775763354666717 39.97770641397174,20.757468220302616 -40.98651979719581 -7.79795138621893
-13.228567276498183 -10.869405055902902 -9.892796763537277,-11.740558941526904 -2.888207076914803 -13.257028439607879,-21.435660164016312 6.701737198670381 7.076992021121128,35.20413656775124 2.2564048034789 14.006421827633782,5.37044694264315 -0.24447509303767825 2.261826732945093,-7.014185284955925 -10.56076936648311 -57.024214117894026,21.838995145344366 43.89565125459767 8.887857700613578,4.920271361509076 11.405654167569162 2.437314456111404,-5.81932042037102 -9.301951802979614 40.72311473350331,21.77927730410533 -43.75349811283348 -8.782733947602509
-15.607166501839131 -11.534246455788287 -9.002545391216575,-13.11181951108677 -3.8142862692540414 -12.961297781281475,-19.648958886817365 6.370729334666331 8.914992038330801,34.01487355459867 4.306994081564936 14.402204525739341,5.42374344892468 -0.25287571884750526 2.188228258654627,-5.5650807558816835 -12.722752627801173 -57.97491504502343,22.777126627783836 46.666416931518135 9.981800100767185,5.0451020219486225 11.21073434711575 1.6593847154245482,-3.4210977329226817 -6.827504681206021 42.39953926417334,22.642571322900835 -46.27351324011854 -9.735508496130016
-18.72303154319609 -11.973691136423504 -7.596179936479105,-14.332582632752462 -4.986841886908349 -12.337260452743124,-17.93572929795745 6.079523220897177 10.398325534172537,32.7987679812048 5.883053849432355 14.204245978727833,5.525406522967787 -0.3914729528797226 2.3223941647481507,-4.4969139879439215 -11.381730710320317 -57.7430373426952,23.578187825330442 49.04295887857449 10.925117696347781,5.185719953234593 10.849125491812147 0.9817826547271101,-0.7809093845600459 -2.748735590150593 44.40077826784501,23.297804813625028 -48.27650942568599 -10.525997989889733
-20.751967813453632 -12.90514162189053 -6.134141363990299,-15.277440491567559 -6.391103027112444 -11.310271257761178,-17.42925556879318 6.013248996755807 10.946710060042074,33.210786891805135 6.244906265071033 12.931227265316462,5.0358131404719675 -0.5469179331764836 2.4086571112799158,-4.615134701381593 -8.872918043681944 -57.468191905886435,23.969295202590377 50.20653899253374 11.376381520627058,4.766152515841174 10.491387349354865 0.23374093502297175,1.2733265403676552 1.3975792910837892 46.091929609823644,23.707123835501726 -49.513584151960906 -11.028511652025498
-20.966948927889234 -14.524365538711864 -4.985888403686053,-15.9285413766788 -7.791497619314314 -10.046394383581745,-18.538724119140493 6.225839429769361 10.419491623887335,35.73780543995819 5.243344929398705 10.676404249352151,3.824303681090682 -0.63354086681636 2.3137344479542583,-6.019016039711023 -6.899051255054035 -57.589529088691194,23.83808664919691 49.82343266872051 11.20177564278382,3.6727362329939934 10.268584652427304 -0.578604090313897,2.4960550015998875 4.418748135937064 47.06385884191842,23.874549960470215 -49.9414915327439 -11.21007566362497
-20.341559215489294 -16.218596422192853 -4.379857321671539,-16.43474553859278 -8.610211782892481 -9.084793561841442,-20.55096985392739 6.567871361073075 9.357440341312095,39.0561563486732 3.6443941798712483 8.42362371163287,2.5491118006060036 -0.6085745178843661 2.094039793433139,-7.713257452528504 -6.182526377770882 -57.46048540683483,23.32100826357522 48.31168622522375 10.58928433765289,2.5083868301833725 10.250564860442582 -1.1749153447358796,3.544383677213518 5.65540986429037 47.25737143001933,23.86901180517875 -49.83575346046749 -11.181427490588687
-19.98928400670945 -17.308529792390214 -4.528871828840111,-16.958178829667002 -8.245226874197032 -8.991473616006639,-22.659082000077053 6.87279562603159 8.35843682136788,41.69361042910718 2.288898458138632 7.2260911867092625,1.931893474314653 -0.43401949077430046 1.8223034224589245,-8.614421765175422 -7.357450491000227 -56.34755283958081,22.57596257756743 46.15400429419269 9.75435826983907,1.933657613471004 10.500377501148105 -1.2539323221425303,5.147675290390493 4.5061869657863705 46.646465535269606,23.764720112020346 -49.49783014575207 -11.065025674890538
-20.44922747489549 -17.38580047851567 -5.332710681614939,-17.56429011139087 -6.565261179668683 -9.860074993537216,-24.307971903881075 7.0070595714933965 7.884893647815306,42.82385383300761 1.6661891096952792 7.485023691280576,2.2951328262871664 -0.16874091880102715 1.5711384927714311,-8.180378906765824 -10.701997480571263 -54.097189116111196,21.765669441371273 43.83217866005776 8.893085196920069,2.249117098733269 10.943329642136753 -0.7539020169959268,7.5503520354488325 1.4581741300163789 45.4830049665314,23.608796592081255 -49.09587784122961 -10.925677027200352
-21.238423041426845 -16.524160698238962 -6.134111222274396,-18.146498359643374 -4.276676146845142 -10.943699055589596,-25.39065060939927 6.895825508903452 8.158167609386544,42.769933497538176 1.6401047213220463 8.441470666099022,3.251015829102825 -0.04396753162608116 1.412949760665922,-6.832216613525504 -15.860983222458305 -51.587860106537946,21.061420783382395 41.82637675912653 8.167097949287232,3.114766261204233 11.259625359572862 -0.039258126040048864,10.133918643520841 -1.0646744549486926 44.51329585201238,23.400159936110025 -48.560847809614145 -10.725601169112018
-21.770590454349794 -14.849010877911425 -6.221458719892064,-18.581038742660404 -2.170842611194777 -11.412145292118453,-25.847822988931412 6.4712680643169795 9.371959206488901,41.97452298931553 2.0095954341228617 9.219257734873365,4.339234175702629 -0.30722077000643805 1.4195763133175983,-5.090287435698837 -22.407720127893366 -49.8011645157223,20.6344303215813 40.613981832706216 7.73358498316095,4.125165390896146 11.106047045355268 0.48290001363302965,12.192644879907427 -0.45194451638242883 44.53027095383304,23.13275579464823 -47.79953335548413 -10.416642566364045
-21.7613931628942 -12.773802185439397 -5.336488606623972,-18.825312055155 -0.8416185201547229 -10.929025152060891,-25.842111613303263 5.807329505775842 11.305279066042479,41.049754698882715 2.5129208387731956 9.292197080248068,5.206601730767509 -0.9881572038931965 1.5824788743728901,-3.471046751106481 -28.997521297899315 -49.23874298679913,20.513843803838032 40.285873066986376 7.617885060514506,4.962140703885282 10.411775371873878 0.5925963615542115,13.274406568025078 3.9575565444700675 45.68555272393227,22.7999187125369 -46.76212298240031 -9.980159832745793
-21.54484321397458 -11.301883082179463 -4.149349248902607,-19.00293766542071 -0.4783764258382582 -10.169224474777748,-25.99060290586364 5.268277159522727 12.88789704346035,40.95479467149846 2.764052731227055 8.850836147362113,5.7193071775842785 -1.6702693109928104 1.7285118247150604,-2.482968942788543 -32.405734846919906 -49.419333081127924,20.437866879754818 40.14141043598348 7.575322787625004,5.486229754804844 9.663833728863287 0.453063493984591,13.446437775179591 8.833222577284934 46.81742828244013,22.39373175511446 -45.48767394770669 -9.457953419341317
-21.529848674283638 -11.50589075728422 -3.4426723465397178,-19.257272761399786 -1.2197685245890468 -9.929975483396468,-26.96386433680477 5.253064006582086 12.948176950036434,42.68743314200565 2.3628333498923637 8.17353748376246,5.77095289592354 -1.8833709427767527 1.6648901462228887,-2.6320901098401777 -29.187996745330338 -49.74225389117868,20.109737914996344 39.38472826152241 7.328736490112371,5.5803623028504425 9.416488951798604 0.2744063970881501,12.839555178525995 10.362778615158916 46.606231265738145,21.90623053152071 -44.0263204478881 -8.899237579055365
-21.89672612752548 -13.635733171848273 -3.6646863607239357,-19.559710298928227 -2.870516534282483 -10.594975682364373,-28.826654428794157 5.9192218374391885 11.035856999659869,46.16327936864302 1.2137094802187889 7.554102626239671,5.409738477740558 -1.4234800281167672 1.3430985372428177,-4.015673518480498 -18.83153256144158 -49.86760548854976,19.416392244986586 37.69309748482833 6.761928780062452,5.270176552866469 9.927152381688762 0.2529708283428204,11.581866765314535 6.721192659036572 44.53148904727396,21.35904559455193 -42.48289198038703 -8.356881195743405
-22.28544928497654 -15.996556966434957 -4.473159827609164,-19.475155442099748 -4.4459997547489145 -11.57041223839079,-30.211724953555503 6.853612801456382 8.405854933024758,48.73989114710159 -0.05885009611198802 7.322827681225301,5.049299272303349 -0.7158657433670303 1.0556453947354685,-5.764728207960402 -7.753237873216434 -50.07192011236592,18.678986756181477 35.86218592103906 6.139188470403568,4.918643887790428 10.751530517005724 0.5525785812826145,9.795077741447189 0.7808630752459444 41.96185729988212,20.84376380795538 -41.09150639425638 -7.892391943122013
-22.2583321363353 -16.614008766017434 -5.411860478788365,-18.510321514621417 -4.848496392439684 -12.121779406686661,-29.546315840486443 7.560940385130312 6.558654849566796,47.40791145202982 -0.726784710875257 7.8149570256021175,5.155730587076745 -0.27636270569343 1.1440438317971584,-6.871267130587448 -3.3658144144279647 -50.72044238482523,18.2811085531537 34.848500877069156 5.779534334069056,4.937191418128615 11.34429068782209 1.3321112340929013,7.60005157131142 -3.9090238547598704 40.537906378243335,20.461998254067748 -40.10474861714609 -7.568464688184398
