-16.8 -18.2 -5.4,-9.5 -11.2 -4.0,-20.7 6.8 2.2,26.7 -2.7 10.3,2.9 -0.8 -0.7,-4.4 -28.6 -47.1,21.5 43.0 8.6,3.0 11.1 0.0,0.1 -9.6 40.4,19.6 -38.0 -6.8
-22.6 -10.3 -7.3,-13.5 -3.4 -8.7,-20.1 6.0 7.8,28.0 1.7 11.8,8.4 -0.8 1.3,-2.3 -26.6 -50.3,18.3 34.9 5.8,7.9 11.3 3.4,2.0 -2.4 44.2,19.9 -38.8 -7.1
-26.1 -18.2 -6.2,-16.4 -11.4 -9.2,-22.4 7.2 8.3,34.2 2.0 10.8,6.0 0.8 0.9,-1.5 -20.1 -47.7,19.4 37.6 6.7,5.8 12.3 0.9,5.2 -1.7 45.4,21.0 -41.5 -8.0
-21.9 -13.1 -8.6,-17.1 -2.7 -11.1,-21.4 6.6 6.3,33.9 1.8 11.5,4.4 0.3 2.2,-3.2 -16.4 -50.0,19.1 36.8 6.4,4.0 11.8 1.7,6.8 -5.7 44.9,22.5 -45.9 -9.6
-23.7 -12.8 -8.3,-16.2 -2.4 -11.3,-22.7 6.2 8.8,35.6 3.3 8.3,6.3 0.3 1.7,-4.8 -23.7 -51.7,21.0 41.6 8.1,6.0 11.7 1.3,11.4 2.9 46.9,22.4 -45.5 -9.5
-26.7 -16.8 -3.7,-20.8 -6.6 -8.6,-22.4 5.4 7.9,37.5 2.9 6.9,4.1 -0.6 -0.6,-2.9 -13.1 -50.5,22.4 45.5 9.5,4.2 11.1 -0.4,11.8 -4.1 44.7,22.5 -45.8 -9.6
-28.4 -17.5 -7.5,-20.4 -12.6 -7.1,-23.1 4.5 3.2,36.2 2.2 10.3,4.5 0.9 -1.5,1.1 -33.4 -51.5,22.4 45.4 9.4,4.7 12.7 -0.8,1.5 -6.8 44.6,21.4 -42.8 -8.5
-28.1 -16.7 -7.3,-19.1 -11.9 -6.3,-20.2 4.7 5.2,31.2 3.2 10.6,5.1 0.7 -1.3,-0.0 -36.9 -51.0,22.9 46.8 10.0,5.3 12.5 -0.2,1.9 -7.1 44.4,21.9 -44.1 -8.9
-28.4 -14.6 -10.0,-18.3 -9.8 -7.8,-20.4 5.6 7.9,31.8 4.7 11.4,5.4 1.6 1.5,-1.3 -29.7 -51.2,20.8 41.0 7.8,5.2 12.9 0.1,7.1 -0.9 41.7,24.1 -50.8 -11.6
-25.2 -14.5 -9.6,-16.0 -6.1 -8.6,-22.5 5.6 5.1,32.2 2.0 9.6,7.7 1.1 0.6,-3.3 -11.2 -45.7,19.8 38.5 7.0,7.6 12.7 0.9,10.4 0.0 44.3,23.0 -47.2 -10.2
-20.0 -17.1 -4.4,-16.8 -8.5 -8.9,-22.1 6.8 8.6,41.1 2.6 7.4,2.0 -0.5 1.9,-8.5 -6.8 -56.8,22.8 46.8 10.0,2.0 10.4 -1.3,4.6 5.1 46.9,23.8 -49.6 -11.1
-24.2 -16.7 -4.8,-21.1 -5.6 -12.4,-31.2 5.9 6.5,56.5 1.4 5.7,6.0 -0.2 0.6,-10.0 3.1 -55.0,22.1 44.6 9.2,6.0 11.0 -0.8,9.1 12.4 45.7,20.6 -40.7 -7.7
-21.8 -18.2 -3.3,-18.7 -6.0 -10.6,-27.5 6.5 10.5,45.2 1.4 6.5,3.4 -0.7 0.6,-5.2 -18.0 -50.4,20.3 39.7 7.4,3.4 10.5 -1.3,10.6 -2.9 44.1,20.7 -40.8 -7.8
-27.8 -15.9 -6.7,-25.9 -9.2 -7.1,-20.4 3.6 6.6,38.3 5.8 8.9,2.2 0.4 -1.4,-1.2 -15.5 -50.3,22.9 46.9 10.0,2.5 12.0 -1.6,7.7 -3.0 48.0,23.1 -47.6 -10.3
-30.9 -17.1 -7.5,-23.6 -11.4 -7.6,-23.4 5.7 8.5,38.1 4.5 9.2,5.7 1.3 0.2,-1.1 -19.5 -48.8,21.2 42.2 8.3,5.7 12.9 0.3,6.5 -7.6 44.1,24.1 -50.8 -11.6
-29.6 -11.7 -6.5,-19.5 -5.8 -8.5,-21.1 3.0 13.7,38.0 8.7 11.9,8.6 -0.2 0.3,-2.8 -5.0 -51.2,23.0 47.1 10.1,8.7 10.8 -1.4,10.5 -7.2 50.4,26.3 -58.8 -15.0
-24.6 -16.3 -5.7,-16.8 -7.1 -9.2,-22.4 4.6 6.2,43.8 4.3 8.3,4.3 0.3 0.8,-5.4 -1.4 -54.2,26.2 58.2 14.7,4.5 11.0 -2.6,6.7 -5.7 48.0,24.2 -51.1 -11.7
-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
