-7.5 8.6 -1.5,-8.9 15.7 -2.6,-21.5 6.9 -8.5,28.9 -11.7 12.8,6.7 -5.2 10.3,-15.1 26.3 -36.1,25.8 56.9 14.2,4.8 5.9 8.8,-9.9 -37.5 15.9,29.7 -81.4 -25.7
-5.23609315315915 7.831106684897128 -1.8944583600455938,-8.997242387439606 15.089220890826532 -2.994347005052166,-26.12359042157006 7.112000767942707 -8.751997422858816,35.69465623354754 -11.47046956872235 12.37949887698242,6.3360764206330735 -4.958066935969078 10.234084324091787,-16.086077584807146 22.87272729322755 -37.464610979686825,24.66448756482003 52.74504344740587 12.449751007667537,4.448487289373087 6.156972091271406 8.691747376337961,-15.616544103760225 -40.480880188596544 13.004247666258992,28.506539518763184 -73.24865575288673 -21.854943538834924
-4.082253894736525 7.216428548161268 -2.0199803030416996,-8.776388726188422 14.528234014411833 -2.940479944358886,-28.417554260042536 7.167279101344309 -8.809092856002703,39.005556812881494 -11.215818982022274 11.793897710393463,6.063017305148699 -4.8827933837545645 9.982555731346537,-16.841048518940465 21.42472913139273 -38.15743153223522,24.196708022312073 51.016233055124225 11.716700882851912,4.209569659890873 6.27035073420101 8.526952350126024,-15.555229786652763 -40.091970825640594 12.211759098121265,28.188905655505014 -69.90034712618497 -20.221728973362108
-3.7957833354728665 6.722674681228974 -2.002436208438633,-8.418691459289754 14.024182400453853 -2.620250307941901,-29.00444433626918 7.1055843200144295 -8.708703656943293,39.808447526570305 -10.916877572500345 11.13415501919679,5.904595837601151 -4.898168955207271 9.62019214713838,-17.37809094123856 21.284332110071762 -38.396000889787665,24.19157243610864 50.97065697435268 11.688229512784488,4.1016627435536455 6.299665487132821 8.312234847162026,-11.757816697376843 -37.47337642682828 12.659513049555803,28.38296642029661 -69.56862338424288 -19.98912569635835
-4.133982586108917 6.316554175536804 -1.9676964556867107,-8.105403029786906 13.584209078650554 -2.21550958582295,-28.50681347110178 6.966665743762693 -8.488247183192202,39.07907416318244 -10.554474672757143 10.491229322356071,5.884585202044708 -4.928183262178005 9.221771496841438,-17.710382990540058 21.779862824840862 -38.397858284486674,24.443991869842225 51.8654033562889 12.05171678469663,4.143182172361693 6.30444590841085 8.054214793243805,-6.2660644846316975 -33.76520150785579 13.484488274531595,28.724589823209097 -70.46703379140864 -20.345903100600438
-4.854152757385415 5.964776122521312 -2.041631424236249,-8.017775880723189 13.215457078699892 -1.908109268023774,-27.54721448539211 6.790272692398725 -8.185140792261064,37.79318251128633 -10.109439615393253 9.956079138834971,6.026758582533645 -4.896825916517579 8.862071705829843,-17.85110280568359 22.239647871276265 -38.38054294847472,24.74887738714535 52.957560352130535 12.494542585819707,4.352543578315307 6.344221556379109 7.759512114169203,-1.1217327971165623 -30.10755058441928 13.823663527017633,28.849643874313593 -70.80912761203042 -20.480830578865167
-5.713594960043102 5.634049613619053 -2.350111493537564,-8.337062455141904 12.925069430299825 -1.879900844566112,-26.74820019999192 6.616154485732147 -7.836801841661496,36.92651835945042 -9.562601733009243 9.619662987597152,6.354889163122236 -4.7280865300768005 8.615870699477721,-17.813428525507753 21.992013844954187 -38.5615941138943,24.9011400516505 53.50421611307521 12.704086803385078,4.748162593414773 6.478521989381603 7.434746735736055,1.6334187164693335 -27.6405281722149 12.814017560982894,28.39399658368121 -68.80845411045635 -19.582677523929323
-6.484740869387617 5.284614731402926 -2.9814592498143426,-9.172026509784843 12.717570544692505 -2.262712568552012,-26.59529561887733 6.478228586060541 -7.476501343345861,37.21771689453417 -8.911190937023115 9.552992621167105,6.862845828788112 -4.370362788855663 8.52679632612933,-17.606101842477067 20.520008983741814 -39.08782168174568,24.742155724811344 52.9330508673972 12.441030849055576,5.319878649071484 6.751836550271888 7.089386598573501,0.47674203393471926 -27.27300108447431 9.903364390579597,27.13966938343464 -63.33880682186335 -17.13651342282289
-7.022503235298727 4.841447123981688 -3.819313421002208,-10.236275049973719 12.58320998810634 -2.915681590440532,-26.82704756593221 6.3786213171358455 -7.114907382864326,38.11285497631057 -8.241841427681353 9.718344210979401,7.381480498972113 -3.905107835937401 8.46866837340054,-17.213680099380444 18.15011385490141 -39.72046955438448,24.366593292127014 51.60169149346187 11.865643901169676,5.901754059345457 7.126666026211581 6.748424994177876,-3.2845835597642097 -28.653292676217756 6.233970749518288,25.665408193523476 -56.87316136784648 -14.24262509736843
-7.209762443162504 4.217564995231944 -4.677908649648947,-11.109425556177037 12.507397020501736 -3.605481117854053,-26.928717931741023 6.308679281667744 -6.755023858433713,38.61972952761877 -7.671502560259237 10.041123929936338,7.686369393846909 -3.4588911825544546 8.257728208972663,-16.612520223576027 15.49479957667371 -40.0900441362689,23.95500809255729 50.18309064690344 11.273687129033053,6.275030322602937 7.537710571876378 6.442119541121802,-7.38384255780811 -31.002301948925798 3.5226574287638854,24.8201118167197 -53.10490196959146 -12.548986337777086
-6.9789231169617265 3.4073773231983244 -5.375755051988863,-11.434886885746845 12.507774637931949 -4.123542333155832,-26.450257075471875 6.264365071206452 -6.403087235172143,37.87539148474694 -7.315475533307138 10.466667874380253,7.597858408673629 -3.1511248061796997 7.778354790167814,-15.817304838552438 13.208892270584254 -39.897742554854446,23.670857522499652 49.27752631045382 10.926394693451957,6.25913528996622 7.912494491015589 6.218906763669662,-9.888626082844864 -33.61851210333848 3.2357438412428894,25.287034154875162 -55.035296376144125 -13.397284882843996
