-22.9 -7.3 -3.8,-17.1 -1.0 -4.5,-24.0 4.0 -1.2,37.1 -2.7 11.0,11.3 -2.1 2.7,-16.6 37.1 -29.6,28.7 71.5 20.9,11.0 8.8 0.4,-14.4 -33.3 18.1,29.8 -81.8 -25.9
-22.4 -11.6 -2.3,-21.5 -3.7 -5.4,-23.8 3.3 2.7,39.5 0.3 8.1,8.7 -2.8 -1.9,-8.0 17.9 -36.0,27.1 62.4 16.6,9.0 9.0 -0.8,-9.3 -32.0 16.9,29.5 -78.0 -24.0
-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-22.4 -12.4 1.2,-21.1 -3.4 -2.7,-22.2 2.9 4.9,36.9 0.8 4.8,5.7 -3.7 -1.3,-14.2 21.0 -36.2,27.7 65.1 17.9,6.1 7.6 -2.6,-7.5 -29.1 19.5,29.0 -73.9 -22.1
-21.0 -13.7 0.4,-19.8 -5.8 -2.3,-20.1 2.9 5.8,34.1 2.0 7.0,4.1 -3.0 -1.1,-9.8 17.3 -34.3,28.4 69.0 19.7,4.6 7.9 -3.6,-7.1 -28.2 19.3,29.5 -77.9 -24.0
-23.7 -12.5 1.3,-21.5 -4.5 -1.9,-22.6 2.1 5.0,37.8 1.4 4.5,7.1 -3.7 -1.9,-12.7 22.3 -36.4,27.4 63.8 17.3,7.6 7.5 -3.3,-5.3 -29.0 21.4,28.7 -71.0 -20.7
-23.1 -12.9 2.4,-21.1 -4.7 -1.0,-23.3 2.1 5.2,38.8 1.0 4.7,7.2 -4.1 -2.4,-12.1 21.6 -35.2,27.3 63.2 17.0,7.7 7.2 -3.1,-6.3 -28.7 22.1,29.1 -74.0 -22.1
-19.3 -12.1 0.0,-18.0 -5.2 -1.9,-18.8 3.3 2.5,30.2 -0.3 8.2,5.1 -3.3 -0.1,-11.7 24.9 -28.9,28.5 70.0 20.2,5.3 7.7 -2.6,-8.2 -30.2 16.7,29.6 -79.4 -24.8
-19.9 -8.6 1.9,-18.9 1.4 -1.8,-26.3 3.5 4.9,41.9 -1.2 3.8,6.3 -4.5 1.0,-14.0 17.2 -40.0,26.3 59.0 15.1,6.4 6.4 -1.3,-3.8 -28.7 19.8,28.1 -67.7 -19.1
-14.2 -3.2 5.2,-12.3 3.1 2.2,-20.9 4.9 0.2,28.1 -6.1 5.6,5.4 -7.0 3.2,-12.5 22.8 -40.7,25.1 54.1 13.0,4.9 4.4 2.1,-11.1 -34.5 22.8,27.8 -65.8 -18.2
-7.6 -1.0 2.4,-10.1 5.1 1.1,-24.6 4.2 -1.4,33.4 -6.6 8.2,2.7 -6.2 4.9,-15.6 23.9 -39.8,26.5 59.6 15.4,2.0 4.7 1.6,-13.4 -35.2 22.9,28.8 -71.8 -21.0
-10.0 0.5 0.4,-10.6 5.4 -0.3,-20.7 4.1 -1.8,26.8 -6.2 10.7,4.3 -5.6 4.8,-15.7 28.1 -38.9,25.8 56.7 14.1,3.6 5.5 2.6,-19.1 -38.8 23.0,28.2 -68.0 -19.2
-11.5 -0.2 -1.1,-13.2 8.1 -2.5,-19.9 5.0 -4.9,29.3 -7.2 11.1,7.3 -4.6 5.3,-16.3 28.0 -30.2,28.2 68.0 19.2,6.4 6.5 3.9,-13.8 -42.1 22.1,29.2 -75.2 -22.7
-11.5 -1.2 2.4,-10.8 4.1 0.7,-18.7 5.5 -0.0,24.4 -6.3 8.9,4.0 -6.1 5.6,-11.1 21.3 -39.8,26.0 57.4 14.4,3.2 4.8 2.7,-12.5 -34.6 21.5,28.6 -70.8 -20.6
-7.4 3.1 -1.1,-10.4 9.4 -1.2,-19.6 4.0 -5.1,27.2 -7.4 13.3,5.3 -5.1 6.0,-13.9 23.9 -30.5,28.1 67.4 18.9,4.4 5.9 4.0,-14.3 -40.6 21.8,29.7 -80.3 -25.2
-10.4 -7.4 -2.9,-12.5 0.9 -3.7,-21.8 4.5 -3.8,32.1 -5.3 9.4,5.5 -3.4 2.2,-18.8 32.4 -37.2,27.2 62.9 16.9,5.2 7.8 0.4,-20.7 -39.4 20.7,29.1 -74.3 -22.3
-15.2 -10.8 -2.0,-16.3 -1.3 -3.9,-23.1 5.5 2.6,36.1 -2.2 7.1,6.4 -2.7 2.7,-13.5 17.3 -39.3,26.7 60.7 15.8,6.2 8.0 -0.7,-9.8 -33.5 19.4,27.9 -66.2 -18.4
