-3.8 -35.7 10.3,6.7 -25.6 14.3,-33.9 2.0 -15.0,63.8 -14.0 -23.2,7.3 -7.3 -5.5,37.5 -12.2 -16.8,29.9 83.6 26.8,8.1 5.1 -1.8,-0.8 -15.8 26.7,30.0 -93.3 -31.7
8.917399769404424 -22.403663051445207 8.412052963885275,6.9846087565633 -13.732300914220753 13.265067287463935,-40.16434189121369 -2.601747288398648 -16.66113161864554,56.37102479222291 -4.909444529040944 -15.955997176144098,5.93734809079688 -11.935727660845487 -19.7127460618046,20.83867832882447 -29.5018871446654 -23.55741699687403,29.69885718217305 98.61382271374768 34.32451026563107,9.195447862246718 2.77450130660625 -5.195618812342665,4.473967972050055 -2.244063111345575 34.578874967512775,30.000921471619108 -86.95720454460341 -28.508537437237173
9.692689512786387 -23.072551946088687 8.759262815444263,7.076648483719147 -14.44239749049286 13.038559672919337,-39.398868441510636 -1.7240420357571695 -17.123371648691162,55.56382837698302 -6.561095135483274 -16.026615359518487,5.989033506253703 -11.969622779711955 -18.62230204562932,23.953379082067467 -28.810464836550125 -23.97493420519139,29.448624936296437 102.36428063375442 36.14213720936495,9.016465190916861 2.4698455902967984 -5.514602610465159,3.016506118540873 -7.2746122873577725 33.02219963644708,30.000319405240468 -86.90925567966536 -28.50152733064015
9.859189410393322 -22.85801969909209 8.715492214495546,7.095714474432673 -14.285296578542239 13.03724090755481,-39.48888991049562 -1.8025842513448576 -17.118892990064904,55.50681618850358 -6.4313545744701965 -15.933394424837434,5.9930714558575655 -12.032236073702881 -18.80207749104587,23.719603262099454 -29.07983963591064 -24.089467310100435,29.434363513374503 102.59151890893578 36.25505114026804,9.052475655540556 2.4310483255253708 -5.581270100196445,3.111029533755095 -7.143981630727621 33.1326182349271,29.999814500044216 -86.84685932605004 -28.4713217745477
9.298569816188301 -21.896281906894146 8.307205195802899,7.0285607046136835 -13.359090101753605 13.263497687212823,-40.38257365263575 -2.794446135425471 -16.64725755582802,56.24479676342972 -4.589737508728907 -15.737557012972484,5.946226124003097 -12.082303065653543 -20.145077512817064,20.264162466656934 -30.1383011387662 -23.819733033965775,29.66744254072108 99.11572694657272 34.57421183923105,9.281291328515286 2.6867645295050298 -5.34785203446093,4.708520750256048 -1.8928069881162894 34.84972428039241,29.999748419584726 -86.80308084562846 -28.433737582653404
8.691870494434873 -21.06606190505107 7.8939478016531845,6.937335065126537 -12.511193151433625 13.519934482316497,-41.166127859000454 -3.667001026640318 -16.136512680135585,57.03082251256508 -2.9217622529360545 -15.595617795225385,5.902263340690054 -12.063078560266307 -21.242761531014963,16.96370020372651 -30.994417219821756 -23.570488067653603,29.927925050411872 95.24695475043333 32.70405355399944,9.483639079841124 2.9549572489041864 -5.1136156579862,6.216351392983318 3.23274888185895 36.56568910905484,29.999904856420308 -87.28991216999226 -28.655522753595243
8.736532645505779 -21.25113187858349 7.84010049699368,6.886697606146196 -12.596561189234086 13.604974752263672,-40.91546784517328 -3.374647465913074 -16.023231422189856,57.10491714329407 -3.338156435763864 -15.662817671365646,5.91743887650114 -11.91996564640707 -20.671635798559695,17.245692459513116 -30.652379133705335 -23.75692882687567,29.99074951871942 94.37176696806546 32.28621874619837,9.439233489170517 2.9474160947309396 -5.184267933814451,6.018377589524316 2.8989946367176644 36.64753429977308,30.000045993952778 -88.81690221804537 -29.402560863392143
9.479766979899509 -22.407933364338216 8.17562290186359,6.910622125604178 -13.611929698550151 13.476951195075815,-39.64233662947321 -1.9095836226490768 -16.387002411449323,56.45325105836906 -5.889883719068833 -15.914380012435192,6.043557459775823 -11.689240828127316 -18.439988160004674,21.391026218579867 -29.178149972998874 -24.41372304254419,29.806986802458393 97.19383569084526 33.66297073735492,9.184339404849906 2.6350479534608273 -5.561615168968892,4.0129956817126295 -3.3814417246551627 34.93052445136301,30.000068506137364 -91.11452611672809 -30.545736374043642
10.200046872592075 -23.39656790476516 8.535104389503166,7.006803489339241 -14.5394005064796 13.283249781328168,-38.46486289793554 -0.4909500099747397 -16.88536815124067,55.9441292750192 -8.429195125398389 -16.112701818617605,6.327161558151184 -11.51461603145193 -16.248835396707218,25.96052230006867 -27.8929764048817 -25.12565703921161,29.53594089888483 101.2449736352936 35.64037718676925,9.058529153196417 2.295102042531457 -5.888176026768512,1.889172627451282 -10.366353729912253 32.98575975423158,30.000028068869927 -92.99219620011597 -31.488944624194417
10.14674015913607 -23.03958522014038 8.53794530067097,7.170027302091888 -14.324931061906579 13.179631583726023,-38.541297579446635 -0.3838385055460516 -17.157234812605385,56.47586408948573 -8.72468526139563 -16.013405591042233,6.810961547032535 -11.542848906962696 -15.863438562089637,27.36467899423576 -28.16151098644972 -25.458391265339586,29.346609289978886 103.9113440331334 36.95381604021883,9.409933236627676 2.2171525094198907 -5.79365484465235,1.4065228030468926 -12.580519476893938 32.4545066657268,29.999988760193066 -93.22960029435012 -31.62079493093322
9.221301388036446 -21.258313033089312 8.129548838840577,7.360346767561562 -12.872027444221965 13.213415550528476,-40.01601219408206 -1.7911441672759052 -17.08617347518898,58.05381683812167 -6.3925378010409615 -15.607390994144295,7.387168478638962 -11.78597238321791 -17.619802991370477,24.76538831129654 -30.107817402361437 -25.269935088692836,29.30853894363419 104.17945230792522 37.10739947630733,10.204609538754138 2.4618998568033787 -5.246172879816062,2.9275263689236097 -8.722746818440662 33.695200929296725,29.999981394381468 -91.60732993503183 -30.82817940269589
8.207312163410597 -19.460479240833386 7.696326956315885,7.490829941527731 -11.379544245915893 13.285222759846345,-41.6618268411084 -3.478848013165828 -16.886731960152467,59.47538650287726 -3.548310000967531 -15.203834920214444,7.74440157883127 -12.073767059451848 -19.92047162378093,21.046560810240987 -32.17772086448989 -24.813780389213964,29.35674258953983 103.20070790230749 36.64516465889243,10.891757391150165 2.7804298836942825 -4.671653572914519,4.924654277110817 -3.1383696056706305 35.33089607920679,29.99999178729299 -89.25997486787776 -29.67205499675291
7.9406624988171455 -19.139990318156773 7.650714730818152,7.472719183616542 -11.121907319359499 13.28649934152288,-42.17005841105556 -4.126215251324685 -16.79460705540415,59.46988968128135 -2.4588805751837612 -15.13024197674662,7.562427704800857 -12.225066446510873 -21.049322813968807,19.322896585232805 -32.71853782350495 -24.369696667453223,29.417144015694042 102.27061872203087 36.18059309504592,10.892124074626171 2.9048711768495075 -4.522830061264638,5.754538965982289 -0.523372006929132 35.878411943737134,30.000002696674244 -87.4080061842162 -28.756190037784236
8.638788268005694 -20.630923464092437 8.08828871435898,7.307823741415371 -12.390958783232977 13.182977361865154,-41.18323701643797 -3.3293461239295494 -16.90481127456029,57.82638360545908 -3.8256414587945424 -15.45824433895385,6.856964468346059 -12.178087202935258 -20.40493142132929,20.70447701618603 -31.3146378578258 -24.10975979751632,29.443308714333014 102.11032436556408 36.064810449491844,10.120622430636093 2.7485614422093514 -4.911248381882766,4.873007514424203 -2.5643337295076742 34.87149864227615,30.000005040810624 -86.65812868382469 -28.382208310232734
9.560521428021929 -22.469620500259072 8.613494744100013,7.138331538851502 -13.955535968995642 13.055532088699161,-39.81827326384607 -2.10543517596314 -17.09429650608449,55.9765234911597 -5.923480079604409 -15.862871912013786,6.1644531509059375 -12.056089866190808 -19.11365188761586,23.194224475927886 -29.467822893882932 -24.03912053251995,29.431646819261786 102.5506935550888 36.24229083131537,9.258121919631304 2.505712520448348 -5.419614566319401,3.4396386941168613 -6.283257566064678 33.420148245429985,30.000002386822665 -86.66570941457701 -28.38340956117379
9.887834745441795 -23.049189631218887 8.791521655793748,7.117222921009382 -14.462971564248242 12.994446567116587,-39.31055560342846 -1.5866163936152258 -17.221833321069887,55.48170196772773 -6.830814191873724 -15.987589494619503,6.061375835653935 -11.997362054850512 -18.442906009978305,24.54049542150365 -28.83335477399872 -24.147926650836894,29.3825309787699 103.34375185082128 36.62119847317238,9.045775343873219 2.3933649396320624 -5.588369785506694,2.7527089682965995 -8.319712281482424 32.7623730926486,29.999999367847337 -87.0056771680203 -28.553453368109366
9.306343766293208 -21.78868754572494 8.45647430502934,7.282103384425818 -13.415370881193232 13.045315127769191,-40.144634968500235 -2.2481787550149814 -17.198035634256065,56.86378150018488 -5.728582047639621 -15.705252977705372,6.696884768985454 -12.060107200754208 -18.98046692850495,23.635049286986042 -30.03423354139299 -24.36843686471889,29.321235972823672 104.03825355395331 36.99019267430094,9.720729642646468 2.508745793733127 -5.248086587323754,3.403624698717062 -7.005445751098768 33.45549463306361,29.999998633921482 -87.37859349066007 -28.744063219724964
8.397860835445881 -19.932773889270692 7.92097463523577,7.465277021241927 -11.835846821458324 13.174211686325378,-41.46899989559468 -3.3966018805963065 -17.025768933348235,58.79485395507574 -3.7595793524307375 -15.29690351949614,7.45972889679235 -12.160024574625451 -20.104720940771635,21.40425044789709 -31.856622184004074 -24.529900376776684,29.317348168100498 103.82124609909125 36.92528213485514,10.623288874873584 2.7358826224504775 -4.745605838926226,4.725966764485069 -3.6833192102156347 34.84559289273325,29.999999306295187 -87.70857455425826 -28.910283238802286
7.834261609348722 -18.90912332022647 7.545805279520833,7.478724377155546 -10.900156371443643 13.338998864893043,-42.297801153863816 -4.220466256306021 -16.717745015665276,59.76200002290662 -2.2647321388939576 -15.084469852460433,7.663159923789589 -12.19850635084119 -21.071433770472517,18.982260426365166 -32.902323914713804 -24.451915726873125,29.44452162817002 101.84889003510226 35.98379290324815,11.004236864009277 2.9371856092758577 -4.47952473489168,5.925672600817936 -0.00397554782351712 36.155723536475946,30.00000014565109 -87.94294128108334 -29.017934516992536
7.944871216391773 -19.381299131375744 7.519497282887221,7.25842316970716 -11.171728218138655 13.495455827607143,-42.14550627494761 -4.290169327801629 -16.336416106068228,59.08954064367765 -1.9788711129463112 -15.214215145497361,7.046889801853331 -12.133461037106246 -21.43863515213886,17.217338088912747 -32.50967411723131 -24.097036049908127,29.702548813007873 98.22248341814002 34.20131115350104,10.546959366390023 3.0282165784951447 -4.632488479728279,6.506559981323604 2.7677998784010422 36.87980266292826,30.000000383820808 -88.05266363137424 -29.05150604493351
8.35750772311527 -20.448045778303275 7.677828751507494,6.9942841411210575 -11.960007793445744 13.595095038185164,-41.551178326904996 -3.9580290798473117 -16.046097536674036,57.816375773842495 -2.395608190784861 -15.47265816989509,6.223975728237293 -12.038536583023319 -21.38335937810209,16.37224406025337 -31.525347753788065 -23.720570292634157,29.93996147131773 94.97886543324707 32.592848948762054,9.820764903107943 3.033386263713598 -4.944895562072329,6.5824739423072 4.157416910942412 37.06643974158765,30.000000217499018 -88.0571422807926 -29.03371668563596
8.61481690689415 -21.018334462817684 7.813669568997885,6.906875480161831 -12.422260814834988 13.589061156891553,-41.178288137694466 -3.671483524496393 -16.023120454895263,57.18919289584054 -2.857393272816416 -15.602710194245345,5.913051183896088 -12.001387602809242 -21.158240368281472,16.63686718918067 -30.979002751685154 -23.613076402416215,29.987151656164794 94.38667942493366 32.29076696024884,9.50221982257527 2.990425098452051 -5.103530046345796,6.341975223609958 3.78900879254389 36.832372481010694,29.999999961202402 -87.98177929762765 -28.99196912277237
8.461732405397628 -20.512961798810032 7.799417166169921,7.095027030874282 -12.09708778467384 13.471760516276381,-41.39715542988442 -3.7041059994874987 -16.31603863745617,57.85249670952055 -2.9354665233297266 -15.47067423088733,6.452366903769841 -12.063523872292455 -20.961703498189337,17.870666865793886 -31.423515725901684 -23.898032369444724,29.78118202376702 97.262182011284 33.7066613084996,9.927096951998037 2.9347710217142544 -4.94514412954731,5.97964999555181 1.8375235179085307 36.35291692048688,29.99999984001927 -87.87193697847151 -28.95445022024006
8.121354418144138 -19.562573558724324 7.6954556071375615,7.369804430122445 -11.424485575545024 13.339861072827858,-41.8851514912596 -3.918489799450681 -16.671366648568334,59.02735666588717 -2.7418808558603027 -15.234525791846949,7.281027675118459 -12.157378336456686 -20.864036383295463,19.1520357470341 -32.28475111908329 -24.303973805460668,29.51126242041954 100.98848870917983 35.54839015073736,10.62560389040402 2.896442990763315 -4.660983581531571,5.704327296865425 -0.2200790438096164 35.94185612824488,29.999999867647833 -87.82015946131536 -28.951200481405607
7.885712143660259 -18.972147022418465 7.589303006074171,7.500853501977462 -10.974372698332525 13.304713504899311,-42.21976006482776 -4.117929646544948 -16.79221030829248,59.729768594422644 -2.466798503209438 -15.094261305103082,7.708678366417484 -12.199683395474286 -20.916925808315924,19.447396875043626 -32.826168765228786 -24.502592563477492,29.402868087947535 102.45498603267964 36.27878452411489,11.011926626931562 2.9046422412555613 -4.493364955320783,5.726664771499099 -0.7201240441207581 35.932645051335804,30.00000002716894 -87.92565282573042 -29.012465331227126
