-44.7 -32.8 24.7,-28.7 -16.0 9.9,-32.5 -2.0 22.2,77.1 -12.4 -20.3,5.6 -6.0 -4.7,-5.8 -14.6 -45.6,24.4 51.5 11.9,6.6 5.3 -5.5,21.6 13.7 45.8,23.1 -47.7 -10.3
-42.36411419947574 -32.449942189939776 20.99145651808719,-25.278272995284993 -15.349710187011176 6.1737622255758176,-32.42010480254256 -1.5804578427940323 24.188163144687692,76.54901379251017 -9.430784337195144 -14.820966652483918,6.18612078929196 -5.344123025004086 -3.045046360598974,-7.803674179716365 -14.780599246249535 -45.54909184365336,23.53681822982535 48.982533012782845 10.913882636223688,7.0752091752719775 5.246526883905523 -6.695599447928868,24.32768012994415 1.6032985037829133 44.416593513139176,23.75726890214551 -49.63174070753968 -11.099260190951274
-42.42082797923778 -31.943106513839314 21.450135999857153,-24.717671205866818 -14.776444561460394 6.810927486878599,-31.541407927834683 -1.7116555078575213 22.64377906822689,73.81693670798309 -7.429110872071483 -14.226050076020737,6.692290214888688 -5.562894253270441 -3.347212099725544,-9.683438811565892 -9.241475560568517 -45.95367915244249,23.41371454032195 48.5013258361723 10.671782238494401,7.616736727603604 5.103006710404774 -6.636017532209949,23.07277389559392 -2.9061040620616936 42.089542545485095,23.79057793602587 -49.624479169424895 -11.084451519998057
-42.79984788907211 -31.15963388701246 22.17638294948222,-23.961553237659476 -13.840121650369829 8.027046328507225,-30.121608708561077 -1.9427784869555715 20.845217784119864,70.50772948330341 -5.146420334984209 -13.698967023838277,7.572256777419453 -5.903720680666937 -3.865134481046434,-12.364110134878969 -0.1544101769929932 -46.31599928025824,23.833907739539136 49.85067929447488 11.186332649537142,8.525475780574435 4.931180916147056 -6.380079713927035,20.965839279983182 -8.620509841932154 39.98134348818162,24.171104357017576 -50.80156607929956 -11.562431070907842
-42.683305553089674 -30.107420379018794 22.728124273045854,-23.0289113168128 -12.79769729919174 9.188546554955535,-28.729522620521475 -1.9954487282505398 19.42488830921142,67.72793535966191 -3.4883101591295405 -13.203695483976489,8.38754126279614 -6.215786237413175 -4.101434481809603,-14.343792740146869 7.265069325200852 -46.65911105163194,24.255032179244196 51.24071704897074 11.735383641939364,9.320229834899443 4.761665355416833 -5.986953248233192,18.447898332827496 -12.476078756934054 38.8263130966172,24.383174426586052 -51.52259066669937 -11.874842294133623
-41.31576182115129 -28.812317594545753 22.689661723387395,-21.95526876961068 -11.906267093007779 9.69322433629633,-27.91312106023047 -1.6152624292653954 18.983700352120085,66.53651565230925 -3.305632498682484 -12.7118323447839,8.715594460440295 -6.35484551320986 -3.595884151541593,-14.204508963491627 8.076135756122488 -46.99777076185401,24.16089439831843 50.966572618403866 11.63045026657036,9.540637464362744 4.624556481050763 -5.523336185324513,15.972573012915694 -11.597413633131017 39.30173445427996,23.944172490534413 -50.24876976487537 -11.40341135088583
-39.05241812364655 -27.56906615432544 22.140494288165,-21.009533305270065 -11.362275059102476 9.562462970318746,-27.80350200176209 -0.9707702583261937 19.536780087323056,67.10554378021129 -4.54325679651944 -12.403452296474567,8.475817745130138 -6.3086593792732 -2.555277914713781,-12.112843078775738 2.5846756903730985 -47.19567963853982,23.57850634131813 49.10210380472317 10.89405863572255,9.149788568682725 4.53544423660434 -5.155583906942251,14.089293548002711 -6.585517508273571 41.11918890282526,22.993786925806603 -47.37474174165436 -10.295686656923172
-37.12681656013132 -26.885055273445886 21.55174348191494,-20.645182689849133 -11.31419945545977 9.310804337925385,-28.20208261403747 -0.5650128343559793 20.635991757053517,68.90570540291353 -6.429563763837018 -12.623502928026738,7.858041207494519 -6.169384753275133 -1.7139191752362752,-9.488516708821036 -4.754105283158029 -46.99707829211804,22.964469333810815 47.127857400503856 10.11103192018206,8.445655931834892 4.498446215988466 -5.1288649489760765,13.423259321545753 -0.7906749984689359 43.22654076419302,22.163849966432096 -44.824174962714864 -9.304860653006726
-36.73627424574708 -27.238913909544756 21.387157255623762,-21.28582614394688 -11.891514305939996 9.438453982865793,-28.902338795639903 -0.8777845623808762 21.829811256693496,71.37974480912979 -8.19274848218865 -13.689697200596987,7.062423989258656 -6.030237173487933 -1.780711724465477,-7.732576439182922 -9.545168043062255 -46.171062038553856,22.765803340897232 46.49384069416243 9.854440525885169,7.731168100841657 4.51661400429678 -5.666646227550066,14.544757825323238 2.5096975316162773 44.59037571579342,22.066649366661746 -44.463265009202004 -9.161852570834705
-37.9146145003767 -28.441305235166467 21.761342336191092,-22.680507880999297 -12.88177443303148 9.908350179803103,-29.718263364974597 -1.7631702215630811 22.845700459621273,73.80059693030897 -9.435506647349847 -15.30647397434117,6.346015910701293 -5.949799264772293 -2.695383069855181,-7.223925083639856 -10.745682773917983 -45.030047750376994,23.01768955969948 47.3176243488883 10.17352750641857,7.228300796886519 4.57845394608764 -6.531451588541438,16.92299727035218 2.8970444020692443 44.94205349337454,22.67710093389683 -46.24076373227682 -9.847587289186846
-39.64328507018927 -29.698719990502706 22.473108582924365,-23.968130711614652 -13.763270082845786 10.197475066078018,-30.482406613942892 -2.509302688974532 23.573013354195226,75.28760480037386 -10.099268291586979 -16.623568090782186,6.017324187684838 -5.95532831766446 -3.70194378735705,-7.4169404240145695 -10.344879827683314 -44.37788451671413,23.382802637244335 48.51159532717138 10.643736130013538,7.085808227739548 4.659316272912609 -7.068883678954453,19.031263977461826 2.5386382077355893 44.704668968432166,23.393620049865234 -48.371102650985904 -10.664622736669935
-40.89535209479986 -30.225881380079244 23.312944446084636,-24.297503575801677 -14.021944154806098 9.787672929064836,-31.03625487608174 -2.412049904834761 23.90800743511943,74.99966053217243 -10.147614469012783 -16.81081005441545,6.373761988523594 -6.07104647845226 -4.046386673966962,-7.74987184252745 -10.37306671233636 -45.00021666378492,23.519700512767404 48.97517906585085 10.835296343259008,7.443240209558455 4.734389633190748 -6.638326978800396,19.36647811966847 3.6123145185269974 44.31392408438372,23.61248540369851 -49.06135515502755 -10.912831376108855
-41.365910647999215 -29.970916338491545 24.146064325609498,-23.59701121327935 -13.603215882711831 8.707676367755708,-31.42340078975536 -1.4548595673628113 23.773110496906344,73.19776105162144 -9.7872775851954 -16.017871872190668,7.396212563599829 -6.274569551817007 -3.635945906622495,-8.081008479395486 -11.194106036887394 -46.80480166707268,23.314405329914152 48.352461222180224 10.608312872564888,8.279627929153492 4.786500427107158 -5.303300397704697,17.880518741907693 6.276549057964353 43.90443828947581,23.1855203095362 -47.86629691616771 -10.42393840451882
-41.49664240260504 -29.640300075077754 24.914950151846206,-22.601129113653144 -12.927608554477565 7.5517070706964144,-31.8964173424814 -0.332145111449628 23.117810738720735,71.28249291216362 -9.47641146656216 -15.407593445413426,8.738263422455518 -6.495321824862086 -3.0615871993500905,-8.70296563482097 -11.448736348834348 -48.79165144340109,22.88813995453464 47.057515074510995 10.122624451894824,9.408024380644035 4.806372582003158 -3.855406311454144,16.029709855923123 8.601775189258223 43.299508111977175,22.435586700874616 -45.7342439695077 -9.579611140633048
-41.754145271598894 -29.95569424927015 25.564143910548758,-22.06698746559843 -12.430129091807425 6.9254266613885855,-32.70609764337712 0.2447608489588532 21.904980550265787,70.67202238787219 -9.66931526642532 -16.149578472307223,10.04099164163042 -6.66137775567857 -2.930550422658754,-9.912478975441507 -9.74170215609555 -49.9406863546728,22.37220424818722 45.53618565613107 9.550382868102586,10.632410657190283 4.785764770053982 -3.1018656017792545,15.30736908515736 8.617352250695095 42.3208990674833,21.703749904896195 -43.666960473034855 -8.782174179782002
-42.30240551884061 -31.010046856085097 25.990404795616154,-22.290151583775117 -12.309648952315465 6.969344781210423,-33.74062295216378 0.06882881085533354 20.482738249941693,71.67334383097842 -10.329644940437802 -18.144084905626638,11.027743338728804 -6.728551015056598 -3.365187978330333,-11.50089552646911 -6.059101273780982 -49.92366055554224,21.873277696093112 44.115058558979065 9.015576756724032,11.711899656292909 4.73771570483442 -3.279232323471556,16.177508128666176 6.107251326867566 41.197792634224896,21.218979129267026 -42.32170620359278 -8.284178993601653
-42.947645697526625 -32.15300689931037 26.034000623403006,-23.02050005029691 -12.485867591819778 7.274043467530497,-34.45947536530537 -0.4707565618900517 19.65466054107413,73.27976459224831 -10.8409917589841 -19.790682124729354,11.519127501073923 -6.685450057777299 -3.91459231411154,-12.662064773915594 -2.0201414331336625 -49.23025119065986,21.468932254989884 42.979724471484126 8.585253694407326,12.352558689744003 4.700422505407873 -3.9493876224945024,17.88723805400206 2.929839550749028 40.641039277726925,21.07771754114708 -41.94844939424132 -8.161107239508611
-43.479878923769284 -32.70271900954529 25.53737277737437,-23.976426746495374 -12.863540223872139 7.405171710309049,-34.308076720623035 -0.9557588556920041 20.230171272037943,74.42004096996246 -10.56258539838596 -19.433146517811647,11.348030149143883 -6.523717801040735 -4.103585620210664,-12.571596878987135 0.6839987069611125 -48.39240622006594,21.23401361814623 42.305169350261224 8.32230846382269,12.265908421888007 4.7129413696273295 -4.639832612893307,19.61772957127931 1.0339582699419194 41.3717156791324,21.365283321311164 -42.764314616377796 -8.47506667801642
-43.878959501487564 -32.46442820191729 24.574832201634212,-24.877491454211462 -13.397638291521545 7.219458165284734,-33.18809903174477 -1.1973505590781595 22.14619018043283,74.50541386842147 -9.24334707827777 -16.73195951793201,10.631441089718791 -6.283652570716839 -3.8338157464882934,-11.098887002809242 1.314949853772625 -47.7304070363558,21.198775874787053 42.16133314214117 8.252755839170973,11.526753667511588 4.78900125152641 -5.073459679349843,20.73496421526026 1.117905922383107 43.360624082495605,22.018895510668365 -44.5887188923296 -9.153860033111012
-44.38155427917072 -31.902317052244165 23.53435734607948,-25.44483115715666 -14.111064532521233 6.967396985056597,-31.618418460478345 -1.3170429473241985 24.1593346499534,73.59981763964194 -7.159363266214817 -13.128809138904995,9.87067882623973 -6.071372546902052 -3.5166911360293294,-9.051865791207023 0.42328006604674706 -47.27819764446886,21.333150676033735 42.476052105174944 8.352720215603956,10.701341210107298 4.908069025305811 -5.237481768268056,20.85493111226499 2.188276893605457 45.56361370960483,22.77542823342637 -46.70307013875219 -9.943605439792204
-45.23640705925141 -31.523151609104783 22.821706546830814,-25.404691387779945 -15.029327543351549 6.923909006857621,-30.159056715466818 -1.4568214608517511 24.957420116713212,71.81992491608196 -4.628253829763146 -10.18108201784052,9.586922941310231 -5.9960020271152175 -3.5938014955990694,-7.2994471342501255 -1.3504974200262019 -47.04853059605655,21.602075802382025 43.165129088524594 8.594063887455354,10.382686369625919 5.047122096038008 -5.139721979966627,19.62384016976974 3.1400502690101946 46.87495458321783,23.359418992569683 -48.35546750488527 -10.57909768320407
-46.32312019932856 -31.582306471907383 22.57352866848718,-24.783113336528594 -16.044969632762264 7.152478011539323,-29.210110138274896 -1.6653957412416687 24.12702556012689,69.6668988744373 -2.2144580515062984 -8.80196460176463,9.85617074642597 -6.066707118972124 -4.146553788548059,-6.37233867691872 -3.458713059226721 -47.00217555004708,21.92776866404822 44.02757872844943 8.905405069251394,10.676876686973024 5.179691125853099 -4.898877496992309,17.43637162050986 3.37621551787364 46.81682620724751,23.608472379409097 -49.08685241974821 -10.88952101515971
-46.94912681750878 -31.945499493845702 22.50935289478908,-24.070821463747222 -16.844435363520727 7.388860342561959,-28.923790751496004 -1.846897941871598 22.647813451725632,68.23786303497211 -0.8649853073049965 -8.906133043073512,10.064387032865472 -6.1377187357388285 -4.698071725933993,-6.277028384304366 -5.4976050273400485 -47.0193286816478,22.16623009731547 44.68139393120971 9.148333651816687,10.93526164553415 5.273964325320495 -4.805500329345371,15.847334701372283 3.0871782044784513 45.884667781397106,23.535446972161143 -48.89207184601894 -10.85036336080917
-46.38010823416814 -32.445050691839 22.315470590042036,-23.79563502196919 -17.098897996310487 7.342914939734381,-29.42848910752701 -1.8939588817278266 21.61442755257757,68.6717214402711 -1.5512376969888564 -10.320497189313288,9.544291428962717 -6.051315805066993 -4.72748842490553,-6.972598349547938 -7.077848543704211 -46.97423119293208,22.16911272615099 44.73247237823379 9.179892357341815,10.450622628328903 5.29788574011757 -5.161958519370708,16.49756276185219 2.5315216618435503 44.65738230570227,23.16934470878326 -47.80855748172558 -10.451234516065114
-44.55314175895504 -32.92416184249009 21.91585661703204,-24.22660316187114 -16.70049856933478 6.9307825925139905,-30.627981806959067 -1.783318750437258 21.68508089412464,71.2545509901063 -4.478858937325336 -12.703562150156703,8.178202618696814 -5.773478993343414 -4.076630979669055,-8.210275128654331 -7.995152198164306 -46.82888781551523,21.909259067346664 44.09930230592006 8.966703306383778,9.087200977262366 5.238767041888854 -6.003828172206361,19.789594947388423 2.007665855491622 43.69072308799458,22.635173391506616 -46.19195672571013 -9.819907435097408
-42.600006503846586 -33.2453980461544 21.65742685778791,-25.17231189163756 -15.934574693724635 6.435668090591369,-32.0263607675165 -1.6413844295681397 22.741388810463143,74.75488284243332 -8.49087971937092 -15.414168683578508,6.826412036597554 -5.490307485056611 -3.2327148320054677,-9.371421011520074 -8.37447841104385 -46.70147229095291,21.575160503185273 43.256604792954825 8.67037742911153,7.726110720028379 5.118383226486234 -6.891947960356562,23.922513217143536 1.8849172283914262 43.49925019181851,22.228776485739697 -44.96415936933124 -9.330006666102001
-41.7710074029314 -33.27405620849201 21.928511786086265,-26.394202569960985 -15.126326995115676 6.177093337246703,-33.088418831082365 -1.6094955534581674 24.583914294827803,77.788976639212 -12.293924517846143 -17.78300157651005,6.4459289430003635 -5.409686966078523 -2.747570093044565,-9.802096873845205 -8.374250380014987 -46.7257035535444,21.376681655658377 42.73431343947852 8.471925213826994,7.349108130603591 4.962128140201791 -7.340170058382603,26.875216075799372 2.5380127566534627 44.58984979758133,22.26211396783193 -45.10072407018491 -9.37860133797739
-42.632965583927515 -32.98411058702451 22.79495190562027,-27.70115685266952 -14.50217282544932 6.249941314744902,-33.55981404207262 -1.7558325555973906 26.86574302764338,79.58774101202391 -15.193669253436411 -19.5446078151282,7.389011299905107 -5.605988693243318 -2.8903551215112535,-9.265661118991222 -8.082047731631683 -46.95359856179988,21.397186085470185 42.74841415882635 8.448900089442148,8.320570375848298 4.805184560417863 -7.15048275193985,27.653896948028923 4.0645021160654755 46.963143638010806,22.826519399777624 -46.88285566764968 -10.082346179414005
-44.35300000639118 -32.57209510142317 23.662162548149336,-28.99920908032199 -14.08623189467579 6.289058378487315,-33.76138651839522 -1.998753604349788 28.93794283233386,80.64082037435635 -17.7225835176385 -21.260601231457027,8.769450706847564 -5.88016056783063 -3.351346580571027,-8.38005312033251 -7.440369990812465 -47.269857314282206,21.460976629269304 42.871961380346946 8.466986426684988,9.740547850351064 4.702781954640659 -6.714946447873624,27.368540033722866 5.994284861618812 49.58297768249489,23.561506903741986 -49.1697962043681 -10.983637040842682
-45.928092824192696 -32.26145758614836 23.856025405424564,-30.206263694497977 -13.877664997446978 5.873808490818137,-34.083606143485554 -2.2383728885426573 30.116062209291325,81.59089093891166 -20.561311196236357 -23.591745962099523,9.551068957038908 -6.000061494478465 -3.7504063514041173,-7.866691079677377 -6.374446986991269 -47.53897350492607,21.361004642634132 42.60017223104801 8.366197935456022,10.555971521908713 4.712444502226107 -6.497143463339214,27.384838537970346 7.788445475826464 51.288351228971955,24.051890785842087 -50.64868925317281 -11.555371181164219
-46.70447394335402 -32.18131117931235 23.074932531773143,-31.23304586909088 -13.822814541917305 4.820338627385213,-34.6937305770757 -2.4030217003084275 30.124390824473746,82.77488088453538 -23.819969852299113 -26.605940745781286,9.165742186643314 -5.842677323526555 -3.837716505870075,-8.122598963159794 -4.94785614160597 -47.70396069417701,20.99344448108027 41.676088387232134 8.062488665805107,10.186535675095765 4.846964089371184 -6.756734069252026,28.540399870377236 9.101190710554185 51.505876978918394,24.056718836879355 -50.56968129849203 -11.498731668058731
-46.85392254723361 -32.23778135506073 21.897813246917693,-31.973310477645416 -13.743171221278319 3.504501715597374,-35.23139006015078 -2.4877307138043747 29.653397715851597,83.80699342808714 -26.260071107935598 -28.969673438093466,8.151729957913096 -5.542947379909629 -3.671509027602724,-8.778000019705923 -3.5511999002971733 -47.89343712756523,20.498468270982794 40.428557378829204 7.651319887355485,9.169449058395504 5.0133947354907065 -7.271349097914949,30.42454610686562 10.043228322812482 51.0511638912111,23.746890682013056 -49.513740981640204 -11.054521891178082
-46.66745501443717 -32.30481348381982 21.03032608224577,-32.31855839735396 -13.442416975643397 2.382794034120605,-35.26035127526996 -2.4971777418152863 29.53254248226238,84.19742798524251 -26.449389385091223 -29.1480611174668,7.206757359594655 -5.272986417730697 -3.3545278249617767,-9.352576008904443 -2.6219643520017675 -48.26260730103366,20.05146730640123 39.27101259410513 7.2540898669819835,8.2029988392795 5.103604295049332 -7.749092789502025,32.44630185691717 10.791066919905491 50.93982646331012,23.35274910279412 -48.25388195882532 -10.541410981708408
