-48.9 -30.4 16.2,-34.4 -11.6 0.1,-39.1 -2.5 18.5,86.2 -26.5 -33.0,8.0 -5.2 -4.4,-6.9 -10.3 -46.0,19.1 36.7 6.4,9.1 5.7 -6.7,35.8 12.8 49.9,19.6 -38.0 -6.8
-46.7 -30.3 19.0,-32.1 -12.4 3.6,-39.2 -2.7 20.2,86.3 -47.6 -53.9,9.2 -5.8 -4.7,-8.3 -7.5 -45.1,20.2 39.6 7.3,10.2 5.2 -6.6,30.0 4.5 43.7,21.8 -43.8 -8.8
-48.8 -27.6 15.8,-35.8 -8.8 0.9,-38.2 -3.2 18.5,86.4 -30.6 -37.7,10.0 -5.9 -5.5,-12.5 0.1 -47.0,21.3 42.5 8.4,11.2 5.3 -6.6,31.9 -6.1 37.0,24.0 -50.4 -11.4
-48.3 -28.4 13.9,-36.4 -13.6 1.4,-34.4 -2.3 17.5,84.1 -10.1 -14.8,6.1 -5.2 -5.1,-9.4 1.0 -42.9,23.0 47.1 10.1,7.1 6.3 -5.1,22.2 -0.1 40.1,24.4 -51.6 -11.9
-48.3 -28.8 12.4,-35.6 -13.9 0.3,-32.6 -2.2 18.1,81.3 -1.8 -7.1,6.0 -4.9 -4.9,-9.6 -1.5 -44.0,23.6 48.9 10.8,7.0 6.5 -5.1,24.2 -0.7 41.2,26.1 -57.8 -14.6
-49.7 -29.6 12.3,-33.1 -14.7 -0.7,-33.3 0.2 20.6,78.8 -0.6 -4.2,7.5 -4.3 -1.4,-4.6 -7.2 -47.9,20.7 40.8 7.8,8.1 6.5 -4.3,28.8 9.1 48.5,23.4 -48.5 -10.7
-46.0 -28.0 14.8,-31.8 -7.2 -3.2,-37.5 -0.4 21.9,83.7 -17.9 -20.1,7.4 -5.0 -2.0,-7.9 -15.6 -48.5,20.1 39.3 7.2,8.1 5.8 -4.9,34.5 11.3 47.8,22.1 -44.6 -9.2
-50.4 -27.0 12.6,-34.5 -7.8 -2.4,-38.0 -1.4 17.1,86.9 -21.7 -29.3,9.2 -5.1 -3.8,-9.5 -2.4 -48.3,20.1 39.3 7.2,10.0 6.1 -4.8,37.5 14.1 49.3,21.2 -42.1 -8.2
-47.4 -27.5 14.2,-32.0 -8.5 -0.4,-36.3 -2.7 18.0,82.5 -9.2 -17.6,11.5 -5.8 -5.4,-13.7 2.0 -45.8,21.3 42.3 8.3,12.6 5.4 -6.0,39.5 4.0 47.8,21.5 -42.9 -8.5
-50.2 -28.9 11.6,-36.6 -12.5 -3.4,-37.4 -1.6 19.8,86.3 -10.7 -13.2,5.9 -4.3 -2.9,-5.8 -5.8 -47.3,19.7 38.2 6.9,6.7 6.4 -6.2,34.1 8.5 46.5,21.0 -41.6 -8.1
-50.4 -27.0 12.6,-34.5 -7.8 -2.4,-38.0 -1.4 17.1,86.9 -21.7 -29.3,9.2 -5.1 -3.8,-9.5 -2.4 -48.3,20.1 39.3 7.2,10.0 6.1 -4.8,37.5 14.1 49.3,21.2 -42.1 -8.2
-48.4 -30.0 15.4,-33.8 -11.1 -1.0,-38.8 -2.3 19.8,86.1 -26.1 -30.9,7.9 -5.1 -4.0,-7.4 -8.0 -47.0,18.7 35.9 6.1,8.9 5.7 -6.8,35.1 4.7 43.8,20.3 -39.8 -7.4
-47.5 -31.2 15.4,-34.5 -13.6 0.4,-36.9 -1.7 20.1,84.9 -18.4 -23.2,6.5 -4.8 -3.6,-7.1 -8.5 -45.4,20.4 40.1 7.5,7.4 6.0 -6.3,31.5 5.8 44.9,21.5 -42.8 -8.5
-45.0 -29.9 16.8,-30.1 -11.7 1.1,-38.2 -1.4 18.5,83.2 -19.5 -24.3,8.9 -5.3 -3.2,-8.7 -8.3 -46.2,18.8 36.0 6.1,9.7 5.5 -5.9,26.7 1.5 43.2,19.2 -37.1 -6.5
-43.4 -31.9 20.3,-27.1 -10.8 1.9,-34.3 -0.7 23.3,78.6 -12.8 -18.8,8.6 -5.4 -2.5,-11.5 -8.7 -49.0,20.7 40.8 7.8,9.4 5.2 -5.7,30.7 9.9 49.1,20.6 -40.4 -7.6
-44.6 -34.7 23.5,-29.0 -16.1 5.9,-37.0 -2.2 22.5,82.5 -25.2 -33.6,8.1 -5.7 -4.2,-9.1 -5.2 -45.6,19.5 37.7 6.7,9.2 5.0 -7.1,26.2 8.7 45.9,20.4 -40.1 -7.5
-45.1 -30.6 22.3,-25.7 -14.4 4.7,-36.4 -1.0 22.0,79.0 -15.3 -21.3,12.6 -6.3 -3.5,-9.1 -0.1 -46.5,18.7 35.9 6.1,13.4 4.8 -4.7,19.4 7.6 44.7,22.1 -44.7 -9.2
