-20.8 -7.6 -4.9,-16.4 0.1 -6.5,-21.2 5.1 -2.3,33.7 -3.3 11.5,10.4 -1.6 3.3,-14.8 37.0 -30.5,28.8 72.1 21.2,9.9 9.3 1.3,-13.5 -34.0 18.7,29.5 -78.2 -24.2
-19.06653088744818 -6.136899764291669 -4.661635007198978,-15.964762560671154 3.567314307671622 -5.317946096059334,-25.836966561042896 6.509744551846438 -2.5437203963178243,37.13264372886352 -5.441122573018193 8.410256596549932,12.481927776342998 -2.0916779494416606 3.2380619064122107,-8.853102368962094 19.12133668595469 -39.594465739491326,23.735814731275372 49.558718233390266 11.070502160964521,11.760787197998217 9.560215535194693 4.282836520448137,-5.326649119508656 -37.06266497371164 17.664493236553533,28.19979546868907 -68.3209818053059 -19.437164794671066
-20.598420103966813 -5.631260114322011 -4.309949662473704,-17.007783002431776 3.923634605287453 -6.026678662416909,-26.951140714171643 6.148094089671307 -0.19108793792990358,39.3101747444737 -4.24590813590938 8.186001851295467,12.765841185568812 -2.215567516853214 3.57424983672221,-11.470638605146954 24.659051688781286 -39.909095050437394,24.077067705428647 50.667558982827785 11.5331056796111,12.075978597188906 9.322554045204203 3.954691658598199,-6.4746032872996455 -36.7374055893556 18.67002257485873,27.867585231655227 -66.38257866566407 -18.511071072611962
-21.850078902515765 -5.431894551523854 -3.9033210825841005,-18.063023699431987 3.9255658275213765 -6.553228741491176,-27.411580159935223 5.654371768720638 1.805472391468521,40.495146363670365 -3.1449226255857203 8.29448152533966,12.68471079137575 -2.36683409179542 3.6507660211472275,-13.732382769198972 29.99172612109024 -38.95083673477245,24.588167432992382 52.30900850228021 12.213663318213221,12.05995675852538 9.062539986547096 3.4029281690712696,-8.214585147780687 -36.7353381291491 19.422087674799137,27.634438757805203 -64.96322089425476 -17.829174025277794
-21.673599198699545 -5.782219472691419 -3.766218557984193,-18.31592382964643 3.480978289216354 -6.428485613035624,-26.374762165957335 5.381854023812701 1.3461017576811651,39.11227763723201 -3.2644755392623415 8.982156761654451,12.455299429353804 -2.3959322668840772 3.4446563689095178,-14.193196412121836 32.977230126535105 -35.606325791680455,25.07615281175918 53.92502273302601 12.884073497372707,11.881471277275056 8.985243110747831 2.987248617723263,-9.69224229708895 -38.51758034649632 19.29763008147003,27.63203698563431 -64.75165451277617 -17.717437640535532
-19.975549999536113 -6.608903684856167 -3.955951916530616,-17.63344232789031 2.660512191090384 -5.687584411811214,-24.02439744069865 5.396746504735298 -1.420332282953477,35.46676453050453 -4.54153689453666 9.993939521133987,12.039807454720565 -2.2911575294122475 3.047231438661217,-12.848614673711031 32.96979806215661 -30.82233889105602,25.491325381417152 55.41365544791386 13.510909068950552,11.493928892971143 9.098732833292154 2.763867121537467,-10.128522568571737 -41.37022363576413 18.511671680570313,27.8613511524758 -65.84284667775513 -18.221646902612882
-17.49642456290387 -7.588118854186394 -4.318550194376714,-16.42151223974693 1.6635329155143357 -4.764438823872924,-21.35657553383344 5.5382273693564485 -4.566576009155945,31.3509622036713 -5.972497683975295 10.678095854258897,11.199116647382343 -2.1498156673876263 2.6401670164753015,-10.833517164164205 30.50705121281451 -27.174898243928123,25.897284725103447 57.033661515727395 14.214699505175732,10.680434276843407 9.255282527259478 2.548986535581871,-8.80392434856268 -42.85925827026934 17.942023076387283,28.219981838766387 -67.86217957384288 -19.16600961059117
-14.99116886292142 -8.394029015382417 -4.697923045386366,-15.095318946149836 0.6939252588133287 -4.089806431376385,-19.35604501538978 5.645288075112239 -6.1984187442457355,28.529893241814417 -6.573529479255744 10.41419008456856,9.717118693499572 -2.06820978648702 2.4025728024694413,-9.275299037195188 26.200718112671797 -27.138114686063002,26.355658826224108 59.03013487973958 15.109111616791226,9.246262370158961 9.30932534082282 2.165505587984985,-5.088297568532603 -40.65843266688842 18.435656432983087,28.60285965107893 -70.40699321533383 -20.361408879851087
-13.053949792949027 -8.794189639032826 -5.008517851026888,-13.964422355444812 -0.02502222454814751 -3.8230239600385936,-18.35971733058009 5.6731136652847916 -5.9986066959644715,27.45564932886995 -6.239375168068597 9.395890454341577,7.928574694336431 -2.0657433346734084 2.416287144370947,-8.555502104703107 21.47007968450135 -30.35705783859915,26.830190402334225 61.19385078628463 16.0939586185592,7.51496546092239 9.239241905489283 1.692364267043145,-0.04666249240754494 -35.43146120919479 19.89388335141149,28.907869845918164 -72.78054923439804 -21.478171978339216
-12.13351019849751 -8.640628383135725 -5.228583090680902,-13.242844550364591 -0.2524703569846725 -3.8779290356445033,-18.118537786525444 5.68198582575536 -5.076237388002891,27.392781298989714 -5.6594419470209445 8.553219006828467,6.666504976194375 -2.092264321165901 2.6751668332414447,-8.381046756713351 18.464844818746002 -33.917940641671294,27.196085332006305 62.9046550024954 16.87562398657178,6.278875664188843 9.135522865226429 1.4400908764881324,3.7226856999134714 -30.546470768744427 21.36266916307705,29.035570149061872 -74.02011652017067 -22.05949396136379
-12.642772695112436 -7.803869628647577 -5.3399556485844215,-13.129048791998198 0.23767866142485744 -4.158468522033379,-18.36223588755801 5.734239240492568 -4.5579432909094635,27.5795173972909 -5.528058880887737 8.80280750078927,6.743672936058797 -2.0966279797883027 3.1660262832189607,-8.441844819485409 19.256381450235647 -34.92123843083875,27.331115147427152 63.55469556600929 17.166243008384768,6.310956296602721 9.089774611945503 1.712711163931573,3.6798493419152383 -29.34368146514588 21.89775433528027,28.89373784036519 -73.21220620313609 -21.672007504065196
-14.247082652302668 -6.532208384860867 -5.355999352107111,-13.525294583016834 1.2956945131515412 -4.543032731660952,-18.81801271955451 5.849827889810841 -4.742695849077212,27.656580079307375 -5.959939590964568 10.085370585367135,8.038774402576474 -2.064684086841073 3.7810147365182107,-8.60621750871858 23.357567350271825 -33.0699141664747,27.253754454182054 63.198807893416564 16.988932375729863,7.497779765211403 9.122133357200603 2.4513068018542894,0.06302425916164991 -32.09906931569922 21.54722798471512,28.564286454605426 -70.88139659046513 -20.56728173571487
-15.838781578913673 -5.464559032774671 -5.322677266873186,-14.02756317857431 2.383236088571215 -4.883586195581157,-19.210454953309057 6.004883596895027 -5.073655054730654,27.680875653407192 -6.4704683611641745 11.332512884726865,9.464668108262464 -2.0205352203378553 4.3143965094080805,-8.926963493842468 27.635770699860593 -30.757934303206824,27.12796652744983 62.577054118759435 16.688367291244454,8.809379619294768 9.178834286757155 3.221670925307157,-4.017011650434427 -35.92014509393596 21.385279662742402,28.309188507822316 -69.0392447401742 -19.705118314275236
-16.30039421368354 -5.236967817300537 -5.287947543685991,-14.225873120382099 2.958974877419397 -5.035781540875813,-19.27278102665944 6.174418692653009 -4.970593433706886,27.72729795347274 -6.561450004430254 11.460082001714365,9.914319535297233 -1.9895736139717293 4.563853863290007,-9.458837535421399 28.90698476723664 -30.44109756524641,27.119953778823433 62.44169077333959 16.61505790988514,9.196393275376924 9.203886230745299 3.58475673098114,-5.391913143227188 -37.825155280985115 22.505200444281932,28.390187822205725 -69.70078356133938 -20.046770146975117
-15.33508748622228 -5.822261806646208 -5.315352074856389,-13.969584523631053 2.955974442969865 -5.01105845439169,-19.016055785532956 6.362096666034899 -4.364416236849244,27.832141845966348 -6.1814897591653635 10.361836016167084,9.063914236704527 -1.9821000647012075 4.578951744984129,-10.048472760373091 26.23137556439131 -32.596362099754096,27.253892124902464 62.92838418271886 16.833734858254836,8.336248444623463 9.17887040901318 3.4975862584431656,-3.2735381366902434 -36.63972713608884 25.103655568299487,28.798022295156063 -72.81329725381725 -21.562158569380603
-13.616235508135102 -6.409174811772598 -5.4868566871469735,-13.414665011605521 2.86815008381771 -5.005036434746248,-18.779828991229877 6.605453940644006 -3.790317217675904,27.9860684292782 -5.807424273904769 9.087671186874058,7.515602511492661 -1.9905734641217088 4.707044312164835,-10.29644974562642 21.3222904018758 -35.36119466381453,27.38604614771362 63.44383468385811 17.071264887615975,6.765623278292962 9.12978813430034 3.385435361403569,0.31225170291666465 -33.32627034453337 28.317271154055398,29.203032094687483 -75.87946666833058 -23.049199600655765
-11.868924900100097 -6.153712965058699 -5.883707939037712,-12.73332267515661 3.2145433406444455 -5.21841090104284,-18.90863441441706 6.941154393433291 -3.8080265594650493,28.169739575692088 -5.93620950397304 8.73490814461636,5.923279062997725 -2.006182928578461 5.304200994582552,-9.797555458844187 16.04072691399819 -36.77675335294005,27.366036587371436 63.36504076727243 17.04066334349322,5.070609247360125 9.085194720211692 3.6922684863324013,3.2000255678632277 -28.9755601241072 31.230027096849646,29.262788317517668 -76.30549236086149 -23.259680530608694
-10.634202531732518 -4.747289024797355 -6.511088036628247,-12.035259924507903 4.204447844751437 -5.61470993707796,-19.150454561219803 7.285204147991863 -4.53537073386404,28.04969875656634 -6.621830543288035 9.575913540947381,4.86714071979936 -2.009903587293302 6.3647127067446,-8.505540131574275 12.010335839077555 -36.53886812527721,27.173696505593963 62.597683740394494 16.696352147898835,3.828500983839362 9.073169970934906 4.505792082541375,4.202560618098246 -24.89044594098209 33.29139540067074,28.879412748149765 -73.40384538275839 -21.864694707144345
-10.204150770694076 -2.605600819183268 -7.271281178944056,-11.345623004397883 5.628137784386935 -5.83662742005235,-18.446271886912125 7.390386451874746 -5.49237961237145,26.867557705473054 -7.319032271340222 10.76707633571575,4.827687616812866 -1.968893335969488 7.393465181153652,-6.859750773759768 10.533690803510925 -36.58176881616333,26.96500702781372 61.76263417517789 16.319322171870787,3.6046929698162504 9.12115043307575 5.431775440020492,3.455929975849105 -22.660666149849725 34.44527691046167,28.285849397455262 -69.06575317754448 -19.77895036883775
-10.845944257796402 -0.19718866720187694 -8.058867420877897,-10.684761401138521 7.244289169354211 -5.5104995713635025,-15.702508990524581 7.002513508566676 -6.159867304312855,23.85396222420432 -7.4461682996779635 11.395686571065083,6.265811791709443 -1.8500349884971639 7.866364022685443,-5.3307981884697835 12.85936974852369 -38.96585815855879,26.906285730789346 61.52280470357054 16.209813999027716,4.950253142665487 9.25576600592481 6.0451697437656255,1.1956351058116421 -23.868217349378188 34.671157263398754,27.737062079328798 -65.35100227851612 -17.99834890433736
-12.39262807248203 1.9235710083188091 -8.7444183991272,-10.145341846552741 8.700281409314682 -4.647628721945281,-11.188991628869323 6.144297327322711 -6.211704068097897,19.39137664068877 -6.790266362575848 11.156022377977989,8.890525357590732 -1.6625537276298006 7.6048725177344565,-4.196975329997489 18.363669490940538 -43.78861949072204,27.03382674577823 62.01765703810437 16.432201374863133,7.6073392201374475 9.457987369009837 6.124399082557733,-2.0130088447627252 -28.408737642850635 33.9778486443594,27.4002385863574 -63.450060836099 -17.093853680299983
-14.004346474071408 3.0692558235947223 -9.161292702186643,-9.932122803005441 9.470984183709849 -3.8560146725129165,-7.288820453319976 5.267644616341889 -5.620997193216467,15.647583998366668 -5.709799084534071 10.68319342513747,11.245426544475553 -1.4813054078590233 6.966068359049185,-3.4384824870333746 23.52085110476515 -48.10501108912364,27.18238786351082 62.57530396621644 16.68526444577655,10.064298079564828 9.63801341122619 5.763270546044628,-5.093475520661404 -33.56400946570369 32.41961938715772,27.306513878101395 -63.205953507269584 -16.977774129295526
-14.790273648830732 2.5487835261534797 -9.142031553574181,-10.257636043634134 9.022601696234528 -3.79047673717668,-6.547188672428791 4.85786968319755 -4.389043844683008,14.925996851533274 -4.610841993289248 10.689148196237166,11.785797481095466 -1.3860446441224237 6.351259031823874,-3.0108509528056118 24.586592676880727 -48.73228406174625,27.170515599792694 62.4587077065411 16.638415919679872,10.713838081006774 9.700855821238118 5.083088637735022,-6.932700041399631 -36.411384555056316 30.05664011326254,27.474708010102507 -64.34479987416248 -17.505420394040968
-14.48123977252052 0.3710501480136179 -8.733510178690581,-11.16636444364268 7.3764757266066 -4.70038334230189,-9.738468581753441 5.084473944403066 -2.737346434371627,17.916398515722587 -3.759775504782812 11.517822018865775,10.040008081850441 -1.3893700360702947 5.995899149935553,-2.957133243980553 20.608817132052653 -44.64702017129166,26.91792670128176 61.348292655694614 16.14822282015038,9.04707735107213 9.632511759575188 4.238218770302211,-7.08627749594325 -35.86400502165942 27.12819813910849,27.86866430121612 -66.50316868120014 -18.501451991313612
-13.91426800230742 -2.2094862983444843 -8.363996040068145,-12.403759718608493 5.541776211417359 -6.1136316602036,-14.485981576698371 5.554992054417003 -1.2792470775639297,22.4372329022407 -3.1744024376740003 12.858296769140345,7.445912279632094 -1.3843807913653445 5.840319842089986,-3.4761197205455288 15.604050117824361 -38.66817776035829,26.52436320384312 59.667327708038464 15.404280073540589,6.509676713615552 9.56308632119893 3.441855912146135,-6.299636221314106 -34.10167244864598 24.192306304847907,28.354398845448557 -69.15827927405381 -19.735987811140436
-14.03644647515558 -3.8148723923636076 -8.498837101184026,-13.684596000536912 4.625155808728306 -7.484792440593493,-18.0963672210475 5.820564432391493 -0.6655507620124084,26.01803617937868 -2.8467090872202183 14.332439330345673,5.632908821139576 -1.2524812487448738 5.7945269670302775,-4.779985062476039 14.082420841073874 -34.0011820188154,26.10802250889098 57.915171108243165 14.63028450408392,4.743444544477353 9.636857125275517 2.9124532930789213,-5.438586765322633 -33.63138988455182 21.83842079142182,28.788197567507318 -71.77164165339333 -20.973766229605307
-15.209291677343446 -3.7909947403322577 -9.2733399219733,-14.74541731015626 5.091438213084631 -8.422766459422753,-19.078182185179973 5.659038688097375 -1.1144286398194347,27.233790427073778 -2.7402567703374916 15.604823883942162,5.449019307671693 -0.9671637338041594 5.782837167597681,-6.686597883914023 17.810613507281214 -32.4311199418705,25.77201448338127 56.519522856387766 14.01632230054662,4.602603041054554 9.897290061698756 2.7494068993923046,-5.033778562418241 -35.55180920594124 20.4474723334725,29.078653594370216 -73.91064558639454 -22.015223713207842
-16.595131611912134 -2.9660873656025233 -10.14692135757455,-15.367350085747738 6.091049640335877 -8.852505978173705,-18.40138158720921 5.312534654420594 -1.958063764853972,26.80043980159616 -2.760395470412731 16.427484617458525,6.142088021950216 -0.6905069785249125 5.75887405095882,-8.20632989838391 22.93702863927372 -32.834376910938786,25.58855132779033 55.761334486257745 13.683648643705869,5.328481642633085 10.181399317010557 2.808296140690153,-4.9294867208668505 -38.07742882360815 19.973353721830115,29.241479642017453 -75.35951134501126 -22.73390262223538
-17.21111034686251 -2.3484117549879353 -10.497347496215074,-15.337733426512955 6.615178321574979 -8.738099053616853,-17.336061068695248 5.079623583949884 -2.4213933510638688,25.69562359572017 -2.8054994837724685 16.563777019353452,6.765310475362235 -0.6073107056087873 5.680061268262745,-8.253539770261304 24.93063451792126 -33.733039396101105,25.625781104980152 55.902491486348694 13.744616263374871,5.966210628564086 10.301239985056696 2.9150679225610427,-4.886486594763072 -39.07355158241562 20.3171264268699,29.305402731279777 -75.9290561712955 -23.01237746962413
-16.53586027177887 -2.532980766171104 -10.012339712063003,-14.654806820382005 6.131216717033099 -8.165950889718395,-16.804578691485343 5.1481068631295 -2.075740090221607,24.770301579525754 -2.816452754711286 15.948378766057948,6.730924984137944 -0.798778336548428 5.563018710013926,-6.5427767228764235 21.63649701226533 -34.16793002641812,25.873260915049833 56.897800492592374 14.178820712884123,5.921792959222667 10.158305587488178 2.9576032760607953,-4.817375688549591 -37.51107199331623 21.227905878296927,29.2706560831 -75.44335312531196 -22.75582212655993
-15.138876489134429 -3.1379731754767346 -9.11228941291927,-13.815334548736544 5.232205354273849 -7.511599066676574,-16.907312974635076 5.443948880505006 -1.311210128356121,24.575989395623413 -2.834623221890653 14.920937666526262,6.2998726156205205 -1.101233115166182 5.564293903530071,-4.68007455922188 16.516284058823743 -34.40605616237936,26.13477511621431 57.976197399426454 14.652047104605353,5.4542597940043684 9.86550354621978 2.970182664187056,-4.993627593147433 -34.97427404606805 22.095638568302437,29.070119483041168 -73.75780927260817 -21.92283066165673
-13.747037884517617 -3.6408004384233217 -8.32309149383274,-13.387735129839976 4.673248296153681 -7.19199859402628,-17.625763674571935 5.8552928105003295 -0.635959913906391,25.620333569143018 -2.915876344935556 13.879393576463649,5.855605354432939 -1.3157603037145995 5.860389322414155,-4.5432076708804034 13.840237572237921 -34.89125622719197,26.187432247321038 58.26237754000019 14.785012508359912,4.945797968550412 9.566221373921406 3.0081985337179136,-5.738185019651561 -33.42377790472557 22.258916638328497,28.627090263946556 -70.73307100638877 -20.48002949355966
