-18.7 -8.2 -6.5,-16.2 0.5 -8.2,-22.1 6.4 -4.7,35.5 -5.0 12.4,11.2 -0.7 4.9,-14.8 40.5 -25.9,29.3 76.4 23.3,10.6 10.0 1.8,-13.0 -36.2 13.6,29.7 -81.2 -25.6
-20.6 -5.5 -2.9,-19.0 4.7 -5.8,-24.5 6.3 -2.0,38.0 -4.9 7.7,11.7 -2.5 5.0,-15.4 33.2 -27.6,27.7 65.1 17.9,11.0 8.5 3.0,-4.3 -40.6 17.5,28.6 -70.8 -20.6
-21.2 0.5 -2.4,-16.7 8.4 -3.8,-16.8 5.7 0.5,25.8 -3.7 8.9,10.1 -3.8 6.5,-11.9 30.4 -30.1,28.4 69.6 20.0,9.1 7.2 4.5,-3.7 -35.8 17.7,29.5 -78.6 -24.4
-19.4 -0.3 -2.0,-16.1 7.4 -4.2,-18.8 6.5 -2.2,28.0 -6.5 12.1,10.2 -3.7 6.9,-12.9 32.3 -27.3,28.9 72.4 21.3,9.0 7.3 5.3,-14.0 -40.7 19.4,29.4 -77.5 -23.8
-16.0 2.7 -1.7,-13.8 9.8 -4.0,-19.3 6.1 -4.0,27.2 -8.1 13.3,8.3 -4.3 8.3,-15.6 34.7 -30.6,28.3 68.7 19.5,7.0 6.4 5.4,-18.1 -42.6 19.7,29.1 -74.3 -22.2
-11.9 1.4 -1.0,-13.2 8.1 -4.0,-19.4 6.0 -0.3,28.1 -5.7 13.2,4.1 -4.8 8.3,-11.9 28.3 -38.0,28.1 67.4 19.0,3.0 5.7 3.8,-14.6 -40.6 23.2,28.8 -72.0 -21.1
-13.1 9.6 -5.3,-9.7 15.9 -5.8,-17.7 7.4 -0.1,22.4 -6.8 15.9,8.2 -3.6 12.1,-5.4 18.5 -32.7,26.5 59.8 15.4,6.2 7.1 9.6,-7.8 -35.9 21.3,29.8 -83.0 -26.5
-10.1 5.8 -7.5,-10.4 14.4 -9.3,-11.3 9.4 6.3,12.3 -2.1 18.2,4.1 -2.4 14.5,-5.6 18.2 -35.8,26.0 57.5 14.4,2.1 7.5 8.5,-14.6 -41.1 18.8,29.8 -82.9 -26.5
-9.7 6.0 -2.6,-11.1 13.4 -5.0,-19.8 6.9 1.8,26.1 -5.6 14.1,6.1 -4.4 10.4,-11.5 22.9 -39.8,25.0 53.9 12.9,4.5 6.3 7.3,-16.9 -45.0 25.7,28.1 -67.7 -19.1
-5.4 2.3 0.0,-8.2 7.0 -0.3,-25.4 4.3 -3.0,32.6 -7.5 10.4,3.3 -5.7 5.7,-13.7 20.4 -39.9,25.6 56.0 13.8,2.4 5.4 3.4,-17.1 -36.9 21.7,28.4 -69.6 -20.0
-6.1 8.1 -2.5,-8.8 13.9 -3.9,-22.7 5.7 -4.2,29.2 -9.1 15.9,6.3 -4.7 9.5,-11.7 24.3 -33.0,27.0 61.9 16.4,4.6 6.3 7.8,-17.5 -44.8 24.5,29.5 -78.4 -24.3
-7.6 -0.2 -0.6,-12.7 8.5 -2.8,-25.3 6.6 -7.1,39.5 -8.8 8.0,7.1 -4.7 6.9,-11.1 21.6 -38.4,27.4 63.5 17.1,5.9 6.3 5.0,-6.5 -39.7 21.5,29.0 -73.7 -22.0
-8.8 2.4 -2.4,-12.1 10.1 -3.7,-17.7 7.8 -6.0,28.9 -9.2 12.2,6.5 -4.0 10.1,-6.8 23.4 -36.8,28.7 71.0 20.7,4.9 6.6 6.5,-3.9 -40.6 23.8,30.0 -91.5 -30.8
-11.4 -5.7 -0.4,-14.5 4.8 -2.6,-18.8 6.6 -4.8,31.1 -7.5 7.4,6.8 -4.3 4.4,-11.5 20.5 -34.0,28.3 68.9 19.6,6.1 7.0 3.1,-3.6 -36.7 20.1,29.9 -85.4 -27.7
-13.9 -6.4 -1.6,-13.4 -0.7 -1.2,-17.4 4.2 -1.0,26.3 -3.4 9.9,6.1 -3.7 2.5,-13.9 30.1 -31.0,28.8 71.8 21.0,5.8 7.2 0.1,-7.4 -30.8 14.9,29.9 -85.3 -27.7
-6.2 0.1 -1.6,-10.1 7.8 -1.5,-19.4 3.8 -2.5,27.0 -5.3 12.6,4.5 -4.8 4.6,-13.6 19.9 -33.1,27.0 61.9 16.4,3.8 6.3 2.6,-12.0 -38.7 19.8,29.7 -80.8 -25.4
-7.9 -0.0 -0.7,-11.0 6.8 -0.6,-21.3 3.4 -4.4,30.0 -6.2 10.9,6.0 -5.1 3.7,-16.5 26.6 -31.3,27.8 65.7 18.2,5.4 6.2 2.6,-14.2 -39.9 21.2,29.7 -80.4 -25.2
