-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
-23.57182841779127 -14.229380971024224 16.718568759667757,-13.78900105821923 -5.645623716792078 6.324579529913965,-26.7809596101294 1.9309604568696235 13.66721544314162,40.47801430473632 0.11905885154771084 -8.195685541046776,11.701478749527787 -10.004305589299005 -5.439480031889622,-10.642373634938215 2.837904286730554 -49.76771569397969,18.780601179721398 35.956632167287644 6.1002127750487825,12.547492147997902 1.9927882082839457 -3.27898282261141,4.807685968403412 -8.271524387926597 36.61473921097567,19.443850430634402 -37.753703899371715 -6.750467442792136
-22.728410291573887 -14.588091998917498 17.402669943848473,-13.362174050801784 -5.741009416095566 6.7273553082451025,-28.09199594023297 2.278684359685538 14.432038713262752,42.07582501304969 -0.5687926966203878 -9.45253723576489,11.264072556931032 -10.110905003028568 -5.236267429654151,-11.34635639977256 -4.906667803348885 -49.65109473592889,18.91821552040711 36.33099456161274 6.209519140532004,12.064320004991593 1.8215595972970227 -3.232354363820571,5.727619565983702 -4.971471766135428 36.69280997994268,18.96602028103668 -36.56837217357071 -6.358657794176333
-23.128340719529067 -15.213710967218633 17.686500968389232,-13.974361092181354 -6.130105882899938 6.180474439800173,-28.800949018289565 2.2003562646128842 16.890652766390392,44.307141274314425 -0.3028353573459451 -9.682540259558191,11.089960311074972 -9.947429973428806 -5.078933712621148,-11.240762757312833 -9.545373807211726 -50.13443360637675,18.63392792150011 35.71661737990034 6.023452808108337,11.918567416016959 1.769996236803886 -3.8033211413203385,8.075192313911655 -0.3647048399215365 38.299746530590554,18.78235050404221 -36.07375184871232 -6.170683262713666
-24.40924645786559 -16.029249350739498 17.621342390943727,-15.345626793030098 -6.782406955348086 5.046411658134494,-29.169476247138764 1.7832749736125304 20.059319036848322,46.921554769981704 0.516694988353291 -9.140306257501704,11.158436326048013 -9.607675681099437 -5.064932704765111,-10.524359503859017 -10.808811403849013 -50.824792442784904,18.08026848340215 34.44780583673293 5.641157664404176,12.079374947782089 1.8299166601703099 -4.787797756473178,11.018123811425978 4.180614004958173 40.56286279223244,18.908529504019384 -36.32739921901089 -6.221743814194035
-25.747621189114028 -17.019663695284894 17.43798408971502,-16.92722695685322 -7.71410700091117 4.111900969363184,-29.944831766454694 1.235971932260102 22.28297637979978,49.88689449773756 1.0249044653813306 -8.628663691109747,11.28216987303022 -9.266484382157206 -5.356385633389616,-9.743953962767085 -10.1834391457134 -51.0167278913319,17.645269711639145 33.417331203695525 5.333787944178555,12.341461288224892 1.960240323301897 -5.853821358767002,13.283018900692959 7.0369845079844175 42.028903523047155,19.275523952937192 -37.195021588331464 -6.4957895364708556
-26.404839180859405 -18.147705005147373 17.336137399655534,-18.19622360026887 -8.912784084308479 4.066154523015211,-31.722470768188437 0.7540702531821519 22.126039750680267,53.077959665522826 0.4897813320743711 -8.847428244681934,11.291613534121819 -9.078314081530147 -6.077471371799636,-9.387015680680259 -9.105125246261093 -50.1177168565789,17.676790307707 33.42966603467612 5.346160806079285,12.51558090438414 2.1244538213849906 -6.688055761244236,13.746724935656358 6.814081033259814 41.45378863823334,19.807657360047788 -38.52060543683075 -6.965147151530079
-26.417692963525827 -19.175893298513415 17.231121435989063,-18.871182254356338 -10.10946038922318 4.712204893583717,-33.72627299431955 0.4129840539626773 20.134618227494478,55.53253139352695 -0.618262698206882 -9.555863505500696,11.182809615823833 -9.01273285855762 -7.012078472411403,-9.397791213887961 -8.48132169202735 -48.55334471445553,18.15491348937841 34.47911514215603 5.681199532541298,12.562887079606385 2.328128176231389 -7.148520535469512,12.641834420316684 4.242223796309177 39.4794725383365,20.373969794184283 -39.96356999719824 -7.501076774635444
-26.229315603850335 -19.761822039501915 16.889225954397848,-18.79722294638169 -10.900715748299728 5.388702139639166,-34.461374857396 0.22513462643459525 17.893283213888807,55.84977025999453 -1.1987128889913716 -10.02035784517727,11.038574003034297 -8.942421376944115 -7.765773982824187,-9.435863303270267 -8.942575806176027 -47.28271373378195,18.866997986932482 36.135433118015314 6.2150683494985,12.523346221210238 2.598887808837479 -7.183030392166657,10.91138767474814 1.1630098730212297 37.73624366374618,20.81453127806966 -41.086616178715616 -7.9218768342463814
-26.243605692557104 -19.607686571985937 16.1100824674112,-17.874831226187922 -10.925171466073941 5.481816128293751,-32.61684766898243 0.2038938053621373 16.862861527636017,52.83173473818438 -0.27140385970935865 -9.579534935527963,10.93562162592813 -8.752109005340102 -7.981166959280993,-9.190091158327121 -10.962241462240085 -47.17537205598385,19.608416570465742 37.979047513741996 6.8259710948797085,12.435440303852891 2.9579720051984375 -6.758779378698856,9.452891736975534 -0.7312337566361311 37.69715555929639,20.98925900868792 -41.506643094179424 -8.067452883287588
-26.410407012901523 -18.89853589014143 15.060863684468234,-16.579905822754473 -10.2799005840203 4.925065115970607,-28.89971013124829 0.3785939934554799 17.094791893526033,47.47341560503667 1.8085627321917057 -8.38416608989112,10.8778606402557 -8.463359444949358 -7.710387366481197,-8.686415584223894 -13.372272244187215 -48.10123844008113,20.277527442614563 39.743207812364524 7.425574171747325,12.314551702544604 3.35683919321218 -6.040124649822407,8.614610890404668 -1.4350951058980947 39.07534329970666,20.97127910004099 -41.42441905712619 -8.011824992651851
