-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
-49.59718372131779 -30.570149398898156 16.318957989265378,-34.76305135412545 -15.619389723791269 2.294674198485903,-37.72351576701127 -2.9760046088086978 24.113743199241934,85.30261946910547 -19.027985693136667 -21.201599576300552,7.420718658582251 -4.910257356867925 -4.028215417054747,-3.3652750400810807 -14.400643429602695 -45.658081073775634,19.16938830567106 36.79621455475123 6.3824937449452275,8.465134269921746 5.638993534764103 -7.425963448744568,28.16431141835373 8.457880678024559 48.416357668060435,21.800496995304783 -43.888598147864 -8.88206878494141
-50.7730407113957 -29.17315332121213 16.651732418320496,-34.62357639179533 -13.657375510170183 1.2536754235945553,-37.165964899641644 -2.624307808324961 24.132218835618076,83.96708340358273 -14.637738017441977 -17.039329009347643,8.373326849407059 -5.2290835230368025 -4.071219293614317,-5.228800743152928 -12.489511265407254 -46.85164431291729,19.451835044253006 37.53834548097547 6.649244749442975,9.360521911442214 5.601706380616498 -6.3549037241054975,26.120379015383108 9.418422267767859 47.778223701889175,22.5910982124904 -46.05066293170494 -9.694868031428095
-50.573952558751905 -28.740024045136856 17.088591953237415,-33.513567960694346 -12.06978405494158 0.13065986977687738,-35.635543015979714 -1.7975097729581788 24.6039710343554,81.68145362394333 -10.545546602978566 -12.700200365072726,8.457837136231085 -5.32898029949063 -3.558649625293265,-6.710700711472246 -9.818497157167878 -47.91832515889627,19.97084073578152 38.9366515643265 7.142881119082485,9.302617549580663 5.67818194216119 -5.231939822869353,25.44328807651221 8.640936825583314 46.54866171521764,23.149551226479 -47.60254746019637 -10.288675153312768
-49.56772551014124 -28.87643139013808 17.312871100839278,-31.984292868103527 -11.261934781892553 -0.6527376841569441,-33.89656081461277 -0.8668850397707379 24.967829041565718,79.19747170939469 -7.162640989904883 -8.91147656355776,8.052548231680802 -5.281112707713355 -2.8983016525093817,-7.4444683936504115 -7.911683452137105 -48.68209872670652,20.55906501291481 40.524584151744534 7.697195718580398,8.739322230497937 5.8318976363243165 -4.269432335632832,25.26830003664546 7.35807605839958 45.44600861180125,23.47170305354032 -48.519530727206046 -10.647606708953784
-48.5376869639646 -28.995210657333672 16.941657288509504,-30.728868694466172 -11.571008421992188 -0.6636452637225265,-32.86672987175744 -0.2767564023556205 24.520960527894516,77.40713477520127 -4.755515823623244 -6.363701755825334,7.685013987070469 -5.194423287853664 -2.601666397307138,-7.132149635027419 -8.46865672137473 -49.006231942822254,21.027498891249984 41.77183555500858 8.12404867249124,8.282492545031877 6.013889757173711 -3.671579158453299,24.494302550316853 7.159112242348201 45.347955824938175,23.60456976159363 -48.91440543390244 -10.805822965734071
-48.07349105873651 -28.707260238347036 15.80875268375135,-30.260086966857365 -13.035719187638337 0.26678821909569306,-33.09974644561965 -0.3138541822331845 22.920113013346764,76.96864405030888 -3.4995398130036466 -5.466888782109461,7.690210803135745 -5.148220692354872 -2.96145300482155,-5.7744048229213805 -12.11553183497715 -48.81407844168922,21.250353787052468 42.32943413732882 8.30132888550402,8.317847569580408 6.177721314545992 -3.5613401839729204,22.548905689088155 8.893381168076294 46.68005442766413,23.593333705066325 -48.89959726271514 -10.80078410841597
-48.148925103267025 -28.25330469544928 14.437096509054815,-30.51731552512701 -14.74567954804967 1.4678467049400508,-33.991764653592426 -0.7637761428330089 20.965471692186124,77.79674691056313 -3.2803078402715715 -5.738981391074605,7.790732844520577 -5.127579973814689 -3.5746602210956606,-4.321466791458791 -16.064862009575968 -48.22006320321144,21.302877376085245 42.425043669258145 8.316891963516406,8.512005591010418 6.284990089990696 -3.8033443837548395,20.54101821779221 11.057274612353039 48.43008215032602,23.477346163329283 -48.586364803273845 -10.680443818158436
-48.61563276877215 -27.99897555916972 13.486296841438902,-31.32619747007345 -15.602277696373346 2.102311905164586,-34.70937361708212 -1.312734166950654 19.68398783447758,79.65874133473258 -3.9259433330325733 -6.521005519783327,7.587726667889773 -5.0988875341537705 -3.9003139171775527,-3.9118845007583323 -16.852229967318326 -47.37650574637961,21.300187106814942 42.400686928460914 8.300234323356534,8.388972832631097 6.2988877138458115 -4.210988220675227,19.91298273673644 11.68054914609349 49.30067800924598,23.29480201504785 -48.085735263910806 -10.494836864457618
-49.181058295370754 -28.124751177236618 13.372834937935055,-32.45714359271469 -14.871904531210353 1.6128561979195017,-34.661611978352234 -1.7048355959119077 19.753857924492813,82.04033279589932 -5.120524278671829 -7.231091851873633,6.854911680891058 -5.039159178255146 -3.6171240624245025,-5.223077904313548 -12.413291556502049 -46.46388669519577,21.31827535455112 42.48119956067759 8.336239160842595,7.672936969422333 6.2055143267679815 -4.6489606972463315,21.55529490880433 9.48857629575729 48.425779154201884,23.086675078248195 -47.51395890398878 -10.292241917545935
-49.0185226319691 -28.125291467834586 13.612635816997887,-33.475980915209945 -13.172942736809457 0.478883680692214,-34.15556586187752 -1.8986360016710466 20.561469924121074,83.38419133507986 -6.014575764752025 -7.5729716499569095,6.0052274215122985 -4.964782653392242 -3.217523625814189,-7.224417618542743 -5.869656969265522 -45.766997085834575,21.28821289065111 42.457349087283006 8.344539640942388,6.829569709917387 6.0758245576394465 -5.171941441301284,24.314376434730786 5.783326861775658 46.536876739050726,22.904232528053587 -47.006632475331244 -10.11443295126889
-47.17770601269182 -27.336500716817127 13.513160610802268,-33.90117869826044 -11.436738752242592 -0.580215289444271,-33.70620454277456 -1.9023321775160484 21.194179471261798,81.89154152838627 -5.63511420023452 -7.316487990728065,5.599582323908836 -4.901259660825468 -3.3823090028262923,-8.489889066234396 -1.5433991232008708 -45.5947740910133,21.107523530189447 42.01942343244394 8.206516277469616,6.496184062356906 6.000415447027631 -5.878589770574327,26.563479674193026 2.463211794599217 44.73526926778055,22.801124281643162 -46.70383112303849 -10.001678209757621
-43.1218244979382 -25.354466188967688 12.59911886915134,-33.379016127222314 -10.394489555868791 -1.0035158385803642,-33.70654576221075 -1.7303617344666862 20.958916406037545,76.47949462491736 -3.3819209964350363 -6.383506929030692,6.0363914547549795 -4.872640719585988 -4.562533688261196,-8.015748783653862 -2.564298243124825 -46.14756509871487,20.699159824725182 40.93952652375834 7.835949512138885,7.120132508089529 6.038283157191383 -6.810513048371416,27.069268517683504 1.0094020652090108 43.841275351233705,22.79677984885456 -46.65635243440994 -9.965259348602874
-38.10055354341428 -22.89925594511223 11.333725229264353,-32.10790651031639 -9.912753896810134 -0.9146580887328658,-34.022781168537584 -1.4241223841265271 20.111162958969942,69.15776568624764 -0.26510851639512445 -5.352628133486914,7.012104574292873 -4.896707295425831 -6.216770387235484,-6.622448818331448 -6.911474447443524 -47.156613663959135,20.09592552205548 39.34320438193785 7.2865862706506315,8.32814511453473 6.111909230935973 -7.762856315913332,26.29793004278624 1.100607445188014 43.46139090797364,22.76279785203685 -46.529318266155244 -9.891237038547791
-33.845866292868706 -20.99438369995482 10.433566352973113,-30.43532504412581 -9.624660634850159 -0.6220969501626217,-34.378873033254706 -1.03229036579203 19.1624858963269,62.77099256744313 2.270463299013912 -4.979752309852616,8.03365902212538 -4.989548372358737 -7.535647741010318,-5.622926678106347 -11.173503256829006 -48.22651747750254,19.360281342933902 37.451423222977354 6.649960798029294,9.52540518794083 6.106919805609676 -8.464226181785017,25.174478494421084 1.9289199461297821 42.87441122159959,22.530866409306945 -45.88372803386602 -9.631865533215079
-31.71866673600899 -20.425648735713814 10.413527694456082,-28.69639692381 -9.226338096546522 -0.42055199875554794,-34.54021794480555 -0.5982495491264094 18.519534650530158,59.57336826453772 3.0899738274480186 -5.7548470527221385,8.683211079739419 -5.145058688324356 -7.874178476637923,-6.01365961317205 -12.561816692639374 -49.00611345476803,18.5742492371835 35.51658273851901 6.022997515056587,10.213000347960165 5.9526492804481 -8.694663461980305,24.44684078857808 2.756688246904202 41.571185914753194,21.98889188893387 -44.42536781366237 -9.089428973470374
-31.20879913825298 -20.78021192945077 10.771447764219722,-27.16396386243808 -8.731591770077323 -0.5354713226764183,-34.48114569067131 -0.13869780403613508 18.059919536241264,58.841852133077964 2.621931018804826 -6.826965988557235,8.922204321785953 -5.245224280097 -7.416261328027867,-7.195415801768498 -11.428551644241878 -49.3673135153703,17.91848133466842 33.94957039910406 5.529796454008638,10.37560875017597 5.798822739672823 -8.493558109242654,23.969989925803407 3.2005507223101333 40.111820438914954,21.308250015295474 -42.59008175421307 -8.418477131117859
-31.217710698043458 -21.268295190003915 10.685331648500853,-26.091281122840734 -8.254127915207938 -1.1705190233626095,-34.24168983032489 0.3380590160228625 17.4948825469163,58.91714504416932 1.7864668661292442 -6.923482005533945,8.83135779442627 -5.136838961199168 -6.606456989239957,-8.067156598176863 -9.113510711820334 -49.25218056153452,17.60464625708257 33.21111374346883 5.303003633101521,10.149984536450678 5.8644721052033075 -7.981858280687614,23.318089342966406 2.9885601585828283 39.39267193511185,20.749459865889996 -41.04329728420339 -7.85289041365225
-30.817162191955482 -21.22252798357133 9.504952070861762,-25.63735705390174 -7.892397039940078 -2.4318175508846793,-33.844617336444884 0.8266808570280108 16.619925657104556,58.35467643103971 1.388531924682213 -5.08537291907852,8.522281612745392 -4.707525256702424 -5.833573802219633,-7.7551476858108375 -6.861829648090511 -48.657452974510356,17.795281533035368 33.65341571505285 5.443228845613057,9.698069213860885 6.316308047820502 -7.274034335103525,22.19123644926321 1.9948694041444976 40.1537598329918,20.538756999980635 -40.37177246890697 -7.600036928160813
-30.08462973017578 -20.69826730605729 7.593794548910884,-25.40540741577139 -7.654661630433545 -3.850270308217551,-33.210721577173906 1.3393008310226329 15.727844309073342,56.97828357017038 1.5527194498175456 -2.204054400059183,8.288513687810688 -4.085774646220806 -5.157051528388508,-6.727294863724786 -5.358206964069504 -47.90217465195846,18.363100233846026 34.98853255137258 5.862125240256449,9.330023070830414 7.012319947400024 -6.446177334900591,21.03284681237116 0.9550376522620068 42.21235563934053,20.69999311665143 -40.697807313289864 -7.710753918926097
-29.46500801604456 -20.014904640385716 5.685684910483958,-24.79559992487154 -7.516235728097454 -4.746635574785142,-32.223541841826076 1.8944355324126096 15.29311046943737,55.07519194516018 2.155067351634609 0.1530362959765747,8.490055722799891 -3.4880754107043046 -4.516001505765906,-5.941646128603401 -5.0825962931595985 -47.42313756144318,19.074933685970056 36.694655305392324 6.402314320116514,9.410155253120257 7.697711847261459 -5.560357210852464,20.55789287389321 0.9193221989145812 45.04862280230885,21.183082896529218 -41.97402107728661 -8.178693115130429
-29.330955932412223 -19.470241366458847 4.40429849026807,-23.342134258716655 -7.470799534105653 -4.581817657759447,-30.81651080767811 2.5047917065013543 15.668517239273164,52.92635134908999 3.0515272863380636 0.6878348678177088,9.374084718340814 -3.0921031585625958 -3.8598643081836825,-6.18034081211854 -6.4271378846198965 -47.576213972749805,19.71537383466511 38.284238163196434 6.916039813411075,10.18863094266217 8.16027556018781 -4.68170071768144,21.286931645273324 2.701467095139097 48.11643583282841,21.91361588223811 -44.066769049585375 -8.963291614129174
-29.55131996524124 -19.209921745772455 3.607001133950245,-21.509131448383872 -7.639511078419456 -3.78903983421761,-29.268832638610085 3.1427917433724533 16.362669999561376,50.76453260918492 3.9615420729852606 -0.026060237213403448,10.40606085144487 -2.805950614544906 -3.2108149844193363,-7.0027685897310255 -9.178169216686497 -48.15590014573669,20.19304380064198 39.50931417732864 7.3228614243062875,11.1248916471661 8.483772476794247 -3.8966389803771215,22.391889535816066 5.474719601717761 50.69112670594405,22.64954448466172 -46.246971383784704 -9.787717428978546
-29.78180929670173 -19.315220131161276 2.8269722651190587,-20.15411477400483 -8.197457752184798 -3.212863897223733,-28.005989761677252 3.763815779068871 16.527041405555256,48.80212449191601 4.546804610875446 -0.6232456176187812,10.720739820345447 -2.423663748443918 -2.62179882625834,-7.451036182874251 -12.865743543460992 -48.71920281061054,20.469037962733577 40.22326998741807 7.570816809683219,11.343864056903076 8.877173605826322 -3.3006159153289003,22.47415619922527 7.718316540398948 51.9724951649685,23.07790240268811 -47.53365002680888 -10.275185185505531
-29.724791313429968 -19.816988029644932 1.6427248098254765,-20.009557329062986 -9.268129220493675 -3.59499803822277,-27.386158268746456 4.325907499368083 15.441130469194917,47.209953755595656 4.523317435831495 0.11606632941936544,9.605613207473883 -1.7702798241782116 -2.1335839656236892,-6.694878649398098 -16.95933184338076 -48.87576940588534,20.509786693926824 40.29963496653167 7.614027448317758,10.123400652583085 9.520247906778422 -2.9594015090224697,20.33290212037408 8.067408260660367 51.30609312077279,22.9423923907599 -47.11909136659505 -10.115185679822599
-29.46991263981261 -20.336152585708128 0.012473720646481612,-20.77516354453964 -10.552042270090706 -4.825137719292901,-27.21355340970655 4.809361280434621 13.440452503531201,45.820005209763565 4.052315660590607 2.199305434507724,7.6052201417342555 -0.9272711387153951 -1.6865894570001572,-4.961471655146957 -20.441110831306528 -48.67209658147404,20.32376774522322 39.77348558351725 7.455470093706765,8.00006365309125 10.350616214328577 -2.696155670413538,16.399228346209178 6.450749721846274 49.23003529480677,22.451603565107646 -45.617985630557484 -9.541404925794893
-29.295930907968607 -20.293472172219438 -1.9201550443570965,-21.646330097521343 -11.543173239716381 -6.376934963707931,-27.021887699316252 5.205336657397565 11.376182550870595,44.29880490410832 3.5124444036123745 5.041899226847443,5.877924365148624 -0.10132890806310821 -1.17223323808258,-2.9943460936722315 -22.055308217183516 -48.36799734030288,19.939990879810196 38.7587828202599 7.121977852425042,6.125051549609003 11.187656835694572 -2.215570206438775,11.901118387440176 3.4287715517408692 46.864772699519406,22.041132120547815 -44.33959222840951 -9.053263053658098
-29.441253519779224 -19.197727744549184 -3.993529431945627,-21.88619031497234 -11.791191330429928 -7.743650959302217,-26.399904628090926 5.50401282469717 10.014281769308313,42.369282030995805 3.243490190127331 8.04947870579124,5.460944297284633 0.5135053801027983 -0.5067063285693088,-1.497009937224213 -20.794604517661067 -48.2093125629418,19.40575441352009 37.41147180541291 6.656261807195982,5.532540734876369 11.860413039924605 -1.270488617202233,7.995524660545153 -0.40719955059789353 45.24314075568345,22.09645344088275 -44.44471357764676 -9.093619399482668
-29.7404322760973 -17.42474866822245 -5.883518861031065,-21.448108703436247 -11.399604010417436 -8.636099246257412,-25.487965971619975 5.685345146205475 9.260188984264257,40.31239625764353 3.193995591046646 10.57152108381634,6.175960046113634 0.8541286479881224 0.15025979562368955,-0.7507978941022752 -18.077533727922603 -48.292330161281654,18.944424275941017 36.289602283484506 6.253497463083579,6.0811151237912195 12.299453271924225 -0.08865180437848691,5.097993370782435 -4.207603429422459 44.509774527345925,22.501914554393956 -45.608361786250775 -9.53918753520808
-29.801061062212888 -15.837626338459316 -7.174672171911069,-20.673344426296595 -10.783163604556226 -8.887352975093073,-24.736430781370483 5.723543419139209 8.535748502667314,38.72270803598113 3.0926327282329664 11.925946387148706,7.161546072974501 0.9310223081416673 0.5020693086553135,-0.7997926356186913 -16.685905844640534 -48.629292586530774,18.878312501443016 36.1771978996054 6.1945419583984735,6.968701659692849 12.49240087996305 0.8353174941466253,3.207416830644684 -6.977758437764938 44.310160122711,22.860239437190764 -46.67056766999845 -9.948519634975474
-29.273303675754047 -15.23278137542393 -7.498972232796288,-19.893335709578697 -10.337157539374472 -8.367567761748312,-24.550848254612283 5.600613190648979 7.313411535298639,38.12344386263975 2.6915097745393117 11.526721043683967,7.605717900432911 0.7629449229637694 0.28545953687636366,-1.6383148839726613 -19.15217813595585 -49.214770952681825,19.49334267396991 37.77044850506621 6.729923087180674,7.43585591601582 12.436243204251838 1.0526172926575839,2.3013260355902934 -7.823161675010757 44.299880873255034,22.808665799365976 -46.57116507633413 -9.917945496521387
-28.331542467730024 -15.568588674101987 -7.051629297255889,-19.27520159590758 -10.19035304169934 -7.362175973439861,-24.775773576538473 5.389928443497249 5.7164583439259475,38.16802765027023 2.043605981563214 9.908430920096803,7.35956191686178 0.45536320466701896 -0.3576391474026462,-2.7128769493212586 -24.933824845754756 -49.84877329159831,20.639629928343734 40.71525999831827 7.746512263048635,7.304107437470508 12.229447379565626 0.6816169238814459,2.162795730359156 -7.032650882010257 44.31643515334812,22.42206447052821 -45.51815258262922 -9.52409478584519
-27.488365307460526 -16.262748468073767 -6.391226125541985,-18.880048751521006 -10.29956882242191 -6.42453046207971,-24.8938303116475 5.223810538260586 4.288058900630883,37.94872035411681 1.3960109742857634 8.32864216614519,6.701952165993559 0.16968460727837 -1.0238815035100903,-3.1165663598588838 -31.504460202275194 -50.20578306602828,21.886122658017666 43.979935727594054 8.896563879994009,6.769807685719436 12.035951375882245 0.20660270018565238,2.4494450140663004 -5.658509374752465 44.31468588116282,22.057650228360878 -44.53769955975653 -9.15346805169649
-27.21853207834343 -16.75501053623062 -6.047986676411699,-18.75621632296111 -10.612276881962671 -6.08027827329919,-24.419692828150904 5.222984393818929 3.5557266748750607,36.64752161858109 0.9971638743745995 7.968986470406482,5.9110486603776 0.05761175160518425 -1.3280451090889112,-2.037589920162478 -36.382965584439894 -50.004968675163674,22.81828267599779 46.56797725549054 9.843111787655392,6.033390620632606 12.006418158349927 0.07814645262335197,2.8355230051365123 -4.675544706574954 44.26151815279332,22.05296179051186 -44.59840696252766 -9.170944177105268
-27.384476096366996 -16.92270566503044 -6.067300012733336,-18.79706754846945 -10.984646984023174 -6.4018428427605425,-23.40454459618209 5.330964789936343 3.727818701081512,34.84241996519137 1.0689386033929082 8.771584685141905,5.154508457696044 0.120991845320646 -1.2015995585680763,-0.08716789135674025 -38.19174775418584 -49.62448795541165,23.320228482125763 48.13785458234539 10.45613727634356,5.264796487472749 12.089121443273433 0.18593744722992442,3.2590174720195297 -3.7878387311484314 44.26562721102878,22.402049848599336 -45.66575318597231 -9.564041264912172
-27.395986111121513 -16.966633645831287 -6.13615513292498,-18.781404243431805 -11.205356375157399 -7.126615263362183,-22.296167800895525 5.360269076491139 4.776764922084997,34.1433480015481 1.8135715330692423 9.762285407068802,4.518302527269393 0.2508958500378373 -0.81011978860632,1.0715582467573288 -36.368962446448016 -49.92963747591612,23.496851826514707 48.832204034578965 10.758601499625149,4.611423941833043 12.08272459414544 0.005048862882163219,3.852877292541668 -1.7601263687421795 44.540537316012724,22.845051583248726 -46.96368751257924 -10.041324460801361
-26.6792203659448 -17.082328468392657 -5.954215655893232,-18.49430999172008 -11.068818778276908 -7.988313659335123,-21.530521629119033 5.137277352170342 6.6396320507425814,36.05335838451367 3.393902868872688 9.997642661262038,4.07799409578683 0.3394094928318403 -0.3201237117815376,-0.13525842501375024 -30.503738343787525 -51.72191643977616,23.45731909471961 48.80939031760847 10.77981021170441,4.207277011585123 11.796714665416337 -0.9540808899046722,4.739933408562496 2.5333106548197586 45.28006029645477,23.12360278757011 -47.723167428234234 -10.31429559394802
-25.127561022469575 -17.24282086675864 -5.5861260222561855,-17.876156076964463 -10.496184664853441 -8.793063045606717,-21.177824541165304 4.781607948209703 8.736887525119922,39.805756425796986 5.298530469752747 9.437902372630099,3.7620794312095103 0.34116206114330283 0.18057965072305082,-3.308129707644218 -22.468404213136317 -54.50029906078368,23.295193713764704 48.30358911846853 10.596832957088942,3.963559055040061 11.288746433571474 -2.4002827685637165,5.788659693417523 7.939853000066911 46.294095538457505,23.108369969222405 -47.597543537298186 -10.258555055108006
-23.029587955819867 -17.232938928533507 -5.405246858941377,-16.99866267456799 -9.515803798357961 -9.408233241840936,-20.99893605147599 4.660912471697829 10.052037308934752,42.713999317428026 6.445749555496297 8.807691223424179,3.3746593595195966 0.26368482598486936 0.6707565806841969,-6.378437256720389 -16.066515835829343 -56.662028931965345,23.090841469685397 47.6131002527318 10.327139910426302,3.603019218883796 10.826385410549282 -3.382012804164357,6.652384074451598 11.379767196128908 47.06781307768109,22.779159261134566 -46.597444374647786 -9.8885047256813
-20.683568464704006 -16.846999725196632 -5.775924795221544,-15.936568135052454 -8.171541549611497 -9.71059915524613,-20.75507236817564 5.133629909730451 9.612961985324308,42.15067590164865 5.79085428750002 8.829554130449921,2.7260395265163835 0.11717388920386954 1.1315694844233877,-7.312929128964248 -14.99576321717846 -56.63996979600545,22.91987405631167 47.02381750529042 10.08407725636914,2.856753437890201 10.672791322782972 -2.9724401502431452,6.983906243039448 9.854525094857577 47.098026852378524,22.124224353058185 -44.756330107169134 -9.22655708525232
-18.327918464882178 -16.213454796912817 -6.656391666368759,-14.740350149364392 -6.770338561632508 -9.738954544989193,-20.42637896616661 6.189207965475536 7.7075584437045634,38.08057562100372 3.480338482316501 9.659077664006531,1.8459233331712073 -0.06653753546867563 1.5506596229477543,-5.9843398233250795 -19.341027908720694 -54.39110840470222,22.763880707232772 46.50898906981096 9.864033075023443,1.7654097632535752 10.852334330942805 -1.2311629451626036,6.57145756267681 3.4411485514928275 46.35559404289488,21.240388102910284 -42.35856350927865 -8.37397374109903
-16.143171196085664 -15.783899381591711 -7.61212295193233,-13.437023760984712 -5.873557347106354 -9.688782694464306,-20.20472929049899 7.460240383294796 5.842293839622908,32.975422597880616 0.8127131752960094 10.903539154469037,0.9761952288881863 -0.23469083749930858 1.92193400131804,-4.108696179156212 -25.69322004506741 -51.346421149176926,22.5135209007428 45.73950148050671 9.55028447493596,0.6690061852779722 11.158449596484228 0.8282385499681458,5.334246280187611 -4.808955431919302 45.269822245490786,20.329471343225954 -39.93115695897931 -7.508271823573904
-14.30699680437583 -16.00426171988325 -8.204479231354608,-12.057572456213784 -6.0284442252062 -9.75692123344967,-20.275191533084488 8.56944979286868 5.526534349544467,29.346032648290862 -0.8938975309175632 12.151881649097069,0.36193144844975267 -0.3347539774464719 2.240001622866537,-3.4294383603043226 -30.561900395682635 -48.97139360364925,22.064033542736418 44.3990058137006 9.030862399967152,-0.08814809470306757 11.379678718850245 2.176746314040487,3.213655452714081 -11.773061040533282 44.283161768092114,19.596205011525406 -38.00719021987127 -6.809169914062225
-12.983317757259387 -16.796307187695614 -8.326524935337973,-10.769760427074871 -7.101600869300612 -9.999901537399515,-20.39357370670306 9.270739701030744 6.966617763235192,27.941977812138223 -1.08494552211138 13.106703502963589,0.09589775174524919 -0.3442407195176218 2.511841453010128,-4.3580925885938955 -32.16564821190655 -48.015823872331154,21.540993900633236 42.86871109256362 8.454157963973813,-0.38252909573182065 11.4309336730023 2.4399655691927977,0.6178186973348014 -15.725948952679037 43.68233764314092,19.206880696944758 -37.01265167848125 -6.4309112270564075
-12.32085725394285 -17.502292992878868 -8.238052288771787,-9.89257497110105 -8.207116406904534 -10.319134072066774,-19.84109892550488 9.463045616911472 8.928269335508359,27.565620163014415 -0.05008312632779288 13.596259014458674,0.10246726687235098 -0.27388310758419765 2.758108538683047,-5.833637027847374 -30.612513053314807 -48.438254588006586,21.324634356813196 42.301038028625214 8.256413357832875,-0.33471032486565216 11.366840003365713 1.9672451332665688,-1.529096555484101 -16.487466241476085 43.58190690876607,19.285291906703563 -37.25513078101192 -6.49957371737152
-12.462093287025718 -17.449022825688413 -8.21037919002762,-9.745147839193674 -8.43882282477143 -10.608167320591336,-17.90347174157326 9.057727042039007 10.124820059607988,26.948084446533976 1.8713222285910311 13.460354941935364,0.2985391598352489 -0.13773423559401932 2.998031327304618,-6.7396038021946465 -26.13298385791356 -50.1458048939592,21.796508792429037 43.85159072248676 8.874655956543938,-0.07598789356819542 11.247937033649949 1.1430220764336287,-2.2979806742569213 -13.979525654208215 44.07992720774946,19.94682384873064 -39.02009872810589 -7.13368786184855
-13.34961439619746 -16.4955969597047 -8.24191955636059,-10.36532766668508 -7.574794390858251 -10.766611946350693,-14.929856261320667 8.14625587844925 10.080989784047624,25.901891027207746 4.119179071042918 12.72371416752077,0.6464340169897689 -0.008510636411257884 3.172681134831422,-6.719680027242276 -19.86053511173974 -52.661978055084454,22.903979172430493 47.33107354789198 10.229178300870526,0.33226504292619463 11.086558275927114 0.26510824888561757,-1.5566474011197147 -8.93361984391861 44.996530635327595,21.079494375047748 -42.00745092438613 -8.228777930991246
-14.673253731564808 -15.174191853035385 -7.986006806472283,-11.435287377039533 -6.25831322594674 -10.701744093343587,-12.614135534790034 7.047851812247152 9.347479984841108,25.606958933999014 5.854295702481867 11.64488154956052,1.1659067146417428 -0.033107345776095864 3.124301470530133,-6.37875046167842 -14.070444735966671 -55.02520431526252,24.04538226140831 50.84959762835089 11.586874203244399,0.9170912201929098 10.834082156729922 -0.4782199994587569,-0.18060085323822644 -3.1049357181477966 45.800419138611865,22.283820802835724 -45.17663631120077 -9.398382228852578
-16.111720283907488 -14.054358631689494 -7.08297352994888,-12.617829780481353 -5.181060046653254 -10.325383402610276,-12.708576301654888 6.0933162080448495 8.538370734759011,27.30884445982532 6.235482717563149 10.497249868585358,1.8799804912953955 -0.35902719984046083 2.69316570518348,-6.373437321550385 -11.07318047949457 -56.25629578369772,24.591185383737976 52.43224167545612 12.18218413093068,1.7104827676523697 10.44033904429902 -0.9083547654606529,0.9039397003498123 1.699723966878321 45.94786388974378,23.14793118564178 -47.456587873904006 -10.244441654672006
-17.59954916835304 -13.41395197299389 -5.632318960389158,-13.74899164250949 -4.677604915106941 -9.752971794408438,-15.564210543123844 5.461240930426866 8.14512846628106,31.143282147627694 5.220965944973074 9.546565987947014,2.7907651911428295 -0.925169016886874 1.9391549224932165,-6.861579951866939 -11.266550613495916 -56.05451814292693,24.281305240151333 51.3134034852025 11.725128829669524,2.708115680216373 9.973878317878905 -0.9794412184091947,1.4708055008543066 4.379938063274451 45.403422125300054,23.564218620473856 -48.62982260961833 -10.69517857927147
-19.44164374079076 -13.108527616626752 -4.398293605692076,-14.915606457920319 -4.565516569991564 -9.394742135487013,-19.50345469650797 5.109858938505638 8.481707646040304,35.63927958802385 3.9263120229853783 9.047507514869448,3.8700936212694037 -1.368428435064811 1.2400838124294715,-7.278912654847988 -12.279340785873584 -55.10135754665432,23.390523045004514 48.478253504156235 10.614242900183138,3.853089841254031 9.675122934373837 -0.8378156965611773,2.3073148857925245 4.8579382669747275 44.86751422315531,23.865571127050227 -49.71462031954646 -11.151184233108578
-21.965373233721156 -12.962823541186932 -4.188173024834532,-16.22279542994305 -4.624534438366034 -9.678132237070937,-22.70179516914082 4.979661125056733 9.842301782993843,39.211681056149686 3.547826350864702 9.25070301142428,5.08549291737412 -1.3062051959081922 0.9941827889443533,-7.010643394311057 -11.550739505781896 -54.150606715949834,22.23550070395361 45.04713760152763 9.300982149953517,5.082943996659719 9.794910711005713 -0.6448949631625137,4.268144344237534 3.14416362132275 45.09084866702448,24.415231541873712 -51.812088174946155 -12.044335315113443
-25.02362127646967 -12.964076033603286 -5.154251264551662,-17.67812109437265 -4.826021888849363 -10.60368831517244,-24.196129972927192 4.975059108991225 12.094107980473138,41.118397837805574 4.565820992035765 10.175188614945371,6.263611602559883 -0.6571613924401976 1.2746287240262906,-5.877752713829353 -8.493230432938388 -53.62379302493181,21.134347354162355 42.00596048557516 8.166594083796983,6.22997565180978 10.36311160211224 -0.564912951451616,7.337568536429983 -0.15644237937691124 46.292674516313994,25.276632710357045 -55.01270950259582 -13.392897461012806
-27.68148479366979 -13.3693167254487 -6.361358971824673,-19.127169689687744 -5.459494816610395 -11.463190037771694,-24.453555643831344 4.940562223302127 14.395382777433786,42.017082280947164 6.2718469034781466 11.455488410356644,6.997197956727237 0.15985610634104283 1.6149132875027734,-4.424732771034809 -5.795551919814814 -53.39078491221719,20.40757496595262 40.117414698682595 7.475759619411344,6.951750666882848 11.042723430654508 -0.7667809316611058,10.054737162221105 -3.4518826838448198 47.809860699712196,26.0154340505758 -57.72903257118603 -14.528419377031788
