6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
0.3 88.2 -2.2,2.5 67.1 -19.0,29.9 -18.2 4.5,-65.6 53.8 -27.5,-22.9 -2.0 0.9,60.8 23.5 -14.2,27.0 118.1 43.7,-21.8 5.8 -19.3,19.7 -46.8 43.7,16.3 -30.3 -4.4
-10.9 101.7 -7.7,2.6 86.0 -17.1,12.4 -16.2 -3.7,-42.4 1.9 15.6,-25.0 -3.8 3.4,71.2 39.3 20.5,30.0 91.3 30.7,-24.1 3.8 -18.3,25.1 -57.9 31.0,20.3 -39.7 -7.4
-7.1 89.5 -1.5,-1.3 67.2 -17.9,21.2 -14.3 6.9,-53.5 31.1 -8.2,-31.4 -2.3 7.8,76.2 51.5 24.4,30.0 88.7 29.4,-30.8 4.2 -19.1,19.2 -64.2 25.7,15.1 -27.7 -3.7
-1.3 85.8 1.8,-8.1 52.5 -12.8,29.4 -16.6 8.4,-59.3 57.0 -31.0,-24.8 -1.7 4.2,69.4 107.2 67.2,29.3 76.4 23.3,-24.0 5.5 -18.5,17.2 -57.8 40.6,11.8 -21.1 -2.2
0.4 85.5 2.6,-9.3 45.2 -11.8,31.9 -20.2 6.7,-61.0 68.0 -39.2,-24.3 -0.5 0.1,74.7 137.7 91.1,29.0 106.2 38.0,-23.0 7.0 -21.4,19.3 -54.2 46.6,11.9 -21.5 -2.3
4.5 83.1 1.9,-7.8 44.5 -13.6,35.9 -14.7 10.4,-62.4 82.2 -54.9,-20.1 -2.0 6.1,82.7 128.0 76.5,28.8 108.3 39.1,-19.5 5.0 -15.8,11.3 -45.9 51.6,13.4 -24.2 -2.9
5.5 71.0 -3.8,-10.6 28.7 -13.6,38.7 -6.0 20.3,-57.3 95.6 -59.5,-18.8 -3.8 14.6,80.8 134.0 69.6,29.6 100.5 35.3,-19.1 2.9 -8.2,7.4 -36.1 50.9,15.4 -28.5 -3.9
4.6 70.7 -5.1,-10.9 28.7 -13.3,37.8 -6.1 19.6,-58.4 91.7 -55.5,-18.2 -4.6 11.5,76.4 105.2 38.6,28.6 109.3 39.5,-18.6 3.9 -5.3,5.6 -29.9 52.5,15.9 -29.6 -4.2
4.5 83.1 1.9,-7.8 44.5 -13.6,35.9 -14.7 10.4,-62.4 82.2 -54.9,-20.1 -2.0 6.1,82.7 128.0 76.5,28.8 108.3 39.1,-19.5 5.0 -15.8,11.3 -45.9 51.6,13.4 -24.2 -2.9
5.7 80.9 0.2,-8.4 40.2 -14.1,37.0 -11.6 12.6,-63.0 87.9 -59.7,-18.7 -2.7 9.0,83.4 124.3 68.9,28.7 109.0 39.4,-18.5 4.3 -12.8,8.4 -44.2 51.6,13.9 -25.4 -3.2
3.7 82.2 1.3,-7.6 45.0 -14.3,34.3 -12.6 12.2,-62.4 79.2 -51.3,-23.2 -2.2 9.5,78.7 159.2 109.1,29.5 101.4 35.7,-22.9 4.1 -15.7,13.0 -47.7 46.2,14.4 -26.4 -3.4
0.4 85.5 2.6,-9.3 45.2 -11.8,31.9 -20.2 6.7,-61.0 68.0 -39.2,-24.3 -0.5 0.1,74.7 137.7 91.1,29.0 106.2 38.0,-23.0 7.0 -21.4,19.3 -54.2 46.6,11.9 -21.5 -2.3
4.5 83.1 1.9,-7.8 44.5 -13.6,35.9 -14.7 10.4,-62.4 82.2 -54.9,-20.1 -2.0 6.1,82.7 128.0 76.5,28.8 108.3 39.1,-19.5 5.0 -15.8,11.3 -45.9 51.6,13.4 -24.2 -2.9
5.5 71.0 -3.8,-10.6 28.7 -13.6,38.7 -6.0 20.3,-57.3 95.6 -59.5,-18.8 -3.8 14.6,80.8 134.0 69.6,29.6 100.5 35.3,-19.1 2.9 -8.2,7.4 -36.1 50.9,15.4 -28.5 -3.9
4.6 70.7 -5.1,-10.9 28.7 -13.3,37.8 -6.1 19.6,-58.4 91.7 -55.5,-18.2 -4.6 11.5,76.4 105.2 38.6,28.6 109.3 39.5,-18.6 3.9 -5.3,5.6 -29.9 52.5,15.9 -29.6 -4.2
5.5 71.0 -3.8,-10.6 28.7 -13.6,38.7 -6.0 20.3,-57.3 95.6 -59.5,-18.8 -3.8 14.6,80.8 134.0 69.6,29.6 100.5 35.3,-19.1 2.9 -8.2,7.4 -36.1 50.9,15.4 -28.5 -3.9
5.7 80.9 0.2,-8.4 40.2 -14.1,37.0 -11.6 12.6,-63.0 87.9 -59.7,-18.7 -2.7 9.0,83.4 124.3 68.9,28.7 109.0 39.4,-18.5 4.3 -12.8,8.4 -44.2 51.6,13.9 -25.4 -3.2
