6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
2.318545923095056 95.00269656358306 3.010602619929144,-2.8065484383431216 66.67961174503026 -16.2558604798207,32.61565107878773 -27.18862910146781 -1.8408726219293632,-66.32255301240151 60.98734474592229 -36.22356837774657,-18.225456887393293 -1.9693123703549769 -11.433041740773461,29.584906110716418 47.37197455408763 -5.536938619585704,19.81471151077133 141.28601501437194 52.97101044371169,-15.322441952303741 7.442720134295329 -23.189503268867764,15.475844848778173 -31.077647890303453 59.41964951529056,15.071477649076408 -27.624383710176733 -3.5977060266622516
2.3996116435359927 93.2222135495782 2.840282459071326,-3.551855558806613 64.4224200150882 -16.098701370607216,33.28997240166473 -26.354987744934625 -0.3917459188357312,-64.93329551330514 65.37007939556254 -39.77467441832897,-18.389481382528118 -1.807700460976139 -10.108299581306987,28.75232661613743 50.072506359158766 -4.695699947364237,21.712268005680723 136.28785608336653 51.20476602709151,-15.73303691899248 7.3234426330569935 -23.14163423398612,15.262268908772832 -31.62421207094389 58.72374918520477,15.239908042078675 -28.143556795683335 -3.840296690393104
3.201614271478706 91.044299750847 1.7985272088004547,-4.205816199738833 60.92612065208781 -16.23915678107691,34.55600347989692 -24.842456141588556 0.9473892746351975,-64.90956481659612 71.53077285146674 -44.87353990961804,-18.311544901845732 -1.8907308356974013 -8.541944233367548,27.957736729963237 52.429155579440746 -4.624960724371161,23.498020736645987 131.0251422005216 49.17455919732458,-15.937195032726446 7.206582861460629 -21.942740243641342,14.016064950053979 -31.870242438406137 58.211593166134385,15.535814518706339 -28.860583314477523 -4.087807875335783
4.459034063620655 88.87965392123812 0.33985017370270443,-4.72607250507917 56.92259794959219 -16.54445563275562,36.13882526598539 -23.246887184737545 1.917310174978454,-65.92023798225031 78.3714977852899 -50.54671484937995,-18.02700889677193 -2.1211789228768487 -7.24121843490488,26.810334476037 54.45348832933588 -5.028368393636002,24.89774386257723 126.4840058728715 47.308939935453395,-15.88444269437637 7.143331381834304 -20.199739154288054,12.208394539737261 -31.807987384568985 58.08797703009934,15.800487776066408 -29.416561021899472 -4.232589896556301
5.597189113826919 87.26195933010968 -0.7015080980544535,-5.1839388278075464 53.53376024695024 -16.714594292701047,37.53383284854849 -22.592070909877958 2.249880029762613,-67.01906540500124 84.24803828986944 -55.24200234829195,-17.745948977226675 -2.226354644979623 -6.931675874302587,24.940552259305342 56.518530920393225 -4.991522081990761,25.710466262651998 123.70345743701061 46.128943168842255,-15.669613525401349 7.23775212213275 -19.187160560395043,10.85204939616493 -31.442135434911215 58.62362309584417,15.976204946195528 -29.754948760639227 -4.294818987209071
6.081103876839868 86.68148679093453 -0.6104809492803448,-5.62872342701009 51.81589737912006 -16.499057690552107,38.2564654094727 -23.727964129123443 1.7300472538216936,-67.3505488860108 87.53575267120702 -57.450541303315106,-17.666293833040868 -1.9756183452113585 -8.194830623940556,22.13302703012439 58.85202924299334 -3.7493330226614985,25.790751838533176 123.49339842092216 46.050654019920756,-15.398274488086809 7.568291998052831 -19.99548882177652,10.848484675298957 -30.803069180584984 59.99393998062369,16.015845770400595 -29.834756913422872 -4.295677109393014
5.742716774870606 87.2369658195979 0.2512729470294487,-5.908963129879718 52.224347511403046 -16.094882470514175,38.01067658580787 -25.939590679034573 0.6152119502574258,-66.89370288828525 86.80849852983742 -56.07471861305552,-17.870141433945644 -1.520107675779453 -10.321577150655163,19.54268961923043 60.37367211849 -1.8920991933540376,25.483725390936012 124.62404468446596 46.55276786186625,-15.264937075245436 7.983236702460163 -22.04874452890075,12.084879916391166 -30.14909583096724 61.52382242299262,15.962054692579036 -29.73975981417044 -4.2595712605262745
4.606239259367462 88.82194750316145 0.9578611757855292,-5.7679850010573315 54.89953357502756 -15.933634707475468,36.59920678360944 -27.691906395385153 -0.5896480748095153,-66.06484950456388 80.74415256626231 -50.232426460885556,-18.37889126063406 -1.211022118649977 -11.926489685062958,19.042542609012006 59.31769042066404 -0.7203785734497308,25.391579149043654 124.79676059403761 46.62276200955194,-15.510722164545268 8.21026110538359 -23.897675337829277,13.91690628725768 -29.857961375828502 62.09247245322821,15.904515334244586 -29.619111545087833 -4.2125984453998475
2.7339596640946917 91.27366603190686 0.6634335250848008,-5.001428111341293 59.81348274041212 -16.385389894425384,33.89742793416986 -27.593949705227022 -1.4151793975020084,-65.26719816129265 68.37513425725258 -39.310940178935184,-19.176116446279078 -1.3690775567593398 -11.761840544946935,22.236941523786328 54.281030619942086 -1.3354914978523547,26.037474753935534 122.02143050151123 45.38399250007405,-16.317937431219697 8.004923389750244 -24.207293095644147,15.70906225881949 -30.286387006386455 60.71816984318536,15.93727262318329 -29.639079001493354 -4.188851177450387
0.5740776316504688 93.85118943757698 -0.5762505969796247,-3.9695876031853223 65.181554045401 -17.146147855427337,30.541845152142162 -25.859476635768587 -1.7929770624262586,-64.72406948080396 52.48454607966892 -25.534584224424243,-19.849856851185 -1.9730005710571785 -10.10348833661274,27.813873751497905 47.771683717610856 -2.6592969562798334,27.08236007228067 117.67994809651698 43.4468302218458,-17.240749664730476 7.429776822472689 -22.936029410769507,16.969074513996766 -31.556951740291588 57.9358903469147,16.196238915245853 -30.141331304942387 -4.307067093335556
